Itemcode,Itemcode Description,HCPCS Code,Average Price
0301143,"ANTIDEPRESSANTS, NOT SPECIFIED",80338,96.00
0301144,ANTIEPILEPTIC NOT SPECIFIED 7+,80341,96.00
0301145,ANTIPSYCHOTIC NOT SPECIFIED 7+,80344,96.00
0301146,BENZODIAZEPINES; 1-12,80307,96.00
0301147,BUPRENORPHINE,80348,96.00
0301148,COCAINE,80307,96.00
0301149,FENTANYL,80354,96.00
0301154,"SKELETAL MUSCLE RELAXANTS,1-2",80369,100.00
0301155,"TCA CONFIRMATION, URINE",,196.00
0302100,TB TEST CELL IMMUN MEASURE,86480,202.00
0302101,IMMUNOASSAY INFECTIOUS AGENT,86317,58.00
0302102,PLACENTA ALPHA MICRO IG C/V,84112,175.00
0302106,INHIBIN B,83520,300.00
0302108,"ARC:RED CELLS, LEUKO IRRADIATE",P9040,657.00
0302109,"ARC:PLATELET,PHE,LR,IRRADIATED",P9036,746.00
0302111,JCV ANTIBODY W/INDEX,86711,"2,800.00"
0302112,ARC DILUTION OF SERUM,86976,145.00
0305100,"BLOOD SMEAR, MANUAL DIFF",85007,38.00
0305101,CBC W/ MANUAL DIFF,,95.00
0305102,"BLOOD SMEAR, MICRO EXAM",85008,38.00
0306100,"DETECT AGENT NOS,DNA,QUANT",87799,412.00
0306101,MRSA/MSSA BY PCR,87641,151.00
0306102,MACROSCOPIC EXAM PARASITE,87169,58.00
0306103,"RESPIRATORY VIRUS PROFILE, PCR",87633,700.00
0306104,STREP PNEUMO ANTIGEN,87899,180.00
0306105,BETA D GLUCAN (FUNGITELL),87449,289.00
0306107,GENOTYPE DNA HIV REVERSE T,87906,420.00
0306108,PHENOTYPE PREDICTION,87900,222.00
0306109,ORGANISM ID BY SEQUENCE,87153,460.00
0310104,NEUROFIBROMATOSIS TEST,88230,"1,188.00"
0310105,"TRG, GENE REARRANGEMENT ANALYS",81342,416.00
0310106,HFE GENE ANALYSIS,81256,548.00
0310108,"HLA CLASS I TYPING; ALLELE,EA",81381,198.00
0310109,"FISH, PARAFFIN BLOCK",88271,100.00
0310111,MOLECULAR PATH PROC;UNLISTED,81479,67.00
0310112,CROHN'S PROGNOSTIC #2000,,"1,255.00"
0310114,"BONE MARROW, SMEAR INTERPRET",85097,862.00
0310115,DPD 5-FLUOROURACIL,81400,441.00
0310116,CANCER TYPE ID-MICRODI MANUAL,88381,"5,600.00"
0310118,TPMT GENO;MOLECULAR LEVEL 2,81335,650.00
0310119,IL-28 POLYMORPHISM GENO,81400,365.00
0310121,"BRAF MUTATION ASSAY, MELANOMA",,798.00
0310123,UGAT1A1 IRINOTECAN TOXICITY,81350,503.00
0310126,CYSTIC FIBROSIS GENE ANALYSIS,81220,750.00
0310128,CYP2CP GENE ANALYSIS,81227,350.00
0310129,VKORC1 GENE ANALYSIS,81355,100.00
0310130,WARFARIN,,450.00
0310131,T3151 (BCR-ABL1 KINASE DOMAIN),81170,850.00
0310132,MOLECULAR PATHOLOGY LEVEL 7,81406,"3,570.00"
0320110TF,IVC FILTER PLACEMENT TF,37191,"5,718.00"
0320111TF,IVC FILTER REPOSITIONING TF,37192,"3,924.00"
0320112TF,IVC FILTER RETRIEVAL TF,37193,"3,924.00"
0323100TF,1ST ORDER RENAL ART UNILAT TF,36251,"3,842.00"
0323101TF,1ST ORDER RENAL ART BILAT TF,36252,"3,842.00"
0323102TF,SS 2ND ORDER RENAL ART UNI TF,36253,"3,842.00"
0323103TF,SS 2ND ORDER RENAL ART BILAT,36254,"3,842.00"
0329100TF,DILATION BILIARY W/O BALLOON,47555,"3,269.00"
0329101TF,PERC BILIARY DRAIN EXTERNAL,47533,"4,266.00"
0340100TF,"NM HEPATOBILIARY IMAGE, GB TF",78226,"1,182.00"
0340101TF,NM HEPATOBILIARY IMAGE PHARM,78227,"1,182.00"
0342001TF,PREOPERATIVE SESTAMIBI INJ,78808,500.00
0350100TF,CT ABDOMEN & PELVIS W/O CM,74176,"2,937.00"
0350101TF,CT ABDOMEN & PELVIS W CM,74177,"3,248.00"
0350102TF,CT ABDOMEN & PELVIS WO/W CM,74178,"4,247.00"
0350110TF,CTA ABDOMEN & PELVIS TF,74174,"4,783.00"
0350111TF,CT ORBIT/SELLA/POST FOSSA W/CM,70481,930.00
0360004,EPIDURAL MANAGEMENT INITIAL,1996,100.00
0360101,VASCULAR EMBOLIZATION,37244,"15,000.00"
0360102,ABD PARACENTESIS W/ IMAGING,49083,946.00
0360103,PTA FEM/POP ARTERY W/STENT/ART,37227,"26,000.00"
0360104,PTA TIBIOPERONEAL ARTERY W/ART,37229,"26,000.00"
0361103,ARTERIAL PUNCTURE WDRAW OF BLD,36600,41.00
0361106TF,DI INTRO LONG GI TUBE TF,44500,802.00
0361110,TF VAS IMPLANT ELECTRODES,63650,"6,216.00"
0361114,BONE MARROW ASP W BONE BIOPSY,G0364,970.00
0361116,THORACENTESIS W/O GUIDANCE,32554,"1,225.00"
0361117,"NERVE BLOCK, INTERCOSTAL NERVE",64421,"1,146.00"
0361118,FEMORAL NERVE BLOCK,64447,925.00
0361119,INSERTION CENTRAL LINE >5YRS,36556,"1,690.00"
0361120,CHEST TUBE INSERTION,32551,"1,970.00"
0370002,CONS SEDATION 5YRS+ 1ST 15 MIN,99152,176.00
0370003,CONS SEDATION 0-5YRS 1ST 15MIN,99151,176.00
0370004,CONS SEDATION EACH ADDL 15 MIN,99153,70.00
0390101,DEGLYCEROLIZED PRBC,P9054,750.00
0390102,PRETREATMENT OF RBC W/ENZYME,86971,226.00
0391403,TRANSFUSION SERVICE,36430,473.00
0402102TF,US OB EACH ADDTL GEST<14WKS,76802,346.00
0402103TF,VESSEL MAPPING HEMODIALYSIS,G0365,500.00
0420100,CANALITH REPOSTING PROCS/DAY,95992,90.00
0420101LTF,US EXTRMTY NONVAS LIMITED L,76882,164.00
0420101RTF,US EXTRMTY NONVAS LIMITED R,76882,164.00
0420102,CANALITH REPOSITIONING PROC,95992,115.00
0440001,ST: LARYNGEAL FUNCTION STUDIES,92520,150.00
0450101,REPAIR FLEXOR TENDON,27658,"2,224.00"
0450105,IRRIGATION OF CC FOR PRIAPISM,54220,460.00
0450107,"DRAINAGE FNGR ABCESS,COMPLCTD",26011,"1,685.00"
0450121,"WOUND REPAIR, ADDITIONAL 5CM",13133,600.00
0450126,"REPAIR BLOOD VESSEL, UPPER EXT",35206,"4,500.00"
0460001,"CAR SEAT TESTING, ADDL 30 MIN",94781,35.00
0460100,NEWBORN PULSE OXIMETRY,94760,53.00
0483002,ECHO-STRESS/PHARM W/CONTRAST,C8929,"1,375.00"
0483003,ECHO 2D W/DOPPLER W/CONTRAST,C8929,"1,375.00"
0483004,ECHOCARDIOGRAPHY STRESS W/CON,C8929,"1,375.00"
0483005,ECHO 2D W/CONTRAST,C8923,"1,375.00"
0510005,TELEPSYCH - INPATIENT,Q3014,100.00
0510007,TELENEUROLOGY - INPATIENT,Q3014,100.00
0510008,TELEPSYCH - EMERGENCY DEPT,Q3014,100.00
0510018,TELESTROKE - EMERGENCY DEPT,Q3014,100.00
0510019,TELENEUROLOGY - EMERGENCY DEPT,Q3014,100.00
0720001,"DELIVERY OF PLACENTA, SEP PROC",59414,"3,000.00"
0720002,"VAGINAL DELIVERY,PRE&POST CARE",59400,"5,000.00"
0720003,"VBAC, PRE & POST CARE",59610,"5,500.00"
0740001,UPPER/LOWER SEP,95938,500.00
0740002,UPPER/LOWER MEP,95939,500.00
0740003,UPPER LIMB SEP BILATERAL,95925,500.00
0740004,LOWER LIMB SEP BILATERAL,95926,300.00
0740005,FEMORAL SEP BILATERAL,95927,500.00
0740006,TcMEP UPPER EXTREMITY,95928,500.00
0740007,TcMEP LOWER EXTREMITY,95929,125.00
0750102,SIGMOIDOSCOPY FLEX W/INJECTION,45335,"1,052.00"
0750103,"ENDOSCOPY SM INT,BLEEDING CTRL",44366,"2,080.00"
0750104,"UNLISTED PROCEDURE,ESOPHAGUS",43499,"1,200.00"
0750105,NG TUBE PLACEMENT BY MD,43752,528.00
0750106,FLEX SIGMOIDOSCOPY SCREENING,G0104,900.00
0761106TF,REMOVE PACEMAKER ELECTRODE,33235,"2,934.00"
0761112,REMOVE/REPLACE PACEMKR DUAL,33228,"10,074.00"
0761113,EXC OF TUMOR BACK 5CM>,21933,"3,025.00"
0761114,INSERT TUNNELED CATH W/ CUFF,32550,"4,301.00"
0761115,REMOVE/REPLACE PCEMKR MULTIPLE,33229,"13,444.00"
0761117,REMVE/REPLCE PCEMAKR PULSE GEN,33227,"9,895.00"
0761200TF,DG NERVEROOT BL CER/THO 1ST,64479,"1,137.00"
0761201TF,DG NERVEROOT BL CER/THOR EA AD,64480,660.00
0761202TF,DG NERVEROOT BL LUM/SAC 1ST,64483,"1,162.00"
0761203TF,DG NERVEROOT BL LUM/SAC EA AD,64484,660.00
0761204BTF,DG FACET INJ CER/THO 1STLVL BI,64490,"2,630.00"
0761204TF,DG FACET INJ CER/THOR 1ST LVL,64490,"1,315.00"
0761205BTF,DG FACET INJ CER/THO 2NDLVL BI,64491,"1,676.00"
0761205TF,DG FACET INJ CER/THOR 2ND LVL,64491,838.00
0761206BTF,DG FACET INJ CER/THO 3RDLVL BI,64492,"1,676.00"
0761206TF,DG FACET INJ CER/THOR 3RD LVL,64492,838.00
0761207BTF,DG FACET INJ LUM/SAC 1STLVL BI,64493,"2,630.00"
0761207TF,DG FACET INJ LUM/SAC 1ST LVL,64493,"1,344.00"
0761208BTF,DG FACET INJ LUM/SAC 2NDLVL BI,64494,"1,676.00"
0761208TF,DG FACET INJ LUM/SAC 2ND LVL,64494,856.00
0761209BTF,DG FACET INJ LUM/SAC 3RDLVL BI,64495,"1,676.00"
0761209TF,DG FACET INJ LUM/SAC 3RD LVL,64495,856.00
0761210TF,CT PERC DRAIN SUBQCUT FLUID,10140,"1,846.00"
0761211TF,CT PUNC ASP SUPERFICIAL FLUID,10160,441.00
0761215TF,TF INJECTION; 1 OR 2 MUSCLES,20552,440.00
0761217TF,TF SACROILIAC JOINT INJECTION,G0260,"1,146.00"
0761224TF,"TF INTERCOSTAL NERVE, SINGLE",64420,"1,179.00"
0761225TF,"TF INTERCOSTAL NERVES, MULTI",64421,"1,146.00"
0761230TF,TF PARAVERTEBRAL,64520,"1,847.00"
0761244TF,TF OTH PERIPHERAL NERVE/BRANCH,64450,438.00
0761300TF,PTA ILIAC UNILAT INTL,37220,"5,671.00"
0761301TF,PTA ILIAC UNILAT INTL W STENT,37221,"5,671.00"
0761302TF,PTA ILIAC ADDTL VESSEL,37222,"5,671.00"
0761303TF,PTA ILIAC ADDTL VESSEL W STENT,37223,"5,671.00"
0761304TF,PTA FEM ARTY UNILAT,37224,"5,671.00"
0761305TF,PTA FEM ARTY UNILAT W STENT,37226,"12,038.00"
0761306TF,PTA TIB ARTY UNILAT INTL,37228,"5,671.00"
0761307TF,PTA TIB ARTY UNILT INTL W STNT,37230,"12,038.00"
0761308TF,PTA TIB ARTY UNLT ADTL VESSL,37232,"5,671.00"
0761309TF,PTA TIB ART UNLT ADL VSL WSTNT,37234,"5,671.00"
0761310TF,PERCUTANEOUS ASPIRATION,62267,592.00
0761400,INFANT CAR SEAT TEST,94780,275.00
0761401,External Cephalic Version,59412,"2,500.00"
0761402,BLOOD DRAW VASCULAR DEVICE,36591,178.00
0761403,BLOOD DRAW IV OR CENTRAL LINE,36592,178.00
0761404,BLADDER CAPACITY NON-IMAGING,51798,120.00
0761405,INSERT STRAIGHT BLADDER CATH,51701,130.00
0761408,LEVEL 1 FACILITY FEE,G0463,189.00
0761409,SKIN TISSUE REARRANGEMENT,14060,"3,000.00"
0761411,EXC TUMOR BACK/FLANK <5CM,21932,"2,500.00"
0761412,"REPAIR,COMPLEX TRUNK 2.6-7.5CM",13101,841.00
0762104,TU OBS 1ST HOUR,G0378,194.00
0762105,TU OBS EACH ADDL HOUR,G0378,7.00
0762200,LABOR OBS FOR PT W/ NST/HOUR,G0378,176.00
0771100,IMMUNIZATION ADMIN 1 VACCINE,90471,86.00
0771101,IMMUNIZATION ADMN EA ADDTL VAC,90472,26.00
0771102,TETANUS ADMINISTRATION IP,90471,86.00
0771112,ADMIN INFLUENZA VACCINE IP,G0008,86.00
0771113,ADMIN PNEUMOCOCCAL VACCINE IP,G0009,86.00
0771114,ADMIN OF HEPATITIS B VACCINE,G0010,86.00
0771122,ADMIN PNEUMOCOCCAL VACCINE ED,G0009,86.00
0771127,ADMIN INFLUENZA VACCINE ED,G0008,86.00
0920100TF,UNLST NONINVASIVE VAS DIAG TF,93998,62.00
0920101,TF VAS ANALYSIS OF ELECTRODES,95972,321.00
0920102,COMPREHENSIVE MOTION ANALYSIS,96000,297.00
0920103,ANALYZE NEUROTISM SIMPLE,95971,255.00
0920104TF,INTRACRANIAL ARTERIES COMPLETE,93886,500.00
0920105TF,"INTRACRANIAL ARTERIES, LIMITED",93888,500.00
0920106,NEUROMUSCULAR JUNCTION TESTING,95937,200.00
0920107,CONT INTRAOP  MONITOR 15MINS,95940,100.00
0920108,NEURO MONITORING OUTSIDE OR,95941,200.00
0921100TF,DUPLEX SCAN HEMODIALYSIS ACCES,93990,300.00
0922001,FREE RUN EMG BILATERAL,95861,300.00
0922002,FREE RUN EMG UNILATERAL,95870,125.00
0922003,EMG CRANIAL NERVES BILATERAL,95868,500.00
0922004,EMG CRANIAL NERVES UNILATERAL,95867,250.00
0948001,"PULMONARY REHAB, ONE HOUR",G0424,75.00
10000,EEG,95819,692.00
10015,STRESS TEST,93017,500.00
10017,STRESS TEST W/EXERCISE,93017,500.00
10025,SIGNAL AVERAGED EKG,93278,158.00
103422,MALYUGEN RING IMPLANT,,187.63
105480,"LENS,IOL",V2632,587.06
20646,IV INF CONCURRENT INFUSION,96368,79.00
20647,COLLECTION OF BLOOD PICC LINE,36592,178.00
20648,CL TX HIP DISLOC W/ANES,27252,"2,215.00"
20649,"REP BLOOD VESSEL, LOW EXTR",35226,"1,000.00"
20651,CL TX POST HIP DISLOC W/ANES,27266,"2,100.00"
20652,DRAINAGE SKENE'S GLAND ABSCESS,53060,"3,000.00"
20669,"IV SEQUENTIAL INFUSION, 1HR",96367,83.00
20670,IM INJECTION,96372,96.00
20671,RABIES IMMUNIZATION-PER SERIES,90471,136.00
20672,TETANUS ADMINISTRATION ED,90471,69.00
20673,IMMUNIZATION ADM; EA ADD VACC,90472,26.00
20674,INT REP F/E/N/L/MM; 7.6-12.5CM,12054,273.00
20675,CREP F/G/H/F; 2.6-7.5CM,13132,748.00
20676,CL TX TMJ DISLOCATION; INITIAL,21480,403.00
20677,CL TX SHLDR DIS W MAN WO ANSTH,23650,286.00
20678,CL TX SC/TX HUM SHFT FX W MANP,24535,330.00
20679,RX CL ELBOW DISLOC WO ANESTH,24600,286.00
20680,REP TENDN/MSCL - FARM.WRIST,25260,"4,365.00"
20681,TREAT FRACTURE RADIUS/ULNA,25605,351.00
20682,"CL TX CMC FX DISL, THUMB W MNP",26645,330.00
20683,CL TX POST HIP DISLOC WO ANSTH,27265,466.00
20685,CL TX KNEE DISL; WO ANESTH,27550,280.00
20686,"REM FB, FOOT; SQ",28190,558.00
20687,CL TX METATARSAL FX; W MANIP,28475,280.00
20688,"LARYNGOSCOPY, FLEX; DIAGNOSTIC",31575,279.00
20689,"CL LAC, MOUTH VESTIB; 2.5CM/ <",40830,321.00
20691,UNLST PROC DENTOALVEOLAR STRUC,41899,346.00
20694,REMOVAL OF NAIL BED,11750,645.00
20695,CREP E/N/L 2.6-7.5 CM,13152,677.00
20696,DRAIN INJ MAJOR JNT BURSA,20610,440.00
20697,CL TX NRSMD ELBOW W MANIP,24640,286.00
20698,CL TX RADIAL & ULNA FX W MANIP,25565,351.00
20700,OPEN TREATMT DISTL FINGER FX E,26765,"3,324.00"
20703,CL TX SH DSL FX HUM TUBRST MPJ,23665,646.00
20706,CL TX ANKLE DISLOCAT WO ANESTH,27840,480.00
20707,DRAIN FINGER ABSC SIMPLE,26010,200.00
20709,INJ ANESTH; FACIAL NERVE,64402,301.00
20711,CL TX TIB SHFT FX W MANIP,27752,"2,906.00"
20712,EVAC SUBUNGUAL HEMATOMA,11740,110.00
20715,INCISION DRNGE OF BARTHOLIN GL,56420,400.00
20716,CLSD TRTMT CRPMTCRPL DSLCTN,26641,450.00
20718,CLD TRTMT FRCTR WGT BRG TIBIA,27825,"2,643.00"
20719,CLD TRTMT MD MALLUS FRCTR,27762,"2,643.00"
20803,TRANSFUSION SERVICE ED,36430,473.00
20820,INT REP F/E/N/L/MM 5.1-7.5 CM,12053,247.00
20824,"THROMBOLYTIC THERAPY, STROKE",37195,325.00
20825,REP COMPL E/N/E/L < 5CM EA ADD,13153,479.00
20827,CLSD TXMT HAND FRACTURE W MANP,26605,351.00
20828,OPEN TXMT FINGER DISLOCATION,26785,"4,169.00"
20829,I & D PERIRECTAL ABSCESS,46040,"4,048.00"
20830,DRAINAGE SCROTAL WALL ABSCESS,55100,"1,751.00"
20831,MALE GENITAL I & D,55899,219.00
20901,CL TX DISLOCATION JOINT,26670,470.00
23931,INC & DRAIN ELBOW BURSA,23931,"2,759.00"
24000,PHLEBOTOMY,99195,91.00
25001,BRONCH W/WO CELL WASHINGS,31622,"1,260.00"
25003,BRONCHOSCOPY W/BRUSHINGS,31623,"1,311.00"
25006,BRONCH W/BRONC ALVEOLAR LAVAGE,31624,"1,340.00"
25007,BRONCHOSCOPY W/SGL MULTI BX,31625,"1,339.00"
25008,BRONCH W/TB SGL LOB LUNG BX,31628,"1,339.00"
25009,TBRONCH NDL ASP BX(S),31629,"1,316.00"
25010,NASAL PHARYNGEAL SCOPE,92511,210.00
25011,TB LUNC BX EA ADDL LOBE,31632,"1,298.00"
25012,TBRONCH NDL ASP EA ADDL LOBE,31633,"1,298.00"
25013,BRONCH W/REM FB,31635,"1,231.00"
25014,BRONCH W/TX ASP TRACHEOB TR IN,31645,"1,298.00"
25016,BRONCH W/TX ASP TRACHOBR SUBSE,31646,"1,298.00"
25018,COLON DX W/TRANSENDO BAL DILAT,45386,"1,323.00"
25019,COLON;FLEX;DX W/ABLATION T/P/L,45388,"1,500.00"
25021,COLON;FLEX;DX W/ STENT,45389,"1,500.00"
25022,UNLISTED PROCEDURE COLON,45399,"1,500.00"
25025,"SIGMOIDOSCOPY, FLEX; DX",45330,964.00
25026,SIGMOID;FLEX W/ ABLATION T/P/L,45346,"1,500.00"
25027,ILEOSCOPY THRU STOMA W BX,44382,"2,033.00"
25028,SIGMOID;FLEX W/PLACEMENT STENT,45347,"1,500.00"
25031,"UNLISTED PROCEDURE,STOMACH",43999,"1,275.00"
25032,"EGD, FLEX W/BIOPSY",43202,"2,425.00"
25046,EGD W DIR SUBMUCOSAL INJ ANY,43236,"1,846.00"
25048,ENDOSCOPY SMALL INTESTINE,44360,"1,898.00"
25049,ENDOSCOPY SML INTESTINE W BX,44361,"1,898.00"
25051,CONS SEDATION INITIAL 15 MIN,G0500,185.00
25052,CONS SEDATION EA ADDL 15MIN,99153,80.00
25053,CONS SEDATION OTH PHYS 1ST 15M,99156,185.00
25054,CONS SED OTHER PHY/EA ADD 15MI,99156,80.00
25056,GENERAL SEDATION,,370.00
25057,GEN SEDATION,,370.00
25900,TRANSESOPHOGEAL ECHO,93312,980.00
26004,"INC & REM FB, SQ; SMPL",10120,442.00
26006,DRAINAGE-HEMATOMA/SEROMA-SIMPL,10140,"1,846.00"
26007,ASPIRATION-ABCESS OR HEMATOMA,10160,441.00
26011,DEBRIDEMENT SKIN&SUBQ TISSUE,11042,600.00
26012,"SPU: SKIN TAGS, UP TO 15",11200,230.00
26014,SPU: SKIN LESION <.5 CM,11400,585.00
26015,SPU: SKIN LESION .6-1.CM,11401,871.00
26016,SPU: SKIN LESION 1.1-2.0 CM,11402,"1,036.00"
26017,SPU: SKIN LESION 2.1-3.0 CM,11403,"1,233.00"
26018,SPU: SKIN LESION 3.1-4.0 CM,11404,"2,256.00"
26019,SPU: SKIN LESION >4 CM,11406,"2,256.00"
26020,SPU: SKIN LESION SNHFG<.5CM,11420,"1,100.00"
26023,SPU: SKIN LES SNHFG 2.1-3.CM,11423,"1,536.00"
26024,SPU: SKIN LES SNHFG 3.1-4.CM,11424,"1,867.00"
26025,SPU: SKIN LESION SNHFG>4.CM,11426,"2,416.00"
26029,SPU: SKIN LESN FEENLM 2.1-3.CM,11443,"1,040.00"
26030,SPU: SKIN LESN FEENLM 3.1-4.CM,11444,"1,040.00"
26056,DEBRIDEMENT-NAILS MAN. 5&LESS,11720,180.00
26058,SREP S/N/A/G/TR/E; 2.5CM/<,12001,340.00
26059,SMPL REPR/X FACE 2.6-7.5 CM,12002,202.00
26060,SMPL REPR/ XFACE 7.6-12.5 CM,12004,202.00
26061,SMPL REPR/ X FACE 12.6-20. CM,12005,260.00
26062,SMPL REPR/ X FACE 20.1-30. CM,12006,400.00
26063,SMPL REPR/ X FACE >30.0 CM,12007,260.00
26064,SMPL REPR/ FACE TO 2.5 CM,12011,202.00
26065,SMPL REPR/ FACE 2.6-5.0 CM,12013,202.00
26066,SMPL REPR /FACE 5.1-7.5 CM,12014,202.00
26067,SMPL REPR/ FACE 7.6-12.5 CM,12015,260.00
26068,SMPL REPR / FACE 12.6-20.0 CM,12016,260.00
26069,SMPL REPR / FACE 20.1-30.0 CM,12017,260.00
26070,SPML REPR / FACE > 30.0 CM,12018,260.00
26071,LAYER CLSR/SCLP TRK TO 2.5 CM,12031,400.00
26072,LAYER CLSR/SCLP TRK 2.6-7.5 CM,12032,442.00
26073,LAYER CLSR/SCLP TRK 7.6-12.5CM,12034,442.00
26074,LAYER CLSR/SCLP TRK 12.6-20.CM,12035,800.00
26075,LAYER CLSR/SCLP TRK 20.1-30.CM,12036,800.00
26076,LAYER CLSR/SCLP TRK >30.0 CM,12037,800.00
26077,LAYER CLSR/NECK H F TO 2.5CM,12041,400.00
26078,REP CMPL-SCP/ARM/LEG 1.1-2.5CM,13120,400.00
26079,REP CMPL-SCLP/ARM/LG 2.6-7.5CM,13121,800.00
26080,INITIAL TX OF 1ST DEGREE BURN,16000,103.00
26095,DSTRCT-FLAT WRT/MOL CONT TO 15,17110,160.00
26097,MASTOTOMY-DRAINAGE-DEEP,19020,"2,037.00"
26103,SHLDR W/MNIP W/ANES,23655,"2,057.00"
26106,CL TX PHAL SHAFT FX; WO MANIP,26720,195.00
26107,CL TX PHALANG SHFT FX; W MANIP,26725,199.00
26108,"CL TX ART FX, MCP/IP JNT; WO M",26740,195.00
26109,"CL TX ARTFX, MCP/IP JNT; W MAN",26742,199.00
26110,FINGER FX-DIST W/O MANIP EACH,26750,199.00
26111,FINGER FX-DISTAL W/MANIP-EACH,26755,195.00
26112,"CL TX IP JNT D, W MANIP ;WO AN",26770,340.00
26113,"CL TX IP JT D, W MANIP; W ANES",26775,"1,853.00"
26114,DSLCT PATELLA CLOSED-W/O ANEST,27560,199.00
26115,DSLCT PATELLA-CLOSED W/ ANESTH,27562,"1,782.00"
26116,FX PHAL-GR TOE CLSD W/O MANIP,28490,195.00
26117,FX PHAL-GREAT TOE CLSD W/MANIP,28495,195.00
26118,FX O/T GREAT TOE W/O MANIP,28510,195.00
26119,FX O/T GREAT TOE W/ MANIP,28515,199.00
26120,CLOSE TREAT SESAMOID FX,28530,187.00
26121,CL TX TARSAL BONE DISLO; WO AN,28540,195.00
26122,CL TX TARSAL BONE DISLOC; W AN,28545,"1,782.00"
26123,CL TX TALOTARSAL JOINT DIS; WO,28570,187.00
26124,CL TX TALOTARSAL JOINT DISL; W,28575,221.00
26125,CL TX TMT JNT DISL; WO ANESTHE,28600,195.00
26126,CL TX TMT JNT DISL; W ANESTHES,28605,229.00
26127,CL TX MTP JNT DISLOC; WO ANEST,28630,195.00
26128,CL TX MTP JNT DISLOC; W ANESTH,28635,"1,782.00"
26129,CL TX IP JOINT DISL; WO ANESTH,28660,195.00
26130,CL TX IP JOINT DISL; W ANESTH,28665,"1,782.00"
26131,SPLINT APPL-LONG ARM,29105,149.00
26132,"SPLINT APPL-SHORT ARM,STATIC",29125,134.00
