"Service Description","CPT Code","Charge Type","Christiana Facility Price"
"ABLATION,PULMONARY TUMOR(S),CRYOABLATION,PERC,UNI NR",32994,Hospital,"$4,840.00"
"ABLATION,PULMONARY TUMOR(S),RF,PERC,UNI GLP",32998,Hospital,"$5,770.50"
"ABLATION,PULMONARY TUMOR(S),RF,PERC,UNI NR",32998,Hospital,"$5,770.50"
"ABLATION,PULMONARY TUMOR,CYROABLATION,UNIL,W IMG GUID,PERC GLP",0340T,Hospital,"$5,515.50"
"ABLATION,PULMONARY TUMOR,CYROABLATION,UNIL,W IMG GUID,PERC NR",0340T,Hospital,"$5,515.50"
"ABLATION,RENAL TUMOR,CRYOTHERAPY,UNI,PERC GLB",50593,Hospital,"$11,657.00"
"ABLATION,RENAL TUMOR,CRYOTHERAPY,UNI,PERC GLP",50593,Hospital,"$11,657.00"
"ABLATION,RENAL TUMOR,CRYOTHERAPY,UNI,PERC NR",50593,Hospital,"$11,657.00"
"ABLATOR, E-FLEX",,Hospital,"$2,337.59"
"ABN OPTION 2, DO NOT BILL",,Hospital,$0.00
"ABN/LON REFUSED",,Hospital,$0.00
"ABN/LON SIGNED",,Hospital,$0.00
ABO,86900,Hospital,$52.00
"ABRADER, 4.0MM 180MM LONG",,Hospital,$236.47
"ABRAXANE 1 MG",J9264,Hospital,$39.50
"ABSORBER, CO2 DRAGERSORB CLIC",,Hospital,$71.61
ABSORPTION/RBC,86978,Hospital,$66.50
"ABUTMENT, CERTAIN EP HEALING  3.4X5X3MM",,Hospital,$190.40
"ABUTMENT, CERTAIN HEALING 5 X 5 X 2",,Hospital,$190.40
"ABUTMENT, CERTAIN UCLA GOLD 3.4MM",,Hospital,$449.23
"ABUTMENT, STANDARD LAB ANALOG",,Hospital,$113.05
"ACAPELLA VEST, DISPENSED",,Hospital,$166.00
"ACCELERATOR, II 4MMX32CM",,Hospital,$63.75
"ACCELERATOR, III 3MMX15CM",,Hospital,$63.75
"ACCELERATOR, III 3MMX26MM",,Hospital,$63.75
"ACCELERATOR, III 4MMX15CM",,Hospital,$63.75
"ACCELERATOR, III 4MMX26CM",,Hospital,$63.75
"ACCELERATOR, III 6MMX32CM",,Hospital,$63.75
"ACCENT REDUCTION THERAPY",,Hospital,"$3,046.50"
"ACCENT REDUCTION THERAPY $0",,Hospital,$0.00
"ACCESS PORT A CATH",,Hospital,$195.50
"ACCESSORIES BATTERY CADDY",,Hospital,$2.00
"ACCESSORIES BATTERY TESTER",,Hospital,$11.00
"ACCESSORIES EAR WASH KIT",,Hospital,$10.50
"ACCESSORIES EARGENE",,Hospital,$14.50
"ACCESSORIES EARMOLD BLOWER",,Hospital,$10.00
"ACCESSORIES HA BATTERIES/PK",,Hospital,$4.00
"ACCESSORIES LG DRY AID KIT",,Hospital,$11.50
"ACCESSORIES OTOEASE",,Hospital,$4.50
"ACCESSORIES PHONE PAD",,Hospital,$4.50
"ACCESSORIES SM DRY AID KIT",,Hospital,$11.50
"ACCESSORIES ZEPHR",,Hospital,$131.00
"ACCESSORY, BAHA 5 WIRELESS TV STREAMER",L8699,Hospital,"$1,381.25"
"ACCESSORY, PHONE CLIP BAHA 4 WIRELESS",L8699,Hospital,"$1,253.75"
"ACCESSORY, REMOTE CONTROL BAHA 4",L8699,Hospital,$637.50
"ACCUFEED PREEMIE NIPPLE",,Hospital,$12.50
"ACCUPROBE BACTERIA ID",87149,Hospital,$86.50
"ACE REC AB",82164,Hospital,$230.00
"ACE WRAP",,Hospital,$15.00
"ACETABULAR LINER, +4  10DEGREE  36MM ID  54MM OD",,Hospital,$0.00
"ACETABULAR SYSTEM",,Hospital,$0.00
"ACETABULAR SYSTEM 200137",,Hospital,$0.00
ACETAMINOPHEN,80307,Hospital,$141.00
"ACETONE,SERUM,QUALITATIVE",82009,Hospital,$43.00
"ACETONE/KETONE BODIES,SERUM,QUANTITATIVE,BETA HYDROXYBUTYRATE",82010,Hospital,$61.50
ACETYLCHOLINESTERASE,82013,Hospital,$146.00
"ACETYLCYSTEINE 800MG/4ML",,Hospital,$0.00
"ACID FAST STAIN",87206,Hospital,$57.00
"ACID, CITRIC 100GM PACKET",,Hospital,$4.25
"ACID, CONCENTRATE-CENTRISOL 0K/0CA ONE GALLON",,Hospital,$12.96
"ACID, CONCENTRATE-CENTRISOL 2K/2CA ONE GALLON",,Hospital,$12.96
"ACOUSTIC IMMITTANCE TESTING,W TYPMPANOMETRY/ACOUSTIC REFLEX THRESH/ACOUSTIC REFLEX DECAY TESTING",92570,Hospital,$139.50
"ACOUSTIC REFLEX TESTING,THRESHOLD",92568,Hospital,$130.00
ACTH,82024,Hospital,$237.00
"ACTIFUSE, CYLINDER SHAPE LARGE 8ML",,Hospital,"$6,587.50"
"ACTIFUSE, MIS 1-2MMX7.5ML",,Hospital,"$6,268.75"
"ACTIFUSE, SHAPE 1-2MMX1.6ML",,Hospital,"$1,700.00"
"ACTIFUSE, SHAPE 1-2MMX15.8ML",,Hospital,"$12,622.50"
"ACTIFUSE, SHAPE 2.6ML MED CYLINDER",,Hospital,"$3,187.50"
"ACTIVATED CLOTTING TIME",85347,Hospital,$49.00
"ACTIVATED PROTEIN C RESISTANCE",85307,Hospital,$170.00
"ACUTE GASTROINTESTINAL BLOOD LOSS IMAGING GLB",78278,Hospital,$840.50
"ACUTE GASTROINTESTINAL BLOOD LOSS IMAGING PF",78278,Physician,$273.00
"ACUTE HEPATITIS PANEL",80074,Hospital,$491.00
"ADAM TS13 AB",85999,Hospital,$317.50
"ADAM TS13 INHIB",85335,Hospital,$253.00
"ADAM TS13 VW CLEAVING PROTEASE",85246,Hospital,$347.00
"ADAPTER CLICK FOR J",,Hospital,$21.11
"ADAPTER, +10.5MM ENDO HEAD",,Hospital,$0.00
"ADAPTER, +14.0MM ENDO HEAD",,Hospital,$0.00
"ADAPTER, +7.0MM ENDO HEAD",,Hospital,$0.00
"ADAPTER, 1/4"" PERF. W/ M-LUER",,Hospital,$16.98
"ADAPTER, 16FR UNIVERSAL PEG",,Hospital,$20.17
"ADAPTER, 20FR UNIVERSAL PEG",,Hospital,$20.17
"ADAPTER, 4MM OFFSET",,Hospital,"$3,009.00"
"ADAPTER, ACCESS CHECK FLO II",,Hospital,$76.67
"ADAPTER, AERONEB AEROSOL",,Hospital,$48.88
"ADAPTER, AIRLESS ROTATING W/59IN TUBING",,Hospital,$23.16
"ADAPTER, BARD PEG BUTTON",,Hospital,$36.98
"ADAPTER, BED SURGICAL",,Hospital,"$6,494.00"
"ADAPTER, BERNOULLI RJ45/DB25 7200VENT",,Hospital,$63.75
"ADAPTER, BERNOULLI RJ45/DB9 DRAGER VENT",,Hospital,$63.75
"ADAPTER, BIOLOX STD",,Hospital,$0.00
"ADAPTER, BIOLOX TAPER +3 NECK",,Hospital,"$1,032.75"
"ADAPTER, BIOLOX TAPER -3MM NECK",,Hospital,$0.00
"ADAPTER, BIOLOX TAPER -6MM",,Hospital,$0.00
"ADAPTER, CATH PERITONEAL DIAL",,Hospital,$773.86
"ADAPTER, CATHETER",,Hospital,$0.81
"ADAPTER, CEMENT CARTRIDGE THREAD",,Hospital,$93.50
"ADAPTER, CHECKFLOW VALVE",,Hospital,$56.23
"ADAPTER, CORONARY PERFUSION",,Hospital,$37.93
"ADAPTER, DUAL MALE",,Hospital,$0.48
"ADAPTER, DUAL PORT ENDO",,Hospital,$59.50
"ADAPTER, EKG JOHANS",,Hospital,$12.75
"ADAPTER, ELBOW FOR AEROECLIPSE II BAN NEBULIZER",,Hospital,$0.56
"ADAPTER, EXTENSION LINE DLP 10""",,Hospital,$27.46
"ADAPTER, FEMALE LUERLOCK",,Hospital,$12.37
"ADAPTER, HEARTMATE II PC CARD",,Hospital,$127.50
"ADAPTER, HIP STAGE ONE NECK +6MM",,Hospital,$0.00
"ADAPTER, IRRIGATION FOR MACHINE CLEANING F/11301BNX",,Hospital,$68.43
"ADAPTER, LEAD 6931",C1883,Hospital,"$1,487.50"
"ADAPTER, LEAD BIS-IS-15 15CM OSCOR",,Hospital,"$1,062.50"
"ADAPTER, LEAD IS-1 OSCOR 6162",C1883,Hospital,"$1,487.50"
"ADAPTER, LEAD UNIPOLAR TO BIPOLAR",C1883,Hospital,"$1,062.50"
"ADAPTER, LUER ASPIRA HOME DRAINAGE",,Hospital,$132.60
"ADAPTER, M2A MAGNUM TAPER 42-50MM",,Hospital,$0.00
"ADAPTER, M2A MAGNUM TAPER 52-60MM + 3MM",,Hospital,$0.00
"ADAPTER, MAGNUM TAPER 42-50MM",,Hospital,$0.00
"ADAPTER, MAGNUM TAPER HEAD M2A 52-60MM",,Hospital,$0.00
"ADAPTER, MAGNUM TAPER M2A 24-50MM PLUS 3MM",,Hospital,$0.00
"ADAPTER, MAGNUM TAPER M2A 42-50MM +6MM",,Hospital,$0.00
"ADAPTER, MAGNUM TAPER M2A 52-60MM MINUS 3MM",,Hospital,$0.00
"ADAPTER, MAGUM TAPER M2A 42-50MM",,Hospital,$0.00
"ADAPTER, MICRO CLAVE MALE LUER LOCK",,Hospital,$4.80
"ADAPTER, MONOPOLAR FOR VL BOVIE",,Hospital,$395.76
"ADAPTER, MULITPURPOSE ENTERAL FEEDING",,Hospital,$42.50
"ADAPTER, MULTIPLE PERFUSION",,Hospital,$7.95
"ADAPTER, MULTIPURPOSE TUBING",,Hospital,$30.86
"ADAPTER, NITRIC NEB OPTIFLOW JUNIOR 2",,Hospital,$41.97
"ADAPTER, OD 21MM LENGTH 18MM",,Hospital,$231.29
"ADAPTER, ROD LRF LONG L=88MM",,Hospital,$502.86
"ADAPTER, ROD LRF MEDIUM L=44MM",,Hospital,$369.92
"ADAPTER, RUBBER T",,Hospital,$71.61
"ADAPTER, SAFE LOCK",,Hospital,$42.29
"ADAPTER, SHEATH",,Hospital,$40.38
"ADAPTER, SHEATH CONTAMINATION SHIELD",,Hospital,$114.08
"ADAPTER, SIGMA FEMORAL BOLT NEUTRAL",,Hospital,$0.00
"ADAPTER, SILICON",,Hospital,$26.66
"ADAPTER, SLEEVE TAPER SZ 12/14",,Hospital,$0.00
"ADAPTER, SLEEVE TI UNIVERSAL V40  TAPER +0MM",,Hospital,$0.00
"ADAPTER, SLEEVE TI UNIVERSAL V40 TAPER +4MM",,Hospital,$0.00
"ADAPTER, SP02 WITH EXTENSION CABLES",,Hospital,$642.60
"ADAPTER, SPIKE 4.5IN",,Hospital,$0.76
"ADAPTER, STAY SAFE LUER LOCK 12 INCH",,Hospital,$95.97
"ADAPTER, STAY SAFE LUER LOCK 4 INCH",,Hospital,$53.04
"ADAPTER, SWIVEL",,Hospital,$50.58
"ADAPTER, SWIVEL TRACH FIBEROPT",,Hospital,$17.89
"ADAPTER, T-PIECE",,Hospital,$0.17
"ADAPTER, TRANSDUCER EXFIX",,Hospital,"$1,912.50"
"ADAPTER, UNIPOLAR LEAD 3.2MM LOW-PROFILE CONN TO IS-1 RECEPT 14CM",C1883,Hospital,"$1,381.25"
"ADAPTER, UNIPOLAR LEAD 3.2MM LOW-PROFILE CONN TO IS-1 RECEPT 47CM",C1883,Hospital,"$1,168.75"
"ADAPTER, UNIPOLAR LEAD 4.75MM CONN TO IS-1 RECEPT",C1883,Hospital,"$1,168.75"
"ADAPTER, UNIPOLAR LEAD 5.6MM CONN TO IS-1 RECEPT",C1883,Hospital,"$1,168.75"
"ADAPTER, UNIPOLAR LEAD 5MM BIFURCATED CONN TO IS-1 RECEPT",C1883,Hospital,"$1,381.25"
"ADAPTER, URE CATH  F4908",,Hospital,$0.41
"ADAPTER, URE CATH CON 3-6FR",,Hospital,$25.42
"ADAPTER, URE CATH CON 7-10FR",,Hospital,$18.74
"ADAPTER, URE CATH CON SIDE ARM",,Hospital,$58.86
"ADAPTER, URODYNAMIC INFUSION",,Hospital,$51.00
"ADAPTER, UROLOCK",,Hospital,$53.47
"ADAPTER, UROSTOMY DRAIN TUBE",,Hospital,$4.58
"ADAPTER, VALVE TEE ONE ARM 22MM ID/22MM OD",,Hospital,$6.03
"ADAPTER, VENTED SYRINGE NUCLEAR MEDICIN",,Hospital,$6.40
"ADAPTER, VIAL MULTI-DOSE",,Hospital,$5.00
"ADAPTER, VIAL WITH CLAVE",,Hospital,$8.76
"ADAPTER, WIRE BOLT LONG MAX 50KG TENSIONING",,Hospital,$0.00
"ADAPTER, WIRE BOLT SHORT MAX 90KG TENSIONING",,Hospital,$0.00
"ADAPTER, Y GATEWAY PLUS .118",,Hospital,$96.48
"ADAPTER,CELL SAVER",,Hospital,$56.74
"ADAPTER,STAY SAFE 050-95003",,Hospital,$46.50
"ADAPTERS, MAGNETIC HDL-CHOL.",,Hospital,$38.74
"ADAPTOR LEAD MODEL 6984",C1883,Hospital,$786.25
"ADAPTOR,  FEMORAL 5 DEGREE",,Hospital,$0.00
"ADAPTOR, ADULT AIRWAY",,Hospital,$65.14
"ADAPTOR, AEQUALIS REVERSED FRACTURE HEMI PROSTHESIS",,Hospital,$0.00
"ADAPTOR, AIRWAY NEONATAL PEDIATRIC",,Hospital,$65.28
"ADAPTOR, APEX PIN HOFFMAN LRF LONG 03-6",,Hospital,"$1,381.42"
"ADAPTOR, APEX PIN HOFFMAN LRF SHORT 03-6",,Hospital,"$1,352.52"
"ADAPTOR, B-SCOPE - REUSABLE",,Hospital,$748.00
"ADAPTOR, BIOPSY VALVE",,Hospital,$30.46
"ADAPTOR, BIPOLAR LEAD",C1883,Hospital,"$2,975.00"
"ADAPTOR, BLADE CS/LCS SYSTEM",,Hospital,$159.38
"ADAPTOR, BLADE SYSTEM 5MM",,Hospital,$171.64
"ADAPTOR, CO2 ADULT/PED",,Hospital,$53.52
"ADAPTOR, DRIVE QC FOR 5.0MM SCHANZ SCREWS",,Hospital,$824.16
"ADAPTOR, HARMONIC HAND SWITCH",,Hospital,$210.38
"ADAPTOR, LUER TO LUER",,Hospital,$153.00
"ADAPTOR, PEEP 30MM",,Hospital,$14.79
"ADAPTOR, PERITONEAL DIALYSIS TI",,Hospital,$531.25
"ADAPTOR, REFLECTION CONSTRAINED LINER 28X54-56MM",,Hospital,$0.00
"ADAPTOR, REFLECTION CONSTRAINED LINER 54-56MM",,Hospital,$0.00
"ADAPTOR, ROD",,Hospital,"$1,868.60"
"ADAPTOR, SAFE SHEATH SEALING",,Hospital,$263.50
"ADAPTOR, SLEEVE TI UNIVERSAL V40 TAPER  -2.5MM",,Hospital,$410.89
"ADAPTOR, TAPER SLEEVE 12/14 +2",,Hospital,$0.00
"ADAPTOR, TRIATHLON OFFSET 4MM",,Hospital,$0.00
"ADAPTOR, VERSA-DIAL TAPER TI STD",,Hospital,$425.00
"ADAPTOR, W/NASAL CO2 SAMPLING",,Hospital,$72.04
"ADAPTOR, WATER CHANNEL CLEANING",,Hospital,"$4,298.28"
"ADAPTOR,SYNERGY NEURO STIMULAT",C1883,Hospital,$10.00
"ADHESIVE, BIOGLUE HUD 10CC",,Hospital,"$2,545.75"
"ADHESIVE, BIOGLUE HUD 5CC",,Hospital,"$1,381.25"
"ADHESIVE, CATH REPAIR 6GM TUBE",,Hospital,$90.53
"ADHESIVE, SHIN CLOSURE DERMABOND PRINEO 22CM",,Hospital,$368.37
"ADHESIVE, SKIN - DERMABOND",,Hospital,$96.85
"ADHESIVE, SKIN CLOSURE DERMABOND PRINEO 42CM",,Hospital,$471.24
"ADHESIVE, TISSUE INDERMIL",,Hospital,$106.25
"ADJUSTER, FOR ORFITUBE",,Hospital,$27.20
"ADOLESCENT DAY HOSP",,Hospital,$300.90
"ADULT DAY CARE W TRANS,S/P",,Hospital,$8.50
"ADULT DAY CARE,CAID",S5105,Hospital,$88.05
"ADULT DAY CARE,CAID/HALF DAY",S5101,Hospital,$66.50
"ADULT DAY CARE,S/P,HALF DAY",,Hospital,$58.00
"ADULT DAY CARE,S/P-FULL DAY",,Hospital,$83.00
"ADVANCED REMOTE CONTROL",,Hospital,$458.50
"AEROBIC ISOLATE,DEFINITIVE ID",87077,Hospital,$103.00
"AEROCHAMBER, MV",,Hospital,$20.83
"AEROCHMB MDI SPACER",,Hospital,$27.00
"AEROSOL INHALATION,PENTAMIDINE FOR PNEUMOCYSTIS CARINII PNEUMONIA TRATMENT/PROPHYLAXIS",94642,Hospital,$171.00
"AEROVENT VENT MDI SPACER",,Hospital,$16.50
"AFB CULT,BLOOD",87116,Hospital,$297.00
"AFB CULT,BONE MARR",87116,Hospital,$256.50
"AFFIRM DNA PROBE",87800,Hospital,$221.50
"AG TYPE SCREEN UNIT",86902,Hospital,$79.50
"AG TYPE,AHG",86905,Hospital,$95.50
"AG TYPE,NON-AHG",86905,Hospital,$63.50
"AGAR, TRYPTOME GLUEXT 100G",,Hospital,$165.11
"AGENT, DURASPHERE AUS BULKING",C2631,Hospital,$756.50
"AGENT, DURASPHERE BULKING EXP 1ML",,Hospital,$757.35
"AGENT, DURASPHERE BULKING EXP 3ML",,Hospital,"$2,272.05"
"AGENT, ONYX 18 DENSITY LIQUID EMBOLIC",,Hospital,"$9,137.50"
"AGENT, ONYX 34 DENSITY LIQUID EMBOLIC",,Hospital,"$9,137.50"
"AICD REGISTRY COMPLETED",,Stat,$0.00
"AICD REGISTRY NOT NECESSARY",,Stat,$0.00
"AID, BOTTOM BUDDY",,Hospital,$211.61
"AID, CORD STYLE SOCK",,Hospital,$10.37
"AID, ETAC TOILET",,Hospital,$89.38
"AID, FLEXIBLE SOCK AND STOCKING",,Hospital,$30.13
"AID, SHORT TOILET",,Hospital,$25.33
"AID, SHORT TOILET 12""",,Hospital,$26.73
"AID, TOILET 15",,Hospital,$34.43
"AIRWAY MANAGEMENT EDUCATION",,Stat,$0.00
"AIRWAY, 100MM GUEDEL",,Hospital,$0.27
"AIRWAY, 50 MM GUEDEL",,Hospital,$0.27
"AIRWAY, 60MM GUEDEL",,Hospital,$0.27
"AIRWAY, 70MM GUEDEL",,Hospital,$0.27
"AIRWAY, 80MM GUEDEL",,Hospital,$0.27
"AIRWAY, 90 MM GUEDEL",,Hospital,$0.27
"AIRWAY, BERMAN FIBEROPTIC 10CM",,Hospital,$4.37
"AIRWAY, BERMAN FIBEROPTIC 8CM",,Hospital,$4.37
"AIRWAY, BERMAN FIBEROPTIC 9CM",,Hospital,$0.76
"AIRWAY, COMBITUBE 37FR ROLL UP",,Hospital,$153.57
"AIRWAY, COMBITUBE 41FR ROLL-UP",,Hospital,$157.41
"AIRWAY, LARYNGEAL MASK CLASSIC SZ 2.5",,Hospital,$871.25
"AIRWAY, LARYNGEAL MASK CLASSIC SZ 3",,Hospital,$871.25
"AIRWAY, LARYNGEAL MASK CLASSIC SZ 4",,Hospital,$871.25
"AIRWAY, LARYNGEAL MASK I-GEL SIZE 1.5",,Hospital,$39.16
"AIRWAY, LARYNGEAL MASK I-GEL SIZE 2.5",,Hospital,$67.26
"AIRWAY, LARYNGEAL MASK I-GEL SIZE 4",,Hospital,$39.18
"AIRWAY, LARYNGEAL MASK SUPREME SZ 3",,Hospital,$55.04
"AIRWAY, LARYNGEAL MASK SUPREME SZ 4",,Hospital,$55.04
"AIRWAY, LARYNGEAL MASK SUPREME SZ 5",,Hospital,$55.04
"AIRWAY, LARYNGEAL PROSEAL SIZE 4",,Hospital,"$1,041.25"
"AIRWAY, LMA SIZE 3 DISPOSABLE",,Hospital,$48.14
"AIRWAY, LMA SIZE 4 DISPOSABLE",,Hospital,$48.14
"AIRWAY, LMA SIZE 5 DISPOSABLE",,Hospital,$48.14
"AIRWAY, LMA UNIQUE PLUS SZ 2",,Hospital,$46.96
"AIRWAY, LMA UNIQUE PLUS W/LUBRICANT AND SYRINGE SZ 2.5",,Hospital,$46.96
"AIRWAY, NASAL 36 FR",,Hospital,$14.21
"AIRWAY, NASAL DRESSING MIROCL STANDARD",,Hospital,$100.06
"AIRWAY, NASOPHARYNGEAL 12FR PVC",,Hospital,$7.31
"AIRWAY, NASOPHARYNGEAL 14FR PVC",,Hospital,$7.31
"AIRWAY, NASOPHARYNGEAL 16FR PVC",,Hospital,$7.31
"AIRWAY, NASOPHARYNGEAL 18FR PVC",,Hospital,$7.31
"AIRWAY, NASOPHARYNGEAL 20FR PVC",,Hospital,$7.31
"AIRWAY, NASOPHARYNGEAL 22FR PVC",,Hospital,$7.31
"AIRWAY, NASOPHARYNGEAL 24FR PVC",,Hospital,$7.31
"AIRWAY, NASOPHARYNGEAL 25/26FR",,Hospital,$13.42
"AIRWAY, NASOPHARYNGEAL 29F",,Hospital,$13.42
"AIRWAY, NASOPHARYNGEAL 33F",,Hospital,$13.42
"AIRWAY, NASOPHARYNGEAL PVC 19FR",,Hospital,$7.31
"AIRWAY, ORAL 0 GUEDAL",,Hospital,$7.60
"AIRWAY, ORAL 00",,Hospital,$5.55
"AIRWAY, OVASSAPIAN",,Hospital,$18.34
"AIRWAY, PROSEAL ADULT 70-100KG SIZE 5",,Hospital,"$1,041.25"
