Facility,MS DRG,Description,Average Charge
Greene Memorial Hospital,270,Other Major Cardiovascular Procedures W Mcc," $232,018 "
Greene Memorial Hospital,280,"Acute Myocardial Infarction, Discharged Alive W Mcc"," $39,139 "
Greene Memorial Hospital,281,"Acute Myocardial Infarction, Discharged Alive W Cc"," $29,695 "
Greene Memorial Hospital,282,"Acute Myocardial Infarction, Discharged Alive W/O Cc/Mcc"," $22,703 "
Greene Memorial Hospital,283,"Acute Myocardial Infarction, Expired W Mcc"," $67,070 "
Greene Memorial Hospital,286,"Circulatory Disorders Except Ami, W Card Cath W Mcc"," $68,295 "
Greene Memorial Hospital,288,Acute & Subacute Endocarditis W Mcc," $37,602 "
Greene Memorial Hospital,289,Acute & Subacute Endocarditis W Cc," $30,069 "
Greene Memorial Hospital,291,Heart Failure & Shock W Mcc Or Periph. Extracorporeal Membrane Oxygenation (Ecmo)," $46,350 "
Greene Memorial Hospital,292,Heart Failure & Shock W Cc," $32,399 "
Greene Memorial Hospital,293,Heart Failure & Shock W/O Cc/Mcc," $23,004 "
Greene Memorial Hospital,296,"Cardiac Arrest, Unexplained W Mcc Or Periph. Extracorporeal Membrane Oxygenation (Ecmo)"," $92,413 "
Greene Memorial Hospital,299,Peripheral Vascular Disorders W Mcc," $53,234 "
Greene Memorial Hospital,300,Peripheral Vascular Disorders W Cc," $31,939 "
Greene Memorial Hospital,301,Peripheral Vascular Disorders W/O Cc/Mcc," $15,448 "
Greene Memorial Hospital,303,Atherosclerosis W/O Mcc," $24,907 "
Greene Memorial Hospital,305,Hypertension W/O Mcc," $26,684 "
Greene Memorial Hospital,306,Cardiac Congenital & Valvular Disorders W Mcc," $12,960 "
Greene Memorial Hospital,307,Cardiac Congenital & Valvular Disorders W/O Mcc," $19,431 "
Greene Memorial Hospital,308,Cardiac Arrhythmia & Conduction Disorders W Mcc," $34,002 "
Greene Memorial Hospital,309,Cardiac Arrhythmia & Conduction Disorders W Cc," $32,519 "
Greene Memorial Hospital,310,Cardiac Arrhythmia & Conduction Disorders W/O Cc/Mcc," $19,463 "
Greene Memorial Hospital,311,Angina Pectoris," $29,349 "
Greene Memorial Hospital,312,Syncope & Collapse," $31,539 "
Greene Memorial Hospital,313,Chest Pain," $28,385 "
Greene Memorial Hospital,314,Other Circulatory System Diagnoses W Mcc," $99,534 "
Greene Memorial Hospital,315,Other Circulatory System Diagnoses W Cc," $28,437 "
Greene Memorial Hospital,316,Other Circulatory System Diagnoses W/O Cc/Mcc," $19,864 "
Greene Memorial Hospital,326,"Stomach, Esophageal & Duodenal Proc W Mcc"," $176,742 "
Greene Memorial Hospital,327,"Stomach, Esophageal & Duodenal Proc W Cc"," $71,921 "
Greene Memorial Hospital,328,"Stomach, Esophageal & Duodenal Proc W/O Cc/Mcc"," $98,100 "
Greene Memorial Hospital,329,Major Small & Large Bowel Procedures W Mcc," $193,735 "
Greene Memorial Hospital,330,Major Small & Large Bowel Procedures W Cc," $115,576 "
Greene Memorial Hospital,331,Major Small & Large Bowel Procedures W/O Cc/Mcc," $106,196 "
Greene Memorial Hospital,336,Peritoneal Adhesiolysis W Cc," $121,106 "
Greene Memorial Hospital,337,Peritoneal Adhesiolysis W/O Cc/Mcc," $115,619 "
Greene Memorial Hospital,339,Appendectomy W Complicated Principal Diag W Cc," $56,714 "
Greene Memorial Hospital,340,Appendectomy W Complicated Principal Diag W/O Cc/Mcc," $55,761 "
Greene Memorial Hospital,343,Appendectomy W/O Complicated Principal Diag W/O Cc/Mcc," $47,708 "
Greene Memorial Hospital,345,Minor Small & Large Bowel Procedures W Cc," $97,738 "
Greene Memorial Hospital,348,Anal & Stomal Procedures W Cc," $56,255 "
Greene Memorial Hospital,351,Inguinal & Femoral Hernia Procedures W Cc," $55,308 "
Greene Memorial Hospital,352,Inguinal & Femoral Hernia Procedures W/O Cc/Mcc," $70,560 "
Greene Memorial Hospital,358,Other Digestive System O.R. Procedures W/O Cc/Mcc," $51,908 "
Greene Memorial Hospital,371,Major Gastrointestinal Disorders & Peritoneal Infections W Mcc," $35,084 "
Greene Memorial Hospital,372,Major Gastrointestinal Disorders & Peritoneal Infections W Cc," $44,316 "
Greene Memorial Hospital,373,Major Gastrointestinal Disorders & Peritoneal Infections W/O Cc/Mcc," $26,192 "
Greene Memorial Hospital,374,Digestive Malignancy W Mcc," $26,252 "
Greene Memorial Hospital,377,G.I. Hemorrhage W Mcc," $74,839 "
Greene Memorial Hospital,378,G.I. Hemorrhage W Cc," $40,583 "
Greene Memorial Hospital,379,G.I. Hemorrhage W/O Cc/Mcc," $27,723 "
Greene Memorial Hospital,380,Complicated Peptic Ulcer W Mcc," $30,265 "
Greene Memorial Hospital,384,Uncomplicated Peptic Ulcer W/O Mcc," $29,891 "
Greene Memorial Hospital,386,Inflammatory Bowel Disease W Cc," $28,271 "
Greene Memorial Hospital,387,Inflammatory Bowel Disease W/O Cc/Mcc," $17,378 "
Greene Memorial Hospital,388,G.I. Obstruction W Mcc," $51,387 "
Greene Memorial Hospital,389,G.I. Obstruction W Cc," $44,430 "
Greene Memorial Hospital,390,G.I. Obstruction W/O Cc/Mcc," $27,770 "
Greene Memorial Hospital,391,"Esophagitis, Gastroent & Misc Digest Disorders W Mcc"," $51,154 "
Greene Memorial Hospital,392,"Esophagitis, Gastroent & Misc Digest Disorders W/O Mcc"," $30,566 "
Greene Memorial Hospital,393,Other Digestive System Diagnoses W Mcc," $24,756 "
Greene Memorial Hospital,394,Other Digestive System Diagnoses W Cc," $49,548 "
Greene Memorial Hospital,395,Other Digestive System Diagnoses W/O Cc/Mcc," $23,269 "
Greene Memorial Hospital,409,Biliary Tract Proc Except Only Cholecyst W Or W/O C.D.E. W Cc," $71,115 "
Greene Memorial Hospital,416,Cholecystectomy Except By Laparoscope W/O C.D.E. W/O Cc/Mcc," $63,468 "
Greene Memorial Hospital,417,Laparoscopic Cholecystectomy W/O C.D.E. W Mcc," $73,217 "
Greene Memorial Hospital,418,Laparoscopic Cholecystectomy W/O C.D.E. W Cc," $65,387 "
Greene Memorial Hospital,419,Laparoscopic Cholecystectomy W/O C.D.E. W/O Cc/Mcc," $50,657 "
Greene Memorial Hospital,424,Other Hepatobiliary Or Pancreas O.R. Procedures W Cc," $49,595 "
Greene Memorial Hospital,432,Cirrhosis & Alcoholic Hepatitis W Mcc," $45,883 "
Greene Memorial Hospital,433,Cirrhosis & Alcoholic Hepatitis W Cc," $63,321 "
Greene Memorial Hospital,435,Malignancy Of Hepatobiliary System Or Pancreas W Mcc," $36,641 "
Greene Memorial Hospital,436,Malignancy Of Hepatobiliary System Or Pancreas W Cc," $66,222 "
Greene Memorial Hospital,438,Disorders Of Pancreas Except Malignancy W Mcc," $40,567 "
Greene Memorial Hospital,439,Disorders Of Pancreas Except Malignancy W Cc," $35,146 "
Greene Memorial Hospital,440,Disorders Of Pancreas Except Malignancy W/O Cc/Mcc," $26,641 "
Greene Memorial Hospital,441,"Disorders Of Liver Except Malig,Cirr,Alc Hepa W Mcc"," $33,113 "
Greene Memorial Hospital,442,"Disorders Of Liver Except Malig,Cirr,Alc Hepa W Cc"," $29,773 "
Greene Memorial Hospital,443,"Disorders Of Liver Except Malig,Cirr,Alc Hepa W/O Cc/Mcc"," $14,723 "
Greene Memorial Hospital,444,Disorders Of The Biliary Tract W Mcc," $67,020 "
Greene Memorial Hospital,445,Disorders Of The Biliary Tract W Cc," $23,959 "
Greene Memorial Hospital,446,Disorders Of The Biliary Tract W/O Cc/Mcc," $13,416 "
Greene Memorial Hospital,464,"Wnd Debrid & Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W Cc"," $61,391 "
Greene Memorial Hospital,469,Major Hip And Knee Joint Replacement Or Reattach. Of Lower Extremity W Mcc Or Tot. Ankle Replacement," $115,233 "
Greene Memorial Hospital,470,Major Hip And Knee Joint Replacement Or Reattach. Of Lower Extremity W/O Mcc," $93,274 "
Greene Memorial Hospital,480,Hip & Femur Procedures Except Major Joint W Mcc," $118,687 "
Greene Memorial Hospital,481,Hip & Femur Procedures Except Major Joint W Cc," $103,247 "
Greene Memorial Hospital,482,Hip & Femur Procedures Except Major Joint W/O Cc/Mcc," $67,729 "
Greene Memorial Hospital,483,Major Joint/Limb Reattachment Procedure Of Upper Extremities," $118,716 "
Greene Memorial Hospital,492,"Lower Extrem & Humer Proc Except Hip,Foot,Femur W Mcc"," $73,945 "
Greene Memorial Hospital,493,"Lower Extrem & Humer Proc Except Hip,Foot,Femur W Cc"," $88,005 "
Greene Memorial Hospital,494,"Lower Extrem & Humer Proc Except Hip,Foot,Femur W/O Cc/Mcc"," $78,579 "
Greene Memorial Hospital,501,Soft Tissue Procedures W Cc," $80,498 "
Greene Memorial Hospital,502,Soft Tissue Procedures W/O Cc/Mcc," $24,073 "
Greene Memorial Hospital,504,Foot Procedures W Cc," $60,739 "
Greene Memorial Hospital,511,"Shoulder,Elbow Or Forearm Proc,Exc Major Joint Proc W Cc"," $70,796 "
Greene Memorial Hospital,512,"Shoulder,Elbow Or Forearm Proc,Exc Major Joint Proc W/O Cc/Mcc"," $58,463 "
Greene Memorial Hospital,513,"Hand Or Wrist Proc, Except Major Thumb Or Joint Proc W Cc/Mcc"," $32,304 "
Greene Memorial Hospital,515,Other Musculoskelet Sys & Conn Tiss O.R. Proc W Mcc," $85,814 "
Greene Memorial Hospital,516,Other Musculoskelet Sys & Conn Tiss O.R. Proc W Cc," $57,444 "
Greene Memorial Hospital,517,Other Musculoskelet Sys & Conn Tiss O.R. Proc W/O Cc/Mcc," $51,771 "
Greene Memorial Hospital,534,Fractures Of Femur W/O Mcc," $22,156 "
Greene Memorial Hospital,535,Fractures Of Hip & Pelvis W Mcc," $123,948 "
Greene Memorial Hospital,536,Fractures Of Hip & Pelvis W/O Mcc," $39,000 "
Greene Memorial Hospital,540,Osteomyelitis W Cc," $12,985 "
Greene Memorial Hospital,543,Pathological Fractures & Musculoskelet & Conn Tiss Malig W Cc," $51,132 "
Greene Memorial Hospital,545,Connective Tissue Disorders W Mcc," $40,590 "
Greene Memorial Hospital,550,Septic Arthritis W/O Cc/Mcc," $57,866 "
Greene Memorial Hospital,551,Medical Back Problems W Mcc," $148,761 "
Greene Memorial Hospital,552,Medical Back Problems W/O Mcc," $41,772 "
Greene Memorial Hospital,554,Bone Diseases & Arthropathies W/O Mcc," $63,133 "
Greene Memorial Hospital,556,Signs & Symptoms Of Musculoskeletal System & Conn Tissue W/O Mcc," $32,591 "
Greene Memorial Hospital,557,"Tendonitis, Myositis & Bursitis W Mcc"," $56,912 "
Greene Memorial Hospital,558,"Tendonitis, Myositis & Bursitis W/O Mcc"," $41,121 "
Greene Memorial Hospital,559,"Aftercare, Musculoskeletal System & Connective Tissue W Mcc"," $13,400 "
Greene Memorial Hospital,560,"Aftercare, Musculoskeletal System & Connective Tissue W Cc"," $45,923 "
Greene Memorial Hospital,561,"Aftercare, Musculoskeletal System & Connective Tissue W/O Cc/Mcc"," $20,749 "
Greene Memorial Hospital,562,"Fx, Sprn, Strn & Disl Except Femur, Hip, Pelvis & Thigh W Mcc"," $61,401 "
Greene Memorial Hospital,563,"Fx, Sprn, Strn & Disl Except Femur, Hip, Pelvis & Thigh W/O Mcc"," $39,530 "
Greene Memorial Hospital,564,Other Musculoskeletal Sys & Connective Tissue Diagnoses W Mcc," $44,987 "
Greene Memorial Hospital,565,Other Musculoskeletal Sys & Connective Tissue Diagnoses W Cc," $30,957 "
Greene Memorial Hospital,570,Skin Debridement W Mcc," $80,054 "
Greene Memorial Hospital,571,Skin Debridement W Cc," $69,907 "
Greene Memorial Hospital,578,Skin Graft Exc For Skin Ulcer Or Cellulitis W/O Cc/Mcc," $54,224 "
Greene Memorial Hospital,580,"Other Skin, Subcut Tiss & Breast Proc W Cc"," $34,289 "
Greene Memorial Hospital,581,"Other Skin, Subcut Tiss & Breast Proc W/O Cc/Mcc"," $83,403 "
Greene Memorial Hospital,597,Malignant Breast Disorders W Mcc," $30,543 "
Greene Memorial Hospital,600,Non-Malignant Breast Disorders W Cc/Mcc," $12,086 "
Greene Memorial Hospital,602,Cellulitis W Mcc," $50,840 "
Greene Memorial Hospital,603,Cellulitis W/O Mcc," $28,481 "
Greene Memorial Hospital,605,"Trauma To The Skin, Subcut Tiss & Breast W/O Mcc"," $52,423 "
Greene Memorial Hospital,607,Minor Skin Disorders W/O Mcc," $25,933 "
Greene Memorial Hospital,617,"Amputat Of Lower Limb For Endocrine,Nutrit,& Metabol Dis W Cc"," $51,328 "
Greene Memorial Hospital,623,"Skin Grafts & Wound Debrid For Endoc, Nutrit & Metab Dis W Cc"," $31,269 "
Greene Memorial Hospital,637,Diabetes W Mcc," $34,693 "
Greene Memorial Hospital,638,Diabetes W Cc," $24,514 "
Greene Memorial Hospital,639,Diabetes W/O Cc/Mcc," $17,437 "
Greene Memorial Hospital,640,"Misc Disorders Of Nutrition,Metabolism,Fluids/Electrolytes W Mcc"," $40,383 "
Greene Memorial Hospital,641,"Misc Disorders Of Nutrition,Metabolism,Fluids/Electrolytes W/O Mcc"," $33,905 "
Greene Memorial Hospital,643,Endocrine Disorders W Mcc," $42,737 "
Greene Memorial Hospital,644,Endocrine Disorders W Cc," $49,863 "
Greene Memorial Hospital,645,Endocrine Disorders W/O Cc/Mcc," $18,964 "
Greene Memorial Hospital,668,Transurethral Procedures W Mcc," $49,992 "
Greene Memorial Hospital,669,Transurethral Procedures W Cc," $52,346 "
Greene Memorial Hospital,670,Transurethral Procedures W/O Cc/Mcc," $52,491 "
Greene Memorial Hospital,673,Other Kidney & Urinary Tract Procedures W Mcc," $42,205 "
Greene Memorial Hospital,682,Renal Failure W Mcc," $36,793 "
Greene Memorial Hospital,683,Renal Failure W Cc," $34,722 "
Greene Memorial Hospital,684,Renal Failure W/O Cc/Mcc," $32,554 "
Greene Memorial Hospital,687,Kidney & Urinary Tract Neoplasms W Cc," $52,530 "
Greene Memorial Hospital,689,Kidney & Urinary Tract Infections W Mcc," $45,455 "
Greene Memorial Hospital,690,Kidney & Urinary Tract Infections W/O Mcc," $30,230 "
Greene Memorial Hospital,694,Urinary Stones W/O Esw Lithotripsy W/O Mcc," $37,921 "
Greene Memorial Hospital,695,Kidney & Urinary Tract Signs & Symptoms W Mcc," $36,300 "
Greene Memorial Hospital,698,Other Kidney & Urinary Tract Diagnoses W Mcc," $49,473 "
Greene Memorial Hospital,699,Other Kidney & Urinary Tract Diagnoses W Cc," $35,825 "
Greene Memorial Hospital,700,Other Kidney & Urinary Tract Diagnoses W/O Cc/Mcc," $31,959 "
Greene Memorial Hospital,713,Transurethral Prostatectomy W Cc/Mcc," $44,926 "
Greene Memorial Hospital,745,"D&C, Conization, Laparoscopy & Tubal Interruption W/O Cc/Mcc"," $54,597 "
Greene Memorial Hospital,808,Major Hematol/Immun Diag Exc Sickle Cell Crisis & Coagul W Mcc," $53,699 "
Greene Memorial Hospital,811,Red Blood Cell Disorders W Mcc," $35,412 "
Greene Memorial Hospital,812,Red Blood Cell Disorders W/O Mcc," $38,301 "
Greene Memorial Hospital,813,Coagulation Disorders," $45,247 "
Greene Memorial Hospital,853,Infectious & Parasitic Diseases W O.R. Procedure W Mcc," $155,126 "
Greene Memorial Hospital,854,Infectious & Parasitic Diseases W O.R. Procedure W Cc," $73,894 "
Greene Memorial Hospital,857,Postoperative Or Post-Traumatic Infections W O.R. Proc W Cc," $56,287 "
Greene Memorial Hospital,862,Postoperative & Post-Traumatic Infections W Mcc," $50,622 "
Greene Memorial Hospital,863,Postoperative & Post-Traumatic Infections W/O Mcc," $8,177 "
Greene Memorial Hospital,864,Fever And Inflammatory Conditions," $34,095 "
Greene Memorial Hospital,865,Viral Illness W Mcc," $52,049 "
Greene Memorial Hospital,866,Viral Illness W/O Mcc," $24,589 "
Greene Memorial Hospital,868,Other Infectious & Parasitic Diseases Diagnoses W Cc," $29,057 "
Greene Memorial Hospital,870,Septicemia Or Severe Sepsis W Mv >96 Hours Or Peripheral Extracorporeal Membrane Oxygenation (Ecmo)," $147,088 "
Greene Memorial Hospital,871,Septicemia Or Severe Sepsis W/O Mv >96 Hours W Mcc," $61,105 "
Greene Memorial Hospital,872,Septicemia Or Severe Sepsis W/O Mv >96 Hours W/O Mcc," $33,890 "
Greene Memorial Hospital,880,Acute Adjustment Reaction & Psychosocial Dysfunction," $29,979 "
Greene Memorial Hospital,884,Organic Disturbances & Intellectual Disability," $56,146 "
Greene Memorial Hospital,885,Psychoses," $34,344 "
Greene Memorial Hospital,894,"Alcohol/Drug Abuse Or Dependence, Left Ama"," $24,421 "
Greene Memorial Hospital,896,Alcohol/Drug Abuse Or Dependence W/O Rehabilitation Therapy W Mcc," $44,849 "
Greene Memorial Hospital,897,Alcohol/Drug Abuse Or Dependence W/O Rehabilitation Therapy W/O Mcc," $22,237 "
Greene Memorial Hospital,906,Hand Procedures For Injuries," $77,123 "
Greene Memorial Hospital,908,Other O.R. Procedures For Injuries W Cc," $43,934 "
Greene Memorial Hospital,909,Other O.R. Procedures For Injuries W/O Cc/Mcc," $66,472 "
Greene Memorial Hospital,914,Traumatic Injury W/O Mcc," $65,159 "
Greene Memorial Hospital,916,Allergic Reactions W/O Mcc," $21,234 "
Greene Memorial Hospital,917,Poisoning & Toxic Effects Of Drugs W Mcc," $35,265 "
Greene Memorial Hospital,918,Poisoning & Toxic Effects Of Drugs W/O Mcc," $19,722 "
Greene Memorial Hospital,919,Complications Of Treatment W Mcc," $116,095 "
Greene Memorial Hospital,920,Complications Of Treatment W Cc," $15,014 "
Greene Memorial Hospital,922,"Other Injury, Poisoning & Toxic Effect Diag W Mcc"," $16,440 "
Greene Memorial Hospital,923,"Other Injury, Poisoning & Toxic Effect Diag W/O Mcc"," $24,129 "
Greene Memorial Hospital,947,Signs & Symptoms W Mcc," $27,265 "
Greene Memorial Hospital,948,Signs & Symptoms W/O Mcc," $38,505 "
Greene Memorial Hospital,958,Other O.R. Procedures For Multiple Significant Trauma W Cc," $106,663 "
Greene Memorial Hospital,964,Other Multiple Significant Trauma W Cc," $43,619 "
Greene Memorial Hospital,969,Hiv W Extensive O.R. Procedure W Mcc," $199,294 "
Greene Memorial Hospital,974,Hiv W Major Related Condition W Mcc," $54,487 "
Greene Memorial Hospital,975,Hiv W Major Related Condition W Cc," $23,955 "
Greene Memorial Hospital,981,Extensive O.R. Procedure Unrelated To Principal Diagnosis W Mcc," $52,497 "
Greene Memorial Hospital,982,Extensive O.R. Procedure Unrelated To Principal Diagnosis W Cc," $106,436 "
Greene Memorial Hospital,987,Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W Mcc," $73,908 "
Greene Memorial Hospital,988,Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W Cc," $59,027 "
