Facility,MS DRG,Description,Average Charge
Fort Hamilton Hughes Memorial Hospital,076,Viral Meningitis W/O Cc/Mcc," $27,170 "
Fort Hamilton Hughes Memorial Hospital,078,Hypertensive Encephalopathy W Cc," $36,153 "
Fort Hamilton Hughes Memorial Hospital,081,Nontraumatic Stupor & Coma W/O Mcc," $26,507 "
Fort Hamilton Hughes Memorial Hospital,082,"Traumatic Stupor & Coma, Coma >1 Hr W Mcc"," $29,256 "
Fort Hamilton Hughes Memorial Hospital,083,"Traumatic Stupor & Coma, Coma >1 Hr W Cc"," $29,908 "
Fort Hamilton Hughes Memorial Hospital,089,Concussion W Cc," $71,489 "
Fort Hamilton Hughes Memorial Hospital,091,Other Disorders Of Nervous System W Mcc," $75,406 "
Fort Hamilton Hughes Memorial Hospital,092,Other Disorders Of Nervous System W Cc," $32,432 "
Fort Hamilton Hughes Memorial Hospital,093,Other Disorders Of Nervous System W/O Cc/Mcc," $23,913 "
Fort Hamilton Hughes Memorial Hospital,099,Non-Bacterial Infect Of Nervous Sys Exc Viral Meningitis W/O Cc/Mcc," $46,344 "
Fort Hamilton Hughes Memorial Hospital,100,Seizures W Mcc," $54,913 "
Fort Hamilton Hughes Memorial Hospital,101,Seizures W/O Mcc," $27,841 "
Fort Hamilton Hughes Memorial Hospital,102,Headaches W Mcc," $39,501 "
Fort Hamilton Hughes Memorial Hospital,103,Headaches W/O Mcc," $30,637 "
Fort Hamilton Hughes Memorial Hospital,121,Acute Major Eye Infections W Cc/Mcc," $20,488 "
Fort Hamilton Hughes Memorial Hospital,137,Mouth Procedures W Cc/Mcc," $126,167 "
Fort Hamilton Hughes Memorial Hospital,149,Dysequilibrium," $24,225 "
Fort Hamilton Hughes Memorial Hospital,150,Epistaxis W Mcc," $55,396 "
Fort Hamilton Hughes Memorial Hospital,153,Otitis Media & Uri W/O Mcc," $22,003 "
Fort Hamilton Hughes Memorial Hospital,158,Dental & Oral Diseases W Cc," $14,319 "
Fort Hamilton Hughes Memorial Hospital,163,Major Chest Procedures W Mcc," $133,261 "
Fort Hamilton Hughes Memorial Hospital,166,Other Resp System O.R. Procedures W Mcc," $101,258 "
Fort Hamilton Hughes Memorial Hospital,167,Other Resp System O.R. Procedures W Cc," $52,932 "
Fort Hamilton Hughes Memorial Hospital,168,Other Resp System O.R. Procedures W/O Cc/Mcc," $52,628 "
Fort Hamilton Hughes Memorial Hospital,175,Pulmonary Embolism W Mcc," $69,608 "
Fort Hamilton Hughes Memorial Hospital,176,Pulmonary Embolism W/O Mcc," $41,757 "
Fort Hamilton Hughes Memorial Hospital,177,Respiratory Infections & Inflammations W Mcc," $69,368 "
Fort Hamilton Hughes Memorial Hospital,178,Respiratory Infections & Inflammations W Cc," $42,824 "
Fort Hamilton Hughes Memorial Hospital,180,Respiratory Neoplasms W Mcc," $55,065 "
Fort Hamilton Hughes Memorial Hospital,181,Respiratory Neoplasms W Cc," $45,502 "
Fort Hamilton Hughes Memorial Hospital,183,Major Chest Trauma W Mcc," $14,668 "
Fort Hamilton Hughes Memorial Hospital,184,Major Chest Trauma W Cc," $19,371 "
Fort Hamilton Hughes Memorial Hospital,185,Major Chest Trauma W/O Cc/Mcc," $24,292 "
Fort Hamilton Hughes Memorial Hospital,186,Pleural Effusion W Mcc," $37,191 "
Fort Hamilton Hughes Memorial Hospital,187,Pleural Effusion W Cc," $34,899 "
Fort Hamilton Hughes Memorial Hospital,189,Pulmonary Edema & Respiratory Failure," $45,921 "
Fort Hamilton Hughes Memorial Hospital,190,Chronic Obstructive Pulmonary Disease W Mcc," $43,521 "
Fort Hamilton Hughes Memorial Hospital,191,Chronic Obstructive Pulmonary Disease W Cc," $33,040 "
Fort Hamilton Hughes Memorial Hospital,192,Chronic Obstructive Pulmonary Disease W/O Cc/Mcc," $24,666 "
Fort Hamilton Hughes Memorial Hospital,193,Simple Pneumonia & Pleurisy W Mcc," $45,509 "
Fort Hamilton Hughes Memorial Hospital,194,Simple Pneumonia & Pleurisy W Cc," $27,503 "
Fort Hamilton Hughes Memorial Hospital,195,Simple Pneumonia & Pleurisy W/O Cc/Mcc," $22,765 "
Fort Hamilton Hughes Memorial Hospital,196,Interstitial Lung Disease W Mcc," $59,985 "
Fort Hamilton Hughes Memorial Hospital,197,Interstitial Lung Disease W Cc," $44,909 "
Fort Hamilton Hughes Memorial Hospital,199,Pneumothorax W Mcc," $46,605 "
Fort Hamilton Hughes Memorial Hospital,200,Pneumothorax W Cc," $56,579 "
Fort Hamilton Hughes Memorial Hospital,201,Pneumothorax W/O Cc/Mcc," $17,239 "
Fort Hamilton Hughes Memorial Hospital,202,Bronchitis & Asthma W Cc/Mcc," $30,197 "
Fort Hamilton Hughes Memorial Hospital,203,Bronchitis & Asthma W/O Cc/Mcc," $19,654 "
Fort Hamilton Hughes Memorial Hospital,204,Respiratory Signs & Symptoms," $66,857 "
Fort Hamilton Hughes Memorial Hospital,205,Other Respiratory System Diagnoses W Mcc," $39,309 "
Fort Hamilton Hughes Memorial Hospital,206,Other Respiratory System Diagnoses W/O Mcc," $25,926 "
Fort Hamilton Hughes Memorial Hospital,207,Respiratory System Diagnosis W Ventilator Support >96 Hours Or Peripheral ECMO," $124,275 "
Fort Hamilton Hughes Memorial Hospital,208,Respiratory System Diagnosis W Ventilator Support <=96 Hours," $80,794 "
Fort Hamilton Hughes Memorial Hospital,215,Other Heart Assist System Implant," $166,212 "
Fort Hamilton Hughes Memorial Hospital,224,Cardiac Defib Implant W Cardiac Cath W/O Ami/Hf/Shock W Mcc," $542,134 "
Fort Hamilton Hughes Memorial Hospital,225,Cardiac Defib Implant W Cardiac Cath W/O Ami/Hf/Shock W/O Mcc," $198,787 "
Fort Hamilton Hughes Memorial Hospital,226,Cardiac Defibrillator Implant W/O Cardiac Cath W Mcc," $194,209 "
Fort Hamilton Hughes Memorial Hospital,227,Cardiac Defibrillator Implant W/O Cardiac Cath W/O Mcc," $166,999 "
Fort Hamilton Hughes Memorial Hospital,239,Amputation For Circ Sys Disorders Exc Upper Limb & Toe W Mcc," $96,448 "
Fort Hamilton Hughes Memorial Hospital,240,Amputation For Circ Sys Disorders Exc Upper Limb & Toe W Cc," $91,399 "
Fort Hamilton Hughes Memorial Hospital,242,Permanent Cardiac Pacemaker Implant W Mcc," $83,289 "
Fort Hamilton Hughes Memorial Hospital,243,Permanent Cardiac Pacemaker Implant W Cc," $79,077 "
Fort Hamilton Hughes Memorial Hospital,244,Permanent Cardiac Pacemaker Implant W/O Cc/Mcc," $56,467 "
Fort Hamilton Hughes Memorial Hospital,246,Percutaneous Cardiovascular Procedures W Drug-Eluting Stent W Mcc Or 4+ Arteries Or Stents," $129,294 "
Fort Hamilton Hughes Memorial Hospital,247,Perc Cardiovasc Proc W Drug-Eluting Stent W/O Mcc," $104,349 "
Fort Hamilton Hughes Memorial Hospital,250,Perc Cardiovasc Proc W/O Coronary Artery Stent W Mcc," $179,589 "
Fort Hamilton Hughes Memorial Hospital,251,Perc Cardiovasc Proc W/O Coronary Artery Stent W/O Mcc," $84,732 "
Fort Hamilton Hughes Memorial Hospital,252,Other Vascular Procedures W Mcc," $103,118 "
Fort Hamilton Hughes Memorial Hospital,253,Other Vascular Procedures W Cc," $109,333 "
Fort Hamilton Hughes Memorial Hospital,254,Other Vascular Procedures W/O Cc/Mcc," $85,234 "
Fort Hamilton Hughes Memorial Hospital,255,Upper Limb & Toe Amputation For Circ System Disorders W Mcc," $37,188 "
Fort Hamilton Hughes Memorial Hospital,256,Upper Limb & Toe Amputation For Circ System Disorders W Cc," $53,770 "
Fort Hamilton Hughes Memorial Hospital,264,Other Circulatory System O.R. Procedures," $74,541 "
Fort Hamilton Hughes Memorial Hospital,269,Aortic And Heart Assist Procedures Except Pulsation Balloon W/O Mcc," $148,734 "
Fort Hamilton Hughes Memorial Hospital,270,Other Major Cardiovascular Procedures W Mcc," $212,636 "
Fort Hamilton Hughes Memorial Hospital,271,Other Major Cardiovascular Procedures W Cc," $115,351 "
Fort Hamilton Hughes Memorial Hospital,272,Other Major Cardiovascular Procedures W/O Cc/Mcc," $104,196 "
Fort Hamilton Hughes Memorial Hospital,280,"Acute Myocardial Infarction, Discharged Alive W Mcc"," $56,150 "
Fort Hamilton Hughes Memorial Hospital,281,"Acute Myocardial Infarction, Discharged Alive W Cc"," $48,770 "
Fort Hamilton Hughes Memorial Hospital,282,"Acute Myocardial Infarction, Discharged Alive W/O Cc/Mcc"," $56,701 "
Fort Hamilton Hughes Memorial Hospital,283,"Acute Myocardial Infarction, Expired W Mcc"," $54,391 "
Fort Hamilton Hughes Memorial Hospital,286,"Circulatory Disorders Except Ami, W Card Cath W Mcc"," $97,261 "
Fort Hamilton Hughes Memorial Hospital,287,"Circulatory Disorders Except Ami, W Card Cath W/O Mcc"," $74,934 "
Fort Hamilton Hughes Memorial Hospital,288,Acute & Subacute Endocarditis W Mcc," $39,170 "
Fort Hamilton Hughes Memorial Hospital,289,Acute & Subacute Endocarditis W Cc," $28,095 "
Fort Hamilton Hughes Memorial Hospital,291,Heart Failure & Shock W Mcc Or Periph. Extracorporeal Membrane Oxygenation (Ecmo)," $42,477 "
Fort Hamilton Hughes Memorial Hospital,292,Heart Failure & Shock W Cc," $30,712 "
Fort Hamilton Hughes Memorial Hospital,293,Heart Failure & Shock W/O Cc/Mcc," $24,490 "
Fort Hamilton Hughes Memorial Hospital,296,"Cardiac Arrest, Unexplained W Mcc Or Periph. Extracorporeal Membrane Oxygenation (Ecmo)"," $49,400 "
Fort Hamilton Hughes Memorial Hospital,299,Peripheral Vascular Disorders W Mcc," $28,652 "
Fort Hamilton Hughes Memorial Hospital,300,Peripheral Vascular Disorders W Cc," $29,321 "
Fort Hamilton Hughes Memorial Hospital,301,Peripheral Vascular Disorders W/O Cc/Mcc," $27,996 "
Fort Hamilton Hughes Memorial Hospital,302,Atherosclerosis W Mcc," $41,885 "
Fort Hamilton Hughes Memorial Hospital,303,Atherosclerosis W/O Mcc," $28,707 "
Fort Hamilton Hughes Memorial Hospital,304,Hypertension W Mcc," $28,004 "
Fort Hamilton Hughes Memorial Hospital,305,Hypertension W/O Mcc," $25,682 "
Fort Hamilton Hughes Memorial Hospital,307,Cardiac Congenital & Valvular Disorders W/O Mcc," $19,119 "
Fort Hamilton Hughes Memorial Hospital,308,Cardiac Arrhythmia & Conduction Disorders W Mcc," $48,549 "
Fort Hamilton Hughes Memorial Hospital,309,Cardiac Arrhythmia & Conduction Disorders W Cc," $29,729 "
Fort Hamilton Hughes Memorial Hospital,310,Cardiac Arrhythmia & Conduction Disorders W/O Cc/Mcc," $22,274 "
Fort Hamilton Hughes Memorial Hospital,311,Angina Pectoris," $18,971 "
Fort Hamilton Hughes Memorial Hospital,312,Syncope & Collapse," $31,652 "
Fort Hamilton Hughes Memorial Hospital,313,Chest Pain," $21,814 "
Fort Hamilton Hughes Memorial Hospital,314,Other Circulatory System Diagnoses W Mcc," $62,935 "
Fort Hamilton Hughes Memorial Hospital,315,Other Circulatory System Diagnoses W Cc," $31,484 "
Fort Hamilton Hughes Memorial Hospital,316,Other Circulatory System Diagnoses W/O Cc/Mcc," $23,210 "
Fort Hamilton Hughes Memorial Hospital,326,"Stomach, Esophageal & Duodenal Proc W Mcc"," $126,593 "
Fort Hamilton Hughes Memorial Hospital,327,"Stomach, Esophageal & Duodenal Proc W Cc"," $95,069 "
Fort Hamilton Hughes Memorial Hospital,329,Major Small & Large Bowel Procedures W Mcc," $178,693 "
Fort Hamilton Hughes Memorial Hospital,330,Major Small & Large Bowel Procedures W Cc," $102,941 "
Fort Hamilton Hughes Memorial Hospital,331,Major Small & Large Bowel Procedures W/O Cc/Mcc," $70,002 "
Fort Hamilton Hughes Memorial Hospital,335,Peritoneal Adhesiolysis W Mcc," $147,401 "
Fort Hamilton Hughes Memorial Hospital,336,Peritoneal Adhesiolysis W Cc," $78,453 "
Fort Hamilton Hughes Memorial Hospital,337,Peritoneal Adhesiolysis W/O Cc/Mcc," $71,160 "
Fort Hamilton Hughes Memorial Hospital,338,Appendectomy W Complicated Principal Diag W Mcc," $228,671 "
Fort Hamilton Hughes Memorial Hospital,339,Appendectomy W Complicated Principal Diag W Cc," $91,152 "
Fort Hamilton Hughes Memorial Hospital,340,Appendectomy W Complicated Principal Diag W/O Cc/Mcc," $54,241 "
Fort Hamilton Hughes Memorial Hospital,342,Appendectomy W/O Complicated Principal Diag W Cc," $81,753 "
Fort Hamilton Hughes Memorial Hospital,343,Appendectomy W/O Complicated Principal Diag W/O Cc/Mcc," $45,969 "
Fort Hamilton Hughes Memorial Hospital,345,Minor Small & Large Bowel Procedures W Cc," $40,396 "
Fort Hamilton Hughes Memorial Hospital,346,Minor Small & Large Bowel Procedures W/O Cc/Mcc," $58,449 "
Fort Hamilton Hughes Memorial Hospital,348,Anal & Stomal Procedures W Cc," $78,485 "
Fort Hamilton Hughes Memorial Hospital,352,Inguinal & Femoral Hernia Procedures W/O Cc/Mcc," $32,158 "
Fort Hamilton Hughes Memorial Hospital,354,Hernia Procedures Except Inguinal & Femoral W Cc," $38,972 "
Fort Hamilton Hughes Memorial Hospital,355,Hernia Procedures Except Inguinal & Femoral W/O Cc/Mcc," $89,218 "
Fort Hamilton Hughes Memorial Hospital,356,Other Digestive System O.R. Procedures W Mcc," $111,758 "
Fort Hamilton Hughes Memorial Hospital,357,Other Digestive System O.R. Procedures W Cc," $96,080 "
Fort Hamilton Hughes Memorial Hospital,368,Major Esophageal Disorders W Mcc," $30,691 "
Fort Hamilton Hughes Memorial Hospital,369,Major Esophageal Disorders W Cc," $43,560 "
Fort Hamilton Hughes Memorial Hospital,370,Major Esophageal Disorders W/O Cc/Mcc," $54,637 "
Fort Hamilton Hughes Memorial Hospital,371,Major Gastrointestinal Disorders & Peritoneal Infections W Mcc," $36,999 "
Fort Hamilton Hughes Memorial Hospital,372,Major Gastrointestinal Disorders & Peritoneal Infections W Cc," $36,068 "
Fort Hamilton Hughes Memorial Hospital,373,Major Gastrointestinal Disorders & Peritoneal Infections W/O Cc/Mcc," $23,718 "
Fort Hamilton Hughes Memorial Hospital,374,Digestive Malignancy W Mcc," $52,909 "
Fort Hamilton Hughes Memorial Hospital,375,Digestive Malignancy W Cc," $52,698 "
Fort Hamilton Hughes Memorial Hospital,377,G.I. Hemorrhage W Mcc," $58,887 "
Fort Hamilton Hughes Memorial Hospital,378,G.I. Hemorrhage W Cc," $41,921 "
Fort Hamilton Hughes Memorial Hospital,379,G.I. Hemorrhage W/O Cc/Mcc," $28,178 "
Fort Hamilton Hughes Memorial Hospital,380,Complicated Peptic Ulcer W Mcc," $35,731 "
Fort Hamilton Hughes Memorial Hospital,381,Complicated Peptic Ulcer W Cc," $42,201 "
Fort Hamilton Hughes Memorial Hospital,382,Complicated Peptic Ulcer W/O Cc/Mcc," $24,303 "
Fort Hamilton Hughes Memorial Hospital,384,Uncomplicated Peptic Ulcer W/O Mcc," $26,469 "
Fort Hamilton Hughes Memorial Hospital,385,Inflammatory Bowel Disease W Mcc," $57,753 "
Fort Hamilton Hughes Memorial Hospital,386,Inflammatory Bowel Disease W Cc," $33,283 "
Fort Hamilton Hughes Memorial Hospital,387,Inflammatory Bowel Disease W/O Cc/Mcc," $33,611 "
Fort Hamilton Hughes Memorial Hospital,388,G.I. Obstruction W Mcc," $40,257 "
Fort Hamilton Hughes Memorial Hospital,389,G.I. Obstruction W Cc," $29,883 "
Fort Hamilton Hughes Memorial Hospital,390,G.I. Obstruction W/O Cc/Mcc," $26,071 "
Fort Hamilton Hughes Memorial Hospital,391,"Esophagitis, Gastroent & Misc Digest Disorders W Mcc"," $56,514 "
Fort Hamilton Hughes Memorial Hospital,392,"Esophagitis, Gastroent & Misc Digest Disorders W/O Mcc"," $31,241 "
Fort Hamilton Hughes Memorial Hospital,393,Other Digestive System Diagnoses W Mcc," $57,878 "
Fort Hamilton Hughes Memorial Hospital,394,Other Digestive System Diagnoses W Cc," $40,629 "
Fort Hamilton Hughes Memorial Hospital,395,Other Digestive System Diagnoses W/O Cc/Mcc," $31,511 "
Fort Hamilton Hughes Memorial Hospital,409,Biliary Tract Proc Except Only Cholecyst W Or W/O C.D.E. W Cc," $105,659 "
Fort Hamilton Hughes Memorial Hospital,410,Biliary Tract Proc Except Only Cholecyst W Or W/O C.D.E. W/O Cc/Mcc," $67,442 "
Fort Hamilton Hughes Memorial Hospital,415,Cholecystectomy Except By Laparoscope W/O C.D.E. W Cc," $70,818 "
Fort Hamilton Hughes Memorial Hospital,417,Laparoscopic Cholecystectomy W/O C.D.E. W Mcc," $62,640 "
Fort Hamilton Hughes Memorial Hospital,418,Laparoscopic Cholecystectomy W/O C.D.E. W Cc," $74,436 "
Fort Hamilton Hughes Memorial Hospital,419,Laparoscopic Cholecystectomy W/O C.D.E. W/O Cc/Mcc," $64,389 "
Fort Hamilton Hughes Memorial Hospital,423,Other Hepatobiliary Or Pancreas O.R. Procedures W Mcc," $283,359 "
Fort Hamilton Hughes Memorial Hospital,424,Other Hepatobiliary Or Pancreas O.R. Procedures W Cc," $82,338 "
Fort Hamilton Hughes Memorial Hospital,432,Cirrhosis & Alcoholic Hepatitis W Mcc," $58,090 "
Fort Hamilton Hughes Memorial Hospital,433,Cirrhosis & Alcoholic Hepatitis W Cc," $26,587 "
Fort Hamilton Hughes Memorial Hospital,434,Cirrhosis & Alcoholic Hepatitis W/O Cc/Mcc," $38,662 "
Fort Hamilton Hughes Memorial Hospital,435,Malignancy Of Hepatobiliary System Or Pancreas W Mcc," $101,167 "
Fort Hamilton Hughes Memorial Hospital,436,Malignancy Of Hepatobiliary System Or Pancreas W Cc," $37,254 "
Fort Hamilton Hughes Memorial Hospital,438,Disorders Of Pancreas Except Malignancy W Mcc," $37,434 "
Fort Hamilton Hughes Memorial Hospital,439,Disorders Of Pancreas Except Malignancy W Cc," $33,488 "
Fort Hamilton Hughes Memorial Hospital,440,Disorders Of Pancreas Except Malignancy W/O Cc/Mcc," $24,967 "
Fort Hamilton Hughes Memorial Hospital,441,"Disorders Of Liver Except Malig,Cirr,Alc Hepa W Mcc"," $51,649 "
Fort Hamilton Hughes Memorial Hospital,442,"Disorders Of Liver Except Malig,Cirr,Alc Hepa W Cc"," $27,987 "
Fort Hamilton Hughes Memorial Hospital,443,"Disorders Of Liver Except Malig,Cirr,Alc Hepa W/O Cc/Mcc"," $24,905 "
Fort Hamilton Hughes Memorial Hospital,444,Disorders Of The Biliary Tract W Mcc," $41,942 "
Fort Hamilton Hughes Memorial Hospital,445,Disorders Of The Biliary Tract W Cc," $25,491 "
Fort Hamilton Hughes Memorial Hospital,446,Disorders Of The Biliary Tract W/O Cc/Mcc," $20,013 "
Fort Hamilton Hughes Memorial Hospital,462,Bilateral Or Multiple Major Joint Procs Of Lower Extremity W/O Mcc," $154,028 "
Fort Hamilton Hughes Memorial Hospital,463,"Wnd Debrid & Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W Mcc"," $77,514 "
Fort Hamilton Hughes Memorial Hospital,464,"Wnd Debrid & Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W Cc"," $84,624 "
Fort Hamilton Hughes Memorial Hospital,465,"Wnd Debrid & Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W/O Cc/Mcc"," $72,216 "
Fort Hamilton Hughes Memorial Hospital,466,Revision Of Hip Or Knee Replacement W Mcc," $113,714 "
Fort Hamilton Hughes Memorial Hospital,467,Revision Of Hip Or Knee Replacement W Cc," $111,398 "
Fort Hamilton Hughes Memorial Hospital,468,Revision Of Hip Or Knee Replacement W/O Cc/Mcc," $79,807 "
Fort Hamilton Hughes Memorial Hospital,469,Major Hip And Knee Joint Replacement Or Reattach. Of Lower Extremity W Mcc Or Tot. Ankle Replacement," $102,199 "
Fort Hamilton Hughes Memorial Hospital,470,Major Hip And Knee Joint Replacement Or Reattach. Of Lower Extremity W/O Mcc," $81,841 "
Fort Hamilton Hughes Memorial Hospital,474,Amputation For Musculoskeletal Sys & Conn Tissue Dis W Mcc," $149,008 "
Fort Hamilton Hughes Memorial Hospital,475,Amputation For Musculoskeletal Sys & Conn Tissue Dis W Cc," $44,837 "
Fort Hamilton Hughes Memorial Hospital,476,Amputation For Musculoskeletal Sys & Conn Tissue Dis W/O Cc/Mcc," $54,222 "
Fort Hamilton Hughes Memorial Hospital,477,Biopsies Of Musculoskeletal System & Connective Tissue W Mcc," $100,126 "
Fort Hamilton Hughes Memorial Hospital,478,Biopsies Of Musculoskeletal System & Connective Tissue W Cc," $43,445 "
Fort Hamilton Hughes Memorial Hospital,479,Biopsies Of Musculoskeletal System & Connective Tissue W/O Cc/Mcc," $48,427 "
Fort Hamilton Hughes Memorial Hospital,480,Hip & Femur Procedures Except Major Joint W Mcc," $95,132 "
Fort Hamilton Hughes Memorial Hospital,481,Hip & Femur Procedures Except Major Joint W Cc," $86,758 "
Fort Hamilton Hughes Memorial Hospital,482,Hip & Femur Procedures Except Major Joint W/O Cc/Mcc," $73,946 "
Fort Hamilton Hughes Memorial Hospital,483,Major Joint/Limb Reattachment Procedure Of Upper Extremities," $84,984 "
Fort Hamilton Hughes Memorial Hospital,486,Knee Procedures W Pdx Of Infection W Cc," $55,461 "
Fort Hamilton Hughes Memorial Hospital,488,Knee Procedures W/O Pdx Of Infection W Cc/Mcc," $66,761 "
Fort Hamilton Hughes Memorial Hospital,489,Knee Procedures W/O Pdx Of Infection W/O Cc/Mcc," $72,558 "
Fort Hamilton Hughes Memorial Hospital,492,"Lower Extrem & Humer Proc Except Hip,Foot,Femur W Mcc"," $64,959 "
Fort Hamilton Hughes Memorial Hospital,493,"Lower Extrem & Humer Proc Except Hip,Foot,Femur W Cc"," $75,862 "
Fort Hamilton Hughes Memorial Hospital,494,"Lower Extrem & Humer Proc Except Hip,Foot,Femur W/O Cc/Mcc"," $63,062 "
Fort Hamilton Hughes Memorial Hospital,498,Local Excision & Removal Int Fix Devices Of Hip & Femur W Cc/Mcc," $94,175 "
Fort Hamilton Hughes Memorial Hospital,500,Soft Tissue Procedures W Mcc," $70,646 "
Fort Hamilton Hughes Memorial Hospital,501,Soft Tissue Procedures W Cc," $35,805 "
Fort Hamilton Hughes Memorial Hospital,502,Soft Tissue Procedures W/O Cc/Mcc," $50,055 "
Fort Hamilton Hughes Memorial Hospital,503,Foot Procedures W Mcc," $65,966 "
Fort Hamilton Hughes Memorial Hospital,504,Foot Procedures W Cc," $61,281 "
Fort Hamilton Hughes Memorial Hospital,505,Foot Procedures W/O Cc/Mcc," $69,802 "
Fort Hamilton Hughes Memorial Hospital,510,"Shoulder,Elbow Or Forearm Proc,Exc Major Joint Proc W Mcc"," $77,228 "
Fort Hamilton Hughes Memorial Hospital,511,"Shoulder,Elbow Or Forearm Proc,Exc Major Joint Proc W Cc"," $51,532 "
Fort Hamilton Hughes Memorial Hospital,513,"Hand Or Wrist Proc, Except Major Thumb Or Joint Proc W Cc/Mcc"," $31,023 "
Fort Hamilton Hughes Memorial Hospital,514,"Hand Or Wrist Proc, Except Major Thumb Or Joint Proc W/O Cc/Mcc"," $27,172 "
Fort Hamilton Hughes Memorial Hospital,515,Other Musculoskelet Sys & Conn Tiss O.R. Proc W Mcc," $65,217 "
Fort Hamilton Hughes Memorial Hospital,516,Other Musculoskelet Sys & Conn Tiss O.R. Proc W Cc," $99,612 "
Fort Hamilton Hughes Memorial Hospital,517,Other Musculoskelet Sys & Conn Tiss O.R. Proc W/O Cc/Mcc," $63,145 "
Fort Hamilton Hughes Memorial Hospital,519,Back & Neck Proc Exc Spinal Fusion W Cc," $93,487 "
Fort Hamilton Hughes Memorial Hospital,533,Fractures Of Femur W Mcc," $42,007 "
Fort Hamilton Hughes Memorial Hospital,534,Fractures Of Femur W/O Mcc," $29,456 "
Fort Hamilton Hughes Memorial Hospital,535,Fractures Of Hip & Pelvis W Mcc," $37,305 "
Fort Hamilton Hughes Memorial Hospital,536,Fractures Of Hip & Pelvis W/O Mcc," $27,639 "
Fort Hamilton Hughes Memorial Hospital,539,Osteomyelitis W Mcc," $42,663 "
Fort Hamilton Hughes Memorial Hospital,540,Osteomyelitis W Cc," $41,153 "
Fort Hamilton Hughes Memorial Hospital,541,Osteomyelitis W/O Cc/Mcc," $18,724 "
Fort Hamilton Hughes Memorial Hospital,542,Pathological Fractures & Musculoskelet & Conn Tiss Malig W Mcc," $37,438 "
