"Px
Code",ID,"Medication
Description","Unit
Price"
250000006,11081,Inj potassium chloride,82
250000006,111340,Leuprolide acetate /3.75 MG,"19,146.18"
250000006,111341,Leuprolide acetate /3.75 MG,"21,071.68"
250000006,111348,Brentuximab vedotin inj,"18,887.50"
250000006,11150,Inj  propofol  10 mg,56.4
250000006,112481,polidocanol 1 % (20 mg/2 mL) solution 2 mL AMPUL,39.18
250000006,11256,Rabies ig  heat treated,"1,276.80"
250000006,112781,bupivacaine liposome (PF) 266 mg/20 mL (13.3 mg/mL) suspension 20 mL Vial,417.94
250000006,112781,bupivacaine liposome (PF) 266 mg/20 mL (13.3 mg/mL) suspension 10 mL Vial,465
250000006,112967,Erwinaze injection,"10,233.60"
250000006,112992,Aflibercept injection (ophthalmic),"5,050.00"
250000006,113060,levothyroxine 20 mcg/mL recon soln 1 each Vial,367.62
250000006,11338,Sargramostim injection,460.13
250000006,114,Acetazolamid sodium injectio,63.94
250000006,11507,Terbutaline sulfate inj,40.9
250000006,11565,Tobramycin sulfate injection,227.49
250000006,11584,Triamcinolone acet inj NOS,37.26
250000006,116024,glucarpidase 1 000 Unit/mL recon soln 1 each Vial,"75,800.00"
250000006,11627,Vancomycin hcl injection,622.05
250000006,116277,Inj  Taliglucerace Alfa 10 u,"2,373.63"
250000006,11634,vecuronium 1 mg/mL recon soln 1 each Vial,51.47
250000006,116345,Dexamethasone sodium phos,54.42
250000006,116596,Injection  Pertuzumab  1 mg,"12,981.40"
250000006,116806,Hydromorphone injection,75.62
250000006,116809,Hydromorphone injection,94.99
250000006,116820,Baclofen 10 MG injection,966.5
250000006,11691,Zidovudine,138.66
250000006,117032,Methotrexate sodium inj,156.47
250000006,117047,Injection  Carfilzomib  1 mg,"6,014.65"
250000006,117122,DT: Diphtheria & Tetanus toxoids (PF) 5-25 Lf unit/0.5 mL suspension 0.5 mL Vial,77.68
250000006,117842,Pegaspargase injection,"39,465.73"
250000006,119060,Inj  Ocriplasmin  0.125 mg,618.75
250000006,119538,pasireotide 0.9 mg/mL solution 1 mL AMPUL,672.99
250000006,120068,isoproterenol 0.2 mg/mL solution 5 mL AMPUL,71.78
250000006,120068,isoproterenol 0.2 mg/mL solution 5 mL Vial,51.71
250000006,120068,isoproterenol 0.2 mg/mL solution 0.5 mL Vial,142.39
250000006,120086,Inj  Ado-trastuzumab Emt 1mg,"7,919.78"
250000006,120087,Inj  Ado-trastuzumab Emt 1mg,"12,401.65"
250000006,120142,Garamycin gentamicin inj,38.52
250000006,120172,Inj aripriprazole ext rel 1mg,"4,064.85"
250000006,120304,Paricalcitol,72.34
250000006,120350,Prednisone oral,423.96
250000006,120393,Digoxin injection,38.08
250000006,120419,Morphine sulfate injection,91.25
250000006,120477,Hydrocortisone sodium succ i,71.16
250000006,120624,lidocaine viscous 2 % solution 15 mL Cup,5.91
250000006,120624,lidocaine viscous 2 % solution 5 mL Cup,5.86
250000006,120624,lidocaine viscous 2 % solution 100 mL Bottle,6.44
250000006,120683,Sterile cefuroxime injection,84.05
250000006,120999,Diphenhydramine hcl injectio,38.58
250000006,121505,Adrenalin epinephrine inject,214.78
250000006,121565,Furosemide injection,49.58
250000006,122008,dextrose 50 % syringe 50 mL Syringe,64.2
250000006,122077,Inj naloxone hydrochloride,94.59
250000006,122149,Inj IVIG privigen 500 mg,948.38
250000006,122185,bupivacaine PF 0.75 % (7.5 mg/mL) solution 30 mL Vial,36.14
250000006,122185,bupivacaine PF 0.75 % (7.5 mg/mL) solution 10 mL Vial,38.98
250000006,122186,milrinone 200 mcg/mL piggyback 100 mL Bag,197.78
250000006,122190,milrinone 1 mg/mL solution 20 mL Vial,82.96
250000006,122190,milrinone 1 mg/mL solution 10 mL Vial,48.72
250000006,1222,bupivacaine PF 0.25 % (2.5 mg/mL) solution 10 mL Vial,37
250000006,1222,bupivacaine PF 0.25 % (2.5 mg/mL) solution 30 mL Vial,36.84
250000006,122267,neostigmine methylsulfate 1 mg/mL solution 10 mL Vial,104.6
250000006,122614,Golimumab for iv use 1mg,"4,468.25"
250000006,122648,Inj ferric carboxymaltos 1mg,"2,372.38"
250000006,123,Acetylcysteine non-comp unit,36.71
250000006,123049,dexmedetomidine 100 mcg/mL solution 2 mL Vial,85.19
250000006,123049,dexmedetomidine 100 mcg/mL solution 0.5 mL Syringe,49.73
250000006,123070,Bortezomib injection,"4,457.50"
250000006,123144,Garamycin gentamicin inj,82
250000006,123587,Candida Albicans injection,108.24
250000006,123744,oxytocin 60 milli-Units/mL solution 500 mL Bag,99.5
250000006,123768,Epoetin alfa  100 units,891.05
250000006,123775,somatropin 5 mg/1.5 mL (3.3 mg/mL) pen injector 1.5 mL Syringe,"1,757.66"
250000006,123906,Buprenorphine hydrochloride,96.02
250000006,124106,Meperidine hydrochl /100 MG,88.25
250000006,124107,Meperidine hydrochl /100 MG,89.15
250000006,124108,Meperidine hydrochl /100 MG,87.96
250000006,124116,Normal saline solution infus,76.93
250000006,124137,BCG live intravesical vac,692.55
250000006,124313,bupivacaine-EPINEPHrine bitart 0.5 %-1:200 000 cartridge 1.8 mL Cartridge,44.48
250000006,124488,somatropin 5.8 mg recon soln 1 each Vial,832.52
250000006,124547,Hizentra injection,"2,815.75"
250000006,124656,Etoposide injection,119.04
250000006,124767,Obinutuzumab inj,"15,940.10"
250000006,124833,Adrenalin epinephrine inject,67.67
250000006,124985,EPINEPHrine 0.15 mg/0.3 mL auto-injector 1 each Syringe,457.53
250000006,124985,EPINEPHrine 0.15 mg/0.3 mL auto-injector 2 each Syringe,457.53
250000006,124987,EPINEPHrine 0.3 mg/0.3 mL auto-injector 1 each Syringe,827.99
250000006,124987,EPINEPHrine 0.3 mg/0.3 mL auto-injector 2 each Syringe,457.53
250000006,125001,EPINEPHrine 0.1 mg/mL syringe 10 mL Syringe,51.16
250000006,125021,Hep b ig  im,294.86
250000006,125161,glatiramer 40 mg/mL syringe 1 mL Syringe,"1,260.54"
250000006,125337,testosterone undecanoate 750 mg/3 mL (250 mg/mL) solution 3 mL Vial,"2,984.66"
250000006,125686,Injection  ramucirumab,"3,199.25"
250000006,126116,exenatide microspheres 2 mg/0.65 mL pen injector 4 each Syringe,490.9
250000006,126167,Ustekinumab injection,"24,444.30"
250000006,126168,Ustekinumab injection,"48,458.48"
250000006,126190,Etanercept injection,"1,646.10"
250000006,126192,Etanercept injection,"3,267.51"
250000006,126219,Injection  vedolizumab,"15,668.93"
250000006,126226,Inj testosterone cypionate,78.43
250000006,126227,Inj testostero enanthate 1mg,81.1
250000006,126228,Hib: Haemophilus influenzae b conjugate (PF) 7.5 mcg/0.5 mL solution 0.5 mL Vial,40.86
250000006,126244,Injection  dalbavancin,"4,008.65"
250000006,126466,magnesium sulfate in water 2 gram/50 mL (4 %) piggyback 50 mL Flex Cont,108.08
250000006,126466,magnesium sulfate in water 2 gram/50 mL (4 %) piggyback 50 mL Bag,102.83
250000006,126470,Injection  belinostat  10mg,"5,068.60"
250000006,126576,magnesium sulfate 40 mg/mL parenteral solution 500 mL Flex Cont,87.25
250000006,126619,Granisetron hcl injection,45.96
250000006,126885,Tetanus immune globulin inj,"1,456.63"
250000006,127015,Morphine sulfate injection,96.57
250000006,127190,Dimethyl sulfoxide 50% 50 ML,"1,397.65"
250000006,127211,clevidipine 0.5 mg/mL emulsion 100 mL Vial,682.5
250000006,127332,peramivir (PF) 200 mg/20 mL (10 mg/mL) solution 20 mL Vial,"1,312.48"
250000006,127348,MenB: meningococcal B 50-50-50-25 mcg/0.5 mL syringe 0.5 mL Syringe,205.55
250000006,12735,famotidine per 20 mg,85.33
250000006,127389,Dopamine injection,41.68
250000006,127401,Dopamine injection,93.38
250000006,127428,Fluocinol acet intravit imp,"26,460.00"
250000006,127467,tirofiban per 0.25 mg,"1,175.00"
250000006,127573,factor VIII (8) (recomb porcine) 500 (+/-) unit range recon soln 1 each Vial,46.92
250000006,127653,Injection  Alemtuzumab,"51,034.38"
250000006,127661,glatiramer 20 mg/mL syringe 1 mL Syringe,437.75
250000006,127749,Methocarbamol injection,100.25
250000006,127766,blinatumomab 12.5 mcg/mL kit 1 each Vial,"9,718.58"
250000006,127771,Rho d immune globulin inj,268.82
250000006,127817,pasireotide pamoate 40 mg suspension for reconstitution 1 each Vial,"31,197.00"
250000006,127841,ceftolozane-tazobactam 150 mg/mL recon soln 1 each Vial,388.59
250000006,127964,Inj pembrolizumab,"12,248.50"
250000006,128163,cefTAZidime-avibactam 2.5 g/12 mL recon soln 1 each Vial,889.26
250000006,128211,isavuconazonium 372 mg recon soln 1 each Vial,680.45
250000006,128270,neostigmine methylsulfate 5 mg/5 mL (1 mg/mL) syringe 5 mL Syringe,117.24
250000006,128612,Methylprednisolone injection,53.18
250000006,128613,Methylprednisolone injection,63.94
250000006,128614,Methylprednisolone injection,167.65
250000006,128615,Methylprednisolone injection,187.74
250000006,128759,Hydrocortisone sodium succ i,199.99
250000006,128760,Hydrocortisone sodium succ i,124.59
250000006,128761,Hydrocortisone sodium succ i,89.98
250000006,129119,phenylephrine 10 mg/250 mL (40 mcg/mL) solution 252 mL Bag,107.63
250000006,129119,phenylephrine 10 mg/250 mL (40 mcg/mL) solution 251 mL Bag,107.5
250000006,129288,Octreotide inj  non-depot,54.6
250000006,12933,Tacrolimus Imme Rel oral 1mg,6.12
250000006,129337,Leuprolide acetate suspnsion,598.7
250000006,12934,Tacrolimus Imme Rel oral 1mg,5.88
250000006,12935,Tacrolimus injection,605.35
250000006,129471,Epoprostenol injection,240.29
250000006,130262,EPINEPHrine 16 mcg/mL solution 254 mL Bag,230.07
250000006,130353,Octreotide injection  depot,"9,948.23"
250000006,130355,Octreotide injection  depot,"14,685.35"
250000006,130356,Octreotide injection  depot,"7,693.70"
250000006,130504,Inj midazolam hydrochloride,70.3
250000006,13092,fentaNYL citrate 100 % powder 1 g Jar,"2,945.75"
250000006,1312,Calcium gluconate injection,51.04
250000006,131956,Inj aripriprazole ext rel 1mg,"4,064.85"
250000006,131957,Inj aripriprazole ext rel 1mg,"5,278.10"
250000006,131981,Injection  pegfilgrastim 6mg,"10,959.35"
250000006,132277,dinutuximab 3.5 mg/mL solution 5 mL Vial,"25,108.75"
250000006,132302,varicella-zoster 125 unit/1.2 mL solution 1.2 mL Vial,"1,130.59"
250000006,132310,paliperidone palmitate (3-month) 546 mg/1.75 mL syringe 1.75 mL Syringe,"11,868.43"
250000006,13691,Leuprolide acetate /3.75 MG,"1,996.50"
250000006,14135,Leuprolide acetate injeciton,196.9
250000006,14369,Abciximab injection,"1,960.55"
250000006,1445,Cefazolin sodium injection,37.69
250000006,1446,Cefazolin sodium injection,53.93
250000006,1448,Cefazolin sodium injection,38.06
250000006,14633,Interferon alfa-2b inj,"1,738.63"
250000006,14634,Cytomegalovirus imm IV /vial,"3,263.00"
250000006,14643,epoetin alfa per 1000 Units,508.03
250000006,1465,Sterile cefuroxime injection,46.2
250000006,14845,Dopamine injection,98.63
250000006,14868,Lidocaine injection,93.38
250000006,15028,alprostadil 20 mcg/mL recon soln 6 each Vial,348.78
250000006,15113,Mycophenolate mofetil oral,5.93
250000006,15156,Dexrazoxane HCl injection,416.73
250000006,15157,Dexrazoxane HCl injection,854.28
250000006,15330,Adenosine inj 1mg,422.9
250000006,15426,Leucovorin calcium injection,99.11
250000006,15595,bupivacaine HCl 100 % powder 5 g Jar,89.78
250000006,15595,bupivacaine HCl 100 % powder 100 g Can,575
250000006,15595,bupivacaine HCl 100 % powder 25 g Jar,261.25
250000006,15847,Inj heparin sodium per 1000u,83.75
250000006,15852,In morphine preservativ free,78.15
250000006,15898,Epoprostenol injection,187.02
250000006,15981,Inj dobutamine HCL/250 mg,98.63
250000006,16014,D5W and lactated Ringer's with KCl 20 mEq/L 20 mEq/L parenteral solution 1 000 mL Bag,82
250000006,16162,magnesium sulfate in D5W 1 gram/100 mL piggyback 100 mL Bag,90.4
250000006,16162,magnesium sulfate in D5W 1 gram/100 mL piggyback 100 mL Flex Cont,93.9
250000006,16254,Goserelin acetate implant,"4,987.50"
250000006,162657,Gamma globulin > 10 CC inj,306.2
250000006,162678,trabectedin 0.05 mg/mL recon soln 1 each Vial,"7,613.15"
250000006,162702,Immune globulin  powder,"1,927.00"
250000006,162703,Immune globulin  powder,"3,379.00"
250000006,162732,cangrelor 10 mg/mL recon soln 1 each Vial,"1,970.37"
250000006,1634,Chloroprocaine hcl injection,42.56
250000006,163432,Irinotecan Liposomal injection,"4,902.50"
250000006,163463,talimogene laherparepvec 10exp6 (1 million) PFU/mL suspension 1 mL Vial,355.81
250000006,163464,talimogene laherparepvec 10exp8 (100 million) PFU/mL suspension 1 mL Vial,"12,435.03"
250000006,1635,Chloroprocaine hcl injection,42.94
250000006,163511,mepolizumab 100 mg/mL recon soln 1 each Vial,"6,918.23"
250000006,163525,Cefazolin sodium injection,95.65
250000006,163579,daratumumab 20 mg/mL solution 5 mL Vial,"1,718.23"
250000006,163579,daratumumab 20 mg/mL solution 20 mL Vial,"5,522.90"
250000006,163649,Injection  elotuzumab,"5,162.48"
250000006,163650,Injection  elotuzumab,"6,733.25"
250000006,163687,bendamustine 25 mg/mL solution 4 mL Vial,"5,991.70"
250000006,16369,Cefepime HCl for injection,51.31
250000006,16371,Cefepime HCl for injection,64.25
250000006,1649,Chlorpromazine hcl injection,117.46
250000006,166661,factor IX (9) rec  albumin fusion 1 000 (+/-) unit recon soln 1 each Vial,50.92
250000006,166662,factor IX (9) rec  albumin fusion 2 000 (+/-) unit recon soln 1 each Vial,50.92
250000006,166686,hydroxyprogest(PF)(preg presv) 250 mg/mL (1 mL) oil 1 mL Vial,"1,931.38"
250000006,166721,EPINEPHrine 10 mcg/mL syringe 10 mL Syringe,52.04
250000006,167317,defibrotide 80 mg/mL solution 2.5 mL Vial,"3,160.46"
250000006,17012,Bleomycin sulfate injection,389.12
250000006,170260,Injection  Carfilzomib  1 mg,"3,232.33"
250000006,17050,baclofen 100 % powder 5 g Jar,98.98
250000006,170793,von Willebrand factor (recombinant) 1 300 (+/-) unit range recon soln 1 each Vial,42.72
250000006,170794,von Willebrand factor (recombinant) 650 (+/-) unit range recon soln 1 each Vial,42.72
250000006,17085,cloNIDine HCl powder 1 g Jar,119.71
250000006,17121,Gemcitabine hcl injection,645.8
250000006,172004,Ustekinumab injection,"4,424.97"
250000006,172384,Infliximab injection,"1,508.43"
250000006,172387,aminolevulinic acid HCl 10 % gel 2 g Tube,837.6
250000006,172507,olaratumab injection,"6,443.75"
250000006,17285,Topotecan injection,336.5
250000006,17378,Cidofovir injection,"1,508.43"
250000006,17379,Meropenem,46.95
250000006,17380,Meropenem,59.27
250000006,17451,Etoposide injection,652.35
250000006,175459,procainamide 100 mg/mL syringe 10 mL Syringe,54.57
250000006,175785,nusinersen (PF) 12 mg/5 mL solution 5 mL Vial,"312,925.00"
250000006,176353,melphalan-betadex sulfobutyl ether sodium 50 mg recon soln 1 each Vial,"3,136.70"
250000006,177126,thiotepa 100 mg recon soln 1 each Vial,"10,717.40"
250000006,177259,vancomycin 100 gram recon soln 1 each Bag,"1,000.00"
250000006,177309,Injection  avelumab,"4,323.65"
250000006,177327,Ocrelizumab injection,"41,050.00"
250000006,178542,Trastuzumab injection,"4,346.05"
250000006,178633,edaravone 30 mg/100 mL piggyback 100 mL Bag,"1,834.75"
250000006,1792,cocaine 4 % solution 4 mL Bottle,600.3
250000006,179245,Rituximab Hyaluronidase injection,"15,576.11"
250000006,179256,cerliponase alfa 30 mg/mL kit 1 each KIT,"67,925.00"
250000006,179284,blinatumomab 35 mcg recon soln 1 each Vial,"9,718.58"
250000006,179343,Rituximab Hyaluronidase injection,"17,737.01"
250000006,179976,dexrazoxane HCl(extravasation) 500 mg recon soln 1 each Vial,"1,272.50"
250000006,180021,Injection  daunorubicin-cytarabine liposome,"20,406.25"
250000006,180034,Injection  inotuzumab,"47,200.00"
250000006,180268,Injection  gemtuzumab,"20,950.00"
250000006,181063,etelcalcetide 5 mg/mL solution 1 mL Vial,435.65
250000006,181078,meropenem-vaborbactam 2 gram recon soln 1 each Vial,508.13
250000006,181339,benralizumab 30 mg/mL syringe 1 mL Syringe,"12,305.28"
250000006,181350,heparin (porcine) in 0.9% NaCl 5 000 unit/5 mL syringe 5 mL Syringe,44.36
250000006,18192,Ropivacaine HCl injection,43.98
250000006,18193,Ropivacaine HCl injection,42.22
250000006,18194,Ropivacaine HCl injection,51.2
250000006,18195,Ropivacaine HCl injection,40.06
250000006,182106,arsenic trioxide 2 mg/mL solution 6 mL Vial,"2,518.76"
250000006,182748,mometasone 1 350 mcg implant 1 each Packet,"3,885.00"
250000006,182777,angiotensin II 2.5 mg/mL solution 1 mL Vial,"4,175.00"
250000006,18302,Piperacillin/tazobactam,94.56
250000006,18303,Piperacillin/tazobactam,69.24
250000006,18304,Piperacillin/tazobactam,45.04
250000006,18315,Inj dobutamine HCL/250 mg,101.25
250000006,185986,Tenecteplase injection,"10,000.07"
250000006,188272,iron dextran 50 mg/mL solution 2 mL Vial,59.74
250000006,188342,Rabies ig  heat treated,"1,276.80"
250000006,188459,factor Xa (recombinant)  inactivated-zhzo 100 mg recon soln 1 each Vial,"27,925.00"
250000006,18925,Levofloxacin injection,99.73
250000006,190511,Injection onabotulinumtoxinA,538.75
250000006,19333,Clonidine hydrochloride,43.65
250000006,2007,Vitamin b12 injection,46.84
250000006,20156,Cytarabine hcl 100 MG inj,245.31
250000006,20803,Amifostine,"1,289.36"
250000006,20887,valproate 500 mg/5 mL (100 mg/mL) solution 5 mL Vial,43.96
250000006,2091,Dacarbazine 100 mg inj,236.5
250000006,20954,Inj levocarnitine per 1 gm,95.5
250000006,21044,Leuprolide acetate /3.75 MG,"5,764.58"
250000006,21045,Leuprolide acetate suspnsion,"1,346.08"
250000006,21063,Azithromycin,45.08
250000006,21108,Leuprolide acetate suspnsion,"1,644.75"
250000006,21285,Corticorelin ovine triflutal,"2,489.63"
250000006,21374,Mycophenolate mofetil oral,6.18
250000006,21900,Amphotericin b liposome inj,300.71
250000006,22149,Rituximab injection,"2,751.83"
250000006,22185,fomepizone per 15 mg,"1,660.25"
250000006,22472,Ketorolac tromethamine inj,44.6
250000006,22473,Ketorolac tromethamine inj,39.49
250000006,22661,Daunorubicin injection,468.58
250000006,22981,Amphotericin b lipid complex,307.86
250000006,23050,tirofiban per 0.25 mg,379.75
250000006,23082,Basiliximab,"8,789.08"
250000006,23123,eptifibatide per 5 mg,639.6
250000006,23124,eptifibatide per 5 mg,147.44
250000006,23128,Acyclovir injection,46.92
250000006,2332,Dexamethasone sodium phos,37.16
