BRONSON HEALTHCARE GROUP,,,
PHARMACY CHARGEMASTER,,,
"AS OF JANUARY 1, 2019",,,
,,,
Medication,11 Digit NDC Code,Charge Per 1 Unit,
ALDESLEUKIN 22 MILLION UNIT INTRAVENOUS SOLUTION,65483011607," 16,394.48 ",BMH
ALEMTUZUMAB 12 MG/1.2 ML INTRAVENOUS SOLUTION,58468020001," 90,894.44 ",BMH
ALENDRONATE 10 MG TABLET,51079094101, 4.23 ,BMH
ALENDRONATE 10 MG TABLET,00093514156, 3.01 ,BMH
ALENDRONATE 10 MG TABLET,00115167808, 3.01 ,BMH
ALENDRONATE 35 MG TABLET,65862032804, 8.42 ,BMH
ALENDRONATE 35 MG TABLET,76439013004, 4.16 ,BMH
ALENDRONATE 35 MG TABLET,69097022316, 2.43 ,BMH
ALENDRONATE 70 MG TABLET,51079094205, 4.18 ,BMH
ALENDRONATE 70 MG TABLET,41616063860, 3.46 ,BMH
ALENDRONATE 70 MG TABLET,69543013120, 3.35 ,BMH
ALENDRONATE 70 MG/75 ML ORAL SOLUTION,51224030110, 2.21 ,BMH
"ALFUZOSIN ER 10 MG TABLET,EXTENDED RELEASE 24 HR",31722030201, 3.78 ,BMH
"ALFUZOSIN ER 10 MG TABLET,EXTENDED RELEASE 24 HR",69097084407, 3.69 ,BMH
ALGLUCOSIDASE ALFA 50 MG INTRAVENOUS SOLUTION,58468016001," 2,512.00 ",BMH
ALGLUCOSIDASE ALFA 50 MG INTRAVENOUS SOLUTION,58468016002," 2,512.00 ",BMH
ALISKIREN 150 MG TABLET,00078048515, 19.06 ,BMH
ALISKIREN 150 MG TABLET,70839015030, 23.97 ,BMH
ALLOPURINOL 100 MG TABLET,51079020501, 2.49 ,BMH
ALLOPURINOL 100 MG TABLET,62584098811, 1.98 ,BMH
ALLOPURINOL 100 MG TABLET,51079020520, 2.49 ,BMH
ALLOPURINOL 100 MG TABLET,00904657161, 1.96 ,BMH
ALLOPURINOL 300 MG TABLET,62584071311, 4.09 ,BMH
ALLOPURINOL 300 MG TABLET,62584071301, 4.09 ,BMH
ALLOPURINOL 300 MG TABLET,51079020601, 2.43 ,BMH
ALLOPURINOL 300 MG TABLET,51079020620, 2.43 ,BMH
ALLOPURINOL 300 MG TABLET,00904657261, 3.22 ,BMH
ALLOPURINOL 300 MG TABLET,63739079610, 3.25 ,BMH
ALLOPURINOL 500 MG INTRAVENOUS SOLUTION,67457018750," 6,079.45 ",BMH
ALLOPURINOL 500 MG INTRAVENOUS SOLUTION,00143953301," 7,970.17 ",BMH
ALOE VERA-COLLAGEN TOPICAL FOAM,68455010841, 0.06 ,BMH
ALOSETRON 1 MG TABLET,65162024903, 101.88 ,BMH
"ALPHA-1-PROTEINASE INHIBITOR (HUMAN) 1,000 MG INTRAVENOUS SOLUTION",13533070310, 1.57 ,BMH
ALPHA-1-PROTEINASE INHIBITOR(HUMAN) 1 GRAM/50 ML(2 %) INTRAVENOUS SOLN,00944288401, 1.57 ,BMH
ALPRAZOLAM 0.25 MG TABLET,00904585861, 0.70 ,BMH
ALPRAZOLAM 0.25 MG TABLET,67253090010, 0.35 ,BMH
ALPRAZOLAM 0.25 MG TABLET,51079078820, 1.05 ,BMH
ALPRAZOLAM 0.25 MG TABLET,51079078801, 1.05 ,BMH
ALPRAZOLAM 0.25 MG TABLET,00781106101, 0.47 ,BMH
ALPRAZOLAM 0.25 MG TABLET,68084064711, 2.05 ,BMH
ALPRAZOLAM 0.25 MG TABLET,68084064701, 2.05 ,BMH
ALPRAZOLAM 0.5 MG TABLET,51079078901, 0.93 ,BMH
ALPRAZOLAM 0.5 MG TABLET,47335060488, 0.70 ,BMH
ALPRAZOLAM 0.5 MG TABLET,51079078920, 0.93 ,BMH
ALPRAZOLAM 0.5 MG TABLET,63739066910, 0.84 ,BMH
ALPROSTADIL 500 MCG/ML INJECTION SOLUTION,00009316901, 377.72 ,BMH
ALPROSTADIL 500 MCG/ML INJECTION SOLUTION,00009316906, 377.72 ,BMH
ALTEPLASE 100 MG INTRAVENOUS SOLUTION,50242008527, 288.36 ,BMH
ALTEPLASE 100 MG INTRAVENOUS SOLUTION,00990000074, 288.36 ,BMH
ALTEPLASE 100MG IV INFUSION FOR STROKE,50242008527, 288.36 ,BMH
ALTEPLASE 100MG IV SOLUTION FOR PE,50242008527, 288.36 ,BMH
ALTEPLASE 2 MG INTRA-CATHETER SOLUTION,50242004164, 508.22 ,BMH
ALTEPLASE 50 MG INTRAVENOUS SOLUTION,50242004413, 288.36 ,BMH
ALTEPLASE 50 MG INTRAVENOUS SOLUTION,50242004406, 288.36 ,BMH
"ALUM, AMMONIUM (BULK) POWDER",00395004996, 1.06 ,BMH
"ALUM, AMMONIUM (BULK) POWDER",00395004912, 0.92 ,BMH
ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSPENSION,00536009185, 0.31 ,BMH
ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP,00904000414, 0.04 ,BMH
ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP,57896062912, 0.03 ,BMH
ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP,00121176130, 0.37 ,BMH
ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP,09900000191, 0.30 ,BMH
ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP,00536194583, 0.02 ,BMH
ALVIMOPAN 12 MG CAPSULE,67919002010, 610.83 ,BMH
AMANTADINE HCL 100 MG CAPSULE,00781204801, 7.26 ,BMH
AMANTADINE HCL 100 MG CAPSULE,68084061101, 8.60 ,BMH
AMANTADINE HCL 100 MG CAPSULE,68084061111, 8.60 ,BMH
AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION,50383080716, 0.31 ,BMH
AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION,60432009316, 0.85 ,BMH
AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION,00121064616, 0.82 ,BMH
AMIFOSTINE CRYSTALLINE 500 MG INTRAVENOUS SOLUTION,66220001703," 2,481.36 ",BMH
AMIFOSTINE CRYSTALLINE 500 MG INTRAVENOUS SOLUTION,55390030803," 1,497.60 ",BMH
AMIKACIN 500 MG/2 ML INJECTION SOLUTION,63323081521, 24.25 ,BMH
AMIKACIN 500 MG/2 ML INJECTION SOLUTION,63323081502, 24.23 ,BMH
AMIKACIN 500 MG/2 ML INJECTION SOLUTION,23155029031, 20.51 ,BMH
AMIKACIN 500 MG/2 ML INJECTION SOLUTION,23155029041, 20.51 ,BMH
AMIKACIN 500 MG/2 ML INJECTION SOLUTION,00703903203, 9.32 ,BMH
AMILORIDE 5 MG TABLET,64980015101, 3.14 ,BMH
AMILORIDE 5 MG TABLET,00574029201, 1.98 ,BMH
AMILORIDE 5 MG TABLET,49884011701, 4.05 ,BMH
AMINO ACID 10 % INTRAVENOUS SOLUTION,00264934155, 0.08 ,BMH
AMINOCAPROIC ACID 15 GM/250 ML NS INFUSION (OR),9900000194, 1.60 ,BMH
AMINOCAPROIC ACID 250 MG/ML (25 %) ORAL SOLUTION,49411005208, 37.18 ,BMH
AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION,00409434673, 1.28 ,BMH
AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION,00409434609, 1.28 ,BMH
AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION,00409434610, 1.28 ,BMH
AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION,00409434616, 1.28 ,BMH
AMINOCAPROIC ACID 250 MG/ML ORAL SOLUTION,00409434673, 2.73 ,BMH
AMINOCAPROIC ACID 500 MG TABLET,49411005030, 74.33 ,BMH
AMINOPHYLLINE 500 MG/20 ML INTRAVENOUS SOLUTION,00409592201, 1.36 ,BMH
AMIODARONE 200 MG TABLET,51079090601, 2.50 ,BMH
AMIODARONE 200 MG TABLET,00245014789, 4.93 ,BMH
AMIODARONE 200 MG TABLET,68084037111, 3.28 ,BMH
AMIODARONE 200 MG TABLET,68084037101, 3.28 ,BMH
AMIODARONE 200 MG TABLET,00185014409, 2.34 ,BMH
AMIODARONE 200 MG TABLET,51079090620, 2.50 ,BMH
AMIODARONE 200 MG TABLET,00245014701, 4.92 ,BMH
AMIODARONE 200 MG TABLET,00245014760, 4.64 ,BMH
AMIODARONE 200 MG TABLET,00185014405, 2.35 ,BMH
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,00143987510, 9.05 ,BMH
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,00143987501, 9.05 ,BMH
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,67457015303, 8.05 ,BMH
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,67457015300, 8.05 ,BMH
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,55150018003, 5.38 ,BMH
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,63323061603, 4.93 ,BMH
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,67457015399, 3.26 ,BMH
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,67457015309, 3.26 ,BMH
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,67457015318, 3.15 ,BMH
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,55150018109, 3.13 ,BMH
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,63323061609, 3.10 ,BMH
AMIODARONE 50 MG/ML IV (CODE),67457015303, 8.05 ,BMH
AMIODARONE 50 MG/ML IV (CODE),67457015318, 3.15 ,BMH
AMIODARONE 50 MG/ML IV (CODE),63323061609, 3.10 ,BMH
AMITRIPTYLINE 10 MG TABLET,51079013101, 2.24 ,BMH
AMITRIPTYLINE 10 MG TABLET,51079013120, 2.23 ,BMH
AMITRIPTYLINE 10 MG TABLET,16729017101, 2.37 ,BMH
AMITRIPTYLINE 25 MG TABLET,51079010701, 1.93 ,BMH
AMITRIPTYLINE 25 MG TABLET,51079010720, 1.93 ,BMH
AMITRIPTYLINE 25 MG TABLET,00904020161, 4.56 ,BMH
AMITRIPTYLINE 50 MG TABLET,51079013301, 3.24 ,BMH
AMITRIPTYLINE 50 MG TABLET,51079013320, 3.24 ,BMH
AMITRIPTYLINE 50 MG TABLET,00904020261, 3.07 ,BMH
AMLODIPINE 10 MG TABLET,51079045201, 1.67 ,BMH
AMLODIPINE 10 MG TABLET,31722023990, 0.47 ,BMH
AMLODIPINE 10 MG TABLET,51079045217, 2.43 ,BMH
AMLODIPINE 10 MG TABLET,51079045219, 2.43 ,BMH
AMLODIPINE 10 MG TABLET,63739063110, 1.50 ,BMH
AMLODIPINE 10 MG TABLET,51079045220, 1.67 ,BMH
AMLODIPINE 2.5 MG TABLET,59762152001, 4.51 ,BMH
AMLODIPINE 2.5 MG-BENAZEPRIL 10 MG CAPSULE,00781227101, 3.67 ,BMH
AMLODIPINE 2.5 MG-BENAZEPRIL 10 MG CAPSULE,65862058201, 4.47 ,BMH
AMLODIPINE 2.5 MG-BENAZEPRIL 10 MG CAPSULE,68180075501, 4.55 ,BMH
AMLODIPINE 2.5 MG-BENAZEPRIL 10 MG CAPSULE,55111033801, 3.22 ,BMH
AMLODIPINE 5 MG TABLET,51079045101, 1.84 ,BMH
AMLODIPINE 5 MG TABLET,59762153006, 4.52 ,BMH
AMLODIPINE 5 MG TABLET,09900000399, 1.56 ,BMH
AMLODIPINE 5 MG TABLET,59762153005, 4.51 ,BMH
AMLODIPINE 5 MG TABLET,51079045120, 1.83 ,BMH
AMLODIPINE 5 MG TABLET,00904637061, 1.57 ,BMH
AMLODIPINE 5 MG TABLET,31722023810, 0.38 ,BMH
AMLODIPINE 5 MG-BENAZEPRIL 10 MG CAPSULE,00781227201, 9.59 ,BMH
AMLODIPINE 5 MG-BENAZEPRIL 10 MG CAPSULE,68180075601, 4.57 ,BMH
AMLODIPINE 5 MG-BENAZEPRIL 10 MG CAPSULE,55111033901, 3.29 ,BMH
AMMONIUM LACTATE 12 % LOTION,63044048409, 0.10 ,BMH
AMMONIUM LACTATE 12 % LOTION,45802041954, 0.26 ,BMH
AMMONIUM LACTATE 12 % LOTION,45802052555, 0.08 ,BMH
AMMONIUM LACTATE 12 % LOTION,00904598426, 0.07 ,BMH
AMOBARBITAL 500 MG SOLUTION FOR INJECTION,00187430305," 2,536.80 ",BMH
AMOXICILLIN 200 MG-POTASSIUM CLAVULANATE 28.5 MG/5 ML ORAL SUSPENSION,66685101102, 0.55 ,BMH
AMOXICILLIN 250 MG CAPSULE,00781202001, 0.80 ,BMH
AMOXICILLIN 250 MG CAPSULE,65862001601, 1.13 ,BMH
AMOXICILLIN 250 MG/5 ML ORAL SUSPENSION,00093415573, 0.82 ,BMH
AMOXICILLIN 250 MG/5 ML ORAL SUSPENSION,43598020952, 0.80 ,BMH
AMOXICILLIN 250 MG/5 ML ORAL SUSPENSION,00143988901, 0.63 ,BMH
AMOXICILLIN 250 MG/5 ML ORAL SUSPENSION,67253014846, 0.82 ,BMH
AMOXICILLIN 250 MG/5 ML ORAL SUSPENSION,00781604146, 0.31 ,BMH
AMOXICILLIN 250 MG-POTASSIUM CLAVULANATE 125 MG TABLET,00781187431, 11.46 ,BMH
AMOXICILLIN 250 MG-POTASSIUM CLAVULANATE 62.5 MG/5 ML ORAL SUSPENSION,60432006575, 3.10 ,BMH
AMOXICILLIN 250 MG-POTASSIUM CLAVULANATE 62.5 MG/5 ML ORAL SUSPENSION,43598020451, 4.18 ,BMH
AMOXICILLIN 400 MG/5 ML ORAL SUSPENSION,00781615752, 1.41 ,BMH
AMOXICILLIN 400 MG/5 ML ORAL SUSPENSION,00143988701, 1.41 ,BMH
AMOXICILLIN 400 MG/5 ML ORAL SUSPENSION,00781615746, 1.41 ,BMH
AMOXICILLIN 400 MG/5 ML ORAL SUSPENSION,00093416173, 0.40 ,BMH
AMOXICILLIN 400 MG/5 ML ORAL SUSPENSION,57237003301, 1.41 ,BMH
AMOXICILLIN 400 MG/5 ML ORAL SUSPENSION,65862007101, 1.41 ,BMH
AMOXICILLIN 400 MG-POTASSIUM CLAVULANATE 57 MG/5 ML ORAL SUSPENSION,00143998250, 1.92 ,BMH
AMOXICILLIN 400 MG-POTASSIUM CLAVULANATE 57 MG/5 ML ORAL SUSPENSION,66685101200, 1.92 ,BMH
AMOXICILLIN 400 MG-POTASSIUM CLAVULANATE 57 MG/5 ML ORAL SUSPENSION,65862053450, 2.07 ,BMH
AMOXICILLIN 500 MG CAPSULE,00781261301, 1.69 ,BMH
AMOXICILLIN 500 MG CAPSULE,57237003101, 1.97 ,BMH
AMOXICILLIN 500 MG-POTASSIUM CLAVULANATE 125 MG TABLET,66685100202, 2.74 ,BMH
AMOXICILLIN 600 MG-POTASSIUM CLAVULANATE 42.9 MG/5 ML ORAL SUSPENSION,00781613957, 2.67 ,BMH
