Charge Code,Charge Description,Rev Code,HCPCS/CPT Code2,Modifier,ALT CPT/HCPC DRIVER,ALT CPT/HCPC ,ALT REV DRIVER,ALT REV ,ALT REV DRIVER3,ALT REV 2,2019 Charge,2019 Tiered Pricing
27010507,HC KIT KYPHON XPANDER 2 20/3,0272,,,,,,,,,"$10,450.00",
27010510,HC CATHETER FEM ART 6FR PIGTAIL DUAL LUMEN,0278,,,,,,,,,$405.50,
27010556,HC CATH EAGLE EYE PLATINUM IVUS,0278,C1753,,,,,,,,"$2,465.00",
27010709,HC STENT RESOLUTE,0278,C1874,,,,,,,,"$8,019.00",
27010773,HC POWER PICC DUAL LUMEN 5FR 3CG,0278,C1751,,,,,,,,$310.50,
27010807,HC KIT DRAINAGE PLEURX 1000ML,0272,,,,,,,,,$650.00,
27010836,HC CATHETER PRONTO ASPIRATION,0278,C1757,,,,,,,,"$1,458.50",
27010881,HC NEEDLE CHIBA 22 G DISP,0278,,,,,,,,,$40.50,
27010900,HC TUBE GASTROSTOMY MIC 24FR 10CC,0272,,,,,,,,,$101.40,
27010903,HC TRAY EPIDURAL STD 18GA,0278,,,,,,,,,$96.50,
27010930,HC ADVISA MRI DR DEV,0275,C1785,,,,,,,,"$14,550.00",
27010983,HC Q-WIRE 20G,0272,C1769,,,,,,,,$60.00,
27010984,HC STENT WALLSTENT 18X60X75,0278,C1876,,,,,,,,"$2,955.27",
27010985,HC DRESSING VAC VERAFLO MED,0278,,,,,,,,,$71.00,
27010990,HC KIT PLEURX CATH 50-7000B,0278,C1729,,,,,,,,"$1,528.00",
27011007,HC RECORDER SYS REVEAL LINQ,0278,C1764,,,,,,,,"$9,606.50",
27011045,HC PACER ASSURITY DR RF PM2240,0275,C1785,,,,,,,,"$9,720.00",
27011070,HC KYPHON KIT EXPRESS II 20/2 FIRST FX,0272,,,,,,,,,"$8,550.00",
27011071,HC KYPHON EXPRESS II 20/2 ADD FRACTURE,0272,,,,,,,,,"$6,000.00",
27011101,HC POWERPORT MRI VUE SLIM 8FR,0278,C1788,,,,,,,,"$1,236.00",
27011296,HC STENT URETERAL 8FR X 24CM,0278,C2617,,,,,,,,$358.00,
27011351,HC KIT PLEURX CATH PERITONEAL 50-9000B,0278,C1729,,,,,,,,"$1,018.00",
27011369,HC STENT GRAFT VIABAHN 9X5X120,0278,C1874,,,,,,,,"$9,525.00",
27011438,HC KYPHON KIT EXPRESS II 15/2 FIRST FX,0272,,,,,,,,,"$6,600.00",
27011440,HC KYPHON EXPRESS II 15/2 ADD FRACTURE,0272,,,,,,,,,"$6,000.00",
27011549,HC SHEATH 7FR W/RO 25CM,0272,C1894,,,,,,,,$81.48,
27011624,HC CATH DRAIN PIGTAIL RESOLVE 8.5F,0272,C1729,,,,,,,,$120.00,
27011625,HC CATH DRAIN PIGTAIL RESOLVE 10F,0278,C1729,,,,,,,,"$1,126.94",
27011887,HC DILATOR ENDOVASCULAR SET 16-18FR,0272,,,,,,,,,$630.00,
27014037,HC DES SYNERGY,0278,C1874,,,,,,,,"$3,300.00",
27050012,HC CATH ALL PURPOSE 16FR,0272,,,,,,,,,$28.00,
27050047,HC INTRAUTERINE PRESSURE DEVICE,0272,,,,,,,,,$137.50,
27050131,HC BALLOON CERVICAL RIPENING W/STYLET,0278,C1726,,,,,,,,$64.50,
27070002,HC 6F PWP CATHETER,0272,,,,,,,,,$180.00,
27070008,HC BALLOON ATLAS 12MMX4CM,0278,C1725,,,,,,,,"$1,073.00",
27070009,HC BALLOON ATLAS 14MMX4CM,0278,C1725,,,,,,,,"$1,073.00",
27070010,HC BALLOON CATH NEPHROMAX,0278,C1726,,,,,,,,$933.00,
27070012,HC BALLOON SPRINTER LEGEND,0278,C1725,,,,,,,,$286.00,
27070017,HC CABLE DISP 6FT,0272,,,,,,,,,$320.50,
27070018,HC CATH ALL PURPOSE FLEXIMA,0278,C1729,,,,,,,,$232.00,
27070037,HC CATH BILIARY FLEXIMA,0278,C1729,,,,,,,,$306.00,
27070038,HC CATH BILIARY RO FLEXIMA,0278,C1729,,,,,,,,$249.50,
27070042,HC CATH DRAIN D MUELLER,0278,C1729,,,,,,,,$281.00,
27070044,HC CATH FETCH 2,0272,,,,,,,,,"$1,158.00",
27070045,HC CATH FOGARTY EMBOL OTW,0278,C1757,,,,,,,,$434.00,
27070047,HC CATH GUIDE 6FR 55CM RDC TIP,0272,C1887,,,,,,,,$288.00,
27070048,HC CATH GUIDE 7FR 55CM LIMA TIP,0272,C1887,,,,,,,,$275.00,
27070051,HC CATH GUIDE IKARI,0272,C1887,,,,,,,,$356.25,
27070052,HC CATH GUIDING VISTA BRITE,0272,C1887,,,,,,,,$186.50,
27070058,HC CATH MERIT RLC,0278,C1729,,,,,,,,$216.00,
27070059,HC CATH NEPHROSTOMY FLEXIMA,0278,C1729,,,,,,,,$353.50,
27070061,HC CATH PIGTAIL 65CM 5F,0272,,,,,,,,,$99.00,
27070065,HC CATH Q4,0272,C1887,,,,,,,,$457.00,
27070068,HC CATH SPIRDFLEX,0272,C1887,,,,,,,,"$5,662.00",
27070071,HC CATH SUPPORT RUBICON,0272,C1887,,,,,,,,$533.00,
27070072,HC CATH VASCULAR CLOSURE,0278,C1760,,,,,,,,$630.00,
27070088,HC DILATOR VESSEL 5F,0272,,,,,,,,,$25.00,
27070092,HC G TUBE COOK G05274,0272,C1769,,,,,,,,$571.00,
27070093,HC GLIDECATH 4FR 65CM ANGLED,0272,C1887,,,,,,,,$190.00,
27070094,HC GLIDECATH 5FR 65CM ANGLED,0272,C1887,,,,,,,,$190.00,
27070095,HC GLIDECATH 5FR 65CM C2,0272,C1887,,,,,,,,$190.00,
27070096,HC GLIDEWIRE ANGLED .035 150,0272,C1769,,,,,,,,$104.00,
27070097,HC GLIDEWIRE ST STIFF SHAFT 180,0272,C1769,,,,,,,,$218.50,
27070099,HC GUIDEWIRE ANGLED V14 .014,0272,C1769,,,,,,,,$544.00,
27070100,HC GUIDEWIRE LUGE 182 CM,0272,C1769,,,,,,,,$258.50,
27070101,HC GUIDEWIRE MAILMAN 182CM,0272,C1769,,,,,,,,$312.00,
27070103,HC INTRODUCER 5F,0272,C1894,,,,,,,,$16.50,
27070108,HC MESH INTACEED TCS7,0278,C1765,,,,,,,,$823.50,
27070110,HC OBTURATOR 5F,0272,,,,,,,,,$32.00,
27070113,HC PACING WIRE TEMP 4FR,0272,,,,,,,,,$293.50,
27070114,HC QUICKCLOT,0272,,,,,,,,,$31.50,
27070115,HC QUIK CLOT INTERVENTIONAL,0272,,,,,,,,,$136.50,
27070116,HC QUIK CLOT RADIAL,0272,,,,,,,,,$124.50,
27070119,HC SCALP ELECT SPIR B2462,0272,,,,,,,,,$21.00,
27070123,HC SPLINT COCK UP CUSTOM,0274,L3906,,,,,,,,$539.00,
27070127,HC SPLINT ELBOW POSTERIOR CUSTOM,0274,L3999,,,,,,,,$307.00,
27070133,HC STENT VERIFLEX BM,0278,C1876,,,,,,,,"$2,170.50",
27070137,HC VALVE PORT SMART SITE,0270,,,,,,,,,$56.00,
27070138,HC WIRE EXCHANGE 0.21,0272,C1769,,,,,,,,$127.00,
27070139,HC WIRE EXCHANGE 0.38,0272,C1769,,,,,,,,$70.00,
27070142,HC WIRE J CORDIS 0.38 150CM,0272,C1769,,,,,,,,$25.00,
27070143,HC WIRE J CURVED SAFE-T 50CM,0272,C1769,,,,,,,,$78.50,
27070144,HC WRIST/HAND ORTHOSIS W 1> JOINTS CUSTOM,0274,L3905,,,,,,,,"$1,052.00",
27070148,HC DRESSING VAC VERSAFOAM SM,0272,,,,,,,,,$24.00,
27070152,HC BRACE OA NON CUSTOM,0274,L1845,,,,,,,,$955.50,
27070159,HC SUPPORT LUMBO SACRAL CUSTOM,0274,L0626,,,,,,,,$177.50,
27070165,HC CANISTER VAC W/LSO,0271,,,,,,,,,$537.00,
27070166,HC BRACE ACL/PCL CUSTOM,0274,L1845,,,,,,,,$955.00,
27070171,HC ORTHOTICS FOOT CUSTOM,0274,L3010,,,,,,,,$238.00,
27070172,HC OA UNLOADER BRACE CUSTOM,0274,L1846,,,,,,,,"$1,511.50",
27070184,HC STENT EPIC SELF EXPANDING,0278,C1876,,,,,,,,"$2,923.00",
27070211,HC INTRODUCER R/O SUPER SHEATH 6FR,0272,C1894,,,,,,,,$565.00,
27070220,HC GUIDEWIRE AMPLATZ SUPER STIFF .035 X 180CM,0272,C1769,,,,,,,,$155.63,
27070221,HC GUIDEWIRE AMPLATZ SUPER STIFF .035 X 75,0272,C1769,,,,,,,,$96.00,
27070222,HC GUIDEWIRE AMPLATZ SUPER STIFF .035 X 260CM,0272,C1769,,,,,,,,$162.78,
27070223,HC GUIDEWIRE PLATINUM STR,0272,C1769,,,,,,,,$354.71,
27070224,HC WIRE STARTER .035 120CM,0272,C1769,,,,,,,,$51.00,
27070225,HC WIRE ROSEN 035 180CM,0272,C1769,,,,,,,,$43.00,
27070234,HC GUIDEWIRE LAURE ANGLE .035 150CM,0272,C1769,,,,,,,,$105.00,
27070235,HC GUIDEWIRE LAURE ANGLE .035 180CM,0272,C1769,,,,,,,,$117.50,
27070236,HC GUIDEWIRE LAURE ANGLE .035 260CM,0272,C1769,,,,,,,,$130.00,
27070237,HC GUIDEWIRE LAURE ANGLE .035 80CM,0272,C1769,,,,,,,,$105.00,
27070239,HC GLIDECATH 5F,0272,C1769,,,,,,,,$158.00,
27070241,HC GLIDEWIRE ANGLED .018 180CM,0272,C1769,,,,,,,,$179.00,
27070242,HC GLIDEWIRE ANGLED .035 150CM,0272,C1769,,,,,,,,$465.00,
27070243,HC MICRO ACCESS KIT 4F,0272,C1894,,,,,,,,$86.00,
27070246,HC KIT NEPHROSTOMY,0278,C1729,,,,,,,,$399.50,
27070249,HC PRIMATRIX PER SQ CM,0636,Q4110,,,,,,,,$104.00,
27070252,HC INTRODUCER PEEL AWAY,0272,C1892,,,,,,,,$250.50,
27070253,HC CATH URINARY 16FR,0278,C1729,,,,,,,,$214.50,
27070266,HC SNARE ONE LOOP 120CM,0272,C1773,,,,,,,,$894.00,
27070278,HC INTRODUCER GLIDESHEATH SLENDER 6FRX10,0272,C1894,,,,,,,,$287.50,
27070279,HC SHEATH PINNACLE 5FR 10CM .035,0272,C1893,,,,,,,,$104.50,
27070280,HC SAFEGUARD RADIAL COMP BAND,0272,,,,,,,,,$75.00,
27070281,HC CABLE PACING DISP 4F,0272,,,,,,,,,$216.00,
27070282,HC WIRE FIXED CORE STR .035 X 150CM,0272,C1769,,,,,,,,$46.00,
27070283,HC GLIDEWIRE STR .035 150CM,0272,C1769,,,,,,,,$214.50,
27070284,HC STENT INTEGRITY BM,0278,C1876,,,,,,,,"$2,864.00",
27070285,HC GUIDEWIRE GRAPHICS .014 182CM,0272,C1769,,,,,,,,$315.50,
27070286,HC FFR CATHETER ACIST NAVVUS,0272,C1769,,,,,,,,"$2,136.00",
27070309,HC GUIDEWIRE ANGLED .035 260CM,0272,C1769,,,,,,,,$130.00,
27070312,HC GUIDEWIRE ANGLED .035 150CM,0272,C1769,,,,,,,,$122.60,
27070315,HC DRAINAGE PLEURX PT STARTER,0272,,,,,,,,,$757.00,
27070330,HC GUIDEWIRE LUNDERQUIST .035 260,0272,C1769,,,,,,,,$333.00,
27070336,HC CATHETER IABP 50CC,0272,,,,,,,,,"$2,181.50",
27070337,HC GUIDEWIRE CHOICE FLOPPY,0272,C1769,,,,,,,,$451.50,
27070338,HC GUIDEWIRE CHOICE FLOPPY STRAIGHT .014 X 180,0272,C1769,,,,,,,,$560.00,
27070339,HC GUIDEWIRE CHOICE INTERMEDIATE,0272,C1769,,,,,,,,$546.50,
27070340,HC GUIDEWIRE GUIDERIGHT .035 X 50,0272,C1887,,,,,,,,$15.50,
27070348,HC WIRE FILTER EZ,0278,C1884,,,,,,,,"$3,289.00",
27070349,HC GUIDEWIRE FOLDER XT,0272,C1769,,,,,,,,$331.50,
27070351,"HC EV BALLOON, ADMIRAL XT 80CM",0278,C1726,,,,,,,,"$1,105.00",
27070352,"HC EV BALLOON, ADMIRAL XTR 130CM",0278,C1726,,,,,,,,"$1,105.00",
27070353,"HC EV BALLOON, ADMIRAL XTR 60CM",0278,C1726,,,,,,,,"$1,105.00",
27070354,"HC EV BALLOON, RELIANT",0278,C1726,,,,,,,,"$1,308.00",
27070355,"HC EV GUIDEWIRE, 35X260",0272,C1769,,,,,,,,$42.00,
27070356,"HC EV GUIDEWIRE, 35X150",0272,C1769,,,,,,,,$26.00,
27070357,"HC EV GUIDEWIRE, LUNDERQUIST .035X260",0272,C1769,,,,,,,,$389.00,
27070358,"HC EV INTRODUCER, CHECKFLO",0272,C1894,,,,,,,,$281.00,
27070359,"HC EV INTRODUCER, SENTRANT",0272,C1894,,,,,,,,$515.00,
27070360,"HC EV STENT, BIFURC ENDURANT II",0278,C1876,,,,,,,,"$29,325.00",
27070361,"HC EV STENT, LIMB ENDURANT II",0278,C1876,,,,,,,,"$14,479.50",
27070362,"HC EV STENT, VISPRO 8X27X80CM",0278,C1876,,,,,,,,"$1,875.00",
27070363,HC EV GLIDECATH NTA 4F 038X65,0278,C1876,,,,,,,,$190.00,
27070364,"HC EV BALLOON, ADMIRAL INPACT 130CM",0278,C2623,,,,,,,,"$3,750.00",
27070365,"HC EV SHEATH, TOURGUIDE STEERABLE",0272,C1887,,,,,,,,"$1,725.00",
27070366,"HC EV CATH, TRAILBLAZER SUPPORT",0278,C1887,,,,,,,,$385.00,
27070367,"HC EV CATH, MULTIMARK PIG .035X110",0278,C1887,,,,,,,,$356.00,
27070368,"HC EV STENT, EVERFLEX 60X80",0278,C1876,,,,,,,,"$4,056.00",
27070369,"HC EV CATH, BERN .035X65",0278,C1887,,,,,,,,$56.00,
27070371,"HC EV SHEATH, BRITE TIP 7F 55CM",0272,C1894,,,,,,,,$315.00,
27070373,"HC EV STENT, VISIPRO 9X37MM",0278,C1876,,,,,,,,"$1,875.00",
27070374,HC CATHETER DIAG 5F TIG,0272,C1887,,,,,,,,$180.00,
27070375,"HC EV STENT, EVERFLEX SE 120CM",0278,C1876,,,,,,,,"$1,800.00",
27070376,"HC EV STENT, VALIANT THORACIC",0278,C1874,,,,,,,,"$55,485.00",
27070378,HC EV COIL DETACHER,0278,L8699,,,,,,,,$812.50,
27070379,"HC EV CATH, MICRO REBAR",0278,C1887,,,,,,,,"$1,014.00",
27070380,HC GUIDEWIRE STAINLESS FLOPPY TIP .018X7.5CM,0272,C1769,,,,,,,,$104.16,
27070381,HC GUIDEWIRE PROWATER .014X80 CM,0272,C1769,,,,,,,,$277.50,
27070382,HC GUIDEWIRE KINETIX MOD STR .014X85 CM,0272,C1769,,,,,,,,$364.43,
27070383,HC GUIDEWIRE J .025X150 CM,0272,C1769,,,,,,,,$31.60,
27070384,HC GUIDEWIRE LUNDERQUIST XTRA STF .035X260,0272,C1769,,,,,,,,$389.20,
27070385,HC SITE MARKER/CLIP ULTRASOUND,0278,A4648,,,,,,,,$225.00,
27070387,HC INTRODUCER 7F 11CM,0272,C1894,,,,,,,,$138.00,
27070388,HC INTRODUCER 8F 11CM,0272,C1894,,,,,,,,$34.50,
27070389,HC SWAN-GANZ 8F 110CM CCOMBO CCO/SVO2/VIP,0278,C1751,,,,,,,,$666.05,
27070390,HC US HANDPIECE & BIOPSY NEEDLE,0272,,,,,,,,,$725.00,
27070391,HC ST HANDPIECE & BIOPSY NEEDLE,0272,,,,,,,,,$725.00,
27070392,HC CATHETER PACEPORT THERMODILUTION 7.5F 110CM,0278,C1751,,,,,,,,$196.12,
27070393,HC ARTERIAL LINE CATH KIT ARROW 18G X 16CM,0278,,,,,,,,,$200.00,
27070394,HC LUMEN CVC CATHETER KIT 7F X 20CM,0278,,,,,,,,,$319.13,
27070395,HC CHECK FLO PERFORMER ASSEMBLY 9F,0272,,,,,,,,,$43.44,
27070396,HC CATHETER AUROUS SIZING 5FR,0278,C1887,,,,,,,,$356.25,
27070397,HC CATHETER TORCON ADVANTAGE 5FR,0278,C1887,,,,,,,,$55.80,
27070398,HC STENT EVERFLEX 6MMX150MM,0278,C1876,,,,,,,,"$2,100.00",
27070399,HC DILATOR ENDOVASCULAR SET 14F,0272,,,,,,,,,$472.50,
27070400,HC BALLOON EVERCROSS 6MMX80MM,0278,C1725,,,,,,,,$337.50,
27070401,HC BALLOON EVERCROSS 5MMX200MM,0278,C1725,,,,,,,,$337.50,
27070402,HC GLIDECATH NTA 4FX65CM,0278,C1887,,,,,,,,$823.06,
27070403,HC BALLOON ADMIRAL XTREME 40X60,0278,C1725,,,,,,,,$337.50,
27070404,HC BALLOON ADMIRAL XTREME 60X80,0278,C1725,,,,,,,,$337.50,
27070405,HC TRAY CATH RAD ART 21GX4CM,0278,,,,,,,,,$201.15,
27070406,HC STENT EVERFLEX 7MMX60MMX60CM,0278,C1876,,,,,,,,"$1,800.00",
27070408,HC GUIDEWIRE WHOLEY INTERMEDIATE .035X300CM,0272,C1769,,,,,,,,$337.50,
27070409,HC GUIDEWIRE WHOLEY FLOPPY .035X145CM,0272,C1769,,,,,,,,$315.00,
