Off ID,Supply Name,Contact Date,Charge Code ID,Charge Code Name,Billed Charge
20080421,SCREW CANCELLOUS 4.0X50MM,10/17/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
20081626,SCREW CANCELLOUS 4.0X55MM,07/23/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
20081033,SCREW CANCELLOUS 4.0X60MM,12/11/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
20081620,SCREW CANCELLOUS FULL 4.0 14MM,10/17/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
20081621,SCREW CANCELLOUS FULL 4.0 16MM,10/17/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
20080651,SCREW CANCELLOUS FULL 4.0 18MM,07/27/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,57.68
20083717,GUIDEWIRE 100MM 1.1S,06/21/2016,27010439,HC OR 278 C1769 GUIDEWIRE,60
66S2915,"K-WIRE 4"" .062 BIOMET",05/17/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,60
20085715,SCREW CORTICAL 4.5X36MM,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,60.72
20085716,SCREW CORTICAL 4.5X38MM,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,60.72
20084278,SCREW CORTICAL LG HEX 4.5 40MM,05/17/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,62.84
66S2905,"K-WIRE 4"" .035 BIOMET",11/29/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,63.32
66S2910,"K-WIRE 4"" .045 BIOMET",05/17/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,63.32
66S3203,SPRING CLIP 6MM,08/22/2018,27010584,HC OR 272 A4649 SURGICAL SUPPLIES,64
1407020,"IMMOBILIZER KNEE SM UNIV 19""",04/07/2016,27010659,HC OR 274 L1830 IMMOBILIZER KNEE CANVAS LONGIT,68
20080647,SCREW CORTEX SLF-TAP 3.5 X24MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20080416,SCREW CORTEX SLF-TAP 3.5X 20MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20081616,SCREW CORTEX SLF-TAP 3.5X 26MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20080417,SCREW CORTEX SLF-TAP 3.5X 30MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20081607,SCREW CORTEX SLF-TAP 3.5X 34MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20080648,SCREW CORTEX SLF-TAP 3.5X 36MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20080649,SCREW CORTEX SLF-TAP 3.5X 38MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20080650,SCREW CORTEX SLF-TAP 3.5X 45MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20087965,SCREW CORTEX SLF-TAP 3.5X 55MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20081029,SCREW CORTEX SLF-TAP 3.5X10MM ,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20081614,SCREW CORTEX SLF-TAP 3.5X18MM ,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20081615,SCREW CORTEX SLF-TAP 3.5X22MM ,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20081617,SCREW CORTEX SLF-TAP 3.5X28MM ,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20081030,SCREW CORTEX SLF-TAP 3.5X40MM ,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20080418,SCREW CORTICAL 3.5X50MM,06/28/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.56
20081633,SCREW 4.0X35MM CANC PART THR S,05/18/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.68
20081631,SCREW CANC PART THR S 4.0 26MM,06/14/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,70.68
20092836,SCREW CORTEX SLF-TAP 4.5X38MM ,08/16/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,71.12
20096988,SCREW CORTEX SLF-TAP 4.5X50MM ,05/08/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,71.12
20096552,SCREW CORTEX SLF-TPNG 4.5X28MM,06/28/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,71.12
20092837,SCREW CORTEX SLF-TPNG 4.5X70MM,08/16/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,71.12
20080656,SCREW CANCELLOUS PART 4.0 12MM,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,71.28
20093820,BALLOON EUS ORACLE LINEAR,04/07/2016,27010970,HC OR 278 IMPLANT SURG SUPPLIES,72
20085747,SCREW L FRA SH THRD CAN 6.5X70,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,72
20081630,SCREW 4.0X22MM CANC PART THR S,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,72.88
20081627,SCREW CANCELLOUS PART 4.0 14MM,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,72.88
20081628,SCREW CANCELLOUS PART 4.0 16MM,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,72.88
20081629,SCREW CANCELLOUS PART 4.0 18MM,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,72.88
20081031,SCREW CANCELLOUS FULL 4.0 10MM,10/03/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,74.8
20081619,SCREW CANCELLOUS FULL 4.0 12MM,10/10/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,74.8
20081613,SCREW CORTEX SLF-TAP 3.5X16MM ,05/18/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,76.24
20081624,SCREW CANCELLOUS 4.0X28MM,05/05/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,76.48
20081625,SCREW CANCELLOUS 4.0X35MM,05/18/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,76.48
20085761,SCREW L FRA LNG THD CAN 6.5X50,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,80
20085764,SCREW L FRA LNG THD CAN 6.5X65,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,80
20085743,SCREW L FRA SH THRD CAN 6.5X50,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,80
20085753,SCREW L FRA SH THRD CAN6.5X100,05/17/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,80
20098736,SCREW QCK FX TI CANC PT 3.0X40,10/30/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,80
20097884,TRAY METER SURESTEP 16FR,08/14/2018,27010965,HC OR 272 A4314 CATHETER W/DRAINAGE,81.24
20085767,SCREW L FRA LNG THD CAN 6.5X80,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,82.4
20097886,TRAY METER LATEX FREE 16FR,11/27/2018,27010965,HC OR 272 A4314 CATHETER W/DRAINAGE,82.8
1407060,"IMMOBILIZER KNEE UNIVERSAL 24""",04/07/2016,27010659,HC OR 274 L1830 IMMOBILIZER KNEE CANVAS LONGIT,85.72
20080943,SCREW SELF TAP 4.5 CORT 52MM B,05/18/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,88
20085757,SCREW L FRA LNG THD CAN 6.5X30,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085758,SCREW L FRA LNG THD CAN 6.5X35,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085759,SCREW L FRA LNG THD CAN 6.5X40,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085762,SCREW L FRA LNG THD CAN 6.5X55,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085763,SCREW L FRA LNG THD CAN 6.5X60,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085765,SCREW L FRA LNG THD CAN 6.5X70,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085766,SCREW L FRA LNG THD CAN 6.5X75,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085768,SCREW L FRA LNG THD CAN 6.5X85,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085769,SCREW L FRA LNG THD CAN 6.5X90,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085738,SCREW L FRA SH THRD CAN 6.5X25,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085739,SCREW L FRA SH THRD CAN 6.5X30,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085740,SCREW L FRA SH THRD CAN 6.5X35,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085741,SCREW L FRA SH THRD CAN 6.5X40,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085742,SCREW L FRA SH THRD CAN 6.5X45,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085744,SCREW L FRA SH THRD CAN 6.5X55,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085745,SCREW L FRA SH THRD CAN 6.5X60,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085748,SCREW L FRA SH THRD CAN 6.5X75,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085749,SCREW L FRA SH THRD CAN 6.5X80,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085750,SCREW L FRA SH THRD CAN 6.5X85,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085751,SCREW L FRA SH THRD CAN 6.5X90,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085752,SCREW L FRA SH THRD CAN 6.5X95,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085728,SCREW MALLEOLAR 4.5X25MM LG FR,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085729,SCREW MALLEOLAR 4.5X30MM LG FR,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085730,SCREW MALLEOLAR 4.5X35MM LG FR,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085731,SCREW MALLEOLAR 4.5X40MM LG FR,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085732,SCREW MALLEOLAR 4.5X45MM LG FR,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085733,SCREW MALLEOLAR 4.5X50MM LG FR,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085734,SCREW MALLEOLAR 4.5X55MM LG FR,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085735,SCREW MALLEOLAR 4.5X60MM LG FR,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085736,SCREW MALLEOLAR 4.5X65MM LG FR,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20085737,SCREW MALLEOLAR 4.5X70MM LG FR,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,89.12
20090674,SCREW CORTEX,06/14/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,90.64
20081618,SCREW CORTEX SLF-TAP 3.5X32MM ,05/18/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,90.64
20094058,SCREW CORTEX SLF-TAP 4.5X34MM ,05/20/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,91.52
20094144,SCREW CORTEX SLF-TAP 4.5X36MM ,05/20/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,91.52
20085609,SCREW CORTEX SLF-TAP 4.5X40MM ,05/26/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,91.52
20094428,SCREW CORTEX SLF-TAP 4.5X42MM ,05/20/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,91.52
20095135,SCREW CORTEX SLF-TAP 4.5X44MM ,05/19/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,91.52
20097115,SCREW CORTEX SLF-TAP 4.5X46MM ,05/05/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,91.52
20096658,SCREW CORTEX SLF-TAP 4.5X48MM ,01/13/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,91.52
20094057,SCREW CORTEX SLF-TAP 4.5X60MM ,05/19/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,91.52
20095134,SCREW CORTEX SLF-TAP 4.5X62MM ,05/19/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,91.52
20096551,SCREW CORTEX SLF-TPNG 4.5X20MM,12/27/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,91.52
20096550,SCREW CORTEX SLF-TPNG 4.5X22MM,12/27/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,91.52
20095176,SCREW CORTEX SLF-TPNG 4.5X66MM,05/19/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,91.52
20093707,INTRODUCER SUPRAPUBIC 16FR,06/29/2016,27010964,HC OR 272 STERILE SURG SUPPLIES,94
0990040,TRANDUCE SINGLE MONITORING,10/30/2017,27010964,HC OR 272 STERILE SURG SUPPLIES,96
20092826,PIN DISTRACTION TITANIUM 14MM ,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,100
20081691,SCREW LOWPROFILE 6.5X30MM BIO ,05/22/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,100
20087181,INTRAUTERINE PRESSURE CATHETER,07/11/2017,27010964,HC OR 272 STERILE SURG SUPPLIES,100.64
20080657,WASHER 7.0MM SYN,02/01/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,102.08
20092624,GUIDEWIRE NITINOL STRAIGHT.038,11/08/2018,27070464,HC OR 272 C1769 GUIDEWIRE,105
20085770,SCREW L FRA LNG THD CAN6.5X100,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,116
20085771,SCREW L FRA LNG THD CAN6.5X105,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,116
20085772,SCREW L FRA LNG THD CAN6.5X110,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,116
20098666,SCREW 3.5 MM CRTX SLF TAP 26MM,09/19/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,118.72
20098667,SCREW 3.5 MM CRTX SLF TAP 34MM,09/19/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,118.72
20096566,SCREW 2.0MMCORTEX SLFTPING10MM,06/15/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,119.84
20096567,SCREW 2.0MMCORTEX SLFTPING12MM,06/15/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,119.84
20098453,SCREW 2.0MMCORTEX SLFTPING14MM,06/15/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,119.84
20096568,SCREW 2.0MMCORTEX SLFTPING16MM,06/15/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,119.84
20096565,SCREW 2.0MMCORTEX SLF-TPING9MM,06/15/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,119.84
20097275,SCREW 1.5MMCORTEX SLF-TPING10M,09/07/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,120.96
20097543,SCREW 1.5MMCORTEX SLF-TPING11M,09/06/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,120.96
20097544,SCREW 1.5MMCORTEX SLF-TPING13M,09/06/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,120.96
20097274,SCREW 1.5MMCORTEX SLF-TPING6MM,08/24/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,120.96
20097276,SCREW 1.5MMCORTEX SLF-TPING8MM,04/02/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,120.96
20098295,SCREW 1.5MMCORTEX SLF-TPING9MM,04/11/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,120.96
20096161,SCREW 1.5MMX12MM TI CORTEX ST ,04/02/2018,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,120.96
20096160,SCREW 1.5MMX14MM TI CORTEX ST ,09/07/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,120.96
20096164,SCREW 1.5MMX16MM TI CORTEX ST ,09/07/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,120.96
20086947,GUIDEWIRE AMPLATZ EXTRA STIFF ,09/04/2018,27010439,HC OR 278 C1769 GUIDEWIRE,122.56
20080491,SCREW CORTICAL 4.5X40MM,05/18/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,124
20095790,SCREW 3.5 MM CRTX SLF TAP 28MM,05/31/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.6
20095791,SCREW 3.5 MM CRTX SLF TAP 30MM,05/31/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.6
20095792,SCREW 3.5 MM CRTX SLF TAP 32MM,05/31/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.6
20095059,SCREW 3.5 MM CRTX SLF TAP 36MM,05/19/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.6
20095793,SCREW 3.5 MM CRTX SLF TAP 40MM,05/31/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.6
20081611,SCREW CORTEX SLF-TAP 3.5X12MM ,12/20/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.6
20081612,SCREW CORTEX SLF-TAP 3.5X14MM ,12/20/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.6
20096526,SCREW CORTEX SLF-TAP 3.5X20MM ,12/19/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.6
20095058,SCREW CORTEX SLF-TAP 3.5X24MM ,05/19/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.6
20087325,SCREW CORTEX 2.7MM 16MM,07/24/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.68
20087324,SCREW CORTEX SLF-TAP 2.7X 12MM,07/24/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.68
20087605,SCREW CORTEX SLF-TAP 2.7X 18MM,09/26/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.68
20090612,SCREW CORTEX SLF-TAP 2.7X 20MM,09/26/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.68
20090613,SCREW CORTEX SLF-TAP 2.7X22MM ,09/26/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.68
20090244,SCREW CORTEX SLF-TPNG 2.7 10MM,08/22/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.68
20087289,SCREW CORTEX SLF-TPNG 2.7 14MM,07/27/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,127.68
0990170,TRANSDUCE DOUBLE MONITORING,04/03/2018,27010964,HC OR 272 STERILE SURG SUPPLIES,128
20085587,WASHER 4MM,02/01/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,128
20096278,SCREW 1.5MMX10MM,11/30/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,128.48
20096277,SCREW 1.5MMX11MM,11/30/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,128.48
20096309,SCREW 1.5MMX12MM,11/30/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,128.48
20096137,SCREW CORTEX SLF-TAP 1.5X 18MM,02/01/2017,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,128.48
20085760,SCREW L FRA LNG THD CAN 6.5X45,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,129.2
20085746,SCREW L FRA SH THRD CAN 6.5X65,04/07/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,129.2
20096760,INTRODUCER KIT 4FR,02/23/2017,27010964,HC OR 272 STERILE SURG SUPPLIES,132
20096764,INTRODUCER KIT 5FR,02/23/2017,27010964,HC OR 272 STERILE SURG SUPPLIES,132
20096167,SUCTION SYSTEM ORTHOPEDIC,09/15/2016,27010964,HC OR 272 STERILE SURG SUPPLIES,135.24
20080492,SCREW CORTICAL 4.5X42MM,05/18/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,136
20085717,SCREW CORTICAL 4.5X44MM,05/18/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,136
20096202,SCREW CORTI 3.5MMX16MM NO LOCK,09/28/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,140
20094712,SCREW LO PRO TM SS 3.5X12MM,07/06/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,140
20094713,SCREW LO PRO TM SS 3.5X18MM,07/06/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,140
20094714,SCREW LO PRO TM SS 3.5X20MM,07/06/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,140
20094715,SCREW LO PRO TM SS 3.5X22MM,07/06/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,140
20094716,SCREW LO PRO TM SS 3.5X28MM,07/06/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,140
20096199,SCREW NOLOCK CANNCELL 3MMX18MM,09/28/2016,27010418,HC OR 278 C1713 ANCHOR SCREW BN TIS BN,140
