Technical Description,Charge
11X320MMX130 DEG LEFT,5274.00
11X320MMX130 DEG LEFT,5274.00
12 LEAD ECG,319.00
12 LEAD EKG TRACING ONLY,319.00
1-2 NERVE CONDUCTION STUDIES,707.00
123 IOBENGUANE DIAG TO 10 MCI,589.00
12F 15CM PRE-CURVED SLIM CATH,70.00
12F 20CM PRE-CURVED SLIM CATH,141.00
12F 25CM DRAINAGE CATHETER,182.00
12F 40CM BILARY CATHETER,182.00
12F JEJUNAL FEEDING TUBE,258.00
12FX35CM WILLS-OGLESBY GASTROS,314.00
12MM 15CM AZUR COIL,1600.00
12MM ABUTMENT,4100.00
12MM VASCULAR PLUG,1600.00
"12MM X 40MM BALLOON, 80CM SHAF",334.00
12MM30CM AX HELICAL DETCH COIL,1672.00
12MMX 20.7CM MICRUSPHERE 18 C,3202.00
12MMX 30CM CASHMERE,2338.00
12MMX 30CM HELIPAQ C,2518.00
12MMX 40CM PRESIDIO 18,5320.00
12MMX19CM CASHMERE C,3335.00
12MMX20.71CM SPHERICAL 18,2220.00
12MMX30CM HELICAL 18,1160.00
12X60CM80CM LUMNX 3 BILRY STNT,2308.00
12X8X75 MUSTANG BALLOON,400.00
13+ NERVE CONDUCTION STUDIES,1719.00
135CM DELIVERY MICROCATHETER,1380.00
135CM INDIGO RPRF ASPIR CATH6,3980.00
13MMX 22.6CM MICRUSPHERE 18 C,3202.00
13MMX 43CM PRESIDIO 18,5406.00
13MMX22.6CM SPHERICAL 18,2220.00
14.5 CM BENTSON GUIDEWIRE,28.00
14.5FRX23CM HEMOSPLIT CATHETER,798.00
14.5FRX27CM HEMOSPLIT CATHETER,760.00
145CM WHOLEY GUIDEWIRE SYSTEM,147.00
14F 25CM DRAINAGE CATHETER,182.00
14F JEJUNAL FEEDING TUBE,258.00
14G MAMMATOME PROBE,301.00
14MM 34CM AZUR FRAMING COIL035,2380.00
14MM 40CM AXIUM 3D DETACH COIL,2116.00
14MM ABUTMENT,4100.00
14MM ABUTMENT,4100.00
14MM ENTERPRISE,9000.00
14MM SEMI CONSTRAINED,330.00
14MM VASCULAR PLUG,1600.00
14MM30CM AX HELICAL DETCH COIL,1672.00
14MM30CM CONCRT PGLA HELIX EMB,1590.00
14MMX 24.3CM MICRUSPHERE 18 C,3230.00
14MMX 30CM HELIPAQ C,2566.00
14MMX 47CM PRESIDIO 18,5520.00
14MMX24.3CM SPHERICAL 18,2240.00
14MMX30CM HELICAL 18,1160.00
150 CC ROUND SMOOTH,1150.00
152MM BONE ACCESS NEEDLES,190.00
15CM 6MM AZUR COIL 035,2380.00
15CM STR DUAL LUMEN CATH LIT,154.00
15MM 15CM AZUR COIL,1600.00
15MMX 50CM PRESIDIO 18,5660.00
15MMX26CM MICRUSPHERE 18 C,3258.00
15MMX27.9CM SPHERICAL 18,2260.00
16F 25CM DRAINAGE CATHETER,182.00
16F JEJUNAL FEEDING TUBE,258.00
16F PERCUTANEOUS INTRODUCER,378.00
16F2.0CM STMA LOW MIC-KEY GTUB,197.00
16MM 27.9CM MICRUSPHERE 18 C,3288.00
16MM 40CM AXIUM 3D DETACH COIL,2116.00
16MM30CM AX HELICAL DETCH COIL,1672.00
16MM40CM AX HELICAL DETCH COIL,1672.00
16MM40CM CONCRT PGLA HELIX EMB,1590.00
16MMX 47CM PRESIDIO 18,5520.00
16MMX27.9CM SPHERICAL 18,2280.00
16MMX4CMX120CM ATLAS BALL CATH,650.00
17 HYDROXYPREGNENOLONE,33.00
17 HYDROXYPROGESTERONE,33.00
"17 KETOSTEROID,URINE",23.00
17 K-S URINE CREATININE,8.00
175CM INDIGO WIRE SEPARATOR 5,1590.00
177 LU-DOTA FOR NEUROENDO TX,1505.00
177 LU-DOTA FOR NEUROENDO TX,1505.00
"17-HYDROXYCORTICOSTEROID,URINE",48.00
17MMX 50CM PRESIDIO 18,5606.00
17MMX30CM MICRUSPHERE 18 C,3316.00
17MMX30CM SPHERICAL 18,2300.00
18 HYDROXYCORTICOSTERONE,164.00
18F JEJUNAL FEEDING TUBE,258.00
18F PERCUTANEOUS INTRODUCER,378.00
18MM40CM AX HELICAL DETCH COIL,1672.00
18MM40CM CONCRT PGLA HELIX EMB,1590.00
18MMX 30CM MICRUSPHERE 18  C,3316.00
18MMX 46CM PRESIDIO 18 C,5492.00
18MMX30CM SPHERICAL 18,2300.00
18MMX60MM WALLSTENT ENDOPRSTHE,2585.00
190CM 2.8 FLOPPY COMMAND WIRE,472.00
190CM 3.5 STIFF COMMAND WIRE,450.00
19GX60CM QUICK CORE BIOPSY NDL,104.00
19MMX 50CM PRESIDIO 18,5606.00
1ST AEROBIC ID,76.00
1ST ANAEROBIC ID,104.00
1ST MOLD IDENTIFICATION,59.00
1ST YEAST IDENTIFICATION,74.00
2 GRAM ADHESIVE TRUFILL,4590.00
2.0MM TURBO ELITE CATH,5600.00
2.0X15MM GATEWAY PTA,1990.00
2.0X20MM GATEWAY PTA,1990.00
2.0X9MM GATEWAY PTA,1990.00
2.25X15MM GATEWAY PTA,1990.00
2.25X20MM GATEWAY PTA,1990.00
2.25X9MM GATEWAY PTA,1990.00
2.3MM TURBO ELITE,5400.00
2.4MM CRYOPROBE PERC24,2315.00
2.4MM CRYOPROBE PERC24L,2315.00
2.5MMX10CM DELTAPAQS C,2471.00
2.5MMX10CM DELTAPAQS P,2471.00
2.5MMX20MM MONORAIL MAVRICKCAT,518.00
2.5MMX2CM DELTAPAQS C,2471.00
2.5MMX2CM DELTAPAQS P,2471.00
2.5MMX2CM ULTIPAQ,1790.00
2.5MMX2CM ULTIPAQ 10 C,2090.00
2.5MMX3.3CM MICRUSPHERE 10 C,2926.00
2.5MMX3.3CM SPHERICAL 10,2040.00
2.5MMX4CM DELTAPAQS C,2471.00
2.5MMX4CM DELTAPAQS P,2471.00
2.5MMX4CM ULIPAQ,1810.00
2.5MMX4CM ULTIPAQ 10 C,2128.00
2.5MMX6CM DELTAPAQS C,2471.00
2.5MMX6CM DELTAPAQS P,2471.00
2.5MMX6CM ULTIPAQ,1739.00
2.5MMX6CM ULTIPAQ 10 C,2166.00
2.5MMX8CM DELTAPAQS C,2471.00
2.5MMX8CM DELTAPAQS P,2471.00
2.5X 9.0 WINGSPAN STENT,11990.00
2.5X15 WINGSPAN STENT,11990.00
2.5X20 STERLING BALLOON,791.00
2.5X20 WINGSPAN STENT,11990.00
2.5X20MM GATEWAY PTA,1990.00
2.5X40 STERLING BALLOON,791.00
2.5X9MM GATEWAY PTA,1990.00
2.75X15MM GATEWAY PTA,1990.00
2.75X20MM GATEWAY PTA,1990.00
2.75X9MM GATEWAY PTA,1990.00
2.8F 150CM MICROCATHETER 900PS,640.00
20 GA X 15CM SUPERCORE OPT. CO,800.00
20CM 10MM AZUR COIL 035,2550.00
20CM 12MM AZUR COIL 035,2550.00
20CM 15MM AZUR COIL 035,2550.00
20CM 20MM AZUR COIL 035,2550.00
20CM 6MM AZUR COIL 035,2550.00
20CM 8MM AZUR COIL 035,2550.00
20CM STR DUAL LUMEN CATH LIT,154.00
20G CVS PIK PACK INCLUDES MACH,1130.00
20G CVS PIK PACK INCLUDES MACH,1130.00
20MM 20CM AZUR COIL,1600.00
20MMX 50CM PRESIDIO 18,5606.00
20X50 HELEX EMBOLIZATION COIL,1990.00
21MM WATCHMANTM LAA CLOS DEV,23800.00
22MM ENTERPRISE,9000.00
23G CVS PIK PACK INCLUDES MACH,1130.00
23G CVS PIK PACK INCLUDES MACH,1130.00
24CM HEMOSTREAM DIALYSIS CATHS,430.00
24CM STR DUAL LUMEN CATH LIT,154.00
24F 4.0CM STOMA LOW PROF G-TUB,197.00
24MM WATCHMANTM LAA CLOS DEV,23800.00
25+ CVS PIK PACK INCLUDES MACH,1130.00
25+ CVS PIK PACK INCLUDES MACH,1130.00
25G SOFT TIP-NEW .8MM,36.00
25G SOFT TIP-NEW .8MM,36.00
26F PEEL AWAY INTRODUCER SET,84.00
27MM WATCHMANTM LAA CLOS DEV,23800.00
28MM ENTERPRISE,9000.00
2D ECHO W/WO M MODE,1237.00
2D STR ECHO W/WO M MODE W/CON,2515.00
2D STRESS ECHO W/WO M MODE,2065.00
2MM ALLIGATOR,5000.00
2MM ELITE MICROSNARE,3790.00
2MMX 1CM ULTIPAQ,1780.00
2MMX 2CM ULTIPAQ,1790.00
2MMX 3CM ULTIPAQ,1800.00
2MMX 4CM HELICAL 18,910.00
2MMX10CM DELTAPAQS C,2471.00
2MMX10CM DELTAPAQS P,2471.00
2MMX1CM ULTIPAQ 10 C,2072.00
2MMX2.5CM CASHMERE C,3126.00
2MMX2.5CM MICRUSPHERE 10 C,3956.00
2MMX2.5CM SPHERICAL 10,2030.00
2MMX2CM DELTAPAQS C,2471.00
2MMX2CM DELTAPAQS P,2471.00
2MMX2CM ULTIPAQ 10 C,2090.00
2MMX3CM DELTAPAQS C,2471.00
2MMX3CM DELTAPAQS P,2471.00
2MMX3CM ULTIPAQ 10 C,2110.00
2MMX4CM DELTAPAQS C,2471.00
2MMX4CM DELTAPAQS P,2471.00
2MMX4CM HELIPAQ C,2024.00
2MMX4CM ULTIPAQ,1810.00
2MMX4CM ULTIPAQ 10 C,2128.00
2MMX6CM DELTAPAQS C,2471.00
2MMX6CM DELTAPAQS P,2471.00
2MMX6CM ULTIPAQ,1830.00
2MMX6CM ULTIPAQ 10 C,2166.00
2MMX8CM DELTAPAQS C,2471.00
2MMX8CM DELTAPAQS P,2471.00
2MMX8CM ULTIPAQ,1850.00
2MMX8CM ULTIPAQ 10 C,2204.00
2ND AEROBIC ID,76.00
2ND ANAEROBIC ID,104.00
2ND CLOS SURG WND EXT/COMP SEP,2678.00
2ND CLOSE SURG WOUND EXT/COMP,1252.00
2ND MOLD IDENTIFICATION,59.00
2ND YEAST IDENTIFICATION,74.00
3.0MMX5.4CMMICRUSPHERE 10 C,2974.00
3.0X15 NEUROFORM3 STENT,9720.00
3.0X15.0 WINGSPAN STENT,11990.00
3.0X15MM GATEWAY PTA,1990.00
3.0X20 NEUROFORM3 STENT,9900.00
3.0X20 STERLING,791.00
3.0X20MM GATEWAY PTA,1990.00
3.0X30 NEUROFORM3 STENT,10100.00
3.0X30 STERLING,791.00
3.0X40 STERLING,791.00
3.0X60 STERLING,791.00
3.0X9.0 WINGSPAN STENT,11990.00
3.0X9MM GATEWAY PTA,1990.00
3.25X15MM GATEWAY PTA,1990.00
3.25X20MM GATEWAY PTA,1990.00
3.25X9MM GATEWAY PTA,1990.00
3.5CMX6.35 PRECUT/BENT,516.00
3.5MMX6.6CM MICRUSPHERE 10 C,2974.00
3.5MMX6.6CM SPHERICAL 10,2060.00
3.5X10 NEUROFORM3 STENT,9620.00
3.5X15 NEUROFORM3 STENT,9720.00
3.5X15.0 WINGSPAN STENT,11990.00
3.5X15MM GATEWAY PTA,1990.00
3.5X20 NEUROFORM3 STENT,10100.00
3.5X20 STERLING BALOON,791.00
3.5X20.0 WINGSPAN STENT,11990.00
3.5X20MM GATEWAY PTA,1990.00
3.5X40 STERLING BALLOON,791.00
3.5X9.0 WINGSPAN STENT,11990.00
3.5X9MM GATEWAY PTA,1990.00
3.75X15MM GATEWAY PTA,1990.00
3.75X20MM GATEWAY PTA,1990.00
3.75X20X135 REENTRY CATH,4590.00
3.75X9MM GATEWAY PTA,1990.00
300CM 2.8 FLOPPY COMMAND WIRE,450.00
300CM 3.5 STIFF COMMAND WIRE,450.00
30CM 12MM AZUR COIL 035,2720.00
30CM 15MM AZUR COIL 035,2720.00
30CM 20MM AZUR COIL 035,2720.00
30MM WATCHMANTM LAA CLOS DEV,23800.00
33MM WATCHMANTM LAA CLOS DEV,23800.00
3-4 NERVE CONDUCTION STUDIES,707.00
37MM ENTERPRISE,9000.00
3D BDL HEX STSCW 1/4-32TI,170.00
3D RENDER W/POST PROCESS,733.00
3MM 320CM SPIDER FX EMB,2500.00
3MM 5CM AZUR COIL,1600.00
3MM ALLIGATOR,5000.00
3MMX10CM DELTAPAQS C,2471.00
3MMX10CM DELTAPAQS P,2471.00
3MMX2CM ULTIPAQ,1790.00
3MMX2CM ULTIPAQ 10 C,2090.00
3MMX3CM CASHMERE C,3107.00
3MMX4CM CASHMERE C,3154.00
3MMX4CM DELTAPAQS C,2471.00
3MMX4CM DELTAPAQS P,2471.00
3MMX4CM ULTIPAQ,1810.00
3MMX4CM ULTIPAQ 10 C,2128.00
3MMX5.5CM SPHERICAL 10,2050.00
3MMX6CM CASHMERE C,3183.00
3MMX6CM DELTAPAQS C,2471.00
3MMX6CM DELTAPAQS P,2471.00
3MMX6CM ULTIPAQ,1830.00
3MMX6CM ULTIPAQ 10 C,4332.00
3MMX8CM DELTAPAQS C,2471.00
3MMX8CM DELTAPAQS P,2471.00
3MMX8CM HELICAL 18,920.00
3MMX8CM HELIPAQ C,2100.00
3MMX8CM ULTIPAQ,1850.00
3MMX8CM ULTIPAQ 10 C,2204.00
3RD AEROBIC ID,76.00
3RD ANAEROBIC ID,104.00
3X80 STERLING BALLOON,791.00
4 FACTOR PROTHROMBIN COMPLEX,3.00
4 MAX DDC,3380.00
4 SCREW AXIAL,979.00
4.0CMX6.35 PRECUT/BENT,516.00
4.0MM X 25MM LOCKING SCREW,464.00
4.0MM X 30MM LOCKING SCREW,464.00
4.0MM X 35MM LOCKING SCREW,464.00
4.0MM X 40MM LOCKING SCREW,464.00
4.0MM X 45MM LOCKING SCREW,464.00
4.0MMX11.5CM PRESIDIO 10 C,4490.00
4.0MMX7.5CM MICRUSPHERE 10 C,2992.00
4.0X15 NEUROFORM3 STENT,9720.00
4.0X15 WINGSPAN STENT,11990.00
4.0X15/12 AVIATOR GENESIS,2567.00
4.0X15MM GATEWAY PTA,1990.00
4.0X17/15 AVIATOR GENESIS,2567.00
4.0X20 NEUROFORM3 STENT,9900.00
4.0X20 STERLING,791.00
4.0X20 WINGSPAN STENT,11990.00
4.0X20MM GATEWAY PTA,1990.00
4.0X30 NEUROFORM3 STENT,10100.00
4.0X30 STERLING,791.00
4.0X40 STERLING,791.00
4.0X9.0 WINGSPAN STENT,11990.00
4.0X9MM GATEWAY PTA,1990.00
4.5X10 NEUROFORM3 STENT,9620.00
4.5X15 NEUROFORM3 STENT,9720.00
4.5X15.0 WINGSPAN STENT,11990.00
4.5X20 NEUROFORM3 STENT,9900.00
4.5X20.0 WINGSPAN STENT,11990.00
4.5X9.0 WINGSPAN STENT,11990.00
40UM 2ML MICROSPHERE,4800.00
4F 135CM SPIROFLEX THROMBECT,3440.00
4F 150CM PV MULTI GLIDECATH,97.00
4F 22G .018  NEFF PERCUT ACCES,168.00
4F 6CM PINNACLE SHEATH,46.00
4F 80CM SOFT VU SOS OMNI SEL 2,120.00
4F NITINOL MICROPUNCTURE SET,68.00
4F SINGLE X PP IR KIT,245.00
4F SPIRAL FLEX CATHETER,2990.00
4F035 70CM ANGIOGRAPHIC CATH,192.00
4FR 100CM SIM1,28.00
4FR VERT 100CM,28.00
4FRX135CM XMI THROMBECT CATH,2650.00
4FX10CM MARKER PIN INTROD SHEA,49.00
4MM 10CM AZUR DETACH 18 COIL,1600.00
4MM 180CM MICRO SNARE,3790.00
4MM 320CM SPIDER FX EMB,2500.00
4MM ALLIGATOR,5000.00
4MM VASCULAR PLUG,1600.00
4MMX10CM DELTAPAQS C,2471.00
4MMX10CM DELTAPAQS P,2471.00
4MMX10CM HELICAL 18,940.00
4MMX10CM HELIPAQ C,2138.00
4MMX10MM HYPERGLIDE,1940.00
4MMX15MM HYPERGLIDE,1940.00
4MMX20MM HYPERGLIDE,1940.00
4MMX30MM HYPERGLIDE,1806.00
4MMX4.5CM CASHMERE C,3135.00
4MMX4CM ULTIPAQ,1810.00
4MMX4CM ULTIPAQ 10 C,2128.00
4MMX6CM CASHMERE C,3154.00
4MMX6CM DELTAPAQS C,2471.00
4MMX6CM DELTAPAQS P,2471.00
4MMX6CM ULIPAQ,1830.00
4MMX6CM ULTIPAQ 10 C,2166.00
4MMX7.5CM SPHERICAL 10,2070.00
4MMX7MM HYPERFORM,2400.00
4MMX8CM CASHMERE C,3183.00
4MMX8CM DELTAPAQS C,2471.00
4MMX8CM DELTAPAQS P,2471.00
4MMX8CM ULIPAQ,1850.00
4MMX8CM ULTIPAQ 10 C,2204.00
4X100 STERLING BALLOON,791.00
4X100MM 130CM LUTXDRUGCOAT CTH,3300.00
4X150 STERLING BALLOON,791.00
4X40MM 130CM LUTXDRUGCOAT CATH,3300.00
4X80 STERLING BALLOON,791.00
4X80MM 130CM LUTXDRUGCOAT CATH,3300.00
5 FR VERT 100CM,28.00
5.0 MM SOLID DRILL BIT - LONG,464.00
5.0MM X 35MM LOCKING SCREW,464.00
5.0MM X 40MM LOCKING SCREW,464.00
5.0MM X 45MM LOCKING SCREW,464.00
5.0MM X 50MM LOCKING SCREW,464.00
5.0MM X 55MM LOCKING SCREW,464.00
5.0MM X 60MM LOCKING SCREW,464.00
5.0MM X 65MM LOCKING SCREW,464.00
5.0MMX9.7CM MICRUSPHERE 10 C,3022.00
5.0X15/12 AVIATOR GENESIS,2600.00
5.0X17/15 AVIATOR GENESIS,2567.00
5.0X20 STERLING,791.00
5.0X20/18 AVIATOR GENESIS,2567.00
5.0X25/24 AVIATOR GENESIS,2567.00
5.0X40 STERLING,791.00
5.0X60 STERLING,791.00
540,6.09
5-6 NERVE CONDUCTION STUDIES,850.00
58110ENDO BX+COLP,395.00
5CM 4MM  AZUR COIL 035,2040.00
5F 110CM PIGTAIL CATHETER,48.00
5F 4MMX1000MM LUTONX DRUG CATH,3300.00
5F 4MMX40MM LUTONIX DRUG CATH,3300.00
5F 4MMX80MM LUTONIX DRUG CATH,3300.00
5F 55CM .038 CHECK FLO INTROST,119.00
5F 5MMX1000MM LUTONX DRUG CATH,3300.00
5F 5MMX40MM LUTONIX DRUG CATH,3300.00
5F 5MMX80MM LUTONIX DRUG CATH,3300.00
5F 65 CM COBRA 2 GLIDE CATH,99.00
5F 65CM 038 SIM SIDE BRAIDED,24.00
5F 6MMX1000MM LUTONX DRUG CATH,3300.00
5F 6MMX40MM LUTONIX DRUG CATH,3300.00
5F 6MMX80MM LUTONIX DRUG CATH,3300.00
5F 80CM B2 5.8CM TIP 2 SIDE,18.00
5F 90CM SHUTTLE SHEATH,196.00
5F DUAL X PP IR KIT,271.00
5FR 100CM ENVOY H1,590.00
5FR 100CM SIM2,28.00
5FR 100CM SIM3,28.00
5FR 90CM ENVOY MPD,590.00
5FR MIKAELSSON,25.00
5FR NEURON 120BER,250.00
5FR NEURON 120H1,250.00
5FR NEURON 120SIM,250.00
5FR SNGL LUMEN TRAY CATH PWRLN,756.00
5FR X 125CM VERTEBRAL CATH,26.00
5FR X 65CM CATH BRAIDED 035,24.00
"5FRKA2, 0.038 40CM CATH",26.00
5FX135CMX30CM INFUSION CATH,280.00
5FX135CMX40CM INFUSION CATH,280.00
5FX135CMX50CM INFUSION CATH,280.00
5-HYDROXYINDOLEACETIC ACID,18.00
5MM ALLIGATOR,5000.00
5MMX 12CM HELIPAQ C,2186.00
5MMX10CM DELTAPAQS C,2471.00
5MMX10CM DELTAPAQS P,2471.00
5MMX10CM SPHERICAL 10,2090.00
5MMX15CM DELTAPAQS C,2471.00
5MMX15CM DELTAPAQS P,2471.00
5MMX15CM HELICAL 18,990.00
5MMX17CM PRESIDIO 10 C,4532.00
5MMX20CM HELIPAQ C,2328.00
5MMX7CM CASHMERE C,3183.00
5MMX9.7CM CASHMERE,2128.00
5'NUCLEOTIDASE,16.00
5X100 STERLING BALLOON,791.00
5X100MM 130CM LUTXDRUGCOAT CTH,3300.00
5X150 STERLING BALLOON,791.00
5X150X80 BALLOON EVERCROSS,260.00
5X16X120 ICAST,4600.00
5X200 STERLING BALLOON,791.00
5X22X120 ICAST,4700.00
5X38X120 ICAST,4900.00
5X40MM 130CM LUTXDRUGCOAT CATH,3300.00
5X80 STERLING BALLOON,791.00
5X80MM 130CM LUTXDRUGCOAT CATH,3300.00
6 HOLE CURVED PLATE W/ BAR MID,388.00
6 HOLE PLATE .6MM,297.00
"6 MM X 59 MM STENT, 80CM CATH,",4893.00
6.0CMX6.35 PRECUT/BENT,526.00
6.0FR132 INDIGO RPRF ASP CATH5,2580.00
6.0X15/12 AVIATOR GENESIS,2567.00
6.0X20/18 AVIATOR GENESIS,2567.00
6.0X25/24 AVIATOR GENESIS,2601.00
6.0X30 STERLING,791.00
6.0X40 STERLING,791.00
6.0X60 STERLING,791.00
600,13.19
618,8.68
69990 MICROSURGERY ADD-ON,241.00
6F 10CM YEAH CENTESIS NEEDLE,41.00
6F 20CM DRAINAGE CATHETER,182.00
6F 50CM AVX THROMBECTOMY CATH,1250.00
6F 80CM 10CM TRELLIS,4190.00
6F 90CM SHUTTLE SHEATH,196.00
6F PLASTIC DUAL POWER PORT,594.00
6FR 070 NEURON CATH 105CM MP,990.00
6FR 070 NEURON CATH 95CM MP,990.00
6FR 100CM ENVOY MPD,514.00
6FR 100CM ENVOY STR,514.00
6FR 100CM ENVOY STR XB,568.00
6FR 105CM 12CM NEURON,990.00
6FR 105CM 6CM NEURON,2476.00
6FR 115CM 12CM NEURON,990.00
6FR 115CM 6CM NEURON,990.00
6FR 90CM ENVOY MPD,514.00
6FR 90CM ENVOY MPD XB,568.00
6FR 90CM ENVOY STR,514.00
6FR 90CM ENVOY STR XB,568.00
6FR 90CM SHEATH,198.00
6MM 10CM AZUR DETACH 18 COIL,1600.00
6MM 320CM SPIDER FX EMB,2500.00
6MM VASCULAR PLUG,1600.00
6MMX 20CM HELIPAQ C,2328.00
6MMX10CM HELIPAQ C,2138.00
6MMX12CM DELTAPAQS C,2471.00
6MMX12CM DELTAPAQS P,2471.00
6MMX15CM CASHMERE,2148.00
6MMX16CM DELTAPAQS C,2471.00
6MMX16CM DELTAPAQS P,2471.00
6MMX20CM HELICAL 18,1030.00
6MMX26CM PRSIDIO 10 C,4456.00
6MMX9CM CASHMERE C,3221.00
6X100 STERLING BALLOON,791.00
6X100MM 130CM LUTXDRUGCOAT CTH,3300.00
6X150 STERLING BALLOON,791.00
6X16X120 ICAST,4600.00
6X20 PROTEGE STENT STR,2900.00
6X200 STERLING BALLOON,791.00
6X22X120 ICAST,4700.00
6X30 PROTEGE STENT STR,3800.00
6X38X120 ICAST,4900.00
6X38X80 ICAST COVERED STENT,4893.00
6X40 PROTEGE STENT STR,3800.00
6X40MM 130CM LUTXDRUGCOAT CATH,3300.00
6X80 STERLING BALLOON,791.00
6X80MM 130CM LUTXDRUGCOAT CATH,3300.00
7.0X15/12 AVIATOR GENESIS,2567.00
7.0X17/15 AVIATOR GENESIS,2567.00
7.0X20/18 AVIATOR GENESIS,2567.00
7.0X30 STERLING,791.00
7.0X40 STERLING,791.00
7-8 NERVE CONDUCTION STUDIES,1058.00
7F 20CM DRAINAGE CATHETER,182.00
7F 7X38X120 ICAST COVERED STNT,4893.00
7F 7X38X80 ICAST COVERED STENT,4893.00
7F 7X59X80 ICAST COVERED STENT,4893.00
7F 7X5X120 VIABAHN,6190.00
7MM 10MM AMPLATZER PLUG,1400.00
7MM 180CM MICRO SNARE,3790.00
7MM 29MMX80CM GENESIS STENT,2340.00
7MM 320CM SPIDER FX EMB,2500.00
7MM 39MMX135CM GENESIS STENT,2427.00
7MMX 30CM HELIPAQ C,2518.00
7MMX11CM CASHMERE C,3240.00
7MMX14.3 MICRUSPHERE 18 C,3078.00
7MMX14.3CM SPHERICAL 18,2130.00
7MMX16CM DELTAPAQS C,2471.00
7MMX16CM DELTAPAQS P,2471.00
7MMX17CM CASHMERE,2204.00
7MMX20CM DELTAPAQS C,2471.00
7MMX20CM DELTAPAQS P,2471.00
7MMX30CM HELICAL 18,1100.00
7MMX30CM PRESIDIO 10 C,4618.00
7MMX7MM HYPERFORM,2400.00
7X20 PROTEGE STENT STR,2900.00
7X30 PROTEGE STENT STR,3800.00
7X40 PROTEGE STENT STR,3800.00
7X59X120 ICAST COVERED STENT,5273.00
8 HOLE BROAD PLATE,2142.00
8 HOLE PLATE .8MM T SHAPED PLA,462.00
8.0X30 STERLING,791.00
8.0X40 STERLING,791.00
8.3FR LOCK PERICARDIOCENTESIS,364.00
