CDM DESCRIPTION,PRIMARY PRICE
4MM X 14MM NESTOR COIL,$449.00 
5 HIAA URINE,$123.00 
5 NUCLEOTIDASE,$103.00 
5-700 EMBOSPHERE,"$1,325.00 "
5FR DECA CTH CSL 65CM,"$1,816.00 "
"5H,LOCKING THIRD TUBULAR PLT","$1,163.00 "
6 HOLE LOCKING STRAIGHT PLATE,"$2,356.00 "
6F .070 AL.75 SH 100CM,$52.00 
"6H,LOCKING THIRD TUBULAR PLT","$1,193.00 "
6MM NESTOR COIL,$449.00 
6MM X 15CM ARTEGRAFT,"$4,160.00 "
6X17MM SPHENOID SINUS DIL SYS,"$1,854.00 "
7 HOLE LOCKING STRAIGHT PLATE,"$2,601.00 "
"7H,LCK DELTOID AVULSION PLT","$4,457.00 "
"7H,LOCKING THIRD TUBULAR PLT","$1,265.00 "
7MM WASHER,$153.00 
8 HOLE BRIDGE PLATE,"$5,008.00 "
811 PREACTIVAT TRAUMA RESPONSE,"$8,118.00 "
8H VARIAX ELBOW MEDICAL PLATE,"$5,562.00 "
"8H,LOCKING THIRD TUBULAR PLT","$1,316.00 "
8MM ROD TO ROD GREEN CLP,"$2,392.00 "
911 PREACTIVAT TRAUMA RESPONSE,"$8,118.00 "
A & D OINTMENT 60 GM,$21.00 
A 1 ANTITRYPSIN PHENOTYPING,$263.00 
A2 HEMOGLOBIN ELECTROPHOROSIS,$137.00 
AA 4.25%/D10W 2000 ML + LYTES,$515.00 
AA 5%/D20W 1000 ML + LYTES,$502.00 
AAA,"$1,042.00 "
AAA SCREENING,$862.00 
AB TO EARLY AG-DIFFUSE (EBVA),$146.00 
AB TO NUCLEAR AG (EBNA),$139.00 
ABATACEPT INJ 10 MG,$352.00 
ABD FLAT + ERECT AND/OR DECUB,$451.00 
ABD PARACENTESIS W IMG GUID,"$2,447.00 "
ABD PARACENTESIS WO IMG GUID,"$1,315.00 "
ABD. SERIES COMPLETE/V CHEST,$678.00 
ABDOMEN 1 VIEW LATERAL,$446.00 
ABDOMEN/AP W/OBLIQUES,$456.00 
ABDOMEN/KUB (1 AP VIEW) (EX),$446.00 
ABDOMINAL AORTOGRAM W/RUN OFFS,"$7,042.00 "
ABDOMINAL AORTOGRAM W/SER,"$5,987.00 "
ABDOMINAL CATH FIBRINOLYSIS,"$6,034.00 "
ABDUCT RESTRAINER CANVAS&WEB,$519.00 
ABG CAPILLARY,$233.00 
ABG POC,$233.00 
ABI SINGLE LEVEL,$497.00 
ABI/LOW EXT ART LTD,$497.00 
ABLATION PROBE CERTUS 140 2.45,"$9,634.00 "
ABO GROUP,$72.00 
ABSC/HEMA/PUNCTURE ASPIR-(EX),$639.00 
ABSC/HEMA/PUNCTURE ASPIR-(EX),$639.00 
ABSCESS/CYST DRAIN CATH CHANGE,"$1,245.00 "
ABSCESSOGRAM,$550.00 
AC JOINTS/BILATERAL,$365.00 
ACC GUID FINISHING WIR 6005,$590.00 
ACC GUID IRON MAN WIR,$737.00 
ACC GUID VENO BALL 6747,$211.00 
ACC WHISPER WRE 4639,$590.00 
ACCENT SR SINGLE CHAMBER,"$17,703.00 "
ACCOLADE C DISTAL SPCR SM 12MM,$245.00 
ACETABULAR SHELL,"$7,891.00 "
ACETAMIN TAB 325,$1.00 
ACETAMINOPHEN,$162.00 
ACETAMINOPHEN LIQ 160MG/5ML UD,$4.00 
ACETAMINOPHEN LIQ 650 MG 20 ML,$5.00 
ACETAMINOPHEN SUPP 120 MG,$21.00 
ACETAMINOPHEN SUPP 325 MG,$21.00 
ACETAMINOPHEN SUPP 650 MG,$21.00 
ACETAMINOPHEN TAB 500 MG U/D,$1.00 
ACETAMINOPHEN W/CODEINE TAB #3,$10.00 
ACETAMINOPHEN/CAFFEINE/BUTALB,$10.00 
ACETAZOLAMIDE INJ 500 MG,$153.00 
ACETAZOLAMIDE TAB 250 MG,$10.00 
ACETONE BLD QUALITATIVE,$30.00 
ACETONE QUANT,$129.00 
ACETONE URINE QUALITATIVE,$91.00 
ACETYLCHOL RECAP BIND AB W/RFX,$244.00 
ACETYLCHOLINE INTRAOC SOL 20MG,$413.00 
ACETYLCYSTEINE 20% - 30 ML,$62.00 
ACETYLCYSTEINE IV 100 MG,$17.00 
ACETYLCYSTEINE NEB 20% - 4 ML,$119.00 
ACHILLES SPDBRIDGE BIOCOMPOSIT,"$9,066.00 "
ACHIVE BX NDL 18GX11CM,$589.00 
ACHR BLOCKING ABS,$244.00 
ACHR MODULATING ANTIBODIES,$244.00 
ACID LABILE SUBUNIT BY RIA,$270.00 
"ACID PHOS, TOTAL",$114.00 
ACID PHOSPHATSE MUSCLE BX,$530.00 
ACID REFLUX TEST MUCOSAL ELECT,"$3,639.00 "
ACL PIN PK,"$1,423.00 "
ACL SHEATHED SCREW,$748.00 
ACROMIO/CLAVICULAR CANVAS&WE,$619.00 
Actin (smooth muscle) antibody,$230.00 
ACUTE TRIPLE LUMEN 20CM,$507.00 
ACYCARNITINES QUANT NEONATE,$344.00 
ACYCLOVIR 200 MG CAPSULE,$10.00 
ACYCLOVIR 400 MG TABLET,$10.00 
ACYCLOVIR INJ 500 MG,$214.00 
ACYCLOVIR SUSP 200MG/5ML U/D,$10.00 
ACYLCARNITINE QUANTITATIVE,$344.00 
ADAMTS13,$390.00 
ADD VESSEL AFTER BASIC/ANGIO,"$3,408.00 "
ADENOSIN DEAMINASE,$342.00 
ADENOSINE INJ 6MG/2ML,$29.00 
ADENOVIRUS,$276.00 
ADENOVIRUS DIRECT FA,$148.00 
ADH SKNCLS BSA GLUT BIOGL,"$3,788.00 "
ADH SKNCLS PRPN 2 OCTYL,$120.00 
"ADH,ANTIDIURETIC HORMONE",$249.00 
ADMIN INFLUENZA VACCINE,$72.00 
ADMIN PNEUMOCOCCAL VACCINE,$54.00 
ADO-TRASTUZUMAB 100 INJ 1 MG,$141.00 
ADO-TRASTUZUMAB 160 INJ 1 MG,$141.00 
ADPR FEM SGM 5D OFST KN BOLT,"$8,417.00 "
ADPR FEM TRTHLN 6MM OFST KN TL,"$5,545.00 "
ADPR HD TI STD TPR CMPRH,$525.00 
ADPR HD TIV VRSY,$578.00 
ADPR LD 12CM Y BP ADPR TO CNCT,$372.00 
ADPR LD PA 10 LF STRL DISP,$229.00 
ADPR UNIVERSAL HUMERAL NECK,$211.00 
ADRENAL AB SCREEN,$240.00 
ADRENAL BILATERAL,"$4,786.00 "
ADRENAL UNILATERAL,"$4,786.00 "
ADRENAL/BI/VENOGRAM,"$5,798.00 "
ADRENAL/UNI/VENOGRAM,"$5,521.00 "
ADRENOCORTICOTROPHIC HORMONE,$309.00 
ADSORPTION,$125.00 
ADULT VENT INITIAL DAY,"$1,360.00 "
AERO/VAPOR INHAL FOR SPUT INDU,$140.00 
AEROBIC CULTURE,$149.00 
AEROBIC ID,$105.00 
AEROBIC IDENTIFICATION,$85.00 
AEROBIC ISOLATE ID,$105.00 
AEROSOL TREATMENT,$140.00 
AFP AMN FLD,$55.00 
AFP L3 FRAC ISOFORM& TOT AFP,$510.00 
AGGLUTIN FEB EA ANG,$132.00 
AGILIS NXT 8.5F STEER SM CRL,"$4,597.00 "
AGMT BLCK NXGN DIST/POST,"$5,781.00 "
"AHF,HUMAN/VWF,HUMAN 1 UNIT-J",$5.00 
AIMING GUIDE,"$1,734.00 "
AIRWAY RESIST BY OSCILLOMETRY,$365.00 
ALANINE Qn PLASMA,$156.00 
ALBUMIN,$47.00 
ALBUMIN 25% INJ - 25GM/100ML,$966.00 
ALBUMIN 5% INJ 12.5GM/250ML,$482.00 
ALBUMIN 5% INJ 25GM/500ML,$966.00 
ALBUMIN FLUID,$47.00 
ALBUMIN HUMAN 12.5GM/50ML INJ,$482.00 
ALBUMIN HUMAN 12.5GM/50ML INJ,$482.00 
ALBUMIN SERUM,$47.00 
ALBUTEROL HFA INHALER 8GM,$82.00 
ALBUTEROL INH SOLN 2.5MG/0.5ML,$43.00 
ALBUTEROL INH SOLN 2.5MG/3ML,$43.00 
ALBUTEROL LIQ 2MG/5ML U/D,$10.00 
ALBUTEROL SULFATE 2 MG TAB U/D,$10.00 
ALCOHOL,$162.00 
ALCOHOL (ETOH) BREATH,$176.00 
ALCOHOL MECONIUM METABOLITIES,$140.00 
ALCOHOL URINE,$162.00 
ALDOLASE,$156.00 
ALDOSTERONE 24 HR URINE,$462.00 
ALDOSTERONE SERUM,$462.00 
ALDOSTERONE URINE,$462.00 
ALENDRONATE TAB 10 MG,$10.00 
ALKALINE PHOSPHATASE,$56.00 
ALKALINE PHOSPHATASE ISOENZYME,$132.00 
ALLERGEN IGE EA,$47.00 
ALLERGEN IGE EA,$47.00 
"ALLERGEN IGE,EACH ALLERGEN",$47.00 
ALLERGEN IGG QUANT,$65.00 
ALLERGEN SPECIFIC IGE,$47.00 
"ALLERGEN, IGG, EA",$47.00 
ALLERGY SCREEN TREES #4,$56.00 
ALLODERM 16 X 20,"$20,606.00 "
ALLODERM 8CM X 12CM,"$11,865.00 "
ALLODERM GRAFT 4CMX12CM THICK,"$8,202.00 "
ALLODERM GRAFT 6CMX12CM THICK,"$11,431.00 "
Allogenix Putty 2cc,"$1,600.00 "
Allogenix Putty 5cc,"$3,503.00 "
ALLOPURINOL 100MG TAB U/D,$10.00 
ALLOPURINOL 300 MG UNIT DOSE,$10.00 
ALLURE CRT-P RF,"$27,326.00 "
ALPHA 1 ANTITRYPSIN TOTAL,$199.00 
ALPHA 1 FETOPROTEIN,$141.00 
ALPHA GAL IGE,$52.00 
ALPHA GALACTOSIDASE,$478.00 
ALPHA SUBUNIT LEVEL QUANT,$244.00 
ALPHA-1-ANTITRYPSIN STOOL,$199.00 
ALPHA-1-PROT INHIB 10 MG INJ,$32.00 
ALPRAZOLAM,$154.00 
ALPRAZOLAM TAB 0.25 MG U/D,$10.00 
ALPRAZOLAM TAB 0.5MG UNIT DOSE,$10.00 
ALPROSTADIL INJ 500 MCG/1 ML,$312.00 
ALTEPLASE (TPA) INJ 1 MG - J,$377.00 
ALTEPLASE (TPA) INJ 100 MG,"$37,740.00 "
ALTEPLASE (TPA) INJ 50 MG,"$19,964.00 "
ALTEPLASE (TPA-STROKE) 100 MG,"$37,740.00 "
ALTEPLASE CATHFLO 2MG VIAL,"$1,099.00 "
ALTEPLASE(TPA) INJ 1MG-JW,$377.00 
ALUMINUM,$141.00 
ALUMINUM HYDROXIDE GEL 30ML UD,$10.00 
AMANTADINE CAP 100MG UNIT DOSE,$10.00 
Ambient SuperMultiVac 50,"$1,153.00 "
AMEBIASIS SEROLOGY,$156.00 
AMEPHETAMINE,$72.00 
AMIKACIN,$169.00 
AMIKACIN (TROUGH),$169.00 
AMIKACIN INJ 500 MG/2 ML,$214.00 
AMINO ACID NEONATE,$609.00 
AMINO ACID PLASMA QUAL,$317.00 
Amino acid screen infant,$260.00 
AMINO ACID SCREEN URINE,$317.00 
AMINO ACIDS,$240.00 
AMINO ACIDS 4.25%/D10W 2000 ML,$496.00 
AMINO ACIDS 5%/D20W 1000 ML,$478.00 
AMINO ACIDS 5%/D20W 2000 ML,$603.00 
AMINO ACIDS QUANT 6 OR MORE,$609.00 
AMINOCAPROIC ACID INJ 5GM/20ML,$28.00 
AMINOCAPROIC ACID TAB 500MG-BT,$19.00 
AMINOLEVULINIC ACID,$266.00 
AMINOPHYLLINE 250MG/10ML INJ,$28.00 
AMINOPHYLLINE INJ 500MG/20ML,$28.00 
AMIODARONE,$175.00 
AMIODARONE INJ 150 MG/3 ML,$28.00 
AMIODARONE INJ 900MG/18ML,$200.00 
AMIODARONE IV BAG 150MG/100ML,$337.00 
AMIODARONE IV BAG 360MG/200ML,$447.00 
AMIODARONE TAB 200MG UNIT DOSE,$10.00 
AMITRIPTYLINE (ELAVIL),$121.00 
AMITRIPTYLINE 10 MG TAB U-D,$10.00 
AMITRIPTYLINE 25 MG TAB U-D,$10.00 
AMLODIPINE TAB 5 MG UNIT DOSE,$10.00 
AMMONIA,$125.00 
AMMONIA-AROMATIC INH 0.33 ML,$28.00 
AMNIO SURGICAL COMPONENT (EX),"$1,336.00 "
"AMNIOTIC FLUID, TISSUE CULTURE",$874.00 
AMOX/K CLAV '250' SUSP 75ML,$368.00 
AMOX/K CLAV '400' SUSP 50ML,$56.00 
AMOX/K CLAV PO SUSP 400MG/5ML,$10.00 
AMOXICILLIN CAP 250 MG,$10.00 
AMOXICILLIN CAP 500 MG,$10.00 
AMOXICILLIN PO SUSP 400MG/5ML,$10.00 
AMOXICILLIN SUS 400MG/5ML 50ML,$12.00 
AMOXICILLIN SUSP 200MG-50ML,$11.00 
AMOXICILLIN/CLAV TAB 875MG U/D,$10.00 
AMOXICILLIN/K CLAV '250' TAB,$36.00 
AMPHETAMINES DRUG SCREEN,$171.00 
AMPHETAMINES DRUG SCREEN,$97.00 
AMPHOTERICIN B INJ 50 MG  - J,$214.00 
AMPHOTERICIN B LIPOSOME 10 MG,$121.00 
AMPICILLIN 1G IV + MINIBAG,$214.00 
AMPICILLIN 2GM +MINIBAG,$214.00 
AMPICILLIN INJ 1 GRAM,$214.00 
AMPICILLIN INJ 2 GRAM,$214.00 
AMPICILLIN INJ 250 MG VIAL,$28.00 
AMPICILLIN INJ 500 MG VIAL,$214.00 
AMPICILLIN/SULB 1.5GM +MINIBAG,$214.00 
AMPICILLIN/SULB 3GM +MINIBAG,$214.00 
AMPICILLIN/SULB INJ 1.5 GM  -,$214.00 
AMPICILLIN/SULBACTAM INJ 3GM,$214.00 
AMPLIFIED PROBE AVIAN FLU,$367.00 
AMPLIFIED PROBE TECH EACH ORGA,$367.00 
AMPUTATE FINGER/THUMB SGL CLSR,"$3,475.00 "
AMYLASE,$112.00 
AMYLASE (FLUID),$112.00 
AMYLASE PANCREATIC,$112.00 
AMYLASE URINE,$112.00 
ANA,$125.00 
ANA,$125.00 
ANA TITER,$108.00 
ANAEROBIC ID WITH 3 ISOLATES,$155.00 
ANAEROBIC ISOLATE ID,$155.00 
ANAFRANIL,$175.00 
ANAL GENE BRAF,"$2,304.00 "
ANAL GENE CFTR COM VARIANTS,"$6,784.00 "
ANAL GENE F2 20210G>A VAR,$477.00 
ANAL GENE F5 LEIDEN VAR,$932.00 
ANAL GENE JAK2 V617F VARIANT,$624.00 
ANAL GENE MTHFR COMMON VAR,$570.00 
ANAL TRANS BCR/ABL1 MAJOR,$599.00 
ANAL TRANS BCR/ABL1 MINOR,$599.00 
ANALY GEN CYP2C19 COMMON VAR,$480.00 
ANALY GENE FMR1 DETECT ALLELES,$970.00 
ANALYSIS GENE REARRANG IGH AMP,"$1,924.00 "
ANCA INFLAMMATORY BOWEL DISEAS,$232.00 
ANCA PR3,$165.00 
ANCH BABSR 10MM 1.1MM MNSCL,$769.00 
ANCH BABSR 13MM 1.1MM MNSCL,$811.00 
ANCH BABSR 16MM 1.1MM MNSCL,$769.00 
ANCH BABSR 16MM 1.5MM MNSCL,$700.00 
ANCH BABSR 20MM 1.5MM MNSCL,$700.00 
ANCH BABSR 25MM 1.5MM MNSCL,$700.00 
ANCH BSUT TK FBRWR SUT SM BN,"$2,351.00 "
ANCH ORTH 25MM 9MM ACFX TIB,$590.00 
ANCH POPLOK HI-FI SUT 11MM 3.5,"$2,153.00 "
ANCH POPLOK HI-FI SUT 11MM 4.5,"$2,112.00 "
ANCH POPLOK SUT 4.5MM,"$2,205.00 "
ANCH SHLDR MULTIFIX,"$4,315.00 "
ANCH SUT 0 OS-2 MN QAN+ ETH,"$2,103.00 "
ANCH SUT 1 BKNTLS EBND ROTR,"$2,151.00 "
ANCH SUT 1.3MM C-1 MIC QANCHR,"$1,620.00 "
ANCH SUT 2 EASYANCHOR EBND,"$1,957.00 "
ANCH SUT 2.4MM 2 CP-2 G2QKAN+,"$1,984.00 "
ANCH SUT 2-0 5-5 MN QAN+ ETH,"$2,103.00 "
ANCH SUT 3MM 2 BSUT TK FWR,"$1,289.00 "
ANCH SUT BIO CORKSCREW,"$1,656.00 "
ANCH SUT CAPTURE NDL NITINOL,"$1,048.00 "
ANCH SUT CORKSCREW,$948.00 
ANCH SUT EBND MIC QANCHR INTFR,"$1,852.00 "
ANCH SUT SPARTAN 5.5MM,"$2,209.00 "
ANCH SUT SWIVELOCK,"$1,998.00 "
ANCH Y-KNT HI-FI SUT 360D 2 2,"$1,987.00 "
ANCH Y-KNT SUT 1.3MM 2 1 LD 1,"$1,717.00 "
ANCH Y-KNT SUT 1.3MM PERC PK T,"$1,373.00 "
ANCHOR BIO PUSHLOCK 3.5MM,"$1,789.00 "
ANCHOR CRVED ULTRA FAST FIX,"$1,805.00 "
ANCHOR SHLDR,"$2,894.00 "
ANCHOR SHLDR SPEED FX,"$4,525.00 "
ANCHOR VERSALOK WITH ORTHOCORD,"$2,274.00 "
ANDROSTENEDIONE,$243.00 
ANE-ALBUTEROL HFA INHALER 8.5G,$82.00 
ANESTHESIA TIME CHARGE,$843.00 
ANGIO F/U TRANSCATH TX/EMB/INF,"$1,788.00 "
ANGIO RT ATRIAL/VENTRIC,"$1,712.00 "
ANGIOPLASTY,$117.00 
ANGIOSEAL VP,"$1,237.00 "
ANGIOTENSIN 1 CONVERTING ENZ,$224.00 
ANKLE ARTHROGRAM EX,$627.00 
ANKLE CONTROL ORTHOSI PREFAB,$464.00 
ANKLE-LT / 2 VIEW MINIMUM,$428.00 
ANKLE-LT/1 VIEW,$431.00 
ANKLE-LT/3 VIEW MINIMUM,$530.00 
ANKLE-RT /2 VIEW MINIMUM,$428.00 
ANKLE-RT/1 VIEW,$431.00 
ANKLE-RT/3 VIEW MINIMUM,$530.00 
ANLY GENE KRAS VARIANTS 12&13,"$1,865.00 "
ANLY GENE REARRAN TRB AMP MEHT,"$1,400.00 "
ANLY GENE REARRANG TRG,$818.00 
ANLYS PAIN PUMP W REPROG/REFL,"$1,131.00 "
ANLYS PNPMP W REPRG/RFL W/PHYS,$755.00 
ANOSCOPY,"$1,134.00 "
ANOSCOPY W/ REMOVAL FB,"$2,893.00 "
ANSENIC URINE,$135.00 
"ANTEROLAT DISTAL TIBIA PLT,4H","$9,027.00 "
"ANTEROLAT DISTAL TIBIA PLT,6H","$9,119.00 "
ANTI CBIR1 ELISA,$183.00 
ANTI DNA BY CRITHIDIA,$232.00 
ANTI FACTOR XA ASSAY LMWH,$271.00 
ANTI GLIADIN  QUANTITATIVE,$144.00 
ANTI MITOCHONDRIAL AIB,$232.00 
ANTI MULLERIAN HORMONE,$141.00 
ANTI MYOCARDIAL AB,$256.00 
ANTI OMPC ELISA IGA,$183.00 
ANTI SCLEORODERMA SCL 70,$245.00 
ANTI SMOOTH MUSCLE AB,$232.00 
ANTI THYROID ANTIBODIES,$220.00 
Anti-68kd,$243.00 
ANTIBODY ID LEUKOCYTE AB,$165.00 
ANTIBODY IDENTIFICATION,$252.00 
ANTIBODY IMMUNOASSAY,$183.00 
ANTIBODY SCREEN,$99.00 
ANTIBODY TITER,$185.00 
ANTIDNASE B,$118.00 
Antiepileptics not specified,$312.00 
"ANTIGEN SCREEN, PLATIENT SERUM",$236.00 
ANTIGEN SCREENING 1,$136.00 
ANTIHISTONE ANTIBODIES ENA,$245.00 
ANTIMITOCHONDRIAL AB TITER,$256.00 
ANTIMYELOPEROX (MPO) ABS,$183.00 
ANTIPHOSPHORUS LIPID ANTIBODY,$478.00 
Antiproteinase3 (PR-3) Abs,$183.00 
ANTITHROMBIN III,$416.00 
ANTITHROMBIN III INJ 1 UNIT,$33.00 
ANTIVEN CROTALIDAE INJ 1 GRAM,"$12,130.00 "
ANUSOL HC SUPPOSITORY,$21.00 
ANUSOL OINTMENT 30 GM,$45.00 
AORTIC INTUNITY ELITE VLV SZ19,"$31,110.00 "
Aortography,"$1,830.00 "
APC RESISTANCE,$177.00 
APIXABAN 2.5 MG TABLET,$37.00 
APIXABAN 5 MG TABLET,$37.00 
APOLIPOPROTEIN A1,$156.00 
APOLIPOPROTEIN B,$156.00 
APP SURFACE STIMULATOR,$95.00 
APPL FINGER SPLINT-STATIC,$403.00 
APPL SHORT ARM SPLINT-STATIC,$429.00 
APPLICATION LONG ARM SPLINT,$457.00 
APPLICATION LONG LEG SPLINT,$471.00 
APPLICATION ON-BODY INJECTOR,$199.00 
APPLICATION SHORT LEG SPLINT,$444.00 
APR IN CLP 1.4MM MED ESCP LGT,"$2,309.00 "
APR IN CLP 10MM MED LG TI ESCP,$526.00 
APR IN CLP 11MM OPN 2.8MM CHNL,$868.00 
APR IN CLP 2MM LG ESCP LGT,"$6,294.00 "
APR IN CLP 30D LG 13.25IN TI,$323.00 
APR IN CLP 30D SM 9 3/8IN TI,$318.00 
APR IN CLP 5MM 11IN ESCP PSTL,"$2,286.00 "
APR IN CLP 5MM ESCP LGT,$921.00 
APR IN CLP MED TI ESCP LGT ROT,$319.00 
APR LGCLP IN CLP 23.8CM MED,$275.00 
APREPITANT INJ 130 MG/18 ML,"$2,724.00 "
"APTT, LAC",$93.00 
ARC ABO,$72.00 
ARC ABSORPTION,$125.00 
ARC ANTIBODY ID EACH PANEL,$252.00 
ARC DAT TEST,$75.00 
ARC ELUATE,$148.00 
ARC ENZYME TREATMENT EA CELL,$103.00 
ARC IAT,$99.00 
ARC INHIBITION,$123.00 
ARC IRRADIATION CHARGE,$120.00 
ARC PLT CROSSMATCH INITIAL,$316.00 
ARC PLT CROSSMATCH SUBSEQUENT,$306.00 
ARC RBC PRETREATMENT,$136.00 
ARC RETIC SEPARATION,$209.00 
ARC RH,$64.00 
ARC RH PHENOTYPE,$201.00 
ARC SICKLE CELL TEST,$78.00 
ARC TITER,$185.00 
ARC-DILUTION OF SERUM,$85.00 
ARCHLA,"$1,950.00 "
ARC-PATIENT PHENOTYPE,$97.00 
ARC-THAWING OF RARE REAGENTS,$198.00 
ARGATROBAN 50 MG/50 ML PREMIX,"$1,227.00 "
ARGLYE TROCAR CATH 20FR/6.7,$149.00 
"ARROW PLATE, DRILL GUIDE","$1,239.00 "
ARSENIC BLOOD,$135.00 
ARSENIC TRIOXIDE INJ 1 MG,$410.00 
ARSENIC TRIOXIDE INJ 1 MG,$410.00 
ART LN 1.75IN 20GA RADL ART,$118.00 
ART LN 12CM 4FR .021IN FEM,$169.00 
ART PUNCT WITHDRWL BLD DX,$82.00 
ART SECONDARY NONPRIM MECH,"$2,512.00 "
ARTCSURF CD/EF/G,"$11,784.00 "
ARTERIAL CATHERIZATION,$590.00 
ARTERIAL CATH-FAC 36620,$590.00 
ARTERIAL PUNCTURE,$82.00 
ARTERY/CATH CANNULATION-SAMPLE,$590.00 
ARTHRO ASP/INJ JT INTER W/O US,$555.00 
ARTHRO ASP/INJ JT MAJOR W/O US,$826.00 
ARTHRO ASP/INJ JT MAJOR W/O US,$843.00 
ARTHROCEN ASP/INJ JT SM W/O US,$576.00 
ARTHROCEN ASP/INJ JT SM W/O US,$588.00 
ARTHROCENT ASP/INJ JT INTERMED,$544.00 
ARTHRODESIS NAIL LT 10X 700MM,"$23,970.00 "
ARTHROGRAM WRIST INJ,$614.00 
ARTHROWAND LAPRO 3.5MMX90DEG,"$1,021.00 "
ARTHROWAND SUCTION 3.5MMX90DEG,$817.00 
ARTICUL/EZE HD SZ 28 +12MM,"$3,944.00 "
ARTICUL/EZE HD SZ 28 +15.5MM,"$3,944.00 "
ARTICUL/EZE HD SZ 28 +8.5MM,"$3,944.00 "
ARWG+ARD BLU + BLU FLXTP,$750.00 
ARWG+ARD BLU + BLU FLXTP,$654.00 
ARWG+ARD BLU BLU FLXTP CATH,$344.00 
ARWG+ARD BLU INTRO PERC 4,$611.00 
ASA/DIPYRIDAMOLE CAP 25/200,$46.00 
ASCA ELISA IGA,$183.00 
ASCA ELISA IGG,$183.00 
ASCORBIC ACID TAB 500 MG UD,$10.00 
ASCP FX ACL STRL DISP,"$2,079.00 "
ASCP FX CRV TIP FSTFX,"$1,583.00 "
ASCP FX FSTFX SUT FNL MNSCL,$85.00 
ASCP FX GFT HRVST SW BLDE 3,"$1,184.00 "
ASCP FX STRG TIP FSTFX,"$1,583.00 "
ASCP FX WHIPKNOT CNCH SHLDR,$437.00 
ASMB TUBE 520MM RMR IRR ASP,"$2,368.00 "
ASO,$153.00 
ASO SCREEN  (ASOS),$152.00 
ASP BLADDER W/SP CATH INSERT,"$3,483.00 "
ASP FINE NDL W/IMAGING GUID,"$1,710.00 "
ASP FINE NDL W/O IMAGING GUIDE,$483.00 
ASP.CATH SPIROFLEX 4FR,"$9,100.00 "
ASPERGILLUS AG,$307.00 
ASPERGILLUS ANTIBODY,$117.00 
Aspergillus Antibody 2,$117.00 
Aspergillus Antibody 3,$117.00 
ASPIRATION BIOPSY,$416.00 
ASPIRATION BLADDER NEEDLE,$751.00 
ASPIRIN (BABY) TABLET 81 MG,$1.00 
ASPIRIN EC TABLET 325 MG U/D,$1.00 
ASPIRIN SUPPOSITORY 300 MG,$21.00 
ASPIRIN SUPPOSITORY 650 MG,$21.00 
ASPIRIN TAB 325 MG UNIT DOSE,$1.00 
ASPIRIN-CHILD EC-TAB 81 MG U/D,$1.00 
AT III AG,$211.00 
ATENOLOL TAB 50MG UNIT DOSE,$10.00 
ATENOLOL TABLET 25 MG,$10.00 
