CDM DESCRIPTION,PRIMARY PRICE
AIRWY SIZING INSJ BRNCL VALVE,"$6,122.00 "
ALBUMIN BLOOD              WMC,$46.00 
ALCOHOL MECONIUM METABOLITIES,$137.00 
ALDOLASE                   WMC,$153.00 
ALDOSTERONE SERUM          WMC,$453.00 
ALDOSTERONE URINE,$453.00 
ALK PHOSPHATASE FRACTIONATEWMC,$92.00 
ALKALINE PHOSPHATASE       WMC,$55.00 
ALPHA 1 FETOPROTEIN WMC,$138.00 
ALTERNARIA IGG,$46.00 
AMBU BAG,$54.00 
AMEBIASIS SEROCOGY,$153.00 
AMIKACIN,$166.00 
AMINO ACID SCREEN URINE    WMC,$311.00 
AMINO ACIDS QUAN NEONATE,$41.00 
AMITRIPTYLINE (ELAVIL)     WMC,$119.00 
AMMONIA                    WMC,$123.00 
AMPHETAMINES DRUG SCREEN,$345.00 
AMPL PROBE RNA PCR H1N1,$360.00 
AMYLASE (FLUID)            WMC,$110.00 
AMYLASE BLOOD              WMC,$110.00 
AMYLASE URINE-WMC,$110.00 
ANA,$123.00 
ANA SCREEN-WMC,$123.00 
ANA TITER,$106.00 
ANA TITER                  WMC,$106.00 
ANAEROBIC ISOLATE ID,$152.00 
ANESTHESIA TIME CHARGE-WMC,$703.00 
ANGIOTENSIN 1 CONVERTING ENWMC,$220.00 
ANKLE-LT/1 VIEW,$347.00 
ANKLE-LT/2 VIEW MINIMUM,$420.00 
ANKLE-LT/3 VIEW MINIMUN,$520.00 
ANKLE-RT/1 VIEW,$347.00 
ANKLE-RT/2 VIEW MINIMUM,$420.00 
ANKLE-RT/3 VIEW MINIMUM,$520.00 
ANOSCOPY,"$1,112.00 "
ANOSCOPY W/ BX,"$2,296.00 "
ANOSCOPY W/ DILATION,"$1,740.00 "
ANOSCOPY W/ REMOVAL FB,"$1,531.00 "
ANOSCOPY W/BX HOT FORCEP SNGL,"$2,372.00 "
ANOSCOPY; MULT; ANY METHOD,"$2,694.00 "
ANOSCOPY; SNARE SINGLE,"$1,861.00 "
ANTI CBIR1 ELISA,$179.00 
ANTI DNASE B,$116.00 
ANTI MITOCHONDRIAL AIB,$227.00 
ANTI OMPC ELISA IGA,$179.00 
ANTI SCLEORODERMA SCL 70,$240.00 
ANTI SMOOTH MUSCLE AB,$227.00 
ANTIBODY FU CHARGE WMC,$265.00 
ANTIBODY IDENTIFICATION    WMC,$247.00 
ANTIBODY SCREEN,$97.00 
ANTIBODY TITER-WMC,$181.00 
"ANTIGEN SCREEN, PT SERUM-WMC",$231.00 
ANTIGEN SCREENING 1,$133.00 
ANTIMITOCHONDRIAL AB TITER,$265.00 
ANTITHROMBIN III           WMC,$408.00 
APPLICATION ON-BODY INJECTOR,$155.00 
ARC ABO,$66.00 
ARC ABSORPTION,$143.00 
ARC AFTER HOURS CHARGE,$578.00 
ARC ANTIBODY ID EACH PANEL,$276.00 
ARC ANTIGEN TYPING,$95.00 
ARC CROSSMATCH FULL,$184.00 
ARC CROSSMATCH IS,$194.00 
ARC DAT TEST,$77.00 
ARC ELUATE,$145.00 
ARC EMERGENCY REQUEST,$70.00 
ARC ENZYME TREATMENT EA CELL,$101.00 
ARC IAT,$112.00 
ARC INHIBITION,$121.00 
ARC IRRADIATION CHARGE-WMC,$143.00 
ARC PLT CROSSMATCH INITIAL,$306.00 
ARC PLT CROSSMATCH SUBSEQUENT,$306.00 
ARC RBC PRETREATMENT,$133.00 
ARC RETIC SEPARATION,$205.00 
ARC RH,$63.00 
ARC RH PHENOTYPE,$197.00 
ARC SICKLE CELL TEST,$82.00 
ARC TITER,$181.00 
ART DUP OF ABDOM ORG COMP,"$1,235.00 "
ART DUP OF ABDOM ORG LMT-WMC,$878.00 
ART GRAFT SUR HDA,$608.00 
ART/VEN DUP AORTA ILIA GFT COM,"$1,122.00 "
ART/VEN DUP AORTA ILIA GFT LIM,$978.00 
ARTERIAL CATHERIZATION,$622.00 
ARTERIAL PUNCTURE,$80.00 
ASCA ELISA IGA,$179.00 
ASCA ELISA IGG,$179.00 
ASO SCREEN (ASOS)          WMC,$149.00 
ASO TITER                  WMC,$150.00 
ASPERGILLOSIS,$115.00 
ASPERGILLUS AG,$301.00 
AT III AG,$143.00 
ATHER STNT TIB/PER /PTA EADD,"$27,598.00 "
ATHER TIB/PER W PTA EADD,"$26,331.00 "
ATHERECTOMY FEM/POP W PTA,"$27,737.00 "
ATHERECTOMY TIB/PER W PTA,"$32,220.00 "
ATHERECTOMY/STNT FEM/POP W PTA,"$39,022.00 "
ATHERECTOMY/STNT TIB/PER W PTA,"$31,009.00 "
AUTOMATED DIFFERENTIAL WBC CNT,$55.00 
AXILLA US LT,$510.00 
AXILLA US RT,$510.00 
B CELL COUNT,$166.00 
B PERTUSSIS CULTURE,$150.00 
B PERTUSSIS DNA PCR,$360.00 
B PERTUSSIS SMEAR,$100.00 
BALLOON TAMPONADE,$691.00 
BARBITURATES DRUG SCREEN,$345.00 
BARIUM ENEMA WITH AIR-WMC,"$1,163.00 "
BARIUM ENEMA-WMC,$939.00 
BARIUM SWALLOW-WMC,$718.00 
BARTONELLA HENSELAE,$92.00 
BARTONELLA QUINTANA,$92.00 
BASIC METABOLIC PANEL,$265.00 
BE THERAPEUTIC-WMC,"$1,204.00 "
BEHAVIOR HEALTH,"$2,245.00 "
BENZODIAZEPINES DRUG SCREEN,$345.00 
BERNSTEIN TEST,"$1,337.00 "
BERNSTEIN TEST-WMC,$640.00 
BEST CHANCE MAMMO SCREEN BIL,$349.00 
BEST CHANCE MAMMO SCRN  LEFT,$214.00 
BEST CHANCE MAMMO SCRN RIGHT,$214.00 
BILIRUBIN BILE URINE,$52.00 
BILIRUBIN DIRECT-WMC,$90.00 
BILIRUBIN TOTAL-WMC,$87.00 
"BIOIMPEDANCE,THORACI,ELECT",$112.00 
BIOPSY/INTRATHORACIC/FLURO LOC,$990.00 
BIOTINIDASE NEONATE,$54.00 
BK VIRUS DNA QUANT,$416.00 
BLADDER CATH INDWELLING,$224.00 
BLEEDING TIME              WMC,$106.00 
BLOOD DRAW DEVICE,$189.00 
BLOOD GAS,$228.00 
BLOOD GAS W/O2 SAT,$276.00 
BLOOD PRODUCTS ADMINIST-WMC,$912.00 
BLOOD UREA NITROGEN        WMC,$77.00 
"BLOOD,L/R,CMV NEG",$724.00 
BM SMEARS-WMC,$306.00 
BNP,$219.00 
BONE AGE STUDIES,$368.00 
BONE DENSITY STUDY,$736.00 
BONE SURVEY < 1YR,$582.00 
BONE SURVEY/COMPLETE(AX+APP),$780.00 
BONE SURVEY/LIMITED,$694.00 
BP MONITOR-WMC,$62.00 
BREAST ULTRASOUND/UNI-LEFT,$561.00 
BREAST ULTRASOUND/UNI-RIGHT,$561.00 
BREAST ULTRASOUND-BILATERAL,$561.00 
BREAST US LIMITED-LEFT,$561.00 
BREAST US LIMITED-RIGHT,$561.00 
BRNCHSC W/RMV VALVE 1ST LOBE,"$1,541.00 "
BRNCHSC W/RMV VALVE EA ADDL,"$1,541.00 "
BRONCH EA ADD MAJ BRNCHUS STNT,"$3,398.00 "
BRONCH EBUS IVNTJ PERPH LES,"$1,429.00 "
BRONCH EBUS SAMPLNG 1/2 NODE,"$4,082.00 "
BRONCH EBUS SAMPLNG 3/> NODE,"$4,592.00 "
BRONCH W BRUSHING,"$2,480.00 "
BRONCH W CATH PLACEMENT,"$2,704.00 "
BRONCH W FB REMOVAL,"$2,582.00 "
BRONCH W LAVAGE,"$2,816.00 "
BRONCH W STENT INITIAL BRNCHUS,"$4,214.00 "
BRONCH W/ LUNG BX/ ADD'L,"$2,204.00 "
BRONCH W/1 OR MULTI BX,"$2,694.00 "
BRONCH W/DILATION,"$2,480.00 "
BRONCH W/SUPER D,"$2,615.00 "
BRONCH W/TRANSBRON BX 1 LOBE,"$2,694.00 "
BRONCH W/TRANSBRON NDL ASP,"$2,694.00 "
BRONCH(PULMONARY) ABLATION,"$3,619.00 "
BRONCHOSC W/BALLOON OCCLS,"$2,388.00 "
BRONCHOSCOPY,"$2,449.00 "
BRONCHOSPASM CHALLENGE TEST,"$1,194.00 "
C DIFF TOXIN A,$169.00 
C DIFF TOXIN A/B,$169.00 
C PNEUMONIAE ANTIBODY,$122.00 
C PNEUMONIAE ANTIBODY IGM,$122.00 
C1 ESTERASE INHIBITOR,$275.00 
C1 INHIBITOR FUNCTIONAL,$179.00 
C3                         WMC,$275.00 
C4                         WMC,$275.00 
CA 125 CANCER ANTIGEN,$196.00 
CA 19-9 CARBOHYDRATE ANTIGEN,$172.00 
CAH NEONATE,$141.00 
CALCIUM  TOTAL,$55.00 
CALCIUM 24 URINE           WMC,$81.00 
CALCIUM IONIZED            WMC,$129.00 
CALCIUM IONIZED POC,$129.00 
CANNABINOID DRUG SCREEN,$345.00 
CANNULA EPIDURAL 16GA,$44.00 
CAPSULE ENDO PROCEDURE,"$2,653.00 "
CARBON DIOXIDE-WMC,$39.00 
CARBOXYHEMOGLOGIN          WMC,$92.00 
CARDIOLIPIN AB IGA,$111.00 
CARDIOLIPIN AB IGG,$111.00 
CARDIOLIPIN AB IGM,$111.00 
CARDIOLIPIN ANTIBODIES WMC,$111.00 
CARE CUBE SUPPLY,$126.00 
CAROTID/VERTEBRAL DUP COMP BIL,"$1,079.00 "
CAROTID/VERTERBAL DUP LIM-WMC,$694.00 
CATECHOLAMINES FRACT PLASMAWMC,$220.00 
CATECHOLAMINES FRACT URINE WMC,$220.00 
CATH DRAIN/PER TUBE CGH/REPO,"$1,235.00 "
CATH INTROPERITONEAL REMOVAL,"$6,773.00 "
CBC W AUTO DIFF,$143.00 
CBC W MANUAL DIFF,$143.00 
CBC W/OUT DIFF,$102.00 
CD4 COUNT,$158.00 
CD4/CD8 W RATIO,$250.00 
CEA,$274.00 
CELL BLOCK-WMC,$347.00 
CENTERAL LINE PATENCY CHECK,$745.00 
CENTERAL LINE PATENCY CHECK,$745.00 
CEP17 MOLFSH,$586.00 
CERULOPLASMIN              WMC,$96.00 
"CERVICAL (AP, LAT,FLEX,EXT)",$705.00 
CERVICAL / 1 VIEW,$403.00 
CERVICAL 3/VIEW (FLEX/EXT),$559.00 
"CERVICAL(AP,LAT,OBL,FL,EXT,OD)",$849.00 
CERVICAL/4 -5 VIEWS,$705.00 
CERVICAL-AP + LAT OR 2-3 VIEWS,$559.00 
CHEST FLURO,$755.00 
CHEST TUBE INSERT/DRAINAGE,$890.00 
CHLAMYDIA AMP PROBE REF LAB,$160.00 
CHLAMYDIA ANTIGENS         WMC,$104.00 
CHLAMYDIA TRAC AMPLIFIED PROBE,$260.00 
CHLORIDE STOOL,$102.00 
CHLORIDE-WMC,$64.00 
CHLOROQUINE DTT            WMC,$133.00 
CHOLANGIOGRAM/OPER-PORT,$999.00 
CHOLANGIOGRAM/OPER-WMC,$816.00 
CHOLESTEROL                WMC,$64.00 
CHOLINESTERASE,$114.00 
CHROMIUM,$115.00 
CHROMO 15 DEL/DUP DNA PROBE,$204.00 
CHROMO 15DEL/DUP FISH10-30CELL,$471.00 
CHROMO 15DEL/DUP FISH25-99CELL,$378.00 
CHROMOS 15 DEL/DUP CULTURE,$745.00 
CHROMOSOME ADD KARYOT EACH,$163.00 
CISTERNOGRAM LUMBER:NUC/CT,"$2,940.00 "
CKMB TOTAL                 WMC,$158.00 
CLAVICLE-LT,$408.00 
CLAVICLE-RT,$408.00 
CLINTRON C2 ACUTE CARE,$209.00 
CLINTRON C2 SB,$209.00 
CMV IGG,$162.00 
CNB EA ADDL HOUR,$214.00 
CNB FIRST HOUR,$235.00 
COCCAINE DRUG SCREEN,$345.00 
COG SKILLS DVLPMNT; EA 15 MIN,$90.00 
COLD AGGLUTININ SCREEN     WMC,$101.00 
COLD AGGLUTININ TITER-WMC,$100.00 
COLLECTION OF CAP BLD SPECIMAN,$48.00 
COLON BX - STOMA,"$2,541.00 "
"COLON BX BY HOT (POL,TUM,LES)","$2,669.00 "
"COLON BX W SNARE (POL,TUM,LES)","$2,612.00 "
COLON SCOPE - STOMA,"$2,347.00 "
COLON W/ ABLATION,"$2,902.00 "
COLON W/ BIOPSY,"$3,092.00 "
COLON W/ FOREIGN BODY(S),"$2,071.00 "
COLON W/ INJECTION,"$2,564.00 "
COLON W/ STENT PLACEMENT,"$3,931.00 "
COLON W/ TRANSEND BLN DILATION,"$2,582.00 "
COLON W/ US,"$2,408.00 "
COLON W/ US W/ BIOPSY,"$2,714.00 "
COLON; CONTROL BLEED,"$2,837.00 "
COLONOSCOPY - DIAG,"$2,469.00 "
COMPATIBILITY TEST ANTIGLOB,$184.00 
COMPATIBILITY TEST IMMED SPIN,$182.00 
COMPLEX UROFLOWMETRY,$367.00 
COMPREHENSIVE METABOLIC PANEL,$309.00 
CONC INFECTIOUS AGENT,$73.00 
CONCENTRATION INFECT AGENT,$73.00 
CONSULT OP 99241,$173.00 
CONSULT OP 99242,$342.00 
CONTRAST 100-199MGS IODINE/ML,$2.00 
CONTRAST 200-299MGS IODINE/ML,$275.00 
CONTRAST 300-399MGS IODINE/ML,$116.00 
CONTRAST VISI PAQUE 320/ML,$116.00 
COOMBS DIRECT-WMC,$74.00 
COOMBS INDIRECT QUAL EA RRC,$46.00 
COPPER                     WMC,$138.00 
CORD BLOOD GAS,$245.00 
CORDORA CAVERNOSOGRAPHY,$429.00 
CORTISOL TOTAL,$194.00 
CPK ISOENZYMES             WMC,$129.00 
CPK TOTAL,$87.00 
CPT INITIAL,$210.00 
CPT SUBSEQUENT,$147.00 
C-REACTIVE PROTEIN WMC,$94.00 
CREAT UR RAND,$74.00 
CREATINE BLOOD             WMC,$66.00 
CREATININE 24HR URINE WMC,$74.00 
CREATININE BLOOD           WMC,$55.00 
CREATININE CLEARANCE URINE WMC,$149.00 
CREATININE URINE,$74.00 
CRYO PROCESS,$245.00 
CRYOFIBRINOGEN,$122.00 
CRYOGLOBULINS,$138.00 
CRYPTOCOCCAL ANTIGEN,$129.00 
CRYPTOSPORIDUM AG STOOL,$101.00 
CRYPTOSPORIDUM SMEAR CONCENTR,$73.00 
CRYPTOSPORIDUM SMEAR STAIN,$90.00 
CRYSTAL ID BY LIGHT MICROSCOPY,$100.00 
CT 3D INDEPENDENT WORKSTATION,$980.00 
CT 3D RENDERING AT WORKSTATION,$837.00 
CT ABD W/WO,"$4,103.00 "
CT ABD W/WO CON/PELVIS W CON,"$6,327.00 "
CT ABD/PELVIS W,"$5,782.00 "
CT ABD/PELVIS WO,"$4,896.00 "
CT ABD/PELVIS WO/W,"$7,027.00 "
CT ABDOMEN LIMITED W CON,"$3,061.00 "
CT ABDOMEN WO,"$2,935.00 "
CT ABDOMEN/W CON-WMC,"$3,375.00 "
CT ABDOMEN-LIMITED WO/CON,"$2,633.00 "
CT AORTA RUNOFF W/WO CON-CTA,"$3,571.00 "
CT CEREBRAL PERFUSION INC POST,"$1,327.00 "
CT CERVICAL WO CON,"$2,786.00 "
CT CERVICLE SPINE W/CON-WMC,"$3,148.00 "
CT EXTREMIT-UP W/WO CON-LT/CTA,"$2,949.00 "
CT EXTREMITY/LOWER LT W CON,"$2,088.00 "
CT EXTREMITY/LOWER LT W/WO CON,"$1,653.00 "
CT EXTREMITY/LOWER RT W CON,"$2,088.00 "
CT EXTREMITY/LOWER RT W/WO CON,"$1,653.00 "
CT EXTREMITY/LOWER RT WO CON,"$1,769.00 "
CT EXTREMITY/LOWER-LT WO CON,"$1,769.00 "
CT EXTREMITY/UPPER RT W CON,"$2,599.00 "
CT EXTREMITY/UPPER RT W/WO CON,"$3,143.00 "
CT EXTREMITY/UPPER RT WO CON,"$2,347.00 "
CT EXTREMITY/UPPER-LT W CON,"$2,599.00 "
CT EXTREMITY/UPPER-LT W/WO CON,"$3,143.00 "
CT EXTREMITY/UPPER-LT WO CON,"$2,347.00 "
CT FACIAL W CON,"$2,446.00 "
CT FACIAL W/WO CON,"$2,843.00 "
CT FACIAL WO CON,"$2,160.00 "
CT FNA W/IMAGE,$867.00 
CT GUIDED ABDOMEN/RETRO BIOPSY,"$1,567.00 "
CT HEAD (BRAIN) W CON,"$2,706.00 "
CT HEAD (BRAIN) W/WO CON,"$2,979.00 "
CT HEAD W/O CON,"$2,314.00 "
CT KIDNEY STONE(ABDOMEN-LIM WO,"$2,633.00 "
CT LIMITED FOLLOW UP,$947.00 
CT LIVER FNA W/IMAGE,"$1,327.00 "
CT LOCALIZATION FOR RT,"$3,571.00 "
CT LUMBAR SPINE W CON,"$3,260.00 "
CT LUMBAR SPINE WO CON,"$2,704.00 "
CT LUNG FNA W/IMAGE,"$1,327.00 "
CT NECK W/CONTRAST-WMC,"$2,864.00 "
CT NECK W/WO CON,"$3,299.00 "
CT NECK WO CON,"$2,394.00 "
CT NEEDLE BIOPSY,"$2,449.00 "
CT NEEDLE BX LYMPH NODE/SUPER,"$2,143.00 "
CT NEEDLE PLACEMENT,"$2,449.00 "
CT ORBIT/SELLA TEMP W/WO CON,"$2,818.00 "
CT ORBIT/SELLA/TEMPORAL W CON,"$2,359.00 "
CT ORBIT/SELLA/TEMPORAL WO CON,"$2,247.00 "
CT PELVIS LIMITED W CON,"$3,061.00 "
CT PELVIS W CON,"$2,996.00 "
CT PELVIS W/WO CON-WMC,"$3,679.00 "
CT PELVIS WO CON,"$2,538.00 "
CT PERCU DRAIN,"$1,939.00 "
CT PLEURA ENA W/IMAGE,"$1,327.00 "
CT PROSTATE FNA W/IMAGE,"$1,327.00 "
CT PUNC/ASP-FLUID/HEM/CYST,$515.00 
CT SINUS LIMITED WO CON,"$2,160.00 "
CT SINUS W CON,"$2,446.00 "
CT SINUS W/WO CON,"$2,843.00 "
CT SINUS/WO CON,"$2,160.00 "
CT SOFT TISSUE NECK/THORAC BX,"$2,449.00 "
CT THORACIC SPINE W/CON,"$2,708.00 "
CT THORACIC SPINE WO CON,"$2,435.00 "
CT THORAX W CON,"$3,312.00 "
CT THORAX W/WO CON,"$3,805.00 "
CT THORAX WO CON,"$2,762.00 "
CT THYROID FNA W/IMAGE,"$1,327.00 "
CT:CERVICAL WO/W CON,"$3,225.00 "
CT:LUMBAR WO/W CON,"$3,761.00 "
CT:THORACIC WO/W CON,"$3,067.00 "
CTA  EXTREMIT-UP W/WO CON-RT,"$2,949.00 "
CTA ABD PELVIS W WO CON,"$5,204.00 "
CTA ABDOMEN WO/W CON,"$3,194.00 "
CTA CHEST W CON,"$3,439.00 "
CTA EXTREMITY LOW W/WO CON-LT,"$3,061.00 "
CTA EXTREMITY LOW W/WO CON-RT,"$3,061.00 "
CTA HEAD W/WO CON+PP,"$3,265.00 "
CTA NECK W/WO CON+PP,"$3,010.00 "
CTA PELVIS W CON,"$2,383.00 "
CULTURE AFB,$183.00 
CULTURE ANAEROBIC          WMC,$333.00 
CULTURE BLOOD-WMC,$179.00 
CULTURE CATH TIP/GRAFT,$146.00 
CULTURE CSF-WMC,$146.00 
CULTURE EAR                WMC,$146.00 
CULTURE FUNGUS SKIN,$161.00 
CULTURE FUNGUS-OTHER,$235.00 
CULTURE GC                 WMC,$150.00 
CULTURE GI TRACT WMC,$146.00 
CULTURE GROUP B STREP,$150.00 
CULTURE GU                 WMC,$146.00 
CULTURE HERPES             WMC,$189.00 
CULTURE HERPES RAPID METHOD,$189.00 
CULTURE NOSE               WMC,$146.00 
CULTURE RESP-WMC,$146.00 
CULTURE SCREEN ONLY,$122.00 
CULTURE STOOL              WMC,$161.00 
CULTURE THROAT             WMC,$146.00 
CULTURE TISSUE             WMC,$282.00 
CULTURE TYPE EA IMMUNO NOT IF,$55.00 
CULTURE URINE              WMC,$95.00 
CULTURE URINE AND COLONY COUNT,$120.00 
CULTURE WOUND              WMC,$146.00 
"CULTURE, FUNGUS-BLOOD",$247.00 
"CULTURE, VIRAL-WMC",$188.00 
CULUTE EYE                 WMC,$146.00 
CULUTRE BONE MARROW        WMC,$146.00 
CYCLIC CITRULLINE PEPTIDE,$140.00 
CYCLOSPORINE,$169.00 
CYST ASPIRATION/BREAST-RT,"$1,327.00 "
CYSTOGRAM/3 VIEW MINIMUN,$735.00 
CYTO EXAM INTRAOP ADDITIONAL,$59.00 
CYTO EXAM INTRAOP INITIAL,$153.00 
CYTO SELECT CELL INHANCE TECH,$194.00 
CYTO SMEAR PREP SCREEN INTERM,$103.00 
CYTO URINARY 3-5 PROBES,$551.00 
"CYTO, BRUSHINGS-WMC",$153.00 
"CYTO, CYTOSPIN-WMC",$153.00 
CYTOPATH NON GYN-WMC,$52.00 
DAY HOSPITAL-WMC,$418.00 
D-DIMER-WMC,$224.00 
DECAL-WMC,$82.00 
DIFFERENTIAL MANUAL,$32.00 
DIFFERENTIAL MANUAL MFPC,$32.00 
DIGOXIN                    WMC,$133.00 
DILANTIN TOTAL,$150.00 
DILATOR DEVICE,$243.00 
DILATOR PASSAGE OF ESOPH,"$1,541.00 "
DIRECT ADMIT TO OBSERVATION,$336.00 
DISP ANES MASK-WMC,$27.00 
DNA AB,$206.00 
DNA AB SINGLE STRAND,$431.00 
"DNA AB, DOUBLE STRANDED",$206.00 
DNA HISTOGRAM-WMC,$390.00 
DNA PROBE CHLAMYDIA-WMC,$160.00 
DNA PROBE GC-WMC,$131.00 
DOPPLER COLOR FLOW VEL MAP-WMC,$715.00 
DOPPLER ECHO PULSED WAVE-WMC,$867.00 
DRAIN/INJ MAJOR JOINT/BURSA LT,"$2,231.00 "
DRAIN/INJ MAJOR JOINT/BURSA RT,"$2,231.00 "
DRUG SCREEN ENCOUNTER REF LAB,$345.00 
DRUG SCREEN NIDA,$48.00 
DRUG SCREEN QUAL PER ENCOUNTER,$345.00 
DUSTMITE DF IGG,$64.00 
DUSTMITE DP IGG,$64.00 
EA PI PUMP W PROGRAMMING,$888.00 
EBV DNA PCR CSF,$360.00 
EBV DNA QT PCR,$360.00 
EBV IGG VCA,$190.00 
EBV IGM VCA,$190.00 
EBV SCREEN,$227.00 
ECHO 2-D ONLY,"$1,571.00 "
ECHO 2D-PULSED WAVE/COLOR FLOW,"$2,010.00 "
ECHO W/CONTRAST M-MODE COLOR,"$3,041.00 "
ECHO W/CONTRAST W/STRESS TEST,"$1,327.00 "
EEG AWAKE & ASLEEP,$858.00 
EFICA I5000 ACUTE CARE,$498.00 
EFICA I5000 SB,$498.00 
EGD,"$2,449.00 "
EGD BALLOON DIL ESOPH 30MM / >,"$2,232.00 "
"EGD BX BY HOT (POL,TUM.LES)","$2,357.00 "
"EGD BX BY SNARE (POL,TUM,LES)","$2,490.00 "
EGD DILATION W MALONEY,"$1,741.00 "
EGD DILATION W/ BALLOON,"$2,796.00 "
EGD DILATION W/ GUIDE WIRE,"$2,510.00 "
EGD ENDOSCOPIC STENT PLACE,"$4,191.00 "
EGD ESOPHAGOGASTRC FNDOPLSTY,"$2,551.00 "
EGD U S,"$2,356.00 "
EGD W/ BANDING,"$2,755.00 "
EGD W/ BIOPSY,"$1,235.00 "
EGD W/ BRUSH/WASHING,"$2,163.00 "
EGD W/ CAUTERY FOR BLEED,"$2,673.00 "
EGD W/ FOREIGN BODY(S) REMOVAL,"$2,439.00 "
EGD W/ GASTRIC DILATION,"$2,449.00 "
EGD W/ INJECTION,"$2,224.00 "
EGD W/ INJECTION OF VARICES,"$2,490.00 "
EGD W/ PEG,"$2,531.00 "
EGD W/ US W/ BIOPSY,"$2,919.00 "
EGGWHITE IGG,$64.00 
EKG LEAD 2 RHYTHM,$200.00 
EKG MONITOR PAD-WMC,$71.00 
EKG MONITOR-WMC,$347.00 
EKG-WMC,$354.00 
ELBOW-LT /2 VIEW MINIMU,$430.00 
ELBOW-LT/1 VIEW,$357.00 
ELBOW-LT/3 VIEW MINIMUN,$522.00 
ELBOW-RT/1 VIEW,$357.00 
ELBOW-RT/2 VIEW MINIMUM,$430.00 
ELBOW-RT/3 VIEW MINIMUM,$522.00 
ELECROPHORETIC TECHNIQUE,$74.00 
ELECTROLYTE PANEL          WMC,$122.00 
ELUATE                     WMC,$145.00 
EMERGENCY CPR,$936.00 
END TIDAL C02 DAILY,$806.00 
ENDO CANNULATION OF PAPILLA,"$4,024.00 "
ENDOMYSIAL AB,$227.00 
ENTEROSCOPY,"$2,047.00 "
ENTEROSCOPY FOR BLEED,"$2,673.00 "
ENTEROSCOPY FOREIGN BODY(S),"$1,837.00 "
ENTEROSCOPY HOT,"$1,939.00 "
ENTEROSCOPY SNARE,"$1,888.00 "
ENTEROSCOPY W/ BIOPSY,"$2,551.00 "
ENTEROVIRUS AMPLIFIED PROBE,$342.00 
ENZYME TREATMENT-WMC,$101.00 
EOSINOPHIL SMEAR WMC,$36.00 
ERCP,"$3,449.00 "
ERCP (BILIARY + PANCREATIC),"$1,049.00 "
ERCP DUCT STENT PLACEMENT,"$5,133.00 "
ERCP EA DUCT/AMPULLA DILATE,"$4,337.00 "
ERCP REMOVE FORGN BODY DUCT,"$3,445.00 "
ERCP STENT EXCHANGE W/DILATE,"$5,357.00 "
ERCP W/ BIOPSY,"$3,980.00 "
ERCP W/ LITHOTRIPSY,"$3,349.00 "
ERCP W/ REMOVAL OF CALCULI,"$4,347.00 "
ERCP W/ SPHINCTEROTOMY,"$3,020.00 "
ERYTHROPOIETIN,$184.00 
ESOPHAGEAL FUNCTION TEST,"$1,184.00 "
ESOPHAGOSC DILATE BALLOON 30,"$2,449.00 "
ESOPHAGOSC RIGID/FLEX DX,"$2,173.00 "
ESOPHAGOSC W/DILAT BALLOON,"$2,327.00 "
ESOPHAGOSC W/REM FORGN BODY(S),"$2,347.00 "
ESOPHAGOSCOPY LESION ABLATE,"$4,214.00 "
ESOPHAGUS ENDO,"$1,396.00 "
ESR SED RATE               WMC,$102.00 
EST PT OV 99214,$327.00 
EST PT OV LEVEL I,$163.00 
EST PT OV LEVEL II,$214.00 
EST PT OV LEVEL III,$276.00 
