NDC,Description,Number Units Charged,Charge Amount Units,Charge
0053-7670-32 ,albumin human 5 % Soln 500 mL Bottle,500,mL,$442.00
0944-0491-02 ,albumin human 5 % Soln 500 mL Glass Cont,500,mL,$509.50
44206-310-50 ,albumin human 5 % Soln 500 mL Vial,500,mL,$426.00
0487-9501-01 ,albuterol (2.5 MG/3ML) 0.083% Nebu 3 mL Plas Cont,3,mL,$12.00
0487-9501-60 ,albuterol (2.5 MG/3ML) 0.083% Nebu 3 mL Plas Cont,3,mL,$12.00
50383-741-20 ,albuterol (5 MG/ML) 0.5% Nebu 20 mL Bottle,20,mL,$129.00
0487-0301-01 ,albuterol 0.63 MG/3ML Nebu 3 mL Plas Cont,3,mL,$13.00
0173-0682-24 ,albuterol 108 (90 Base) MCG/ACT Aers 8 g Inhaler,8,g,$87.00
59310-579-22 ,albuterol 108 (90 Base) MCG/ACT Aers 8.5 g Inhaler,8.5,g,$179.00
0904-6571-61 ,ALLOPURINOL 100 MG PO TABS ,1,Each,$11.50
0904-6572-61 ,ALLOPURINOL 300 MG PO TABS ,1,Each,$12.00
63739-644-10 ,ALPRAZOLAM 0.25 MG PO TABS ,1,Each,$31.00
51079-788-01 ,ALPRAZolam 0.25 MG Tabs 1 Each Blister,1,Each,$31.50
68084-647-11 ,ALPRAZolam 0.25 MG Tabs 1 Each Blister,1,Each,$31.50
0904-5858-61 ,ALPRAZolam 0.25 MG Tabs 100 Each Box,1,Each,$31.50
67253-902-10 ,ALPRAZOLAM 1 MG PO TABS ,1,Each,$32.00
0009-3169-01 ,alprostadil 500 MCG/ML Soln 1 mL Ampule,1,mL,$293.00
0009-3169-06 ,alprostadil 500 MCG/ML Soln 1 mL Ampule,1,mL,$293.00
0121-1761-30 ,ALUM & MAG HYDROXIDE-SIMETH 200-200-20 MG/5ML PO SUSP ,30,mL,$3.00
0904-0004-14 ,ALUM & MAG HYDROXIDE-SIMETH 200-200-20 MG/5ML PO SUSP ,355,mL,$3.00
0121-1762-30 ,ALUM & MAG HYDROXIDE-SIMETH 400-400-40 MG/5ML PO SUSP ,30,mL,$3.00
49884-117-01 ,AMILORIDE HCL 5 MG PO TABS ,1,Each,$12.50
0409-4346-10 ,AMINOCAPROIC ACID 250 MG/ML IV SOLN ,20,mL,$64.50
51079-107-01 ,amitriptyline 25 MG Tabs 1 Each Blister,1,Each,$12.00
0904-0201-61 ,amitriptyline 25 MG Tabs 100 Each Box,1,Each,$12.00
59762-1540-4 ,amLODIPine 10 MG Tabs 100 Each Box,1,Each,$13.50
59762-1530-5 ,amLODIPine 5 MG Tabs 100 Each Box,1,Each,$13.00
50268-084-15 ,amLODIPine 5 MG Tabs 50 Each Box,1,Each,$14.50
65862-583-01 ,amLODIPine-benazepril 5-10 MG Caps 100 Each Bottle,1,Each,$14.00
39822-9900-1 ,ammonia Inha 10 Each Package,1,Each,$1.00
67253-143-10 ,amoxicillin 250 MG/5ML Susr 100 mL Bottle,100,mL,$33.00
0781-2613-01 ,amoxicillin 500 MG Caps 100 Each Bottle,1,Each,$11.50
65862-017-01 ,amoxicillin 500 MG Caps 100 Each Bottle,1,Each,$11.50
0093-3109-53 ,AMOXICILLIN 500 MG PO CAPS ,1,Each,$11.50
66685-1002-0 ,amoxicillin-clavulanate 500-125 MG Tabs 20 Each Bottle,1,Each,$15.00
66685-1001-1 ,amoxicillin-clavulanate 875-125 MG Tabs 100 Each Bottle,1,Each,$16.00
0093-2275-34 ,amoxicillin-clavulanate 875-125 MG Tabs 20 Each Bottle,1,Each,$29.00
66685-1001-0 ,amoxicillin-clavulanate 875-125 MG Tabs 20 Each Bottle,1,Each,$29.00
66993-594-02 ,AMPHETAMINE-DEXTROAMPHET ER 5 MG PO CP24 ,1,Each,$53.00
60687-276-95 ,amphetamine-dextroamphetamine 10 MG Cp24 1 Each Blister,1,Each,$58.50
64720-132-10 ,amphetamine-dextroamphetamine 10 MG Tabs 100 Each Bottle,1,Each,$33.00
64720-135-10 ,amphetamine-dextroamphetamine 20 MG Tabs 100 Each Bottle,1,Each,$33.00
0781-3404-85 ,ampicillin 1 g Solr 1 Each Vial,1,Each,$67.50
0781-3412-15 ,ampicillin 1 g Solr 1 Each Vial,1,Each,$95.00
0781-9404-85 ,ampicillin 1 g Solr 1 Each Vial,1,Each,$67.50
0781-9412-15 ,ampicillin 1 g Solr 1 Each Vial,1,Each,$95.00
0781-9412-92 ,ampicillin 1 g Solr 1 Each Vial,1,Each,$100.50
25021-136-10 ,ampicillin 1 g Solr 1 Each Vial,1,Each,$58.50
67457-351-10 ,ampicillin 1 g Solr 1 Each Vial,1,Each,$67.50
0781-3413-15 ,ampicillin 2 g Solr 1 Each Vial,1,Each,$130.50
0781-9408-80 ,ampicillin 2 g Solr 1 Each Vial,1,Each,$96.50
0781-9413-15 ,ampicillin 2 g Solr 1 Each Vial,1,Each,$130.50
0781-9413-92 ,ampicillin 2 g Solr 1 Each Vial,1,Each,$139.50
0781-2145-01 ,ampicillin 500 MG Caps 100 Each Bottle,1,Each,$12.00
67253-181-10 ,ampicillin 500 MG Caps 100 Each Bottle,1,Each,$11.50
0781-3407-95 ,ampicillin 500 MG Solr 1 Each Vial,1,Each,$41.50
0781-9407-78 ,ampicillin 500 MG Solr 1 Each Vial,1,Each,$41.50
55150-112-10 ,ampicillin 500 MG Solr 1 Each Vial,1,Each,$41.00
63323-388-10 ,ampicillin 500 MG Solr 1 Each Vial,1,Each,$40.00
67457-350-10 ,ampicillin 500 MG Solr 1 Each Vial,1,Each,$41.00
0781-9404-95 ,AMPICILLIN SODIUM 1 G IJ SOLR ,1,Each,$67.50
67457-352-02 ,AMPICILLIN SODIUM 2 G IV SOLR ,1,Each,$93.50
67457-352-10 ,AMPICILLIN SODIUM 2 G IV SOLR ,1,Each,$93.50
44567-211-10 ,ampicillin-sulbactam 3 (2-1) g Solr 1 Each Vial,1,Each,$105.00
67457-349-03 ,ampicillin-sulbactam 3 (2-1) g Solr 1 Each Vial,1,Each,$91.50
0049-0014-83 ,AMPICILLIN-SULBACTAM SODIUM 3 (2-1) G IJ SOLR ,1,Each,$98.00
0641-6117-01 ,AMPICILLIN-SULBACTAM SODIUM 3 (2-1) G IJ SOLR ,1,Each,$64.00
0641-6117-10 ,AMPICILLIN-SULBACTAM SODIUM 3 (2-1) G IJ SOLR ,1,Each,$64.00
60687-112-11 ,ANASTROZOLE 1 MG PO TABS ,1,Each,$13.50
0944-3045-10 ,ANTIHEMOPHILIC FACTOR RAHF-PFM 2000 UNITS IV SOLR ,1,Each,$39.00
0944-3052-02 ,ANTIHEMOPHILIC FACTOR RAHF-PFM 500 UNITS IV SOLR ,1,Each,$39.00
68455-12559 ,"aquacel extra hydrofiber 2""X2"" Pads 10 Each Box",1,Each,$29.50
63402-911-30 ,ARFORMOTEROL TARTRATE 15 MCG/2ML IN NEBU ,2,mL,$80.00
63402-911-64 ,ARFORMOTEROL TARTRATE 15 MCG/2ML IN NEBU ,2,mL,$80.00
65162-897-03 ,ARIPIPRAZOLE 5 MG PO TABS ,1,Each,$106.00
10135-165-13 ,ASCORBIC ACID 500 MG PO TABS ,1,Each,$0.50
57896-901-01 ,aspirin 325 MG Tabs 100 Each Bottle,1,Each,$0.50
0536-1008-36 ,aspirin 81 MG Chew 36 Each Bottle,1,Each,$0.50
0904-4040-73 ,aspirin 81 MG Chew 36 Each Bottle,1,Each,$0.50
57896-911-36 ,aspirin 81 MG Chew 36 Each Bottle,1,Each,$0.50
0904-7704-80 ,"aspirin EC 81 MG Tbec 1,000 Each Bottle",1,Each,$0.50
57896-981-01 ,aspirin EC 81 MG Tbec 100 Each Bottle,1,Each,$0.50
63739-522-10 ,aspirin EC 81 MG Tbec 100 Each Box,1,Each,$0.50
0067-2039-24 ,ASPIRIN-ACETAMINOPHEN-CAFFEINE 250-250-65 MG PO TABS ,1,Each,$0.50
0067-2039-91 ,aspirin-acetaminophen-caffeine 250-250-65 MG Tabs 100 Each Bottle,1,Each,$0.50
37205-280-78 ,aspirin-acetaminophen-caffeine 250-250-65 MG Tabs 100 Each Bottle,1,Each,$0.50
51079-759-01 ,atenolol 25 MG Tabs 1 Each Blister,1,Each,$12.00
63304-621-01 ,atenolol 25 MG Tabs 100 Each Bottle,1,Each,$12.00
0904-5392-61 ,atenolol 25 MG Tabs 100 Each Box,1,Each,$12.00
62584-467-11 ,atenolol 50 MG Tabs 1 Each Blister,1,Each,$12.50
63304-622-01 ,atenolol 50 MG Tabs 100 Each Bottle,1,Each,$12.00
0378-2063-01 ,atenolol-chlorthalidone 50-25 MG Tabs 100 Each Bottle,1,Each,$13.00
0904-6290-61 ,atorvaSTATin 10 MG Tabs 100 Each Box,1,Each,$11.50
68084-098-11 ,atorvaSTATin 20 MG Tabs 1 Each Blister,1,Each,$12.00
0904-6291-61 ,atorvaSTATin 20 MG Tabs 100 Each Box,1,Each,$12.00
0904-6292-61 ,atorvaSTATin 40 MG Tabs 100 Each Box,1,Each,$12.00
0071-0157-23 ,atorvaSTATin 40 MG Tabs 90 Each Bottle,1,Each,$72.00
0517-0401-25 ,atropine 0.4 MG/ML Soln 1 mL Vial,1,mL,$68.00
0409-1630-10 ,atropine 1 MG/10ML Sosy 10 mL Syringe,10,mL,$58.50
76329-3339-1 ,atropine 1 MG/10ML Sosy 10 mL Syringe,10,mL,$75.50
0093-2026-31 ,azithromycin 200 MG/5ML Susr 30 mL Bottle,30,mL,$114.00
0781-5776-31 ,AZITHROMYCIN 250 MG PO TABS ,1,Each,$39.00
50268-103-11 ,AZITHROMYCIN 250 MG PO TABS ,1,Each,$37.50
50268-098-11 ,azithromycin 250 MG Tabs 1 Each Blister,1,Each,$37.50
59762-3060-2 ,azithromycin 250 MG Tabs 30 Each Bottle,1,Each,$39.00
0904-6405-06 ,azithromycin 250 MG Tabs 50 Each Box,1,Each,$14.00
0069-3150-84 ,AZITHROMYCIN 500 MG IV SOLR ,1,Each,$62.50
55150-174-10 ,AZITHROMYCIN 500 MG IV SOLR ,1,Each,$76.00
0409-0144-11 ,azithromycin 500 MG Solr 1 Each Vial,1,Each,$79.00
60505-6076-4 ,azithromycin 500 MG Solr 1 Each Vial,1,Each,$107.50
63323-398-10 ,azithromycin 500 MG Solr 1 Each Vial,1,Each,$68.50
63323-398-12 ,azithromycin 500 MG Solr 1 Each Vial,1,Each,$40.50
63323-401-26 ,AZTREONAM 1 G IJ SOLR ,1,Each,$133.50
99999-005-50 ,"BACITRACIN 50,000 UNITS IN SODIUM CHLORIDE 0.9 % 1000 ML SRG IRGTN ",1000,mL,$161.00
99999-011-78 ,"BACITRACIN 50,000 UNITS IN SODIUM CHLORIDE 0.9 % 250 ML SRG IRGTN ",250,mL,$161.00
99999-005-49 ,"BACITRACIN 50,000 UNITS IN SODIUM CHLORIDE 0.9 % 500 ML SRG IRGTN ",500,mL,$161.00
14428-00888 ,BACITRACIN 500 UNIT/GM EX OINT 1 GM PACKET ,14,g,$1.50
54162-017-15 ,BACITRACIN 500 UNIT/GM EX OINT 1 GM PACKET ,15,g,$2.50
0168-0111-09 ,bacitracin 500 UNIT/GM Oint 1 Each Package,1,Each,$0.50
45802-060-70 ,bacitracin 500 UNIT/GM Oint 1 Each Package,1,Each,$0.50
54162-017-09 ,bacitracin 500 UNIT/GM Oint 1 Each Packet,1,Each,$0.50
0168-0011-35 ,bacitracin 500 UNIT/GM Oint 14.17 g Tube,14.17,g,$4.00
39822-0277-2 ,bacitracin 50000 units Solr 1 Each Vial,1,Each,$64.50
0081-0798-88 ,bacitracin-polymyxin b 500-10000 UNIT/GM Oint 14.2 g Tube,14.2,g,$5.00
24208-785-55 ,BACITRA-NEOMYCIN-POLYMYXIN-HC 1 % OP OINT ,3.5,g,$164.00
0904-6475-61 ,baclofen 10 MG Tabs 100 Each Box,1,Each,$12.00
0054-0079-28 ,balsalazide 750 MG Caps 280 Each Bottle,1,Each,$13.00
60505-2575-7 ,BALSALAZIDE DISODIUM 750 MG PO CAPS ,1,Each,$13.00
59310-204-12 ,beclomethasone 80 MCG/ACT Aers 8.7 g Inhaler,8.7,g,$501.00
0283-0679-02 ,benzocaine 20 % Aero 57 g Can,57,g,$30.50
63824-713-16 ,BENZOCAINE-MENTHOL 15-3.6 MG MT LOZG ,1,Each,$0.50
78112-01106 ,benzocaine-menthol 6-10 MG Lozg 18 Each Box,1,Each,$0.50
67877-573-01 ,BENZONATATE 100 MG PO CAPS ,1,Each,$14.00
0517-0720-01 ,betamethasone acetate-betamethasone sodium phosphate 6 (3-3) MG/ML Susp 5 mL Vial,5,mL,$182.00
0168-0033-15 ,betamethasone valerate 0.1 % Oint 15 g Tube,15,g,$83.50
0832-0512-89 ,bethanechol 25 MG Tabs 1 Each Blister,1,Each,$14.00
48582-51201 ,biotene oralbalance dry mouth Gel 42 g Tube,42,g,$6.00
49741-00061 ,BIOTENE ORALBALANCE DRY MOUTH MT GEL ,14.2,g,$5.00
0713-0109-06 ,bisacodyl 10 MG Supp 1 Each Box,1,Each,$0.50
0713-0109-50 ,bisacodyl 10 MG Supp 50 Each Box,1,Each,$0.50
0536-3381-10 ,BISACODYL 5 MG PO TBEC ,1,Each,$0.50
0904-6407-61 ,BISACODYL 5 MG PO TBEC ,1,Each,$0.50
0093-6815-45 ,budesonide 0.25 MG/2ML Susp 2 mL Plas Cont,2,mL,$44.50
0093-6815-73 ,budesonide 0.25 MG/2ML Susp 2 mL Plas Cont,2,mL,$44.50
0186-1988-04 ,budesonide 0.25 MG/2ML Susp 2 mL Plas Cont,2,mL,$48.50
0093-6816-73 ,budesonide 0.5 MG/2ML Susp 2 mL Plas Cont,2,mL,$50.50
0186-1989-04 ,budesonide 0.5 MG/2ML Susp 2 mL Plas Cont,2,mL,$55.00
0186-0370-28 ,BUDESONIDE-FORMOTEROL FUMARATE 160-4.5 MCG/ACT IN AERO ,6,g,$491.50
63323-472-37 ,bupivacaine (PF) 0.75 % Soln 30 mL Vial,30,mL,$65.00
0409-1587-50 ,bupivacaine 0.25% 0.25 % Soln 50 mL Vial,50,mL,$62.00
0409-1162-01 ,bupivacaine 0.5 % Soln 10 mL Vial,10,mL,$39.50
0409-1560-10 ,bupivacaine 0.5 % Soln 10 mL Vial,10,mL,$41.50
0409-1162-02 ,bupivacaine 0.5 % Soln 30 mL Vial,30,mL,$39.00
0409-1761-02 ,bupivacaine 0.75% in dextrose 8.25% (intrathecal) 0.75-8.25 % Soln 2 mL Ampule,2,mL,$56.00
0409-1159-01 ,Bupivacaine HCl 0.25 % Soln 10 mL Vial,10,mL,$39.00
0409-1159-02 ,Bupivacaine HCl 0.25 % Soln 30 mL Vial,30,mL,$39.00
65250-266-20 ,bupivacaine liposome 1.3 % Susp 20 mL Vial,20,mL,$717.50
0409-1746-70 ,bupivacaine-epinephrine 0.25% -1:200000 Soln 10 mL Vial,10,mL,$41.50
0409-9042-17 ,bupivacaine-epinephrine 0.25% -1:200000 Soln 30 mL Vial,30,mL,$40.50
0409-9045-01 ,bupivacaine-epinephrine 0.5% -1:200000 Soln 10 mL Vial,10,mL,$40.00
0378-0923-93 ,buprenorphine 2 MG Subl 30 Each Bottle,1,Each,$35.50
0054-0176-13 ,BUPRENORPHINE HCL 2 MG SL SUBL ,1,Each,$35.00
0054-0177-13 ,BUPRENORPHINE HCL 8 MG SL SUBL ,1,Each,$58.50
12496-1208-1 ,BUPRENORPHINE HCL-NALOXONE HCL 8-2 MG SL FILM ,1,Each,$65.50
51079-944-01 ,buPROPion 100 MG Tabs 1 Each Blister,1,Each,$13.00
0173-0135-55 ,buPROPion 150 MG Tb12 60 Each Bottle,1,Each,$42.00
67767-141-30 ,buPROPion 150 MG Tb24 30 Each Bottle,1,Each,$30.00
0115-6811-10 ,buPROPion 150 MG Tb24 90 Each Bottle,1,Each,$30.00
51079-943-01 ,BUPROPION HCL 75 MG PO TABS ,1,Each,$13.00
0904-6585-61 ,BUPROPION HCL ER (SR) 150 MG PO TB12 ,1,Each,$12.00
0904-6573-04 ,BUPROPION HCL ER (XL) 300 MG PO TB24 ,1,Each,$14.00
51079-986-01 ,busPIRone 10 MG Tabs 1 Each Blister,1,Each,$12.50
0378-1150-01 ,busPIRone 10 MG Tabs 100 Each Bottle,1,Each,$12.50
0591-0658-01 ,busPIRone 10 MG Tabs 100 Each Bottle,1,Each,$12.50
51079-985-01 ,busPIRone 5 MG Tabs 1 Each Blister,1,Each,$12.00
68382-180-01 ,busPIRone 5 MG Tabs 100 Each Bottle,1,Each,$12.00
0591-0657-05 ,busPIRone 5 MG Tabs 500 Each Bottle,1,Each,$12.00
49884-725-01 ,busPIRone 7.5 MG Tabs 100 Each Bottle,1,Each,$13.00
0143-1787-01 ,butalbital-acetaminophen-caffeine 50-325-40 MG Tabs 100 Each Bottle,1,Each,$13.00
0527-1695-01 ,butalbital-acetaminophen-caffeine 50-325-40 MG Tabs 100 Each Bottle,1,Each,$13.00
0603-2544-21 ,butalbital-acetaminophen-caffeine 50-325-40 MG Tabs 100 Each Bottle,1,Each,$13.00
0904-6538-06 ,butalbital-acetaminophen-caffeine 50-325-40 MG Tabs 50 Each Box,1,Each,$13.50
51991-073-01 ,butalbital-acetaminophen-caffeine-codeine 50-325-40-30 MG Caps 100 Each Bottle,1,Each,$32.50
0409-1623-01 ,butorphanol 1 MG/ML Soln 1 mL Vial,1,mL,$47.00
0093-5420-88 ,cabergoline 0.5 MG Tabs 8 Each Bottle,1,Each,$119.50
99999-000-85 ,caffeine citrate 20 mg/ml Soln 1 mL Syringe,1,mL,$20.50
47335-289-40 ,caffeine citrated 60 MG/3ML Soln 3 mL Vial,3,mL,$155.00
51754-0500-1 ,caffeine citrated 60 MG/3ML Soln 3 mL Vial,3,mL,$122.00
51754-0502-1 ,caffeine citrated 60 MG/3ML Soln 3 mL Vial,3,mL,$122.00
55150-187-03 ,caffeine citrated 60 MG/3ML Soln 3 mL Vial,3,mL,$155.00
63323-407-03 ,caffeine citrated 60 MG/3ML Soln 3 mL Vial,3,mL,$137.50
66993-877-61 ,CALCIPOTRIENE 0.005 % EX CREA ,60,g,$774.00
0904-1257-92 ,calcium carbonate 500 MG Chew 150 Each Bottle,1,Each,$0.50
66553-004-01 ,calcium carbonate 500 MG Chew 500 Each Box,1,Each,$0.50
0904-3233-52 ,CALCIUM CARBONATE-VITAMIN D 600-400 MG-UNIT PO TABS ,1,Each,$0.50
53150-697-01 ,calcium chloride 10 % Soln 10 mL Syringe,10,mL,$125.50
0517-2710-25 ,calcium chloride 10 % Soln 10 mL Vial,10,mL,$119.50
0904-5272-60 ,calcium citrate-vitamin D 315-250 MG-UNIT Tabs 100 Each Bottle,1,Each,$0.50
16500-53505 ,calcium citrate-vitamin D 315-250 MG-UNIT Tabs 120 Each Bottle,1,Each,$0.50
63323-360-01 ,CALCIUM GLUCONATE 10 % IV SOLN ,10,mL,$76.00
63323-311-19 ,calcium gluconate 10 % Soln 10 mL Vial,10,mL,$67.00
61553-054-75 ,calcium gluconate-NaCl 1-0.9 GM/50ML-% Sosy 50 mL Syringe,50,mL,$89.50
0536-3424-08 ,calcium-cholecalciferol 600-400 MG-UNIT Tabs 60 Each Bottle,1,Each,$0.50
0904-6172-61 ,carBAMazepine 200 MG Tabs 100 Each Box,1,Each,$12.50
0009-0856-05 ,carboprost 250 MCG/ML Soln 1 mL Ampule,1,mL,$802.50
0009-0856-08 ,carboprost 250 MCG/ML Soln 1 mL Ampule,1,mL,$802.50
0023-0403-70 ,CARBOXYMETHYLCELLULOSE SOD PF 0.5 % OP SOLN ,1,Each,$0.50
0904-6302-61 ,carvedilol 12.5 MG Tabs 100 Each Box,1,Each,$13.50
0904-6300-61 ,CARVEDILOL 3.125 MG PO TABS ,1,Each,$13.50
0904-6301-61 ,carvedilol 6.25 MG Tabs 100 Each Box,1,Each,$13.50
0264-3103-11 ,ceFAZolin 1 g Solr 1 Each Flex Cont,1,Each,$55.50
0143-9924-90 ,ceFAZolin 1 g Solr 1 Each Vial,1,Each,$38.50
0409-2585-01 ,ceFAZolin 1 g Solr 1 Each Vial,1,Each,$40.00
60505-6093-5 ,ceFAZolin 1 g Solr 1 Each Vial,1,Each,$39.50
0143-9261-01 ,ceFAZolin 10 g Solr 1 Each Vial,1,Each,$73.00
60505-6094-0 ,ceFAZolin 10 g Solr 1 Each Vial,1,Each,$114.50
60505-6094-1 ,ceFAZolin 10 g Solr 1 Each Vial,1,Each,$114.50
0264-3105-11 ,ceFAZolin 2 GM Solr 1 Each Flex Cont,1,Each,$76.00
99900-009-07 ,ceFAZolin in 100 mL NS Inj 1 Each Bag,1,Each,$99.00
0143-9262-01 ,CEFAZOLIN SODIUM 1 G IJ SOLR ,1,Each,$38.50
65862-177-60 ,CEFDINIR 300 MG PO CAPS ,1,Each,$29.50
60505-0834-4 ,ceFEPIme 1 g Solr 1 Each Vial,1,Each,$109.00
60505-6144-0 ,CEFEPIME HCL 1 G IJ SOLR ,1,Each,$109.00
60505-6146-0 ,CEFEPIME HCL 1 G IJ SOLR ,1,Each,$109.00
0039-0018-10 ,cefoTAXime 1 g Solr 1 Each Vial,1,Each,$39.00
0143-9931-01 ,cefoTAXime 1 g Solr 1 Each Vial,1,Each,$39.50
60505-0759-5 ,ceFOXItin 1 g Solr 1 Each Vial,1,Each,$77.00
0264-3123-11 ,ceFOXItin 1-4 GM-%(50ML) Solr 1 Each Flex Cont,1,Each,$83.50
60505-6026-5 ,ceFOXItin 2 g Solr 1 Each Vial,1,Each,$117.00
0264-3125-11 ,ceFOXItin 2-2.2 GM-%(50ML) Solr 1 Each Flex Cont,1,Each,$122.50
44567-246-25 ,CEFOXITIN SODIUM 2 G IV SOLR ,1,Each,$88.00
44567-246-85 ,CEFOXITIN SODIUM 2 G IV SOLR ,1,Each,$62.50
0409-5082-52 ,cefTAZidime 1 g Solr 1 Each Vial,1,Each,$41.00
44567-235-25 ,cefTAZidime 1 g Solr 1 Each Vial,1,Each,$56.00
0409-7332-01 ,cefTRIAXone 1 g Solr 1 Each Vial,1,Each,$39.00
0781-3208-85 ,cefTRIAXone 1 g Solr 1 Each Vial,1,Each,$172.50
0781-9328-95 ,cefTRIAXone 1 g Solr 1 Each Vial,1,Each,$172.50
99999-010-15 ,CEFTRIAXONE 1 GM/50ML NS ADD-VANTAGE ,1,g,$65.50
0264-3153-11 ,cefTRIAXone 1-3.74 GM-% Solr 1 Each Flex Cont,1,Each,$86.50
0264-3155-11 ,cefTRIAXone 2-2.22 GM-%(50ML) Solr 1 Each Flex Cont,1,Each,$114.50
0409-7337-01 ,cefTRIAXone 250 MG Solr 1 Each Vial,1,Each,$38.00
60505-0750-4 ,cefTRIAXone 250 MG Solr 1 Each Vial,1,Each,$89.50
68330-005-01 ,CEFTRIAXONE SODIUM 1 G IV SOLR ,1,Each,$175.00
0409-7333-49 ,Ceftriaxone Sodium 1 g Solr 1 Each Vial,1,Each,$41.50
0409-7334-10 ,CEFTRIAXONE SODIUM 10 G IV SOLR ,1,Each,$109.50
0781-3210-46 ,CEFTRIAXONE SODIUM 10 G IV SOLR ,1,Each,$844.00
65862-699-20 ,CEFUROXIME AXETIL 250 MG PO TABS ,1,Each,$15.50
65862-699-60 ,CEFUROXIME AXETIL 250 MG PO TABS ,1,Each,$15.50
0025-1525-34 ,celecoxib 200 MG Caps 100 Each Box,1,Each,$62.50
0904-6503-61 ,celecoxib 200 MG Caps 100 Each Box,1,Each,$38.00
60687-163-11 ,cephALEXin 500 MG Caps 1 Each Blister,1,Each,$12.50
0093-3147-01 ,cephALEXin 500 MG Caps 100 Each Bottle,1,Each,$12.50
51079-597-01 ,cetirizine 10 MG Tabs 1 Each Blister,1,Each,$2.50
0904-5852-61 ,cetirizine 10 MG Tabs 100 Each Box,1,Each,$2.50
51079-597-20 ,cetirizine 10 MG Tabs 100 Each Box,1,Each,$2.50
45802-919-39 ,cetirizine 10 MG Tabs 30 Each Bottle,1,Each,$0.50
36600-81481 ,CHAPSTICK EX STCK ,4,g,$1.50
67618-200-04 ,chlorhexidine 4 % Liqd 118 mL Bottle,118,mL,$7.00
0116-2001-16 ,CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN ,473,mL,$48.00
63323-478-27 ,chloroprocaine (PF) 3 % Soln 20 mL Vial,20,mL,$116.00
65649-311-12 ,chlorothiazide 250 MG/5ML Susp 237 mL Bottle,237,mL,$205.50
51079-058-01 ,CHLORTHALIDONE 25 MG PO TABS ,1,Each,$13.50
0536-3334-01 ,cholecalciferol 1000 UNIT Tabs 100 Each Bottle,1,Each,$0.50
0904-5824-61 ,cholecalciferol 1000 UNIT Tabs 100 Each Box,1,Each,$0.50
0087-0866-44 ,cholecalciferol 400 UNIT/ML Liqd 50 mL Bottle,50,mL,$9.00
51079-182-01 ,CIPROFLOXACIN HCL 500 MG PO TABS ,1,Each,$29.50
0409-4777-02 ,CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN ,200,mL,$40.50
