Charge Code,Description,CPT/HCPCS,Fee
0419T,"DSTRJ NEUROFIBROMATA XTNSV, GT 50 - FAC",0419T,"$1,243.00 "
0420T,DSTRJ NEUROFIBROMATA XTNSV - FAC,0420T,"$1,243.00 "
0422T,TACTILE BREAST IMG UNI/BI - FAC,0422T,$272.00 
0423T,ASSAY SECRETORY TYPE II PLA2 - TECH,0423T,NA
0424T,INSJ/RPLC NSTIM APNEA COMPL - FAC,0424T,"$20,538.00 "
0425T,INSJ/RPLC NSTIM APNEA SEN LD - FAC,0425T,"$8,400.00 "
0426T,INSJ/RPLC NSTIM APNEA STM LD - FAC,0426T,"$12,751.00 "
0427T,INSJ/RPLC NSTIM APNEA PLS GN - FAC,0427T,"$12,751.00 "
0428T,RMVL NSTIM APNEA PLS GEN - FAC,0428T,"$6,343.00 "
0429T,RMVL NSTIM APNEA SEN LD - FAC,0429T,"$6,343.00 "
0430T,RMVL NSTIM APNEA STIMJ LD - FAC,0430T,"$6,343.00 "
0431T,RMVL/RPLC NSTIM APNEA PLS GN - FAC,0431T,"$12,751.00 "
0432T,REPOS NSTIM APNEA STIMJ LD - FAC,0432T,"$6,343.00 "
0433T,REPOS NSTIM APNEA SENSING LD - FAC,0433T,"$6,343.00 "
0434T,INTERRO EVAL NPGS SLEEP APNE - FAC,0434T,$333.00 
0435T,PRGRMG EVAL NPGS APNEA 1 SES - FAC,0435T,$333.00 
0436T,PRGRMG EVAL NPGS APNEA STUDY - FAC,0436T,"$2,636.00 "
0440T,"ABLATION, PERC, CRYOABL, UPPER EXTREM/PERIPH NERVE",0440T,"$5,343.00 "
0441T,"ABLATION, PERC, CRYOABL, LOWER EXTREM/PERIPH NERVE",0441T,"$5,343.00 "
0442T,"ABLATION, PERC, CRYOABL, PLEXUS/TRUNCAL NERVE",0442T,"$5,343.00 "
0443T,REAL TIME SPECTRAL ANALYSIS OF PROSTATE TISSUE,0443T,"$3,998.00 "
0446T,INSJ IMPLTBL GLUCOSE SENSOR,0446T,"$1,285.00 "
0447T,RMVL IMPLTBL GLUCOSE SENSOR - FAC,0447T,$398.00 
0448T,REMVL INSJ IMPLTBL GLUC SENS - FAC,0448T,"$1,285.00 "
0449T,INSJ AQUEOUS DRAIN DEV 1ST - FAC,0449T,"$4,468.00 "
0450T,INSJ AQUEOUS DRAIN DEV EACH ADDL - FAC,0450T,"$1,850.00 "
0453T,INSJ/RPLCMT MECH-ELEC NTRFCE - FAC,0453T,"$9,115.00 "
0454T,INSJ/RPLCMT SUBQ ELECTRODE - FAC,0454T,"$9,115.00 "
0457T,REMVL MECH-ELEC SKIN NTRFCE - FAC,0457T,"$5,187.00 "
0458T,REMVL SUBQ ELECTRODE - FAC,0458T,"$5,187.00 "
0460T,REPOS AORTIC VENTR DEV ELTRD - FAC,0460T,"$5,662.00 "
0462T,PRGRMG EVAL AORTIC VENTR SYS - FAC,0462T,$771.00 
0463T,INTERROG AORTIC VENTR SYS - FAC,0463T,$771.00 
0464T,VISUAL EP TEST FOR GLAUCOMA,0464T,$388.00 
0465T,SUPCHRDL NJX RXW/O SUPPLY - FAC,0465T,$792.00 
0466T,INSJ CHWAL RESPIR ELTRD/RA - FAC,0466T,"$6,990.00 "
0467T,REVJ/RPLMNT CH RESPIR ELTRD - FAC,0467T,"$6,990.00 "
0468T,RMVL CHWAL RESPIR ELTRD/RA - FAC,0468T,"$6,990.00 "
0470T,OCT SKN IMG ACQUISJ I&R 1ST - TECH,0470T,NA
0471T,OCT SKN IMG ACQUISJ I&R ADDL - TECH,0471T,NA
0472T,PRGRMG IO RTA ELTRD RA - FAC,0472T,$685.00 
0473T,REPRGRMG IO RTA ELTRD RA - FAC,0473T,$302.00 
0474T,INSJ AQUEOUS DRG DEV IO RSVR - FAC,0474T,"$3,934.00 "
0476T,REC FTL CAR SGL ELEC TR DATA - FAC,0476T,$275.00 
0477T,REC FTL CAR SGL XRTJ ALYS - FAC,0477T,$275.00 
0479T,FXJL ABL LSR 1ST 100 SQ CM - FAC,0479T,$813.00 
0480T,FXJL ABL LSR EA ADDL 100SQCM - FAC,0480T,$407.00 
0481T,NJX AUTOL WBC CONCENTRATE - FAC,0481T,$863.00 
0482T,ABSL QUAN MYOCRD BLD FLO PET - TECH,0482T,NA
0485T,OCT MID EAR I&R UNILATERAL - TECH,0485T,$84.00 
0486T,OCT MID EAR I&R BILATERAL - TECH,0486T,$84.00 
0487T,TRVG BIOMCHN MAPG W/REPRT - FAC,0487T,$275.00 
0491T,ABL LSR OPN WND 1ST 20 SQCM - FAC,0491T,$813.00 
0492T,ABL LSR OPN WND ADDL 20 SQCM - FAC,0492T,$407.00 
0497T,XTRNL PT ACT ECG IN-OFF CONN,0497T,$99.00 
0500T,HPV 5+ HI RISK HPV TYPES - TECH,0500T,NA
0502T,COR FFR DATA PREP & TRANSMIS,0502T,$224.00 
0503T,COR FFR ALYS GNRJ FFR MDL,0503T,"$3,793.00 "
5210,"INJ, MMRV VACC LIVE SUBCUTANEOUS USE, PER DOSE (NON STATE)",90710,$295.88 
5211,"INJ, VACC DTAP-HEPB-IPV (PEDIARIX), PER DOSE (NON STATE)",90723,$138.32 
5452,"INJ, POLIOVIRUS VACC INACT IPV SC USE, PER VAC (NON STATE)",90713,$39.24 
5476,"INJ, MMR VACC LIVE SUBCUTANEOUS USE, PER DOSE (NON STATE)",90707,$120.26 
5480,"INJ, DTAP VAC FOR LESS THAN 7 YEARS, PER DOSE (NON STATE)",90700,$39.32 
5481,"INJ, HEP B VACC PED/ADOL 3 DOSE SCHD, PER DOSE NON STATE",90744,$28.10 
5486,"INJ, VARICELLA VACC LIVE SC USE, PER DOSE (NON STATE)",90716,$218.88 
5620,"INJ, MENINGOCOCCAL RP W/OMV IM, PER VACCINE (NON-STATE)",90620,$256.10 
5621,"INJ, MENB RLP VAC SEROGROUP B 3 DOSE, PER VAC NON-STATE",90621,$204.52 
5633,"INJ, HEP A VACC PED DOSE IM USE, PER VAC (NON-STATE)",90633,$53.84 
5648,"HEMOPHILUS INFLUENZA B VACC (HIB), PRP-T CONJUGATE",90648,$19.00 
5651,"INJ, HPV VIRUS VACCINE 9 VAL IM, PER DOSE (NON-STATE)",90651,$345.12 
5670,"INJ, PNEUMOCOCCAL VACC 13 VAL IM USE, PER DOSE (NON STATE)",90670,$328.74 
5680,"ORAL, ROTOVIRUS VACCINE 3 DOSE SCHEDULE, PER VAC NON STATE",90680,$130.72 
5686,"INJ, FLU VAC, QUAD, SPLIT VIRUS, PF, GE 3YRS, IM(NON-STATE)",90686,$27.00 
5696,"INJ, DTAP-IPV VACC 4-6 YR FOR IM USE, PER DOSE (NON STATE)",90696,NA
5698,"INJ, DTAP-IPV/HIB VACCINE FOR IM USE, PER DOSE (NON STATE)",90698,$114.20 
5732,"INJ, PNEMOL VAC 23 VAL ADULT DOSE 2YR OR OLDER, NON STATE",90732,$158.56 
5734,"INJ, MENINGOCOCCAL CONJUGATE 4 VAL, PER DOSE NON STATE",90734,$190.72 
5746,"INJ, HEP B VACC, ADULT 3 DOSE SCHD, PER DOSE (NON STATE)",90746,$96.88 
5765,"INJ, TDAP VACC GREATER THAN 7 SC USE, PER DOSE (NON STATE)",90715,$60.28 
5775,"INJ, TD VACC NO PRSRV GT OR EQ 7, PER DOSE (NON STATE)",90714,$44.26 
5820,"INJ, H PAPILLOMA VACC 4 VALENT IM USE, PER VAC (NON-STATE)",90649,$284.82 
6541,"ADULT SPEECH THERAPY,REDUCED TIME (30 MINS)",92507,$177.00 
6571,"PEDIATRIC SPEECH THERAPY,REDUCED TIME (30 MINS) - -FAC",92507,$177.00 
6572,"PEDIATRIC SPEECH THERAPY,STANDARD TIME PLUS (60 MINS) - -FAC",92507,$354.00 
6840,NO CHARGE VISIT--FAC,,$0.00 
7176,URINARY LEG BAG,,$13.00 
7506,"TRANSRECTAL ULTRASOUND, PROSTATE - TECH ONLY",76872,$598.00 
7517,REMOVAL OF BREAST BALLOON CATHETER - FAC,19499,$245.00 
7521,INSERTION OF VAGINAL CYLINDER,58999,$252.00 
7522,CONE BEAM CT,77014,$452.00 
8199,INFLAMMADRY POC TEST FOR DRY EYES,83516,$57.00 
8201,IMMUNOASSAY FOR TUMOR ANTIGEN  -  TECH,86316,$110.00 
8213,"CELL COUNT, MISCELLANEOUS BODY FLUIDS; W/DIFFERENTIAL CT",89051,$33.00 
8243,ANTIHUMAN GLOBULIN TEST; INDIRECT TITER,86886,$541.00 
8244,"NEPHELOMETRY, EACH ANALYTE, NOS (UNLISTED)",83883,$80.00 
8251,PROTOPORHYRIN-RBC QUANT,84202,$70.00 
8266,EOSINOPHIL COUNT ABSOLUTE,85999,$21.00 
8300,OCC.MED.  PROFILE #2A - TECH,84999,$51.00 
8302,PREP OF LEUKO REDUCED PLATELETS BY  FILTRATION - TECH,P9031,$224.00 
8306,"PLASMA,SINGLE DONOR, FRESH FROZEN,EACH UNIT,250CC - TECH",P9017,$136.00 
8311,CRYOPRECIPITATED ANTIHEMOPHILIC  FACTOR/UNIT - TECH,P9012,$116.00 
8312,PREPARATION OF REDUCED VOLUME  PLATELETS - TECH,86999,$252.00 
8313,LEUKOCYTE REMOVAL  BY FILTRATION - TECH,P9016,$466.00 
8314,"RED BLOOD CELLS, EACH UNIT - TECH",P9021,$466.00 
8316,BACTERIAL  CULTRE - TECH,87081,$40.00 
8317,"RADIOLOGICAL EXAM, SURGICAL SPECIMEN",76098,$646.00 
8318,ARTERIAL  PUNCTURE - TECH,36600,$376.00 
8320,ZONISAMIDE (ZONEGRAN) LEVEL - TECH,80299,$81.00 
8321,TOCAINIDE LEVEL - TECH,80299,$81.00 
8322,SULFAMETHOXAZOLE LEVEL - TECH,80299,$81.00 
8323,METHOTREXATE LEVEL - TECH,80299,$81.00 
8325,CEPHLEXIN LEVEL - TECH,80299,$81.00 
8326,CAFFEINE LEVEL - TECH,80299,$81.00 
8327,SOTALOL LEVEL - TECH,80299,$81.00 
8329,LAMOTRIGINE LEVEL  - TECH,80299,$81.00 
8331,GABAPENTIN LEVEL - TECH,80299,$81.00 
8332,LEVETIRACETAM LEVEL - TECH,80299,$81.00 
8333,FUROSEMIDE (LASIX) LEVEL - TECH,80299,$81.00 
8335,FENTANYL LEVEL - TECH,80299,$81.00 
8336,TRAZODONE LEVEL - TECH,80299,$81.00 
8337,ITRACONAZOLE LEVEL - TECH,80299,$81.00 
8339,PROTRIPTYLINE LEVEL - TECH,80299,$81.00 
8340,TRICYCLICS LEVEL - TECH,80299,$81.00 
8341,OXCARBAZEPINE (TRILEPTAL) LEVEL - TECH,80299,$81.00 
8342,GROSS HEMOLYSIS URINE - TECH,81099,NA
8350,URIN TEST - TECH,84703,$32.00 
8353,"CULTURE, VIRAL - TECH",87491,$97.00 
8354,"VIRUS IDENTIFICATION,  TISSUE CULTURE - TECH",87252,$127.00 
8400,"CYTOPATHOLOGY,CERVCL OR VAGNL,COLLCTD IN PRESRVTV FLUID",G0123,$85.00 
8417,"INFECT AGENT DETECT BY NUCLEIC ACID, NEISSERIA GONO",87591,$97.00 
8418,PROSTATE SPECIFIC ANTIGEN SCREENING,G0103,$72.00 
8432,MYGLOBIN,83874,$76.00 
8448,C-REACTIVE PROTN,86140,$25.00 
8451,PROGESTRNE,84144,$83.00 
8452,CALCM IONIZED,82330,$60.00 
8456,BETA HCG QUANT,84702,$61.00 
8459,CAROTENE-TECH,82380,$45.00 
8465,"CYTOPATH, FLUIDS, WASHING, SMEARS W/INTERP - TECH",88104,$189.00 
8466,HELICOBACTER PYLORI,86677,$73.00 
8468,"CYTOPATHOLOGY, EVAL OF FNA, INTERP AND REPORT",88173,$316.00 
8469,"LEVEL IV, SURGICAL PATHOLOGY GROSS AND MICROSCOPIC EXAM-TECH",88305,$160.00 
8478,PREALBUMN,84134,$58.00 
8481,TOPRAMATE,80201,$71.00 
8482,AMYLAS,82150,$30.00 
8490,"ASCORBIC ACID (VITAMIN C), BLOOD",82180,$58.00 
8494,BB RBC SEPARATION FOR PHENOTYE,86972,$369.00 
8495,BB LECTIN PANEL,86999,$252.00 
8496,PLATELET CONCENTRATE BY APHERESIS,P9035,"$1,173.00 "
8498,ELECTRONIC CROSSMATCH,86923,$214.00 
8500,"PLTS, LEUKO REDUCED, IRRADIATED",P9033,$236.00 
8501,"PLTS, APHERESIS, LEUKO REDUCED, IRR",P9037,"$1,233.00 "
8503,"RBC, LEUKO REDUCED, IRRADIATED",P9040,$526.00 
8504,"RBC, LEUKO REDUCED, CMV NEG",P9051,$606.00 
8505,"PLTS, APHERESIS, LEUKO REDUCED, IRR, CMV NEG",P9053,"$1,373.00 "
8506,"PLTS, APHERESIS, LEUKO REDUCED CMV NEG",P9055,"$1,313.00 "
8507,"RBC, LEUKO REDUCED, CMV NEG, IRR",P9058,$666.00 
8510,"IMMUNOHISTO/CYTOCHEMISTRY, EACH ANTIBODY",88342,$488.00 
8513,BK DNA CATEGORY REF LAB TECH,87799,$226.00 
8514,HIV 1-2 ANTIBODY/HIV 1 ANTIGEN,86849,$67.00 
8515,"SPECIAL STAINS:GROUP II (MICROORG), EACH",88313,$202.00 
8516,"CYTOPATHOLOGY-CONCENTRATION,SMEARS AND INTERP",88108,$236.00 
8517,"LEVEL IV-SURGICAL PATHOLOGY,GROSS & MICROSCOPIC EXAM",88305,$160.00 
8518,JC DNA,87799,$226.00 
8524,MYCOPHENOLIC ACID LEVEL,80299,$81.00 
8526,EBV QUANTITATION BY PCR,87799,$226.00 
8527,HHV8 QUANTITATION BY PCR,87799,$226.00 
