Supply Name,Calculated Charge
SCREW BONE L24 MM OD2 MM SELF TAPPING CORTICAL STAINLESS STEEL NONSTERILE,$166.77
ROD EXTERNAL FIXATION L45MM OD3MM CARBON FIBER F/ MINI FIXATOR,$225.00
ROD EXTERNAL FIXATION L60 MM OD3 MM CARBON FIBER F/MINI FIXATOR,$225.00
ROD EXTERNAL FIXATION L75 MM OD3 MM CARBON FIBER F/MINI FIXATOR,$225.00
CLAMP EXTERNAL FIXATION OD1.25MM HOLDING,"$3,523.38"
CLAMP EXTERNAL FIXATION OD1.6MM HOLDING,"$3,523.38"
CLAMP EXTERNAL FIXATION 3X3 MM CONNECTING COUPLING PIN TO ROD,"$3,273.97"
CLAMP EXTERNAL FIXATION 3X4 MM CONNECTING COUPLING PIN TO ROD,"$3,273.97"
4.0MM CARBON FIBER ROD 80MM,$174.00
ROD EXTERNAL FIXATION L220 MM OD4 MM CONNECTING STAINLESS STEEL NONSTERILE,$248.54
CAP PROTECTIVE BLACK F/ 8MM CARBON FIBER ROD,$11.16
ROD EXTERNAL FIXATION L200 MM OD8 MM CONNECTING DISTAL RADIAL CARBON FIBER NONSTERILE,$796.22
ROD EXTERNAL FIXATION L320 MM OD8 MM CONNECTING CARBON FIBER NONSTERILE REUSABLE,$800.41
CLAMP EXTERNAL FIXATION MEDIUM SELF HOLDING CLIP ON COMBINATION NONSTERILE REUSABLE,"$2,640.57"
CLAMP EXTERNAL FIXATION MEDIUM SELF HOLDING CLIP ON NONSTERILE,"$2,177.37"
WIRE BONE FIXATION 1.6X100MM STAINLESS STEEL NON STERILE 292903,$58.50
SCREW SPINAL L125 MM L50 MM OD5 MM THREADED BLUNT TROCAR TIP SCHANZ STAINLESS STEEL NONSTERILE F/LARGE EXTERNAL FIXATOR,$408.61
SCREW SPINAL L250 MM L50 MM OD5 MM THREADED BLUNT TROCAR TIP SCHANZ STAINLESS STEEL NONSTERILE F/LARGE EXTERNAL FIXATOR,$476.05
SCREW BONE CORTICAL 3.5X46MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 204846,$117.63
SCREW BONE CORTICAL 3.5X85MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 204885,$117.63
SCREW BONE 3.5X32MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL RADIAL HAND 205032,$914.16
SCREW BONE 3.5X28MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205228,$914.16
SCREW BONE 3.5X40MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205240,$914.16
SCREW BONE CANCELLOUS 4X85MM NON CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL SMALL FRAGMENT SET LC DCP 207085,$101.61
SCREW BONE 4X44MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207644,$956.28
SCREW BONE CANCELLOUS 4X68MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207768,$956.28
SCREW SPINAL PEDICLE 7X40 SOLID STAINLESS STEEL USS SCHANZ 296792,"$1,508.28"
SCREW BONE CANCELLOUS 7.3X90MM CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR 208890,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X50MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209850,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X70MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209870,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X100MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209900,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X110MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209910,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X115MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209915,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X125MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209925,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X135MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209935,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X140MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209940,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X145MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209945,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X150MM CANNULATED STAINLESS STEEL 32MM THREAD NSTRL 209950,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X30MM CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR 208830,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X80MM CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR 208880,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X115MM CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR 208915,"$1,259.57"
SCREW BONE CANCELLOUS 7.3X120MM CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR 208920,"$1,259.57"
SCREW BONE 4/3X80X20MM STAINLESS STEEL PARTIAL THREAD NON STERILE HUMERUS ULNA SCHANZ XXXXXXXX 294771,$699.32
SCREW SPINAL L125 MM L40 MM OD4 MM SELF DRILLING THREADED SELDRIL SCHANZ STAINLESS STEEL NONSTERILE,$699.32
SCREW SPINAL L175 MM L40 MM OD4 MM SELF DRILLING THREADED SELDRIL SCHANZ STAINLESS STEEL NONSTERILE,$699.32
SCREW BONE 5X175MM STAINLESS STEEL NON STERILE FOR LARGE EXTERNAL FIXATION SYSTEM CONDYLE HIP SCHANZ XXXXXXXX 294785,$791.99
SCREW BONE L42 MM L14 MM OD3.5 MM ODSEC5 MM CANNULATED PARTIALLY THREADED W/ SMALL HEXAGONAL SOCKET CORTICAL STAINLESS STEEL,$914.16
SCREW BONE 3.5X10MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205210,$914.16
SCREW BONE 3.5X12MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205212,$914.16
SCREW BONE 3.5X14MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205214,$914.16
SCREW BONE 3.5X16MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205216,$914.16
SCREW BONE 3.5X18MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205218,$914.16
SCREW BONE L20 MM OD3.5 MM CANNULATED FULLY THREADED NONSTERILE,$914.16
SCREW BONE 3.5X22MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205222,$914.16
SCREW BONE 3.5X24MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205224,$914.16
SCREW BONE 3.5X26MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205226,$914.16
SCREW BONE 3.5X30MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205230,$914.16
SCREW BONE 3.5X32MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205232,$914.16
SCREW BONE 3.5X34MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205234,$914.16
SCREW BONE 3.5X36MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205236,$914.16
SCREW BONE 3.5X38MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205238,$914.16
SCREW BONE 3.5X42MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205242,$914.16
SCREW BONE 3.5X44MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205244,$914.16
SCREW BONE 3.5X46MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205246,$914.16
SCREW BONE 3.5X48MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205248,$914.16
SCREW BONE CANCELLOUS 4X32MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 206032,$97.02
SCREW BONE CANCELLOUS 4X36MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 206036,$97.02
SCREW BONE CORTICAL 2.7X46MM STAINLESS STEEL NSTRL CLAVICLE SCAPULA OLECRANON HUMERUS 202846,$175.86
SCREW BONE CORTICAL 2.7X48MM STAINLESS STEEL NSTRL CLAVICLE SCAPULA OLECRANON HUMERUS 202848,$175.86
SCREW BONE CORTICAL 2.7X10MM STAINLESS STEEL NSTRL FOREFOOT MIDFOOT STARDRIVE 202870,$191.84
SCREW BONE CORTICAL 2.7X20MM STAINLESS STEEL NSTRL ANKLE FOOT STARDRIVE 202880,$191.84
SCREW BONE CORTICAL 2.7X22MM STAINLESS STEEL NSTRL ANKLE FOOT STARDRIVE 202882,$191.84
SCREW BONE CORTICAL 2.7X24MM STAINLESS STEEL NSTRL ANKLE FOOT STARDRIVE 202884,$191.84
SCREW BONE CORTICAL 2.7X26MM STAINLESS STEEL NSTRL ANKLE FOOT STARDRIVE 202886,$191.84
SCREW BONE CORTICAL 2.7X28MM STAINLESS STEEL NSTRL ANKLE FOOT STARDRIVE 202888,$191.84
SCREW BONE CORTICAL 2.7X30MM STAINLESS STEEL NSTRL ANKLE FOOT STARDRIVE 202890,$191.84
SCREW BONE CORTICAL 2.7X10MM NON CANNULATED STAINLESS STEEL NSTRL DISTAL FIBULA HUMERAL SYNTHES 20221,$572.91
SCREW BONE CORTICAL 2.7X20MM NON CANNULATED STAINLESS STEEL FULL THREAD NSTRL DISTAL FIBULA HUMERAL SYNTHES 20222,$572.91
SCREW BONE 2.7X22MM STAINLESS STEEL NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202222,$572.91
SCREW BONE 2.7X26MM STAINLESS STEEL NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202226,$572.91
SCREW BONE 2.7X28MM STAINLESS STEEL NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202228,$572.91
SCREW BONE L40 MM L13 MM OD3.5 MM ODSEC5 MM CANNULATED PARTIALLY THREADED W/ SMALL HEXAGONAL SOCKET CORTICAL STAINLESS STEEL,$914.16
SCREW BONE 3.5X50MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 205250,$914.16
SCREW BONE 4X58MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207658,$956.28
SCREW BONE 4X60MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207660,$956.28
SCREW BONE CANCELLOUS 4X64MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207664,$956.28
SCREW BONE CANCELLOUS 4X68MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207668,$956.28
SCREW BONE CANCELLOUS 4X72MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207672,$956.28
SCREW BONE CANCELLOUS 4X16MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207716,$956.28
SCREW BONE CANCELLOUS 4X18MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207718,$956.28
SCREW BONE CANCELLOUS 4X24MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207724,$956.28
SCREW BONE CANCELLOUS 4X30MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207730,$956.28
SCREW BONE CANCELLOUS 4X50MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207750,$956.28
SCREW BONE CANCELLOUS 4X52MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207752,$956.28
SCREW BONE CANCELLOUS 4X54MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207754,$956.28
SCREW BONE CANCELLOUS 4X56MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207756,$956.28
SCREW BONE CANCELLOUS 4X58MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207758,$956.28
SCREW BONE CANCELLOUS 4X60MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207760,$956.28
SCREW BONE CANCELLOUS 4X64MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207764,$956.28
SCREW BONE CANCELLOUS 4X72MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207772,$956.28
SCREW BONE CORTICAL 2.7X30MM STAINLESS STEEL FULL THREAD NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202230,$572.91
SCREW BONE 2.7X32MM STAINLESS STEEL NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202232,$572.91
SCREW BONE 2.7X34MM STAINLESS STEEL NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202234,$572.91
SCREW BONE 2.7X36MM STAINLESS STEEL NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202236,$572.91
SCREW BONE CORTICAL 3.5X42MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 204842,$117.63
SCREW BONE CORTICAL 3.5X44MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 204844,$117.63
SCREW BONE CORTICAL 3.5X48MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 204848,$117.63
SCREW BONE CORTICAL 3.5X80MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 204880,$117.63
SCREW BONE 3.5X18MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL RADIAL HAND 205018,$914.16
SCREW BONE 3.5 MM DIA 20 MM LENGTH CORTICAL PARTIALLY THREADED CANNULATED SELF-TAPPING NON-LOCKING HEX DRIVE STAINLESS STEEL NON-STERILE,$914.16
SCREW BONE 3.5X24MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL RADIAL HAND 205024,$914.16
SCREW BONE 3.5X26MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL RADIAL HAND 205026,$914.16
SCREW BONE 3.5X30MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL RADIAL HAND 205030,$914.16
SCREW BONE CORTICAL 2.7X42MM STAINLESS STEEL NSTRL CLAVICLE SCAPULA OLECRANON HUMERUS 202842,$175.86
SCREW BONE CORTICAL 2.7X44MM STAINLESS STEEL NSTRL CLAVICLE SCAPULA OLECRANON HUMERUS 202844,$175.86
SCREW BONE L60 MM L16 MM OD4 MM CANNULATED SHORT THREADED CANCELLOUS STAINLESS STEEL,$92.43
SCREW BONE CANCELLOUS 4X65MM STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207065,$101.61
SCREW BONE L70 MM L20 MM OD4 MM CANNULATED SHORT THREADED CANCELLOUS STAINLESS STEEL,$101.61
SCREW BONE CANCELLOUS 4X75MM STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207075,$101.61
SCREW BONE L80 MM L20 MM OD4 MM CANNULATED SHORT THREADED CANCELLOUS STAINLESS STEEL,$101.61
SCREW BONE L90 MM L25 MM OD4 MM CANNULATED SHORT THREADED CANCELLOUS STAINLESS STEEL,$101.61
SCREW BONE CANCELLOUS 4X95MM NON CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL SMALL FRAGMENT SET LCP 207095,$101.61
SCREW BONE CANCELLOUS 4X100MM NON CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL SMALL FRAGMENT SET LC DCP 207100,$101.61
SCREW BONE 4X36MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207636,$956.28
SCREW BONE 4X38MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207638,$956.28
SCREW BONE 4X48MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207648,$956.28
SCREW BONE 4X52MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207652,$956.28
SCREW BONE 4X54MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207654,$956.28
SCREW BONE 4X56MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207656,$956.28
SCREW BONE CORTICAL 2.4X6MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201756,$261.20
SCREW BONE CORTICAL 2.4X8MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201758,$261.20
SCREW BONE CORTICAL 2.4X10MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 20176,$261.20
SCREW BONE CORTICAL 2.4X22MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201772,$261.20
SCREW BONE CORTICAL 2.4X24MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201774,$261.20
SCREW BONE CORTICAL 2.4X26MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201776,$261.20
SCREW BONE CORTICAL 2.4X28MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201778,$261.20
SCREW BONE CORTICAL 2.4X30MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 20178,$261.20
SCREW BONE CORTICAL 2.4X32MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201782,$261.20
SCREW BONE 4.5X22MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 214722,$973.13
SCREW BONE 4.5X34MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 214734,$973.13
PLATE BONE COMPRESSION DISTAL TIBIA CLAVICLE 3.3X25MM STAINLESS STEEL 2 HOLE LOCKING NON STERILE LC DCP 22352,$593.99
SCREW BONE CANCELLOUS 6.5X24X150MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216350,$225.00
SCREW BONE CANCELLOUS 6.5X145X32MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217145,$225.35
WIRE BONE FIXATION 1.25X300MM STAINLESS STEEL NON STERILE 29128,$551.87
SCREW BONE CORTICAL 3.5X40MM TITANIUM FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 404840,$117.63
SCREW BONE CORTICAL 3.5X45MM TITANIUM FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 404845,$117.63
SCREW BONE CORTICAL 3.5X50MM TITANIUM FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 404850,$117.63
SCREW BONE CANCELLOUS 4X20MM TITANIUM FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 406020,$97.02
SCREW BONE CANCELLOUS 4X30MM TITANIUM FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 406030,$97.02
SCREW BONE CANCELLOUS 4X45MM TITANIUM FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 406045,$97.02
SCREW BONE 3.5X42MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 212118,$602.41
SCREW BONE L48 MM OD3.5 MM SELF TAPPING LOCKING STARDRIVE RECESS STAINLESS STEEL  NONSTERILE,$602.41
SCREW BONE CANCELLOUS 6.5X32X120MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217120,$225.35
SCREW BONE CANCELLOUS 6.5X32X125MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217125,$225.35
SCREW BONE CANCELLOUS 6.5X32X130MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217130,$225.35
SCREW BONE CANCELLOUS 6.5X135MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217135,$225.35
SCREW BONE CANCELLOUS 6.5X32X140MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217140,$225.35
SCREW BONE CANCELLOUS 6.5X150MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217150,$225.35
PLATE BONE COMPRESSION PROXIMAL HUMERUS 3.5X59MM STAINLESS STEEL 4 HOLE LOCKING NON STERILE SMALL LCP 223541,"$1,369.13"
PLATE BONE COMPRESSION DISTAL TIBIA CLAVICLE 3.5X77MM STAINLESS STEEL 6 HOLE LOCKING NON STERILE LC DCP 22356,$724.59
PLATE BONE COMPRESSION PROXIMAL HUMERUS 3.5X98MM STAINLESS STEEL 7 HOLE LOCKING NON STERILE SMALL FRAGMENT LCP 223571,"$1,617.63"
PLATE BONE COMPRESSION DISTAL TIBIA CLAVICLE 3.5X103MM STAINLESS STEEL 8 HOLE LOCKING NON STERILE LC DCP 22358,$787.75
PLATE BONE COMPRESSION DISTAL TIBIA CLAVICLE 3.5X142MM STAINLESS STEEL 11 HOLE LOCKING NON STERILE LC DCP 22361,$880.46
PLATE BONE COMPRESSION PROXIMAL HUMERUS 3.5X150MM STAINLESS STEEL 11 HOLE LOCKING NON STERILE SMALL FRAGMENT LCP 223611,"$1,895.68"
PLATE BONE COMPRESSION PROXIMAL HUMERUS 3.5X176MM STAINLESS STEEL 13 HOLE LOCKING NON STERILE SMALL FRAGMENT LCP 223631,"$2,177.37"
PLATE BONE COMPRESSION DISTAL TIBIA CLAVICLE 3.5X181MM STAINLESS STEEL 14 HOLE LOCKING NON STERILE LC DCP 22364,"$1,752.46"
PLATE BONE COMPRESSION DISTAL TIBIA CLAVICLE 3.5X195MM STAINLESS STEEL 15 HOLE LOCKING NON STERILE LC DCP 22365,"$1,832.52"
SCREW BONE CANCELLOUS 6.5X50MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216250,$172.98
SCREW BONE CANCELLOUS 6.5X24X55M NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216255,$161.64
SCREW BONE L60 MM L24 MM OD6.5 MM SELF TAPPING NONCANNULATED NONLOCKING COMPRESSION PARTIALLY THREADED HEX DRIVE HEXAGONAL SOCKET CANCELLOUS STAINLESS STEEL NONSTERILE,$172.98
SCREW BONE L70 MM L24 MM OD6.5 MM SELF TAPPING NONCANNULATED NONLOCKING COMPRESSION PARTIALLY THREADED HEX DRIVE HEXAGONAL SOCKET CANCELLOUS STAINLESS STEEL NONSTERILE,$172.98
SCREW BONE CANCELLOUS 6.5X24X75MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216275,$161.64
SCREW BONE L80 MM L24 MM OD6.5 MM SELF TAPPING NONCANNULATED NONLOCKING COMPRESSION PARTIALLY THREADED HEX DRIVE HEXAGONAL SOCKET CANCELLOUS STAINLESS STEEL NONSTERILE,$172.98
SCREW BONE CANCELLOUS 6.5X24X90MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216290,$186.26
SCREW BONE CANCELLOUS 6.5X24X95MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216295,$186.26
SCREW BONE L100 MM L24 MM OD6.5 MM SELF TAPPING NONCANNULATED NONLOCKING COMPRESSION PARTIALLY THREADED HEX DRIVE HEXAGONAL SOCKET CANCELLOUS STAINLESS STEEL NONSTERILE,$186.26
SCREW BONE CANCELLOUS 6.5X24X105MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216305,$186.26
SCREW BONE CANCELLOUS 6.5X24X110MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216310,$186.26
SCREW BONE CANCELLOUS 6.5X24X115MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216315,$225.00
SCREW BONE COMPRESSION 6.5 MM DIA 120 MM LENGTH CANCELLOUS PARTIALLY THREADED NON-CANNULATED SELF-TAPPING NON-LOCKING STAINLESS STEEL NONSTERILE,$225.00
SCREW BONE CANCELLOUS 6.5X24X125MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216325,$225.00
SCREW BONE CANCELLOUS 6.5X24X130MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216330,$225.00
SCREW BONE CANCELLOUS 6.5X24X140MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216340,$225.00
