Roper St. Francis Healthcare Hospital Facilities,,
2019 Standard Charges,,
,,
ITEM,DESCRIPTION,CHARGE
44180,ACUTE FIBEROPTIC SWALL 60 MIN,$749.00 
44082,ACUTE FIBROPT W/ENT SWALL 15 MIN,$314.00 
44170,ACUTE FIBROPT W/ENT SWALL 30 MIN,$377.00 
44172,ACUTE FIBROPT W/ENT SWALL 45 MIN,$561.00 
44174,ACUTE FIBROPT W/ENT SWALL 60 MIN,$749.00 
44226,ACUTE FUNCTIONAL TRNG 15 MIN,$144.00 
25372,ACUTE HEPATITIS PANEL - PPL,$310.00 
44054,ACUTE MOD BARIUM SWALLOW 15 MIN,$326.00 
44148,ACUTE MOD BARIUM SWALLOW 30 MIN,$391.00 
44150,ACUTE MOD BARIUM SWALLOW 45 MIN,$574.00 
44152,ACUTE MOD BARIUM SWALLOW 60 MIN,$749.00 
44154,ACUTE MOD BARIUM SWALLOW 90 MIN,"$1,199.00 "
44242,ACUTE SELF CARE/HOME MGT 15 MIN,$130.00 
44402,ACUTE SPCH PROD EVAL 15 MIN,$247.00 
44404,ACUTE SPCH PROD EVAL 30 MIN,$380.00 
44406,ACUTE SPCH PROD EVAL 45 MIN,$518.00 
44408,ACUTE SPCH PROD EVAL 60 MIN,$657.00 
44410,ACUTE SPCH PROD RE-EVAL 15 MIN,$247.00 
44412,ACUTE SPCH PROD RE-EVAL 30 MIN,$380.00 
44414,ACUTE SPCH PROD RE-EVAL 45 MIN,$518.00 
44416,ACUTE SPCH PROD RE-EVAL 60 MIN,$657.00 
44418,ACUTE SPCH&LNG EVAL 15 MIN,$247.00 
44420,ACUTE SPCH&LNG EVAL 30 MIN,$380.00 
44422,ACUTE SPCH&LNG EVAL 45 MIN,$518.00 
44424,ACUTE SPCH&LNG EVAL 60 MIN,$657.00 
44426,ACUTE SPCH&LNG RE-EVAL 15 MIN,$247.00 
44428,ACUTE SPCH&LNG RE-EVAL 30 MIN,$380.00 
44430,ACUTE SPCH&LNG RE-EVAL 45 MIN,$518.00 
44432,ACUTE SPCH&LNG RE-EVAL 60 MIN,$657.00 
44120,ACUTE SPEECH GRP THER PROC,$187.00 
44044,ACUTE SPEECH THERAPY 15 MIN,$192.00 
44218,ACUTE SPEECH THERAPY 30 MIN,$331.00 
44230,ACUTE SPEECH THERAPY 45 MIN,$470.00 
44220,ACUTE SPEECH THERAPY 60 MIN,$603.00 
44302,ACUTE TRNG SPEECH GEN DEV 30 MIN,$354.00 
44304,ACUTE TRNG SPEECH GEN DEV 60 MIN,$657.00 
44434,ACUTE VOICE EVAL 15 MIN,$247.00 
44436,ACUTE VOICE EVAL 30 MIN,$380.00 
44438,ACUTE VOICE EVAL 45 MIN,$518.00 
44440,ACUTE VOICE EVAL 60 MIN,$657.00 
44442,ACUTE VOICE RE-EVAL 15 MIN,$247.00 
44444,ACUTE VOICE RE-EVAL 30 MIN,$380.00 
44446,ACUTE VOICE RE-EVAL 45 MIN,$518.00 
44448,ACUTE VOICE RE-EVAL 60 MIN,$657.00 
31,acyclovir 200 mg Cap,$2.65 
1536,acyclovir 200 mg/5 mL Oral Susp 473 mL,$18.60 
2760,acyclovir 50 mg/mL IV Soln 10 mL,$38.20 
4537,acyclovir 50 mg/mL IV Soln 20 mL,$38.20 
29,acyclovir 800 mg Tab,$2.65 
22062,ADA (ADALIMUMAB),$173.00 
4682,adalimumab 40 mg/0.8 mL Subcut Kit,"$7,984.90 "
20200,ADAMTS 13 ACTIVITY,$165.00 
21980,ADAMTS 13 ANTIBODY,$235.00 
28722,ADD IP ANTIBODY,$309.00 
1537,adenosine 3 mg/mL IV Soln 2 mL,$38.20 
5763,adenosine 3 mg/mL IV Soln 4 mL,$134.20 
1538,adenosine 3 mg/mL Sol (diagnostic),$376.80 
29668,ADENOSINE DEAMINASE FLUID,$303.00 
28726,ADENOVIRUS AB,$350.00 
79256,ADHESION BARRIER,$767.00 
29796,ADIPONECTIN,$309.00 
6362,ado-trastuzumab emtansine 100 mg IV inj,"$14,706.50 "
5952,ado-trastuzumab emtansine 160 mg IV Inj,"$21,842.45 "
26220,AEROBIC IDENTIFICATION,$47.00 
26222,AEROBIC MICROAEROPHILIC SUSCEPT,$81.00 
48022,AEROSOLIZED PENTAMIDINE,$309.00 
25006,AFB STAIN SMEAR,$155.00 
63020,A-FIB ABLATION PVI ISOLATION,"$29,214.00 "
29818,"AFP MATERNAL, SERUM",$37.00 
29990,AFP OPEN SPINAL BIFIDA,$69.00 
21366,AFP PRENATAL SERUM - P,$104.00 
25322,AFP TUMOR MARKER - PPL,$130.00 
25260,AGGLUTINATION GRPNG EA ANTISERUM,$25.00 
77750,AICD DC,"$38,457.00 "
77802,AICD OTHER THAN SC OR DC,"$52,386.00 "
71164,AICD SC,"$34,973.00 "
5243,albendazole 200 mg Tab,$728.80 
21008,ALBUMIN BLOOD BK,$89.00 
20226,ALBUMIN CSF - REF,$33.00 
21508,ALBUMIN CSF QUANT,$134.00 
1541,albumin human 25% IV Soln 100 mL,$265.45 
1480,albumin human 25% IV Soln 50 mL,$201.95 
2964,albumin human 5% IV Soln 250 mL,$261.10 
1539,albumin human 5% IV Soln 500 mL,$261.10 
21506,ALBUMIN NON-BLOOD QUANT,$134.00 
20224,ALBUMIN SERUM - REF,$32.00 
4538,albuterol (0.5%) 2.5mg/ 0.5 mL Inh Soln,$6.40 
34,albuterol 2 mg Tab,$7.15 
1543,albuterol 2 mg/5 mL Oral Syrup 473 mL,$2.65 
2874,albuterol 2.5 mg/3 mL (0.083%) Inh Soln 3 mL,$6.40 
4653,albuterol 4 mg ER Tab,$5.95 
33,albuterol 4 mg Tab,$18.25 
4073,albuterol CFC free 90 mcg/inh Aerosol 8 gm [ER only],$252.35 
4257,albuterol CFC free 90 mcg/inh Aerosol 8.5 gm [chg per puff],$1.35 
1496,albuterol-ipratropium 103 mcg-18 mcg/inh Aer,$5.05 
5491,albuterol-ipratropium 2.5 mg-0.5 mg/3 mL Inh Soln 3 mL,$2.65 
40,alclometasone 0.05% Cream 15 gm,$234.50 
41,alclometasone 0.05% Topical Oint 15 gm,$69.40 
21012,ALCOHOL BLOOD BK,$521.00 
28024,ALDOLASE,$203.00 
28026,ALDOSTERONE,$200.00 
28028,ALDOSTERONE URINE 24HOUR,$234.00 
6346,alemtuzumab 30 mg/mL Sol,"$8,853.25 "
43,alendronate 10 mg Tab,$2.65 
4413,alendronate 35 mg Tab,$2.65 
3923,alendronate 5 mg Tab,$2.65 
4258,alendronate 70 mg Tab,$2.65 
28528,"ALERGN SPECIFIC IGE,EA ALERGN",$28.00 
1547,alfentanil 0.5 mg/mL Inj Soln 2 mL,$48.80 
5213,alfuzosin 10 mg ER Tab,$2.65 
5336,aliskiren 150 mg Tab,$30.70 
26200,ALKALINE PHOSPHATASE - REF LAB,$25.00 
21016,ALKALINE PHOSPHATASE BK,$116.00 
21014,ALKALINE PHOSPHATASE ISOENZYMES,$132.00 
2345,allantoin/camphor/phenol 1%-0.5%-0.5% Topical Oint 10.5 gm,$1.65 
20128,ALLERGEN IGE ALMOND NUT F20,$28.00 
20132,ALLERGEN IGE ALTERNARIA M6,$28.00 
29872,ALLERGEN IGE ASPERGILLUS M3,$28.00 
29874,ALLERGEN IGE BAHIA GRASS G17,$28.00 
29876,ALLERGEN IGE BERMUDA GRASS G2,$28.00 
29880,ALLERGEN IGE BIRCH TREE T3,$28.00 
29882,ALLERGEN IGE BRAZIL NUT F18,$28.00 
29892,ALLERGEN IGE C HERBARUM M2,$28.00 
29884,ALLERGEN IGE CACAO F93,$28.00 
29886,ALLERGEN IGE CASEIN F78,$28.00 
29888,ALLERGEN IGE CASHEW NUT F202,$28.00 
29890,ALLERGEN IGE CAT DANDER E1,$28.00 
29894,ALLERGEN IGE CLAM F207,$28.00 
29896,ALLERGEN IGE COCKROACH AMER RI206,$28.00 
29898,ALLERGEN IGE COCKROACH GERMAN I6,$28.00 
29902,ALLERGEN IGE CORN MAIZE F8,$28.00 
29904,ALLERGEN IGE CRAB F23,$28.00 
29906,ALLERGEN IGE DOG DANDER E5,$28.00 
29908,ALLERGEN IGE DUSTMITE D FAR D2,$28.00 
29910,ALLERGEN IGE DUSTMITE D PTER D1,$28.00 
29912,ALLERGEN IGE EGG WHITE F1,$28.00 
29914,ALLERGEN IGE EGG WHOLE F245,$28.00 
29916,ALLERGEN IGE EGG YOLK F75,$28.00 
29918,ALLERGEN IGE ELM TREE T8,$28.00 
29920,ALLERGEN IGE FISH COD F3,$28.00 
29922,ALLERGEN IGE HAZEL NUT F17,$28.00 
22000,ALLERGEN IGE HONEYBEE I1,$28.00 
21998,ALLERGEN IGE LATEX K082,$28.00 
29870,"ALLERGEN IGE LC, EA ALLERGEN",$28.00 
29924,ALLERGEN IGE LOBSTER F80,$28.00 
29926,ALLERGEN IGE MILK F2,$28.00 
29930,ALLERGEN IGE NETTLE W20,$28.00 
29932,ALLERGEN IGE OAK T7,$28.00 
29934,ALLERGEN IGE ORANGE F33,$28.00 
29936,ALLERGEN IGE OVALBUMIN F232,$28.00 
29938,ALLERGEN IGE OVOMUCOID F233,$28.00 
29940,ALLERGEN IGE OYSTER F290,$28.00 
22002,ALLERGEN IGE PAPER WASP I4,$28.00 
29952,ALLERGEN IGE PEANUT F13,$28.00 
29954,ALLERGEN IGE PECAN NUT F201,$28.00 
29956,ALLERGEN IGE PECAN TREE T22,$28.00 
29958,ALLERGEN IGE PENICILLIUM M1,$28.00 
29960,ALLERGEN IGE PIGWEED W14,$28.00 
29962,ALLERGEN IGE PISTACHIO NUT F203,$28.00 
29964,ALLERGEN IGE PLANTAIN ENGLISH W9,$28.00 
29900,ALLERGEN IGE RAGWEED COMMON W1,$28.00 
29966,ALLERGEN IGE SALMON F41,$28.00 
29968,ALLERGEN IGE SCALLOP F338,$28.00 
29970,ALLERGEN IGE SESAME SEED F10,$28.00 
29972,ALLERGEN IGE SHEEP SORREL W18,$28.00 
29974,ALLERGEN IGE SHRIMP F24,$28.00 
29976,ALLERGEN IGE SOYBEAN F14,$28.00 
29978,ALLERGEN IGE TIMOTHY GRASS G6,$28.00 
29980,ALLERGEN IGE TOMATO F25,$28.00 
29982,ALLERGEN IGE TUNA F40,$28.00 
29984,ALLERGEN IGE WALNUT MEAT F256,$28.00 
29986,ALLERGEN IGE WHEAT F4,$28.00 
29988,ALLERGEN IGE WHEY F236,$28.00 
22004,ALLERGEN IGE WHTFCE HORNET I2,$28.00 
22006,ALLERGEN IGE YELLOW HORNET I5,$28.00 
22008,ALLERGEN IGE YELLOW JACKET I3,$28.00 
20130,ALLERGN IGE ALPHA LACTALBUMIN F76,$28.00 
29878,ALLERGN IGE BETA LACTOGLOBULN F77,$28.00 
29928,ALLERGN IGE MOUSE URNE PROTEINE72,$28.00 
29942,ALLERGN IGE NUT COMP ARA H 1 F422,$28.00 
29944,ALLERGN IGE NUT COMP ARA H 2 F423,$28.00 
29946,ALLERGN IGE NUT COMP ARA H 3 F424,$28.00 
29948,ALLERGN IGE NUT COMP ARA H 8 F352,$28.00 
29950,ALLERGN IGE NUT COMP ARA H 9 F427,$28.00 
79716,ALLODERM PER EACH SQ CM,$87.00 
79718,ALLODERM PER EACH SQ CM WASTED,$87.00 
13770,ALLOGENIC DONOR LYMPHOCYTE INFSN,$826.00 
79794,ALLOPATCH HD/SQ CM USED,$150.00 
79796,ALLOPATCH HD/SQ CM WASTE,$150.00 
44,allopurinol 100 mg Tab,$2.65 
45,allopurinol 300 mg Tab,$2.65 
4196,allopurinol 500 mg Inj,$38.20 
5792,almotriptan 12.5 mg Tab,$219.25 
5987,alosetron 0.5 mg Tab,$4.25 
4204,alosetron 1 mg Tab,$2.65 
28030,ALPHA 1 ANTITRYPSIN PHENOTYPE,$98.00 
25008,ALPHA 1 ANTITRYPSIN TOTAL,$179.00 
5795,alpha 1-proteinase inhibitor human IV 1000 mg Inj,"$1,546.60 "
5794,alpha 1-proteinase inhibitor human Pow 500mg inj,$910.60 
28732,ALPHA 2 MACROGLOBULIN,$33.00 
21832,ALPHA GAL IGE - GALACTOSE ALPHA,$101.00 
26174,ALPHA-1-ANTITRYPSIN,$59.00 
21818,ALPHA-GALACTOSIDASE A,$166.00 
47,ALPRAZolam 0.25 mg Tab,$4.80 
4611,ALPRAZolam 0.5 mg ER Tab,$4.80 
46,ALPRAZolam 0.5 mg Tab,$4.80 
48,ALPRAZolam 1 mg Tab,$4.80 
1550,alprostadil 0.5 mg/mL Inj Soln 1 mL,$426.40 
13105,ALS LEVEL 1 EM BASE RATE,"$1,373.00 "
13114,ALS LEVEL 2 EM BASE RATE,"$2,075.00 "
13006,ALS NON EM BASE RATE,"$1,143.00 "
6229,alteplase 1 mg Inj,$380.95 
2240,alteplase 100 mg IV Inj,"$38,093.35 "
5509,alteplase 2 mg Inj,$649.90 
28038,ALUMINUM,$429.00 
2695,aluminum hydroxide 320 mg/5 mL Oral Susp,$4.65 
3801,aluminum hydroxide/magnesium hydroxide/simethicone 200 mg-200 mg-20 mg/5 mL,$0.70 
474,aluminum hydroxide-magnesium carbonate 160 mg-105 mg Chew Tab,$0.15 
2699,aluminum hydroxide-magnesium carbonate 254 mg-237.5 mg/5 mL,$36.65 
2614,aluminum sulfate-calcium acetate Topical Powder for Recon,$0.65 
5505,alvimopan 12 mg Cap,$614.60 
161,amantadine 100 mg Cap,$3.85 
1551,amantadine 50 mg/5 mL Oral Syrup 10 mL,$9.00 
6246,ambrisentan 10 mg Tab,"$1,092.10 "
5914,ambrisentan 5 mg Tab,$987.30 
53,amcinonide 0.1% Cream 15 gm,$495.00 
1552,amifostine 500 mg IV Inj,"$1,080.35 "
1553,amikacin 250 mg/mL Sol,$38.20 
21510,AMIKACIN PEAK,$499.00 
21018,AMIKACIN RANDOM,$499.00 
21512,AMIKACIN TROUGH,$499.00 
476,aMILoride 5 mg Tab,$2.65 
477,aMILoride-hydrochlorothiazide 5 mg-50 mg Tab,$2.65 
5788,Amino Acids 10% (FreAmine III) intravenous solution,$80.70 
5979,Amino Acids 10% (Travasol) intravenous solution,$54.10 
5745,Amino Acids 2.75% with 5% Dextrose and Electrolytes (Clinimix E Sulfite-Free) IV,$159.10 
2144,Amino Acids 3% and Glycerin 3% with Electrolytes (ProcalAmine) intravenous solution,$38.20 
6369,Amino Acids 5% with 15% Dextrose (Clinimix Sulfite-Free) Sol,$38.20 
6370,Amino Acids 5% with 15% Dextrose and Electrolytes (Clinimix E Sulfite-Free) Sol,$38.20 
6364,Amino Acids 5% with 20% Dextrose (Clinimix Sulfite-Free) Sol,$38.20 
5725,Amino Acids 5% with 20% Dextrose and Electrolytes (Clinimix E Sulfite-Free) IV,$38.20 
1557,Amino Acids 8% (HepatAmine) intravenous solution,$540.50 
6301,aminocaproic acid 10 g/100 mL NS (ANES),$55.35 
1559,aminocaproic acid 250 mg/mL IV Soln 20 mL,$38.20 
55,aminocaproic acid 500 mg Tab,$100.40 
1561,aminophylline 25 mg/mL IV Soln 10 mL,$52.55 
29334,AMIODARONE,$192.00 
5676,amiodarone 150 mg/D5W 100 mL,$64.65 
56,amiodarone 200 mg Tab,$2.65 
5755,amiodarone 360 mg/D5W 200 mL,$234.35 
5847,amiodarone 50 mg/mL IV Soln 18 mL,$40.30 
5847,amiodarone 50 mg/mL IV Soln 18 mL,$40.30 
5847,amiodarone 50 mg/mL IV Soln 18 mL,$40.30 
5847,amiodarone 50 mg/mL IV Soln 18 mL,$40.30 
2675,amiodarone 50 mg/mL IV Soln 3 mL,$38.20 
4713,amiodarone 50 mg/mL IV Soln 9 mL,$38.20 
481,amitriptyline 10 mg Tab,$2.65 
482,amitriptyline 25 mg Tab,$2.65 
483,amitriptyline 50 mg Tab,$2.65 
28044,AMITRIPTYLINE(NORTRIPTYLINE-ELIV),$526.00 
57,amitriptyline-chlordiazePOXIDE 12.5 mg-5 mg Tab,$4.80 
58,amitriptyline-perphenazine 10 mg-2 mg Tab,$3.85 
1062,amitriptyline-perphenazine 10 mg-4 mg Tab,$4.30 
1061,amitriptyline-perphenazine 25 mg-2 mg Tab,$4.75 
59,amitriptyline-perphenazine 25 mg-4 mg Tab,$5.35 
61,amLODIPine 10 mg Tab,$2.65 
62,amLODIPine 2.5 mg Tab,$2.65 
60,amLODIPine 5 mg Tab,$2.65 
6003,amLODIPine/hydrochlorothiazide/valsartan 10 mg-25 mg-320 mg Tab,$9.05 
4731,amLODIPine-atorvastatin 10 mg-10 mg Tab,$23.70 
4732,amLODIPine-atorvastatin 10 mg-20 mg Tab,$8.15 
5280,amLODIPine-atorvastatin 10 mg-40 mg Tab,$5.95 
5279,amLODIPine-atorvastatin 10 mg-80 mg Tab,$32.40 
5277,amLODIPine-atorvastatin 2.5 mg-10 mg Tab,$23.70 
5278,amLODIPine-atorvastatin 2.5 mg-20 mg Tab,$5.40 
5276,amLODIPine-atorvastatin 2.5 mg-40 mg Tab,$2.65 
4729,amLODIPine-atorvastatin 5 mg-10 mg Tab,$7.75 
4730,amLODIPine-atorvastatin 5 mg-20 mg Tab,$31.80 
5464,amLODIPine-atorvastatin 5 mg-40 mg Tab,$9.70 
5281,amLODIPine-atorvastatin 5 mg-80 mg Tab,$7.15 
4744,amLODIPine-benazepril 10 mg-20 mg Cap,$2.65 
4743,amLODIPine-benazepril 2.5 mg-10 mg Cap,$2.65 
4723,amLODIPine-benazepril 5 mg-10 mg Cap,$2.65 
4719,amLODIPine-benazepril 5 mg-20 mg Cap,$2.65 
5239,amLODIPine-benazepril 5 mg-40 mg Cap,$2.95 
5447,amLODIPine-valsartan 5 mg-320 mg Tab,$2.65 
29782,AMMINO ACIDS URINE-P,$136.00 
3342,ammonia aromatic Solution,$0.20 
21020,AMMONIA BK,$261.00 
26178,"AMMONIA, URINE - REF LAB",$62.00 
4262,ammonium lactate 12% Cream 140 gm,$3.00 
63,ammonium lactate 12% Lotion 400 gm,$161.55 
14912,AMNIOCENTESIS,"$1,608.00 "
34310,AMNIOCENTESIS DIAGNOSTIC,$774.00 
79768,AMNIOFIX 16MM DISC,"$3,252.00 "
29838,AMNIOTIC FLUID PROTEIN,$121.00 
1508,amobarbital 500 mg Inj,"$2,476.10 "
28046,AMOEBA SEROLOGY AB,$441.00 
487,amoxapine 25 mg Tab,$2.65 
488,amoxapine 50 mg Tab,$2.65 
1565,amoxicillin 125 mg/5 mL Oral Liquid 150 mL,$2.65 
4468,amoxicillin 200 mg/5 mL Pow 5 mL,$8.55 
138,amoxicillin 250 mg Cap,$2.65 
489,amoxicillin 250 mg Chew Tab,$2.65 
1564,amoxicillin 250 mg/5 mL Oral Liquid 150 mL,$2.65 
3901,amoxicillin 400 mg/5 mL Oral Liquid 75 mL,$2.65 
139,amoxicillin 500 mg Cap,$2.65 
2615,amoxicillin 500 mg EMERGISCRIPT,$2.65 
4614,amoxicillin-clavulanate 1000 mg-62.5 mg (ext-rel) Tab,$15.90 
3344,amoxicillin-clavulanate 125 mg-31.25 mg/5 mL Oral Liquid 75 mL,$143.00 
1566,amoxicillin-clavulanate 200 mg-28.5 mg/5 mL Oral Liquid 50 mL,$2.65 
66,amoxicillin-clavulanate 250 mg-125 mg Tab,$6.45 
3076,amoxicillin-clavulanate 250 mg-62.5 mg/5 mL Oral Liquid 75 mL,$20.55 
1567,amoxicillin-clavulanate 400 mg-57 mg/5 mL Oral Liquid 50 mL,$3.10 
67,amoxicillin-clavulanate 500 mg-125 mg Tab,$2.65 
4678,amoxicillin-clavulanate 600 mg-42.9 mg/5 mL Oral Liquid 125 mL,$2.65 
64,amoxicillin-clavulanate 875 mg-125 mg Tab,$3.40 
3812,amphetamine-dextroamphetamine 10 mg Tab,$5.05 
1569,amphotericin B 50 mg IV Inj,$185.75 
3347,amphotericin B lipid complex 5 mg/mL IV Susp 20 mL,$910.60 
6366,amphotericin B liposomal 50 mg Pow,"$1,129.15 "
2856,ampicillin 1 g ADD-vantage,$52.80 
2856,ampicillin 1 g ADD-vantage,$52.80 
2766,ampicillin 1 g FlipTop vial,$38.20 
2763,ampicillin 125 mg FlipTop vial,$38.20 
2767,ampicillin 2 g FlipTop vial,$38.20 
140,ampicillin 250 mg Cap,$2.65 
2764,ampicillin 250 mg FlipTop vial,$38.20 
1574,ampicillin 250 mg/5 mL Oral Liquid 100 mL,$2.65 
141,ampicillin 500 mg Cap,$2.65 
2765,ampicillin 500 mg FlipTop vial,$38.20 
2990,ampicillin-sulbac 1.5 g FlipTop vial,$38.20 
2762,ampicillin-sulbac 1.5g ADD-vantage,$38.20 
2761,ampicillin-sulbac 3 g ADD-vantage,$38.20 
2991,ampicillin-sulbac 3 g FlipTop vial,$38.20 
2857,ampicllin 2 g ADD-vantage,$102.35 
1440,amyl nitrite/sodium nitrite/sodium thiosulfate 0.3 mL-30 mg-25 g Inj Kit,"$1,329.45 "
21666,AMYLASE - P,$175.00 
21024,AMYLASE BLOOD BK,$183.00 
21514,AMYLASE BODY FLUID,$97.00 
21516,AMYLASE URINE 2 HR,$97.00 
21518,AMYLASE URINE 24 HR,$97.00 
21026,AMYLASE URINE RANDOM,$97.00 
22036,ANA (ANTI-NUCLEAR AB),$436.00 
21370,ANA LATEX,$199.00 
26216,ANAEROBIC IDENTIFICATION,$81.00 
26218,ANAEROBIC SUSCEPTIBILITY,$62.00 
162,anagrelide 0.5 mg Cap,$2.90 
4419,anakinra 100 mg/0.67 mL Subcut Soln 0.67 mL,$502.80 
52206,ANAL US,$838.00 
490,anastrozole 1 mg Tab,$2.65 
72738,ANCHOR ENT TUBE VENT,$51.00 
72720,ANCHOR IMPLANT LEVEL 1,$388.00 
72722,ANCHOR IMPLANT LEVEL 2,$937.00 
72726,ANCHOR IMPLANT LEVEL 3,"$1,458.00 "
72724,ANCHOR IMPLANT LEVEL 3.,"$1,136.80 "
72727,ANCHOR IMPLANT LEVEL 4,"$4,942.00 "
72728,ANCHOR IMPLANT LEVEL 5,"$7,248.00 "
28050,ANDROSTENEDIONE,"$1,167.00 "
77002,ANEURYSM CLIP,"$1,056.00 "
28578,ANGIOTENS 1 CONV ENZYME CSF,$206.00 
28052,ANGIOTENSIN 1 CONVERTING ENZYME,$206.00 
