CDM,BILLING DESCRIPTION  ,CPT   , LOURDES WCH PRICE 
712362,CHROMIC 40 MCG 10ML VIAL,00000, $31.00 
712364,CLAFORAN 500MG. INJ.,00000, $156.00 
712374,CLEOTIN 12MG/ML (100MG),00000, $59.00 
712376,CLEOCIN 900 MG 6 ML VIAL,00000, $63.00 
712398,CYCLOGYL OPTH 1% 5CC,00000, $114.00 
712408,DEXTROSE 50% U/D,00000, $200.00 
712417,DEXTROSE SYRINGE 25%,00000, $187.00 
712418,DEXTROSE VIAL 50%,00000, $66.00 
712428,DIAZEPM 2.5MG RECTAL GEL,00000," $1,361.00 "
712492,VANCOMYCIN 5MG/ML(100MG),00000, $200.00 
712610,CEFAZOLIN 20 MG/ML IN NS,00000, $2.00 
712721,CALFACTANT 105 MG VL,00000," $6,115.00 "
712722,CALFACTANT 210 MG VL,00000," $11,379.00 "
712737,L-CYSTEINE UNIT DOSE,00000, $59.00 
712745,LAT GEL 3 ML,00000, $130.00 
712747,LEUCOVORIN 100 MG VIAL,00000, $41.00 
712769,MARCAINE 0.25% 10ML,00000, $55.00 
712770,SENSORCAINE 0.5%/EPI,00000, $224.00 
712787,METHYLENEBLUE AMP 1ML,00000, $211.00 
712812,MULTITRACE-4 PE PER ML,00000, $20.00 
712814,MVI PED INJECTION,00000, $167.00 
712816,NA PHOSPHATE INJ VIA,00000, $86.00 
712818,NACL CONC. 30CC VIAL,00000, $67.00 
712820,NACH03 SYR INF,00000, $146.00 
712821,NAHC03 SYR PED,00000, $71.00 
712825,NEBUPENT 300MG VIAL,00000," $1,390.00 "
712835,NEUT 5ML VIAL,00000, $149.00 
712845,"NYSTATIN 100,000UNITS/ML",00000, $1.00 
712856,PAVULON INJ PER CC,00000, $86.00 
712857,PAVULON INJ UD,00000, $67.00 
712883,PHOSPHATE INJ UD,00000, $32.00 
712915,PROGESTERONE IJ 50MG,00000, $102.00 
712930,DINOPROSTONE 20MG SUPP,00000," $5,793.00 "
712937,PULMOZYNE AMPULE,00000, $701.00 
712951,ROBINUL INJ PER CC,00000, $114.00 
712966,SELENIUM 40MCG/ML,00000, $63.00 
712977,SOD PHOSPHATE 5ML VIAL,00000, $19.00 
712992,SUFENTA 1CC,00000, $405.00 
713137,DILUTED INSULIN 1UNIT/ML,00000, $1.00 
713144,PROTONIX 40 MG IV,00000, $133.00 
713154,VERSED ORAL SY 2MG/ML,00000, $8.00 
713160,MORPHINE 0.5MG/0.5ML SYR,00000, $32.00 
713161,LIDOCAINE 1% BUFFER 5ML,00000, $27.00 
713162,LIDOCAINE 1% BUFFER .5ML,00000, $25.00 
713168,ASCORBIC ACID IV 50MG/ML,00000, $139.00 
713169,AMINOCAPROIC ACID 20ML,00000, $8.00 
713198,AMPICILLIN 100MG/1ML SYR,00000, $3.00 
713244,ZEMURON 10 MG/ML 5ML SYR,00000, $55.00 
713252,BUPIVACAINE 0.25%EPI10ML,00000, $48.00 
713253,BUPIVACAINE 0.5%EPI 10ML,00000, $66.00 
713254,BUPIVACAINE .025% 10ML,00000, $41.00 
713255,BUPIVACAINE 0.5%10ML,00000, $46.00 
713267,NITROGLY/D5W 250ML IV,00000, $86.00 
713280,ASTRAMORPH 0.5 MG/ML 2ML,00000, $82.00 
713293,AVITENE WEB 70 MM,00000," $1,361.00 "
713297,AZACTAM 40 MG/ML IV,00000, $13.00 
713313,NIPRIDE 1000 MCG/ML NS,00000, $8.00 
713314,NICARDIPINE 0.1 MG D5W,00000, $8.00 
713315,NICARDIPINE 0.1 MG NS,00000, $8.00 
713316,NICARDIPINE 0.5 MG/ML D5,00000, $32.00 
713317,NICARDIPINE 0.5 MG/ML NS,00000, $32.00 
713318,KETAMINE 2 MG/ML D5W,00000, $1.00 
713319,KETAMINE 2 MG/ML NS,00000, $1.00 
713320,NITROGLYCERIN 100MCG D5,00000, $1.00 
713321,NITROGLYCERIN 100MCG NS,00000, $1.00 
713322,NITROGLYCERIN 200MCG D5,00000, $1.00 
713323,NITROGLYCERIN 200 MCG NS,00000, $1.00 
713324,NITROGLYCERIN 400 MCG D5,00000, $1.00 
713325,NITROGLYCERIN 400 MCG NS,00000, $1.00 
713326,LABETALOL 1 MG/ML D5W,00000, $1.00 
713327,LABETALOL 1 MG/ML NS,00000, $1.00 
713328,ESMOLOL 10 MG/ML,00000, $1.00 
713330,LEVOPHED 32 MCG/ML D5W,00000, $1.00 
713331,LEVOPHED 64 MCG/ML D5W,00000, $1.00 
713332,K PHOS 0.12 MM/ML IN NS,00000, $1.00 
713333,K PHOS 0.05 MM/ML NS,00000, $1.00 
713339,CLINDAMYCIN 900MG/50MLD5,00000, $59.00 
713343,HEPARIN 1 UNIT/ML  3ML,00000, $31.00 
713360,SOD. PHOS 0.05 MM/ML,00000, $1.00 
713361,SOD. PHOS 0.12 MM/ML NS,00000, $1.00 
713407,KCL 0.2 MEQ/ML,00000, $8.00 
713408,KCL 0.08 MEQ/ML,00000, $8.00 
713411,K PHOS 0.12 MMOLES/ML,00000, $1.00 
713412,K PHOS 0.05 MMOLES/ML,00000, $1.00 
713480,SOD. CHLORIDE 3% IV 1ML,00000, $1.00 
713488,ROCEPHIN 40MG/ML IN NS,00000, $10.00 
713489,ANCEF 20 MG/ML IN 5MLNS,00000, $3.00 
713508,TRACE ELEMENTS 1ML DILUT,00000, $27.00 
713518,REMIFENTANIL HCL 1ML INJ,00000, $336.00 
713593,LIDOCAINE HCL IV 100MG,00000, $19.00 
713612,GI COCKTAIL ORAL  45ML,00000, $15.00 
713620,LORAZEPAM 0.4MG/ML UD,00000, $99.00 
713623,LIDOCAINE HCL 1% ANES,00000, $202.00 
713665,KETAMINE 100 MG/ML 5 ML,00000, $82.00 
713667,OSMITROL 20% 500 ML IV,00000, $307.00 
713668,OSMITROL 20% 250 ML IV,00000, $336.00 
713671,BARIUM SULFATE 700 MG TB,00000, $15.00 
713673,ACETADOTE 200 MG /1ML,00000, $52.00 
713694,SUFENTANL CIT 100MCG 2ML,00000, $69.00 
713753,CIPRO 2MG/ML 1 ML (IV),00000, $1.00 
713784,MILRINONE-D5W 0.2 MG/ML,00000, $1.00 
713790,SYNTHROID 20 MCG/ML,00000, $82.00 
713802,MULTITRACE-4 NEONATAL,00000, $27.00 
713817,SOD. BICARB 0.5 MEQ/ML,00000, $146.00 
713818,SOD. BICARB 1 MEQ/ML,00000, $404.00 
713819,NORCURON 0.5 MG/ML D5,00000, $681.00 
713820,NORCURON 0.5 MG/ML NS,00000, $681.00 
713821,NORCURON 1 MG/ML D5,00000, $681.00 
713822,NORCURON 1 MG/ML NS,00000, $681.00 
713831,PRECEDEX 4 MCG/ML IN NS,00000," $1,285.00 "
713844,INSULIN R IN NS,00000, $46.00 
713874,OCTREOTD ND SQIV 1000MCG,00000, $962.00 
714004,MEPERIDINE 5MG/0.1ML INJ,00000, $1.00 
714102,MANGANESE 100 MCG/ML,00000, $27.00 
714105,BUFF LIDOCAINE J-TIP,00000, $15.00 
714113,LUGOL'S SOLN. 8 ML,00000, $41.00 
714126,NEOPROFEN 20 MG,00000," $3,796.00 "
714127,GLYCOPHOS 1MMOL/ML,00000, $71.00 
714128,PEDITRACE INJ,00000, $77.00 
714133,LTA KIT 4%,00000, $35.00 
714136,PEPCID 20MG/50ML PREMIX,00000, $52.00 
714180,LIDOCAINE 0.5% EPI 50 ML,00000, $18.00 
714182,KEFLEX 50MG/ML,00000, $3.00 
714200,ISUPREL 20 MCG/ML D5W,00000, $29.00 
714201,ISUPREL 20 MCG/ML NS,00000, $29.00 
714202,ISUPREL 40 MCG/ML D5W,00000, $58.00 
714203,ISUPREL 40 MCG/ML NS,00000, $58.00 
714204,ISUPREL 40 MCG/ML D10W,00000, $58.00 
714205,ISUPREL 20 MCG/ML D10W,00000, $29.00 
714206,NORCURON 1 MG/ML NS,00000, $681.00 
714207,VALPROATE 30 MG NS,00000, $250.00 
714208,REVATIO 0.8 MG/ML,00000, $74.00 
714209,ROCURONIUM 10 MG/ML,00000, $55.00 
714210,RIFAMPIN 6 MG/ML NS,00000," $2,471.00 "
714211,PRIMAXIN 5 MG/ML NS,00000, $708.00 
714213,VASOTEC 1250 MCG/ML,00000, $383.00 
714214,VASOTEC 25 MCG/ML NS,00000, $383.00 
714215,INDOCIN 0.1 MG/ML NS,00000, $345.00 
714216,NIPRIDE 200 MCG/ML  D5W,00000, $520.00 
714218,NIPRIDE 200 MCG/ML  NS,00000, $520.00 
714219,NIPRIDE 400 MCG/ML D5W,00000, $520.00 
714220,NIPRIDE 400 MCG/ML NS,00000, $520.00 
714221,NIPRIDE 1000 MCG D5W,00000, $520.00 
714255,FLUORESCITE 10% 5ML,00000, $96.00 
714275,ALDURAZYME 2.9MG,00000," $3,679.00 "
714277,PORACTANT 120MG/1.5ML VL,00000," $1,617.00 "
714278,PORACTANT 240MG/3ML VL,00000," $3,147.00 "
714308,KETAMINE 50MG/5ML SYRING,00000, $18.00 
714349,NA ACETATE INJ40MEQ/10ML,00000, $3.00 
714366,LABETALOL 5MG/ML INJ,00000, $1.00 
714388,LIDOCAINE 1.5% EPI 5ML,00000, $6.00 
714398,LIDOCAINE 1.5%-EPI,00000, $6.00 
714405,SMOFLIPID 20%500ML,00000, $97.00 
714406,LIDOCAINE 1%-EPI 10ML,00000, $6.00 
714407,SMOFLIPID 20%100ML,00000, $59.00 
714446,LIDOCAINE 2% PF 5ML INJ,00000, $4.00 
714449,LIDOCAINE 2%5ML PF,00000, $4.00 
714462,LIDOCAINE 1%-EPI 50ML,00000, $12.00 
714466,PROPRANOLOL 20MG/5ML SOL,00000, $3.00 
714467,SOTALOL 5MG/ML ORAL SOLU,00000, $5.00 
714468,TETRACAINE 0.5%OPTH 4ML,00000, $13.00 
716110,INTRALIPID 20% U/D,00000," $1,024.00 "
716111,INTRALIPID 20% 100CC,00000," $1,045.00 "
716113,MAG SULFATE 4GM/100ML,00000, $144.00 
716167,PLASMA-LYTE A 1000CC,00000, $489.00 
980053,NORCURON 10 MG VIAL,00000, $681.00 
980246,PRECEDEX 200MCG INJ,00000," $1,285.00 "
980257,LYMPHAZURIN 10MG/ML 5ML,00000," $1,453.00 "
980326,KCL 20MEQ IVPB,00000, $200.00 
980403,MONSELS SOLUTION 30ML,00000, $10.00 
980488,THROMBIN 5000 UNIT VIAL,00000, $568.00 
980539,LIPID 20% 250CC,00000, $749.00 
980598,NIMBEX 10MG INJ,00000, $122.00 
981502,LIDO 5%-DEX 7.5% 2ML AMP,00000, $27.00 
981577,NAROPIN 0.5% INJ 30ML,00000, $127.00 
981602,CENOLATE AMP 500MG 1ML,00000, $8.00 
981667,CARDENE IV 25MG/10ML,00000," $1,184.00 "
981715,XYLOCAINE 1% 5ML,00000, $10.00 
981746,LIDOCAINE URO-JET,00000, $45.00 
981769,DESMOPRESSIN 1 MCG INJ,00000, $80.00 
981952,RELISTOR INJ 12MG,00000, $405.00 
981989,AQUASOL 50000 IU/ML VIAL,00000, $206.00 
982012,BARIUM POLIBAR PLUS RT,00000, $104.00 
982030,NAFCILLIN 2 GM VIAL,00000, $211.00 
982109,ENLON PLUS 10MG/ML 5ML,00000, $96.00 
982182,FLAGYL 250MG/50ML BAG,00000, $10.00 
982185,CAFCIT 5MG INJ,00000, $187.00 
982186,CELESTONE SOLUSPAN 12MG,00000, $250.00 
982205,EXPAREL 266MG INJ,00000," $1,852.00 "
982228,TRANEXAMIC AC 100 MG/ML,00000, $181.00 
983015,UNIPEN 1GM VIAL,00000, $250.00 
983018,LIDOCAINE 500ML,00000, $212.00 
983020,CAF/SOD BENZOATE 500MG,00000, $283.00 
983028,CEFTAZIDIME 500 MG,00000, $19.00 
984001,VIMPAT 200 MG/20 ML VIAL,00000, $501.00 
984003,MYDRIACYL 3ML OPTH SOLN,00000, $233.00 
984006,MAZICON 0.1MG/ML,00000, $147.00 
007944,NS 250ML GLASS BOTTLE,00000, $436.00 
713199,AMERICAINE SPRAY 2OZ,00000, $36.00 
712225,ALLOPURINOL 500 MG INJ,00000," $5,295.00 "
714138,POLIBAR ACB ENEMA,00000, $71.00 
714373,VOLUMEN ORAL SUSP,00000, $22.00 
002001,D5W 100 ML,00000, $463.00 
002002,D5W 150 ML,00000, $463.00 
002008,D10W 1000ML,00000, $192.00 
002009,D20W 500ML,00000, $233.00 
002012,D50W 500ML,00000, $508.00 
002014,D70W 500ML,00000, $746.00 
002019,0.45 NACL 500ML,00000, $174.00 
002028,RENAMINE 6.5% 250ML,00000, $634.00 
002032,TRAVASOL 8.5% W/O EL,00000, $296.00 
002033,TRAVASOL 10% 500ML,00000, $718.00 
002034,WATER FOR INJ 1000ML,00000, $273.00 
002041,D5LR 1000ML,00000, $508.00 
002043,D5/.25 NACL 1000ML,00000, $508.00 
002045,D5/.45 NACL 500ML,00000, $450.00 
002046,D5/.45 NACL 1000ML,00000, $508.00 
002052,NS 50 ML,00000, $357.00 
002053,NS 100 ML,00000, $330.00 
008769,NS 150 ML,00000, $426.00 
259661,SOL INJ 0.9% NACL 10ML,00000, $3.00 
712409,DEXTROSE 70%/WATER 500ML,00000, $94.00 
712433,R-GENE IV SOLN 300ML,00000, $158.00 
713200,DEXTRAN 40 500 ML,00000," $1,400.00 "
713201,LR UP TO 1000 ML,00000, $426.00 
713298,AMINOSYN-PF 10% 1000 ML,00000, $700.00 
714137,DEXT 5% LR 500ML,00000, $29.00 
714160,D5NS0.45 250 ML,00000, $34.00 
714439,NS 25 ML,00000, $3.00 
715201,D10W 250ML,00000, $224.00 
715203,D5-0.2NS 250ML,00000, $306.00 
715204,NACL .9% 150 ML,00000, $426.00 
715205,NS 250 ML,00000, $224.00 
715206,WATER INJ 1000 ML,00000, $273.00 
715207,5% DEX .33% NS 500ML,00000, $306.00 
715208,TROPHAMINE 10% 500 ML,00000," $1,148.00 "
715209,NS 1000 ML,00000, $450.00 
715210,NS 500 ML,00000, $448.00 
715212,NS 250 ML,00000, $405.00 
715213,NS 250 ML,00000, $405.00 
715214,D5W 1000ML,00000, $464.00 
715215,LR UP TO 1000 ML,00000, $426.00 
715216,LR UP TO 1000 ML,00000, $427.00 
716101,D5W 500 ML,00000, $450.00 
716102,D10W 250ML,00000, $224.00 
716115,D5W 50 ML,00000, $463.00 
716116,D30W 500ML,00000, $620.00 
716117,0.45 NACL 1000ML,00000, $250.00 
716118,0.9 NACL 50ML,00000, $456.00 
716119,NS 100 ML,00000, $456.00 
716121,TRAVASOL 5.5% W/O EL,00000, $283.00 
716122,3% NACL 500ML,00000, $69.00 
716124,NS 1000 ML,00000, $450.00 
716125,NS 500 ML,00000, $448.00 
716126,D5W 500 ML,00000, $441.00 
716127,D5W 500 ML,00000, $441.00 
716128,D5W 1000ML,00000, $464.00 
716129,DEXTRAN 40 500 ML,00000, $995.00 
716130,LR UP TO 1000 ML,00000, $427.00 
716161,D5NS 1000 ML,00000, $461.00 
716166,CLINIMIX E 1000ML,00000, $624.00 
716168,DEXTROSE 10%-NS 1000ML,00000, $29.00 
716169,D10%-0.45 NS 1000ML,00000, $19.00 
716170,D-10%-0.2 NS 1000ML,00000, $12.00 
961800,D5W 100CC PF 1/PK,00000, $437.00 
962600,D5W 500 ML,00000, $450.00 
963200,D10W 1000CC,00000, $192.00 
963800,D5LR 1000CC,00000, $508.00 
964600,D5/.45NACL 500CC,00000, $450.00 
964800,D5/.45NACL 1000CC,00000, $508.00 
965200,D5/.2NACL 500CC,00000, $450.00 
966200,.45 NACL 500CC,00000, $174.00 
966400,.45 NACL 1000CC,00000, $250.00 
966600,.9 NACL 50CC PF 1/PK,00000, $416.00 
981256,SOD CHLOR 0.45% 250ML,00000, $441.00 
981259,DEXTROSE 10% 500ML,00000, $233.00 
981351,CLINISOL 15% 500ML,00000, $865.00 
982002,NS 250 ML,00000, $463.00 
982003,SOD CHL 100ML ADVANTAGE,00000, $463.00 
004015,ASA 5GR TABS,00000, $1.00 
004016,ASA CHILDREN,00000, $1.00 
004018,ASA SUPP 5GR,00000, $1.00 
004026,ASA SUPP 10GR,00000, $1.00 
004061,ACETAMINO SUPP 10GR,00000, $1.00 
004128,ACTIVATED CHARCOAL,00000, $127.00 
004208,ALDACTONE 25MG TAB,00000, $2.00 
004219,ALDOMET 250MG,00000, $3.00 
004285,AMBIEN 5MG,00000, $48.00 
004335,AMITRIPTYLNE 10MG PO,00000, $8.00 
004336,AMITRIPTYLNE 25MG PO,00000, $8.00 
004344,AMOXIL 250MG CAP,00000, $8.00 
004390,AMPHOJEL SUSP 1OZ,00000, $1.00 
004399,AMPICILLIN 250MG CAP,00000, $45.00 
004464,ANTIVERT 12.5MG,00000, $2.00 
004475,ANUSOL HC SUPPOS EA,00000, $45.00 
004476,ANUSOL HC CREAM 1OZ,00000, $388.00 
004479,APRESOLINE 10MG TABS,00000, $2.00 
004480,APRESOLINE 25MG TABS,00000, $2.00 
004621,AUGMENTIN 125/5 75ML,00000, $223.00 
004628,ATROVENT NEO SOL,00000, $48.00 
004636,AUGMENTIN 875MG TAB,00000, $160.00 
004637,AUGMENTIN 500MG TAB,00000, $94.00 
004643,AUGMENTIN 400MG 5M 50ML,00000, $861.00 
004677,BACTRIM DS,00000, $3.00 
004694,BENADRYL CREAM 1%,00000, $10.00 
004727,BENTYL 10 MG CAP,00000, $8.00 
004730,BENTYL SYRUP 1 OZ,00000, $54.00 
004769,BETAPACE 80MG TAB,00000, $8.00 
004772,BIAXIN 250MG TABS,00000, $63.00 
004777,BIAXIN SUSP 250/5ML,00000," $1,630.00 "
004778,BIAXIN 125MG/5ML SUS,00000, $861.00 
004832,B AND O SUPP 16A,00000, $94.00 
004913,BUMEX 0.5MG TAB,00000, $2.00 
004922,BUSPAR 5MG TAB,00000, $3.00 
004957,CALAMINE LOT 4OZ,00000, $2.00 
004958,CALAN 180MG SR TAB,00000, $3.00 
004960,CALAN 80MG TAB,00000, $2.00 
005012,CAPOTEN 12.5MG TAB,00000, $2.00 
005016,CAPOTEN 25MG TAB,00000, $3.00 
005019,CARAFATE TAB,00000, $3.00 
005022,CARBATROL 200MG CAP,00000, $3.00 
005033,CARDARONE 200MG TABS,00000, $48.00 
005044,CARDIZEM CD 240MGTAB,00000, $54.00 
005047,CARDIZEM CD 120MGTAB,00000, $8.00 
005049,CARDIZEM 30MG TAB,00000, $3.00 
005065,CATAPRES TTS-1,00000, $108.00 
005067,CATAPRES TTS-3,00000, $271.00 
005068,CATAPRES .1MG TAB,00000, $2.00 
005122,CEFZIL 125/5ML SUS,00000, $8.00 
005186,CHLORSEPTIC MW 6OZ,00000, $45.00 
005249,CHRONULAC 1OZ SYRUP,00000, $45.00 
005254,CIPRO 250MG TAB,00000, $85.00 
005255,CIPRO 500MG TAB,00000, $92.00 
005262,CLARITEN 10MG,00000, $8.00 
005264,CLEOCIN 150 MG CAP,00000, $48.00 
005280,KLONOPIN .5MG,00000, $10.00 
005314,COGENTIN 1MG TAB,00000, $2.00 
005324,COLCHICINE .6MG TAB,00000, $2.00 
005369,COMBIVENT INH 14.7GM,00000," $1,006.00 "
005370,COMPAZINE 5MG TAB,00000, $8.00 
005376,COMPAZINE R.S. 25MG,00000, $94.00 
005423,COREG 3.125MG TAB,00000, $48.00 
005455,HYDROCORT .5% CR/O G,00000, $48.00 
005518,COUMADIN TAB 2MG,00000, $8.00 
005519,COUMADIN TAB 2.5 MG,00000, $8.00 
005520,COUMADIN 5MG TAB,00000, $8.00 
005531,COZAR 50MG TAB,00000, $8.00 
005603,DALMANE 15MG CAP,00000, $45.00 
005608,DANTRIUM 25MG,00000, $3.00 
005609,DAPSONE 25MG TAB,00000, $3.00 
005638,COMBIVIR 150/300 MG TAB,00000, $254.00 
005662,DECADRON 0.5 MG TAB,00000, $2.00 
005668,DECADRON 4MG TAB,00000, $48.00 
005680,DECADRON OPT/GTT,00000, $307.00 
005715,DECLOMYCIN 150MG TAB,00000, $52.00 
005716,DELSYM 3OZ,00000, $144.00 
005766,DEMEROL 50MG TAB,00000, $63.00 
005788,DEPAKENE SYR 1OZ,00000, $48.00 
005789,DEPAKOTE 125 MG TAB,00000, $10.00 
005790,DEPAKOTE 250MG TAB,00000, $8.00 
005791,DEPAKOTE SPRINKLE TB,00000, $10.00 
005840,DESONIDE 0.05% CRM,00000, $200.00 
005851,DESYREL 50 MG TAB,00000, $8.00 
005882,DIAMOX TAB 250MG,00000, $2.00 
005900,DIAMOX 500MG SEQ.CAP,00000, $3.00 
005905,DIFLUCAN 50MG TAB,00000, $127.00 
005906,DIFLUCAN 1OOMG  TAB,00000, $259.00 
005927,DILANTIN TAB 50MG,00000, $8.00 
005928,DILANTIN CAP 100MG,00000, $8.00 
005932,DILANTIN-125 S 1OZ,00000, $127.00 
005937,DILAUDID TAB 2MG,00000, $48.00 
005988,DIPROSONE .05% 15GM,00000, $304.00 
005997,ZAROXOLYN 2.5,00000, $2.00 
006003,DITROPAN 5MG/ML 10Z,00000, $92.00 
006004,DITROPAN TAB,00000, $2.00 
006032,DOMEBORO PACKET,00000, $3.00 
006052,DONNATAL ELXR. 1 OZ,00000, $45.00 
006065,HABITROL  14MG,00000, $119.00 
006066,HABITROL 21 MG PATCH,00000, $127.00 
006090,DULCOLAX TAB,00000, $1.00 
