Charge Description,Charge Amount
ADENOSINE 12 MG/4ML IV SOLN ,$54.62 
ADENOSINE 24 MCG/ML IN 500 ML BAG ,$163.00 
ADENOSINE 3 MG/ML IV SOLN ,$210.40 
ADENOSINE 6 MG/2ML IV SOLN ,$42.00 
ADJUSTABLE WIRE/PIN CLAMP,"$4,469.50 "
ADVANTAGE FIT SYSTEM 850-211,"$4,777.50 "
ALBENDAZOLE 200 MG PO TABS ,"$1,338.22 "
ALBUMIN HUMAN 25 % IV SOLN ,$265.75 
ALBUMIN HUMAN 5 % IV SOLN ,$42.00 
ALBUMIN HUMAN 5 % IV SOLN ,$42.00 
ALBUMIN HUMAN 5 % IV SOLN (APHERESIS) ,$252.91 
ALBUTEROL SULFATE 0.5% IN NEBU ,$12.25 
ALBUTEROL SULFATE 2 MG PO TABS ,$12.25 
ALBUTEROL SULFATE 2 MG/5ML PO SYRP ,$12.25 
ALBUTEROL SULFATE 2.5 MG/0.5 ML IN NEBU HIGH DOSE ,$12.25 
ALBUTEROL SULFATE 2.5 MG/3ML IN NEBU ,$12.25 
ALBUTEROL SULFATE ER 4 MG PO TB12 ,$12.25 
ALBUTEROL SULFATE HFA 90 MCG/ACT IN AERS ,$12.25 
ALBUTEROL-IPRATROPIUM 2.5-0.5 MG (3ML) IN SOLN ,$12.25 
ALCOHOL 98 % IJ SOLN ,$209.35 
"ALCOHOL, USP 70 % SOLN ",$1.00 
ALENDRONATE SODIUM 10 MG PO TABS ,$12.25 
ALENDRONATE SODIUM 70 MG PO TABS ,$12.25 
ALEXIS CES GEL GTM17,"$3,600.00 "
ALEXIS CONTAINED EXTRACT SYS GTK17,"$1,950.00 "
ALFUZOSIN HCL ER 10 MG PO TB24 ,$12.25 
ALISKIREN FUMARATE 150 MG PO TABS ,$36.35 
ALLEN WRENCH LCCK 5987-71,$780.00 
ALLGRAFT PIP 2.7X18MM TFF-2718,"$2,970.00 "
ALLODER 8X16 THICK,"$16,478.00 "
ALLODERM  CS1516P,"$10,209.50 "
ALLODERM 1.0X0.2MM PERFORATED CM1516P,"$17,969.00 "
ALLODERM 16X20 X-THICK 1522320,"$41,195.00 "
ALLODERM 6X16 THICK 1520616,"$12,362.00 "
ALLODERM 8X16 X-THICK 1522128,"$16,478.00 "
ALLODERM CONSTOUR SM 77SQCM CS1516,"$9,912.00 "
ALLODERM CONTOUR SM,"$9,912.00 "
ALLODERM CONTOUR SM 77SQCM CS1520P,"$10,209.50 "
ALLODERM MED THICK CM1520,"$16,152.50 "
ALLOGRAFT 12X30MM EXTENSURE,"$8,268.75 "
ALLOGRAFT HUMAN AMNIOTIC MEMBRANE 4X4 CM BIOVANCE,"$8,120.00 "
ALLOGRAFT HUMAN AMNIOTIC MEMBRANE 6X6 CM BIOVANCE,"$12,425.00 "
ALLOGRAFT PIP 2.0X15 ANGLED,"$2,970.00 "
ALLOGRAFT PIP 2.0X15MM,"$2,970.00 "
ALLOGRAFT PIP 2.7X18 ANGLED,"$2,970.00 "
ALLOPATCH 4X4CM THIN HD 474404,"$3,860.78 "
ALLOPATCH 5X5CM 471505,"$5,139.12 "
ALLPOINTS 20X0.75 PORT AN142075,$110.82 
ALLPOINTS 20X1 PORT AN142010G,$123.30 
ALLPOINTS 20X1 PORT AN162010G,$116.94 
ALLPOINTS 20X75 PORT AN162075G,$116.94 
ALLPOINTS CVC  DRESSING APDCSNG1,$94.62 
ALLPOINTS DIALYSIS DRESSING CHANGE,$97.68 
ALLPOINTS PICC DRESSING APDCSSG1,$109.92 
ALN FILTER PRECURVED REMOVAL,"$3,594.00 "
ALN FILTER REMOVAL KIT,"$3,450.00 "
ALN PRE CURVED RETRIEVAL SET,"$3,594.00 "
ALPRAZOLAM 0.25 MG PO TABS ,$12.25 
ALPRAZOLAM 1 MG PO TABS ,$12.25 
ALPRAZOLAM ER 0.5 MG PO TB24 ,$12.25 
ALPRAZOLAM ER 1 MG PO TB24 ,$21.38 
ALPROSTADIL 500 MCG/ML IJ SOLN ,$205.60 
ALTEPLASE 1 MG/ML IJ ,$368.60 
ALTEPLASE 10 MG SYRINGE ,"$4,319.56 "
ALTEPLASE 100 MG IV SOLR ,"$29,478.19 "
ALTEPLASE 2 MG IJ SOLR ,$578.28 
ALUM AMMONIUM POWD ,$81.60 
ALUM HYDROXIDE-MAG CARBONATE 95-358 MG/15ML PO SUSP ,$6.55 
ALUM SULFATE-CA ACETATE EX PACK ,$12.25 
ALUMINUM CHLORIDE 20 % EX SOLN ,$39.38 
ALUMINUM HYDROXIDE GEL 320 MG/5ML PO SUSP ,$12.25 
ALUM-MAG HYDROXIDE-SIMETH 200-200-20 MG/5ML PO SUSP ,$3.00 
ALVIMOPAN 12 MG PO CAPS ,$540.20 
AMANTADINE HCL 100 MG PO CAPS ,$12.25 
AMANTADINE HCL 50 MG/5ML PO SYRP ,$12.25 
AMBU BAG,$70.38 
AMIFOSTINE 500 MG IV SOLR ,"$1,856.09 "
AMIKACIN SULFATE 1 GM/4ML IJ SOLN ,$73.51 
AMILORIDE HCL 5 MG PO TABS ,$12.25 
AMINOCAPROIC ACID 0.25 GM/ML PO SOLN ,$186.54 
AMINOCAPROIC ACID 500 MG PO TABS ,$24.50 
AMINOPHYLLINE 25 MG/ML IV SOLN ,$61.84 
AMIODARONE HCL 150 MG/3ML IV SOLN ,$42.00 
AMIODARONE HCL 200 MG PO TABS ,$12.25 
AMIODARONE HCL BOLUS FROM BAG ,$138.00 
AMIODARONE HCL IN DEXTROSE 150-4.21 MG/100ML-% IV SOLN ,$138.00 
AMIODARONE HCL IN DEXTROSE 360 MG/200ML IV SOLN ,$142.60 
AMIODARONE HCL IN DEXTROSE 360-4.14 MG/200ML-% IV SOLN ,$142.60 
AMITRIPTYLINE HCL 10 MG PO TABS ,$12.25 
AMITRIPTYLINE HCL 25 MG PO TABS ,$12.25 
AMITRIPTYLINE HCL 50 MG PO TABS ,$12.25 
AMLODIPINE BESYLATE 10 MG PO TABS ,$12.25 
AMLODIPINE BESYLATE 2.5 MG PO TABS ,$12.25 
AMLODIPINE BESYLATE 5 MG PO TABS ,$12.25 
AMMONIA AROMATIC IN INHA ,$1.00 
AMMONIUM LACTATE 12 % EX LOTN ,$43.20 
AMOXICILLIN 125 MG/5ML PO SUSR ,$12.25 
AMOXICILLIN 250 MG PO CAPS ,$12.25 
AMOXICILLIN 250 MG/5ML PO SUSR ,$12.25 
AMOXICILLIN 500 MG PO CAPS ,$12.25 
AMOXICILLIN-POT CLAVULANATE 125-31.25 MG/5ML PO SUSR ,$501.30 
AMOXICILLIN-POT CLAVULANATE 200-28.5 MG/5ML PO SUSR ,$21.90 
AMOXICILLIN-POT CLAVULANATE 250-125 MG PO TABS ,$12.25 
AMOXICILLIN-POT CLAVULANATE 250-62.5 MG/5ML PO SUSR ,$197.10 
AMOXICILLIN-POT CLAVULANATE 400-57 MG/5ML PO SUSR ,$12.25 
AMOXICILLIN-POT CLAVULANATE 500-125 MG PO TABS ,$12.25 
AMOXICILLIN-POT CLAVULANATE 600-42.9 MG/5ML PO SUSR ,$64.35 
AMOXICILLIN-POT CLAVULANATE 875-125 MG PO TABS ,$12.25 
AMOXICILLIN-POT CLAVULANATE ER 1000-62.5 MG PO TB12 ,$26.69 
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG PO TABS ,$12.25 
AMPICILLIN SODIUM 2 G IV SOLR ,$12.25 
AMPICILLIN-SULBACTAM SODIUM 1.5 (1-0.5) G IJ SOLR ,$12.25 
AMPICILLIN-SULBACTAM SODIUM 3 (2-1) G IJ SOLR ,$42.00 
AMPLATZ EXTRA STIFF  THSF-35-180,$496.50 
AMPLATZ EXTRA STIFF 035 180CM STR,$127.74 
AMPLATZER OCCLUDER 32MM,"$22,960.00 "
AMPLATZER OCCLUDER 34MM,"$22,960.00 "
AMPLATZER SIZING PLATE,$36.00 
ANAGRELIDE HCL 0.5 MG PO CAPS ,$12.25 
ANAL FISTULA PLUG 0.6X9.5,"$5,850.00 "
ANASTROZOLE 1 MG PO TABS ,$12.25 
ANATOMIC PROX BODY SZ 14 1100-50-000,"$4,032.00 "
ANATOMIC PROXIMAL BODY SZ 12,"$4,032.00 "
ANCHOIR PEG GLENOID SZ48 1136-42-026,"$5,682.99 "
ANCHOR  1192,$900.00 
ANCHOR  2.8MM   25-2800,"$2,460.00 "
ANCHOR  FIBERWIRE 3.0 AR-8934BCNF,"$1,950.00 "
ANCHOR  OTSC 165 CM 200.10,"$2,598.00 "
ANCHOR 2.3 W\SUTURE 72201993,"$2,003.40 "
ANCHOR 3.0 BIO-SUTURE TAK,"$2,532.00 "
ANCHOR 5.5 SPEEDSCREW KNOTLESS,"$2,839.20 "
ANCHOR AR-1322BCNF,"$1,950.00 "
ANCHOR BIO COMP AR-1923BC,"$2,400.00 "
ANCHOR BIO SWIVELOCK,"$2,130.00 "
ANCHOR BIOCOMP 4.75X19.1 AR-2324BCC,"$2,400.00 "
ANCHOR BIOCOMP CRKSCRW 5.5X14.7MM AR-1927BCNF,"$2,010.00 "
ANCHOR BIO-COMP S-TAK AR-1934BCF-2,"$1,920.00 "
ANCHOR BIO-COMP S-TAK AR-1938BC,"$2,550.00 "
ANCHOR BIO-SWIVELOCK 4.75X15,"$2,250.00 "
ANCHOR CORKSCREW AR-1927BCF-45,"$1,950.00 "
ANCHOR CORKSCREW AR-1927BCT,"$2,130.00 "
ANCHOR CORKSCREW AR-1928SF-2,"$1,242.00 "
ANCHOR CORKSCREW AR-1928SF-3,"$1,470.00 "
ANCHOR CORKSCREW AR-1928SF-45,"$1,242.00 "
ANCHOR FIXATION DEVICE OM-7500,"$2,760.00 "
ANCHOR GRYPHON W\ORTHOCORD,"$2,358.00 "
ANCHOR HTO IBALANCE 28MM AR-13401-28,"$2,148.00 "
ANCHOR HTO IBALANCE 38MM AR-13402-38,"$2,148.00 "
ANCHOR HTO IBALANCE 40MM AR-13402-40,"$2,148.00 "
ANCHOR HTO IBALANCE CANC 32MM,"$2,148.00 "
ANCHOR HTO IBALANCE CORT 36 MM,"$1,500.00 "
ANCHOR HTO IBALANCE CORT 50MM,"$1,500.00 "
ANCHOR MICRO BIO AR-1320BCNF,"$2,790.00 "
ANCHOR MICRO QA W/C-1 212866,"$3,162.00 "
ANCHOR MICRO W/3-0 212865,"$3,162.00 "
ANCHOR MINI 212033,"$3,366.00 "
ANCHOR MINILOK 2-0 212851,"$3,348.00 "
ANCHOR MITEK GII MED 212034,"$3,054.00 "
ANCHOR OTSC 220CM 200.11,"$2,598.00 "
ANCHOR PEEK PUSHLOCK 2.9X12.5MM AR-2923PS,"$2,160.00 "
ANCHOR PUSHLOCK KNOTLESS 2.5,"$2,160.00 "
ANCHOR QUICK SUPER 222984,"$3,258.00 "
ANCHOR SPEED SCREW 6.5 OM-8500,"$2,808.48 "
ANCHOR SUPERQUICK SZ2 212032,"$3,504.00 "
ANCHOR SUTURE BIO-COMP 2.9X12.5 AR-2923BC,"$2,400.00 "
ANCHOR SUTURE W\FW AR-1934BF,"$1,380.00 "
ANCHOR SUTURE1.8MM Q-FIX 25-1800,"$2,460.00 "
ANCHOR SUTURETAK AR-1934BCF,"$1,830.00 "
ANCHOR SWIVILOCK AR-1662BC-7,"$2,610.00 "
ANCHOR TWIN FIX 5MM 72202895,"$1,320.00 "
ANCHOR W\#2 SUTURE 72202893,"$1,320.00 "
ANCHORAGE FIXATION PIN,"$1,386.00 "
ANGIODRAP 75X125 DUAL,$80.52 
ANGIOGUARD 5MM  501814REC,"$3,937.50 "
ANGIOGUARD 6MM  601814RMC,"$3,937.50 "
ANGIOGUARD 7MM  701814RMC,"$3,937.50 "
ANGIOJET ZELANTEDVT,"$11,900.00 "
ANTENNA 37092,$480.00 
ANTENNA PERC MWA 12 CM X 3.7,"$7,206.50 "
ANTENNA PERC MWA 17CM X 3.7,"$6,993.70 "
ANTENNA PERC MWA 2.0X12CM,"$6,993.70 "
ANTENNA PERC MWA 2.0X17CM,"$6,993.70 "
ANTENNA PERC MWA 2.0X22CM,"$6,993.70 "
ANTENNA PERC MWA 22CM X 3.7,"$6,993.70 "
ANTENNA SHORT PERCUTANEOUS W/THERMOSPHERE 15CM,"$11,532.50 "
ANTENNA STD PERCUTANEOUS W/THERMOSPHERE 20CM,"$11,532.50 "
ANTICOAGULANT SODIUM CITRATE 4 % VI SOLN ,$42.00 
ANTIVENIN LATRODECTUS MACTANS IJ KIT ,$202.90 
AORTIC EXTENDER 23 PXA230300,"$9,485.00 "
AORTIC EXTENDER 28.5 PLA280300,"$11,672.50 "
AORTIC EXTENDER PLA260300,"$11,389.00 "
AORTIC EXTENDER PXA320400,"$10,062.50 "
AORTIC EXTENSION 34X100,"$18,427.50 "
AORTIC EXTENSION ENTF2828C70E,"$26,512.50 "
APIXABAN 2.5 MG PO TABS ,$19.18 
APIXABAN 5 MG PO TABS ,$12.25 
APIXABAN 5 MG PO TABS DVT/PE TREATMENT ,$12.25 
APPLICATOR ENDO SURGIFLO 1995,$331.08 
APPLICATOR EVICEL 3909,$172.92 
APPLICATOR FLEXI-TIP XL AM0005,$150.00 
APPLICATOR SPRAY TIP PROGEL,$540.00 
APPLICATOR TISSEEL DUPLOTIP,$355.02 
APPLIER 5MM SHORT 031350,"$4,344.00 "
APREPITANT 125 MG PO CAPS ,$551.23 
APREPITANT 130 MG/18ML IV EMUL ,"$1,544.78 "
APREPITANT 80 MG PO CAPS ,$625.34 
AQUAPHOR EX OINT ,$6.55 
ARCH BARS E A BECK 201-001,$249.00 
ARCOMXL ARTICULATION  28X50MM XL-200156,"$5,033.00 "
ARFORMOTEROL TARTRATE 15 MCG/2ML IN NEBU ,$27.17 
ARGININE HCL (DIAGNOSTIC) 10 % IV SOLN ,$250.00 
ARIPIPRAZOLE 10 MG PO TABS ,$12.25 
ARIPIPRAZOLE 15 MG PO TABS ,$12.25 
ARIPIPRAZOLE 2 MG PO TABS ,$12.25 
ARIPIPRAZOLE 5 MG PO TABS ,$12.25 
ARIPIPRAZOLE 9.75 MG/1.3ML IM SOLN ,$194.55 
ARMBOARD FOR ARTLINE,$33.84 
ARTERIOGRAM PACK,$365.28 
ARTHROFLEX 2MMX40MMX70MM,"$10,985.21 "
ARTHROTUNNELER  SMB000101,"$3,570.00 "
ARTIA  CONTOUR 16CMX20CM  320CM  16201097,"$42,728.00 "
ARTIA  CONTOUR LG 164CM  CL1097,"$21,885.50 "
ARTIA  CONTOUR MED 132CM  CM1097,"$17,615.50 "
ARTIA  CONTOUR SM 77CM   CS1097,"$10,276.00 "
ARTIA CONTOUR LG 164CM CL1097P,"$22,543.50 "
ARTIA TISSUE MATRIX   CM1097P,"$18,147.50 "
ARTICULAR INSERT 71420524,"$11,011.00 "
ARTICULAR INSERT 71420526,"$11,011.00 "
ARTICULAR INSERT 71420530,"$10,490.48 "
ARTICULAR INSERT 71453285,"$5,040.00 "
ARTICULAR INSERT RT SZ3\4 15MM 74027236,"$5,400.00 "
ARTICULAR INSERT SZ 1-2 74027222,"$5,400.00 "
ARTICULAR INSERT SZ 2-3 LT 15MM 71423345,"$9,520.14 "
ARTICULAR INSERT SZ 3-4 71420528,"$11,011.00 "
ARTICULAR INSERT SZ 3-4 71453213,"$4,939.59 "
ARTICULAR INSERT SZ 3-4 74027234,"$5,400.00 "
ARTICULAR INSERT SZ 7-8 71453133,"$4,840.92 "
ARTICULAR INSERT SZ 7-8 71453159,"$4,646.15 "
ARTICULAR INSERT SZ5-6 71420537,"$11,011.00 "
ARTICULAR SUF 12MM 5994-30-12,"$7,287.07 "
ARTICULAR SURF 14 5962-51-14,"$5,913.00 "
ARTICULAR SURF 14 5994-42-14,"$7,280.00 "
ARTICULAR SURF 17MM 5994-40-17,"$8,008.00 "
ARTICULAR SURF 17MM 5994-42-17,"$7,280.00 "
ARTICULAR SURF 20MM 5994-40-20,"$7,280.00 "
ARTICULAR SURF 5994-51-10,"$7,280.00 "
ARTICULAR SURF 5994-51-17,"$7,280.00 "
ARTICULAR SURF SZ 10MM 5994-30-10,"$7,280.00 "
ARTICULAR SURF SZ 5 5994-40-10,"$7,280.00 "
ARTICULAR SURFAC 12 5994-50-12,"$7,144.20 "
ARTICULAR SURFACE 14MM 5964-30-14,"$5,278.00 "
ARTICULAR SURFACE 5962-40-14,"$5,913.00 "
ARTICULAR SURFACE 5994-30-14,"$7,280.00 "
ARTICULAR SURFACE 5994-30-17,"$7,280.00 "
ARTICULAR SURFACE 5994-32-12,"$7,280.00 "
ARTICULAR SURFACE 5994-32-14,"$7,280.00 "
ARTICULAR SURFACE 5994-32-23,"$7,144.20 "
ARTICULAR SURFACE 5994-41-17,"$7,280.00 "
ARTICULAR SURFACE G 5994-50-17,"$7,280.00 "
ARTICULAR SURFACE SZ 12MM 5962-40-12,"$5,913.00 "
ARTICULAR SURFACE SZ 69 5220-34-06,"$11,112.50 "
ARTICULAR SURFACE SZ 69 5520-34-06,"$6,000.00 "
ARTICULAR SURFACE SZ C D 12MM 5964-30-12,"$5,278.00 "
ARTICULAR SURFACE SZ C D 17MM 5964-30-17,"$7,976.50 "
ARTICULAR SURFACE SZ E F 17MM 5964-32-17,"$7,976.50 "
ARTICULAR SURFACE SZ EF 17MM 5962-32-17,"$5,913.00 "
ARTICULAR SURFACE SZ G H 5962-42-17,"$6,803.97 "
ARTICULAR SURFACE SZ GH 5962-50-14,"$5,913.00 "
ARTICULATION KIT SZ 4 8400-094-00,"$4,448.50 "
ARTIFICIAL TEARS OINT WR ,$6.97 
ARTIFICIAL TEARS SOLN WR ,$12.25 
ARTISAN LEAD KIT 50CM SC-8216-50,"$12,250.00 "
ASENAPINE MALEATE 10 MG SL SUBL ,$68.29 
ASENAPINE MALEATE 5 MG SL SUBL ,$56.60 
ASPIRIN 325 MG PO TABS ,$1.00 
ASPIRIN 325 MG PO TBEC ,$1.00 
ASPIRIN 600 MG RE SUPP ,$1.00 
ASPIRIN 81 MG PO CHEW ,$1.00 
ASPIRIN 81 MG PO TBEC ,$1.00 
ASPIRIN EC 325 MG PO TBEC ,$1.00 
ASPIRIN-DIPYRIDAMOLE ER 25-200 MG PO CP12 ,$24.24 
ASSEMBLY KIT 91-9480SNC,"$3,180.00 "
ATAZANAVIR SULFATE 150 MG PO CAPS ,$122.42 
ATAZANAVIR SULFATE 200 MG PO CAPS ,$147.81 
ATENOLOL 25 MG PO TABS ,$12.25 
ATENOLOL 50 MG PO TABS ,$12.25 
ATHRECTOMY CORONARY DIAMONDBACK,"$13,282.50 "
ATHRECTOMY HAWKONE LX EXTEDED TIP,"$11,532.50 "
ATHRECTOMY ROTOLINK ADVANCER W/O BURR,"$1,350.00 "
ATHRECTOMY TURBOHAWK SX-C ATHERECTOMY DEVICE,"$11,025.00 "
ATOMOXETINE HCL 10 MG PO CAPS ,$12.25 
ATOMOXETINE HCL 25 MG PO CAPS ,$12.25 
ATOMOXETINE HCL 40 MG PO CAPS ,$12.25 
ATORVASTATIN CALCIUM 10 MG PO TABS ,$12.25 
ATORVASTATIN CALCIUM 20 MG PO TABS ,$12.25 
ATORVASTATIN CALCIUM 40 MG PO TABS ,$12.25 
ATOVAQUONE 750 MG/5ML PO SUSP ,$30.93 
ATOVAQUONE-PROGUANIL HCL 250-100 MG PO TABS ,$12.25 
ATRACURIUM BESYLATE 50 MG/5ML IV SOLN ,$42.00 
ATRICLIP 35MM A000688,"$4,532.50 "
ATRICLIP 40MM A000689,"$4,532.50 "
ATRICLIP 45MM A000690,"$4,532.50 "
ATRICLIP 50MM A000691,"$4,532.50 "
ATROPINE SULFATE 1 % OP SOLN ,$163.91 
ATROPINE SULFATE 1 MG/10ML IJ SOSY ,$54.04 
ATROPINE SULFATE 1 MG/ML IJ SOLN ,$64.52 
ATTACHMENT 2 FINGER 001-401-212S,"$1,254.00 "
ATTUNE CRUC RET SZ 6 1504-00-206,"$6,842.50 "
AUG DISTAL SZ 2X8MM 96-0823,"$5,671.38 "
AUGER HAND HELD MANUAL OPERATE,$278.34 
AUGMENT ACETABULAR WEDGE  5096-4615,"$7,875.00 "
AUGMENT DISTAL SZ 2 4MM 96-0820,"$5,671.38 "
AUGMENT DISTAL SZ 3 8MM 96-0862,"$5,671.38 "
AUGMENT GLENOID DWK404LA15S,"$14,647.50 "
AUGMENT GLENOID DWK404RA15S,"$14,647.50 "
AUGMENT GLENOID DWK405RA15S,"$14,647.50 "
AUGMENT GLENOID DWK405RA25S,"$14,647.50 "
AUGMENT POST SZ 2 8MM 96-0828,"$5,671.38 "
AUGMENT TIBIAL HALF BLOCK  5545-A-601,"$3,819.38 "
AUGMENT TIBIAL HALF BLOCK  5545-A-602,"$3,819.38 "
AUTOTOME RX 39 4519,"$1,302.00 "
AVANCE NERVE GRAFT 211230,"$9,100.00 "
AVANCE NERVE GRAFT 411215,"$6,300.00 "
