HOSPITAL,DESCRIPTION, STD CHARGE 
UPMC PINNACLE MEMORIAL,CALCIUM,$34.00 
UPMC PINNACLE MEMORIAL,SODIUM,$34.00 
UPMC PINNACLE MEMORIAL,ALBUMIN SERUM,$34.00 
UPMC PINNACLE MEMORIAL,PROTEIN TOTAL,$34.00 
UPMC PINNACLE MEMORIAL,POTASSIUM,$28.00 
UPMC PINNACLE MEMORIAL,RETICULOCYTE COUNT,$30.00 
UPMC PINNACLE MEMORIAL,SICKLE CELL PREP,$81.00 
UPMC PINNACLE MEMORIAL,URIC ACID,$34.00 
UPMC PINNACLE MEMORIAL,PROTHROMBIN TIME,$32.00 
UPMC PINNACLE MEMORIAL,BUN,$28.00 
UPMC PINNACLE MEMORIAL,CHOLESTEROL,$25.00 
UPMC PINNACLE MEMORIAL,CREATININE SERUM,$28.00 
UPMC PINNACLE MEMORIAL,GLUCOSE,$22.00 
UPMC PINNACLE MEMORIAL,SEDIMENTATION RATE,$29.00 
UPMC PINNACLE MEMORIAL,CREATININE URINE,$77.00 
UPMC PINNACLE MEMORIAL,OCCULT BLOOD SCRN 1-3,$18.00 
UPMC PINNACLE MEMORIAL,URINALYSIS W-MICRO,$50.00 
UPMC PINNACLE MEMORIAL,URINE DIP W-RFX TO MICROSCOPIC IF IND,$30.00 
UPMC PINNACLE MEMORIAL,FECAL PH,$20.00 
UPMC PINNACLE MEMORIAL,BHCG QUANT,$78.00 
UPMC PINNACLE MEMORIAL,MYOGLOBIN SERUM,$88.00 
UPMC PINNACLE MEMORIAL,ACETAMINOPHEN (LAB TEST),$169.00 
UPMC PINNACLE MEMORIAL,ACETONE SERUM,$77.00 
UPMC PINNACLE MEMORIAL,ALBUMIN FLUID,$33.00 
UPMC PINNACLE MEMORIAL,ALCOHOL (LAB TEST),$64.00 
UPMC PINNACLE MEMORIAL,AMMONIA (LAB TEST),$193.00 
UPMC PINNACLE MEMORIAL,AMYLASE FLUID,$38.00 
UPMC PINNACLE MEMORIAL,C REACTIVE PROTEIN (CRP),$29.00 
UPMC PINNACLE MEMORIAL,CALCIUM URINE,$43.00 
UPMC PINNACLE MEMORIAL,CEL COUNT FLUID CSF,$32.00 
UPMC PINNACLE MEMORIAL,CELL COUNT FLUID BAL,$27.00 
UPMC PINNACLE MEMORIAL,CELL COUNT FLUID OTHER,$38.00 
UPMC PINNACLE MEMORIAL,CELL COUNT FLUID SYNOVIAL,$27.00 
UPMC PINNACLE MEMORIAL,CHLORIDE URINE,$67.00 
UPMC PINNACLE MEMORIAL,CKMB,$80.00 
UPMC PINNACLE MEMORIAL,CREATININE 24 HOUR URINE,$34.00 
UPMC PINNACLE MEMORIAL,CREATININE FLUID,$34.00 
UPMC PINNACLE MEMORIAL,CRYSTAL IDENT JT FLUID,$67.00 
UPMC PINNACLE MEMORIAL,FIBRIN DEGRADATION PRODUCTS,$139.00 
UPMC PINNACLE MEMORIAL,FIBRINOGEN,$154.00 
UPMC PINNACLE MEMORIAL,GLUCOSE 1 HR PP,$32.00 
UPMC PINNACLE MEMORIAL,GLUCOSE CSF,$36.00 
UPMC PINNACLE MEMORIAL,GLUCOSE FLUID,$48.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE FASTING,$26.00 
UPMC PINNACLE MEMORIAL,HCG QUALITATIVE,$36.00 
UPMC PINNACLE MEMORIAL,HDL CHOLESTEROL,$67.00 
UPMC PINNACLE MEMORIAL,HEMOGLOBIN HEMATOCRIT-A,$13.20 
UPMC PINNACLE MEMORIAL,HEMOGLOBIN HEMATOCRIT-B,$15.00 
UPMC PINNACLE MEMORIAL,SEMEN ANALYSIS POST VAS,$108.00 
UPMC PINNACLE MEMORIAL,URINE PREGNACY TEST,$29.00 
UPMC PINNACLE MEMORIAL,IRON TOTAL,$45.00 
UPMC PINNACLE MEMORIAL,KLEIHAUER BETKE,$124.00 
UPMC PINNACLE MEMORIAL,LIPASE,$121.00 
UPMC PINNACLE MEMORIAL,MAGNESIUM,$45.00 
UPMC PINNACLE MEMORIAL,PH URINE,$20.00 
UPMC PINNACLE MEMORIAL,PLATELET COUNT,$18.00 
UPMC PINNACLE MEMORIAL,POTASSIUM URINE,$35.00 
UPMC PINNACLE MEMORIAL,PROTEIN CSF,$34.00 
UPMC PINNACLE MEMORIAL,PROTEIN FLUID,$192.00 
UPMC PINNACLE MEMORIAL,PROTEIN URINE QUAN,$41.00 
UPMC PINNACLE MEMORIAL,REDUC SUB FECES,$51.00 
UPMC PINNACLE MEMORIAL,SALICYLATE,$41.00 
UPMC PINNACLE MEMORIAL,SODIUM URINE,$53.00 
UPMC PINNACLE MEMORIAL,T3 TOTAL,$75.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE ONE HOUR A,$26.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE ONE HOUR B,$27.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE TWO HOUR,$76.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE THREE HOUR A,$76.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE THREE HOUR B,$15.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE FOUR HOUR A,$76.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE FOUR HOUR B,$15.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE FOUR HOUR C,$15.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE FIVE HOUR A,$87.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE FIVE HOUR B,$17.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE FIVE HOUR C,$15.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOLERANCE FIVE HOUR D,$15.00 
UPMC PINNACLE MEMORIAL,CRP-HS-CARDIO,$139.00 
UPMC PINNACLE MEMORIAL,PFA-COLLAGEN-EPI,$180.00 
UPMC PINNACLE MEMORIAL,FSH,$147.00 
UPMC PINNACLE MEMORIAL,PROLACTIN,$218.00 
UPMC PINNACLE MEMORIAL,ESTRADIOL RAPID,$186.00 
UPMC PINNACLE MEMORIAL,CA 125 II,$258.00 
UPMC PINNACLE MEMORIAL,BASIC METABOLIC PANEL,$165.00 
UPMC PINNACLE MEMORIAL,ELECTROLYTE PANEL,$103.00 
UPMC PINNACLE MEMORIAL,COMPREHENSIVE METABOLIC PANEL,$244.00 
UPMC PINNACLE MEMORIAL,HEPATIC FUNCTION PANEL,$123.00 
UPMC PINNACLE MEMORIAL,LIPID PANEL,$106.00 
UPMC PINNACLE MEMORIAL,TROPONIN I,$311.00 
UPMC PINNACLE MEMORIAL,RENAL FUNCTION PANEL,$261.00 
UPMC PINNACLE MEMORIAL,TACROLIMUS (FK506),$110.00 
UPMC PINNACLE MEMORIAL,CYCLOSPORINE AT PIN HEALTH,$124.00 
UPMC PINNACLE MEMORIAL,HEMOGLOBIN (ONLY),$17.00 
UPMC PINNACLE MEMORIAL,HEMATOCRIT (ONLY),$17.00 
UPMC PINNACLE MEMORIAL,B NATURIETIC PEPTIDE,$218.00 
UPMC PINNACLE MEMORIAL,PTT MIXING STUDY A,$57.00 
UPMC PINNACLE MEMORIAL,PTT MIXING STUDY B,$49.00 
UPMC PINNACLE MEMORIAL,PTT MIXING STUDY C,$49.00 
UPMC PINNACLE MEMORIAL,PTT MIXING STUDY D,$49.00 
UPMC PINNACLE MEMORIAL,PROTIME MIXING STUDY A,$38.00 
UPMC PINNACLE MEMORIAL,PROTIME MIXING STUDY B,$32.00 
UPMC PINNACLE MEMORIAL,PROTIME MIXING STUDY C,$32.00 
UPMC PINNACLE MEMORIAL,PROTIME MIXING STUDY D,$32.00 
UPMC PINNACLE MEMORIAL,WBC COUNT W- AUTO DIFF,$61.00 
UPMC PINNACLE MEMORIAL,FETAL FIBRONECTIN,$815.00 
UPMC PINNACLE MEMORIAL,FLUID DIFFERENTIAL,$56.00 
UPMC PINNACLE MEMORIAL,D-DIMER DVT,$171.00 
UPMC PINNACLE MEMORIAL,URINE VOLUME MEASUREMENT,$12.00 
UPMC PINNACLE MEMORIAL,OCCULT BLOOD SCRN 1-3 DETERMIN,$22.00 
UPMC PINNACLE MEMORIAL,COMP DRUG SCREEN A,$132.00 
UPMC PINNACLE MEMORIAL,GASTRIC OCCULT BLOOD,$55.00 
UPMC PINNACLE MEMORIAL,GLUCOSE TOL 2HOUR GESTATIONAL,$76.00 
UPMC PINNACLE MEMORIAL,PROGESTERONE,$198.00 
UPMC PINNACLE MEMORIAL,RUPTURE OF FETAL MEMBRANE (ROM) TES,$364.00 
UPMC PINNACLE MEMORIAL,AFB (TB) CULTURE,$225.00 
UPMC PINNACLE MEMORIAL,AFB (TB) SMEAR,$66.00 
UPMC PINNACLE MEMORIAL,ANAEROBIC CULTURE,$276.00 
UPMC PINNACLE MEMORIAL,BLOOD CULTURE BACTI,$218.00 
UPMC PINNACLE MEMORIAL,BLOOD CULTURE AFB,$90.00 
UPMC PINNACLE MEMORIAL,BLOOD CULTURE FUNGUS,$75.00 
UPMC PINNACLE MEMORIAL,BETA STREP CULTURE,$39.00 
UPMC PINNACLE MEMORIAL,CRYPTOCOCCAL AG QUAL,$160.00 
UPMC PINNACLE MEMORIAL,FUNGUS CULTURE,$203.00 
UPMC PINNACLE MEMORIAL,FUNGUS SMEAR,$25.00 
UPMC PINNACLE MEMORIAL,GC CULTURE,$39.00 
UPMC PINNACLE MEMORIAL,GRAM SMEAR,$81.00 
UPMC PINNACLE MEMORIAL,MONO TEST,$82.00 
UPMC PINNACLE MEMORIAL,EOSINOPHIL SMEAR,$28.00 
UPMC PINNACLE MEMORIAL,WBC SMEAR,$28.00 
UPMC PINNACLE MEMORIAL,ROUTINE CULTURE,$57.00 
UPMC PINNACLE MEMORIAL,GENITAL CULTURE,$57.00 
UPMC PINNACLE MEMORIAL,LOWER RESPIRATORY CULTURE,$57.00 
UPMC PINNACLE MEMORIAL,UPPER RESPIRATORY CULTURE,$57.00 
UPMC PINNACLE MEMORIAL,MICROBE SUSCEPTIBLE MIC,$98.00 
UPMC PINNACLE MEMORIAL,SENSITIVITY (DISK DIFFUSION),$86.00 
UPMC PINNACLE MEMORIAL,MRSA SCREEN,$39.00 
UPMC PINNACLE MEMORIAL,URINE CULTURE,$76.00 
UPMC PINNACLE MEMORIAL,YERSINIA CULTURE,$39.00 
UPMC PINNACLE MEMORIAL,VIBRIO CULTURE,$39.00 
UPMC PINNACLE MEMORIAL,ROTAVIRUS (EIA) ANTIGEN,$171.00 
UPMC PINNACLE MEMORIAL,RAPID FLU AB - A,$51.00 
UPMC PINNACLE MEMORIAL,RAPID FLU AB - B,$45.00 
UPMC PINNACLE MEMORIAL,RAPID GROUP A STREP- IN LAB TEST,$53.00 
UPMC PINNACLE MEMORIAL,CHLAMYDIA GENE AMPLIFICATION,$322.00 
UPMC PINNACLE MEMORIAL,GC GENE AMPLIFICATION,$322.00 
UPMC PINNACLE MEMORIAL,ANAEROBIC ISOLATE IDENT,$124.00 
UPMC PINNACLE MEMORIAL,BETA LACTAMASE DETECTION,$66.00 
UPMC PINNACLE MEMORIAL,DEFINITIVE ID AEROBIC CULT ISO,$77.00 
UPMC PINNACLE MEMORIAL,PRESUMPTIVE ID URINE ISOLATE,$89.00 
UPMC PINNACLE MEMORIAL,MOLD ISOLATE IDENTIFICATION,$113.00 
UPMC PINNACLE MEMORIAL,MYCOBACTERIA IDENTIFICATION,$53.00 
UPMC PINNACLE MEMORIAL,YEAST ISOLATE IDENTIFICATION,$70.00 
UPMC PINNACLE MEMORIAL,CULT TYP AGGLUTINATION METH,$61.00 
UPMC PINNACLE MEMORIAL,GIARDA-CRYPTOSPORIDIA SMEAR A,$105.00 
UPMC PINNACLE MEMORIAL,GIARDA-CRYPTOSPORIDIA SMEAR B,$112.00 
UPMC PINNACLE MEMORIAL,STOOL CULTURE A,$64.00 
UPMC PINNACLE MEMORIAL,STOOL CULTURE B,$39.00 
UPMC PINNACLE MEMORIAL,RSV RAPID TEST,$105.00 
UPMC PINNACLE MEMORIAL,SHIGA TOXIN 12 A,$90.00 
UPMC PINNACLE MEMORIAL,SHIGA TOXIN 12 B,$90.00 
UPMC PINNACLE MEMORIAL,STOOL CULTURE C,$39.00 
UPMC PINNACLE MEMORIAL,HSV 1-2 BY REAL-TIME PCR A,$322.00 
UPMC PINNACLE MEMORIAL,C.DIFFICILE TOXIN ASSAY BY PCR,$333.00 
UPMC PINNACLE MEMORIAL,INFLUENZA A-B PCR,$339.00 
UPMC PINNACLE MEMORIAL,FUNGUS CULT SKIN HAIR NAIL,$132.00 
UPMC PINNACLE MEMORIAL,STREP A DNA PROBEAMPLIFICATION,$150.00 
UPMC PINNACLE MEMORIAL,CDIFF TOXIN,$51.00 
UPMC PINNACLE MEMORIAL,RHEUMATOID FACTOR-QUAL,$21.00 
UPMC PINNACLE MEMORIAL,11-DESOXYCORTISOL,$166.00 
UPMC PINNACLE MEMORIAL,ACETYLCHOLINE REC BIND AB,$218.00 
UPMC PINNACLE MEMORIAL,ACTH,$478.00 
UPMC PINNACLE MEMORIAL,ALDOLASE,$117.00 
UPMC PINNACLE MEMORIAL,ALDOSTERONE,$425.00 
UPMC PINNACLE MEMORIAL,ALDOSTERONE URINE,$243.00 
UPMC PINNACLE MEMORIAL,ALPHA 1 ANTITRYPSIN,$92.00 
UPMC PINNACLE MEMORIAL,AMIKACIN,$116.00 
UPMC PINNACLE MEMORIAL,AMINO ACIDS ION EXCHANGE,$800.00 
UPMC PINNACLE MEMORIAL,ANCA PROFILE - A,$48.00 
UPMC PINNACLE MEMORIAL,ANCA PROFILE - B,$48.00 
UPMC PINNACLE MEMORIAL,ANDROSTANEDIOL GLUCURONIDE,$279.00 
UPMC PINNACLE MEMORIAL,ANDROSTENEDIONE RIA,$223.00 
UPMC PINNACLE MEMORIAL,ANGIOTENSIN CONV ENZ (ACE),$160.00 
UPMC PINNACLE MEMORIAL,ANTI - GBM ABS,$88.00 
UPMC PINNACLE MEMORIAL,ANTI-HISTONE ABS,$102.00 
UPMC PINNACLE MEMORIAL,ANTI MYELOPEROXIDASE ANTIBODIES,$88.00 
UPMC PINNACLE MEMORIAL,ANTITHROMBIN III ACTIVITY,$180.00 
UPMC PINNACLE MEMORIAL,ANTITHROMBIN III AG,$214.00 
UPMC PINNACLE MEMORIAL,APOLIPOPROTEIN PROFILE - A,$106.00 
UPMC PINNACLE MEMORIAL,APOLIPOPROTEIN PROFILE - B,$92.00 
UPMC PINNACLE MEMORIAL,BETA 2 MICROGLOB BLOOD,$229.00 
UPMC PINNACLE MEMORIAL,C PEPTIDE,$195.00 
UPMC PINNACLE MEMORIAL,CA 19 - 9,$229.00 
UPMC PINNACLE MEMORIAL,CA 27.29,$229.00 
UPMC PINNACLE MEMORIAL,CALCULUS ANALYSIS,$62.00 
UPMC PINNACLE MEMORIAL,CANDIDA ALBICANS AB,$146.00 
UPMC PINNACLE MEMORIAL,CARDIOLIPIN ABS - A,$179.00 
UPMC PINNACLE MEMORIAL,CARDIOLIPIN ABS - B,$154.00 
UPMC PINNACLE MEMORIAL,CARDIOLIPIN ABS - C,$154.00 
UPMC PINNACLE MEMORIAL,CERULOPLASMIN,$105.00 
UPMC PINNACLE MEMORIAL,CMV CULTURE,$80.00 
UPMC PINNACLE MEMORIAL,COCCIDIODES IMMITIS ABS,$101.00 
UPMC PINNACLE MEMORIAL,COMPLEMENT CH-50,$256.00 
UPMC PINNACLE MEMORIAL,COPPER BLOOD,$161.00 
UPMC PINNACLE MEMORIAL,CORTISOL URINE,$101.00 
UPMC PINNACLE MEMORIAL,CRYOGLOBULIN QUANT,$84.00 
UPMC PINNACLE MEMORIAL,CSF IGG INDEX RATE - A,$28.00 
UPMC PINNACLE MEMORIAL,CSF IGG INDEX RATE - B,$55.00 
UPMC PINNACLE MEMORIAL,CSF IGG INDEX RATE - C,$55.00 
UPMC PINNACLE MEMORIAL,CSF IGG INDEX RATE - D,$13.20 
UPMC PINNACLE MEMORIAL,CYANIDE,$84.00 
UPMC PINNACLE MEMORIAL,CYTOMEGALOVIRUS IGG AB EIA,$140.00 
UPMC PINNACLE MEMORIAL,CYTOMEGALOVIRUS IGM AB EIA,$135.00 
UPMC PINNACLE MEMORIAL,DEHYDROEPIANDROSTERONE (DHEA),$122.00 
UPMC PINNACLE MEMORIAL,DILANTIN (PHENYTOIN) FREE,$66.00 
UPMC PINNACLE MEMORIAL,DNA ABS DBL STRANDED (NATIVE),$198.00 
UPMC PINNACLE MEMORIAL,ECHOVIRUS AB - B,$78.00 
UPMC PINNACLE MEMORIAL,ENDOMYSIAL IGA ABS,$88.00 
UPMC PINNACLE MEMORIAL,EPSTEIN BARR VCA IGG AB,$195.00 
UPMC PINNACLE MEMORIAL,EPSTEIN BARR VCA IGM AB,$107.00 
UPMC PINNACLE MEMORIAL,EPSTEIN BARR VIRUS AB EVAL - B,$107.00 
UPMC PINNACLE MEMORIAL,EPSTEIN BARR VIRUS AB EVAL - C,$107.00 
UPMC PINNACLE MEMORIAL,EPSTEIN BARR VIRUS AB EVAL - D,$107.00 
UPMC PINNACLE MEMORIAL,ERYTHROPOIETIN,$256.00 
UPMC PINNACLE MEMORIAL,ESTROGEN TOTAL SERUM,$237.00 
UPMC PINNACLE MEMORIAL,FACTOR II (2) ACTIVITY,$51.00 
UPMC PINNACLE MEMORIAL,FACTOR V (5) ACTIVITY,$137.00 
UPMC PINNACLE MEMORIAL,FRUCTOSAMINE SERUM,$92.00 
UPMC PINNACLE MEMORIAL,G6PD QUANTITATIVE,$114.00 
UPMC PINNACLE MEMORIAL,GLIADIN - GLUTEN AB PANEL - A,$88.00 
UPMC PINNACLE MEMORIAL,GLIADIN - GLUTEN AB PANEL - B,$88.00 
UPMC PINNACLE MEMORIAL,H INFLUENZAE TYPE B VAC RESP,$76.00 
UPMC PINNACLE MEMORIAL,HCV RNA QUANT BY PCR,$926.00 
UPMC PINNACLE MEMORIAL,HEPATITIS B CORE IGM AB,$222.00 
UPMC PINNACLE MEMORIAL,HEPATITIS BE AB,$154.00 
UPMC PINNACLE MEMORIAL,HEPATITIS BE AG,$142.00 
UPMC PINNACLE MEMORIAL,HEPATITIS POST VACCINE SCRN,$84.00 
UPMC PINNACLE MEMORIAL,HERPES SIMPLEX VIRUS TYPING,$22.00 
UPMC PINNACLE MEMORIAL,HIAA - 5 URINE,$185.00 
UPMC PINNACLE MEMORIAL,HLA-B27 HISTOCOMPATIBILITY AG,$269.00 
UPMC PINNACLE MEMORIAL,HOMOCYSTEINE,$189.00 
UPMC PINNACLE MEMORIAL,HSV 12 IGG AB - A,$158.00 
UPMC PINNACLE MEMORIAL,HSV 12 IGG AB - B,$78.00 
UPMC PINNACLE MEMORIAL,HSV-VZV DIF CULTURE - A,$154.00 
UPMC PINNACLE MEMORIAL,HSV-VZV DIF CULTURE - B,$112.00 
UPMC PINNACLE MEMORIAL,HSV-VZV DIF CULTURE - C,$112.00 
UPMC PINNACLE MEMORIAL,HUMAN PARVO IGG IGM ACUTE - A,$103.00 
UPMC PINNACLE MEMORIAL,HUMAN PARVO IGG IGM ACUTE - B,$90.00 
UPMC PINNACLE MEMORIAL,IGD,$55.00 
UPMC PINNACLE MEMORIAL,IGE,$155.00 
UPMC PINNACLE MEMORIAL,IMMUNOFIXATION SERUM,$239.00 
UPMC PINNACLE MEMORIAL,INSULIN,$95.00 
UPMC PINNACLE MEMORIAL,INSULIN-LIKE GROWTH FACTOR-1,$191.00 
UPMC PINNACLE MEMORIAL,LAMOTRIGINE,$215.00 
UPMC PINNACLE MEMORIAL,LEAD BLOOD,$137.00 
UPMC PINNACLE MEMORIAL,LEGIONELLA URINARY ANTIGEN,$103.00 
UPMC PINNACLE MEMORIAL,METANEPHRINES FRAC URINE,$100.00 
UPMC PINNACLE MEMORIAL,METHYLMALONIC ACID QUAN,$155.00 
UPMC PINNACLE MEMORIAL,MITOCHONDRIAL ABS,$72.00 
UPMC PINNACLE MEMORIAL,MULTIPLE SCLEROSIS PROFILE - E,$155.00 
UPMC PINNACLE MEMORIAL,MUMPS VIRUS ABS - A,$90.00 
UPMC PINNACLE MEMORIAL,MUMPS VIRUS ABS - B,$78.00 
UPMC PINNACLE MEMORIAL,MUMPS VIRUS IGG ABS,$78.00 
UPMC PINNACLE MEMORIAL,MYCOPLASMA PNEUMO IGG ABS,$90.00 
UPMC PINNACLE MEMORIAL,MYCOPLASMA PNEUMO IGM ABS,$78.00 
UPMC PINNACLE MEMORIAL,MYELIN BASIC PROTEIN CSF,$133.00 
UPMC PINNACLE MEMORIAL,MYOGLOBIN QUANT URINE,$77.00 
UPMC PINNACLE MEMORIAL,OLIGOCLONAL PROTEINS CSF,$226.00 
UPMC PINNACLE MEMORIAL,PROGESTERONE 17 ALPHA-HYDROXY,$131.00 
UPMC PINNACLE MEMORIAL,PROSTAGLANDIN,$166.00 
UPMC PINNACLE MEMORIAL,PROSTATIC ACID PHOSPHATASE,$175.00 
UPMC PINNACLE MEMORIAL,PROTEIN C ACTIVITY,$195.00 
UPMC PINNACLE MEMORIAL,PROTEIN C ANTIGEN,$358.00 
UPMC PINNACLE MEMORIAL,PROTEIN S TOTAL FREE - A,$311.00 
UPMC PINNACLE MEMORIAL,PROTEIN S TOTAL FREE - B,$214.00 
UPMC PINNACLE MEMORIAL,PROTEIN S TOTAL ANTIGEN,$128.00 
UPMC PINNACLE MEMORIAL,PSA % FREE TOTAL - A,$108.00 
UPMC PINNACLE MEMORIAL,PSA % FREE TOTAL - B,$292.00 
UPMC PINNACLE MEMORIAL,RENIN-DIRECT,$384.00 
UPMC PINNACLE MEMORIAL,RUBELLA VIRUS IGM ABS,$80.00 
UPMC PINNACLE MEMORIAL,SCLERODERMA (SCL-70) ABS,$106.00 
UPMC PINNACLE MEMORIAL,SEX HORM BIND GLOB,$95.00 
UPMC PINNACLE MEMORIAL,SMOOTH MUSCLE ABS,$88.00 
UPMC PINNACLE MEMORIAL,FREE T3,$433.00 
UPMC PINNACLE MEMORIAL,T4 FREE DIALYSIS - A,$40.00 
UPMC PINNACLE MEMORIAL,T4 FREE DIALYSIS - B,$61.00 
UPMC PINNACLE MEMORIAL,TESTOSTERONE FREE - A,$154.00 
UPMC PINNACLE MEMORIAL,TESTOSTERONE FREE - B,$153.00 
UPMC PINNACLE MEMORIAL,TESTOSTERONE TOTAL,$153.00 
UPMC PINNACLE MEMORIAL,TOXOPLASMA IGG,$183.00 
UPMC PINNACLE MEMORIAL,TOXOPLASMA IGM,$155.00 
UPMC PINNACLE MEMORIAL,TRYPTASE,$77.00 
UPMC PINNACLE MEMORIAL,UREAPLASMA-MYCOPLASMA CULTURE,$226.00 
UPMC PINNACLE MEMORIAL,VARICELLA ZOSTER AB PANEL - B,$76.00 
UPMC PINNACLE MEMORIAL,VARICELLA ZOSTER IGG ABS,$76.00 
UPMC PINNACLE MEMORIAL,VITAMIN A,$56.00 
UPMC PINNACLE MEMORIAL,VITAMIN B1 PLASMA,$123.00 
UPMC PINNACLE MEMORIAL,VITAMIN B6,$166.00 
UPMC PINNACLE MEMORIAL,VITAMIN D 125-DIHYDROXY,$208.00 
UPMC PINNACLE MEMORIAL,VITAMIN D 25-HYDROXY,$160.00 
UPMC PINNACLE MEMORIAL,VON WILLEBRANDS PANEL - A,$106.00 
UPMC PINNACLE MEMORIAL,VON WILLEBRANDS PANEL - B,$191.00 
UPMC PINNACLE MEMORIAL,VON WILLEBRANDS PANEL - C,$136.00 
UPMC PINNACLE MEMORIAL,VON WILLEBRANDS PANEL - D,$34.00 
UPMC PINNACLE MEMORIAL,ZINC PROTOPORPHYRIN (ZPP),$121.00 
UPMC PINNACLE MEMORIAL,ZINC SERUM,$138.00 
UPMC PINNACLE MEMORIAL,ALPHA FETOPROTEIN TUMOR MARKER,$100.00 
UPMC PINNACLE MEMORIAL,ANA-QUANTITATIVE,$202.00 
UPMC PINNACLE MEMORIAL,ANTI-ASO-ASO,$167.00 
UPMC PINNACLE MEMORIAL,BETA-HCG TUMOR MARKER,$79.00 
UPMC PINNACLE MEMORIAL,CEA,$121.00 
UPMC PINNACLE MEMORIAL,COMPLEMENT C3,$70.00 
UPMC PINNACLE MEMORIAL,COMPLEMENT C4,$70.00 
UPMC PINNACLE MEMORIAL,CORTISOL SERUM,$276.00 
UPMC PINNACLE MEMORIAL,DHEA SULFATE,$243.00 
UPMC PINNACLE MEMORIAL,ENA ABS (ANTI-SM-RNP) - A,$106.00 
