"Category","Department","Charge","Cost"
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","CORONARY THROMBECTOMY",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","CPR (CODE BLUE)",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","INJ CATH LT VENT/LT ATR ANGIO",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","INJ CATH RT VENT/RT ATR ANGIOG",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","INJ PROC CATH FOR PUL ANGIOGRA",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","INJ PROC CATH FOR SUPRA AORTOG",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","INS PAC ELEC LEFT EXI DUAL LDS",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","INS PAC ELEC LEFT EXI MULTLDS",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","INS PACE GEN ONLY W EXIST LEAD",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","INSERTION VENT ASSIST, PERC",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","INTRA-AORTIC BALLOON INSERT",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","INTRAVASC DOP COR FLOW",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","INTRAVASC DOP COR FLOW EA VESS",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","IVUS ADD VESSEL",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","IVUS CORONARY",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","LEFT HEART CATH",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","LT HRT CATH BT TRANSSEP PUNCT",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","MITRAL VALVULOPLASTY",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PERC REVAS CHRON TOT OC EA AD",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PERC REVASC ACUTE TOT OCC",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PERC REVASC CHRON TOT OCC",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PERC REVASC COR BYP GRAFT SING",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PERC REVASC COR BYP GRFT EA AD",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PERC STENT ANG SINGLE",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PERC STENT W ANG EA ADDL",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PERICARDIOCENTESIS",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PTCE ARTHEREC W STENT EA ADDL",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PTCI ARTERECTOMY EA ADDL",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PTCI ATHERECTOMY W ANG SINGLE",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PTCI ATHERECTOMY W STENT SING",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PTCI EA ADDL BRANCH",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PTCI SGL MAJOR COR",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","PULMONIC VALVULOPLASTY",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","REM ICD GEN W REPL GEN DUAL",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","REM ICD GEN W REPL GEN MUL",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","REM ICD GEN W REPLA GEN SING",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","REM PER PACE GEN W PEPL DUAL L",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","REM PER PACE GEN W REPL MULT L",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","REM PER PACE GEN W REPL SGL LE",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","REMOVAL OF PERC VENTRIC ASSIST",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","REPOSITION PERC VENTRIC ASSIST",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","RIGHT & LEFT HEART CATH",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","RIGHT HEART CATH",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","SEL CATH MAN REN AR FOR REN UN",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","SEL CATH PLA MAN REN ART AN BI",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","SUPER CATH PL SEC ORD REN BILA",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","SUPER CATH PLA SEC ORD REN UNI",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","SWAN GANZ",$1.00
"CARDIAC CATHETERIZATION","INTERV CARDIOVASCULAR SERVICES","THROMBOLYTIC INFUSION INTRACOR",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","ABD PARA DX OR TX W/ IMAG GUID",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","CHOLE, PERCUTAN COMPLETE PROC",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","DECLOTT THROM AGENT VASC ACC/C",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","DES NEU AG NEU PAR LUMB SAC",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","DES NEU AGEN PARA CERV THOR AD",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","DES NEU PAR LUM SAC EA ADD FAC",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","DEST NEUR AGENT PARA FAC JNT M",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","INSER IVC FIL ENDO APP INC VAS",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","INSERT OF PERITON CATH PERM",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","MECH REM CVA PERI OBS VIA LUM",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","MECH REM CVA PERICATH OBS VIA",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","PERI LAVAGE INCL IMAG GUIDANCE",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","PICC W/O PORT/PUMP >5YRS",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","PICC W/SUB Q PORT/PUMP <5YRS",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","PICC W/SUBQ PORT/PUMP >5YRS",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REM TUNN CVA W/ PORT/PUMP",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REM TUNN CVA W/O PORT/PUMP",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REMOVAL OF PERM INTRAPERI CATH",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REMOVE NEPH TUBE",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REPAIR CVA/PICC W/O SUBQ PORT/",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REPAIR CVA/PICC W/SUBQ PORT/PU",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REPL TUNNELED CVA NO PORT/PUMP",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REPLA NON-TUNN CVA NO PORT/PUM",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REPLACE PICC NO PORT/PUMP",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REPLACE PICC W/ PORT",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REPLACE TUNN CVA W/ PORT",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REPLACE TUNN CVA W/ PUMP",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REPLACE(CATH ONLY) CVA/PICC SU",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","REPO IVC FILT ENDO APP INCL VA",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","RETR IVC FILT ENDO APP INC VAS",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","SUPER CATH PL SEC ORD REN BILA",$1.00
"CARDIAC CATHETERIZATION","INTERVENTIONAL RADIOLOGY","SUPER CATH PLA SEC ORD REN UNI",$1.00
"CARDIAC REHABILITATION","CARDIAC REHAB PHASE II","CARDIAC REHAB",$183.84
"CARDIOLOGY","CARDIOLOGY","24 HR BP MONITOR W/ SCAN REPOR",$259.44
"CARDIOLOGY","CARDIOLOGY","AMB B/P MONITORING RECORDING",$86.48
"CARDIOLOGY","CARDIOLOGY","CARDIOVERSION",$389.17
"CARDIOLOGY","CARDIOLOGY","CARDIOVERSION W/ TEE",$43.24
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","AICD FOLLOW UP VIA EP TESTING",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","CARD STRESS CONT PHARM STRESS",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","CARDIOVERSION",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","COMP,EP W/ ARRYTHMIA INDUCTION",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","COMP,EP W/ LA PACE OR CSLA REC",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","COMP,EP W/O ARRYTHMIA INDUCT",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","EP W/ DRUG INFUSION",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","EP W/ LV RECORD/PACE",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","HIS ABLATION",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","HIS BUNDLE",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","IMPLANT OF PAT ACT RECORDER",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","IN INFUSION DX 1 HR",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INS ICD GEN ONLY SGL LEAD",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INS NEW/REPL PACE W TRANS VENT",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INS PAC ELEC LEFT PACE ICD PP",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INS PACE CARD VEN IV W PREV PP",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INS PACE GEN ONLY SGL LEAD",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INS PACE GEN ONLY W DUAL CHG",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INS TRNSVEN ELEC PERM PAC ICD",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INS/REP PACE ICD LEA SGL/DUAL",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INSE OF NEW/REP PACE W TRAN AT",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INSERT/REPL PACE ELECT AT/VENT",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INTRA-ATRIAL PACING",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INTRA-ATRIAL RECORDING",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INTRACARD ECHO TX W/ DX INTERV",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","INTRA-VENTRICULAR PACING",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","IV INFUSION DX ADD",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","PERC SEP REDUC ALCOHOL SEP ABL",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","PHARM AGENT ADMINISTRAT W/ HEM",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","PHYSIO EXER ARM ERGO NC HEMO",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","RELOCAT SKIN POCKET ICD",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","REM ICD GEN ONLY",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","REM OF PAT ACT CARD RECORDER",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","REM PERM PACE GENERATION ONLY",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","REM TRAN PACE SGL LEAD AT/VENT",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","REM TRANS PACE ELEC DUAL LEAD",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","REMOV ICD GEN ONLY TRANSVEN",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","REP 2 TRANS ELECT PERM OR ICD",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","REPAIR SINGL TRANS PERM OR ICD",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","REPO PREV IMP CARD INCL INS/EX",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","REPOSIT PREV IMP PACE OR ICD",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","REV/RELOC SKIN POCKET FOR PACE",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","RIGHT VENTRICULAR RECORDING",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","SGL LEAD ONLY PACE LEAD REVISI",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","TEMPORARY PACEMAKER",$1.00
"CARDIOLOGY","INTERV CARDIOVASCULAR SERVICES","UPGRADE OF IMPLANT SING TO DOU",$1.00
"CARDIOLOGY","INTERVENTIONAL RADIOLOGY","3RD LEV PARAVRT FCT CERV THOR",$1.00
"CARDIOLOGY","INTERVENTIONAL RADIOLOGY","3RD LEV PARAVRT FCT LUM SAC JT",$1.00
"CARDIOLOGY","INTERVENTIONAL RADIOLOGY","ABLAT TX RENL TUMR U PERC CRYO",$1.00
"CARDIOLOGY","INTERVENTIONAL RADIOLOGY","ABLATION THER,LIVER TUMORS",$1.00
"CARDIOLOGY","INTERVENTIONAL RADIOLOGY","ABLATION THER,PULM TUMORS",$1.00
"CARDIOLOGY","INTERVENTIONAL RADIOLOGY","ABLATION THERAPY,LIVER TUMOR",$1.00
"CARDIOLOGY","INTERVENTIONAL RADIOLOGY","ABLATION TX RENAL TUMOR UNI",$1.00
"CARDIOLOGY","INTERVENTIONAL RADIOLOGY","ADDL 2ND 3RD + ABD PEL LOW EXT",$1.00
"CARDIOLOGY","INTERVENTIONAL RADIOLOGY","ART.CATH OR CANN.FOR SAMP,MONT",$1.00
"CARDIOLOGY","INTERVENTIONAL RADIOLOGY","ASPIRATION OF BLADDER W/CATH",$1.00
"CARDIOLOGY","INTERVENTIONAL RADIOLOGY","ASPIRATION OR INJECTION",$1.00
