CDM Description,CDM Price,,,The information contained in this file is being provided in compliance with the Centers for Medicare and Medicaid Services (CMS) requirement [FY 2019 IPPS/LTCH PPS Final Rule; CMS-1694-F] ,
ACETAMIN ELX 160MG/5ML 5ML,$1.35 ,,,,"medications, drugs which can be based on weight-based dosage, age or packaging; etc."
ACETAMIN ELX 32MG/ML 1ML,$15.00 ,,,,
ACETAMIN SUPP 120MG,$1.15 ,,,8,"Certain items and or services have a zero dollar price in the CDM for a variety of reasons – contracted billing services that drop charges externally, no cost supplies, "
ACETAMIN SUPP 325MG,$1.45 ,,,,"Investigational device or medication exemption items in clinical trials and studies, replacement for a recalled or defective device, explode codes and other system limitations.  "
ACETAMIN SUPP 650MG,$1.20 ,,,,"Such items and services will appear with zero dollar and is not reflective of the actual charge. In addition, items and or services are sometimes assigned a one penny price to reflect, "
ACETAMIN TAB 325MG,$1.00 ,,,,"for example, a state provided medication or drug, contrast items, therapy status codes used for CMS reporting, etc. and Is not reflective of the actual charge contained outside of the chargemaster"
ACETAMIN TAB CHW 80MG,$1.05 ,,,,
ACETAMIN TAB SR 650MG,$1.05 ,,,9,"The file may also contain CDM items for non-charges (such as payments, allowances, transactions, etc."
ACETAMIN/COD ELX 1ML,$3.00 ,,,,
ACETAMIN/COD ELX 5ML,$3.50 ,,,,
ACETAMIN/COD TAB 300MG/30MG,$3.10 ,,,,
ACETAMIN/TRAM TAB 325MG/37.5MG,$3.30 ,,,,
ACETAZOLAMIDE CAP 500MG,$4.05 ,,,,
ACETAZOLAMIDE TAB 125MG,$1.25 ,,,,
ACETAZOLAMIDE TAB 250MG,$1.45 ,,,,
ACETAZOLAMIDE VL 500MG,$134.00 ,,,,
ACETIC ACID 0.25% IRRIG 1000ML,$6.90 ,,,,
ACETIC ACID 5% IRRIG 500ML,$6.90 ,,,,
ACETYLCHOLINE EYE SOL KIT 15ML,$29.00 ,,,,
ACETYLCYSTEINE 600MG CAP,$1.15 ,,,,
ACETYLCYSTEINE INJ 6GM 30ML,$299.00 ,,,,
ACETYLCYSTEINE VL 20% 1ML,$15.00 ,,,,
ACETYLCYSTEINE VL 20% 30ML,$6.45 ,,,,
ACETYLCYSTEINE VL 20% 4ML,$4.10 ,,,,
ACHR BINDING AB,$387.00 ,,,,
ACHR BLOCKING AB,$387.00 ,,,,
ACHR MODULATING AB,$387.00 ,,,,
ACTH ADRENOCORTICOTROPIC,$310.00 ,,,,
ACTIVATED PROTEIN C RSTNC,$138.00 ,,,,
ACYCLOVIR CAP 200MG,$1.05 ,,,,
ACYCLOVIR OINT 5% 15GM,$42.15 ,,,,
ACYCLOVIR SUSP 40MG/ML 1ML,$15.00 ,,,,
ACYCLOVIR TAB 400MG,$1.10 ,,,,
ACYCLOVIR VL 500MG 10ML,$165.00 ,,,,
ACYLCARNITINES QN,$68.00 ,,,,
AD TRICYCLIC 1-2 DEFIN ASSAY,$198.00 ,,,,
AD TRICYCLIC 3-5 DEFIN ASSAY,$198.00 ,,,,
ADENOSINE VL 3MG/ML 20ML,$281.00 ,,,,
ADENOSINE VL 3MG/ML 2ML,$75.00 ,,,,
ADENOSINE VL 3MG/ML 30ML,$250.00 ,,,,
ADMIN IMMUNIZATION ADDL,$39.00 ,,,,
ADMIN IMMUNIZATION ONE,$63.00 ,,,,
ADMIN VACCINE HEPATITIS B,$47.00 ,,,,
ADMIN VACCINE INFLUENZA,$46.00 ,,,,
ADMIN VACCINE PNEUMOCOCCAL,$73.00 ,,,,
AEROSOL PENTAMIDINE,$174.00 ,,,,
ALBUMIN BODY FLUID QN,$68.00 ,,,,
ALBUMIN CSF QN,$68.00 ,,,,
ALBUMIN SERUM PLASMA W BLD,$53.00 ,,,,
ALBUMIN VL 25% 100ML,$309.00 ,,,,
ALBUMIN VL 5% 500ML,$189.00 ,,,,
ALBUMIN VL 5% 50ML,$103.00 ,,,,
ALBUTEROL HFA MDI 6.7GM,$79.00 ,,,,
ALBUTEROL HFA MDI 8GM,$56.00 ,,,,
ALBUTEROL HFA MDI DOSE,$2.50 ,,,,
ALBUTEROL INH SOL 0.083% 3ML,$2.60 ,,,,
ALBUTEROL INH SOL 0.5% 20ML,$45.00 ,,,,
ALBUTEROL SYRP 2MG/5ML 1ML,$15.00 ,,,,
ALBUTEROL SYRP 2MG/5ML 5ML,$1.05 ,,,,
ALBUTEROL TAB SR 4MG,$2.15 ,,,,
ALCOHOL BLD/SERUM DEFIN ASSAY,$198.00 ,,,,
ALCOHOL UR DEFIN ASSAY,$198.00 ,,,,
ALDOSTERONE,$365.00 ,,,,
ALENDRONATE TAB 35MG,$1.75 ,,,,
ALENDRONATE TAB 70MG,$1.70 ,,,,
ALFENTANIL AMP 500MCG/ML 5ML,$110.00 ,,,,
ALKALINE PHOSPHATASE,$64.00 ,,,,
ALKALINE PHOSPHATASE ISOENZYME,$143.00 ,,,,
ALKALOIDS DEFIN ASSAY,$198.00 ,,,,
ALKALOIDS DEFIN ASSAY UR,$198.00 ,,,,
ALLOPURINOL TAB 100MG,$1.20 ,,,,
ALLOPURINOL TAB 150MG,$1.05 ,,,,
ALLOPURINOL TAB 300MG,$1.10 ,,,,
ALLOPURINOL TAB 50MG,$1.05 ,,,,
ALPHA 1 PROTEINASE INHIB 10MG,$79.00 ,,,,
ALPHA 1-PROTEINASE INH 1050MG,"$1,028.00 ",,,,
ALPHA FETOPROTEIN,$337.00 ,,,,
ALPHA-1 ANTITRYPSIN,$268.00 ,,,,
ALPRAZOLAM TAB 0.125MG,$3.05 ,,,,
ALPRAZOLAM TAB 0.25MG,$3.05 ,,,,
ALPRAZOLAM TAB 0.5MG,$3.05 ,,,,
ALPRAZOLAM TAB 1MG,$3.05 ,,,,
ALPROSTADIL AMP 500MCG,$143.00 ,,,,
ALT/SGPT,$65.00 ,,,,
ALTEPLASE 1 MG BOLUS,$6.90 ,,,,
ALTEPLASE 100MG,"$15,879.00 ",,,,
ALTEPLASE 2MG,$380.00 ,,,,
ALUM ACET PKT,$1.55 ,,,,
ALUM HYDROXIDE 320MG/5ML 480ML,$6.50 ,,,,
ALUMINUM,$156.00 ,,,,
ALVIMOPAN CAP 12MG,$120.90 ,,,,
AMANTADINE CAP 100MG,$1.50 ,,,,
AMANTADINE SYR 50MG/5ML 1ML,$15.00 ,,,,
AMBISOME VL 50MG/GEQ,$187.00 ,,,,
AMIFOSTINE VL 500MG,$617.00 ,,,,
AMIKACIN PEAK,$144.00 ,,,,
AMIKACIN TROUGH,$144.00 ,,,,
AMIKACIN VL 250MG/ML 2ML,$84.00 ,,,,
AMINO ACIDS 6 OR MORE QN,$515.00 ,,,,
AMINO ACIDS 6 OR MORE QN URINE,$515.00 ,,,,
AMINOCAP ACID VL 5GM,$70.00 ,,,,
AMINOPHYLLINE VL 500MG,$72.00 ,,,,
AMIODARONE INJ 50MG/ML 3ML,$70.00 ,,,,
AMIODARONE IV 150MG/D5W100,$106.00 ,,,,
AMIODARONE TAB 100MG,$3.30 ,,,,
AMIODARONE TAB 200MG,$1.10 ,,,,
AMIODARONE/D5 360MG/200ML RTU,$109.00 ,,,,
AMITRIPTYLINE TAB 10MG,$1.05 ,,,,
AMITRIPTYLINE TAB 25MG,$1.20 ,,,,
AMLODIPINE TAB 10MG,$1.00 ,,,,
AMLODIPINE TAB 2.5MG,$1.00 ,,,,
AMLODIPINE TAB 5MG,$1.00 ,,,,
AMMON LACTATE CRM 140GM,$6.40 ,,,,
AMMONIA,$204.00 ,,,,
AMMONIA INH AMP,$1.15 ,,,,
AMOX/K CLAV SUSP 250/5 1ML,$15.00 ,,,,
AMOX/K CLAV SUSP 250/5 5ML,$6.10 ,,,,
AMOX/K CLAV SUSP 400/5 1ML,$15.00 ,,,,
AMOX/K CLAV SUSP 600/5 1ML,$15.00 ,,,,
AMOX/K CLAV TAB 500MG,$1.50 ,,,,
AMOX/K CLAV TAB 875MG,$1.55 ,,,,
AMOX/K CLAV TAB CHW 200MG,$2.15 ,,,,
AMOXICILLIN CAP 250MG,$1.10 ,,,,
AMOXICILLIN SUSP 50/ML 1ML,$15.00 ,,,,
AMP/SULBAC VL 1.5GM,$71.00 ,,,,
AMP/SULBAC VL 3GM,$71.00 ,,,,
AMPHET <=2 DEFINITIVE ASSAY,$291.00 ,,,,
AMPHET 3-4 DEFINITIVE ASSAY,$198.00 ,,,,
AMPICILLIN CAP 250MG,$1.05 ,,,,
AMPICILLIN IVPB 2GM,$214.00 ,,,,
AMPICILLIN VL 1GM,$73.00 ,,,,
AMPICILLIN VL 250MG,$70.00 ,,,,
AMPICILLIN VL 2GM,$77.00 ,,,,
AMPICILLIN VL 500MG,$73.00 ,,,,
AMYLASE,$105.00 ,,,,
ANALG N-OPIOD 1-2 DEFIN ASSAY,$198.00 ,,,,
ANALG N-OPIOD 3-5 DEFIN ASSAY,$198.00 ,,,,
ANASTROZOLE TAB 1MG,$18.00 ,,,,
ANCA AB SCR,$315.00 ,,,,
ANES GENERAL 1ST 15 MIN,$796.00 ,,,,
ANES GENERAL ADD 15 MIN,$344.00 ,,,,
ANES MAC 1ST 15 MIN,$521.00 ,,,,
ANES MAC ADD 15 MIN,$219.00 ,,,,
ANGIOTENSIN 1 ENZYME (ACE),$245.00 ,,,,
ANTIBODY ID RBC PANEL,$140.00 ,,,,
ANTIBODY SCREEN RBC,$152.00 ,,,,
ANTIDIURETIC HRMONE (VASOPRES),$348.00 ,,,,
ANTIEPILEPTIC 1-3 DEFIN ASSY,$198.00 ,,,,
ANTINUCLEAR AB SCR,$87.00 ,,,,
ANTINUCLEAR AB TITER,$193.00 ,,,,
ANTIPSYCHOTICS 1-3 DEFIN ASSY,$198.00 ,,,,
ANTITHROMBIN III ACTIVITY,$129.00 ,,,,
ANTITHROMBIN(HUMAN) VL 500IU,"$2,108.00 ",,,,
ANTIVENON CROTALIDAE VL,"$4,864.00 ",,,,
ANUSOL SUPP/GEQ,$1.15 ,,,,
APIXABAN TAB 2.5MG,$5.20 ,,,,
APIXABAN TAB 5MG,$5.45 ,,,,
APPLICATION SPLINT/CAST/STRAP,$295.00 ,,,,
APRACLONIDIN EYE SOL 0.5% 5ML,$58.00 ,,,,
AQUAPHOR OINT 454GM,$8.75 ,,,,
AQUAPHOR OINT 454GM,$8.75 ,,,,
ARFORMOTEROL INH SOL 15MCG/2ML,$8.30 ,,,,
ARGATROBAN INJ NONESRD VL 50MG,$231.00 ,,,,
ARGATROBAN INJ NONESRD VL250MG,"$2,432.00 ",,,,
ARIPIPRAZOLE KIT 400MG N/C,$6.90 ,,,,
ARIPIPRAZOLE LAUR 1064MG KITNC,$6.90 ,,,,
ARIPIPRAZOLE LAUR 441MG KITNC,$6.90 ,,,,
ARIPIPRAZOLE LAUR 662MG KITNC,$6.90 ,,,,
ARIPIPRAZOLE LAUR 882MG KITNC,$6.90 ,,,,
ARIPIPRAZOLE TAB 10MG,$9.55 ,,,,
ARIPIPRAZOLE TAB 15MG,$15.60 ,,,,
ARIPIPRAZOLE TAB 2MG,$13.95 ,,,,
ARIPIPRAZOLE TAB 5MG,$15.60 ,,,,
ARIPIPRAZOLE TAB 7.5MG,$8.30 ,,,,
ARSENIC,$186.00 ,,,,
ARSENIC HAIR/NAILS,$186.00 ,,,,
ARSENIC URINE,$502.00 ,,,,
ARTIFI TEAR EYE SOL 1/4% 15ML,$4.40 ,,,,
ASENAPINE TAB SL 10MG,$8.45 ,,,,
ASENAPINE TAB SL 5MG,$8.45 ,,,,
ASPARAGINASE VL 10000IU,$160.00 ,,,,
ASPERGILLUS AB,$299.00 ,,,,
ASPERGILLUS AGN IA TECH,$243.00 ,,,,
ASPERGILLUS FUMIGATUS AB,$299.00 ,,,,
ASPIRATION BREAST CYST,$748.00 ,,,,
ASPIRATION BREAST CYST ADDL,$589.00 ,,,,
ASPIRIN SUPP 300MG,$1.00 ,,,,
ASPIRIN TAB 325MG,$1.00 ,,,,
ASPIRIN TAB BUFFERED 325MG,$1.00 ,,,,
ASPIRIN TAB CHW 81MG,$1.05 ,,,,
ASPIRIN TAB EC 325MG,$1.00 ,,,,
ASPIRIN TAB EC 81MG,$1.00 ,,,,
AST/SGOT,$52.00 ,,,,
ATENOLOL TAB 12.5MG,$1.00 ,,,,
ATENOLOL TAB 25MG,$1.00 ,,,,
ATENOLOL TAB 50MG,$1.05 ,,,,
ATOMOXETINE CAP 25MG,$3.70 ,,,,
ATOMOXETINE CAP 40MG,$3.70 ,,,,
ATORVASTATIN TAB 10MG,$1.15 ,,,,
ATORVASTATIN TAB 20MG,$1.15 ,,,,
ATORVASTATIN TAB 40MG,$1.15 ,,,,
ATORVASTATIN TAB 5MG,$2.00 ,,,,
ATRACURIUM VL 10MG/ML 5ML,$83.00 ,,,,
ATROPINE EYE OINT 1% 3.5GM,$4.70 ,,,,
ATROPINE EYE SOL 1% 5ML,$61.35 ,,,,
ATROPINE INJ 0.1MG/ML 10ML,$70.00 ,,,,
ATROPINE VL 0.4MG/ML 1ML,$68.00 ,,,,
ATROPINE VL 1MG/ML 1ML,$68.00 ,,,,
AVITENE FLOUR 1 GM,$105.30 ,,,,
AVITENE WEB,$105.30 ,,,,
AZACTIDINE VL 100MG,"$1,092.00 ",,,,
AZATHIOPRINE TAB 50MG,$1.55 ,,,,
AZELASTINE EYE SOL 0.05%,$53.00 ,,,,
AZELASTINE NAS SPRY 17MG,$79.80 ,,,,
AZITHROMYCIN IVPB 500MG,$99.00 ,,,,
AZITHROMYCIN SUSP 200/5 1ML,$15.00 ,,,,
AZITHROMYCIN SUSP 200/5 22.5ML,$14.75 ,,,,
AZITHROMYCIN TAB 250MG,$2.40 ,,,,
AZITHROMYCIN VL 500MG,$74.00 ,,,,
AZTREONAM VL 1GM,$125.00 ,,,,
AZTREONAM VL 2GM,$161.00 ,,,,
B & O SUPP #15A,$23.30 ,,,,
BACITRACIN EYE OINT 3.5GM,$61.05 ,,,,
BACITRACIN OINT 30GM,$5.65 ,,,,
BACITRACIN VL 50000U,$79.00 ,,,,
BACLOFEN IT 50MCG/ML 1ML,$243.00 ,,,,
BACLOFEN SUSP 2MG/ML 10ML,$1.50 ,,,,
BACLOFEN SUSP 2MG/ML 1ML,$15.00 ,,,,
BACLOFEN TAB 10MG,$1.20 ,,,,
BACLOFEN TAB 20MG,$1.05 ,,,,
BACLOFEN TAB 5MG,$1.15 ,,,,
BARBITURATES DEFINITIVE ASSAY,$198.00 ,,,,
BARIUM SULF CREAM 60% 454GM,$3.00 ,,,,
BARIUM SULF PWD 98% W/W 340GM,$3.00 ,,,,
BARIUM SULF SUSP 0.1% 450ML,$3.00 ,,,,
BARIUM SULF SUSP 2.1% 450ML,$3.00 ,,,,
BARIUM SULF SUSP 40% 148GM,$3.00 ,,,,
BARIUM SULF SUSP 40% 250ML,$3.00 ,,,,
BARIUM SULF SUSP 60% 355ML,$3.00 ,,,,
BARIUM SULF SUSP58%W/W 1900ML,$3.00 ,,,,
BARIUM SULF TAB 700MG,$1.00 ,,,,
BARRIER OST SKIN SOLID 4X4 L1,$56.00 ,,,,
BARTONELLA AB (CAT SCRATCH),$367.00 ,,,,
BASIC METABOLIC PANEL,$146.00 ,,,,
BASIC METABOLIC PANEL ICA,$139.00 ,,,,
BECAPLERMIN GEL 15GM,$773.85 ,,,,
BECLOMETH MDI 40MCG/8.7GM,$171.00 ,,,,
BEER 12OZ,$2.50 ,,,,
BELIMUMAB VL 120MG,"$1,076.00 ",,,,
BELIMUMAB VL 400MG,"$3,429.00 ",,,,
BELT OSTOMY LEVEL 1,$60.00 ,,,,
BENAZEPRIL TAB 10MG,$1.10 ,,,,
BENAZEPRIL TAB 2.5MG,$1.05 ,,,,
BENAZEPRIL TAB 20MG,$1.10 ,,,,
BENAZEPRIL TAB 5MG,$1.05 ,,,,
BENDAMUSTINE 1 MG/0.04 ML VIAL,$106.00 ,,,,
BENZO 1-12 DEFINITIVE ASSAY,$531.00 ,,,,
BENZOCAINE GEL 20% 12GM,$8.45 ,,,,
BENZOCAINE METER SPRY 20% 60ML,$23.45 ,,,,
BENZOCAINE OINT 20% 30GM,$6.55 ,,,,
BENZOCAINE SPRY 20% 60GM,$24.20 ,,,,
BENZOCAINE SPRY 20% 60ML,$7.45 ,,,,
BENZOIN TINCTURE SPRAY 120ML,$8.40 ,,,,
BENZONATATE CAP 100MG,$1.25 ,,,,
BENZONATATE CAP 200MG,$1.35 ,,,,
BENZOYL PEROX GEL 10% 45GM,$4.80 ,,,,
BENZTROPINE AMP 1MG/ML 2ML,$155.00 ,,,,
BENZTROPINE TAB 0.5MG,$1.10 ,,,,
BENZTROPINE TAB 1MG,$1.05 ,,,,
BETA SOD PHOS/ACE VL 6/ML 5ML,$121.00 ,,,,
BETA-2 MICROGLOBULIN,$492.00 ,,,,
BETAMETH/CLOTRIMAZOLE CRM 15GM,$9.80 ,,,,
BETAMETH/CLOTRIMAZOLE LOT 30ML,$98.00 ,,,,
BETAXOLOL TAB 10MG,$1.75 ,,,,
BETHANECHOL TAB 25MG,$1.25 ,,,,
BETHANECHOL TAB 5MG,$1.10 ,,,,
BICALUTAMIDE TAB 50MG,$18.00 ,,,,
BILIRUBIN DIRECT,$125.00 ,,,,
BILIRUBIN TOTAL,$104.00 ,,,,
BIOPSY NDL BREAST PERC LT,$572.00 ,,,,
BIOPSY NDL BREAST PERC RT,$572.00 ,,,,
BISACODYL SUPP 10MG,$1.05 ,,,,
BISACODYL TAB 5MG,$1.00 ,,,,
BISMUTH SUBSAL LIQ 240ML,$4.35 ,,,,
BISOPROLOL FUM TAB 2.5MG,$1.30 ,,,,
BISOPROLOL FUM TAB 5MG,$1.70 ,,,,
BISOPROLOL/HCTZ TAB 10/6.25MG,$1.75 ,,,,
BIT/BUR LEVEL 5,$825.00 ,,,,
BIVALIRUDIN VL 250MG,"$1,665.00 ",,,,
BLADE LEVEL 1,$165.00 ,,,,
BLASTOMYCES AB,$158.00 ,,,,
BLD COUNT AUTO DIFF WBC,$111.00 ,,,,
BLEEDING TIME,$149.00 ,,,,
BLEOMYCIN VL 15U,$105.00 ,,,,
BLISTEX OINT 6GM/GEQ,$4.20 ,,,,
BLOOD GAS PH,$92.00 ,,,,
BLOOD GAS PH PCO2 PO2,$221.00 ,,,,
BLOOD SMEAR WO DIFF,$198.00 ,,,,
BLOOD SMEAR WO DIFF BAND COUNT,$198.00 ,,,,
BLOOD TYPING ABO,$60.00 ,,,,
BLOOD TYPING RH (D),$30.00 ,,,,
BLUE DYE 1ML,$15.00 ,,,,
BONE MARROW DX BIOPSY,"$1,676.00 ",,,,
BONE MARROW DX BIOPSY BL,"$2,514.00 ",,,,
BONE MARROW DX BIOPSY LT,"$1,676.00 ",,,,
BONE MARROW DX BIOPSY RT,"$1,676.00 ",,,,
BORDETELLA PERTUS AG IF,$183.00 ,,,,
BORRELIA (LYME) NAP AMPLIFIED,$150.00 ,,,,
BORTEZOMIB VL 2.5MG/1ML 1.4ML,"$2,353.00 ",,,,
BORTEZOMIB VL 3.5MG,"$2,362.00 ",,,,
BOTULINUM TOX VL 100U,"$1,226.00 ",,,,
BRIMONIDINE EYE SOL 0.15% 5ML,$87.75 ,,,,
BRIMONIDINE EYE SOL 0.2% 5ML,$5.10 ,,,,
BRINZOLAMIDE EYE SOL 0.1% 5ML,$106.45 ,,,,
BRINZOLAMIDE EYE SOL 1% 10ML,$235.10 ,,,,
BRONCHOSPASM PROVOCATION EVAL,$314.00 ,,,,
BRUCELLA AB,$455.00 ,,,,
BTY AG DONOR EA AG REF2,$140.00 ,,,,
BTY RBC AG NON ABO/RH EA,$80.00 ,,,,
BUDESONIDE 3MG CAPSR,$12.80 ,,,,
BUDESONIDE INH SUSP 0.25MG 2ML,$6.25 ,,,,
BUDESONIDE INH SUSP 0.5MG 2ML,$10.25 ,,,,
BUDESONIDE MDI 180MCG 120DOSES,$137.00 ,,,,
BUDESONIDE/FORMOT MDI 160/4.5,$164.00 ,,,,
BUMETANIDE TAB 1MG,$1.25 ,,,,
BUMETANIDE VL 0.25MG/ML 10ML,$71.00 ,,,,
BUMETANIDE VL 0.25MG/ML 4ML,$70.00 ,,,,
BUPIVACAINE PF 0.5% 30ML,$71.00 ,,,,
BUPIVACAINE VL 0.25% 10ML,$71.00 ,,,,
BUPIVACAINE VL 0.25% 30ML,$75.00 ,,,,
BUPIVACAINE VL 0.25% 50ML,$34.00 ,,,,
BUPIVACAINE VL 0.5% 10ML,$75.00 ,,,,
BUPIVACAINE VL 0.75% 10ML,$71.00 ,,,,
BUPIVACAINE VL 0.75% 1ML,$93.00 ,,,,
BUPIVACAINE VL 0.75% 30ML,$76.00 ,,,,
BUPIVACAINE/DEX VL 0.75% 2ML,$71.00 ,,,,
BUPIVACAINE/EPI VL 0.25% 10ML,$70.00 ,,,,
BUPIVACAINE/EPI VL 0.25% 30ML,$73.00 ,,,,
BUPIVACAINE/EPI VL 0.5% 10ML,$70.00 ,,,,
BUPIVACAINE/EPI VL 0.5% 30ML,$73.00 ,,,,
BUPIVACAINE/EPI VL 0.5% 50ML,$35.00 ,,,,
BUPREN/NALOXONE FILM 12MG/3MG,$16.80 ,,,,
BUPREN/NALOXONE FILM 2MG/0.5MG,$6.65 ,,,,
BUPREN/NALOXONE FILM 8MG/2MG,$9.55 ,,,,
BUPRENORPH/NALOX <= 6MG,$9.90 ,,,,
BUPRENORPHINE AMP 0.3MG,$125.00 ,,,,
BUPRENORPHINE TAB SL 2MG,$4.50 ,,,,
BUPROPION TAB 100MG,$1.15 ,,,,
BUPROPION TAB 50MG,$1.10 ,,,,
BUPROPION TAB 75MG,$1.15 ,,,,
BUPROPION TAB SR 100MG,$1.35 ,,,,
BUPROPION TAB SR 150MG,$1.40 ,,,,
BUPROPION TAB XL 150MG,$1.45 ,,,,
BUSPIRONE TAB 15MG,$1.05 ,,,,
BUSPIRONE TAB 5MG,$1.05 ,,,,
BUSPIRONE TAB 7.5MG,$1.05 ,,,,
BUSULFAN TAB 2MG,$17.00 ,,,,
BUTORPHANOL NAS SPRY 2.5ML,$15.60 ,,,,
BUTORPHANOL VL 1MG/ML 1ML,$89.00 ,,,,
BX BRST PERC 1ST LES US,"$2,071.00 ",,,,
BX BRST PERC EA ADD LES US,"$1,300.00 ",,,,
C DIFFICILE AMPLIFIED PROBE,$349.00 ,,,,
C-1 ESTERASE INHIBITOR,$270.00 ,,,,
C1ESTERASE INHIB500UN BENINERT,"$4,758.00 ",,,,
CA 125,$224.00 ,,,,
CA 15 3,$90.00 ,,,,
CA 19 9,$96.00 ,,,,
CA 27.29,$90.00 ,,,,
CA CARB SUSP 1250/5 1ML,$15.00 ,,,,
CA CARB SUSP 1250/5 5ML,$1.35 ,,,,
CA CARB TAB CHW 500MG (EA),$1.00 ,,,,
CA CARB TAB CHW 750MG (EA),$1.00 ,,,,
CA CARB/SOD FLUOR CAP,$1.10 ,,,,
CA CHL INJ 10% 10ML (1GM),$78.00 ,,,,
CA CIT/VIT D TAB 315/250MG,$1.05 ,,,,
CA GLUC VL 10% 10ML (1GM),$79.00 ,,,,
CA GLUC VL 10% 10ML (1GM),$69.00 ,,,,
CADMIUM,$162.00 ,,,,
CADMIUM URINE,$150.00 ,,,,
CAFF/NA BENZ AMP 250MG/ML 2ML,$91.00 ,,,,
CAFFEINE,$270.00 ,,,,
CAFFEINE CIT SOL 20MG/ML 1ML,$25.00 ,,,,
CAFFEINE CIT VL 20MG/ML 3ML,$93.00 ,,,,
CALAMINE LOT 180ML,$4.30 ,,,,
CALAMINE/PRAMOXINE LOT 180ML,$4.80 ,,,,
CALCIPOTRIENE CRM 0.005% 60GM,$269.60 ,,,,
CALCITONIN,$228.00 ,,,,
CALCITONIN NAS SPRY 3.7ML,$59.15 ,,,,
CALCITONIN VL 200IU/ML 2ML,"$2,308.00 ",,,,
CALCIUM IONIZED,$141.00 ,,,,
CALCIUM TOTAL,$53.00 ,,,,
CALCULUS (STONE) INFRARED,$261.00 ,,,,
CANDIDA SKIN TEST,$88.00 ,,,,
CANNABINOIDS DEFIN ASSAY,$288.00 ,,,,
CANNULA TRACH INNER LVL 1,$43.00 ,,,,
CANTHOPLASTY BL,$1.00 ,,,,
CAPECITABINE TAB 500MG,$40.00 ,,,,
CAPILLARY BLOOD DRAW,$48.00 ,,,,
CAPSAICIN CRM 0.025% 60GM,$5.85 ,,,,
CAPTOPRIL TAB 12.5MG,$1.00 ,,,,
CAPTOPRIL TAB 25MG,$1.05 ,,,,
CARBACHOL INTRAOCULAR VL 1.5ML,$11.30 ,,,,
CARBAMAZEPINE CAP SR 100MG,$2.05 ,,,,
CARBAMAZEPINE SUSP 100/5 1ML,$15.00 ,,,,
CARBAMAZEPINE SUSP 100/5 5ML,$2.05 ,,,,
CARBAMAZEPINE TAB 100MG,$1.05 ,,,,
CARBAMAZEPINE TAB 200MG,$1.05 ,,,,
CARBAMAZEPINE TAB 50MG,$1.05 ,,,,
