CPT Code,CPT/Charge Description,List Price
12004,REP LAC 7.6 CM-12.5 CM (FAC),$844.75 
12004,SIMPLE REPAIR SUPER WOUNDS 7.6 TO 12.5CM,$844.75 
12004,SIMPLE REPAIR SUPER WOUNDS 7.6-2.5CM PHY,$844.75 
12005,REPAIR SUPERFICIAL WOUND OF SCALP (PHYS),"$1,554.00 "
12005,SIMPLE REPAIR 12.6 TO 20.0 CM,"$1,554.00 "
12011,FACIAL LAC 2.5 CM OR LESS,$844.75 
12011,FACIAL LAC 2.5 CM OR LESS,$844.75 
12011,RPR F/E/E/N/L/M 2.5 CM/<,$844.75 
12013,FACIAL LAC 2.6 CM-5.0 CM,$844.75 
12013,FACIAL LAC 2.6 CM-5.0 CM,$844.75 
12013,RPR SIMPLE FACIAL LAC 2.6 TO 5 CM ER PHY,$844.75 
12014,REPAIR F/E/E/L/M 5.1-7.5 CM,$844.75 
12014,REPAIR F/E/E/L/M 5.1-7.5 CM-ER PHY,$844.75 
12015,REPAIR F/E/E/L/M 7.6-12.5 CM,$844.75 
12015,Rpr f/e/e/n/l/m 7.6-12.5 cm,$844.75 
12020,"TREATMENT OF SUPERFICIAL WOUND, DEHISCEN","$2,441.00 "
12020,"TREATMENT OF SUPERFICIAL WOUND, PHY","$2,441.00 "
12031,12031 LAYER CLOSE SCALP/AXILLA/TRUNK <2.,"$1,554.00 "
12031,REPAIR WND INTRMED =< 2.5CM-ER PHY,"$1,554.00 "
12031,REPAIR WOUND INTERMEDIATE 2.5 CM OR LESS,"$1,554.00 "
12031,REPAIR WOUND INTERMEDIATE 2.5 CM OR LESS,"$1,554.00 "
12032,12032 LAYER CLOSE SCALP/AXILLA/TRUNK 2.6,"$1,554.00 "
12032,INTMD RPR S/A/T/EXT 2.6-7.5,"$1,554.00 "
12032,REPAIR WOUND 2.6 CM TO 7.5 CM,"$1,554.00 "
12034,REPAIR WOUND INTERMEDIATE 7.6 TO 12.5 CM,"$1,554.00 "
12035,REPAIR INTERMED WOUNDS 12.6 TO 20CM,"$1,554.00 "
12035,REPAIR INTERMED WOUNDS 12.6 TO 20CM,"$1,554.00 "
12041,12041 LAYER CLOSE NECK/HAND/FEET <2.5CM,"$1,554.00 "
12041,LAYERED CLOSURE WOUND 2.5 CM OR < ER PHY,"$1,554.00 "
12041,REPAIR INT WOUND NECK HAND FEET 2.5CM <,"$1,554.00 "
12042,12042 LAYER CLOSE NECK/HAND/FEET 2.6-7.5,"$1,554.00 "
12042,LAYERED CLOSURE WOUND 2.6-7.5 CM PHY,"$1,554.00 "
12042,REPAIR INTERMEDIATE WOUNDS 2.6 TO 7.5 CM,"$1,554.00 "
12046,REPAIR INTERMEDIATE  20.1 TO 30.0 CM,"$1,554.00 "
12051,REPAIR FAC  2.5 CM OR LESS,"$1,554.00 "
12051,"REPAIR, INTERMEDIATE, WOUND, 2.5CM OR LE","$1,554.00 "
12051,"REPAIR, INTERMEDIATE, WOUND, 2.5CM, PHY","$1,554.00 "
12052,"CLOSURE INTMD 2.6-5.0CM, FACE, EARS","$1,554.00 "
12052,RPR INTRM FACIAL 2.6 TO 5 CM,"$1,554.00 "
12052,RPR INTRM FACIAL 2.6 TO 5 CM ER PHY,"$1,554.00 "
12053,REPAIR LACERATION 5.1CM TO 7.5CM,"$1,554.00 "
12054,"REPAIR, INTERMEDIATE, WOUND OF FACE, EAR","$1,554.00 "
12054,"REPAIR,INTERMED,WOUND OF FACE, EARS PHYS","$1,554.00 "
12056,"REPAIR, INTERMEDIATE, WOUND, 20.1-30CM","$1,554.00 "
12056,"REPAIR, INTERMEDIATE, WOUND, 20.1CM, PHY","$1,554.00 "
13100,REPAIR COMPLEX TRUNK 1.1-2.5 CM,"$2,441.00 "
13101,REPAIR COMPLEX TRUNK 2.6-7.5 CM,"$2,441.00 "
13121,REPAIR  COMPLEX  2.6 TO 7.5 CM,"$2,441.00 "
13131,REPAIR COMPLEX 1.1-2.5 CM,"$1,554.00 "
13131,REPAIR COMPLEX FOREHEAD 1.1-2.5 CM,"$1,554.00 "
13132,REPAIR COMPLEX FOREHEAD 2.6-7.5 CM,"$2,441.00 "
13151,REPAIR COMPLEX EYELIDS 1.1-2.5 CM,"$2,441.00 "
13152,REPAIR COMPLEX EYLIDS 2.6-7.5 CM,"$2,441.00 "
13160,SECONDARY CLOSURE OF SURGICAL DEHISCENCE,"$7,842.15 "
14040,ADJ TISSUE TRANSFER OR REARRANGEMENT,"$7,842.15 "
14041,"TISSUE REARRANGE, FOREHEAD, CHEEK, FACE","$7,842.15 "
14060,"TISSUE REARRANGE, EYELIDS, NOSE,<10SQ CM","$7,842.15 "
14061,"TISSUE REARRANGE,EYELIDS, NOSE,10-30SQ","$7,842.15 "
15002,"PREP OF RECIPIENT SITE-TRUNK,ARMS <100SQ","$7,842.15 "
15003,ADDITIONAL 100 SQ CM,"$21,374.90 "
15004,"PREP OF RECIPIENT SITE-FACE,NECK 100SQ","$2,441.00 "
15005,ADDITIONAL 100 SQ CM,"$21,374.90 "
15100,"STSG - TRUNK, ARMS, LEGS <100 SQ CM","$7,842.15 "
15101,STSG - ADDITIONAL 100 SQ CM,"$21,374.90 "
15120,"STSG - FACE, NECK, GENITALIA<100 SQ CM","$13,552.40 "
15121,STSG - ADDITIONAL 100 SQ CM,"$21,374.90 "
15271,LEG <100SQ CM (FIRST 25SQ CM),"$7,842.15 "
15272,LEG ADDITIONAL 25 SQ CM,"$14,112.10 "
15273,LEG 100 SQ CM,"$13,552.40 "
15274,LEG ADDITIONAL 100 SQ CM,"$21,374.90 "
15275,FOOT <25SQ CM,"$7,842.15 "
15276,FOOT ADDITIONAL 25 SQ CM,"$14,112.10 "
15277,FOOT 100 SQ CM,"$7,842.15 "
15278,FOOT ADDITIONAL 100 SQ CM,"$21,374.90 "
15620,APPL SKIN GRAT 100 SQ CM < FIRST 25 SQ,"$7,842.15 "
15850,SUTURE REMOVAL,"$2,441.00 "
15850,SUTURE REMOVAL DIF SURGEON,"$2,441.00 "
16000,FIRST DEGREE BURN,$844.75 
16020,BURN DEBRIDEMENT SMALL,$844.75 
16020,BURN DEBRIDEMENT SMALL,$844.75 
16020,"DEBRIDEMENT: SKIN, PARTIAL THICKNESS",$844.75 
16025,BURN DEBRIDEMENT MEDIUM,$844.75 
16025,BURN DEBRIDEMENT MEDIUM,$844.75 
16030,BURN DEBRIDEMENT LARGE,"$1,554.00 "
16030,BURN DEBRIDEMENT LARGE,"$1,554.00 "
16036,DEBRID SKIN EACH ADDL 20CM <5% BODY FAT,"$4,286.70 "
17250,CHEMICAL CAUTERY,$844.75 
19303,MASTECTOMY SIMPLE COMPLETE,"$24,059.40 "
19303,"MASTECTOMY, SIMPLE, COMPLETE","$24,059.40 "
20005,SOFT TISSUE ABSCESS - COMPLEX,"$6,740.15 "
20103,EXPLORATION WOUND SEPARATE EXTREMITY,"$2,864.25 "
20220,BONE BIOPSY TROCAR SUPERFICIAL,"$6,740.15 "
20225,BONE BIOPSY TROCAR DEEP,"$6,740.15 "
20240,BONE BIOPSY OPEN,"$11,624.35 "
20520,REMOVAL OF FOREIGN IN MUSCLE BODY;SIMPLE,"$6,740.15 "
20525,REMOVAL FOREIGN BODY MUSCLE COMPLICATED,"$11,624.35 "
20526,"INJECTION,THERAPEU(LOCAL ANES)CARPAL TUN","$1,223.50 "
20550,INJECTION FOR PAIN-TENDON OR LIGAMENT,"$1,223.50 "
20550,"INJECTION(S);SINGLE TENDON SHEATH, OR LI","$1,223.50 "
20551,INJ; SINGLE TENDON,"$2,111.30 "
20552,INJ SINGLE/MULT TRIGGER POINT 1 OR 2 MUS,"$1,223.50 "
20552,INJ TRIGGER POINT 1/2 MUSCL,"$1,223.50 "
20552,INJ TRIGGER POINT 1/2 MUSCL,"$1,223.50 "
20553,"INJ;SINGLE OR MULTIPLE TRIGGER, 3+ MUSC","$1,223.50 "
20553,"INJECTIONS, SINGLE OR MULTIPLE, 3+ MUSC","$1,223.50 "
20600,SMALL JOINT ARTHOCENTESIS W/O ULTRASOUND,"$1,223.50 "
20600,SMALL JOINT ARTHOCENTESIS W/O ULTRASOUND,"$1,223.50 "
20605,INJECTION INTERMEDIATE JOINT,"$1,223.50 "
20605,MEDIUM JOINT WRIST ELBOW ANKLE ARTHOCENT,"$1,223.50 "
20605,MEDIUM JOINT WRIST ELBOW ANKLE ARTHOCENT,"$1,223.50 "
20606,"ARTHRO, ASPIRATION AND/OR INJECTI, WRIST","$2,716.90 "
20606,"ARTHRO, ASPIRATION AND/OR INJECTI, WRIST","$2,716.90 "
20610,ASPIRATION LRG JNT HIP/KNEE/SHLDR ER PHY,"$1,223.50 "
20610,LARGE JOINT HIP KNEE SHOULDER ASPIRATION,"$1,223.50 "
20610,LRG JNT HIP/KNEE/SHLDER ASPIRATION,"$1,223.50 "
20611,"ARTHROCENTE, ASPIRATION AND/OR INJECTION","$1,223.50 "
20612,ASPIRATION/INJECTION GANGLION CYST,"$1,223.50 "
20680,REMOVAL IMPLANT DEEP,"$11,624.35 "
21315,REDUCTION OF NASAL FRACTURE,"$5,690.40 "
21320,REDUCTION OF NASAL FRACTURE W/SPLINT PAC,"$10,995.30 "
21480,CLOSED TX TMJ DISLOCATION,"$1,074.50 "
21480,CLOSED TX TMJ DISLOCATION ER PHY,"$1,074.50 "
22551,ARTHRD ANT INTRBDY DECOMP CERVICAL,"$50,614.60 "
22554,ARTHRD ANT INTRBDY CERVICAL BLW C2,"$50,614.60 "
23412,REPAIR RUPTRE MUSC TND CUFF,"$28,032.10 "
23500,FX CARE CLAVICLE WITHOUT MANIPULATION,"$1,074.50 "
23505, CLAVICLE REDUCTION OF DISLOCATION,"$6,749.70 "
23505,FX CARE CLAVICLE WITHOUT MANIPULATION,"$6,749.70 "
23605,FX CARE HUMEROUS WITH MANIPULATION,"$6,749.70 "
23615,OPEN TRTMT PROXIMAL HUMERAL FRACTURE,"$50,614.60 "
23650,"CLOSED TRMT OF SHOULDER DISC, W/O ANES","$1,074.50 "
23650,CLOSED TRMT SHLDR DISC NO ANES ER PHY,"$1,074.50 "
24200,REMOVE ELBOW ARM FOREIGN BODY,"$6,740.15 "
24201,REMOVE ELBOW /UPPER ARM FOREIGN BODY,"$11,624.35 "
24359,TENOTOMY ELBOW TENNIS ELBOW,"$13,226.15 "
24600,ELBOW REDUCTION OF DISLOCAITON,"$1,074.50 "
24640,CLOSED TX ELBOW DISLOCATION CHILD,"$1,074.50 "
24640,CLOSED TX ELBOW DISLOCATION CHILD,"$1,074.50 "
24640,CLOSED TX ELBOW DISLOCATION CHILD ER PHY,"$1,074.50 "
25000,INCISION SRIST DEQUERVAINS DISEASE,"$6,749.70 "
25075,"EXCISION, TUMOR, FOREARM/WRIST, SUBCUTAN","$6,740.15 "
25111,EXCISION GANGLION WRIST PRIMARY,"$6,749.70 "
25115,RADICAL EXICICION BURSA SYNOVIA WRIST,"$6,749.70 "
25116,EXCUSUIB IF BRSA  WRIST FOREARM,"$13,226.15 "
25248,REMOVE FOREARM FOREIGN BODY DEEP,"$6,749.70 "
25295,RELEASE WRIST/FOREMAN TENDON,"$13,226.15 "
25320,RECONSTRUCTION WRIST OPEN,"$28,032.10 "
25400,REPAIR NONUN MALUN RADI OR ULNA,"$28,032.10 "
25505,FX CARE RADIAL SHAFT WITH MANIPULATION,"$6,749.70 "
25535,FX CARE ULNAR SHAFT WITH MANIPULATION,"$1,074.50 "
25565,FX CARE RADIAL ULNAR W MANIPULATION,"$6,749.70 "
25600,FX CARE DISTAL RADIUS W/O MANIPULATION,"$1,074.50 "
25605,FX CARE DISTAL RADIUS WITH MANIPULATION,"$6,749.70 "
25624,FX CARE CARPAL SCAPHOID WITH MANIPULATIO,"$6,749.70 "
25628,SCAPHOID ORIF,"$28,032.10 "
25635,FX CARE CARPAL NON SCAPHOID WITH MANIPUL,"$6,749.70 "
25660,REDUCTION OF DISLOCATION RADIOCARPAL,"$1,074.50 "
25675,REDUCTION OF DISLOCATION RADIOULNAR JOIN,"$1,074.50 "
25820,ARTHRODESIS WRIST WO BONE GRAFT,"$28,032.10 "
26010,DRAINAGE FINGER ABSCESS SINGLE,$844.75 
26010,"DRAINAGE OF FINGER ABSCESS, PHY",$844.75 
26011,DRAINAGE OF FINFER ABSCESS SIMPLE,"$6,740.15 "
26055,TENDON SHEATH INC TRIGGER FINGER,"$6,749.70 "
26055,TENDON SHEATH INCISION TRIGGER FINGER,"$6,749.70 "
26055,TENDON SHEATH INCISION TRIGGER FINGER,"$6,749.70 "
26055,TENDON SHEATH INCISION TRIGGER FINGER,"$6,749.70 "
26055,TENDON SHEATH INCISION TRIGGER FINGER,"$6,749.70 "
26055,TENDON SHEATH INCISION TRIGGER FINGER,"$6,749.70 "
26110,BIOPSY FINGER JOINT LINING,"$6,749.70 "
26115,EXC HAND LES SC <1.5 CM,"$6,740.15 "
26116,"EXC TUM/VASC MALFORM HAND OR FINGER, DEE","$6,740.15 "
26121,FASCIECTOMY PALM W WO Z PLASTY,"$13,226.15 "
26145,SYNOVECTOMY TENDON SHEATH,"$6,749.70 "
26145,TENDON EXCISION PALM/FINGER,"$6,749.70 "
26160,EXCISION LESION  TENDON HAND FINGER,"$6,749.70 "
26160,EXCISION OF TENDON PALM FLEXOR SINGLE,"$6,749.70 "
26180,"EXCISION OF TENDON, FINGER, FLEXOR","$6,749.70 "
26340,MANIPULATE FINGER W/ANEST,"$6,749.70 "
26370,REPAIR PROFUNDUS TENDON PRIMARY EACH,"$13,226.15 "
26418,EPAIR TENDONG W/O FREE GRAFT EACH,"$6,749.70 "
26474,TENODESIS DISTAL JOINT EACH,"$6,749.70 "
26480,TRANSPLANT HAND TENDON,"$13,226.15 "
26565,OSTEOTOMY METACARPAL EACH,"$13,226.15 "
26600,CLOSED TREAT OF METACARPAL FRACTURE,"$1,074.50 "
26600,CLOSED TREAT/METACARPAL FRACTURE (PHYS),"$1,074.50 "
26605,FX CARE METACARPAL WITH MANIPULATION,"$1,074.50 "
26615,OPEN TREATMENT METACARPAL FRACT SINGLE,"$13,226.15 "
26641,CLOSED TX CARPOMETACARPAL MANIPULATION,"$1,074.50 "
26645,FRACTURE/DISLOCATION OF THUMB CARPOMETA,"$6,749.70 "
26670,DISLOCAT CARPOMETACARPAL FINGER W/O ANES,"$1,074.50 "
26700,DISLOCATION METACARPOPHALANGEAL W/O ANES,"$1,074.50 "
26715,TREAT KNUCKLE DISLOCATION,"$13,226.15 "
26720,DISLOCATION OF PROXIMAL MIDDLE SHAFT,"$1,074.50 "
26725,CLOSED TREAT OF PHALANGEAL SHAFT (PHYS),"$1,074.50 "
26725,CLOSED TREAT OF PHALANGEAL SHAFT FRACTUR,"$1,074.50 "
26727,TREAT FINGER FRACTURE EACH,"$13,226.15 "
26742,FRACTURE ARTICULAR SURFACE PHALANGEAL,"$6,749.70 "
26750,FRACTURE DISTAL PHALANGEAL W/O MANIPULAT,"$1,074.50 "
26755,FRACTURE DISTAL PHALANGEAL W/MANIPULATIO,"$1,074.50 "
26756,PIN FINGER FRACTURE EACH,"$13,226.15 "
26765,OPEN TREATMENT FRACTURE EACH,"$13,226.15 "
26770,CLOSED MANIPULATION DISLOCATED JOINT,"$1,074.50 "
26770,CLOSED MANIPULATION DISLOCATED JOINT,"$1,074.50 "
26841,ARTHODESIS CARPOMETACARPAL JOINT THUMB,"$28,032.10 "
26860,"ARTHRODESIS, INTER. JOINT W/W/O INT FIX","$13,226.15 "
26952,AMPUTAITON DIGIT THUMB PRIMARY SECONDARY,"$13,226.15 "
27096,SACROILIAC JOINT INJECTION,$698.64 
27096,SACROILIAC JOINT INJECTION,"$1,397.28 "
27170,REPAIR/GRAFT FEMUR HEAD/NECK,"$9,619.04 "
27236,TREAT THIGH FRACTURE,"$26,011.10 "
27250,TRAUMATIC HIP REDUC DISLOC W/O ANESTHESI,"$1,074.50 "
27265,POST ARTHROPLASTY HIP DISLOCATION REDUCT,"$1,074.50 "
27301,I/D DEEP ABCESS BURSA HEMATOMA,"$11,624.35 "
27372,REMOVE THIGH/KNEE FOREIGN BODY DEEP INCI,"$11,624.35 "
27447,TOTAL KNEE REPLACEMENT,"$50,614.60 "
27550,KNEE REDUCTION OF DISLOC W/O ANESTHESIA,"$1,074.50 "
27560,PATELLA DISLOCATION W/O ANESTHESIA,"$1,074.50 "
27594,"AMPUTATION THIGH,THRU FEMUR ANY LEV","$13,226.15 "
27603,I/D OF LEG ANKLE DEEP ABCESS HEMATOMA,"$11,624.35 "
27650,"REPAIR PRIM, OPEN OR PERCUTANEOUS TENDON","$13,226.15 "
27650,REPAIR PRIMARY RUPTURED TENDON (PHYS),"$13,226.15 "
27752,TIBIAL SHAFT W/MANIPULATION,"$6,749.70 "
27762,MEDIAL MALLEOLUS W/MANIPULATION,"$6,749.70 "
27781,PROXIMAL /FIBULAR SHAFT W/MANIPULATION,"$6,749.70 "
27786,TREATMENT CLOSED FIBULAR FRACTURE,"$1,074.50 "
27792,OPEN TRTMENT DISTAL FIBULAR FRACTURE,"$28,032.10 "
27810,FX CARE BIMALLEOLARANKLE WITH MANIPULATI,"$6,749.70 "
27830,REDUCTION OF DISLOCATION TIBIOFIBULAR JO,"$1,074.50 "
27840,REDUCTION OF DISLOCATION-ANKLE,"$1,074.50 "
28001,INCISION AND DRAIN BRUSA FOOT,"$6,740.15 "
28008,"FASCIOTOMY, FOOT AND/OR TOE","$13,226.15 "
28120,PART REMOVAL ANKLE/HEEL,"$13,226.15 "
28190,REMOVAL FOREIGN BODY FOOT SUBCUT,"$2,864.25 "
28190,REMOVAL FOREIGN BODY FOOT SUBCUT,"$2,864.25 "
28190,"RMVL OF FOREIGN BODY, FOOT; SUBCUT, PHYS","$2,864.25 "
28192,"REMOVAL OF FOREIGN BODY, FOOT; DEEP","$6,740.15 "
28285,REPAIR OF HAMMERTOE,"$13,226.15 "
28299,CORRECTION OF BUNION,"$13,226.15 "
28455,FX CARE-TALUS-WITH MANIPULATION,"$6,749.70 "
28470,FRACTURE CARE METATARSAL EACH W/O MANIPU,"$1,074.50 "
28475,FRACTURE CARE METATARSAL EACH W/ MANIPUL,"$1,074.50 "
28490,FX CARE GREAT TOE WITHOUT MANIPULATION,"$1,074.50 "
28495,FX CARE GREAT TOE WITH MANIPULATION,"$1,074.50 "
28510,FX CARE EXCEPT GREAT TOE WITHOUT MANIPUL,"$1,074.50 "
28515,FX CARE TOE EXCEPT GREAT TOE WITH MANIPU,"$1,074.50 "
28530,FX CARE SESAMOID BONE,"$1,074.50 "
28540,DISLOCATION REDUCTION TARSAL W/O ANESTHE,"$1,074.50 "
28570,DISLOCATION REDUCTION TARSAL W/ ANESTHE,"$1,074.50 "
28600,DISLOCATION REDU TARSOMETATARSAL W/O ANE,"$1,074.50 "
28630,DISLOCA REDU METATARSAL JOINT W/O ANE,"$1,074.50 "
28660,CLSD TREATMENT JNT DISLO WO ANES,"$1,074.50 "
28660,CLSD TREATMENT JNT DISLO WO ANESTH,"$1,074.50 "
28660,CLSD TREATMENT JNT DISLO WO ANESTH (PHY),"$1,074.50 "
28820,AMPUTATION TOE METATARSOPHALANGEAL,"$6,749.70 "
29065,LONG ARM CAST,"$1,186.40 "
29075,SHORT ARM CAST,"$1,186.40 "
29105,LONG ARM SPLINT,$677.10 
29105,LONG ARM SPLINT,$677.10 
29125,SHORT ARM SPLINT,$525.20 
29125,SHORT ARM SPLINT,$525.20 
29125,SHORT ARM SPLINT - ER PHY,$525.20 
29126,SHORT ARM SPLINT FOREARE HAND DYNAMIC,$525.20 
29130,"APPLICATION OF FINGER SPLINT; STAT, PHY",$279.80 
29130,FINGER SPLINT APPLICATION,$279.80 
29130,FINGER SPLINT APPLICATION STATIC,$279.80 
29345,LONG LEG CAST,"$1,186.40 "
29405,SHORT LEG CAST,"$1,186.40 "
29425,APPLICATION SHORT LEG CAST BELOW KNEE,"$1,186.40 "
29425,APPLICATION SHORT LEG CAST BELOW KNEE RT,"$1,186.40 "
29505,LONG LEG SPLINT,$677.10 
29505,LONG LEG SPLINT,$677.10 
29505,LONG LEG SPLINT ER PHY,$677.10 
29515,SHORT LEG SPLINT,$677.10 
29515,SHORT LEG SPLINT,$677.10 
29540,Strapping of ankle and/or ft,$677.10 
29700,"REMOVAL OR BIVALVING; GAUNTLET, BOOT","$1,186.40 "
29700,"REMOVAL OR BIVALVING;GAUNTLET,BOOT  PHYS","$1,186.40 "
29799,UNLISTED PROC CASTING STRAPPING,$677.10 
29840,ARTHROSCOPY WRIST W WO SYNOVIAL BIOPSY,"$13,226.15 "
29844,WRIST ARTHROSCOPY/SURGERY,"$13,226.15 "
29845,WRIST ARTHROSCOPY/SURGERY,"$13,226.15 "
29846,ARTHOSCOPY WRIST REPAIR FIBROCARTILAGE,"$13,226.15 "
29847,ARTRHOSCOPY WRIST FIXATION FRACTURE,"$28,032.10 "
29848,ENDOSCOPY WRIST W RELEASE CARPAL,"$6,749.70 "
29848,ENDOSCOPY WRIST W RELEASE CARPAL,"$6,749.70 "
29848,ENDOSCOPY WRIST W RELEASE CARPAL,"$6,749.70 "
29880,KNEE ARTHROSCOPY/DEBRI/SHAVING,"$13,226.15 "
29881,KNEE ARTHRSCPY MEDIAL/LATERAL DEBR W SHV,"$13,226.15 "
29888,KNEE ARTHROSCOPY SURGERY,"$28,032.10 "
29999,UNLISTED PROCEDURE ARTHROSCOPY,"$1,074.50 "
30300,FB REMOVAL NASAL,$525.20 
30300,REMOVAL FOREIGN BODY NOSE - ER PHY,$525.20 
30901,NASAL CAUTERY SIMPLE,$525.20 
30901,NASAL CAUTERY SIMPLE,$525.20 
30901,NASAL CAUTERY SIMPLE - ER PHY,$525.20 
30901,NASAL CAUTERY SIMPLE-ER PHY,$525.20 
30903,"CONTROL NASAL HEMORRHAGE, PHYS",$525.20 
30903,NASAL CAUTERY COMPLEX,$525.20 
30903,NASAL CAUTERY COMPLEX,$525.20 
30905,NASAL CAUTERY POSTERIOR,$525.20 
31500,INTUBATION,$892.50 
31500,INTUBATION,$892.50 
31500,INTUBATION ER PHY,$892.50 
31502,TRACH TUBE CHANGE,$892.50 
31505,LARYNGOSCOPY INDIRECT DIAGNOSTIC,$785.40 
31511,REMOVAL OF FOREIGN BODY FROM LARYNX,$785.40 
31601,INCISION OF WINDPIPE,"$21,693.95 "
31603,TRACHEOSTOMY,"$5,690.40 "
31622,BRONCH,"$6,618.50 "
32551,CHEST TUBE,"$4,914.85 "
33010,PERICARDIOCENTESIS,"$4,914.85 "
33210,PACEMAKER INSERTION TEMP,"$36,854.95 "
33926,OBS AD DC SAME DAY,"$1,272.00 "
