System Generated Service Id,Description,Price,,
33771,RAD PRO CT GUIDANCE RADIATION THERAPY,106.39,,
34074,RAD PRO US Guided Breast Cyst Aspiration LT MC,106.39,,
34097,RAD PRO US Guided Breast Cyst Aspiration RT MC,106.39,,
34416,RAD PRO HEPATOBIL SYST IMAGE W/DRUG,106.90,,
29859,"BILIARY ENDOSCOPY, PERCUTANEOUS VIA T-TUBE OR OTHER TRACT;",1061.51,,
31559,CLTX BIMALLEOLAR ANKLE FRACT W MNP,1068.64,,
31545,DRESSNG CHG NOT FOR BURN,107.35,,
30299,PROGRAMMING DEVICE EVALUATION WITH ITERATIVE ADJUSTMENT OF THE,107.75,,
30273,PHYSICIAN RECERTIFICATION HHA PATIENT INCLUDING REVIEW OF SUBSEQUENT RPT,107.78,,
33983,RAD PRO MYOCARDIAL INFARCTION IMAGING,107.86,,
31375,LAPAROSCOPY ING HERNIA REPAIR INITIAL,1070.21,,
32655,PRO-INTRO CATH DIALYSIS CIRCUIT,1075.17,,
33876,RAD PRO MYELOGRAM CERVICAL,108.77,,
33720,RAD PRO CISTERNOGRAPHY SPECT,108.81,,
32132,EXC NECK LES SC 3 CM/>,1081.74,,
30127,INSERTION OF VENTRICULAR ASSIST DEVICE,1082.06,,
30032,"HYSTEROSCOPY, SURGICAL, WITH BILATERAL FALLOPIAN TUBE CANNULATION TO",1083.32,,
33796,RAD PRO ERCP OF BILIARY DUCTAL & PANCR,109.63,,
34048,RAD PRO UGI W/AC W/WSBFT,109.63,,
32688,OPEN BX/EXC LN; AXILLARY NODE(S),1094.25,,
30312,RADIOTHERAPY DOSE PLAN IMRT,1097.07,,
33827,RAD PRO GASTRO-GRAFIN UPPER GI,110.01,,
30823,SIMPLE REPAIR SCALP/NECK/AXILLAE/GEN/TRUNK/E; 2.5CM/<,110.79,,
30117,"INSERTION CERVICAL DILATOR (EG LAMINARIA,PROSTAGL)(SEP PROCE",110.82,,
30399,STEREOTACTIC RADIATION TREATMENT MANAGEMENT OF CRANIAL LESION(S),1100.29,,
33481,PERC PLMT BILE DUCT STENT,1100.49,,
31947,SURG TX SEPTIC ABORTION,1100.99,,
34273,RAD PRO INSERT CATHETER PLEURA W/ IMAGE,1105.03,,
31871,UNLISTED LAPAROSCOPY SPERMATIC CORD,1109.22,,
34451,RAD PRO DRAIN/INJ MAJOR JOINT/BURSA W/O US,111.96,,
33641,EXC BREAST LES BY N LOC; SGL,1110.36,,
31373,REPAIR UMBILICAL HERNIA REDUC 5+ YR,1111.97,,
30482,VASCULAR EMBOLIZATION OR OCCLUSION,1115.10,,
34006,RAD PRO RENAL SCAN,112.25,,
30461,"ULTRASOUND PREG UTERUS,1ST TRIMESTER, EACH GEST",112.49,,
34450,RAD PRO DRAIN/INJ SMALL JOINT/BURSA W/US,112.80,,
30439,TRANSCATHETER PLACEMENT OF AN INTRAVASCULAR STENT(S),1129.43,,
33710,RAD PRO Breast needle localization ultrasound Left,1133.00,,
33683,RAD PRO Breast needle localization ultrasound RT,1133.00,,
31374,EXCISE LESION OF SPERMATIC CORD,1135.73,,
31604,ASPIRATE PLEURA W/O IMAGING,1136.08,,
29967,ECHOCARDIOGRAM TRANSTHORAC/PRO,114.32,,
29953,"DISCOGRAPHY, LUMBAR, RADIOLOGICAL SUPERVISION AND",114.49,,
29882,"CARDIOVASCULAR SERVICE, UNLIST",114.55,,
30203,MECHANICAL REMOVAL OF INTRALUMINAL (INTRACATHETER) OBSTRUCTIVE MATERIAL,114.64,,
30131,INTERROGATION DEVICE EVALUATION (IN PERSON) WITH PHYSICIAN ANALYSIS,114.79,,
30349,"REVASCULARIZATION, ENDOVASCULAR, OPEN OR PERCUTANEOUS, FEMORAL,",1140.43,,
33305,EXC HIP PELVIS LES SC 3 CM/>,1141.50,,
30288,"PRIMARY PERCUTANEOUS TRANSLUMINAL MECHANICAL THROMBECTOMY, NONCORONARY,",1144.67,,
31077,L VENTRIC PACING LEAD ADD-ON,1147.19,,
30460,ULTRASOUND PREG FOLLOW UP,115.35,,
33715,RAD PRO CARDIAC BLOOD POOL SINGLE,115.45,,
29851,"ARTHROCNTESIS/ASPIRATN/INJECTN;MAJOR JT.(SHLDR,HIP,KNEE,SUBA",115.64,,
30200,"MATERNITY CARE AND DELIVERYUNLISTED PROCEDURE, MAT",115.70,,
30015,FITTING/INSERTION OF PESSARY OR OTHER INTRAVAGINAL SUPPORT DEVICE,115.86,,
30317,RDT TREATMENT DEVICES  INTERMEDIATE,115.89,,
32420,CL TX RADIAL SHFT FX W MANIP,1163.58,,
30097,"INJECTION, ANESTHETIC AGENT; OTHER PERIPHERAL NERV OR BRANCH",117.04,,
33781,RAD PRO CT SCAN LIMITED OR F/U STUDY,117.19,,
33673,RAD PRO ACUTE GI BLEED STUDY,117.53,,
29982,"ELECTRONIC ANALYSIS OF PROGRAMMABLE, IMPLANTED PUMP FOR INTRATHECAL OR EPIDURAL DRUG INFUSION",117.67,,
33863,"RAD PRO HT MUSCLE IMAGE,PLANAR,SING",117.99,,
33528,EXC SKIN ABD ADD-ON,1170.13,,
31468,REVISION/REPLACEMENT ELECTRODE PERQ ARRAY,1177.48,,
30243,OSTEOPATHIC MANIPULATIVE TREATMENT (OMT)FIVE TO SIX BODY REGIONS INVOLVE,118.77,,
32282,REVISE VAG GRAFT VIA VAGINA,1187.09,,
31175,REPAIR UMBIL HERNIA BLOCK 5+ YR,1188.36,,
33690,RAD PRO BARIUM ENEMA W/AIR CONTRAST,119.44,,
33691,RAD PRO BE COLON W AIR AND BARIUM,119.44,,
33958,"RAD PRO OB US < 14 WKS, SINGLE FETUS",119.87,,
30413,SUBTOTAL OR TOTAL HYSTERECTOMY AFTER CESAREAN DELIVERY (LIST SEP IN ADD,1196.25,,
29948,DIAPHRAGM FITTING WITH INSTRUCTIONS,120.12,,
30088,INJECTION PROCEDURE FOR CONTRAST VENOGRAPHY (INCLUDING INTRODUCTION OF N,120.20,,
33747,RAD PRO CT CHEST SPINE W/O DYE,120.40,,
33774,RAD PRO CT L-SPINE W/O CONTRAST,120.40,,
33764,RAD PRO CT LOWER EXTREM W/O CONT LT  Left,120.40,,
33754,RAD PRO CT LOWER EXTREM W/O CONT RT Right,120.40,,
33772,RAD PRO CT UPPER EXTREM W/O CONT LT  Left,120.40,,
33775,RAD PRO CT UPPER EXTREM W/O CONT RT Right,120.40,,
33883,RAD PRO MAMMO DX DIGIT/BIL CAD,120.59,,
33979,"RAD PRO OB US >/= 14 WKS, ADDL FETUS",120.69,,
34025,RAD PRO THREE PHASE BONE SCAN,120.95,,
34111,RAD PRO US PREG UTERUS >14 WEEKS SNGLE,121.24,,
31114,BIOPSY SKN SUBQ/MUC MEMB 1 LESION,121.28,,
30138,"INTIAL INPATIENT CONSULTATION, NEW OR EST PATIENT 20 MINUTES",121.80,,
30204,"MECHANICAL REMOVAL OF OBSTRUCTIVE MATERIAL FROM GASTROSTOMY,",121.91,,
30337,"REPAIR OF ENTEROCELE, VAGINAL APPROACH (SEPARATE PROCEDURE)",1215.89,,
33522,SHOULDER ARTHROSCOPY/SURGERY PRO,1216.69,,
33650,REM MAMMARY IMPLANT,1218.60,,
33700,RAD PRO BONE SPECT IMAGING,122.17,,
30409,"SUBSEQUENT NURSING FACILITY CARE, PER DAY, FOR THE EVALUATION",122.48,,
30385,"SELECTIVE CATHETER PLACEMENT,ARTERIAL SYSTEM,ADD 2ND ORDER,3RD ORDER+BEY",122.52,,
29951,"DILATION OF CERVICAL CANAL, INSTRUMENTAL (SEPARATE PROCEDURE",122.76,,
29976,"ELECTRNC ANALY IMPLANT NEUROSTIMULATOR PULSE,W/INTRAOP PROGRAM EA ADD 30",122.82,,
30160,"INTRODUCTION OF NEEDLE AND/OR CATHETER,",122.99,,
30116,INSERT PERMANT PACEMAKR W TRANSVENOUS ELECTRODE(S); VENTRICU,1220.36,,
29896,ERCP STENT PLACEMENT,1221.11,,
30240,"OOPHORECTOMY, PARTIAL OR TOTAL, UNILATERAL OR BILATERAL;",1233.80,,
34080,RAD PRO US FETAL NUCHAL TRANS EACH ADD,124.10,,
30376,"SELECTIVE CATHETER PLACEMENT ARTERIAL SYSTEM,ADD 2ND ORDER,3RD ORDER+BEY",124.33,,
30483,VASCULAR EMBOLIZE/OCCLUDE ARTERY,1244.43,,
34017,RAD PRO TUMOR IMAGING 3D SPECT,125.35,,
29927,"COUNSELING AND/OR RISK FACTOR INTERVENTION HEALTHY INDIVIDUAL,30 MIN",125.53,,
34051,RAD PRO TUMOR IMAGE WHOLE BODY 2+ DAYS,125.59,,
29853,ARTR CATH/CANNUL FOR SAMPL/MONITOR/XFUS(SEP PROC); PERCUTANE,125.96,,
32654,PRO-THRMBC/NFS DIALYSIS CIRCUIT,1254.65,,
30829,APPLY SHORT LEG SPLINT,126.38,,
33909,RAD PRO LUNG VENTILAT&PERFUS IMAGING,126.53,,
30025,"HEPATITIS B VACCINE,ADULT DOSAGE, FOR INTRAMUSCULAR USE",126.67,,
30211,NASOPHARYNGOSCOPY WITH ENDOSCOPE (SEPARATE PROCEDURE),127.07,,
30706,ARTHROCENTESIS JOINT INTERMEDIATE W US GUID,127.75,,
30042,ILIAC REVASC W/STENT INCL ANGIOPLASTY W/I SAME VESSEL WHEN PERFORMED,1270.72,,
30086,INJECTION PROCEDURE DURING CARDIAC CATHETERIZATION INCLUDING IMAGING,128.61,,
34408,RESPIRATOR MOTION MGMT SIMULATION,1280.17,,
31372,REPAIR EPIGASTRIC HERNIA; INCARCERATED,1284.41,,
30122,INSERTION OF INTRAUTERINE DEVICE (IUD),129.09,,
32959,CHANGE OF CYSTOSTOMY TUBE; SIMPLE,129.34,,
33753,RAD PRO CT C-SPINE W/O CONTRAST,129.34,,
30091,"INJECTION PROCEDURE FOR PYELOGRAPHY (AS NEPHROSTOGRAM,",129.76,,
30495,VULVECTOMY; PARTIAL (LESS THAN 80% OF VULVAR AREA),1293.08,,
31133,PTA ANGIOPLASTY RENAL OR VISCERAL ARTERY,1296.08,,
30335,"REPAIR INITIAL INGUINAL HERNIA, AGE 5 YEARS OR OLDER, REDUCIBLE",1296.21,,
30391,"SPECIAL TELETHERAPY PORT PLAN, PARTICLES, HEMIBODY",130.03,,
30073,INJ PR FOR URETEROGRPHY/URETEROPYELOGRPHY THR OSTMY/CATH(SEP,130.30,,
33744,RAD PRO CT PELVIS W/O DYE,131.00,,
29894,"CHEMODENERVATION OF ECCRINE GLANDS  OTHER AREA(S) (EG, SCALP, FACE,",131.13,,
30301,PROLONGED EVAL & MGT SERV/NON-DIRECT/IN PAT/ADD'L 30 MIN,131.18,,
29822,"ABLATION, RENAL TUMOR(S), UNILATERAL, PERCUTANEOUS, CRYOTHERAPY",13112.98,,
34585,MYOMECTOMY VAG METHOD 1-4 MYOMAS,1316.58,,
29857,ATRIAL AND VENTRICULAR,1319.75,,
30077,"INJ,ANESTHETIC AGENT+/OR STEROID,TRANSFORAMINAL EPIDURAL,LUMBAR OR SACRA",132.24,,
34514,DEBRID MUSC/FASCIA ADD-ON =<20 SQ CM,132.41,,
30462,ULTRASOUND PREGNANT SINGLE OR FIRST GEST,133.78,,
30465,"ULTRASOUND, PREG UTERUS, 1ST TRIM, SINGLE OR FIRST",133.78,,
31921,"RAD PRO BIOPSY SALIVARY GLAND, NEEDLE",133.84,,
30187,"LAPAROSCOPY,SURGICAL,W/RETROPERITONEAL LYMPH NODE SAMPLING(BX)SINGLE OR",1337.35,,
30011,FEM/POPL REVASC W/STENT INCL ANGIOPLASTY W/I SAME VESSEL WHEN PERFORMED,1339.24,,
31163,SIMPLE AVULSION NAIL PLATE; SINGLE,134.48,,
30261,PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY,1340.08,,
30165,INTRODUCTION OF PERCUTANEOUS TRANSHEPATIC STENT FOR INT/EX,1343.24,,
30466,"ULTRASOUND, PREGN UTER, EACH ADD'L, PROF COMP",135.38,,
29970,EEG DURING NONINTRACRANIAL SURGERY,135.50,,
30491,"VENOGRAPHY, EXTREMITY, BILATERAL, RADIOLOGICAL",135.99,,
30037,"HYSTEROSCOPY,SURGICAL,WITH REMOVAL OF LEIOMYOMATA",1351.40,,
33766,RAD PRO CT SCAN FACIAL OR SINUS W/CONT,136.17,,
33778,RAD PRO CT SCAN HEAD WITH CONT,136.40,,
30328,"REMOVAL OF NEPHROSTOMY TUBE, REQUIRING FLUOROSCOPIC GUIDANCE (EG, WITH",137.00,,
30308,PULMONARY STRSS TEST,137.09,,
34021,RAD PRO CT SCAN FOR NEEDLE BIOPSY,137.25,,
29899,CHOLANGIOGRAPHY AND/OR PANCREATOGRAPHY; CATHETER,137.65,,
30234,"OFFICE VISIT FOR E&M, NEW PATIENT 20 MINUTES",137.73,,
29985,EMERGENCY DEPT. VISIT FOR E&M PROBLEM LOWTO MODERATE,137.78,,
29914,"COMPUTED TOMOGRAPHY, MAXILLOFACIAL AREA; WITHOUT CONTRAST MATERIAL",138.14,,
30272,PHYSICIAN CERTIFICATION SERVICES FOR MEDICARE-COVERED SERVICES PROVIDED,138.73,,
33793,RAD PRO DUPLEX ART & VENOUS FLOW ABD COMPLETE,139.11,,
30855,DRESS/DEBRID P-THICK BURN S,139.34,,
33689,RAD PRO ABSCESS DRAINAGE GUIDANCE S&I,139.77,,
33732,RAD PRO CT LOWER EXTREM W/CONT LT,139.77,,
33794,RAD PRO CT LXTR C+ MATRL RIGHT,139.77,,
33776,RAD PRO CT SCAN CHEST W/O CONTRAST,139.77,,
33785,RAD PRO CT SCAN PELVIS WITH CONTRAST,139.77,,
33780,RAD PRO CT UPPER EXTREM W CONTRAST LT  Left,139.77,,
33765,RAD PRO CT UPPER EXTREM W/CONT RT Right,139.77,,
33879,RAD PRO Lung Cancer Screening Low Dose CT Scan,139.77,,
30230,OFFICE VISIT LEVEL 3 EST PATIENT,139.85,,
30351,"REVASCULARIZATION, ENDOVASCULAR, OPEN OR PERCUTANEOUS, TIBIAL, PERONEAL",1391.69,,
32281,CLOSE RECTOVAGINAL FISTULA; VAGINAL,1398.48,,
31543,PROCTOSIGMOIDOSCOPY RIGID; DX,140.37,,
30488,"VEIN X-RAY, LIVER",140.57,,
33109,EXC PILONID CYT; COMPL,1408.71,,
33881,RAD PRO LYMPHATICS IMAGING,141.50,,
31515,LAPAROSCOPY HERNIA REPAIR RECURRENT,1413.90,,
29845,"ARTERY X-RAYS, ARM/LEG",142.71,,
30492,"VENOGRAPHY, RENAL, UNILATERAL, SELECTIVE, RADIOLOGICAL SUPERVISION AND INTERPRETATION",142.71,,
30012,"FETAL BIOPHYSICAL PROFILE, WITH NON-STRESS TESTING",142.91,,
33672,RAD PRO BRAIN SPECT IMAGING,143.04,,
33736,RAD PRO CT ABDOMEN W/O DYE,143.14,,
34081,RAD PRO US SPINAL CANAL AND CONTENTS,143.14,,
34008,RAD PRO RENAL FUNCTION IMAGING W/MED,143.26,,
30386,SIMP REPAIR SUP WND SCLP/NCK/AXILL/EXT GEN/TRNK/EXTR;2.6-7.5,143.55,,
30689,INSERT BLADDER CATHETER,143.81,,
31120,CT PELVIS WO CONTRAST,143.86,,
33900,RAD PRO MRA HEAD W/CONTRAST,143.98,,
29884,"CATHETERIZATION UMBILICAL VEIN FOR DIAG OR THERAPY,NEWBORN",144.17,,
30487,"VEIN X-RAY, CHEST",144.43,,
30108,"INJECTION, PLATELET RICH PLASMA, ANY SITE, INCLUDING IMAGE GUIDANCE, HARVESTING AND PREPARATION WHEN PERFORMED",144.63,,
33902,RAD PRO MR ANGIOGRAPHY HEAD W/O DYE,144.78,,
33907,RAD PRO MRA NECK W/O CONTRAST,144.83,,
29922,CONTRAST X-RAY EXAM OF AORTA,145.04,,
30296,PROGRAM DEVICE EVAL IMPLANTABLE DEFIBRILLATOR W ADJ,145.10,,
34482,"RAD PRO BIOPSY, MUSCLE, PERCUTANEOUS NEEDLE",145.24,,
31550,REPAIR INGUINAL HERNIA SLIDING ANY AGE,1451.63,,
32268,DEBR NECROTIZ ST - GENITALS & PERINEUM,1453.22,,
33955,"RAD PRO OB US NUCHAL MEAS, 1 GEST",146.00,,
30486,VEIN X-RAY TRUNK,146.02,,
29971,EEG;RECORDING IN COMA OR SLEEP ONLY,146.03,,
29980,ELECTROENCEPHALOGRAM (EEG); INCLUDING RECORDING AWAKE AND ASLEEP,146.03,,
29981,ELECTROENCEPHALOGRAM (EEG); INCLUDING RECORDING AWAKE AND DROWSY,146.03,,
29841,"AORTOGRAPHY, THORACIC, BY SERIALOGRAPHY, RADIOLOGICAL SUPERVISION AND INTERPRETATION",146.51,,
33751,RAD PRO CT UPPER EXTREM W&W/0 CONT LT  Left,146.74,,
33760,RAD PRO CT UPPER EXTREM W&WO CONT RT Right,146.74,,
33723,RAD PRO CT C-SPINE W CONTRAST,146.91,,
33762,RAD PRO CT L-SPINE W CONTRAST,146.91,,
33746,RAD PRO CT LOWER EXTREM W&WO CONT RT,146.91,,
33759,RAD PRO CT LWR EXTREMITY W/O,146.91,,
33769,RAD PRO CT SCAN PELVIS W&WO CONT,146.91,,
33806,RAD PRO CT T-SPINE W CONTRAST,146.91,,
31155,CL TX POSTOP HIP DISLOC W ANESTH,1461.58,,
29844,"ARTERY X-RAYS, ABDOMEN",147.01,,
33761,RAD PRO CT SCAN FAC OR SINU W&W/O CONT,148.19,,
33966,RAD PRO PENILE VASCULAR STUD,148.19,,
29848,"ARTERY X-RAYS, PELVIS",148.78,,
34449,RAD PRO DRAIN/INJ MAJOR JOINT/BURSA W/US,148.99,,
31520,REPAIR HERNIA INITIAL BLOCK 5+ YR,1482.84,,
30728,ICC ABLATION AV NODE- CREATE CHB,1482.99,,
30485,VASCULAR EMBOLIZE/OCCLUDE ORGAN,1483.65,,
30251,PERCUTAEOUS TRANSLUMINAL REVASCULARIZATION OF CORONARY ARTERY BYPASS GRAFT,1485.59,,
30257,PERCUTANEOUS TRANSCATHETER PLACEMENT OF INTRACORONARY STENT,1486.43,,
29865,"BIOPSY OF VULVA OR PERINEUM(SEPARATE PROCEDURE),ONE LESION",149.47,,
30825,APPLY LONG ARM SPLINT,149.71,,
33484,LYSE CHEST FIBRIN SUBQT DAY,149.84,,
30185,"LAPAROSCOPY,SURGICAL,APPENDECTOMY",1492.88,,
34215,RAD PRO CT SCAN FOR LOCALIZATION STEREO,150.26,,
30246,OSTEOPATHIC MANUPULATIVE TREATMENT (OMT)SEVEN TO EIGHT BODY REGIONS INVO,150.34,,
29827,"ADRENAL ARTERIOGRAM, UNILATERAL",150.41,,
33784,RAD PRO CT SCAN CHEST WITH CONT,150.45,,
30535,ARTHROCENTESIS DRAIN/INJ MAJOR JOINT/BURSA W/US,150.60,,
33168,TAP BLOCK UNILATERAL BY INJECTION,150.69,,
30347,REPOSITIONING OF PREVIOUSLY PLACED CENTRAL VENOUS CATHETER UNDER,150.94,,
30467,"UNLISTED LAPAROSCOPY PROCEDURE, LYMPHATIC SYSTEM",1500.98,,
29912,COMPUTED TOMOGRAPHY GUIDANCE FOR NEEDLE PLACEMENTCT SCAN FOR NEEDLE BIOPSY,151.80,,
29870,"BIOPSY, MUSCLE, PERCUTANEOUS NEEDLE",152.20,,
33740,RAD PRO CT L-SPINE W&W/O CONTRAST,152.40,,
34044,RAD PRO ULTRASOUND GUIDANCE IN OR,152.40,,
33789,RAD PRO CT T-SPINE W&W/O CONTRAST,152.64,,
33767,RAD PRO CT C-SPINE W&W/O CONTRAST,152.92,,
30422,"THERAPEUTIC, PROPHYLACTIC, OR DIAGNOSTIC INJECTION (SPECIFY SUBSTANCE OR",153.65,,
33750,RAD PRO CT SCAN ABDOMEN WITH CONT,153.86,,
33777,RAD PRO CT SCAN HEAD W&WO CONT,153.86,,
29823,ABSCESS DRAINAGE UNDER X-RAY,154.05,,
29873,BONE MARROW ASPIRATION,154.65,,
33757,RAD PRO CT ORBIT/EAR/FOSSA W/O DYE,154.69,,
33770,RAD PRO CT SCAN NECK W/O CONTRAST,154.69,,
30009,FEM/POPL REVAS W/ATHER INCL ANGIOPLASTY SAME VESSEL WHEN PERFORMED,1540.58,,
30152,"INTRAVENOUS INFUSION, HYDRATION INITIAL, 31 MINUTES TO 1 HOUR",155.76,,
30013,FH BRACHY INTER IMPLANT-PROF,1550.62,,
31369,REPAIR INIT FEM HERNIA REDUCABLE; INCARCE,1565.52,,
31549,EXC RECT TUM TRANSANAL PART,1567.17,,
29915,"COMPUTERIZED AXIAL TOMOGRAPHY, ABDOMEN;",157.10,,
30039,"ICD DEVICE PROGR EVAL, MULT PROF",158.22,,
34283,RAD PRO FINE NEEDLE ASPIRATION W/IMAGE,158.71,,
32431,APPLY SHORT ARM CAST,158.75,,
32845,CL TX KNEE DISL; W ANESTHESIA,1581.07,,
31335,APPENDECTOMY,1585.14,,
29838,"ANTEPARTUM CARE ONLY, 7 OR MORE VISITS",1586.19,,
31536,DEB SUBQ TISSUE 20 SQ CM/<,159.27,,
33823,"RAD PRO HT MUSC IMAGE, PLANAR, MULT",159.34,,
30095,"INJECTION, ANESTHETIC AGENT; GREATER OCCIPITAL NERVE",159.53,,
30289,PROF - TTE W/DOPPLER COMPLETE,159.59,,
30020,FNA W/IMAGE,159.88,,
29911,"COMP ELECTROPHYSIOLOGIC EVAL W/RIGHT ATRIAL PACING,RECORDING/RIGHT VENTR",1597.26,,
30182,"LAPAROSCOPY,SURG,W/REMOVAL OF ADNEXAL STRUCTURES(PARTIAL OR TOTAL OOPHOR",1598.14,,
33830,RAD PRO FOOT GREAT TOE LEFT,16.00,,
33843,RAD PRO FOOT GREAT TOE RIGHT,16.00,,
33833,RAD PRO FINGER 2ND DIGIT LEFT,16.87,,
33822,RAD PRO FINGER 2ND DIGIT RIGHT,16.87,,
30291,"PROF COM,ULTRASND PREG 1ST TRI NUCHAL TRANSLU",160.46,,
30501,X-RAYS TRANSCATH THERAPY RS&I,160.85,,
33842,"RAD PRO HT MUSCLE IMAGE SPECT, SING",160.93,,
31493,REPAIR RECURRENT INGUINAL HERNIA ANY AGE,1600.24,,
33952,RAD PRO MRI ORBIT/FACE/NECK W/O DYE,161.66,,
34300,RAD PRO MYELOGRAPY 2/MORE REGIONS RS&I,161.98,,
30084,"INJECTION ANESTHETIC AGENT, FEMORAL NERVE,SINGLE",162.24,,
33865,RAD PRO LOWER EXT NO JOINT LT WO CONT  Left,162.50,,
33889,RAD PRO LOWER EXT NO JT WO CONTRAST RT Right,162.50,,
30024,"HEPATITIS A & HEPATITIS B VACCINE(HEP A HEP B) ADULT DOSAGE,INTRAMUSCULA",162.93,,
34400,HIGH DOSE RATE RADIONUCL INTRSTL/ICAV BRACH 2-12 CHANNELS,1623.10,,
30455,"ULTRASONIC GUIDANCE, INTRAOPERATIVE",163.28,,
29863,BIOPSY OF VAGINAL MUCOSA; SIMPLE (SEPARATE PROCEDURE),163.58,,
30344,"REPLACEMENT, COMPLETE, OF A NON-TUNNELED CENTRALLY INSERTED CENTRAL",163.75,,
33668,RAD PRO Any Joint Low Ext WO Con Left,163.79,,
33946,RAD PRO MRI ANY JOINT LOWER EXT RT W/O CONTRAST,163.79,,
33916,RAD PRO MRI ANY JT LXTR C-MATRL Bilateral,163.79,,
34084,RAD PRO UPPER EXT NO JOINT WO CONT RT Right,163.79,,
34061,RAD PRO UPPER EXT NO JT W/O CONT LT  Left,163.79,,
30183,"LAPAROSCOPY,SURGICAL CHOLECYSTECTOMY",1630.74,,
33919,RAD PRO MRI ANY JOINT UPPER EXT LT W/O  Left,164.73,,
33933,RAD PRO MRI ANY JOINT UPPER EXT RT W/O Right,164.73,,
31931,PARTIAL MASTECTOMY,1648.27,,
30082,"INJECT TRIGGER PAINT, 1 OR 2",165.64,,
32421,OPEN TX ULNAR FRACTURE PROXIMAL END PRO,1653.23,,
31168,PERQ PLMT BILE DUCT STENT WITH GUIDANCE,1656.64,,
31167,PLMT BILIARY DRAINAGE CATH,1656.64,,
30480,"VARICELLA VIRUS VACCINE, LIVE, FOR SUBCUTANEOUS USE",166.05,,
30259,"PERCUTANEOUS TRANSHEPATIC PORTOGRAPHY WITH HEMODYNAMIC EVALUATION, RADIOLOGICAL SUPERVISION AND INTERPRETATION",166.07,,
29829,ALCOHOL AND/OR SUBSTANCE (OTHER THAN TOBACCO) ABUSE  > 30,166.12,,
33768,RAD PRO CT SCAN CHEST W&WO CONT,166.26,,
33742,RAD PRO CT SCAN ORBITS W CONTRAST,166.26,,
33483,LYSE CHEST FIBRIN INITIAL DAY,166.68,,
31718,DIAGNOSTIC SIGMOIDOSCOPY,166.77,,
30398,"STEREOTACTIC BODY RADIATION THERAPY, TREATMENT MANAGEMENT, PER TREATMENT",1662.51,,
30262,PERCUTANEOUS TRANSLUMINAL CORONARY ATHERECTOMY,1663.24,,
