Current Price 1,Default CPT Code,Item Active,Item Description - Item Master,Item Number,Item Termination Date
3000,L8699,Y,ADVANCE REVISION INSERT,8046325,
0,,Y,RXNF Lopreeza Oral Tablet 0.5MG-0.1MG,5935,
0,,Y,RXNF Systane Balance Ophth Soln 0.6%,5297,
217.77,87491,Y,C TRACHOMATIS  PCR (co)-,6090638,
0,,Y,RXNF CeleBREX Oral Capsule 100MG,5184,
845.12,C1713,Y,SCREW SYNT HDLS 3. MM COMP LG THRD,8015616,
54.8,85008,Y,SLIDE REVIEW (confirmation)-,6090483,
0,J0690,Y,*ceFAZolin 1 gm/iso-osmotic 50 ml -PREOP,2291553,
0,,Y,RXNF LaMICtal XR ER Tab 100MG,5519,
0,,Y,RXNF Hyoscyamine Sulfate Tab ER 0.375,5439,
0,,Y,BRACE KNEE HINGED XX-LARGE - SPEARFISH,6213904,
0,,Y,RXNF Systane Ophth Solution 0.4%-0.3%,3709,
0,,Y,RXNF Terazosin HCl 2MG ORAL CAP,3396,
0,,Y,RXNF MonoNessa Oral Tab 35MCG/0.25MG,5469,
276.99,,Y,BLADE CASPAR BLADE 11MM 5100-134-11,6205908,
0,,Y,NF-ZENPEP CAP DR 16000U-3000U-10000U,5259,
172.5,,Y,KIT SPECTRA TRIAL,8025782,
0,,Y,SUTURE 0 VICRYL UR-6               J603H,6215045,
0,,Y,RXNF Pantoprazole Sodium Tab EC 20MG,5563,
0,,Y,BIT TWIST DRILL 3 OVER 16,6209549,
3580,L8681,Y,PROGRAMER KIT SPECTRA,8025834,
0,,Y,NF-ZENPEP ORAL DELAYED RELEASE CAPSULE,5258,
0,,Y,RXNF Lotemax Ophth Suspension 0.5%,5980,
0,,Y,HUDSON MODIFIED TRINKLE,1203953,
0,,Y,NF-Zenpep Oral Delayed Release Capsule,4373,
0,,Y,NF-oxyMORphone Hydrochloride Tab ER 20MG,5645,
0,,Y,NF-Captopril Oral Tablet 25MG,6115,
276.99,,Y,BLADE CASPAR BLADE 12MM 5100-134-12,6205909,
0,,Y,BLADE 10,6201872,
0,,Y,"CANNULA, 4"" F/CETACAINE SPRAY",6205712,
0,,Y,NF-COLD & ALLERGY ORAL TABLET 4MG-10MG,5864,
0,,Y,ZIMMER CUTTING GUIDES,1200448,
0,,Y,RXNF Zytiga Oral Tablet 250MG,5260,
0,,Y,NF-Depakene Syrup 250MG/5ML,6079,
272,,Y,DUPLOSPRAYT MIS APPLICATOR SNAP LOCK 40C,6213373,
0,,Y,RXNF Captopril Oral Tablet 25MG,6116,
0,,Y,NF-Citracal Cal Citr Petites 200IU-200MG,5274,
0,,Y,Path - Non GYN Cytology-,6090602,
78.96,,Y,APPLICATION SPRAY KIT,8025215,
0,,Y,NF-Citracal + D Tablet,5275,
0,,Y,NF-Amitiza Liquid Capsule 24MCG,5470,
6404.06,C9745,Y,NASAL ENDO EUSTACHIAN TUBE,1209745,
0,,Y,PAPENDICK ROTATOR TOTE,1200650,
0,,Y,NF-diltiaZEM HCl Tablet 120MG,5277,
10099,44820,Y,EXCISION OF LESION OF MESENTERY,1244820,
74.2,,Y,INFLATION DEVICE FOR EBD,6220200,
0,,Y,RXNF Tetrahydrozoline HCl Opth Soln 0.05,5311,
0,,Y,RXNF Orphenadrine Citrate ER Tab 100MG,5430,
0,,Y,RXNF Nature-Throid Oral Tablet 146.25MG,5477,
164,,Y,S&N SMALL WRIST STABILIZATION KIT,6200180,
0,,Y,RXNF Amitiza Liquid Capsule 24MCG,5086,
0,,Y,SHAVER 4.0 ACROMIONIZER         72200724,6208097,
0,,Y,RXNF LaMICtal XR ER Tablet 25MG,5518,
17292,,Y,NEXGEN FEMORAL FLEX E-LT,8008502,
0,,Y,RXNF AMPHETAMINE SALTS 30MG ER CAP,3041,
0,,Y,NF-Synthroid Tablet 175MCG,5471,
38692.5,L8614,Y,MIDSCALA (ELECTRODES & EXTERIOR PIECE),8026056,
0,,Y,RXNF Nature-Throid 48.75 mg TAB,6140,
0,,Y,DRESSING IODOFORM 1/2 IN PACKING,6202943,
3186.36,L8630,Y,10 PREFLEX MCP IMPLAMT,8035426,
2232.09,L8699,Y,SALTO TALARIS ANKLE,8025804,
291.9,,Y,BLADE CASPAR BLADE 13MM 5100-134-13,6205910,
0,,Y,TUBE FEEDING 3.5 FR. 8888261206,6202999,
0,,Y,RXNF Divalproex Sodium Tab ER 500MG,5755,
0,J0690,Y,*ceFAZolin 2 gm/D5W 50 ml (Ancef),2291031,
0,,Y,RXNF Butorphanol Tartrate Spray 10MG/ML,5612,
126.66,,Y,STENT BICANALICULAR (NCR IMPLANT),6213576,
217.77,87591,Y,N GONORRHOEAE PCR (co)-,6090639,
0,,Y,RXNF Citalopram HCl Tab 10MG,5520,
4043.31,C1713,Y,PLATE SYNTH 8 HOLE LEFT,8010593,
0,,Y,NF-Nateglinide Oral Tablet 120MG,5478,
78.96,C1713,Y,6.5MM CANCELOUS BONE SCREW 75MM,6214195,
114.66,C1713,Y,SYNTH SCREW 2.7X20MM,6213120,
0,,Y,RXNF Nateglinide Oral Tablet 60MG,5787,
113.75,C1713,Y,SCREW INCM VARI ANG BONE 4.2X11MM GREEN,8040135,12/22/2018
291.9,,Y,BLADE CASPAR BLADE 14MM 5100-134-14,6205911,
0,J0690,Y,*ceFAZolin 2 gm/D5W 50 ml-PREOP (Ancef),2291552,
0,,Y,BRUSH INTRAMEDULLARY 6198-1-514,6204775,
0,J0690,Y,*ceFAZolin 3 gm/D5W 100 ml-PREOP (Ancef),2291760,
114.12,C1713,Y,SCREW SYNT 2.7 MM T8,6213121,
0,,Y,RXNF Lansoprazole 15mg DR Capsule,3355,
2700,L8699,Y,MEMORY SHAPE MENTOR 334-1409,8080226,
0,,Y,COLLAR PHILI LARGE,6205358,
0,,Y,RXNF levETIRAcetam Oral Soln 100MG/1ML,6002,
800,L8699,Y,RESTERILIZABLE  GEL SIZER RSZ-1409,8080228,
446.42,,Y,LSO SAGITTAL CONTROL BRACE,6206461,
0,,Y,RXNF guanFACINE HCl Tablet 2MG,5546,
0,,Y,NF-Adderall XR Oral Capsule ER 25MG,6151,
1350.44,,Y,ENSEAL 22 MM CURVED NSEALX22L,6211268,
0,,Y,"NF-VALPROIC ACID 250MG ORAL CAPSULE, LIQ",3351,
113.75,C1713,Y,SCREW INCM VARI ANG BONE 4.2X12MM GREEN,8040130,12/22/2018
0,,Y,BLADE BEAVER 4mm SHARP ROUND,6201913,
291.9,,Y,BLADE CASPAR BLADE 9MM 5100-134-9,6204773,
0,,Y,RXNF Nuedexta Oral Capsule 20MG-10MG,6131,
82.17,C1713,Y,SCREW SYNT LOCKING 7.3MM CANN 22MM,8010632,
0,,Y,RXNF Nitroglycerin Cap ER 2.5MG,5788,
2050,C1779,Y,LEADS CAPSURE FIX NOVUS,8015198,
0,,Y,SUTURE 6-0 CHROMIC GUT PS3  1635G,6215154,
0,,Y,NF-Lansoprazole Oral Cap DR 30MG,5278,
0,,Y,NF-Norethindrone Oral Tablet 0.35MG,5413,
0,,Y,NF-Levalbuterol Inh/Neb Soln 1.25MG/0.5M,5954,
0,,Y,NF-Calcitriol Liq Cap 0.25MCG,3684,
0,,Y,RXNF Nortrel 1/35 Tablet,5562,
14450,L8699,Y,IMPLANT OXINIUM POST. STABILIZER SZ 5 LF,8025496,
58.9,82945,Y,GLUCOSE CSF-,6090270,
0,,Y,"DRESSING UNSTERILE 6"" CAST PADDING",6203037,
2398.64,C1713,Y,PLATE  LCP 2.4 MM VA-LCP 7 LEFT RADIUS,6213040,
6970,L8699,Y,IMPLANT SMITH GENESIS II TIBIAL,8025544,
0,,Y,RXNF Norethindrone Acetate Tablet 5MG,5604,
0,,Y,RXNF lamoTRIgine ODT 200MG,6003,
0,,Y,RXNF Ziprasidone HCl Oral Capsule 60MG,6102,
795,C1713,Y,3.0 MM TIGER HEADLESS CANN SCREW 3X24MM,8005862,
58.9,82945,Y,GLUCOSE BODY FLUID-,6090684,
0,,Y,RXNF Glatiramer SQ Inj 20MG/1MG,5659,
0,,Y,SUTURE 5-0 POLYSORB DX16 18IN UNDYED,6210878,
0,,Y,NF-Forteo Subcutaneous Solution 250MCG/1,5367,
0,,Y,MASK NON REBREATHING,6200330,
0,,Y,MASK YELLOW EARLOOP LATEX FREE BHUC,6213876,
28556,,Y,TIBIAL TRAY ROTATING SZ4 15MM CEMENTED T,8008501,
0,,Y,OMNIPAQUE 300MG / 50ML,6200450,
0,,Y,NF-Estradiol TD Patch ER 0.0375MG/24Hrs,5995,
508,,Y,BLADE HIP CURVED MITEK 260003,6215131,
96.55,C1713,Y,SCREW SYNT LOCKING 3.5MM CANN 32MM,8010775,
0,,Y,RXNF Forteo Subcutaneous Soln 250MCG/1ML,5366,
0,,Y,RXNF Felodipine 5 mg TAB ER,2469,
1172.64,C1713,Y,SEE 6213088,8014015,12/31/2018
0,,Y,UC WALKER HI TIDE SMALL UC,6213722,
0,,Y,GRAFCO SILVER NITRATE APPLICATOR,6216001,
0,,Y,RXNF Salagen Oral Tablet 7.5MG,5611,
0,,Y,RXNF Methotrexate 2.5 mg TAB,5955,
0,,Y,RXNF Dalfampridine Oral ER Tablet 10mg,5368,
0,,Y,RXNF Lacrisert Ophthalmic Device 5MG,5613,
0,,Y,RXNF Trifluoperazine HCl Tablet 5MG,5261,
52,00811,Y,MDA ANS LOWER INTST ENDO PX NOS,2310811,
0,,Y,DRESSING IODOFORM 1IN PACKING,6202944,
11960,,Y,COCHLEAR BAHA  DISPOSABLE KIT,8026037,
0,J0698,Y,cefotaxime 2gm/iso-osmotic 50ml PRE-OP,2291046,
0,,Y,RXNF Synthroid Tablet 175MCG,5472,
0,,Y,RXNF Ziprasidone HCl Capsule 40MG,5347,
0,,Y,"KIT SPECII-CATH, NEONATAL  BHUC",6213928,
0,,Y,BLADE DERMA 8/50 BHUC,6213743,
356,C1713,Y,SEE 6213087  REW SYNT 1.8MM TIT T-8 30MM,8000582,12/31/2018
270.49,C1713,Y,SCREW SYNT 2.7 LCKNG 12 SLFTPT8 STRDV RE,6213127,
82.17,C1713,Y,SCREW SYNT LOCKING 7.3MM CANN 20MM,8011145,
3693,,Y,SLING TVTRL,6214020,
0,,Y,CHLAMYDIA  AND GONORRHOEAE PCR-,6090631,
88.36,86337,Y,"Centromere Antibodies, IgG-",6090700,
0,,Y,SUTURE 2-0 SOFSILK V20 30IN  GS833,6203493,
0,,Y,GLOVE NITRILE EXAM X-SM,6211522,
91.86,,Y,INSORB 30 ABSORBABLE SKIN STAPLER,6203651,
1106,L8699,Y,TIBIAL INSERT STABILIZED PLUS 17.5MM,8005810,
900,,Y,ARTHREX FLIPCUTTER 10MM,8025310,1/7/2019
0,,Y,D FROMM NDL HOLDERS AND FINGER,1200185,
0,,Y,SUTURE 2-0 VICRYL CP2              J869H,6215057,
50,00952,Y,CRNA ANS HYSTEROSCOPY/HYSTEROSALPINOGRAP,2320952,
1625,L8699,Y,IMPLANT DEP TIB CEM STM,8005634,
352,C1713,Y,SEE 6213091,8015507,12/31/2018
113.75,C1713,Y,SCREW INCM VARI ANG BONE 4.2X15MM GREEN,8040137,12/22/2018
217.77,87491,Y,C TRACHOMATIS  PCR-,6090632,
3924,L8699,Y,CROSSFIRE INSERT 32MM,8020134,
1080,,Y,REVOLVE SYSTEM RB0001,6214126,
5708,37565,Y,LIGATION INTERNAL JUGULAR VEIN,1237565,
1075,19361,Y,PC BREAST RECON W/LATISSIMUS DORSI FLAP,2019361,
0,J0713,Y,cefTAZidime /NS   1 gm/50 ml (Fortaz),2291035,
1581,J2597,Y,desmopressin acetate 4 mcg/ml 10 ml VIAL,1183,
0,,Y,NF-Atorvastatin Calcium Oral Tab 10MG,5279,
57.5,C1713,Y,SCREW SYNT 4.5 MM CORTEX SLFTPNG 38 MM,6212613,
0,,Y,RXNF potassium chloride SOLN 20 mEq/15ml,5938,
0,,Y,NF-Methocarbamol Tablet 500MG,5280,
0,,Y,"POVIDONE IODINE, 3 OZ  (NURSE MUST PULL)",6202290,
0,,Y,NF-Carvedilol Oral Tablet 25MG,5414,
0,J3370,Y,VANCOMYCIN HCI INJECTION,2290101,
0,,Y,NF-potassium chloride Oral Soln 20MEQ/15,5939,
0,,Y,RXNF Adderall XR 25 mg CAP,5141,
31,J0694,Y,ceFOXitin 1 gm VIAL (Mefoxin),2290302,
99.97,C1713,Y,SCREW SYNTCORTEX 2.0MM X 22,6214392,
446.5,,Y,SEE 6213100,8010064,12/31/2018
217.77,87591,Y,N GONORRHOEAE PCR-,6090633,
0,,Y,STYLET FLEXI SLIP 12F -ANESTH.,6213577,
88,J2400,Y,chloroprocaine 3% VIAL 20 ml (Nesacaine),2290316,
0,,Y,NF-TraZODone HCl Oral Tablet 150MG,5852,
0,,Y,RXNF Valproic Acid Syrup 250MG/5ML,6080,
0,,Y,NF-Chlorhexidine Gluconate Liquid 0.12%,5720,
0,,Y,NF-Ribavirin Capsule 200MG,5940,
78,J3230,Y,chlorproMAZINE 25 mg/ml AMP 1 ml,2290318,
0,J0713,Y,cefTAZidime /NS   2 gm/50 ml (Fortaz),2291036,
0,,Y,RXNF lamoTRIgine ODT 25MG,6004,
93.92,L8699,Y,DRY SEAL CHEST DRAIN 4000-100N,6212975,
42,J2175,Y,meperidine 100 mg/ml CARPUJECT (Demerol),2290344,
0,,Y,NF-Creon Oral Delayed Release Capsule,5757,
900,,Y,ARTHREX FLIPCUTTER 7.5MM,8025311,1/7/2019
38,J1030,Y,methylPREDNISolone acet 40mg/ml VIAL 1ml,2290345,
0,,Y,RXNF Suboxone SL Film 8MG-2MG,5528,
740,C1713,Y,4.0MM CANULATED HEADLESS 3174026,8010924,
0,,Y,RXNF Evista Tablet 60MG,5441,
0,,Y,STETHOSCOPE ESOPHAGEAL TEMP PRB 18F,6208082,
0,,Y,RXNF Menest Tablet 0.625MG,5820,
0,L8699,Y,WIRE SYNT GUIDE 2.8MM,6213984,
0,,Y,CONTRACT MANAGEMENT BHO,99024,
900,,Y,ARTHREX FLIPCUTTER 8MM,8025312,1/7/2019
418,C1713,Y,SCREW SYNT CONICAL 5MM CANN 90MM,8015708,
0,,Y,NF-Sprintec Tablet,5721,
0,,Y,RXNF Creon Oral Delayed Release Capsule,5758,
0,,Y,TOURNI-COT DIGI LG,6213441,
99.97,C1713,Y,SCREW SYNTCORTEX 2.0MM X 24,6214285,
0,,Y,NF-Folic Acid Oral Tablet 1MG,6132,
0,,Y,SHARPS CONTAINER RED 3 GALLON ANESTHESIA,6206071,
0,,Y,flumazenil 0.1 mg/ml VIAL 5ml (Romazicon,2290399,
0,,Y,NF-Lisinopril-HCTZ Oral Tablet 10MG-12.5,5312,
649.32,76881,Y,US NON VASCULAR LOWER JOINT BILAT,2190112,
24,J1940,Y,furosemide 10mg/ml 2ml VIAL (Lasix),2290406,
0,,Y,M AND T INST,1204449,
0,,Y,NF-clonazePAM Tablet 1MG,6134,
324,C1713,Y,SEE 6213101,8010671,12/31/2018
0,,Y,"BINDER  ABDOMINAL 10"" (52-72)",6202459,
482,J1610,Y,glucagon 1 mg/ml VIAL (Glucogen),2290421,
0,,Y,PREP WET SKIN,6202263,
0,,Y,RXNF Clorazepate Oral Tablet 7.5MG,5281,
23,J1630,Y,haloperidol 5 mg/ml VIAL 1 ml (Haldol),2290439,
2783.76,L8699,Y,2.7MM/3.5MM VA-LCP X ART ULNA 10H RT,8015346,
23,J1644,Y,"heparin 1,000 units/ml VIAL 1 ml",2290441,
29,J0360,Y,hydrALAZINE 20 mg/ml VL 1ml (Apresoline),2290448,
0,,Y,RXNF Ribavirin 200 mg CAP,5941,
4616,L8699,Y,HEAD C-TAPER COCR 36MM/ +7.5MM,8020156,
5410,L8699,Y,TRIDENT 0 X3 INSERT 36MM ID,8020155,
29,J1170,Y,HYDROmorphone 2 mg/ml SYRINGE,2290452,
45,J3030,Y,SUMAtriptan 6 mg/0.5ml VIAL,2290461,
776.16,C1713,Y,SCREW SYNT 4.5 HEADLESS COMPR 22MM,8015456,12/31/2018
0,,Y,epidural: conc,2290507,
22,J2060,Y,LORazepam 2 mg/ml VIAL (Ativan),2290528,
0,,Y,Path - High Risk HPV-,6090617,
410,,Y,NEEDLE REVERDIN,6209753,
0,,Y,NF-methIMAzole Tablet 5MG,5377,
86,J2210,Y,methylergonovine 0.2 mg/ml AMP,2290553,
113.75,C1713,Y,SCREW INCM VARI ANG BONE 4.2X17MM GREEN,8040138,12/22/2018
0,,Y,NF-FLUoxetine Hydrochloride Tablet 10MG,5264,
24,J2270,Y,morphine sulfate 10 mg/ml VIAL,2290573,
0,,Y,RXNF Estradiol PATCH  0.0375/day,4150,
3975,C1713,Y,4.5MM LCP PROX TIBIAL PLATE16H 334MM,8015709,
32,J2300,Y,nalbuphine 10 mg/ml AMP (Nubain),2290583,
0,,Y,RXNF Epclusa  400mg-100mg TAB,5942,
483.53,C1713,Y,SCREW SYNT LOCKING 5MM CANN 90MM,8015710,
424,,Y,2.0/2.4MM CANNULATED DRILL BIT,8005765,
0,,Y,RXNF methIMAzole Tablet 10MG,5400,
0,,Y,RXNF Zioptan Ophthalmic Solution 0.0015%,5851,
7800,,Y,INFLAT FX BALLOON ASSIST MEDTRONIC IFXG2,8015261,
0,,Y,RXNF buPROPion HCl Tablet 100MG,5407,
900,,Y,ARTHREX FLIPCUTTER 9.5MM,8025333,1/7/2019
0,,Y,NEEDLE 16G 1.25 INTROCAN SAFE IV CATH AN,6202187,
0,,Y,MASK  FACE HYPOALERGENIC MASK,6211582,
776.16,L8699,Y,SEE 8015458,6223336,12/31/2018
0,,Y,SUTURE 0 VICRYL CT                 J752D,6215053,
0,,Y,NF-Duragesic TD Patch ER 100MCG/1HR,5349,
30,J0150,Y,adenosine 3 mg/ml VIAL 2 ml,2290653,
168,J3470,Y,hyaluronidase 150 units VIAL 1 ml,2290668,
125.76,76882,Y,PC US NON VASC UPPER JOINT LTD RIGHT,3500090,
88.36,82384,Y,"Catecholamine Frac, Free, 24 hour urine-",6090707,
776.16,C1713,Y,SCREW SYNT 4.5 HEADLESS COMPR 24MM,8015458,12/31/2018
26,J0295,Y,ampicillin sodium/sulbactam 1.5 gm VIAL,2290673,
42,J2274,Y,morphine sulfate PF 0.5 mg/ml VIAL,2290681,
0,,Y,Path - High Risk HPV 16/18 Genotyping-,6090618,
3435.6,C1713,Y,PLATE  LCP 3.5 MM EXTRA-ARTICLAR DISTAL,8015268,
0,,Y,MEDTRONIC BLADE M4 INF TURB 2MM ROTATE,6203537,12/22/2018
0,,Y,SHOE PADDED POST OP CHILD/INFANT,6202874,
1340,L8699,Y,SMOOTH ROUND MODERATE 700,8080250,
0,,Y,RXNF Modafinil Oral Tablet 200MG,5350,
0,,Y,RXNF Zegerid Oral Capsule 40MG-1100MG,5898,
776.16,C1713,Y,SCREW SYNT 4.5 HEADLESS COMPR 26MM,8015459,12/31/2018
37,J0610,Y,calcium gluconate 10% 100 mg/ml VIAL,2290714,
0,,Y,RXNF Etodolac Tablet 500MG,6074,
0,,Y,RXNF Escitalopram Oral Tablet 5MG,5322,
5.5,,Y,BED CORD CLAMP,6203299,
532.77,L8699,Y,THREAD LONG COMPRESSION 3.8X36MM,803037,12/28/2018
1014.62,L8699,Y,MESH REBOUND RB-SLD-S-PP,6213396,
9402,L8699,Y,PINNACLE ACET W/GRIPTON CUP SZ 66,8005804,
214.08,83051,Y,Plasma Hemoglobin-,6090663,
0,,Y,RXNF Bevespi Aero Inh 4.8MCG-9MCG/1ACT,5960,
0,,Y,RXNF Vyvanse Oral Capsule 30MG,5321,
0,,Y,RXNF Sprintec 35mcg-0.25mg ORAL TABLET,3150,
0,,Y,DRESSING NUGAUZE 1/2 IN PLAIN PACKING,6202939,
2029.55,L8699,Y,BONE TRICORTICAL BLK 30 39 MM FD,6211020,
52,J1720,Y,hydrocortisone NA succinate 100 mg VIAL,2290731,
0,,Y,NF-Lisinopril-HCTZ  Oral Tablet 20MG-12.,5265,
7179.51,31259,Y,NASAL ENDOSCOPY WITH SPHENOOIDECTOMY,1231259,
0,J1335,Y,ertapenem sodium 1 gm VIAL (Invanz),2290901,
450,L8690,Y,COCH BAHA SURGICAL INST SET #2,8026053,
0,,Y,RXNF fentaNYL Transderm Patch 100MCG/HRS,5351,
39,J2930,Y,methylPREDNISolone NA succ 125 mg VIAL,2290735,
214.08,83020,Y,Electrophoresis Hemoglobin-,6090666,
60,J0780,Y,prochlorperazine edisyl. 5mg/ml VIAL 2ml,2290831,
170.7,,Y,AVITENE 35X35 1010080,8025855,
23,J2550,Y,promethazine 25 mg/ml AMP 1ml (Phenergan,2290835,
855,L8699,Y,ROUND SALINE 350-1670,8080232,
3186.36,L8630,Y,00 PREFLEX MCP IMPLAMT,8035421,
0,,Y,RXNF Lansoprazole Oral Cap DR 30MG,5936,
0,,Y,RXNF Movantik Oral Tablet 25MG,5346,
52,00866,Y,MDA ANS LEFT ADRENALECTOMY,2310866,
113.75,C1713,Y,SCREW INCM VARI ANG BONE 4.6X10MM MAGENT,8040143,12/22/2018
0,,Y,MEDTRONIC BLADE M4 INFERIOR TUBINATE,6203539,12/22/2018
0,,Y,Path - Chalmydia Trachomatis (CT)-,6090619,
0,,Y,DHS QUICK CONNECT,1200564,
0,,Y,SET EXTENSION ADAPTER 5.0ML 35 LG 473012,6206245,
0,,Y,RXNF Bisoprolol/Hctz Tablet 2.5MG-6.25MG,5323,
100,L8699,Y,"SALINE, ROUND MOD STERILE SIZER 475CC",8080151,
0,,Y,RXNF EEMT HS Oral Tablet 0.625MG-1.25MG,5324,
4660,L8699,Y,NKII DURASUL ULTRA CONG TIB INS LT SZ 3/,8015711,
3850,C1726,Y,XPRESS SINUS KIT LOW PROFIL     LPLF-106,6201752,
0,,Y,RXNF Estradiol Patch ER  0.025 mg,6103,
0,,Y,RXNF FLUoxetine HCl Capsule 10MG,5592,
2010,L8699,Y,MEMORY GEL SMOOTH ROUND  MOD 470CC,8080147,
87.92,83525,Y,Insulin Level-,6090668,
0,,Y,Path - Neisseria Gonorrhea (NG)-,6090620,
0,,Y,NF-Calcitriol Capsule 0.25MCG,5263,
5.41,L8699,Y,KWIRE .028 NONSTERILE,6212681,
0,,Y,RXNF Rexulti Oral Tablet 1MG,5325,
2010,L8699,Y,MEMORY GEL SMOOTH ROUND  MOD 510CC,8080149,
0,,Y,RXNF FLUoxetine HCl Tablet 10MG,4973,
1910,L8699,Y,MEMORYGEL SMOOTH ROUND MOD 275CC,8080185,
113.75,C1713,Y,SCREW INCM VARI ANG BONE 4.6X11MM MAGENT,8040144,12/22/2018
1910,L8699,Y,MEMORY GEL SMOOTH MODERATE 300CC,8080136,
1910,L8699,Y,MEMORY GEL SMOOTH MODERATE 340CC,8080162,
776.16,C1713,Y,SCREW SYNT 4.5 HEADLESS COMPR 28MM,8015460,12/31/2018
0,,Y,RXNF Stiolto Respimat Inh 2.5-2.5MCG/Act,5591,
716,,Y,ACUFEX ENDOSCOPIC CANN DRILL BIT 8MM,6207475,
0,,Y,URINAL MALE TRANSLUCENT,6202312,
1910,L8699,Y,MEMORYGEL SMOOTH ROUND MOD 235CC,8080184,
0,,Y,RXNF Kelnor 1/35 TAB 1MG-35MCG,5266,
0,,Y,RXNF Mucinex D Tablet ER 600MG-60MG,5262,
776.16,C1713,Y,SCREW SYNT 4.5 HEADLESS COMPR 32MM,8015462,12/31/2018
0,,Y,RXNF Levobunolol HCl Ophth Solution 0.5%,5981,
0,,Y,NF-buPROPion Hydrochloride SR Tab ER 200,6089,
1550.01,L8699,Y,BONE RADIAL WEDGE 9 MM 9 X 12,6211131,
32,J0456,Y,azithromycin 500 mg VIAL (Zithromax),2290897,
1325,C1878,Y,PROLARYN GEL PLUS,8000171,
454,,Y,gelatin sponge & human thrombin KIT,2290930,
1792.46,,Y,ACCLARENT STRATUS MICORFLOW SPACER,6211065,12/22/2018
776.16,C1713,Y,SEE 6214349,8015463,12/31/2018
91.9,73501,Y,XR HIP 1 VIEW LEFT,2173501,
0,,Y,Path - PAP Test Imaged Liquid Based-,6090621,
149.86,C1713,Y,SCREW SYNT 2.4 MM 18,6213023,
5.41,L8699,Y,KWIRE .054 NONSTERILE,6212677,
3273.5,21012,Y,EXCISION TUMOR SOFT TISS FACE SCALP SUBQ,1221012,
3260.88,C1713,Y,12MM TI CANN TIBIAL NAIL STERILE,8000600,
0,L8699,Y,OSC BLADE SMOOTH 2.5 SYS 6 HUB,8020147,
113.75,C1713,Y,SCREW INCM VARI ANG BONE 4.6X12MM MAGENT,8040139,12/22/2018
0,,Y,KIT DRESSING CENTRAL LINE W BIOPATCH DSG,6211367,
1015.85,C1713,Y,PLATE SYNT 2.4 LCP,6213058,
0,,Y,BURR OVAL 4.0 MM AC03-C0901,6212441,12/4/2017
570,,Y,TUNNELER LONG SC-4254,8025758,
0,,Y,RXNF Dyrenium Capsule 100MG,5284,
105.12,C1713,Y,SCREW SYNT CORTEX STRDDRV 1.5MMX 18MM,6214171,
145.64,73502,Y,XR HIP AP/LAT - LEFT,2173511,
