Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3,Missing
180010,SAINT JOSEPH HOSPITAL LEXINGTON KY,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,FAYETTE,8593131000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"ONE SAINT JOSEPH DRIVE LEXINGTON, KY",https://www.mapquest.com/us/kentucky/saint-joseph-hospital-373286821,http://www.kentuckyonehealth.org/saint-joseph-cardiology-associates-cath-lab-how-to-find-us,https://www.chisaintjosephhealth.org/saint-joseph-hospital-lexington,TRUE
200033,EASTERN MAINE MEDICAL CENTER,PO BOX 404,BANGOR,ME,4401,PENOBSCOT,2079737000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"PO BOX 404 BANGOR, ME",https://northernlighthealth.org/Eastern-Maine-Medical-Center,https://northernlighthealth.org/Locations/Eastern-Maine-Medical-Center/Locations/Anesthesiology,https://www.ahd.com/free_profile/200033/Eastern_Maine_Medical_Center/Bangor/Maine/,TRUE
190266,THE SPINE HOSPITAL OF LOUISIANA,"10105 PARK ROW CIRCLE, SUITE 250",BATON ROUGE,LA,70810,E. BATON ROUGE,2257639900,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,"10105 PARK ROW CIRCLE, SUITE 250 BATON ROUGE, LA",http://www.theneuromedicalcenter.com/spine-hospital/,http://www.theneuromedicalcenter.com/administration-spine-hospital/,http://www.theneuromedicalcenter.com/contact-spine/,TRUE
200018,AROOSTOOK MEDICAL CENTER,PO BOX 151,PRESQUE ISLE,ME,4769,AROOSTOOK,2077684000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"PO BOX 151 PRESQUE ISLE, ME",http://emhs.org/Locations/The-Aroostook-Medical-Center.aspx,https://www.manta.com/c/mtkzhdq/aroostook-medical-center,https://www.comparemaine.org/?page=profile&provider=11&search-insurance=XXXXX&procedure=78306,TRUE
210011,SAINT AGNES HOSPITAL,900 CATON AVENUE,BALTIMORE,MD,21229,BALTIMORE CITY,4103682101,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"900 CATON AVENUE BALTIMORE, MD",https://www.stagnes.org/,https://www.stagnes.org/contact-us/,https://www.stagnes.org/about-us/overview/,TRUE
220108,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,199 REEDSDALE ROAD,MILTON,MA,2186,NORFOLK,6176964600,Acute Care Hospitals,Government - Federal,TRUE,TRUE,3,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"199 REEDSDALE ROAD MILTON, MA (42.252352, -71.075213)",http://www.miltonhospital.org/,http://www.miltonhospital.org/contact-us,https://www.bidmc.org/locations/beth-israel-deaconess-hospital-milton,TRUE
220111,GOOD SAMARITAN MEDICAL CENTER BROCKTON MA,235 NORTH PEARL STREET,BROCKTON,MA,2301,PLYMOUTH,5084273000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"235 NORTH PEARL STREET BROCKTON, MA (42.09707, -71.065645)",https://www.goodsamaritanmedical.org/,https://www.goodsamaritanmedical.org/contact-us,https://www.goodsamaritanmedical.org/about-us/careers,TRUE
220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",41 & 45 MALL ROAD,BURLINGTON,MA,1803,MIDDLESEX,7817445100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"41 &amp; 45 MALL ROAD BURLINGTON, MA",https://www.lahey.org/,https://www.lahey.org/Contact/,https://www.lahey.org/Rehab-Locations/,TRUE
230132,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,MI,48503,GENESEE,8102579000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,"ONE HURLEY PLAZA FLINT, MI",http://www.hurleymc.com/,http://www.hurleymc.com/locations/,http://www.hurleymc.com/careers/contact-us/,TRUE
230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439,GENESEE,8106065000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,"ONE GENESYS PARKWAY GRAND BLANC, MI",https://healthcare.ascension.org/Locations/Michigan/MIGRA/Grand-Blanc-Ascension-Genesys-Hospital,https://healthcare.ascension.org/Locations/Michigan/MIGRA/Grand-Blanc-Ascension-Genesys-Hospital/Visitor-Information,https://www.healthcare4ppl.com/hospital/michigan/grand-blanc/genesys-regional-medical-center-health-park-230197.html,TRUE
250057,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,P O BOX 948/427 HIGHWAY 51 NORTH,BROOKHAVEN,MS,39601,LINCOLN,6018336011,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,"P O BOX 948/427 HIGHWAY 51 NORTH BROOKHAVEN, MS",https://kdmc.org/,https://kdmc.org/about-kdmc/departments/,https://kdmc.org/careers/,TRUE
250127,CHOCTAW HEALTH CENTER,ROUTE 7 BOX R50,PHILADELPHIA,MS,39350,NESHOBA,6016562211,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"ROUTE 7 BOX R50 PHILADELPHIA, MS",http://www.choctawhealthcenter.org/,http://www.choctawhealthcenter.org/CHC_Contact.html,http://www.choctaw.org/government/tribalServices/health/,TRUE
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,ST. LOUIS,3145696000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"615 NEW BALLAS ROAD SAINT LOUIS, MO",https://www.mercy.net/practice/mercy-hospital-st-louis/,https://www.mercy.net/practice/mercy-emergency-department-mercy-hospital-st-louis/,https://www.mapquest.com/us/missouri/mercy-hospital-st-louis-350316774,TRUE
260032,BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,MO,63110,ST. LOUIS CITY,3147473000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"ONE BARNES-JEWISH HOSPITAL PLAZA SAINT LOUIS, MO",https://www.barnesjewish.org/,https://wuphysicians.wustl.edu/locations/barnes-jewish-hospital,https://doctor.webmd.com/hospital/barnes-jewish-hospital-saint-louis-mo-7d6d2aa2-9476-4c02-877e-e79e5e242631-directions,TRUE
260108,MISSOURI BAPTIST MEDICAL CENTER,3015 N BALLAS RD,TOWN AND COUNTRY,MO,63131,ST. LOUIS,3149965000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"3015 N BALLAS RD TOWN AND COUNTRY, MO",https://www.missouribaptist.org/,https://www.missouribaptist.org/Patient-Visitor-Information/Maps-Directions,https://www.missouribaptist.org/Patient-Visitor-Information/Contact-us,TRUE
260183,SAINT FRANCIS MEDICAL CENTER CAPE GIRARDEAU MO,211 ST FRANCIS DR,CAPE GIRARDEAU,MO,63703,CAPE GIRARDEAU,5733313000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,"211 ST FRANCIS DR CAPE GIRARDEAU, MO",https://www.sfmc.net/,https://www.facebook.com/SaintFrancisMC/,https://www.healthgrades.com/hospital-directory/missouri-mo/saint-francis-medical-center-hgst69f72386260183,TRUE
263301,ST LOUIS CHILDRENS HOSPITAL,ONE CHILDRENS PLACE,SAINT LOUIS,MO,63110,ST. LOUIS CITY,3144546000,Childrens,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"ONE CHILDRENS PLACE SAINT LOUIS, MO",https://www.stlouischildrens.org/,https://www.stlouischildrens.org/contact-us,https://www.stlouischildrens.org/form/about-us/contact-us,TRUE
270003,ST PETERS HOSPITAL,2475 BROADWAY,HELENA,MT,59601,LEWIS AND CLARK,4064422480,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"2475 BROADWAY HELENA, MT",https://www.sphealth.org/,https://www.yelp.com/biz/st-peters-hospital-helena-3,https://www.facebook.com/stpetershelena/,TRUE
280009,CHI HEALTH GOOD SAMARITAN,"P O BOX 1990, 10 EAST 31ST ST",KEARNEY,NE,68848,BUFFALO,3088657100,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"P O BOX 1990, 10 EAST 31ST ST KEARNEY, NE",https://www.chihealth.com/good-samaritan.html,https://www.chihealth.com/good-samaritan/good-sam-location-details.location.aa2f32c9-5e9a-4a7b-b614-91f85e4bf64d.html,https://www.chihealth.com/good-samaritan/about-us.html,TRUE
290045,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,3001 ST ROSE PARKWAY,HENDERSON,NV,89052,CLARK,7026165000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Below the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"3001 ST ROSE PARKWAY HENDERSON, NV",https://locations.dignityhealth.org/dignity-health-st-rose-dominican-siena-campus-henderson-nv,https://www.dignityhealth.org/las-vegas/locations/siena,https://www.dignityhealth.org/las-vegas/locations/siena/phone-directory,TRUE
290057,HENDERSON HOSPITAL,1050 WEST GALLERIA DRIVE,HENDERSON,NV,89011,CLARK,3182904395,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1050 WEST GALLERIA DRIVE HENDERSON, NV",https://www.hendersonhospital.com/,https://www.valleyhealthsystemlv.com/henderson-hospital,https://www.yelp.com/biz/henderson-hospital-henderson-2,TRUE
310011,CAPE REGIONAL MEDICAL CENTER INC,TWO STONE HARBOR BLVD,CAPE MAY COURT HOUSE,NJ,8210,CAPE MAY,6094632000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,"TWO STONE HARBOR BLVD CAPE MAY COURT HOUSE, NJ",https://www.caperegional.com/,https://www.caperegional.com/patients-visitors/visitor-information,https://www.caperegional.com/contact-us,TRUE
330058,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,GENEVA,NY,14456,ONTARIO,3157874175,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"196 -198 NORTH STREET GENEVA, NY",https://www.flhealth.org/services/inpatient-care/geneva-general-hospital/,https://www.flhealth.org/locations/geneva-general-hospital,https://www.flhealth.org/,TRUE
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,6074322000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"ONE NORTON AVENUE ONEONTA, NY",https://www.bassett.org/medical/locations/hospitals/ao-fox-hospital,https://health.usnews.com/best-hospitals/area/ny/aurelia-osborn-fox-memorial-hospital-6213830/contact,https://www.healthcare4ppl.com/hospital/new-york/oneonta/aurelia-osborn-fox-memorial-hospital-330085.html,TRUE
330393,UNIVERSITY HOSPITAL AT STONY BROOK,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,6314444000,Acute Care Hospitals,Government - State,TRUE,TRUE,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"HEALTH SCIENCES CENTER SUNY STONY BROOK, NY",https://www.stonybrookmedicine.edu/,https://www.stonybrookmedicine.edu/sbuh,https://www.stonybrookmedicine.edu/contact,TRUE
340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,CALLER BOX C268,CHEROKEE,NC,28719,SWAIN,7044979163,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"CALLER BOX C268 CHEROKEE, NC",http://cherokeehospital.org/,http://cherokeehospital.org/page?title=About-Us,https://www.facebook.com/CherokeeIndianHospital/,TRUE
350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,GRAND FORKS,7017805000,Acute Care Hospitals,Government - Local,TRUE,TRUE,3,,Below the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1200 S COLUMBIA RD GRAND FORKS, ND",https://www.altru.org/find-a-location/location-profile/altru-hospital/,https://www.altru.org/,https://www.altru.org/find-a-location/,TRUE
