Tufts Medical Center -- Standard Charges eff. 1/1/2019,,
,,
Item Number,Description,Price
348,HW BATTERY LITHIUM ION HRTWARE,1500
349,HW PACK PATIENT HEARTWARE,850
350,HW ADAPTER AC CONTROLLER HEART,2000
351,HW ADAPTER DC CONTROL HEARTWAR,4000
352,HW ADAPTER ALARM HEARTWARE,300
353,HW DRIVE USB FLASH HEARTWARE,110
354,DRIVELINE STABILIZATION SYSTEM,40
355,HMII POCKET CONTROLLER,11000
356,HEARTWARE WAIST PACK,850
357,HEARTWARE SHOULDER PACK,900
358,HMII HOLSTER VEST MED 14V,790
359,HMII HOLSTER VEST LG 14V,790
360,CONTROLLER HEARTMATE3,13750
361,ESRD HOME PT SERV P DAY 20+,8
362,ADMIN INFLUENZA VIRUS VACCINE,77
363,TRANSFUSION BLOOD COMPONENTS,1873
364,PRIVATE,2080
365,SEMI-PRIVATE,1800
366,INTERMEDIATE CARE,2978
367,HOSPICE,699
368,INITIAL OBSERVATION CARE LOW,849
369,OBSERVATION-MEDIUM-HOURLY,101
370,INITIAL OBSERVATION CARE,144
371,INJECT EPIDURAL PATCH,2394
372,DRAIN/INJ JOINT/BURSA W/O US,645
373,ESRD HOME PT SERV P DAY 20+,8
374,ADMIN INFLUENZA VIRUS VACCINE,77
375,IV INFUSION HYDRATION 1 HR,585
376,IV INF  HYDRATION EACH ADDL HR,174
377,THER/PROPHA/DIAG IV INF INT,925
378,IV INFUSION  EA  ADDL HOUR,155
379,IV INF PROPHY ADD SEQ TO 1 HR,254
380,THER/DIAG CONCURRENT INF,173
381,THER/PROPHA/DIAG IV INJ  SC/IM,270
382,THER/PROPH/DIAG INJ IV PUSH,521
383,TX/PRO/DX INJ NEW DRUG ADDON,206
384,SPINAL FLUID PUNCTURE DIAGN,2394
385,CHEMO IV PUSH SNGL DRUG,925
386,IV PUSH EACH ADDL DRUG,426
387,CHEMO INFUSION INITIAL HOUR,1444
388,CHEMO INFUSION EACH ADDL HR,300
389,CHREMO IV INFUSION EA ADDL SEQ,363
390,TX/PRO/DX INJ SAME DRUG ADDON,307
391,TRANSFUSION BLOOD COMPONENTS,1873
392,PICC LINE INSERTION,5291
393,"PRIVATE, BONE",3400
394,"SEMI-PRIVATE, BONE",1309
395,HOSPICE,699
396,"BOARD, BONE",1309
397,INITIAL OBSERVATION CARE LOW,1060
398,OBSERVATION - MEDIUM - HOURLY,101
399,INITIAL OBSERVATION CARE,200
400,INJECT EPIDURAL PATCH,2394
401,DRAIN/INJ JOINT/BURSA W/O US,645
402,ESRD HOME PT SERV P DAY 20+,8
403,ADMIN INFLUENZA VIRUS VACCINE,77
404,"IV INFUSION,HYDRATION 1 HR",585
405,"IV INF, HYDRATION EACH ADDL HR",174
406,"THER/PROPHA/DIAG IV INF,INT",925
407,IV INFUSION  EA  ADDL HOUR,155
408,IV INF PROPHY ADD SEQ TO 1 HR,254
409,THER/DIAG CONCURRENT INF,173
410,"THER/PROPHA/DIAG IV INJ, SC/IM",270
411,"THER/PROPH/DIAG INJ,IV PUSH",521
412,TX/PRO/DX INJ NEW DRUG ADDON,206
413,"SPINAL FLUID PUNCTURE,DIAGN",2394
414,CHEMO IV PUSH SNGL DRUG,925
415,IV PUSH EACH ADDL DRUG,426
416,CHEMO INFUSION INITIAL HOUR,1444
417,CHEMO INFUSION EACH ADDL HR,300
418,CHEMO IV INFUSION EA ADDL SEQ,363
419,TX/PRO/DX INJ SAME DRUG ADON,307
420,TRANSFUSION BLOOD COMPONENTS,1873
421,CHEMO ADM IM/SQ,218
422,PICC LINE INSERTION,5291
423,SEMI-PRIVATE,1637
424,CSU STUDY,0
425,HOSPICE,699
426,INITIAL OBSERVATION CARE LOW,1060
427,OBSERVATION - MEDIUM - HOURLY,101
428,INITIAL OBSERVATION CARE,144
429,ADMIN INFLUENZA VIRUS VACCINE,77
430,PEDI BMT ICU,4890
431,PRIVATE PEDI BMT,3400
432,PEDI BMT SEMIPRIVATE,3400
433,PEDI BMT INTERMEDIATE CARE,2377
434,24 HOUR SURG PEDI BMT,0
435,INITIAL OBSERVATION CARE LOW,1060
436,OBSERVATION-MEDIUM HOURLY,101
437,INITIAL OBSERVATION CARE,200
438,INJECT EPIDURAL PATCH,2394
439,ESRD HOME PT SERV P DAY 20+,0
440,ADMIN INFLUENZA VIRUS VACCINE,77
441,IV INFUSION HYDRATION 1 HR,585
442,IV INF HYDRATION EA ADDL HR,174
443,THER PROPH DIAG IV INF 1ST HR,925
444,IV INFUSION  EA  ADDL HOUR,155
445,IV INF PROPHYL ADD SEQ TO 1HR,254
446,THER/DIAG CONCURRENT INF,173
447,THER PROPH DIAG IV INJ SC/IM,270
448,THER PROPH DIAG INJ IV PUSH,521
449,TX/PRO/DX INJ NEW DRUG ADDON,206
450,SPINAL FLUID PUNCTURE DIAGNOST,2394
451,CHEMO IV PUSH SNGL DRUG,925
452,IV PUSH EA ADDL DRUG,426
453,CHEMO INFUSION INITIAL HR,1444
454,CHEMO INFUSION EA ADDL HR,300
455,CHEMO IV INF EA ADDL SEQL HR,363
456,DRAIN/INJ JOINT/BURSA W/O US,645
457,TRANSFUSION BLOOD COMPONENTS,1873
458,TX/PRO/DX INJ SAME DRUG ADON,307
459,PICC LINE INSERTION,5291
460,NP LEVEL 1,172
461,NP LEVEL 2,510
462,NP LEVEL 3,430
463,NP LEVEL 5,774
464,EP LEVEL 1,162
465,EP LEVEL 2,239
466,EP LEVEL 3,72
467,EP LEVEL 4,456
468,EP LEVEL 5,592
469,"CONSULT, O/P, LEVEL 1",132
470,"CONSULT, O/P, LEVEL 2",239
471,"CONSULT, O/P, LEVEL 3",354
472,"CONSULT, O/P, LEVEL 4",428
473,"CONSULT, O/P, LEVEL 5",556
474,"PROLONGED SRVC, O/P 30-70 MINS",416
475,PROLONG SVC O/P EA 30 MINS,146
476,PATIENT LEFT W/O BEING SEEN,0
477,"PRIVATE,BONE-PEDI",3212
478,SEMI-PRIVATE,2600
479,LOA,0
480,PEDIATRIC TCU/INTERMED.CARE,2377
481,"24-HOUR SURG/CATH,F7",0
482,INITIAL OBSERVATION CARE LOW,1060
483,OBSERVATION-MEDIUM-HOURLY,101
484,INITIAL OBSERVATION CARE,200
485,"OBSERVATION,F7",0
486,INJECT EPIDURAL PATCH,2394
487,DRAIN/INJ JOINT/BURSA W/O US,645
488,ESRD HOME PT SERV P DAY 20+,8
489,ADMIN INFLUENZA VIRUS VACCINE,77
490,IV INFUSION HYDRATION 1 HR,585
491,IV INF  HYDRATION EACH ADDL HR,174
492,THER/PROPHA/DIAG IV INF INT,925
493,IV INFUSION  EA  ADDL HOUR,155
494,IV INF PROPHY ADD SEQ TO 1 HR,254
495,THER/DIAG CONCURRENT INF,173
496,THER/PROPHA/DIAG IV INJ  SC/IM,270
497,THER/PROPH/DIAG INJ IV PUSH,521
498,TX/PRO/DX INJ NEW DRUG ADDON,206
499,SPINAL FLUID PUNCTURE DIAGN,2394
500,CHEMO IV INFUS EACH ADDL SEQ,363
501,CHEMO IV PUSH SNGL DRUG,925
502,CHEMO INFUSION INITIAL HOUR,426
503,CHEMO INFUSION EACH HR,1444
504,CHEMO IV INFUSION EA ADDL SEQ,300
505,TX/PRO/DX INJ SAME DRUG ADDON,307
506,TRANSFUSION BLOOD COMPONENTS,1873
507,PICC LINE INSERTION,5291
508,INSERT PICC CATH,5291
509,PRIVATE,1819
510,PRIVATE,1819
511,SEMI-PRIVATE,2600
512,LOA,0
513,INITIAL OBSERVATION CARE LOW,1060
514,OBSERVATION - MEDIUM - HOURLY,101
515,INITIAL OBSERVATION CARE,144
516,INJECT EPIDURAL PATCH,2394
517,DRAIN/INJ JOINT/BURSA W/O US,645
518,ESRD HOME PT SERV P DAY 20+,8
519,ADMIN INFLUENZA VIRUS VACCINE,77
520,IV INFUSION HYDRATION 1 HR,585
521,IV INF  HYDRATION EACH ADDL HR,174
522,THER/PROPHA/DIAG IV INF INT,925
523,IV INFUSION  EA  ADDL HOUR,155
524,IV INF PROPHY ADD SEQ TO 1 HR,254
525,THER/DIAG CONCURRENT INF,173
526,THER/PROPHA/DIAG IV INJ  SC/IM,270
527,THER/PROPH/DIAG INJ IV PUSH,521
528,TX/PRO/DX INJ NEW DRUG ADDON,206
529,SPINAL FLUID PUNCTURE DIAGN,2394
530,CHEMO IV PUSH SNGL DRUG,925
531,IV PUSH EACH ADDL DRUG,426
532,CHEMO INFUSION INITIAL HOUR,1444
533,CHEMO INFUSION EACH ADDL HR,300
534,CHEMO IV INFUSION EA ADDL SEQ,363
535,TX/PRO/DX INJ SAME DRUG ADON,307
536,TRANSFUSION BLOOD COMPONENTS,1873
537,PICC LINE INSERTION,5291
538,THER IVNTJ W/FOCUS COG FUNCJ,144
539,COG SKILLS DVLPMNT EA 15 MIN,144
540,ORTHC/PROST MGMT SBSQ EA 15MIN,250
541,THERAPEUTIC ACTIVIT EA 15 MINS,275
542,SELF CARE MNGMENT TRAINING,275
543,COMM/WORK REINT TRAINING 15MIN,236
544,AFTERCARE SESSION (DSCH),30
545,OT EVAL LOW COMPLEX 30 MIN,460
546,OT RE-EVAL EST PLAN CARE,143
547,OT EVAL MOD COMPLEX 45 MIN,460
548,OT EVAL HIGH COMPLEX 60 MIN,460
549,SURGERY - GENERAL-O/R (ESI),VARIABLE
550,BALLOON INSERT/REMOVAL,681
551,INTRA AORTIC BALLOON PUMP,1541
552,PERFUSION THERAPY,3003
553,STANDBY PERFUSION THERAPY,716
554,CELLSAVING,3102
555,ANESTHESIA - FL OR (PER MIN),VARIABLE
556,INJECT EPIDURAL PATCH,2394
557,SPINAL TAP,2394
558,ECT PROCEDURE,1178
559,ANESTHESIA - OFFSITE (PER MIN),VARIABLE
560,SLING ARM CUTAWAY UNIV,25
561,NEEDLE HUBER POWER 20GX.75,22
562,NEEDLE HUBER POWER 20GX1,22
563,TUBE SHER-I-BRONCH 37F LT SIDE,115
564,TUBE SHER-I-BRONCH 37F RT SIDE,127
565,SENSOR FLOTRAC BIFURCATED,800
566,SET ARNDT BLOCKER 9X78 ELIP,366
567,SURGERY - GENERAL-O/R (PICIS),67
568,PACU ICU BED RESERVATION FEE,1218
569,ICN SEMI,1730
570,ICN LOA,0
571,INITIAL OBSERVATION CARE LOW,986
572,OBSERVATION-MED-HOURLY,101
573,INITIAL OBSERVATION CARE,200
574,PACU - FLOATING (ESI),VARIABLE
575,CATH SUCTION 10F 2 GLOVE VNYL,2
576,CATH SUCTION 14F 2 GLOVE VNYL,1
577,KIT NEBULIZER MISTY MAX 10,2
578,CANNULA NASAL ADULT 7FT TUBING,60
579,CATH IV PROTECT 18GX1.25IN,4
580,CATH IV PROTECT 22GX1IN,4
581,CATH IV PROTECT 20GX1IN,4
582,KIT BLOOD GAS PROVENT 3CC,2
583,CATH TRORACIC 28FX16 STR,26
584,CATH TRORACIC 24FX16 STR,26
585,SET CVC W/SUTURE WING 14GX16,42
586,GUIDE SPRING WIRE .018X33.5IN,13
587,CATH THERMODILUTION VIP+,159
588,INTRODUCER AVANTI+ 8F,20
589,CATH KIT TRI LUM 7FR X 20CM,120
590,KIT VESSEL 20GAX5IN,40
591,CATH KIT RADIAL ARTERY 20G,17
592,LANCET 30GX1.5 PURP LO FLOW,1
593,LANCET 21GX1.8 PINK MED FLOW,1
594,ELECTRODE NEONATE PEDI SNAP,4
595,ELECTRODE EKG MONITOR ADULT,1
596,ELECTRODE EKG RES 5500 GLD,5
597,ELECTRODE HUGGABLES NEONAT,1
598,PAD MULTIFUNC ELECTRODE ADULT,31
599,PAD MULTIFUNC ELECTRODE PEDI+,34
600,KIT CENTRAL LINE DRESSING,20
601,TUBE SUCT YANKAUER PEDI,10
602,TUBE SUCT YANKAUER MED ADULT,10
603,SPIROMETER BREATHING VOLUMETRC,5
604,NEBULIZER JET 28% 350ML,3
605,BINDER ABDOM SURG MED 30-45IN,10
606,SOLUTION NACL .9% IRR 1000ML,4
607,TUBE FEED NASO GAST 14FX48,10
608,TUBE FEED NASO GAST 18FX48,10
609,CATH FOLEY 14F 5CC 2WAY LTX ST,40
610,CATH FOLEY 16F 5CC 2WAY LTX ST,40
611,TRAY FOLEY SURESTEP 10F SIL,47
612,CANNULA LEVER LOCK INTERLINK,65
613,CANNULA BLUNT INTERLINK,1
614,TUBE SUCTION CONNECT .25INX6FT,10
615,CHEMODENERV 1 EXTREMITY 1-4,1254
616,GUIDE NERV DESTR ELEC STIM,212
617,BOOT MULTI PODOUS LG,122
618,BOOT MULTI PODOUS REG,122
619,NEEDLE FILTER 19GX1.5 W/5 MICR,40
