Tufts Medical Center -- 2018,,
,,
,,
Medicare Severity Diagnosis Related Groups (MS DRGs),MS DRG Description 2018, 2018 Average Charge / Inpatient Case 
229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC," 108,492 "
231,CORONARY BYPASS W PTCA W MCC," 292,241 "
233,CORONARY BYPASS W CARDIAC CATH W MCC," 190,687 "
234,CORONARY BYPASS W CARDIAC CATH W/O MCC," 124,531 "
235,CORONARY BYPASS W/O CARDIAC CATH W MCC," 147,168 "
236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC," 110,636 "
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC," 51,180 "
240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC," 49,697 "
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC," 121,256 "
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC," 87,375 "
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC," 54,403 "
245,AICD GENERATOR PROCEDURES," 151,299 "
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS," 112,554 "
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC," 67,095 "
248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS," 102,968 "
250,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC," 90,826 "
251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC," 69,625 "
252,OTHER VASCULAR PROCEDURES W MCC," 106,557 "
253,OTHER VASCULAR PROCEDURES W CC," 69,002 "
254,OTHER VASCULAR PROCEDURES W/O CC/MCC," 51,185 "
255,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC," 43,025 "
256,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC," 38,681 "
259,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC," 146,811 "
260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC," 31,912 "
261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC," 42,463 "
262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC," 28,205 "
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES," 72,914 "
265,AICD LEAD PROCEDURES," 136,668 "
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC," 152,757 "
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC," 112,277 "
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC," 207,944 "
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC," 89,951 "
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC," 175,009 "
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC," 120,572 "
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC," 98,032 "
273,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC," 111,540 "
274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC," 92,582 "
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC"," 46,136 "
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC"," 22,264 "
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC"," 20,970 "
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC"," 70,888 "
284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC"," 10,046 "
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC"," 63,986 "
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC"," 36,614 "
288,ACUTE & SUBACUTE ENDOCARDITIS W MCC," 23,090 "
289,ACUTE & SUBACUTE ENDOCARDITIS W CC," 61,940 "
291,HEART FAILURE & SHOCK W MCC," 33,849 "
292,HEART FAILURE & SHOCK W CC," 20,376 "
293,HEART FAILURE & SHOCK W/O CC/MCC," 12,950 "
296,"CARDIAC ARREST, UNEXPLAINED W MCC"," 26,200 "
299,PERIPHERAL VASCULAR DISORDERS W MCC," 66,887 "
300,PERIPHERAL VASCULAR DISORDERS W CC," 24,516 "
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC," 50,028 "
302,ATHEROSCLEROSIS W MCC," 44,259 "
303,ATHEROSCLEROSIS W/O MCC," 15,578 "
304,HYPERTENSION W MCC," 28,331 "
305,HYPERTENSION W/O MCC," 17,279 "
306,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC," 59,423 "
307,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC," 37,617 "
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC," 28,162 "
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC," 18,507 "
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC," 19,805 "
311,ANGINA PECTORIS," 31,735 "
312,SYNCOPE & COLLAPSE," 18,400 "
313,CHEST PAIN," 14,863 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC," 58,061 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC," 31,218 "
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC," 39,713 "
326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC"," 151,741 "
327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC"," 59,496 "
328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC"," 36,851 "
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC," 109,251 "
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC," 63,721 "
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC," 41,880 "
333,RECTAL RESECTION W CC," 90,786 "
335,PERITONEAL ADHESIOLYSIS W MCC," 52,637 "
336,PERITONEAL ADHESIOLYSIS W CC," 66,704 "
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC," 28,445 "
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC," 38,452 "
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC," 29,668 "
341,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC," 119,054 "
342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC," 58,288 "
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC," 22,197 "
344,MINOR SMALL & LARGE BOWEL PROCEDURES W MCC," 86,490 "
345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC," 39,211 "
346,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC," 22,206 "
348,ANAL & STOMAL PROCEDURES W CC," 39,019 "
349,ANAL & STOMAL PROCEDURES W/O CC/MCC," 13,939 "
350,INGUINAL & FEMORAL HERNIA PROCEDURES W MCC," 56,358 "
351,INGUINAL & FEMORAL HERNIA PROCEDURES W CC," 26,581 "
352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC," 18,795 "
353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC," 69,978 "
354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC," 41,456 "
355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC," 42,840 "
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC," 156,785 "
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC," 78,500 "
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC," 40,654 "
368,MAJOR ESOPHAGEAL DISORDERS W MCC," 81,287 "
369,MAJOR ESOPHAGEAL DISORDERS W CC," 44,351 "
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC," 47,772 "
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC," 16,667 "
373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC," 13,976 "
374,DIGESTIVE MALIGNANCY W MCC," 40,618 "
375,DIGESTIVE MALIGNANCY W CC," 16,166 "
376,DIGESTIVE MALIGNANCY W/O CC/MCC," 108,415 "
377,G.I. HEMORRHAGE W MCC," 31,893 "
378,G.I. HEMORRHAGE W CC," 21,233 "
379,G.I. HEMORRHAGE W/O CC/MCC," 14,490 "
380,COMPLICATED PEPTIC ULCER W MCC," 42,483 "
381,COMPLICATED PEPTIC ULCER W CC," 22,459 "
383,UNCOMPLICATED PEPTIC ULCER W MCC," 69,279 "
384,UNCOMPLICATED PEPTIC ULCER W/O MCC," 24,558 "
385,INFLAMMATORY BOWEL DISEASE W MCC," 38,290 "
386,INFLAMMATORY BOWEL DISEASE W CC," 24,757 "
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC," 17,453 "
388,G.I. OBSTRUCTION W MCC," 42,978 "
389,G.I. OBSTRUCTION W CC," 22,119 "
390,G.I. OBSTRUCTION W/O CC/MCC," 12,372 "
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC"," 39,783 "
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC"," 15,964 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC," 44,700 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC," 21,727 "
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC," 14,034 "
405,"PANCREAS, LIVER & SHUNT PROCEDURES W MCC"," 101,209 "
406,"PANCREAS, LIVER & SHUNT PROCEDURES W CC"," 36,823 "
407,"PANCREAS, LIVER & SHUNT PROCEDURES W/O CC/MCC"," 83,668 "
408,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC," 62,947 "
409,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC," 40,540 "
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC," 51,364 "
416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC," 46,264 "
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC," 94,021 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC," 39,569 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC," 30,974 "
420,HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC," 185,699 "
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC," 35,301 "
424,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W CC," 66,618 "
425,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W/O CC/MCC," 75,136 "
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC," 43,313 "
433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC," 17,564 "
434,CIRRHOSIS & ALCOHOLIC HEPATITIS W/O CC/MCC," 12,960 "
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC," 42,145 "
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC," 17,265 "
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC," 48,081 "
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC," 16,749 "
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC," 18,506 "
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC"," 25,687 "
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC"," 21,282 "
443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC"," 14,562 "
444,DISORDERS OF THE BILIARY TRACT W MCC," 34,967 "
445,DISORDERS OF THE BILIARY TRACT W CC," 31,371 "
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC," 22,339 "
453,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC," 175,490 "
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC," 66,079 "
455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC," 53,049 "
456,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC," 140,397 "
457,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC," 126,591 "
458,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC," 106,388 "
459,SPINAL FUSION EXCEPT CERVICAL W MCC," 100,408 "
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC," 53,225 "
461,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W MCC," 123,137 "
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC," 60,977 "
463,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC"," 157,841 "
464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC"," 68,743 "
465,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC"," 34,823 "
466,REVISION OF HIP OR KNEE REPLACEMENT W MCC," 80,158 "
467,REVISION OF HIP OR KNEE REPLACEMENT W CC," 68,749 "
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC," 70,452 "
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT," 75,124 "
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC," 46,359 "
471,CERVICAL SPINAL FUSION W MCC," 68,235 "
472,CERVICAL SPINAL FUSION W CC," 53,540 "
473,CERVICAL SPINAL FUSION W/O CC/MCC," 48,048 "
474,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC," 50,471 "
475,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC," 42,391 "
476,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W/O CC/MCC," 38,622 "
477,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC," 401,069 "
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC," 69,393 "
479,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC," 21,808 "
480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC," 83,361 "
481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC," 54,419 "
