MNEMONIC,DESCRIPTION,CHRG AMT
3050033,"CHEMO ADMIN,IV PUSH INIT DRUG",370.42
3050034,"CHEMO,IV PUSH EACH ADD DRUG",216.18
3050035,"CHEMO, IV INFUSION UP TO 1 HR",592.67
3050036,"CHEMO,IV INF EA ADD HR TO 8 HR",108.17
3050037,"CHEMO,IV INF >8 HRS W PUMP",592.67
3050038,"CHEMO,IV INF EA ADD SEQ DRUG",216.18
3050039,M/S 2 MED OBS INITIAL HOUR,367.86
3050040,M/S 2 MED OBS EA ADD HOUR,15.35
3050041,M/S 2 MEDICAL TELE OBS INIT HR,515.66
3050042,M/S 2 MED TELE OBS EA ADD HR,24.57
3050043,M/S 2 DIRECT ADM TO OBS,476.53
3050044,M/S 3 MED OBS INITIAL HOUR,342.16
3050045,M/S 3 MED OBS EA ADD HOUR,14.28
3050046,M/S 3 MEDICAL TELE OBS INIT HR,479.68
3050047,M/S 3 MED TELE OBS EA ADD HR,22.82
3050048,M/S 3 DIRECT ADMIT TO OBS,443.25
3050049,PCU MED OBS INITIAL HOUR,367.86
3050050,PCU MED OBS EA ADD HOUR,15.35
3050051,PCU CARDIAC TELE OBS INIT HR,587.45
3050052,PCU CARDIAC TELE OBS EA ADD HR,31.04
3050053,PCU DIRECT ADMIT TO OBS,476.53
3050054,ICU MED OBS INITIAL HOUR,827.41
3050055,ICU MED OBS EA ADD HOUR,46.11
3050056,ICU CARDIAC TELE OBS INIT HR,587.45
3050057,ICU CARDIAC TELE OBS EA ADD HR,31.04
3050058,ICU DIRECT ADMIT TO OBS,476.53
3050059,WP MED OBS INITIAL HOUR,357.57
3050060,WP MED OBS EA ADD HOUR,14.96
3050061,CHEMO CNS W LP,568.51
3050062,NSY MED OBS INITIAL HOUR,354.64
3050063,NSY MED OBS EA ADD HOUR,14.22
3050064,THORACENTESIS,1103.36
3050065,PARACENTESIS,1132.18
3050066,FOLEY INSERTION,157.62
3050067,BONE MARROW BIOPSY,988.39
3050068,SPINAL FLUID TAP,791.71
3050069,BLOOD PRODUCTS ADMIN,608.38
3070001,NEW PATIENT - LEVEL 1,137.6
3070002,NEW PATIENT - LEVEL II,145.33
3070003,NEW PATIENT - LEVEL III,153.68
3070004,NEW PATIENT - LEVEL IV,210.01
3070005,NEW PATIENT - LEVEL V,226.21
3070006,ESTABLISHED PATIENT - LEVEL I,137.6
3070007,ESTABLISHED PATIENT - LEVEL II,145.33
3070008,ESTABLISHED PATIENT-LEVEL III,153.68
3070009,ESTABLISHED PATIENT-LEVEL IV,210.01
3070010,ESTABLISHED PATIENT-LEVEL V,226.21
3070011,"BIOPSY SKIN, SINGLE LESION",169.85
3070012,"BIOPSY SKIN, EACH ADD. LESION",169.85
3070013,"BONE BIOPSY, NEEDLE",1016.74
3070014,"CAUTERIZATION,TISSUE",226.21
3070015,"DEBRIDEMENT NAILS, 1 TO 5",105.28
3070016,"DEBRIDE NAILS, 6 OR MORE",105.28
3070017,DEBRIDE INFECTED SKIN </= 10%,462.76
3070018,"DEBRIDE INF SKIN, EACH ADD 10%",226.21
3070019,"DEBRIDE SUB TIS,1ST 20 SQ CM",484.02
3070022,DEBRIDE MUS/FASCIA 1ST 20 SC,484.02
3070023,"DEBRIDE BONE,1ST 20 SQ CM",1580.74
3070024,I & D SIMPLE ABSCESS,355.13
3070025,I & D COMPLICATED ABSCESS,355.13
3070026,I & D HEMATOMA SEROMA,1113.14
3070027,I & D COMPLEX WOUND INFECTION,1844.12
3070028,NON-SEL DEBRIDEMENT W/O ANES,164.85
3070029,"TRIMMING NAILS, ANY #",105.28
3070030,"DEBRDIDE OPEN WOUND,1ST 20 SC",243.48
3070031,"DEBRIDE WOUND,EA ADD 20 SQ CM",171.28
3070032,"AVULSION NAIL PLATE,1ST NAIL",226.21
3070035,"ASP INTERMED JT/BURSA(ANKLE,ET",344.4
3070036,APP RIGID CONTACT LEG CAST,360.09
3070037,"EXT ARTERY STUDY,1 OR 2 LEVELS",282.83
3070038,"EXT ARTERY STUDY, 3 OR > LEV",282.83
3070039,"EXC BENIGN LES,1.1-2.0 CM DIA",623.41
3070040,MAJOR PROCEDURE,2029.73
3070041,"AVULSION NAIL PLATE, EA ADD",121.36
3070042,HBO TREATMENT/PER 30 MIN,509.19
3070043,APLIGRAF TISSUE/PER SQ CM,73.63
3070044,"OASIS SKIN SUB, PER SQ CM",11.39
3070045,"EXC NAIL, PARTIAL OR COMP",933.04
3070046,PREP GRAFT SITE/FIRST 100 CM,2066.99
3070047,PREP GRAFT SITE EA ADD 100 CM,2072.61
3070050,"BIOPSY BONE,EXCIS SUPERFICIAL",3002.43
3070051,I V THERAPY,253.39
3070053,"DEBRIDEMENT, BURN, SMALL",250.18
3070054,PUNCTURE ASPIRATION HEMATOMA,285.22
3070055,APP OF UNNA BOOT/PROFORE,181.19
3070056,ANTIBIOTIC IM INJECTION,60.43
3070058,NEG PRES WOUND THER 50 CM OR <,135.85
3070059,NEG PRES WOUND THER > 50 CM,171.28
3070060,PARE/CUT CORN OR CALLUS SINGLE,135.85
3070061,SMOKING CESS COUNSEL 3-10 MIN,29.37
3070062,SMOKING CESS COUNSEL >10 MIN,29.43
3070065,DERMAGRAFT PER SQ CM(NON-GRAFT,95.64
3070066,BLOOD GLUCOSE MONITORING,24.47
3070067,REMOVAL IMPACTED EAR WAX,108.39
3070068,APP ML COMP/VEN WD BELOW KNEE,180.16
3070069,"DEBRIDE,SUB TIS,EQ ADD 20 SC",247.18
3070070,"DEBRIDE,MUS/FASCIA,EA ADD 20SC",247.18
3070071,"DEBRIDE,BONE EA ADD 20 SC",760.9
3070072,DERMAGRAFT PER SQ CM (GRAFT),95.64
3070077,"THERASKIN, PER SQ CM",355.55
3070078,APP SKIN SUB T/A/L 1ST 25 SCM,1586.69
3070079,APP SS T/A/L EA 25 SCM TO 100,198.31
3070080,"APP SS T/A/L >100 SCM, 1ST 100",2594.65
3070081,APP SS T/A/L EA ADD 100 SCM,539.26
3070082,APP SKIN SUB OTH 1ST 25 SCM,1586.69
3070083,APP SS OTH EA 25 SCM TO 100,198.31
3070084,"APP SS OTH >100 SCM, 1ST 100",1586.69
3070085,APP SS OTH EA ADD 100 SCM,539.26
3070086,PARE CORN/CALLUS 2-4,168.49
3070087,APPLY RIGID CONT LEG CAST LT,360.09
3070088,APPLY RIGID CONT LEG CAST RT,360.09
3070089,APP UNNA BOOT LT,181.19
3070090,APP UNNA BOOT RT,181.19
3070091,MULTILAYER COMP LOWER LEG LT,180.16
3070092,MULTILAYER COMP LOWER LEG RT,180.16
3070106,PURAPLY ANTIMIC/PER SQ CM,241.56
3070107,WASTE PURAPLY ANTIMIC/PER SQCM,241.56
3070108,EPIFIX PER SQ CM,394.7
3070110,GRAFIX CORE PER SQ CM,738.5
3070112,GRAFIX PRIME PER SQ CM,738.5
3070114,EPIFIX MESH PER SQ CM,683.77
3070116,EPIFIX 18MM DISC,579.98
3070120,GRAFIX PRIME 16MM DISC(SQCM=3),475.91
3070128,EPIFIX 14 MM DISC/SQ CM (=2),481.4
3070130,GRAFIX CORE 16MM DISC/SQCM(=3),475.91
3070131,EPICORD PER SQ CM,468.12
3070133,NEG PRESS WND TX<=50 SQ CM,637.14
3070134,NEG PRESS WND TX > 50 SQ CM,637.14
3070135,PURAPLY AM 1.6 DISC/SQ CM (=2),483.12
3070136,AFFINITY PER SQ CM,473.55
3070137,NUSHIELD PER SQ CM,566.83
3070138,NUSHIELD 16 MM DISC (=2 SQ CM),566.83
3070142,TANGNTL BX SKIN SINGLE LESION,331.01
3070143,TANGNTL BX SKIN EA SEP/ADDL,165.51
3070144,PUNCH BX SKIN SINGLE LESION,331.01
3070145,PUNCH BX SKIN EA SEP/ADDL,165.51
3070146,INCIS BX SKIN SINGLE LESION,589.2
3070147,INCIS BX SKIN EA SEP/ADDL,294.6
3100002,PCU STANDARD ROOM RATE,848
3100004,PCU CARDIAC TELE RATE,1306
3100006,PCU TELEMETRY ROOM RATE,1084
3100008,PCU STEP DOWN RATE,1627
3120010,PCU PERITONEAL DIALYSIS,752.01
3120011,PCU HEMODIALYSIS,1103.18
3120012,CHEMOTHERAPY ADMIN,842.71
3120013,CARDIOVERSION (INPATIENT),1307.04
3120014,CARDIOVERSION (OUTPATIENT),1307.04
3120015,PLASMAPHERESIS,2399.31
3120016,PNEUMONIA VACCINE ADMIN,65.66
3120017,INFLUENZA VACCINE ADMIN,65.66
3120101,MEDICAL OBSER II INITIAL,259.91
3120102,MEDICAL OBSERV PER 1/4 HOUR,6.24
3120103,SDC II INITIAL CHRG,7.88
3120104,SDC PER 1/4 HOUR,7.88
3120110,IV THERAPY 1 HR OR LESS,256.15
3120111,BLOOD PRODUCTS ADMIN,608.38
3120114,TELEMETRY OBS INITIAL CHG,416.43
3120115,TELEMETRY OBS 1/4 HR,9.56
3120116,CATH LAB REC/PHASE II INITIAL,474.56
3120117,CATH LAB REC PHASE II 1/4 HR,7.93
3120118,DIRECT ADMIT TO OBSERVATION,476.53
3120121,"MED ADMIN, SUBQ OR IM",65.66
3120122,"MED ADMIN, ANTIBIOTIC IM",65.66
3120123,"MED ADMIN, IV PUSH",134.6
3120124,CATH LAB REC/PHASE I INITIAL,16.7
3120125,CATH LAB REC/PHASE I PER 1/4HR,16.7
3120126,TELE OBS TRANSFER CHG/INITIAL,8.27
3120127,TELE OBS TRANSFER CHG/1/4 HR,8.27
3120128,THORACENTESIS,1159.74
3120129,PARACENTESIS,1159.74
3120130,FOLEY INSERTION,161.47
3120131,BONE MARROW BIOPSY,1012.43
3120132,SPINAL FLUID TAP,811
3120133,"MOD SED INITIAL 15 MINS, >5YRS",53.58
3120134,"MOD SED EA 15 MIN ADD ON,>5YRS",25.58
3120140,PCI RECOVERY 1ST HOUR,465.4
3120141,PCI RECOVERY EA ADD 15 MIN,8.75
3250001,MED SURG 2 STANDARD ROOM RATE,848
3250002,M/S 2 MEDICAL TELEMETRY RATE,1083
3250003,PEDIATRIC ROOM RATE,923
3260001,M/S 2 HEMODIALYSIS,1103.18
3260002,M/S 2 PERITONEAL DIALYSIS,752.01
3270101,M/S 2 MED OBS INITIAL,259.91
3270102,M/S 2 MED OBS PER 1/4 HR,5.96
3270103,M/S 2 SDC INITIAL CHG,7.88
3270104,M/S 2 SDC PER 1/4 HOUR,7.88
3270105,M/S 2 CHEMOTHERAPY ADMIN,864.7
3270107,M/S 2 IV THERAPY 1 HR OR LESS,256.15
3270108,M/S 2 BLOOD PRODUCTS ADMIN,608.38
3270111,M/S 2 PNEUMONIA VACCINE ADMIN,65.66
3270112,M/S 2 INFLUENZA VACCINE ADMIN,65.66
3270114,M/S 2 DIRECT ADMIT TO OBS,476.53
3270117,M/S 2 MED ADMIN/SUBQ OR IM,65.66
3270119,"M/S 2 MED ADMIN, IV PUSH",123.24
3270120,M/S 2 CATH LAB REC/PHASE I INI,17.66
3270121,M/S 2 CATH LAB REC/PH I 1/4 HR,17.66
3270122,M/S 2 CATH LAB REC/PH II INIT,412.78
3270123,M/S 2 CATH LAB REC PH II 1/4 H,8.44
3270124,M/S 2 TELE OBS INITIAL CHG,418.52
3270125,M/S 2 TELE OBS PER 1/4 HR,9.56
3270128,THORACENTESIS,1159.74
3270129,PARACENTESIS,1159.74
3270130,FOLEY INSERTION,161.47
3270131,BONE MARROW BIOPSY,1012.43
3270132,SPINAL FLUID TAP,811
3270133,"MOD SED INITIAL 15 MINS,>5YRS",53.58
3270134,"MOD SED ADD ON EA 15 MIN,>5YRS",25.58
3270135,"MOD SED INITIAL 15 MINS, <5YRS",53.58
3350001,MED SURG 3 STANDARD ROOM RATE,848
3350002,M/S 3 MEDICAL TELEMETRY RATE,1084
3350003,PEDIATRIC ROOM RATE,923
3360001,M/S 3 HEMODIALYSIS,1103.18
3360011,M/S 3 PERITONEAL DIALYSIS,752.01
3370101,M/S 3 MED OBS INITIAL,241.76
3370102,M/S 3 MED OBS PER 1/4 HR,5.51
3370103,M/S 3 SDC INITIAL CHG,7.31
3370104,M/S 3 SDC PER 1/4 HR,7.31
3370105,M/S 3 CHEMOTHERAPY ADMIN,804.37
3370107,M/S 3 IV THERAPY 1 HR OR LESS,238.27
3370108,M/S 3 BLOOD PRODUCTS ADMIN,608.38
3370111,M/S 3 PNEUMONIA VACCINE ADMIN,61.06
3370112,M/S 3 INFLUENZA VACCINE ADMIN,61.06
3370114,M/S 3 DIRECT ADMIT TO OBS,443.25
3370117,M/S 3 MED ADMIN/SUBQ OR IM,61.06
3370119,"M/S 3 MED ADMIN, IV PUSH",114.63
3370120,M/S 3 CATH LAB REC/PHASE I INI,16.41
3370121,M/S 3 CATH LAB REC/PH I 1/4 HR,16.41
3370122,M/S 3 CATH LAB REC/PH II INIT,383.94
3370123,M/S 3 CATH LAB REC H II 1/4 HR,7.8
3370124,M/S 3 TELE OBS INITIAL CHG,389.28
3370125,M/S 3 TELE OBS PER 1/4 HR,8.88
3370128,THORACENTESIS,1078.78
3370129,PARACENTESIS,1078.78
3370130,FOLEY INSERTION,150.17
3370131,BONE MARROW BIOPSY,941.77
3370132,SPINAL FLUID TAP,754.38
3370133,"MOD SED INITIAL 15 MIN,>5YRS",53.58
3370134,"MOD SED ADD ON EA 15MIN,>5YRS",25.58
3370135,"MOD SED INITIAL 15 MINS, <5YRS",53.58
3410001,ICU INTENSIVE ROOM,2179
3410002,ICU STANDARD MS ROOM RATE,848
3410003,ICU STEP DOWN ROOM,1625
3410004,ICU CARDIAC TELE RATE,1306
3410005,ICU TELEMETRY RATE,1084
3420009,CCU PERITONEAL DIALYSIS,752.01
3420010,ICU HEMODIALYSIS,1103.18
3420011,CARDIOVERSION (INPATIENT),1307.04
3420012,INTRAAORTIC BALLOON PUMP PROC,1066.91
3420013,CARDIOVERSION (OUTPATIENT),1307.04
3420015,PLASMAPHERESIS,2399.31
3420043,ELECTROCARDIOGRAM / CCU,135.66
3420046,RECOVERY MINUTES/CCU,4.56
3420090,CONT PULSE OXIMETER 12 HR,166.52
3420100,PCI RECOVERY 1ST HOUR,774.59
3420101,PCI RECOVERY EA ADD 15 MIN,14.51
3430101,ICU OBSERVATION INITIAL CHG,659.81
3430102,ICU OBSERVATION PER 1/4 HR,12.82
3430103,OBSERVATION DIRECT ADM CHARGE,476.53
3430104,CATH LAB REC/PHASE I INITIAL,16.7
3430105,CATH LAB REC/PHASE I PER 1/4HR,17.66
3430106,CATH LAB REC/PHASE II INITIAL,474.56
3430107,CATH LAB REC/PHASE II 1/4 HR,7.93
3430110,I V THERAPY 1 HR OR LESS,256.15
3430111,BLOOD PRODUCTS ADMIN,608.38
3430114,ICU TELE OBS INITIAL,363.93
3430115,ICU TELE OBS PER 1/4 HR,8.27
3430116,SDC MAC RECOVERY PER MINUTE,5.17
3430117,SDC RECOVERY PER 1/4 HR,7.88
3430121,"MED ADMIN,SUBQ OR IM",65.66
3430122,"MED ADMIN,ANTIBIOTIC IM",65.66
3430123,"MED ADMIN, IV PUSH",129.77
3430128,THORACENTESIS,1159.74
3430129,PARACENTESIS,1159.74
3430130,FOLEY INSERTION,161.47
3430131,BONE MARROW BIOPSY,1012.43
3430132,SPINAL FLUID TAP,811
3430133,"MOD SED INITIAL 15 MIN,>5YRS",53.58
3430134,"MOD SED ADD ON EA 15MIN, >5YRS",25.58
3430135,SDC II INITIAL CHRG,7.88
3430136,SDC PER 1/4 HOUR,7.88
3460001,WP STANDARD ROOM,921
3470030,PULSE OXIMETER,56.61
3470040,WP LIMITED ULTRASOUND,355.2
3474485,"DILATOR,URETHRAL 10FR",85.99
3475645,6FR. EXPORT AP ASPIRAT CATH,1106
3480003,WP OBS INITIAL CHARGE,251.42
3480004,WP OBS PER 1/4 HR,7.25
3480005,INSERT TEMP BLADDER CATH,157.7
3480006,AMNIOCENTESIS,919.39
3480103,SDC II INITIAL CHARGE,6.75
3480104,SDC PER 1/4 HOUR,6.75
3480110,IV THERAPY 1 HR OR LESS,250.18
3490001,VAGINAL DELIVERY,2860.6
3490002,VAGINAL DELIVERY OF MULTIPLES,5253.45
3490003,OXYTOCIN TEST/SCHEDULED,525.96
3490004,NON STRESS TEST/SCHEDULED,360.54
3490005,ELECT FETAL MONITOR/HR,94.9
3490006,EXTERNAL CEPHALIC VERSION,2265.66
3490007,INTENSIVE CARE PP 24 HRS/PER H,45.98
3490008,LABOR CARE/PER MIN,3.88
3490010,WP RECOVERY CARE,388.16
3490011,ELECT FETAL MON/PER 1/4 HR,24.4
3490012,OXYTOCIN TEST/UNSCHEDULED,229.21
3490013,NON STRESS TEST/UNSCHEDUL,234.72
3490016,GENERAL ANESTHETIC PER MIN,13.55
3490018,"MED ADMIN,SUBQ OR IM",64.16
3490019,"MED ADMIN,ANTIBIOTIC IM",64.16
3490021,"MED ADMIN,IV PUSH",144.49
3490022,MAJOR PROCEDURE,532.76
3490023,MINOR PROCEDURE,341.88
3490024,CLASS III INITIAL (C-SECTION),2051.74
3490025,CLASS III PER MIN (C-SECTION),30.75
3490026,SPINAL ANESTHETIC,198.24
3490027,WP CLASS II INITIAL,953.24
3490028,WP CLASS II PER MINUTE,24.63
3490029,REGIONAL BLOCK,204.09
3490030,PULSE OXIMETER,56.61
3490031,WP PRENATAL INSTRUCTION CLASS,15.75
3490032,LACTATION CONSULTANT/1/4 HR,35.58
3491043,DRAWING FEE,19.46
3500001,NURSERY ROOM RATE,741
3510001,CIRCUMCISION (INPATIENT),137.52
3510002,ISOLETTE DAILY CHARGE,95.18
3510003,CIRCUMCISION (OUTPATIENT),669.49
3510004,NEWBORN RESUSCITATION,788.05
3510010,PHOTO THERAPY PER HOUR,135.77
3510011,NSY INTENSIVE CARE/HOUR,67.91
3510012,HEPATITIS B ADMIN CHG (NSY),64.16
3510013,H BIG ADMIN CHG (NSY),64.16
3510014,UNIVERSAL HEARING SCREENING,205.26
3510015,FRENECTOMY,131.38
3510016,ENDOTRACHEAL INTUBATION,469.39
3510017,CAR SEAT/BED TEST/60 MINUTES,131.38
3510018,CAR SEAT/BED TEST/EA ADD 30 MI,65.72
3510019,TRANSCUTANEOUS BILIRUBIN,14.55
3510030,PULSE OXIMETER,73.93
3550001,REHAB ROOM & BOARD,1070
3550004,REHAB ROOM & BOARD NON COVERED,1070
3550010,R/U PERITONEAL DIALYSIS,645
3550011,RU HEMODIALYSIS,945
3600012,A/C 1 BLOCK,358.13
3600016,SURGICAL INITIAL - CLASS I,841.02
3600017,SURGICAL PER MINUTE - CLASS I,24.34
3600018,SURGICAL INITIAL - CLASS II,986.35
3600019,SURGICAL PER MINUTE - CLASS II,25.58
3600020,SURGICAL INITIAL - CLASS III,1294.04
3600021,SURGICAL PER MINUTE -CLASS III,27.38
3600022,SURGICAL INITIAL - CLASS IV,1909.68
3600023,SURGICAL PER MINUTE - CLASS IV,36.09
3600024,SURGICAL INITIAL - CLASS V,2525.18
3600025,SURGICAL PER MINUTE - CLASS V,39.53
3600026,SURGICAL INITIAL CLASS VI,3156.62
3600027,SURGICAL PER MIN CLASS VI,40.87
3600028,SURGCIAL INITIAL CLASS VII,3785.84
3600029,SURGCIAL PER MIN CLASS VII,42.73
3600030,SURGICAL INITIAL CLASS VIII,4305.83
3600031,SURGICAL PER MIN CLASS VIII,44.02
3600032,SURGICAL INITIAL CLASS IX,6029.63
3600033,SURGICAL PER MIN CLASS IX,45.26
3600034,SURGICAL INITIAL CLASS X,9003.08
3600035,SURGICAL PER MIN CLASS X,47.84
3600036,C-SECTION INITIAL CHARGE,1388.28
3600037,C-SECTION PER MINUTE CHARGE,31.82
3600038,SURG BRACHYTHERAPY INITIAL,18242.91
3600039,SURG BRACHYTHERAPY PER MINUTE,52.23
3600041,LITHOTRIPSY SURGICAL INITIAL,9003.08
3600042,LITHOTRIPSY PER MIN,47.84
3600045,O.R. FLUORO FOR CVP/PICC/PORT,305.12
3610001,RECOVERY ROOM MINUTES-INITIAL,7.09
3610002,RECOVERY RM MINUTES-ADDITIONAL,7.09
3610003,INJECTION OF SPINE,1167.38
3610004,PACU MAC REC PER MIN/INITIAL,4.89
3610005,PACU MAC REC PER MIN/ADDITIONA,4.89
3610006,INJ EPIDURAL BLOOD PATCH,1543.84
3610007,PACU MAC RECOVERY FLAT RATE,169.51
3622900,SPINAL ANESTHETIC,195.65
3622901,ANESTHESIA (MAC),169.51
3622902,GENERAL ANESTHETIC/MINUTE,16.24
3622903,SUPPLEMENT ANESTHETIC,187.27
3622904,EPIDURAL TRAY,153.09
3622905,REGIONAL BLOCK,204.09
3623000,BIER BLOCK TRAY,177.49
3623001,ANES CONT EPIDURAL,168.61
3623002,ANES CONT SPINAL,177.49
3640009,ESO-GAST-DUO-CPY W BIOPSY,247.76
3640040,NURSING VISIT,111.26
3640041,ENDOSCOPY INITIAL - CLASS I,601.69
3640042,ENDOSCOPY PER MINUTE - CLASS I,19.73
3640043,ENDOSCOPY INITIAL - CLASS II,1068.49
3640044,ENDOSCOPY PER MINUTE-CLASS II,20.58
3640045,ENDOSCOPY INITIAL - CLASS III,1212.36
3640046,ENDOSCOPY PER MINUTE-CLASS III,23.38
3640047,RECOVERY PER MINUTE,5.45
3640049,THORACENTESIS,1103.91
3640050,PARACENTESIS,1103.91
3640051,FOLEY INSERTION,157.7
3640052,BONE MARROW BIOPSY,915.63
3640053,SPINAL FLUID TAP,792.1
3640054,PEG TUBE CHANGE,1132.18
3640055,SUPRAPUBIC CATHETER CHANGE,525.4
3640056,MAC ANESTHESIA SUPPLEMENT,169.51
3640057,GENERAL ANESTHETIC/MINUTE,16.24
3640060,BLOOD PRODUCTS ADMIN,608.38
3640062,"MED ADMIN, IV PUSH",117.39
3640110,I V THERAPY 1 HR OR LESS,250.18
3640112,REFILL/MAINT PORT,306.07
3640116,IV PORT FLUSH,97.6
3640117,"MED ADMIN,SUBQ OR IM",64.16
3640118,"MED ADMIN, ANTIBIOTIC IM",64.16
3640120,CHEMO ADMINISTRATION,823.14
3640121,SDC II INITIAL CHARGE,7.53
3640122,ENDO MOD SED INITIAL 15 MINS,52.4
3640123,ENDO MOD SED EA ADD'L 15 MIN,23.9
3640124,ENDOSCOPY INITIAL - CLASS IV,1678.25
3640125,ENDOSCOPY PER MINUTE -CLASS IV,25.18
3660041,INCENTIVE DISPOSABLE,31.7
3660043,EKG,126.33
3660061,PULSE OXIMETER,51.16
3660062,REGIONAL BLOCK,194.64
3660103,SDC II INITIAL CHARGE,7.14
3660104,SDC PER 1/4 HOUR,7.14
3660110,IV THERAPY 1 HR OR LESS,238.66
3660114,MAJOR PROCEDURE,480.48
3660115,MINOR PROCEDURE,308.43
3660116,SDC MAC REC PER MINUTE,4.66
3660117,"MED ADMIN,SUBQ OR IM",61.17
3660118,"MED ADMIN, ANTIBIOTIC IM",61.17
3660119,"MED ADMIN, IV PUSH",111.94
3660120,CHEMOTHERAPY ADMIN,785.02
3660131,CATH LAB REC/PHASE I INITIAL,16.02
3660132,CATH LAB REC/PHASE I PER 1/4HR,16.02
3660133,CATH LAB REC/PHASE II INITIAL,376.12
3660134,CATH LAB REC/PHASE II 1/4 HR,7.58
3661043,DRAWING FEE,19.46
3661044,SDC MAC RECOVERY FLAT RATE,169.51
3711468,"KIT,ANGIOGRAPHY CUSTOM",162.39
3711691,"NEEDLE,17GA 3 1 PC",16.39
3740005,"CATHETER,SILICONE 5CC 18FR",10.97
3740010,AMNIOTIC MEMB.PERF.AM50,180.95
3740026,CERVICAL ROLL / LUMBAR 703,12.24
3740027,CERVICAL TRACTION UNIVERSAL,130.04
3740029,CHLORAZENE,2.83
3740030,CPM COVERS MEDIUM ME3333,19.81
3740031,ELECTRODES 2X2 812020-04,7.56
3740032,HEEL LIFTS MEDIUM,6.49
3740033,HEEL WEDGE SMALL,6.11
3740034,IEM LS 700-703,71.89
3740035,IEM MATERNITY SUPPORT #200,108.61
3740036,IONTO PADS,10.95
3740037,"BLADE,KNIFE #10",11.46
3740039,PULSAVAC KIT,63.39
3740040,"BLADE,#15 BLADE",11.83
3740041,"FLANGE,SENSURA FLEX",22.2
3740042,"POUCH,SENSURA FLEX",13.22
3740048,PULSAVAC TIP,17.48
3740050,"TRACH,6.0 XLTCP",201.25
3740051,COOK FEMOROL ARTERIAL KIT,124.1
3740053,"CASSETTE COVER,X-RAY,MED",18.37
3740054,BUTTON REPL.24 1.7,406.49
3740056,"TRACH,8.0 XLTCP",201.25
3740057,"DRESSING,BIOPATCH DISK",28.99
3740070,"CONTAINERS,THORACENTESIS",45.73
