SERVICE CATEGORY,CHARGE DESCRIPTION,2019 PRICING
Cardiology,REVASC ACUTE OCCL DES/ATHR/PTCA SGL VSL,"$20,424.25 "
Cardiology,REVASC CHRON OCCL DES/ATHR/PTCA EA AD,"$20,425.25 "
Cardiology,REVASC CHRON OCCL DES/ATHR/PTCA SGL VSL,"$20,424.25 "
Cardiology,REVASC CHRON OCCL SNT/ATHR/PTCA SGL VSL,"$16,910.00 "
Cardiology,REVASC CHRON OCCL STNT/ATHR/PTCA EA AD,"$16,910.00 "
Cardiology,REVASC GRAFT DES/ATHER/PTCA EA AD BRNCH,"$20,424.25 "
Cardiology,REVASC GRAFT DES/ATHER/PTCA SGL VESSL,"$20,424.25 "
Cardiology,REVASC GRAFT STENT/ATHER/PTCA SGL VESSL,"$16,910.00 "
Cardiology,REVASC GRAFT STNT/ATHR/PTCA EA AD BRNCH,"$16,910.00 "
Cardiology,RHC CORONARY ANGIO GRAFT W/ S&I,"$9,847.50 "
Cardiology,RHC CORONARY ANGIO S&I W/ S&I,"$9,847.50 "
Cardiology,RHC W/O2 SAT MEASURE & CARDIAC OUTPUT,"$7,451.50 "
Cardiology,RHYTHM ECG 1-3 LEADS TRACING ONLY,$78.25 
Cardiology,RT&LHC CORN ANGIO LT VENT W/ S&I,"$18,689.75 "
Cardiology,RT&LHC CORN ANGIO LV GRAFT W/ S&I,"$18,142.00 "
Cardiology,RT&LHC W/ LT VENTRICULOGRAPHY INJ W/S&I,"$9,847.50 "
Cardiology,STRESS TEST TRACING ONLY,"$1,190.00 "
Cardiology,SWAN INSERT AND PLACEMENT,"$2,231.25 "
Cardiology,THROMBECTOMY HEART PERCUT MECHNICAL,"$3,178.00 "
Cardiology,THROMBOLYSIS HEART INTRACORONARY INFUS,"$1,157.25 "
Cardiology,TRANSESOPHAGEAL ECHO,"$2,366.75 "
Cardiology,TRANSESOPHAGEAL ECHO W/W/O CONTRAST,"$4,064.00 "
Cardiology,TRANSTHORACIC ECHO COMPLETE,"$1,468.00 "
Cardiology,TRANSTHORACIC ECHO FOLLOW UP/LIMITED,$888.25 
Cardiology,TRANSTHORACIC ECHO STRESS TEST ONLY,"$1,372.50 "
Cardiology,TRANSTHORACIC ECHO W/ DOPPLER COMPLETE,"$1,989.50 "
Cardiology,TRANSTHORACIC ECHO W/O DOPPLER COMPLETE,$900.00 
Cardiology,TRANSTHORACIC ECHO W/W/O CONTRAST LIMIT,"$2,486.00 "
Cardiology,TTE FOLLOW-UP/LIMITED W/M-MODE RECORD,$679.00 
Cardiology,TTE STRESS W/W/O CONTRAST,"$1,785.00 "
Cardiology,TTE W/W/O CONTRAST DOPPLER COMPLETE,"$3,361.50 "
Clinic Services,ADMIN VACCINE EA ADL VACCINE,$56.25 
Clinic Services,ADMIN VACCINE ONE VACCINE,$56.25 
Clinic Services,ADMINISTRATION HEPATITIS B VACCINE,$56.25 
Clinic Services,ADMINISTRATION INFLUENZA VACCINE,$56.25 
Clinic Services,ADMINISTRATION PNEUMOCOCCAL VACCINE,$56.25 
Clinic Services,APPLY MULTI-LAYR COMPRESSION BELOW KNEE,$250.00 
Clinic Services,DEBRIDE OPEN WOUND <= 20 SQ CM,$235.00 
Clinic Services,DEBRIDE OPEN WOUND EA ADDL 20 SQ CM,$275.75 
Clinic Services,DEBRIDEMENT NON SELECTIVE EA SESSION,$151.75 
Clinic Services,DIABETES MGMNT TRAIN GRP SESSION 30 MIN,$69.50 
Clinic Services,DIABETES MGMNT TRAIN INDIVIDUAL 30 MIN,$113.50 
Clinic Services,ED ADMIN VACCINE ONE VACCINE,$56.25 
Clinic Services,MED NUTRITION THER INITIAL EA 15 MIN,$51.75 
Clinic Services,MED NUTRITION THER RE-ASSESS EA 15 MIN,$45.00 
Clinic Services,MED NUTRITION THERAPY GROUP EA 30 MIN,$55.25 
Clinic Services,MED NUTRTN THRPY REASSESS GRP EA 30 MIN,$175.50 
Clinic Services,MED NUTRTN THRPY REASSESS IND EA 30 MIN,$89.25 
Clinic Services,NEG PRESSURE WND TX W/ DME <= 50 SQ CM,$177.50 
Clinic Services,NEG PRESSURE WND TX W/ DME > 50 SQ CM,$220.50 
Clinic Services,OP VISIT LEVEL 1 ESTABLISHED PATIENT,$134.75 
Clinic Services,OP VISIT LEVEL 1 ESTABLISHED PATIENT,$134.75 
Clinic Services,OP VISIT LEVEL 1 NEW PATIENT,$164.00 
Clinic Services,OP VISIT LEVEL 1 NEW PATIENT,$164.00 
Clinic Services,OP VISIT LEVEL 2 ESTABLISHED PATIENT,$169.00 
Clinic Services,OP VISIT LEVEL 2 ESTABLISHED PATIENT,$169.00 
Clinic Services,OP VISIT LEVEL 2 NEW PATIENT,$182.50 
Clinic Services,OP VISIT LEVEL 2 NEW PATIENT,$182.50 
Clinic Services,OP VISIT LEVEL 3 ESTABLISHED PATIENT,$200.25 
Clinic Services,OP VISIT LEVEL 3 ESTABLISHED PATIENT,$200.25 
Clinic Services,OP VISIT LEVEL 3 NEW PATIENT,$242.00 
Clinic Services,OP VISIT LEVEL 3 NEW PATIENT,$242.00 
Clinic Services,OP VISIT LEVEL 4 ESTABLISHED PATIENT,$258.50 
Clinic Services,OP VISIT LEVEL 4 ESTABLISHED PATIENT,$258.50 
Clinic Services,OP VISIT LEVEL 4 NEW PATIENT,$319.75 
Clinic Services,OP VISIT LEVEL 4 NEW PATIENT,$319.75 
Clinic Services,OP VISIT LEVEL 5 ESTABLISHED PATIENT,$318.75 
Clinic Services,OP VISIT LEVEL 5 ESTABLISHED PATIENT,$318.75 
Clinic Services,OP VISIT LEVEL 5 NEW PATIENT,$389.50 
Clinic Services,OP VISIT LEVEL 5 NEW PATIENT,$389.50 
Clinic Services,PREVENTIVE MED EST PAT AGE 1-4,$84.75 
Clinic Services,PREVENTIVE MED EST PAT AGE 12-17,$84.75 
Clinic Services,PREVENTIVE MED EST PAT AGE 18-39,$84.75 
Clinic Services,PREVENTIVE MED EST PAT AGE 5-11,$84.75 
Clinic Services,PREVENTIVE MED EST PAT INFANT,$84.75 
Clinic Services,PREVENTIVE MED EST PATIENT AGE 40-64,$84.75 
Clinic Services,PREVENTIVE MED EST PATIENT AGE 65+,$84.75 
Clinic Services,PREVENTIVE MED NEW PAT AGE 1-4,$108.75 
Clinic Services,PREVENTIVE MED NEW PAT AGE 12-17,$108.75 
Clinic Services,PREVENTIVE MED NEW PAT AGE 18-39,$108.75 
Clinic Services,PREVENTIVE MED NEW PAT AGE 5-11,$108.75 
Clinic Services,PREVENTIVE MED NEW PATIENT AGE 40-64,$108.75 
Clinic Services,PREVENTIVE MED NEW PATIENT AGE 65+,$108.75 
Clinic Services,PROLONG CLINCL STAFF SVC 1ST HOUR,$85.25 
Clinic Services,PROLONG CLINCL STAFF SVC EA ADD 30 MIN,$41.00 
Clinic Services,SMOKE/TOBACCO COUNSELING >10MIN,$41.25 
Clinic Services,SMOKE/TOBACCO COUNSELING 3-10 MINS,$53.50 
Clinic Services,STRAPPING UNNA BOOT,$200.00 
Clinic Services,TRANSITIONAL CARE MANAGEMENT HIGH,$194.50 
Clinic Services,TRANSITIONAL CARE MANAGEMENT MOD,$194.50 
Dialysis,DIALYSIS TX ESRD UNSCHEDULED/EMERGENT,"$1,536.25 "
Dialysis,IP CAPD,"$2,089.00 "
Dialysis,IP CCPD,"$2,932.75 "
Dialysis,IP HEMODIALYSIS,"$1,880.00 "
Emergency Room Services,ED ABDOMINAL PARACENTESIS W/O IMG GUIDE,"$1,359.50 "
Emergency Room Services,ED APPLY CAST LONG ARM,$437.00 
Emergency Room Services,ED APPLY CAST LONG LEG,$437.00 
Emergency Room Services,ED APPLY CAST SHORT ARM,$320.00 
Emergency Room Services,ED APPLY CAST SHORT LEG,$348.50 
Emergency Room Services,ED APPLY SPLINT FINGER DYNAMIC,$230.00 
Emergency Room Services,ED APPLY SPLINT FINGER STATIC,$230.00 
Emergency Room Services,ED APPLY SPLINT LONG ARM,$300.00 
Emergency Room Services,ED APPLY SPLINT LONG LEG,$300.00 
Emergency Room Services,ED APPLY SPLINT SHORT ARM,$275.00 
Emergency Room Services,ED APPLY SPLINT SHORT LEG,$275.00 
Emergency Room Services,ED ARTHROCENT INTMED JOINT/BURSA W/O US,$322.75 
Emergency Room Services,ED ARTHROCENT LARGE JOINT/BURSA W/O US,$611.75 
Emergency Room Services,ED ARTHROCENT SMALL JOINT/BURSA W/O US,$330.25 
Emergency Room Services,ED ASPIRATE BLADDER BY NEEDLE,$545.00 
Emergency Room Services,ED AVULSION NAIL PLATE EA ADDL NAIL,$95.00 
Emergency Room Services,ED AVULSION NAIL PLATE SIMPLE/COMPLEX,$155.50 
Emergency Room Services,ED BLADDER IRRIGATION SIMPLE,$388.50 
Emergency Room Services,ED CARDIOPULMONARY RESUSCITATION (CPR),$962.75 
Emergency Room Services,ED CARDIOVERSION ELECTIVE EXTERNAL,"$1,568.75 "
Emergency Room Services,ED CHANGE CYSTOSTOMY TUBE SIMPLE,$420.00 
Emergency Room Services,ED CHANGE GASTROSTOMY TUBE W/O GUIDANCE,$671.75 
Emergency Room Services,ED CLOSE LAC VESTIBULE MOUTH <=2.5CM,$370.50 
Emergency Room Services,ED CLOSE LAC VESTIBULE MOUTH > 2.5CM,"$1,000.50 "
Emergency Room Services,ED CNTRL NASAL HEMORRHAGE ANTRIOR CMPLX,$753.25 
Emergency Room Services,ED CNTRL NASAL HEMORRHAGE ANTRIOR SMPL,$414.00 
Emergency Room Services,ED CNTRL NASAL HEMORRHAGE POST INIT,$753.25 
Emergency Room Services,ED CNTRL NASAL HEMORRHGE POST SUBSQUENT,$401.00 
Emergency Room Services,ED COLLECT BLOOD CENTRAL/CATH/VENOUS,$164.00 
Emergency Room Services,ED COLLECT BLOOD IMPLANTED VAD,$164.00 
Emergency Room Services,ED DEBRIDE SUBQ TISSUE <= 20 SQ CM,$579.00 
Emergency Room Services,ED DELIVERY NEWBORN RESUSCITATION,$832.50 
Emergency Room Services,ED DELIVERY OF PLACENTA,"$2,910.75 "
Emergency Room Services,ED DESTRUCT BENIGN LESIONS <= 14,$137.00 
Emergency Room Services,ED DRAIN ABSCESS VESTIBULE MOUTH COMP,"$1,965.00 "
Emergency Room Services,ED DRAIN ABSCESS VESTIBULE MOUTH SIMPLE,$391.75 
Emergency Room Services,ED DRAIN EXTERNAL AUDITORY CANAL ABSC,$424.00 
Emergency Room Services,ED DRAIN EXTERNAL EAR ABSCESS/HEMA SIMP,$428.50 
Emergency Room Services,ED DRAINAGE ABSCESS DENTOALVEOLAR,$367.00 
Emergency Room Services,ED DRAINAGE FINGER ABSCESS COMPLICATED,"$1,968.00 "
Emergency Room Services,ED DRAINAGE OF FINGER ABSCESS SIMPLE,$393.75 
Emergency Room Services,ED DRAINAGE SCROTAL WALL ABSCESS,"$1,620.00 "
Emergency Room Services,ED DRESS/DEBRID BURNS 5-10% BODY AREA,$319.00 
Emergency Room Services,ED DRESSING/DEBRID BURNS < 5% BODY AREA,$285.00 
Emergency Room Services,ED DRESSING/DEBRID BURNS >10% BODY AREA,$433.00 
Emergency Room Services,ED EVACUATE SUBUNGUAL HEMATOMA,$246.00 
Emergency Room Services,ED EXCISE NAIL&MATRIX PART/COMPL PERMNT,$497.75 
Emergency Room Services,ED FINE NEEDLE ASPIRATION W/O IMAGING,$320.50 
Emergency Room Services,ED FORESKIN MANIP WITH ADHESION/STRETCH,$550.50 
Emergency Room Services,ED I&D ABSCESS COMPLEX/MULTIPLE,$437.00 
Emergency Room Services,ED I&D ABSCESS PERITONSILLAR,$573.75 
Emergency Room Services,ED I&D ABSCESS SIMPLE/SINGLE,$362.25 
Emergency Room Services,ED I&D BARTHOLIN GLAND ABSCESS,$583.50 
Emergency Room Services,ED I&D EPIDIDYMIS TESTIS,"$3,073.00 "
Emergency Room Services,ED I&D HEMATOMA/SEROMA/FLUID,"$1,504.50 "
Emergency Room Services,ED I&D ISCHIO/PERIRECTAL ABSCESS,"$4,181.75 "
Emergency Room Services,ED I&D PERIANAL ABSCESS SUPERFICIAL,"$1,143.50 "
Emergency Room Services,ED I&D PILONIDAL CYST COMPLEX,"$1,827.75 "
Emergency Room Services,ED I&D PILONIDAL CYST SIMPLE,$377.25 
Emergency Room Services,ED I&D POST-OP WOUND COMPLEX,"$3,065.25 "
Emergency Room Services,ED I&D VULVA/PERINEAL ABSCESS,$879.00 
Emergency Room Services,ED INCIS THROMBOSED HEMORRHOID EXTERNAL,$468.50 
Emergency Room Services,ED INDUCE ABORTION VAGINAL SUPPOSITORY,$461.25 
Emergency Room Services,ED INJ ANESTH AGNT TRIGEMIAL NRVE/BRNCH,$779.00 
Emergency Room Services,ED INSERT BLADDER CATH NON INDWELLING,$245.00 
Emergency Room Services,ED INSERT BLADDER CATH TEMP COMPLEX,$414.75 
Emergency Room Services,ED INSERT BLADDER CATH TEMP SIMPLE,$281.00 
Emergency Room Services,ED INSERT NON-TUNNELED CICC <5 YR,"$1,371.25 "
Emergency Room Services,ED INSERT NON-TUNNELED CICC >= 5 YR,"$1,135.75 "
Emergency Room Services,ED INSERT/REPLC TEMP SINGLE CHAMB PACER,"$7,927.75 "
Emergency Room Services,ED INTUBATION ENDOTRACHEAL,$642.75 
Emergency Room Services,ED LARYNGOSCOPY INDIRECT DX,$350.25 
Emergency Room Services,ED LARYNGOSCOPY INDRECT W/ REMOVAL FB,$318.75 
Emergency Room Services,ED LAVAGE/ASPIRATION GASTRIC,$418.00 
Emergency Room Services,ED MASTOTOMY W/EXPLORE DRAINAGE ABSCESS,"$1,832.25 "
Emergency Room Services,ED PERICARDIOCENTESIS INITIAL,"$1,468.50 "
Emergency Room Services,ED PERITONEAL LAVAGE,"$1,187.00 "
Emergency Room Services,ED PLACE NEEDLE INTRAOSSEOUS INFUSION,$317.75 
Emergency Room Services,ED PUNCTURE ARTERIAL DIAGNOSIS OF BLOOD,$135.25 
Emergency Room Services,ED PUNCTURE SPINAL LUMBAR DIAGNOSTIC,$874.25 
Emergency Room Services,ED PUNCTURE/ASPIRATE ABSCESS/HEMATOMA,$480.75 
Emergency Room Services,ED REMOVAL INTRAUTERINE DEVICE,$434.75 
Emergency Room Services,ED REMOVE FB CONJUNCTIVAL/SCLERAL,$127.00 
Emergency Room Services,ED REMOVE FB CORNEA W/ SLIT LAMP,$322.00 
Emergency Room Services,ED REMOVE FB CORNEA W/O SLIT LAMP,$406.25 
Emergency Room Services,ED REMOVE FB EXT AUDITORY CANAL,$247.50 
Emergency Room Services,ED REMOVE FB EXTERNAL EYE,$186.75 
Emergency Room Services,ED REMOVE FB FOOT COMPLICATED,"$2,173.00 "
Emergency Room Services,ED REMOVE FB FOOT DEEP,"$1,955.75 "
Emergency Room Services,ED REMOVE FB FOOT SUBQ,$965.00 
Emergency Room Services,ED REMOVE FB INTRANASAL OFFICE PX,$191.25 
Emergency Room Services,ED REMOVE FB MUSCLE/TENDON SHEATH SIMP,"$2,141.25 "
Emergency Room Services,ED REMOVE FB PHARYNX,$356.75 
Emergency Room Services,ED REMOVE FB VESTIBULE MOUTH SIMPLE,$252.25 
Emergency Room Services,ED REMOVE FOREIGN BODY COMPLICATED,"$1,469.00 "
Emergency Room Services,ED REMOVE FOREIGN BODY SIMPLE/SUBQ,$367.00 
Emergency Room Services,ED REMOVE IMPACTED CERUMEN W/INSTR UNI,$124.00 
Emergency Room Services,ED REMOVE IMPACTED CERUMEN W/IRR/LAVAGE,$119.00 
Emergency Room Services,ED REMOVE/BIVALVE CAST GAUNTLT/BOOT/BOD,$215.00 
Emergency Room Services,ED REMOVE/BIVALVING FULL ARM/LEG CAST,$228.00 
Emergency Room Services,ED REP LAC ANT 2/3 TONG/MOUTH <= 2.5CM,$386.50 
Emergency Room Services,ED REP LAC POST 1/3 TONGUE<= 2.5CM,$640.25 
Emergency Room Services,ED REP WND INT FACE/EAR/EYE 5.1-7.5 CM,$689.00 
Emergency Room Services,ED REP WND INT FACE/EAR/EYE 7.6-12.5 CM,$739.25 
Emergency Room Services,ED REP WND INT FACE/EAR/EYE/LIP 2.6-5CM,$657.50 
Emergency Room Services,ED REP WND INT FCE/EAR/EYE/LIP 0-2.5 CM,$643.50 
Emergency Room Services,ED REP WND INT HD/TRUNK/EXTR 2.6-7.5 CM,$719.75 
Emergency Room Services,ED REP WND INT HD/TRUNK/EXTR 7.6-12.5CM,$753.75 
Emergency Room Services,ED REP WND INT HEAD/TRNK/EXTR 12.6-20CM,$787.50 
Emergency Room Services,ED REP WND INT HEAD/TRUNK/EXTR >30 CM,"$1,450.00 "
Emergency Room Services,ED REP WND INT HEAD/TRUNK/EXTR 0-2.5 CM,$483.00 
Emergency Room Services,ED REP WND INT HEAD/TRUNK/EXTR20.1-30CM,$866.25 
Emergency Room Services,ED REP WND INT NCK/HND/FT/GEN7.6-12.5CM,$339.25 
Emergency Room Services,ED REP WND INT NECK/HND/FT/GEN 0-2.5 CM,$232.75 
Emergency Room Services,ED REP WND INT NK/HND/FT/GEN 2.6-7.5 CM,$308.00 
Emergency Room Services,ED REP WND SIMP FACE/EAR/EYE 12.6-20CM,$580.75 
Emergency Room Services,ED REP WND SIMP FACE/EAR/EYE 5.1-7.5 CM,$476.75 
Emergency Room Services,ED REP WND SIMP FACE/EAR/EYE 7.6-12.5CM,$506.25 
Emergency Room Services,ED REP WND SIMP FCE/EAR/EYE/LIP 0-2.5CM,$398.00 
Emergency Room Services,ED REP WND SIMP FCE/EAR/EYE/LIP 2.6-5CM,$441.00 
Emergency Room Services,ED REP WND SIMP HD/TRNK/EXTR 20.1-30CM,$602.00 
Emergency Room Services,ED REP WND SIMP HD/TRNK/EXTR 7.6-12.5CM,$492.25 
Emergency Room Services,ED REP WND SIMP HD/TRUNK/EXTR 2.6-7.5CM,$446.00 
Emergency Room Services,ED REP WND SIMP HEAD/TRNK/EXTR12.6-20CM,$530.75 
Emergency Room Services,ED REP WND SIMP HEAD/TRUNK/EXTR >30 CM,$643.00 
Emergency Room Services,ED REP WND SIMP HEAD/TRUNK/EXTR 0-2.5CM,$423.00 
Emergency Room Services,ED REPAIR LIP FULL THICK VERMILION ONLY,"$1,278.25 "
Emergency Room Services,ED REPAIR NAIL BED,$444.00 
Emergency Room Services,ED REPAIR/REDUCE INGUINAL HERNIA,"$5,814.75 "
Emergency Room Services,ED STRAPPING ANKLE AND/OR FOOT,$248.75 
Emergency Room Services,ED STRAPPING ELBOW OR WRIST,$219.50 
Emergency Room Services,ED STRAPPING HAND OR FINGER,$329.00 
Emergency Room Services,ED STRAPPING KNEE,$289.75 
Emergency Room Services,ED STRAPPING SHOULDER,$314.25 
Emergency Room Services,ED STRAPPING TOES,$219.50 
Emergency Room Services,ED TEMPORARY TRANSCUTANEOUS PACING,$480.00 
Emergency Room Services,ED TRACHEOSTOMY CRICOTHYROID MEMBRANE,"$1,428.75 "
Emergency Room Services,ED TRACHEOSTOMY TRANSTRACHEAL,"$1,488.50 "
Emergency Room Services,ED TRACHEOTOMY TUBE CHANGE,$563.75 
Emergency Room Services,ED TUBE THORACOSTOMY OPEN,"$1,174.75 "
Emergency Room Services,ED TX CLSD DISLOC ANKLE W/O ANES,$465.50 
Emergency Room Services,ED TX CLSD DISLOC ELBOW W/O ANES,$547.50 
Emergency Room Services,ED TX CLSD DISLOC FX THUMB W/MANIP,"$1,127.00 "
Emergency Room Services,ED TX CLSD DISLOC HIP TRAUMA W/O ANES,$565.00 
Emergency Room Services,ED TX CLSD DISLOC INTRPHALGL W/ MANIP,$469.25 
Emergency Room Services,ED TX CLSD DISLOC KNEE W/O ANES,$450.00 
Emergency Room Services,ED TX CLSD DISLOC PATELLA W/O ANES,$480.75 
Emergency Room Services,ED TX CLSD DISLOC SHOULDER W/ MANIP,$713.75 
Emergency Room Services,ED TX CLSD DISLOC THUMB W/ MANIP,$575.25 
Emergency Room Services,ED TX CLSD DISLOC TMJ INITIAL/SUBSEQ,$504.50 
Emergency Room Services,ED TX CLSD DISLOC TOE W/O ANES,$358.75 
Emergency Room Services,ED TX CLSD DSLC HIP ARTHRPLSTY W/O ANES,$615.00 
Emergency Room Services,ED TX CLSD FX BIMALLEOLR ANKL W/ MANIP,"$1,127.00 "
Emergency Room Services,ED TX CLSD FX BIMALLEOLR ANKL W/O MANIP,$580.75 
Emergency Room Services,ED TX CLSD FX CALCANEAL W/O MANIP,$458.25 
Emergency Room Services,ED TX CLSD FX CARPL BONE W/O MANIP EACH,$868.00 
Emergency Room Services,ED TX CLSD FX CLAVICLE W/O MANIP,$503.75 
Emergency Room Services,ED TX CLSD FX DIST PHALANG W/MANIP EA,$513.75 
Emergency Room Services,ED TX CLSD FX DIST PHALANG W/O MANIP EA,$386.50 
Emergency Room Services,ED TX CLSD FX DISTAL RADIAL W/ MANIP,"$1,127.00 "
Emergency Room Services,ED TX CLSD FX DISTAL RADIAL W/O MANIP,$360.25 
Emergency Room Services,ED TX CLSD FX FEMORAL SHAFT W/MANIP,"$3,894.00 "
Emergency Room Services,ED TX CLSD FX FEMORAL SHAFT W/O MANIP,$976.25 
Emergency Room Services,ED TX CLSD FX GREAT TOE W/ MANIP,$237.50 
Emergency Room Services,ED TX CLSD FX GREAT TOE W/O MANIP,$178.00 
Emergency Room Services,ED TX CLSD FX HIP W/O MANIP,"$1,127.00 "
Emergency Room Services,ED TX CLSD FX HUMERAL CONDYLAR W/MANIP,"$1,120.00 "
Emergency Room Services,ED TX CLSD FX HUMERAL CONDYLAR W/O MANI,$484.00 
Emergency Room Services,ED TX CLSD FX HUMERAL EPICOND W/O MANIP,$943.50 
Emergency Room Services,ED TX CLSD FX HUMERAL SHAFT W/O MANIP,$421.50 
Emergency Room Services,ED TX CLSD FX LAT MALLEOLUS W/ MANIP,"$1,054.50 "
Emergency Room Services,ED TX CLSD FX LAT MALLEOLUS W/O MANIP,$675.00 
Emergency Room Services,ED TX CLSD FX MED MALLEOLUS W/ MANIP,"$2,700.00 "
Emergency Room Services,ED TX CLSD FX MED MALLEOLUS W/O MANIP,$713.75 
Emergency Room Services,ED TX CLSD FX METACARPAL W/ MANIP EACH,$680.75 
Emergency Room Services,ED TX CLSD FX METACARPAL W/O MANIP EACH,$494.75 
Emergency Room Services,ED TX CLSD FX METATARSAL W/ MANIP EACH,$643.75 
Emergency Room Services,ED TX CLSD FX METATARSAL W/O MANIP EACH,$431.25 
Emergency Room Services,ED TX CLSD FX NAVICULAR W/O MANIP,$855.50 
Emergency Room Services,ED TX CLSD FX PATELLAR W/O MANIP,$611.25 
Emergency Room Services,ED TX CLSD FX PHALANG SHFT W/ MANIP EA,$526.00 
Emergency Room Services,ED TX CLSD FX PHALANG SHFT W/O MANIP EA,$360.00 
Emergency Room Services,ED TX CLSD FX PHALANGE W/ MANIP EACH,$576.25 
Emergency Room Services,ED TX CLSD FX PHALANGE W/O MANIP EACH,$420.25 
Emergency Room Services,ED TX CLSD FX POST MALLEOLUS W/O MANIP,$849.75 
Emergency Room Services,ED TX CLSD FX PROX FIBIA/SHFT W/O MANIP,$865.25 
Emergency Room Services,ED TX CLSD FX PROX HUMERAL W/O MANIP,$514.00 
Emergency Room Services,ED TX CLSD FX RADIAL HEAD/NECK W/O MANI,$405.00 
Emergency Room Services,ED TX CLSD FX RADIAL SHAFT W/ MANIP,"$1,120.00 "
Emergency Room Services,ED TX CLSD FX RADIAL SHAFT W/O MANIP,$813.50 
Emergency Room Services,ED TX CLSD FX TIBIAL PROXIMAL W/ MANIP,"$3,150.25 "
Emergency Room Services,ED TX CLSD FX TIBIAL PROXIMAL W/O MANIP,$821.50 
Emergency Room Services,ED TX CLSD FX TIBIAL SHAFT W/ MANIP,"$2,700.00 "
Emergency Room Services,ED TX CLSD FX TIBIAL SHAFT W/O MANIP,$675.00 
Emergency Room Services,ED TX CLSD FX TRIMALLELR ANKL W/ MANIP,"$1,127.00 "
Emergency Room Services,ED TX CLSD FX TRIMALLELR ANKL W/O MANIP,$466.75 
