Supply Name,Charge
SCREW BONE CANCELLOUS 4X50MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207750,$809.75
SCREW BONE CANCELLOUS 4X52MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207752,$809.75
SCREW BONE CANCELLOUS 4X54MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207754,$809.75
SCREW BONE CANCELLOUS 4X56MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207756,$809.75
SCREW BONE CANCELLOUS 4X58MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207758,$809.75
SCREW BONE CANCELLOUS 4X60MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207760,$809.75
SCREW BONE CANCELLOUS 4X64MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207764,$809.75
SCREW BONE CANCELLOUS 4X72MM CANNULATED STAINLESS STEEL LONG THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207772,$809.75
SCREW BONE CORTICAL 2.7X30MM STAINLESS STEEL FULL THREAD NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202230,$460.40
SCREW BONE 2.7X32MM STAINLESS STEEL NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202232,$460.40
SCREW BONE 2.7X34MM STAINLESS STEEL NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202234,$460.40
SCREW BONE 2.7X36MM STAINLESS STEEL NSTRL FOR MODULAR MINI FRAGMENT SYSTEM STARDRIVE 202236,$460.40
SCREW BONE CORTICAL 3.5X42MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 204842,$102.51
SCREW BONE CORTICAL 3.5X44MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 204844,$102.51
SCREW BONE CORTICAL 3.5X48MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 204848,$102.51
SCREW BONE CORTICAL 3.5X80MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 204880,$102.51
SCREW BONE 3.5X18MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL RADIAL HAND 205018,$768.66
SCREW BONE 3.5 MM DIA 20 MM LENGTH CORTICAL PARTIALLY THREADED CANNULATED SELF-TAPPING NON-LOCKING HEX DRIVE STAINLESS STEEL NON-STERILE,$768.66
SCREW BONE 3.5X24MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL RADIAL HAND 205024,$768.66
SCREW BONE 3.5X26MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL RADIAL HAND 205026,$768.66
SCREW BONE 3.5X30MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL RADIAL HAND 205030,$768.66
SCREW BONE CORTICAL 2.7X42MM STAINLESS STEEL NSTRL CLAVICLE SCAPULA OLECRANON HUMERUS 202842,$102.51
SCREW BONE CORTICAL 2.7X44MM STAINLESS STEEL NSTRL CLAVICLE SCAPULA OLECRANON HUMERUS 202844,$102.51
SCREW BONE L60 MM L16 MM OD4 MM CANNULATED SHORT THREADED CANCELLOUS STAINLESS STEEL,$85.82
SCREW BONE CANCELLOUS 4X65MM STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207065,$94.73
SCREW BONE L70 MM L20 MM OD4 MM CANNULATED SHORT THREADED CANCELLOUS STAINLESS STEEL,$94.73
SCREW BONE CANCELLOUS 4X75MM STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207075,$94.73
SCREW BONE L80 MM L20 MM OD4 MM CANNULATED SHORT THREADED CANCELLOUS STAINLESS STEEL,$94.73
SCREW BONE L90 MM L25 MM OD4 MM CANNULATED SHORT THREADED CANCELLOUS STAINLESS STEEL,$94.73
SCREW BONE CANCELLOUS 4X95MM NON CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL SMALL FRAGMENT SET LCP 207095,$94.73
SCREW BONE CANCELLOUS 4X100MM NON CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL SMALL FRAGMENT SET LC DCP 207100,$94.73
SCREW BONE 4X36MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207636,$809.75
SCREW BONE 4X38MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207638,$809.75
SCREW BONE 4X48MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207648,$809.75
SCREW BONE 4X52MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207652,$809.75
SCREW BONE 4X54MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207654,$809.75
SCREW BONE 4X56MM CANNULATED STAINLESS STEEL PARTIAL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 207656,$809.75
SCREW BONE CORTICAL 2.4X6MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201756,$225.00
SCREW BONE CORTICAL 2.4X8MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201758,$225.00
SCREW BONE CORTICAL 2.4X10MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 20176,$225.00
SCREW BONE CORTICAL 2.4X22MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201772,$225.00
SCREW BONE CORTICAL 2.4X24MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201774,$225.00
SCREW BONE CORTICAL 2.4X26MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201776,$225.00
SCREW BONE CORTICAL 2.4X28MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201778,$225.00
SCREW BONE CORTICAL 2.4X30MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 20178,$225.00
SCREW BONE CORTICAL 2.4X32MM STAINLESS STEEL NSTRL DISTAL RADIUS STARDRIVE 201782,$225.00
SCREW BONE 4.5X22MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 214722,$822.07
SCREW BONE 4.5X34MM CANNULATED STAINLESS STEEL FULL THREAD NSTRL 214734,$822.07
PLATE BONE COMPRESSION DISTAL TIBIA CLAVICLE 3.3X25MM STAINLESS STEEL 2 HOLE LOCKING NON STERILE LC DCP 22352,$472.73
SCREW BONE CANCELLOUS 6.5X24X150MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216350,$219.51
SCREW BONE CANCELLOUS 6.5X145X32MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217145,$219.51
WIRE BONE FIXATION 1.25X300MM STAINLESS STEEL NON STERILE 29128,$443.93
SCREW BONE CORTICAL 3.5X40MM TITANIUM FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 404840,$111.33
SCREW BONE CORTICAL 3.5X45MM TITANIUM FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 404845,$111.33
SCREW BONE CORTICAL 3.5X50MM TITANIUM FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 404850,$111.33
SCREW BONE CANCELLOUS 4X20MM TITANIUM FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 406020,$88.02
SCREW BONE CANCELLOUS 4X30MM TITANIUM FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 406030,$88.02
SCREW BONE CANCELLOUS 4X45MM TITANIUM FULL THREAD NSTRL FOR SMALL FRAGMENT SET LC DCP 406045,$88.02
SCREW BONE 3.5X42MM STAINLESS STEEL FULL THREAD NSTRL FOR SMALL FRAGMENT SET LCP 212118,$485.05
SCREW BONE L48 MM OD3.5 MM SELF TAPPING LOCKING STARDRIVE RECESS STAINLESS STEEL  NONSTERILE,$485.05
SCREW BONE CANCELLOUS 6.5X32X120MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217120,$219.51
SCREW BONE CANCELLOUS 6.5X32X125MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217125,$219.51
SCREW BONE CANCELLOUS 6.5X32X130MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217130,$219.51
SCREW BONE CANCELLOUS 6.5X135MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217135,$219.51
SCREW BONE CANCELLOUS 6.5X32X140MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217140,$219.51
SCREW BONE CANCELLOUS 6.5X150MM NON CANNULATED STAINLESS STEEL 32MM THREAD NSTRL FEMUR LC DCP 217150,$219.51
PLATE BONE COMPRESSION PROXIMAL HUMERUS 3.5X59MM STAINLESS STEEL 4 HOLE LOCKING NON STERILE SMALL LCP 223541,"$1,105.64"
PLATE BONE COMPRESSION DISTAL TIBIA CLAVICLE 3.5X77MM STAINLESS STEEL 6 HOLE LOCKING NON STERILE LC DCP 22356,$575.48
PLATE BONE COMPRESSION PROXIMAL HUMERUS 3.5X98MM STAINLESS STEEL 7 HOLE LOCKING NON STERILE SMALL FRAGMENT LCP 223571,"$1,307.13"
PLATE BONE COMPRESSION DISTAL TIBIA CLAVICLE 3.5X103MM STAINLESS STEEL 8 HOLE LOCKING NON STERILE LC DCP 22358,$628.89
PLATE BONE COMPRESSION DISTAL TIBIA CLAVICLE 3.5X142MM STAINLESS STEEL 11 HOLE LOCKING NON STERILE LC DCP 22361,$702.84
PLATE BONE COMPRESSION PROXIMAL HUMERUS 3.5X150MM STAINLESS STEEL 11 HOLE LOCKING NON STERILE SMALL FRAGMENT LCP 223611,"$1,524.92"
PLATE BONE COMPRESSION PROXIMAL HUMERUS 3.5X176MM STAINLESS STEEL 13 HOLE LOCKING NON STERILE SMALL FRAGMENT LCP 223631,"$1,870.20"
PLATE BONE COMPRESSION DISTAL TIBIA CLAVICLE 3.5X181MM STAINLESS STEEL 14 HOLE LOCKING NON STERILE LC DCP 22364,"$1,401.62"
PLATE BONE COMPRESSION DISTAL TIBIA CLAVICLE 3.5X195MM STAINLESS STEEL 15 HOLE LOCKING NON STERILE LC DCP 22365,"$1,471.51"
SCREW BONE CANCELLOUS 6.5X50MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216250,$161.64
SCREW BONE CANCELLOUS 6.5X24X55M NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216255,$161.64
SCREW BONE L60 MM L24 MM OD6.5 MM SELF TAPPING NONCANNULATED NONLOCKING COMPRESSION PARTIALLY THREADED HEX DRIVE HEXAGONAL SOCKET CANCELLOUS STAINLESS STEEL NONSTERILE,$161.64
SCREW BONE L70 MM L24 MM OD6.5 MM SELF TAPPING NONCANNULATED NONLOCKING COMPRESSION PARTIALLY THREADED HEX DRIVE HEXAGONAL SOCKET CANCELLOUS STAINLESS STEEL NONSTERILE,$161.64
SCREW BONE CANCELLOUS 6.5X24X75MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216275,$161.64
SCREW BONE L80 MM L24 MM OD6.5 MM SELF TAPPING NONCANNULATED NONLOCKING COMPRESSION PARTIALLY THREADED HEX DRIVE HEXAGONAL SOCKET CANCELLOUS STAINLESS STEEL NONSTERILE,$161.64
SCREW BONE CANCELLOUS 6.5X24X90MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216290,$178.29
SCREW BONE CANCELLOUS 6.5X24X95MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216295,$178.29
SCREW BONE L100 MM L24 MM OD6.5 MM SELF TAPPING NONCANNULATED NONLOCKING COMPRESSION PARTIALLY THREADED HEX DRIVE HEXAGONAL SOCKET CANCELLOUS STAINLESS STEEL NONSTERILE,$178.29
SCREW BONE CANCELLOUS 6.5X24X105MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216305,$178.29
SCREW BONE CANCELLOUS 6.5X24X110MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216310,$178.29
SCREW BONE CANCELLOUS 6.5X24X115MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216315,$219.51
SCREW BONE COMPRESSION 6.5 MM DIA 120 MM LENGTH CANCELLOUS PARTIALLY THREADED NON-CANNULATED SELF-TAPPING NON-LOCKING STAINLESS STEEL NONSTERILE,$219.51
SCREW BONE CANCELLOUS 6.5X24X125MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216325,$219.51
SCREW BONE CANCELLOUS 6.5X24X130MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216330,$219.51
SCREW BONE CANCELLOUS 6.5X24X140MM NON CANNULATED STAINLESS STEEL 16MM THREAD NSTRL FEMUR LC DCP 216340,$219.51
PLATE BONE COMPRESSION DISTAL MEDIAL TIBIAL 3.5X251MM STAINLESS STEEL 18 HOLE LOCKING NON STERILE RIGHT LC DCP 223518,"$3,831.83"
