Medication,Charge
ACETIC ACID 0.25 % IRRIGATION SOLN,$49.66
ACETIC ACID 2 % EAR SOLN,$78.15
ACETYLCHOLINE CHLORIDE 1:100 (20 MG/2 ML) INTRAOCULAR KIT,$261.58
ACETYLCYSTEINE 10 % (100 MG/ML) SOLN,$58.50
ACETYLCYSTEINE 10 % (100 MG/ML) SOLN,$19.10
ACETYLCYSTEINE 10 % (100 MG/ML) SOLN,$12.87
ACETYLCYSTEINE 10 % (100 MG/ML) SOLN,$16.11
ACETYLCYSTEINE 10% INHALATION SOLN,$12.87
ACETYLCYSTEINE 10% INHALATION SOLN,$16.11
ACETYLCYSTEINE 20 % (200 MG/ML) IV,$560.39
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,$35.20
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,$57.55
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,$32.33
ACETYLCYSTEINE 20 % (200 MG/ML) SOLN,$16.92
ACETYLCYSTEINE 20% (200MG/ML) MM IRRIGATION,$13.01
ACETYLCYSTEINE 20% (200MG/ML) MM IRRIGATION,$16.92
ACETYLCYSTEINE 20% INHALATION SOLN,$13.01
ACETYLCYSTEINE 20% INHALATION SOLN,$16.92
ACITRETIN 25 MG CAP,$85.94
ACLIDINIUM BROMIDE 400 MCG/ACTUATION BREATH ACTIVATED POWDER INHALER,$198.34
ACTIVATED CHARCOAL 50 G/240 ML ORAL SUSP,$23.09
ACTIVATED CHARCOAL ORAL LIQUID (PEDS),$23.09
ACTIVATED CHARCOAL-SORBITOL 50 G/240 ML ORAL SUSP,$71.22
ACTIVATED CHARCOAL-SORBITOL 50 G/240 ML ORAL SUSP,$35.80
ACTIVATED CHARCOAL-SORBITOL ORAL SUSPENSION (PEDS),$71.22
ACYCLOVIR 200 MG CAP,$8.81
ACYCLOVIR 400 MG TAB,$7.03
ACYCLOVIR 5 % OINTMENT,$397.25
ACYCLOVIR 5 % TOPICAL CREAM,$190.99
ACYCLOVIR 5 % TOPICAL CREAM,"$2,313.25"
ACYCLOVIR SODIUM 50 MG/ML IV,$50.50
ACYCLOVIR SODIUM 500 MG IV POWDER FOR SOLUTION,$52.22
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV,$867.35
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV,$311.22
ADENOSINE 3 MG/ML IV,$56.09
ADENOSINE 3 MG/ML IV,$56.74
AGITATED SALINE INJECTION - CONTRAST,$46.28
ALBENDAZOLE 200 MG TAB,$258.73
"ALBUMIN, HUMAN 25 % IV",$358.75
"ALBUMIN, HUMAN 25 % IV",$358.75
"ALBUMIN, HUMAN 25 % IV",$358.75
"ALBUMIN, HUMAN 25 % IV",$358.75
"ALBUMIN, HUMAN 25 % IV",$358.75
"ALBUMIN, HUMAN 5 % IV",$358.75
"ALBUMIN, HUMAN 5 % IV",$358.75
"ALBUMIN, HUMAN 5 % IV",$358.75
"ALBUMIN, HUMAN 5 % IV",$358.75
"ALBUMIN, HUMAN 5 % IV",$358.75
ALBUTEROL 2.5 MG/0.5 ML CONTINUOUS INHALATION SOLUTION (PEDS) - FACEMASK,$7.66
ALBUTEROL ER 4 MG 12 HR TAB,$8.95
ALBUTEROL SULFATE 0.083 % (0.83 MG/ML) INH SOLN (PEDS),$7.06
ALBUTEROL SULFATE 0.083 % (0.83 MG/ML) INH SOLN (PEDS),$7.54
ALBUTEROL SULFATE 0.083 % SOLN FOR INHALATION,$7.54
ALBUTEROL SULFATE 0.083 % SOLN FOR INHALATION,$7.06
ALBUTEROL SULFATE 0.083 % SOLN FOR INHALATION,$7.52
ALBUTEROL SULFATE 1.25 MG/3 ML (0.042 %) SOLN FOR INHALATION,$9.65
ALBUTEROL SULFATE 2 MG TAB,$20.82
ALBUTEROL SULFATE 2 MG/5 ML SYRUP,$29.31
ALBUTEROL SULFATE 2 MG/5 ML SYRUP,$12.93
ALBUTEROL SULFATE 2.5 MG/0.5 ML NEB SOLUTION,$7.66
ALBUTEROL SULFATE 2.5 MG/0.5 ML NEB SOLUTION (PEDS),$7.66
ALBUTEROL SULFATE 4 MG TAB,$6.89
ALBUTEROL SULFATE 90 MCG/ACTUATION AEROSOL INHALER,$159.33
ALBUTEROL SULFATE 90 MCG/ACTUATION AEROSOL INHALER,$42.32
"ALDESLEUKIN 22,000,000 UNIT IV SOLUTION","$3,692.53"
ALENDRONATE 10 MG TAB,$7.80
ALENDRONATE 10 MG TAB,$7.80
ALENDRONATE 35 MG TAB,$8.36
ALENDRONATE 5 MG TAB,$6.99
ALENDRONATE 70 MG TAB,$9.27
ALENDRONATE 70 MG TAB,$9.27
ALFENTANIL 500 MCG/ML INJECTION,$51.86
ALFUZOSIN SR 10 MG 24 HR TAB,$17.53
ALISKIREN 150 MG TAB,$15.39
ALISKIREN 150 MG TAB,$14.73
ALLOPURINOL 100 MG TAB,$6.68
ALLOPURINOL 100 MG TAB,$6.71
ALLOPURINOL 150 MG (HALF-TAB),$14.10
ALLOPURINOL 300 MG TAB,$6.78
ALLOPURINOL 50 MG (HALF-TAB),$12.96
ALPRAZOLAM 0.25 MG TAB,$15.15
ALPRAZOLAM 0.5 MG TAB,$15.09
ALPRAZOLAM 0.5 MG TAB,$15.12
ALPRAZOLAM 0.5 MG TAB,$15.18
ALPRAZOLAM 1 MG TAB,$15.15
ALTEPLASE 1 MG/ML MIXTURE ADDITIVE,$451.46
ALTEPLASE 1 MG/ML MIXTURE ADDITIVE,$451.46
ALTEPLASE 100 MG IV SOLUTION,"$13,881.09"
ALTEPLASE 100 MG IV SOLUTION,"$13,881.09"
ALTEPLASE 125 MCG/ML INTRA-OCULAR SOLUTION,$336.93
ALTEPLASE 2 MG SOLUTION FOR INJECTION,$451.46
ALTEPLASE 2 MG SOLUTION FOR INJECTION,$451.46
ALTEPLASE 250 MCG/ML INTRA-OCULAR SOLUTION,$227.50
ALTEPLASE 50 MG IV SOLUTION,"$7,040.53"
ALTEPLASE 50 MG IV SOLUTION,"$7,040.53"
ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSP,$30.45
ALUMINUM-MAGNESIUM HYDROXIDE 200 MG-200 MG/5 ML ORAL SUSP,$7.94
ALUM-MAG HYDROXIDE-SIMETH 200 MG-200 MG-20 MG/5 ML ORAL SUSP,$31.36
ALUM-MAG HYDROXIDE-SIMETH 400 MG-400 MG-40 MG/5 ML ORAL SUSP,$8.22
AMANTADINE 100 MG CAP,$8.32
AMANTADINE 100 MG CAP,$7.55
AMANTADINE 50 MG/5 ML SYRUP,$9.79
"AMIKACIN 1,000 MG/4 ML INJECTION",$59.08
"AMIKACIN 1,000 MG/4 ML INJECTION",$61.42
AMIKACIN 25 MG/0.5 ML SUBCONJUNCTIVAL SOLUTION,$146.25
AMIKACIN 400 MCG/0.1 ML INTRAVITREAL SOLUTION,$146.25
AMIKACIN 500 MG/2 ML INJECTION,$55.18
AMILORIDE 2.5 MG (HALF-TAB),$15.06
AMILORIDE 5 MG TAB,$8.18
AMINO ACID ELECTROLYTES & CALCIUM IN D25W 4.25 % IV,$98.73
AMINO ACID ELECTROLYTES & CALCIUM IN D5W 2.75 % IV,$86.74
AMINO ACID ELECTROLYTES & CALCIUM IN D5W 4.25 % IV,$107.64
AMINO ACID INFUSION 2.75 % IV,$71.75
AMINO ACID INFUSION 8 % IV,$232.37
AMINO ACID INFUSION IN D10W 4.25 % IV,$105.13
AMINO ACID INFUSION IN D15W 5 % IV,$116.57
AMINO ACID INFUSION IN D20W 4.25 % IV,$103.96
AMINO ACID INFUSION IN D20W 5 % IV,$117.55
AMINO ACID INFUSION IN D20W 5 % IV,$621.59
AMINO ACID INFUSION IN D25W 5 % IV,$118.56
AMINOCAPROIC ACID 250 MG/ML IV,$46.73
AMINOPHYLLINE 500 MG/20 ML IV,$47.21
AMIODARONE 1.8 MG/ML INFUSION BOLUS,$128.13
AMIODARONE 100 MG TAB,$14.52
AMIODARONE 200 MG TAB,$7.34
AMIODARONE 50 MG (HALF-TAB),$20.77
AMIODARONE 50 MG/ML IV,$57.75
AMIODARONE 50 MG/ML IV,$46.54
AMIODARONE 50 MG/ML IV,$48.00
AMIODARONE 50 MG/ML IV,$59.21
"AMIODARONE IN DEXTROSE, ISO-OSMOTIC 360 MG/200 ML (1.8 MG/ML) IV",$128.13
"AMIODARONE IN DEXTROSE, ISO-OSMOTIC 360 MG/200 ML (1.8 MG/ML) IV (TITRATION BAG)",$128.13
AMITRIPTYLINE 10 MG TAB,$6.71
AMITRIPTYLINE 100 MG TAB,$6.85
AMITRIPTYLINE 12.5 MG (HALF-TAB),$12.89
AMITRIPTYLINE 150 MG TAB,$6.78
AMITRIPTYLINE 25 MG TAB,$6.64
AMITRIPTYLINE 5 MG (HALF-TAB),$12.96
AMITRIPTYLINE 50 MG TAB,$6.68
AMLODIPINE 10 MG TAB,$6.89
AMLODIPINE 10 MG TAB,$7.10
AMLODIPINE 10 MG TAB,$6.85
AMLODIPINE 10 MG TAB,$6.84
AMLODIPINE 2.5 MG TAB,$44.33
AMLODIPINE 2.5 MG TAB,$6.92
AMLODIPINE 5 MG TAB,$20.43
AMLODIPINE 5 MG TAB,$8.28
AMLODIPINE 5 MG TAB,$8.28
AMMONIA AROMATIC 15 % (W/V) SOLN FOR INHALATION,$7.06
AMMONIA AROMATIC 15 % (W/V) SOLN FOR INHALATION,$7.62
AMMONIUM LACTATE 12 % LOTION,$58.91
AMOXAPINE 100 MG TAB,$8.46
AMOXAPINE 50 MG TAB,$7.59
AMOXICILLIN 125 MG/5 ML ORAL SUSP,$26.92
AMOXICILLIN 250 MG CAP,$6.82
AMOXICILLIN 250 MG/5 ML ORAL SUSP,$31.50
AMOXICILLIN 250 MG/5 ML ORAL SUSP,$29.30
AMOXICILLIN 500 MG CAP,$6.99
AMOXICILLIN 50MG/ML ORAL SUSPENSION (PEDS),$29.30
AMOXICILLIN 50MG/ML ORAL SUSPENSION (PEDS),$31.50
AMOXICILLIN-POT CLAVULANATE 125 MG-31.25 MG/5 ML ORAL SUSP,$125.69
AMOXICILLIN-POT CLAVULANATE 200 MG-28.5 MG/5 ML ORAL SUSP,$43.86
AMOXICILLIN-POT CLAVULANATE 250 MG-125 MG TAB,$20.01
AMOXICILLIN-POT CLAVULANATE 250 MG-62.5 MG/5 ML ORAL SUSP,$268.90
AMOXICILLIN-POT CLAVULANATE 250 MG-62.5 MG/5 ML ORAL SUSP,$192.84
AMOXICILLIN-POT CLAVULANATE 250 MG-62.5 MG/5 ML ORAL SUSP,$134.10
AMOXICILLIN-POT CLAVULANATE 400 MG-57 MG/5 ML ORAL SUSP,$59.69
AMOXICILLIN-POT CLAVULANATE 500 MG-125 MG TAB,$9.16
AMOXICILLIN-POT CLAVULANATE 875 MG-125 MG TAB,$8.81
"AMOXICILLIN-POT CLAVULANATE SR 1,000 MG-62.5 MG 12 HR TAB",$17.91
AMPHOTERICIN B 50 MCG/ML INTRA-OPTHALMIC SOLUTION,$76.50
AMPHOTERICIN B 50 MG SOLUTION FOR INJECTION,$81.18
AMPHOTERICIN B LIPOSOME 50 MG IV SUSP,$761.01
AMPICILLIN 1 G SOLUTION FOR INJECTION,$53.30
AMPICILLIN 1 G SOLUTION FOR INJECTION,$51.80
AMPICILLIN 125 MG/5 ML ORAL SUSP,$28.84
AMPICILLIN 2 G IV SOLUTION,$114.43
AMPICILLIN 2 G SOLUTION FOR INJECTION,$53.79
AMPICILLIN 2 G SOLUTION FOR INJECTION,$63.08
AMPICILLIN 250 MG CAP,$6.75
AMPICILLIN 250 MG/5 ML ORAL SUSP,$35.32
AMPICILLIN 500 MG CAP,$6.96
AMPICILLIN 500 MG INJ FOR DESENSITIZATION ORDERS (ROPH),$49.04
AMPICILLIN 500 MG SOLUTION FOR INJECTION,$49.04
AMPICILLIN INJECTION 500MG (PEDS),$49.04
AMPICILLIN-SULBACTAM 1 G-0.5 G SOLUTION FOR INJECTION,$57.78
AMPICILLIN-SULBACTAM 1 G-0.5 G SOLUTION FOR INJECTION,$57.78
AMPICILLIN-SULBACTAM 1-0.5 GM INJECTION (PEDS) (ROPH),$57.78
AMPICILLIN-SULBACTAM 1-0.5 GM INJECTION (PEDS) (ROPH),$57.78
AMPICILLIN-SULBACTAM 2 G-1 G SOLUTION FOR INJECTION,$58.85
"AMYLASE-LIPASE-PROTEASE 120,000-24,000-76,000 UNIT CAP, DELAY REL",$19.23
ANAGRELIDE 0.5 MG CAP,$6.89
ANASTROZOLE 1 MG TAB,$7.10
ANASTROZOLE 1 MG TAB,$48.29
ANASTROZOLE 1 MG TAB,$7.62
ANTIHEMOPHILIC FACTOR VIII (RECOMB) (ADVATE) IV SOLN,$4.59
ANTIHEMOPHILIC FACTOR VIII (RECOMB) (KOGENATE FS) IV SOLN,$3.40
APIXABAN 2.5 MG TABLET,$19.07
APIXABAN 5 MG TABLET,$19.07
APRACLONIDINE 0.5 % EYE DROPS,$238.87
APRACLONIDINE 1 % EYE DROPPERETTE,$2.87
ARGATROBAN 100 MG/ML IV,"$4,842.10"
ARGATROBAN 100 MG/ML IV,"$1,729.51"
ARIPIPRAZOLE 10 MG TAB,$57.78
ARIPIPRAZOLE 10 MG TAB,$44.52
ARIPIPRAZOLE 2.5 MG (HALF-TAB),$38.64
ARIPIPRAZOLE 5 MG TAB,$52.64
ARIPIPRAZOLE 5 MG/5 ML ORAL SOLN,"$1,803.00"
ARIPIPRAZOLE 5 MG/5 ML ORAL SOLN,"$2,923.89"
ARTIFICIAL TEAR(GONIOSCOP-HPM) 2.5 % EYE DROPS,$41.97
ASA-CAFF-BUTALBITAL-CODEINE 325 MG-40 MG-50 MG-30 MG CAP,$16.26
ASCORBIC ACID 500 MG TAB,$6.54
ASCORBIC ACID 500 MG/5 ML SYRUP,$62.42
ASCORBIC ACID 500 MG/5 ML SYRUP,$13.28
ASCORBIC ACID 500 MG/5 ML SYRUP,$37.95
ASCORBIC ACID 500 MG/ML INJECTION,$64.22
ASPIRIN 20.25 MG CHEWABLE (QUARTER-TAB),$12.86
ASPIRIN 300 MG RECTAL SUPPOSITORY,$11.51
ASPIRIN 325 MG TAB,$6.71
"ASPIRIN 325 MG TAB, ENTERIC COATED",$6.54
ASPIRIN 40.5 MG CHEWABLE (HALF-TAB),$12.86
ASPIRIN 600 MG RECTAL SUPPOSITORY,$11.68
ASPIRIN 81 MG CHEWABLE TAB,$6.61
ASPIRIN 81 MG CHEWABLE TAB,$6.71
"ASPIRIN 81 MG TAB, ENTERIC COATED",$6.54
"ASPIRIN 81 MG TAB, ENTERIC COATED",$6.64
"ASPIRIN, BUFFERED 325 MG TAB",$6.57
ASPIRIN-ACETAMINOPHEN-CAFFEINE 250 MG-250 MG-65 MG TAB,$6.89
ASPIRIN-CAFFEINE-BUTALBITAL 325 MG-40 MG-50 MG CAP,$15.63
ATAZANAVIR 150 MG CAP,$55.28
ATENOLOL 100 MG TAB,$6.85
ATENOLOL 12.5 MG (HALF-TAB),$12.93
ATENOLOL 25 MG TAB,$6.68
ATENOLOL 50 MG TAB,$6.64
ATORVASTATIN 10 MG TAB,$17.07
ATORVASTATIN 10 MG TAB,$7.37
ATORVASTATIN 20 MG TAB,$21.59
ATORVASTATIN 20 MG TAB,$7.69
ATORVASTATIN 20 MG TAB,$7.55
ATORVASTATIN 40 MG TAB,$16.97
ATORVASTATIN 40 MG TAB,$20.15
ATORVASTATIN 40 MG TAB,$7.83
ATORVASTATIN 40 MG TAB,$8.11
ATORVASTATIN 5 MG (HALF-TAB),$21.43
ATORVASTATIN 80 MG TAB,$20.15
ATORVASTATIN 80 MG TAB,$16.97
ATORVASTATIN 80 MG TAB,$8.25
ATOVAQUONE 750 MG/5 ML ORAL SUSP,$76.75
ATOVAQUONE-PROGUANIL 250 MG-100 MG TAB,$28.85
ATRACURIUM 10 MG/ML IV,$61.10
ATROPINE 0.1 MG/ML SYRINGE,$70.00
ATROPINE 0.4 MG/ML INJECTION,$46.05
ATROPINE 0.4 MG/ML INJECTION,$89.24
ATROPINE 0.4MG/ML INJECTION (PEDS),$46.05
ATROPINE 1 % EYE DROPS,$70.77
ATROPINE 1 % EYE OINTMENT,$58.55
ATROPINE 1 % SUBLINGUAL DROPS,$161.15
ATROPINE 1 % SUBLINGUAL DROPS,$93.61
ATROPINE 1 MG/ML INJECTION,$46.37
AURANOFIN 3 MG CAP,$24.82
AZATHIOPRINE 25 MG (HALF-TAB),$14.99
AZATHIOPRINE 50 MG TAB,$8.50
AZELASTINE 137 MCG NASAL SPRAY AEROSOL,$276.30
AZITHROMYCIN 200 MG/5 ML ORAL SUSP,$153.87
AZITHROMYCIN 200 MG/5 ML ORAL SUSP,$52.89
AZITHROMYCIN 200 MG/5 ML ORAL SUSP,$54.11
AZITHROMYCIN 250 MG TAB,$13.57
AZITHROMYCIN 250 MG TAB,$10.53
AZITHROMYCIN 250 MG TAB,$10.42
AZITHROMYCIN 40 MG/ML ORAL SUSPENSION (PEDS),$60.69
AZITHROMYCIN 40 MG/ML ORAL SUSPENSION (PEDS),$54.11
AZITHROMYCIN 40 MG/ML ORAL SUSPENSION (PEDS),$52.89
AZITHROMYCIN 40 MG/ML ORAL SUSPENSION (PEDS),$153.87
AZITHROMYCIN 500 MG IV SOLUTION,$61.36
AZTREONAM 1 G SOLUTION FOR INJECTION,$108.12
AZTREONAM 2 G SOLUTION FOR INJECTION,$202.60
AZTREONAM IN DEXTROSE (ISO-OSMOTIC) 1 G/50 ML IV PIGGY BACK,$128.13
AZTREONAM IN DEXTROSE (ISO-OSMOTIC) 2 G/50 ML IV PIGGY BACK,$128.13
AZTREONAM IN NS 1 G/100 ML IV PIGGYBACK (ADS),$128.13
AZTREONAM IN NS 2 G/100 ML IV PIGGYBACK (ADS),$128.13
"B COMPLEX & C NO.13-FOLIC ACID-D3 1 MG-1,750 UNIT TAB, RAPID DISSOLVE",$26.55
B COMPLEX VITAMINS CAP,$6.57
B COMPLEX-VITAMIN C-FOLIC ACID 1 MG CAP,$9.55
B COMPLEX-VITAMIN C-FOLIC ACID 1 MG CAP,$8.46
B COMPLEX-VITAMIN C-FOLIC ACID 1 MG CAP,$9.30
B COMPLEX-VITAMIN C-FOLIC ACID 1 MG CAP,$6.85
"BACITRACIN 50,000 UNIT IM",$57.98
BACITRACIN 500 UNIT/G EYE OINTMENT,$61.86
BACITRACIN ZINC 500 UNIT/G OINTMENT,$51.08
BACITRACIN ZINC 500 UNIT/G OINTMENT,$26.67
BACITRACIN ZINC 500 UNIT/G TOPICAL PACKET,$7.03
"BACITRACIN-POLYMYXIN B 500 UNIT-10,000 UNIT/G EYE OINTMENT",$69.38
"BACITRACIN-POLYMYXIN B 500 UNIT-10,000 UNIT/G OINTMENT",$39.41
"BACITRACIN-POLYMYXIN B 500 UNIT-10,000 UNIT/G OINTMENT",$97.20
BACLOFEN 10 MG TAB,$6.89
"BACLOFEN 2,000 MCG/ML INTRATHECAL KIT","$6,950.00"
BACLOFEN 20 MG TAB,$7.20
BACLOFEN 5 MG (HALF-TAB),$13.23
BACLOFEN 50 MCG/ML INTRATHECAL,$112.97
BACLOFEN 500 MCG/ML INTRATHECAL KIT,$793.95
BACTERIOSTATIC SALINE 0.9 % INJECTION,$46.28
BACTERIOSTATIC SALINE 0.9 % INJECTION,$44.21
BALANCED SALT IRRIG DROPS,$28.28
BALANCED SALT IRRIG SOLN COMB2 INTRAOCULAR,$28.28
BALANCED SALT SOLN NON-SURG #3 EYE,$48.19
BALSALAZIDE 750 MG CAP,$11.44
BCG LIVE 81 MG INTRAVESICAL SUSP,$321.05
B-COMPLEX WITH VITAMIN C TAB,$6.64
BECAPLERMIN 0.01 % TOPICAL GEL,"$1,446.45"
BECLOMETHASONE DIPROP MONOHYD 42 MCG (0.042 %) NASAL SPRAY AEROSOL,$382.98
BELLADONNA ALKALOIDS-OPIUM 16.2 MG-30 MG RECTAL SUPPOSITORY,$67.05
BELLADONNA ALKALOIDS-OPIUM 16.2 MG-60 MG RECTAL SUPPOSITORY,$78.30
BENAZEPRIL 10 MG TAB,$6.82
BENAZEPRIL 20 MG TAB,$6.89
BENAZEPRIL 5 MG (HALF-TAB),$13.10
BENAZEPRIL 5 MG TAB,$6.75
BENZOCAINE 20 % MUCOSAL AEROSOL SPRAY,$98.04
BENZOCAINE 20 % MUCOSAL SPRAY,$36.75
BENZOCAINE 20 % OINTMENT,$37.59
BENZOCAINE 20 % TOPICAL AEROSOL,$37.63
BENZOCAINE 20%-MENTHOL 5% MUCOSAL GEL,$40.15
BENZOIN-ALOE VERA-STORAX-TOLU BALSAM 10 %-2 %-8 %-4 % TOPICAL TINCTURE,$30.03
BENZONATATE 100 MG CAP,$7.48
BENZTROPINE 0.5 MG TAB,$6.82
BENZTROPINE 1 MG TAB,$6.75
BENZTROPINE 1 MG/ML INJECTION,$190.06
BENZTROPINE 1 MG/ML INJECTION,$150.86
BENZTROPINE 1 MG/ML INJECTION,$190.06
BENZTROPINE 2 MG TAB,$6.82
BETAMETHASONE ACET & SOD PHOS 6 MG/ML SUSP FOR INJECTION,$138.58
BETAMETHASONE ACET & SOD PHOS 6 MG/ML SUSP FOR INJECTION,$159.57
BETAMETHASONE DIPROPIONATE 0.05 % OINTMENT,$187.17
BETAMETHASONE DIPROPIONATE 0.05 % OINTMENT,$271.13
BETAMETHASONE DIPROPIONATE 0.05 % TOPICAL CREAM,$149.16
BETAMETHASONE DIPROPIONATE 0.05 % TOPICAL CREAM,$213.13
BETAMETHASONE VALERATE 0.1 % OINTMENT,$53.87
BETAMETHASONE VALERATE 0.1 % TOPICAL CREAM,$44.84
"BETAMETHASONE, AUGMENTED 0.05 % TOPICAL CREAM",$35.77
"BETAXOLOL 0.25 % EYE DROPS, SUSP",$355.05
BETAXOLOL 0.5 % EYE DROPS,$106.10
BETHANECHOL CHLORIDE 10 MG TAB,$7.41
BETHANECHOL CHLORIDE 25 MG TAB,$7.20
BETHANECHOL CHLORIDE 25 MG TAB,$7.76
BETHANECHOL CHLORIDE 5 MG TAB,$6.85
BETHANECHOL CHLORIDE 50 MG TAB,$7.34
BEVACIZUMAB 1 MG/0.04 ML INTRAVITREAL INJECTION,$245.00
BEVACIZUMAB 1 MG/0.04 ML INTRAVITREAL INJECTION,$316.25
BEVACIZUMAB 25 MG/ML IV,"$1,615.13"
BEVACIZUMAB 25 MG/ML IV,"$1,615.13"
BICALUTAMIDE 25 MG (HALF-TAB),$66.13
BICALUTAMIDE 50 MG TAB,$9.97
BICALUTAMIDE 50 MG TAB,$10.04
BIMATOPROST 0.03 % EYE DROPS,$423.28
BISACODYL 10 MG RECTAL SUPPOSITORY,$6.68
BISACODYL 10 MG RECTAL SUPPOSITORY,$7.20
"BISACODYL 5 MG TAB, ENTERIC COATED",$6.85
BISMUTH SUBSALICYLATE 262 MG CHEWABLE TAB,$6.89
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSP,$29.75
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSP,$35.84
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSP,$34.65
BISMUTH SUBSALICYLATE 525 MG/15 ML ORAL SUSP,$14.85
BISOPROLOL-HYDROCHLOROTHIAZIDE 10 MG-6.25 MG TAB,$6.68
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5 MG-6.25 MG TAB,$6.77
BISOPROLOL-HYDROCHLOROTHIAZIDE 5 MG-6.25 MG TAB,$6.64
BISOPROLOL-HYDROCHLOROTHIAZIDE 5 MG-6.25 MG TAB,$6.68
BIVALIRUDIN 250 MG SOLUTION,"$3,566.71"
BIVALIRUDIN 250 MG SOLUTION,"$2,137.20"
BLEOMYCIN 15 UNIT SOLUTION FOR INJECTION,$178.64
BRIMONIDINE 0.1 % EYE DROPS,$263.26
BRIMONIDINE 0.15 % EYE DROPS,$171.91
BRIMONIDINE 0.2 % EYE DROPS,$28.88
BRIMONIDINE-TIMOLOL 0.2 %-0.5 % EYE DROPS,$217.97
"BRINZOLAMIDE 1 % EYE DROPS, SUSP",$422.73
"BRINZOLAMIDE 1 % EYE DROPS, SUSP",$316.45
BROMOCRIPTINE 1.25 MG (HALF-TAB),$17.27
BROMOCRIPTINE 2.5 MG TAB,$7.69
BUDESONIDE 0.25 MG/2 ML NEB SOLUTION,$29.64
BUDESONIDE 0.25 MG/2 ML NEB SOLUTION,$32.23
BUDESONIDE 32 MCG/ACTUATION NASAL SPRAY,$286.61
BUDESONIDE SR 3 MG 24 HR CAP,$39.71
BUDESONIDE-FORMOTEROL HFA 160 MCG-4.5 MCG/ACTUATION AEROSOL INHALER,$338.83
BUDESONIDE-FORMOTEROL HFA 80 MCG-4.5 MCG/ACTUATION AEROSOL INHALER,$338.85
BUMETANIDE 0.25 MG (HALF-TAB),$14.40
BUMETANIDE 0.25 MG/ML INJECTION,$46.11
BUMETANIDE 0.25 MG/ML INJECTION,$55.36
BUMETANIDE 0.25 MG/ML INJECTION,$49.20
BUMETANIDE 0.25 MG/ML INJECTION,$46.44
BUMETANIDE 0.25 MG/ML INJECTION,$49.30
BUMETANIDE 0.25 MG/ML INJECTION,$48.26
BUMETANIDE 0.25 MG/ML INJECTION,$50.33
BUMETANIDE 0.25 MG/ML INJECTION,$49.82
BUMETANIDE 0.25 MG/ML INJECTION,$48.66
BUMETANIDE 0.5 MG TAB,$7.06
BUMETANIDE 0.5 MG TAB,$8.17
BUMETANIDE 1 MG TAB,$6.99
BUMETANIDE 1 MG TAB,$8.19
