,, We are provider based - so you may be charged column C or column D & E ,,
3601188,SPONGES LAP 17 X 3  CURITY, $-   , $-   ,$19.00 
3601196,TUBE T DEAVER 14FR, $-   , $-   ,$29.00 
3601197,TUBE T DEAVER 16FR, $-   , $-   ,$29.00 
3601203,DRAPE LAP CHOLE, $-   , $-   ,$42.00 
3601217,"PACK SLEEVE 10 x 25""", $-   , $-   ,$4.00 
3601221,SUCTION SLEEVE VIA GUARD, $-   , $-   ,$69.00 
3601227,AUTO SUTURE ROTICULATOR 55 POLY, $-   , $-   ,"$1,157.00 "
3601228,SPONGES KITTNER AUTO COUNT, $-   , $-   ,$7.00 
3601230,"CAUTERY ELECTRODE BALL  3/16""", $-   , $-   ,$7.00 
3601231,GRAFT LEG GORTEX 70CM X  6MM, $-   , $-   ,"$1,165.00 "
3601234,CAUTERY PENCIL TIP, $-   , $-   ,$5.00 
3601240,WASHER LARGE 13MM, $-   , $-   ,$136.00 
3601245,WASHER STAINLESS STEEL 7MM, $-   , $-   ,$123.00 
3601249,DRAIN SUCTION JACKSON PRATT  1320, $-   , $-   ,$23.00 
3601254,SUTURE REGULAR - OR, $-   , $-   ,$26.00 
3601255,SUTURE PLASTIC - OR, $-   , $-   ,$27.00 
3601256,SUTURE CV & PROLENE GC, $-   , $-   ,$36.00 
3601260,SPONGES 8 X 4 12 PLY RAYTEC, $-   , $-   ,$4.00 
3601270,SPONGES 4 X 4 16 PLY RAYTEC, $-   ,$2.00 , $-   
3601273,SPONGES TONSIL LARGE #10-245, $-   , $-   ,$8.00 
3601278,SPONGES TONSIL XLARGE #10-247, $-   , $-   ,$8.00 
3601280,DRAIN SUCTION JACKSON PRATT  1000, $-   , $-   ,$36.00 
3601284,STAPLER ROTICULATOR 55-4.8 TITANIUM, $-   , $-   ,$465.00 
3601285,CATHETER EMBOLECTOMY ART. 4 FR, $-   , $-   ,$36.00 
3601286,SPECULUM SPOONS SHORT 8CM, $-   , $-   ,$42.00 
3601287,CATHETER EMBOLECTOMY ART. 6 FR, $-   , $-   ,$172.00 
3601288,SPECULUM SPOONS MEDIUM 10CM, $-   , $-   ,$42.00 
3601292,KIT PREP VAGINAL KENDALL, $-   , $-   ,$34.00 
3601293,DURAPREP APPLICATOR, $-   , $-   ,$15.00 
3601294,BLADE FULL RADIUS STRAIGHT DYONICS 3.5MM, $-   , $-   ,$133.00 
3601295,BURR ACROMIONIZER DYONICS 4.0, $-   , $-   ,$130.00 
3601296,BURR ABRADER DYONICS 4.0, $-   , $-   ,$138.00 
3601307,SCREW LAG DHS/DCS 85 X 12.7MM, $-   , $-   ,$767.00 
3601309,SCREW LAG DHS/DCS 100 X 12.7MM, $-   , $-   ,$914.00 
3601310,SCREW LAG DHS/DCS 105 X 12.7MM, $-   , $-   ,$914.00 
3601311,SCREW LAG DHS/DCS 110 X 12.7MM, $-   , $-   ,$767.00 
3601321,PLATE 1/3 TUBULAR LCP 5 HOLE 57MM, $-   , $-   ,$517.00 
3601322,PLATE 1/3 TUBULAR LCP 6 HOLE 69MM, $-   , $-   ,$391.00 
3601323,PLATE 1/3 TUBULAR LCP 7 HOLE 81MM, $-   , $-   ,$427.00 
3601324,PLATE 1/3 TUBULAR LCP 8 HOLE 93MM, $-   , $-   ,$450.00 
3601333,PLATE QTR TUBULAR 5 HOLE 41MM, $-   , $-   ,$333.00 
3601339,PLATE DYNAMIC DCP  6 HOLE 73MM, $-   , $-   ,$485.00 
3601365,PLATE BUTTRESS ANGLED RIGHT 86MM, $-   , $-   ,$828.00 
3601366,SCREW LAG DHS/DCS 115 X 12.7MM, $-   , $-   ,$767.00 
3601367,SCREW LAG DHS/DCS 120 X 12.7MM, $-   , $-   ,$767.00 
3601369,SCREW LAG DHS/DCS 95 X 12.7MM, $-   , $-   ,$914.00 
