Charge Code,Description,Primary Price
1001120,SIG W/ENDOSCOPIC US FLEX,"$2,380.75"
1001125,EGD US TRNSMUR INJ/MRK DX/THER,"$3,621.00"
1001126,EGD ENDO MUC RESEC FLEX T-ORAL,"$3,621.00"
1001127,ERCP DUCT STNT DIL G-WIRE SPHN,"$8,908.25"
1001128,ERCP REMV FB/STENT BIL/PAN DCT,"$5,675.75"
1001129,ERCP STENT RMVL/EXCHG W/DILATE,"$8,908.25"
1001130,ERCP EA DUCT/AMPUL DILATE,"$5,675.75"
1001131,ERCP LESION ABLATE/DIL G-WIRE,"$5,675.75"
1001142,FORCEP SPYGLASS,"$1,248.00"
1001152,ERCP SPHINCT PRESSURE MEAS ODI,"$5,675.75"
1001153,ERCP W/SPEC COLLECT BRSH/WASH,"$5,675.75"
1001154,COL W/ABLATION PRE/POST DILATE,"$2,380.75"
1001156,ENDO SM BOWEL STOMA G-WIRE DIL,"$5,926.25"
1001158,ESOPH IMPED REFLX>HR PROLNG,"$1,128.25"
1001163,GUIDEWIRE ERCP VISIGLIDE,$385.00
1001171,SIGMOIDOSCOPY W/PLCMT STENT,"$7,126.50"
1001172,SIGMOIDOSCOPY W/BAND LIGATION,"$2,603.25"
1001183,DREAMWIRE .35X260 STR,$412.50
1001185,PERORAL ENDOSCOPIC MYOTOMY,"$1,898.50"
1001187,FLEX SIGMOIDOSCOPY W/BLN DILAT,"$2,389.24"
1001190,COL SUBMUCOUS INJ,"$2,380.75"
1001191,COL W/BAND LIG HEMROID,"$2,380.75"
1001192,COL DECOMP TUBE/PATH/DIST,"$1,811.25"
1001193,COL W/SUBMUCOSAL INJECTION,"$2,380.75"
1001194,COL W/ RESECTION FLEXIBLE,"$2,380.75"
1001195,COL W/ABLAT GUIDE-PRE/POST DIL,"$2,380.75"
1001197,EGD ENDO STENT PRE/PST DIL DX,"$8,908.25"
1001198,EGD LES ABLAT PRE/POST DILATE,"$3,621.00"
1001199,EGD US F N A BX LIMIT,"$3,621.00"
1001200,EGD US FINE NEEDLE BX/ASP,"$3,621.00"
1001201,EGD W/TRANSMURAL DRAIN CYST,"$5,675.75"
1001202,ENDO PANCREATOSCOPY ADD ON,"$1,658.37"
1001203,ENDO US EXAM ESOPH FLEX LIMIT,"$3,621.00"
1001204,ENDO SMALL BOWEL REMOVE SNARE,"$3,621.00"
1001205,ENDO SM BWL ABLT W/O HT/BP/SNR,"$3,621.00"
1001206,ENDO/BX SMALL BOWEL W/O ILEUM,"$3,621.00"
1001207,ENDO/BX SMALL BOWEL W/ ILEUM,"$3,621.00"
1001208,ESOPH FLEX T-ORAL REMOVE FB,"$3,621.00"
1001209,ESOPH FLEX DX/SPEC BRSH/WASH,"$1,898.50"
1001214,SIG W/ABLAT PRE/PST DIL G-WIRE,"$2,380.75"
1001215,SIG W/TUMOR REMOVAL W/SNARE,"$2,380.75"
1001216,SIG W/US GD BX ITRA/TRAN F N A,"$3,911.40"
1001217,EGD FLEX W/SUBMUC INJ,"$1,930.26"
1001218,OFFICE/OUTPT VISIT EST LEVEL 2,$190.54
1001219,OFFICE/OUTPT VISIT EST LEVEL 3,$229.23
1001220,OFFICE/OUTPT VISIT EST LEVEL 4,$296.54
1001221,OFFICE/OUTPT VISIT EST LEVEL 5,$386.11
1001222,COLON SCREENING NON HIGH RISK,"$1,991.21"
1001223,COLON SCREENING HIGH RISK,"$1,811.25"
1001224,CHEMICAL CAUTERY TISSUE,$415.50
1001225,EXCHANGE BIL DRAINAGE CATH,"$6,471.50"
1001227,GI UNLISTED STOMACH PROCEDURE,"$1,898.50"
1001228,SIGMOIDOSCOPY W/FB REMOVAL,"$2,380.75"
1001229,ESOPH EGD DILATION <30 MM,"$3,621.00"
1001230,SIGMOIDOSCOPY DX,"$1,811.25"
1001231,STENT BILIARY ZIMMON,$598.00
1001232,STENT ADVANIX BIL CB,$653.00
1001233,STENT ADVANIX BIL DB 7/10 FR,$322.25
1001234,STENT GEENEN PANCREATIC,$330.00
1001235,SYR INFL ALLIANCE,$106.25
1001236,STENT WALLFLEX UNCOVERED,"$5,034.75"
1001237,STENT WALLFLEX COVERED,"$7,475.75"
1001238,STENT WALLFLEX FULL COVER,"$7,107.00"
1001239,STENT WALLFLEX SINGLE USE,"$7,391.50"
1001240,GUIDEWIRE ROADRUNNER,$312.00
1001244,ENDO SM BWL W/O ILEUM BRSH/WSH,"$3,621.00"
1001245,BALLOON HURRICANE BILIARY,$598.50
1001246,BASKET RX TRAPEZOID LITHO,$648.50
1001247,BALLOON RET PRO RX,$362.50
1001248,COL W/STENT PLACEMENT,"$8,908.25"
1001249,EGD ESOPHAGOGASTRIC FUNDOPLSTY,"$8,908.25"
1001250,ESOPH LESION ABLATE,"$5,675.75"
1001251,ENDO OVERSTITCH,"$1,898.50"
1001252,SUBMUCCOSAL DISSECTION GASTRIC,"$1,898.50"
1001253,SUBMUCCOSAL DISSECTION RECTUM,"$1,811.25"
1001254,SUBMUCCOSAL DISSECTION SM INTS,"$6,150.25"
1001255,SUBMUCCOSAL DISSECTION COLON,"$1,811.25"
1001256,ENTEROSCOPY OVERTUBE SGL/DBL,"$6,150.25"
1001257,GI PACU REC ROOM HOLD 15 MIN,$0.00
1001258,GI PACU FIRST 30 MIN,$638.00
1001259,GI PACU EACH ADDL MIN,$18.00
1001264,CATH DS SPYSCOPE ACCESS,"$3,675.00"
1001266,CATH SOEHENDRA BIL DIL,$187.50
1001269,CANNULA ERCP CONTOUR,$158.00
1001271,CANNULA PROFORMA HF,$156.00
1001273,BRUSH CYTOLOGY RX MIRCOVASIVE,$261.75
1001274,BASKET ROTH RETRIEVAL NET,$300.00
1001275,BASKET TWISTER PLUS,$214.50
1001278,SIG W/ ENDO MUCOSAL RESECTION,"$2,380.75"
1001279,ENDO SMALL BOWEL W/O ILEUM,"$3,621.00"
1001280,COL W/BALLOON DILATION,"$2,389.24"
1001283,GUIDEWIRE DREAMTOME RX,$750.00
1001284,FIBER SLIMLINE GI,"$1,001.00"
1001285,GUIDEWIRE SINGLE USE,$277.50
1001286,GUIDEWIRE JAGWIRE,$290.00
1001287,GI PACU EXTENSIVE FIRST 30 MIN,$766.00
1001288,GI PACU EXTENSIVE EA ADD MIN,$21.00
1001290,REMOVAL PLEURAL CATH,"$1,855.75"
1001291,AUTOTOME RX,$519.25
1001292,KIT ENDO MUCOSAL RESECTION,$400.00
1001293,KNIFE DUAL ELECTROSURG,"$1,037.50"
1001294,LITHOTRIPTOR BULLET TIP,$789.25
1001296,NEEDLE ECHO ULTRA TIP HD,$712.50
1001297,NEEDLE EUS FNA,$550.00
1001298,NEEDLE EUS FNB PROCORE,$862.50
1001299,NEEDLE SLIMLINE NITINOL FNA,"$1,065.00"
1001300,PROBE FIAPC,$543.75
1001301,OVERTUBE GAURDUS,$407.50
1001302,NEEDLEKNIFE RX F/G,$462.50
1001303,NEEDLE SLIMLINE FNA,$507.75
1001304,STENT RETRIEVER,$287.50
1001305,SPHINCT TRI-TOME TRIPLE LUMEN,$423.75
1001306,CATH PUSHING 170CM,$210.00
1001307,STENT AXIOS W/ DEL SYSTEM,"$8,400.00"
1001308,SYSTEM ADVANIX DELIVERY SYS,$240.00
1001311,PANCREATIC PSEUDOCYST NECRO,"$1,462.50"
1001312,COL THRU STOMA W/ SNARE,"$2,380.75"
1001313,TIF TRANSORAL INCSNLESS FUNDO,"$8,908.25"
1001314,COLONOSCOPY W/ FB REMOVAL,"$2,380.75"
1001315,COL THRU STOMA W/ BIOPSY,"$2,622.25"
1001316,ESOPH RIG W/DVERT & CRICO MYOT,"$10,124.50"
1001998,GI LAB 15 MIN - STAT,$0.00
101,$CM: UNDERPAYMENT SUBMITTED $,
102,$CM: UNDERPAYMENT RESOLVED $,
103,$CM: ACCOUNT IN REVIEW $,
104011,SPECIALTY UNIT-PRIVATE 3N,$989.00
104012,SPECIALTY UNIT-SEMI PRIVATE 3N,$989.00
104013,SPECIALTY UNIT-WARD 3N,$989.00
105011,PRIVATE ROOM & ROUTINE CARE 6S,$691.00
105012,R&B ACUTE PRIVATE TELE/SPEC,"$1,257.00"
105013,WARD & ROUTINE CARE 6S,$555.00
105015,PRIVATE SUITE ROUTINE CARE 6S,$691.00
106011,PRIVATE ROOM AND CARE 4N,$691.00
106012,SEMI PRIVATE ROOM & CARE 4N,$691.00
107011,PRIVATE ROOM & CARE 4VPS,$691.00
107012,R&B ACUTE PRIVATE TELE/SPEC,"$1,257.00"
109014,PRIVATE ROOM & CARE 5N,$691.00
109018,R&B ACUTE PRIVATE TELE/SPEC,"$1,257.00"
109022,PEDS STEPDOWN 5N,"$1,837.00"
110001,PRIVATE ROOM AND CARE 2S,$691.00
110003,PRIVATE ROOM AND CARE 2S SD,"$1,837.00"
110011,PRIVATE ROOM AND CARE 4S MED,$691.00
110012,R&B ACUTE PRIVATE TELE/SPEC,"$1,257.00"
1101001,AMNIOCENTESIS DIAGNOSTIC,"$1,044.42"
1101003,DELIVERY ROOM-COMPLETE,"$2,458.41"
1101011,OCT TEST,$604.00
1101014,SONOGRAM; LIMITED,$474.09
1101015,BIOPHYSICAL PROFILE,"$1,085.44"
1101059,LABOR AND/OR DELIVERY PER HOUR,$225.78
1101061,FETAL NON-STRESS TEST,$377.63
1101063,URINE DIP STICK,$59.63
1101064,NITRAZINE TEST,$67.00
1101065,FERN TEST,$22.50
1101066,OBSERVATION CARE 1 HRU NRSU,$114.00
1101068,DIRECT ADMISSION OBS CARE,$114.00
1101069,AMNIOCENTESIS THERAPEUTIC,"$1,010.50"
1101070,BLOOD TRANSFUSION SERVICE,$961.75
1101071,HYDRATION IV INFUSION INITIAL,$535.08
1101072,HYDRATION IV INFUSION ADD-ON,$326.00
1101073,THER/PRO/DIAG INJ SC/IM,$162.96
1101074,THER/PRO/DIAG INJ IV PUSH INIT,$445.90
1101075,THER/PRO/DIAG IV INF INITIAL,$535.08
1101076,THER/PRO/DIAG IV INF ADD-ON,$351.00
1101077,THER/DIAG CONCURRENT INF,$402.50
1101078,TX/PRO/DX INJ NEW DRUG ADD-ON,$171.00
1101079,TX/PRO/DX INJ SAME DRUG ADD-ON,$391.50
1101080,TX/PROPH/DG ADDL SEQ IV INF,$162.96
1101081,IMMUNIZE ADMIN 1 VACCINE,$150.92
1101082,IMMUNIZE ADMIN EA ADD VACCINE,$99.96
1102001,LD PROC LEVEL 1 - FIRST 30 MIN,"$2,123.42"
1102002,LD PROC LEVEL 1 -EA ADD MIN,$41.41
1102003,LD PROC LEVEL 2 - FIRST 30 MIN,"$2,653.60"
1102004,LD PROC LEVEL 2 - EA ADD MIN,$49.00
1102005,LD PROC LEVEL 3 - FIRST 30 MIN,"$3,879.87"
1102006,LD PROC LEVEL 3 -EA ADD MIN,$62.81
1102007,LD PROC LEVEL 4 - FIRST 30 MIN,"$4,146.14"
1102008,LD PROC LEVEL 4 - EA ADD MIN,$55.62
1102009,LD PROC LEVEL 5 - FIRST 30 MIN,"$5,182.24"
1102010,LD PROC LEVEL 5 - EA ADD MIN,$57.58
1103001,LDR RECOVERY FIRST 30 MIN,$612.75
1103002,LDR RECOVERY EA ADD MIN,$20.14
1103003,LDR EXTENSIVE FIRST 30 MIN,$860.72
1103007,LDR RECOVERY HOLD 15 MIN,$0.00
1103009,TRANSDUCER KOALA TOCO DISP,$45.50
1103010,L&D OUTPT VISIT EST LEVEL 1,$140.72
1103011,L&D OUTPT VISIT EST LEVEL 2,$190.54
1103012,L&D OUTPT VISIT EST LEVEL 3,$229.23
1103013,L&D OUTPT VISIT EST LEVEL 4,$296.54
1103014,L&D OUTPT VISIT EST LEVEL 5,$386.11
1103015,L&D CRITICAL CARE 30-74 MIN,"$3,524.00"
1103016,L&D CRITICAL CARE-EA ADD 30MIN,$567.37
1103017,L&D LWBS,$0.00
111005,PRIVATE ROOM & CARE PICU,$691.00
111006,PRIVATE ROOM & CARE PICU,$691.00
111011,PEDIATRICS INTENSIVE CARE UNIT,"$2,628.00"
111012,INCREMENTAL NURSING-PICU,"$1,861.25"
111013,PEDIATRICS INTENSIVE CARE UNIT,"$2,628.00"
111014,PEDIATRICS ICU STEPDOWN,"$1,837.00"
111015,R&B ACUTE PRIVATE TELE/SPEC,"$1,257.00"
111020,PSCU STEPDOWN,"$1,837.00"
111021,PICU STEPDOWN INCREMENTAL NSG,"$1,101.25"
113011,CICU PRIVATE ROOM & CARE,$691.00
113014,CORONARY CARE UNIT,"$2,628.00"
113018,INCREMENTAL NURSING CHG-CCU,$0.00
113020,CCUN STEPDOWN,"$1,837.00"
113021,CCUN STEPDOWN INCREMENTAL NSG,$0.00
113022,R&B ACUTE PRIVATE TELE/SPEC,"$1,257.00"
114015,INTERMEDIATE CARE NURSERY,"$2,163.00"
114016,ROUTINE NURSERY,$535.00
114017,ROUTINE NURSERY-IN ROOM,$535.00
114020,LACTATION SVS LEVEL 1-MIN,$140.72
115020,EVOKED OTOACOUSTIC SCREENING,$130.00
116017,INTERMEDIATE CARE NURSERY,"$2,163.00"
116018,NEONATAL ICU,"$2,655.00"
116019,INCREMENTAL NURSING CHG-NICU,$0.00
116030,PROLACT 4 HUMAN MLK FORT 10ML,$167.00
116031,PROLACT 4 HUMAN MLK FORT 20ML,$278.25
116032,PROLACT 6 HUMAN MLK FORT 30ML,$417.25
116033,PROLACT 8 HUMAN MLK FORT 40ML,$556.25
116034,PROLACT RTF 24 HUMAN MLK 100ML,$333.75
116035,PROLACT RTF 26 HUMAN MLK 100ML,$467.25
116036,PROLACT RTF 28 HUMAN MLK 100ML,$600.75
116037,PROLACT PREMIELACT 10ML,$0.00
116038,PROLACT HM HUMAN MILK 4OZ,$140.25
116039,PROLACT CR HUM MILK FORT 10 ML,$128.50
117019,REHABILITATION UNIT,$868.00
117030,REHAB RGEN ACUTE CARE,$691.00
117040,REHAB RSCI ACUTE CARE,$691.00
117050,REHAB REBI ACUTE CARE,$691.00
120001,SEMI PRIVATE & ROUTINE AUNA,$691.00
120002,PRIVATE ROOM AND CARE AUNA,$691.00
120003,R&B ACUTE PRIVATE TELE/SPEC,"$1,257.00"
1201001,ADENOIDECTOMY ENT,"$1,391.00"
1201002,ADENOIDECTOMY W/ TUBES ENT,"$1,658.00"
1201006,AUGMENTATION MAMMOPLASTY PS GA,"$1,735.00"
1201007,AUGMENTATION MAMMOPLASTY PS LA,"$1,587.00"
1201008,BAKER CYST EXCISION GS,"$1,045.00"
1201009,BARTHOLIN GLAND CYST EX GA (2),"$1,997.00"
1201012,BASAL CELL EXC T/A/L .5CM,"$1,349.00"
1201014,TREATMENT BLADDER LESION BCG,$507.00
1201015,BLEPHAROPLASTRY PS GA,"$1,657.00"
1201016,BLEPHAROPLASTY PS LA,"$1,714.00"
1201017,BREAST MASS EXCISION GS (3),"$2,322.00"
1201019,BTL GYN,"$1,622.00"
1201020,BUNIONECTOMY OP GA (2),"$1,600.00"
1201021,BUNIONECTOMY OP LA (2),"$1,511.00"
1201024,CARPAL TUNEL DECOMPRESS.GA (2),"$1,720.00"
1201025,CARPAL TUNEL DECOMPRESS.LA (2),"$2,291.00"
1201026,CAUTERY VAGINAL CYST GYN,$799.00
1201027,CERVICAL BIOPSY GYN,$976.00
1201028,CONIZATION OF CERVIX,"$3,071.00"
1201029,CERVICAL NODE BX-DEEP,$983.00
1201030,CERVICAL NODE BX-DEEP,$947.00
1201033,CIRCUMCISION EXCLUDE NEWBORN,"$1,178.00"
1201035,CLOSE REDUC FX - RADICAL,$864.00
1201042,D & C GYN (2),"$1,739.00"
1201045,DEBRIDEMENT GA,"$1,057.00"
1201046,DEBRIDEMENT LA,$576.00
1201054,ENTROPION PROCEDURE OPTH GA(3),"$1,218.00"
1201055,ENTROPION PROCEDURE OPTH LA(3),"$1,145.00"
1201057,ENUCLEATION W/IMPLANT,"$1,410.00"
1201060,EXAM UNDER ANESTHESIA GYN (2),$822.00
1201061,EXC OF MULTIPLE WARTS GS GA,"$1,135.00"
1201067,EXCISION HEEL SPURS LA,"$1,106.00"
1201068,BIOPSY/EXC LYMPTH NODE GA (2),"$1,644.00"
1201069,BIOPSY/EXC LYMPTH NODE LA (2),"$1,291.00"
1201070,EX KELOIDS T/A/L .5CM OR <,"$1,138.00"
1201074,"STRABSURG,1 MUSC,NO PREV,GA(3)","$1,106.00"
1201080,FINGER OR TOENAIL PLATE REMOVE,"$1,391.00"
1201081,FINGER OR TOENAIL PLATE REMOVE,"$1,511.00"
1201082,FLAP REVISION PS GA,"$1,467.00"
1201084,FB REMOVE SUBQ SIMPLE GA,"$1,763.00"
1201085,FB REMOVED SUBQ SIMPLE LA,"$1,555.00"
1201090,FRENULECTOMY TONGUE GS GA,"$1,292.00"
1201092,FULGURATION CONDYTOMATA ACU GY,"$1,610.00"
1201093,GASTROSCOPY (1),"$1,197.00"
1201094,GANGLIONECTOMY OP GA,"$2,039.00"
1201095,GANGLIONECTOMY OP LA,"$1,341.00"
1201098,GYNECOMASTIA EXCISION GS (4),"$1,323.00"
1201100,HAND SURGERY OP GA,"$1,574.00"
1201101,HAND SURGERY OP LA,"$1,410.00"
1201102,HARDWARE REMOVAL ANKLE GA,"$1,164.00"
1201103,HARDWARE REMOVAL ANKLE LA,"$1,037.00"
1201108,HEMORRHOIDECTOMY GA,"$1,644.00"
1201111,HYDROCELECTOMY GS,"$1,284.00"
1201115,INCISION AND DRAINAGE GA,"$1,925.00"
1201116,INCISION AND DRAINAGE LA,"$1,225.00"
1201120,INGUINAL HERNIORRHAPY 6MO-5YRS,"$2,404.00"
1201121,INSERT REPLACE GASTRO TUBE LA,"$1,390.00"
1201122,INSERT REPLACE GASTROSTOMY TBG,"$1,256.00"
1201123,INSERT TENCKHOFF CATH GA (1),"$1,724.00"
1201124,INSERT TENCKHOFF CATH LA (1),"$1,492.00"
1201127,INSERTION OF GORTEX GRAFT GA,"$2,380.00"
1201129,INSERTION OF PORT-A-CATH GA,"$2,265.00"
1201130,INSERTION OF PORT-A-CATH LA,"$1,472.00"
1201137,IP OR EA ADDL 30 MINS,$999.00
1201138,IP OR 0-60 MINS,"$2,551.00"
1201139,IP RECOVERY RM EA ADDL 15 MINS,$82.00
1201140,IP RECOVERY RM 0-60 MINS,$908.00
1201141,IREDECTOMY OPTH GA (3),"$1,230.00"
1201142,IREDECTOMY OPTH LA (3),"$1,106.00"
1201144,LABIA LESION EXCISION GYN,$862.00
1201146,LACERATIONS GS LA,$995.00
1201147,LACRIMAL DUCT PROBING OPTH,$889.00
1201148,LAPAROSCOPY GYN (3),"$2,700.00"
1201149,LAPORSCOPOSCOPY DIAG. GYN,"$2,476.00"
1201150,LARYNGOSCOPY GA (2),"$1,673.00"
1201151,LARYNGOSCOPY LA (2),"$1,547.00"
1201152,LASER PROCEDURE INITIAL,$516.00
1201155,LESION EXCISION INC GRAFT PS L,"$1,106.00"
1201157,LID PROCEDURE OPTH LA,"$1,293.00"
1201158,LIGAMENT REPAIR OP,"$1,872.00"
1201160,LIMPOMA EXC <.5CM LA,"$1,768.00"
1201161,MANIPULATION JOINTS W/XRAY OP,$875.00
1201162,MASS TRNK/ARM/LG <.5CM GA,"$1,544.00"
1201164,MASTOPEXY GA,"$3,158.00"
1201167,MELANOMA EXCISION GA GA(1),"$1,359.00"
1201168,MELANOMA EXCISION GS LA (1),"$1,286.00"
1201169,MISC SHORT STAY PROCEDURE,$0.00
1201174,MUSCLE BIOPSY GS GA,$928.00
1201175,MUSCLE BIOPSY GS LA,$881.00
1201176,MYRINGOTOMY W OR WO TUBES ENT,"$1,932.65"
1201186,OPEN REDUCTION OF FRACTURE GA,"$2,032.00"
1201188,ORCHIECTOMY GS (4),"$1,212.00"
1201189,ORCHIECTOMY ORCHIOPEXY U (3),"$1,045.00"
1201195,PARACENTESIS/THORACENTESIS LA,$882.00
1201198,PERM. TARSORRATHY OPTH GA (3),$904.00
1201202,PLANTAR WART EXCISION OP GA,"$1,101.00"
1201203,PLANTAR WART EXCISION OP LA,$919.00
1201204,POSTERIOR CAPSULOTOMY-YAG (2),"$1,143.00"
1201209,PTERYGIUM REMOVAL OPTH LA (2),"$1,469.00"
1201210,RECTAL BIOPSY GS GA,$919.00
1201214,REMOVAL GORTEX GRAFT GA,"$1,101.00"
1201215,REMOVAL GORTEX GRAFT LA,"$1,111.00"
1201217,REMOVAL OF BONE GA,"$1,231.00"
1201218,REMOVAL OF BONE LA,"$1,272.00"
1201220,REMOVAL OF POLYPS LA,"$1,106.00"
1201221,REMOVAL OF PORT-A-CATH GA,$955.00
1201222,REMOVAL OF PORT-A-CATH LA,$904.00
1201223,REMOVAL TENCKHOFF CATHETER GA,$656.00
1201224,REMOVAL TENCKHOFF CATHETER LA,$516.00
1201227,SECONDARY LENS OPTH GA (6),"$1,683.00"
1201228,SECONDARY LENS OPTH LA (6),"$1,486.00"
1201230,SEPTOPLASTY GA (4),"$2,655.00"
1201232,SIGMOIDOSCOPY,"$1,320.00"
1201233,SIMP.ANAL FISTULETOMY GS GA(3),"$1,749.00"
1201234,SKIN GRAFT GS GA (2),"$1,644.00"
1201235,SKIN GRAFT GS LA (2),"$1,300.00"
1201236,SKIN GRAFT OP GA (2),"$1,653.00"
1201237,SKIN GRAFT OP LA (2),"$1,521.00"
1201238,SKIN LESION EXCISION GS GA,"$1,925.00"
1201239,SKIN LESION EXCISION GS LA,"$1,942.00"
1201240,SMALL SCAR EXCISION PS GA,"$2,128.00"
1201244,SQUINT SURGERY GA (3),"$1,354.00"
1201246,STITCH GRANULOMA REMOVAL GS GA,"$1,032.00"
1201247,STITCH GRANULOMA REMOVAL GS LA,$862.00
1201249,SUBCLAVIAN CATHETER INSERT LA,"$1,031.00"
1201259,TONSILLECTOMY AND ADENOID GA,"$1,882.03"
1201260,TONSILLECTOMY GA,"$2,420.00"
1201264,TRABECULECTOMY OPTH LA (4),"$1,284.00"
1201265,TRAUMA REPAIR TO EYE GA,"$1,160.00"
1201266,TRAUMA REPAIR TO EYE LA,$983.00
1201267,TRIGGER FINGER RELEASE OP GA(2,"$1,954.00"
1201268,TRIGGER FINGER RELEASE OP LA(2,"$1,101.00"
1201269,UMBILICAL HERNIORRHAPHY GS,"$1,401.00"
1201270,NEEDLE BIOPSY LYMPH NODES,"$2,491.53"
1201273,LIGATION LONG SAPHENOUS VEIN,"$2,009.00"
1201274,VASECTOMY UROLOGICAL,"$1,188.00"
1201275,VULVA BIOPSY GYN,$805.00
1201279,CATARACT EXT W/IOL (PKG),"$4,520.00"
1201280,INGUINAL HERNIA REPAIR,"$1,402.00"
1201281,CATARACT EXT.W/PHACOEMULSION(8,"$3,711.00"
1201282,TYMPANOPLASTY,"$2,328.00"
1201284,INSERTION OF VAS CATHETER,"$1,426.00"
1201285,REPAIR OF VENTRAL HERNIA,"$1,065.00"
1201286,BRONCHOSCOPY W/VIDEO,"$1,266.00"
1201287,BASAL EX SCLP/HND/FT >4CM LA(2,"$1,128.00"
1201288,BASAL EX FCE/EAR/LIP >4CM GA(2,"$1,184.00"
1201289,BASAL EX FCE/EAR/LIP >4CM LA(2,"$1,249.00"
1201297,BTL LAPAROSCOPY BAND/CLIP DEVI,"$1,353.00"
1201298,BURSA OLECRANON EXCISION (3),"$1,106.00"
1201303,CLOSED ULNAR SHAFT FX GA,$799.00
1201305,CLOSED RAD & ULNAR SHAFT FX GA,$799.00
1201306,CLOSED DISTAL RAD SHAFT FX GA,$799.00
1201310,CLOSED RAD FX WRIST,$799.00
1201311,CARPAL SCAPHOID FX W/M GA (1),"$1,108.00"
1201312,CLOSED ULNAR STYLOID FX GA,$740.00
1201317,CLOSE.RAD.SHAFT FX W/M LA (1),$740.00
1201324,CLOSED RAD FX HAND/WRIST LA,$625.00
1201335,CYCLOCRYOTHERAPY LA (2),"$1,145.00"
1201338,CYST TRNK/ARM/LG >4CM GA,"$1,717.00"
1201341,CYST HD/HND/FT 1.1-2CM GA,"$1,684.00"
1201343,CYST HD/HND/FT>4CM GA,"$1,671.00"
1201344,CYST FCE/EAR/LI <.5CM GA,"$1,684.00"
1201346,CYST FCE/EAR/LIP >4CM GA,"$1,590.00"
1201347,CYST TRNK/ARM/LG 3.1-4.0 CM,"$1,428.00"
1201348,CYST TRNK/ARM/LG >4CM LA,"$1,514.00"
1201349,CYST HD/HND/FT <.5CM LA,"$1,514.00"
1201350,CYST HD/HND/FT 1.1-2CM LA,"$1,501.00"
1201352,CYST HD/HND/FT 2.1-3.0 CM,"$1,501.00"
1201353,CYST HD/HND/FT >4CM LA,"$1,514.00"
1201357,DEBRID. SKIN FULL THICKNESS GA,$929.00
1201358,DEBRID.SKIN/SUBCUT.TISSUE GA(2,$929.00
1201359,DEBRIDEMNT TISSUE.MUSCLE GA(2),$859.00
1201361,DEBRID. SKIN FULL THICKNESS LA,$685.00
1201362,DEBRID.SKIN/SUBCUT.TISSUE LA(2,$762.00
1201363,DEBRIDEMNT TISSUE/MUSCLE LA(2),$705.00
1201364,"DEBRID.TISSUE,MUSCLE,BONE LA(2",$762.00
1201371,"EXC ANAL WARTS, GA (1)","$1,158.00"
1201372,EXC DEEP CERVICAL NODES GA,"$1,080.00"
1201373,EXC DEEP AXILLARY NODES GA,"$1,197.00"
1201393,FINGER/TOENAIL REMOVE.EA ADD G,"$1,294.00"
