SVC CODE,SERVICES DESCRIPTION,CHGAMT,
65000074,PEEP - FLO VALVE 5CM,$55.00 ,
65000075,PEEP - FLO VALVE 10CM,$55.00 ,
65000870,DOUBLE LUMEN TUBE,$383.00 ,
65000094,SPINAL TRAY,$332.00 ,
65000095,EPIDURAL ANES TRAY ADULT,$707.00 ,
65000950,FAST TRACK LMA,$419.00 ,
65009500,RETROGRADE INTUBATION,$419.00 ,
65000096,EPIDURAL TRAY PEDIATRIC,$618.00 ,
65000097,CAUDAL ANES TRAY,$749.00 ,
65000099,EPIDURAL ANES KIT ARROW,$752.00 ,
369500010,"PREVENTIVE CARE, SET",$138.00 ,
369501110,TEETH CLEANING ADULT,$129.00 ,
369501120,TEETH CLEANING CHILD,$92.00 ,
369500120,ORAL EXAM PERIODIC,$74.00 ,
369501203,FLUORIDE APPLICATION CHILD,$43.00 ,
369501206,TOPICAL FLUORIDE VARNISH,$80.00 ,
369501208,TOPICAL APP FLUORIDE,$66.00 ,
369501310,DENTAL DIET PLANNING,$73.00 ,
369501320,TOBACCO COUNSELING,$91.00 ,
369501330,ORAL HYGIENE INSTRUCTION,$65.00 ,
369501351,SEALANTS PER TOOTH,$74.00 ,
369501354,INTERIM CARIES ARREST MED APP,$117.00 ,
369500140,ORAL EVAL LIMITED,$102.00 ,
369500145,ORAL EVALUATION PT <3YRS,$132.00 ,
369500150,ORAL EVAL COMPREHENSIVE,$132.00 ,
369501510,SPACER FIXED UNILAT,$403.00 ,
369501515,SPACER FIXED BILAT,$536.00 ,
369501525,SPACER REMOVABLE BILAT,$581.00 ,
369501550,RECEMENT SPACER,$106.00 ,
369501555,REMOVAL OF FIXED APPLIANCE,$98.00 ,
369500160,ORAL EVAL DETAILED/EXTEN,$196.00 ,
369500170,RE-EVALUATION,$90.00 ,
369500191,ASSESSMENT OF A PATIENT,$102.00 ,
369500020,"RESTORATIVE CARE, SET",$276.00 ,
369502140,AMALGAM 1 SURFACE,$173.00 ,
369502150,AMALGAM 2 SURFACE,$214.00 ,
369502160,AMALGAM 3 SURFACE,$263.00 ,
369502161,AMALGAM 4 SURFACE,$296.00 ,
369500220,X-RAY PERIAPICAL FIRST,$36.00 ,
369500230,X-RAY PERIPICAL ADDL,$30.00 ,
369502330,RESIN 1 SURFACE ANTERIOR,$205.00 ,
369502331,RESIN 2 SURFACE ANTERIOR,$248.00 ,
369502332,RESIN 3 SURFACE ANTERIOR,$303.00 ,
369502335,RESIN 4 SURF OR ANGLE,$376.00 ,
369502391,RESIN COMPOSITE- 1 SURFACE,$224.00 ,
369502392,RESIN COMPOSITE-2 SURFACES,$281.00 ,
369502393,RESIN COMPOSITE- 3 SURFACES,$349.00 ,
369502394,COMP POST 4 SURFS,$397.00 ,
369500240,X-RAY OCCLUSAL,$53.00 ,
369500250,X-RAY EXTRAORAL FIRST,$75.00 ,
369500270,BITEWING X-RAY SINGLE,$36.00 ,
369500272,BITEWING X-RAYS TWO,$59.00 ,
369500274,BITEWING X-RAYS FOUR,$80.00 ,
369502920,RECEMENT CROWN,$140.00 ,
369502930,STEEL CROWN PRIME,$350.00 ,
369502931,STEEL PREFAB CROWN PERM,$385.00 ,
369502932,PREFAB RESIN CROWN,$403.00 ,
369502940,SEDATIVE FILLING,$150.00 ,
369502941,INT THERAPEUTIC RESTORATION,$238.00 ,
369500030,"ENDO-SURGICAL, SET",$306.00 ,
369503110,PULP CAP-DIRECT,$101.00 ,
369503120,PULP CAP-INDIRECT,$101.00 ,
369503220,THERAPEUTIC PULPOTOMY,$249.00 ,
369503222,PART PULP FOR APEXOGENESIS,$354.00 ,
369503230,PULPECTOMY THER- PRIMARY INCISOR,$326.00 ,
369503240,PULPECTOMY THER- PRIMARY MOLAR,$364.00 ,
369500330,X-RAY PANORAMIC,$148.00 ,
369503310,ROOT CANAL ONE,$921.00 ,
369503320,ROOT CANAL TWO,"$1,037.00 ",
369503346,RETREAT ROOT CANAL ANTERIOR,"$1,139.00 ",
369503351,APEXIFICATION INITL VISIT,$441.00 ,
369503352,APEXIFICATION INTERIM VISIT,$311.00 ,
369503353,APEXIFICATION FINAL VISI,$650.00 ,
369503355,PULPAL REGENERATION INITIAL,$553.00 ,
369503356,PULPAL REGENERATION INTERIM,$322.00 ,
369503357,PULPAL REGENERATION COMPLETE,$640.00 ,
369500340,X-RAY CEPHALOMETRIC,$152.00 ,
369500350,ORAL FACIAL IMAGES,$90.00 ,
369500040,"PERIO-SURGICAL, SET",$306.00 ,
369504210,GINGIVECTOMY PER QUAD,$768.00 ,
369504211,GINGIVECTOMY PER TOOTH,$391.00 ,
369504240,GINGIV FLAP RT PLANE QUAD,$889.00 ,
369504245,APICALLY POSITIONED FLAP,$985.00 ,
369504249,CROWN LENGTHENING BR,$914.00 ,
369504260,OSSEOUS SURGERY PER QUAD,"$1,282.00 ",
369504263,BONE REPLACEMENT GRAFT,$870.00 ,
369504266,GUIDED TISSUE REGEN,$991.00 ,
369504270,PEDICLE GRAFT,$989.00 ,
369504273,SUBEPITHELIAL CT GRAFT,"$1,351.00 ",
369504275,ALLODERM GRAFT,"$1,217.00 ",
369504277,FREE GINGIVAL GRAFT,"$1,161.00 ",
369504341,SCALING-PLANNING PER QUAD,$298.00 ,
369504355,FULL MOUTH DEBRIDGEMENT,$222.00 ,
369500460,PULP VITALITY TEST,$69.00 ,
369500470,DIAGNOSTIC CASTS,$141.00 ,
369504910,PERIODONTAL MAINTENANCE,$159.00 ,
369505211,UPPER PART DENTURE ACRYL,"$1,665.00 ",
369506930,RECEMENT BRIDGE,$122.00 ,
369506985,PEDIATRIC PARTIAL DENTURE FX,"$1,126.00 ",
369500070,EXTRACTION CARE SET,$187.00 ,
369570350,CEPHALOMETRIC,$141.00 ,
369570355,PANRAMIC,$140.00 ,
369507111,EXTRACT PRIMARY REMNANT,$164.00 ,
369507140,EXTRACTION SINGEL TOOTH,$268.00 ,
369507210,SURGICAL TOOTH EXTRACT FLAP,$339.00 ,
369507220,IMPACTED SOFT TISSUE,$407.00 ,
369507230,IMPACTED SOFT PARTIAL BONY,$482.00 ,
369507240,IMPACTED COMP BONY CB,$583.00 ,
369507270,TOOTH REIMPLANTATION/SPLINT,$969.00 ,
369507280,EXPOSE TOOTH FOR ORTHO,$584.00 ,
369507282,MOBILZTN ERUPTED MALPOSI TOOTH,$615.00 ,
369507283,PLACE DEVICE ERUPT IMPACTOOTH,$631.00 ,
369507285,BIOPSY HARD TISSUE ORAL,$546.00 ,
369507286,BIOPSY SOFT TISSUE ORAL,$402.00 ,
369507292,SURG PLACE TEMP ANCHORGE DVICE,"$3,719.00 ",
369507293,SURG FLAP DEVICE TEMP ACHORAGE,"$2,938.00 ",
369507294,W/OUT SURG FLAP TEMP ACHORAG,"$1,896.00 ",
369507310,ALVOPLASTY CONJ W/EXT 4 TEETH,$360.00 ,
369507311,ALVOPLASTY CONJ W/EXT 1-3TEETH,$363.00 ,
369507320,ALV PLASTY W/O EXT/Q(>4SPACES),$537.00 ,
369507321,ALV PLASTY W/O EXT/Q(<4SPACES),$510.00 ,
369500074,TISSUE CARE SET,$187.00 ,
369507460,NONDENTAL CYST TO 1.25CM,$686.00 ,
369507471,REMOVAL OF BUCCAL EXOSTOSIS,$812.00 ,
369507472,REMOVAL OF TORUS PALATINUS,"$1,036.00 ",
369507473,REMVOAL OF TORUS MANDIBULARIS,$933.00 ,
369507510,I AND D ABSCESS INTRA ORAL,$295.00 ,
369507520,I AND D ABSCESS INTRA ORA,$534.00 ,
369500076,TRAUMA CARE SET,$384.00 ,
369507910,SUTURE WOUND TO 5CM,$359.00 ,
369507960,FRENULECTOMY,$536.00 ,
369507971,EXCISE PERICORN GINGIVA,$340.00 ,
369507999,UNSPEC ORAL SURGERY PROCEDURE,$547.00 ,
369508020,LIMITED ORTHO TRANSITIONL,"$2,854.00 ",
369508030,LIMITED ORTHO ADOLESCENT,"$3,321.00 ",
369508050,INTERCEPT ORTHO PRIMARY,"$2,994.00 ",
369508060,INTERCEPT ORTHO TRANSITNL,"$3,240.00 ",
369508080,COMPREHEN ORTHO ADOLESCENT,"$6,208.00 ",
369508090,COMPREHEN ORTHO ADULT,"$6,362.00 ",
369508210,HABIT GUIDE REMOVABLE,"$1,014.00 ",
369508220,HABIT GUIDE FIXED,"$1,130.00 ",
369508660,PRE-ORTHO TREATMENT/EVALUATION,$477.00 ,
369508670,ADJUSTMENT VISIT,$315.00 ,
369508680,ORTHO RETENTION,$565.00 ,
369508692,REPLACE RETAINER,$377.00 ,
369508999,UNSPECIFIED ORTHODONTIC PROCEDURE,$421.00 ,
369509110,PALLIATIVE DENTAL PLAN,$154.00 ,
369500092,ANALGESIA CARE SET,$118.00 ,
369509210,LOCAL ANESTHESIA NOT EXT,$249.00 ,
369509220,GENERAL ANESTHESIA 30MIN,$408.00 ,
369509221,GENERAL ANESTHADDL 15MIN,$145.00 ,
369509222,DEEP ANEST 1ST 15 MIN,$465.00 ,
369509223,DEEP SEDATION/ANES,$408.00 ,
369509230,ANALGESIA N20,$102.00 ,
369509240,INTRAVENOUS SEDATION,$339.00 ,
369509241,IVS 1ST 30 MINS,$464.00 ,
369509248,CONSCIOUS SEDATION,$406.00 ,
369509310,CONSULTATION,$177.00 ,
369509420,HOSPITAL CALL,$356.00 ,
369509430,OBSERVATION OFFICE VISIT,$102.00 ,
369509440,OFFICE VISIT AFTER HOURS,$208.00 ,
369500099,OR CART PORTABLE UNIT,$187.00 ,
369509920,BEHAVIOR MANAGEMENT,$182.00 ,
369599243,CONSULT CAST AND PHOTOS,$324.00 ,
369509951,OCCLUSAL ADJUST-LIMITED,$150.00 ,
369509970,MICROABRASION,$247.00 ,
369500999,SCREENING EXAM,$108.00 ,
271000001,"CRYCATH CATHETER,4MM","$2,410.00 ",
271001036,CC-MULTIPURPOSE CATH,$201.00 ,
271011100,BX SKIN SQ MM SGL,$320.00 ,
271011101,BX SKIN SQ MM EA ADDTL,$94.00 ,
271011102,TANGNTL BX SKIN SINGLE LES,$715.00 ,
271011103,TANGNTL BX SKIN EA SEP/ADDL,$358.00 ,
271011104,PUNCH BX SKIN SINGLE LESION,$715.00 ,
271011105,PUNCH BX SKIN EA SEP/ADDL,$358.00 ,
271011106,INCAL BX SKN SINGLE LES,$853.00 ,
271011107,INCAL BX SKN EA SEP/ADDL,$427.00 ,
273001296,EXT ECG RECORDING,"$1,052.00 ",
273001297,EXT ECG SCAN W REPORT,"$1,136.00 ",
271013221,INSERT PULSE GEN MULT LEAD,"$26,519.00 ",
271013279,PM DEVICE PROGRAM EVAL SNG,$323.00 ,
271013280,PM DEVICE PROGR EVAL DUAL,"$1,103.00 ",
271013283,PRGRMG EVAL IMPLANTABLE DFB,$447.00 ,
271093284,PRGRMG EVAL IMPLNTBLE DFB,"$1,037.00 ",
271013453,R&L HRT CATH W/VENTRCLGRPHY,"$5,027.00 ",
271013458,L HRT ARTERY VENTRICLE ANGIO,"$5,299.00 ",
271013459,L HRT ART GRFT ANGIO,"$2,954.00 ",
271013616,"ESOPH ATRIAL ELECTROGR, W PACING",$107.00 ,
271013640,"EP EVAL CD LEADS,INIT/REPLACEMENT","$2,039.00 ",
271001526,INTRASTENT CARD STRUT 1526/16,"$4,135.00 ",
271016377,3D RENDERING W POSTPROCESS,"$1,605.00 ",
271016827,COMPL FETAL DOPPLER ECHOCARDIOGRM,"$1,310.00 ",
271001725,CATH BALLOON PTA LVL 2,"$1,890.00 ",
271001730,CATH BALLOON PTA LVL 1,"$1,221.00 ",
271002018,CC-6F QUAD STEER CATH,$621.00 ,
219021903,OBSRV FIRST HR,"$2,775.00 ",
219021904,OBSERVATION ADD 1 HR,$317.00 ,
219021911,RECOVERY RM 1ST 30MIN SS,"$1,858.00 ",
219021912,RECOVERY RM ADDL 30M SS,$710.00 ,
272002278,EKG SIGNAL AVERAGED,$568.00 ,
271000023,"CC CATH, BALLOON DILATAT OLBERT","$1,141.00 ",
273023005,ECG TRACING ONLY,$423.00 ,
273023017,STRESS TEST ECG TRACNG,"$1,880.00 ",
272023025,MICROVOLT T WAVE ASSESS,"$1,272.00 ",
273023041,ECG RHYTHM STRIP-TRACING,$122.00 ,
272023105,EP EKG 12 LEAD,$423.00 ,
272023125,EP ECG MONITOR 24 HR RECORD,$976.00 ,
272023126,EP SCANNING ANALYSIS WITH REPORT,"$1,136.00 ",
272023170,EP MULTIEVENT RECORD 30 DAY,$629.00 ,
272023171,EP MONITOR TRANSMIT AND ANALYSIS,$943.00 ,
272023174,EP ELECTRON ANALYSIS ANTITACHI PM,"$2,210.00 ",
272023179,PM DEVICE PROGR EVAL SINGLE,$306.00 ,
272023180,PM DEV PROGRAM EVAL DUAL LEAD,"$1,103.00 ",
272023181,PM DEVICE PROGR EVAL MUTLI,"$1,151.00 ",
272023182,ICD DEVICE PROG EVAL 1 SINGLE,$373.00 ,
272023183,ICD DEVICE PROGRAM EVAL DUAL,$424.00 ,
272023184,ICD DEVICE PROGRAM EVAL MULT,$804.00 ,
272023186,PRE OP PM DEVICE EVAL,$516.00 ,
272023187,PRE OP ICD DEVICE EVAL,$627.00 ,
272023188,PM DEVICE EVAL IN PERSN,$520.00 ,
272023189,ICD DEVICE INTERROGTE,$338.00 ,
272023190,ICM DEVICE EVALUATN,$237.00 ,
272023191,ILR DEVICE INTERROGTE,$754.00 ,
272023192,WCD DEVICE INTERROGTE,$70.00 ,
272023193,PM PHONE R STRIP DEVICE EVAL,$285.00 ,
272023196,PM ICD REMOTE TECH SERV,$595.00 ,
272023198,ILR DEVICE INTERROGTE REMOTE,$595.00 ,
273023225,EP HOLTER MONITOR,"$1,052.00 ",
273023226,SCANNING ANALYSIS WITH REPORT,"$1,136.00 ",
273023270,MULTI EVENT RECORD 30 DAY PERIOD,$629.00 ,
273023271,MONITOR TRANSMIT AND ANALYSIS,$943.00 ,
273023278,SIGNAL AVERAGED ECG,$602.00 ,
273023641,ELECTROPHYS EVAL PULSE GEN,"$2,039.00 ",
273023796,CARDIAC REHAB PHSE 1,$162.00 ,
273023797,CARDIAC REHAB PHSE 3,$52.00 ,
273023798,CARDIAC REHAB PHSE 2,$102.00 ,
272002386,AMB BP MONITOR RECORDNG ONLY,$335.00 ,
272002388,AMB BP MONITOR SCAN ANAL W REPRT,$808.00 ,
273024160,PC VITAL CAPACITY SCREEN,$44.00 ,
273024200,MAXIMUM BREATHNG CAPACITY,$66.00 ,
273024375,LUNG VOL FLOW VOL LOOP,$724.00 ,
273024400,PC BREATHING RESPS TO CO2,$133.00 ,
273024680,O2 CONSUMPTN COM METH,$432.00 ,
273024720,PC CO DIFFUSION STUDY,$143.00 ,
273024726,PULM FNCT TST PLETHYSMPGRPH,$148.00 ,
273024727,PULM FUNCTN TST BY GAS,$148.00 ,
273024729,CO MEMBRANE DIFFSE CAPACITY,$207.00 ,
273025802,MED NUT TX INTL ASSESMNT E15M-1HR,$36.00 ,
273025803,NUT TX REASESMNT INTERV E15M-1HR,$47.00 ,
271000026,"CC ,018-200CM V-18",$495.00 ,
272000260,TILT TABLE TESTNG,$539.00 ,
272002615,EP TRANSESOPH ECGRECORDING,$102.00 ,
272002616,TRANSESPH ECG W PACING REC,$107.00 ,
271000262,IMPLANT PROSTHETIC PULM VALVE,"$14,370.00 ",
271026615,TREAT METACARPAL FRACTURE,"$1,256.00 ",
272002680,OXYGEN UPTAKE DRCT SIMPLE,$410.00 ,
273027802,MED NUT TX INT ASSESMNT EA15M-1HR,$102.00 ,
273027803,NUT TX REASESMNT INTERV EA15M-1HR,$117.00 ,
271002805,OXYGEN CONTENT DIRECT,$165.00 ,
271028230,TENOTOMY OP FLEXOR FT SGL MULTI,"$1,390.00 ",
271000029,CC WIRE GUIDE/GLIDE,$474.00 ,
271002960,CARDIOVERSION ELECTIVE EXTRNL,$510.00 ,
271000003,CC-CARDIOVERSION EQUIPMENT,"$2,959.00 ",
271030010,PERICARDIOCENTESIS INITIAL,$575.00 ,
271003003,CC-Y-ADAPTOR,$235.00 ,
271003010,CC-INFLATION DEVICE,$938.00 ,
271003011,CC-STENT,"$2,863.00 ",
219000318,TEE FOR MONITORING,"$1,054.00 ",
219000320,DOPPLER ECHO COMPLETE ADD ON,"$1,193.00 ",
219000325,DOPPLER COLOR FLOW ADD ON,$123.00 ,
273003279,PM DEVICE PROGR EVAL SNGL,$397.00 ,
273003280,PM DEV PROGR EVAL DUAL LEAD,"$1,103.00 ",
273003281,PM DEVICE PROGR EVAL MULTI,"$1,577.00 ",
273003282,ICD DEVICE PROG EVAL 1 SNGL,$461.00 ,
273003283,ICD DEVICE PROGR EVAL DUAL,$550.00 ,
273003284,ICD DEVICE PROGR EVAL MULT,"$1,203.00 ",
273003286,PRE-OP PM DEVICE EVAL,$516.00 ,
273003287,PRE-OP ICD DEVICE EVAL,$727.00 ,
273003288,PM DEV EVAL IN PERSON,$738.00 ,
273003289,ICD DEV INTERROGATE,$338.00 ,
273003291,ILR DEVICE INTERROGATE,$754.00 ,
273003293,PM PHONE R-STRIP DEVICE EVAL,$285.00 ,
273003296,PM/ICD REMOTE TECH,$632.00 ,
272003303,E-TRANSTHORACIC ECHO,"$2,575.00 ",
272003304,E-F/U TRANSTHORACIC ECHO,"$1,168.00 ",
272003306,TTE W/DOPPLER COMPLETE,"$2,717.00 ",
272003308,E-ECHOCARDIOGRAMLIMITED (F/U),$622.00 ,
272003315,E-TRANSESOPHAGEAL ECHOCARDIOGRAM,"$4,105.00 ",
272003320,E-DOPPLER ECHOCARD DISPLAY,"$1,193.00 ",
271033206,INSERT PCMKR W ATRIAL LEAD,"$8,274.00 ",
271033207,INSERT PCMKR W VENT LEAD,"$9,595.00 ",
271033208,INSERT PCMKR W ATR VENT LEADS,"$11,875.00 ",
272003321,E-DOPPLER ECHOCARDLTD,$539.00 ,
271033212,INSERT PULSE GEN SNGL LEAD,"$6,649.00 ",
271033213,INSERT PULSE GEN DUAL LEADS,"$7,756.00 ",
271033216,INSERT 1 LEAD PM ICD,"$3,786.00 ",
271033217,INSERT 2 ELECTRODES PM-DEFIB,"$3,786.00 ",
271033218,REPAIR 1 LEAD PM ICD,"$3,173.00 ",
271033222,REVISE POCKET PACEMAKER,"$2,095.00 ",
271033223,REVISE POCKET ICD,"$2,431.00 ",
271033224,INSERT LV LEAD TO EXIST SYSTEM,"$9,944.00 ",
271033225,INSERT LV LEAD INITIAL IMPLANT,"$11,877.00 ",
271033227,PMKR GEN CHANGE SINGLE LD SYS,"$6,649.00 ",
271033228,PMKR GEN CHANGE DUAL LD SYS,"$8,994.00 ",
271033229,PMKR GEN CHANGE MULTI LD SYS,"$7,756.00 ",
271033230,INSRT ICD GEN ONLY W EXIST 2LD,"$26,244.00 ",
271033233,REMOVE PCMKR GENERATOR ONLY,"$3,679.00 ",
271033234,REMOVE PCMKR LEAD SINGLE SYS,"$3,679.00 ",
271033235,REMOVE PCMKR LEAD DUAL SYS,"$3,679.00 ",
271033241,REMOVE ICD GENERATOR ONLY,"$3,679.00 ",
271033244,REMOVE ICD LEAD TRANSVENOUS,"$3,679.00 ",
271033249,INSERT ICD SYSTEM W LEAD,"$35,766.00 ",
272003325,E-DOPPLER COLOR MAPPING,$146.00 ,
271033262,ICD GEN CHANGE SINGLE LD SYS,"$22,632.00 ",
271033263,ICD GEN CHANGE DUAL LD SYS,"$26,244.00 ",
271033264,ICD GEN CHANGE MULTI LD SYS,"$26,244.00 ",
271033270,INS/REP SUBQ DEFIBRILLATOR,"$31,443.00 ",
271033272,RMVL OF SUBQ DEFIBRILLATOR,"$2,954.00 ",
271033274,TCAT INSJ/RPL PERM LDLS PM,"$24,031.00 ",
271033275,TCAT RMVL PERM LDLS PM,"$3,962.00 ",
271033282,INSERT CARDIAC EVENT RECORDER,"$6,872.00 ",
271033284,REMOVE CARDIAC EVENT RECORDER,"$1,274.00 ",
271033285,INSJ SUBQ CAR RHYTHM MNTR,"$11,106.00 ",
271033286,RMVL SUBQ CAR RHYTHM MNTR,$869.00 ,
271033289,TCAT IMPL WRLS P-ART PRS SNR,"$44,011.00 ",
271003451,RT HRT CATH WO CORONARY,"$4,703.00 ",
271003452,LT HRT CATH WO CORONARY,"$4,570.00 ",
271003453,RT LT HRT CATH WO CORONARY,"$5,027.00 ",
68035000,OPN HEART PERFUS 1ST 2HRS CVP,"$4,565.00 ",
68035001,OPN HEART PERF ADDL 30 M CVP,$322.00 ,
68035002,NON OPN HEART PERF 1ST 2HRS CVP,"$1,575.00 ",
68035003,NON OPN HEART PERF ADDL 30 M CVP,$322.00 ,
271003503,SWAN GANZ INSERTION,"$1,476.00 ",
271003505,ENDOMYCARD BIOPSY,"$2,026.00 ",
271003561,CARD OUTPUT MEASURE INITIAL,$45.00 ,
271003562,CARD OUTPUT MEASURE SUBSQ,$14.00 ,
271036005,INJECTION EXT VENOGRAPHY,$100.00 ,
271036010,PLACE CATH IN SVC OR IVC,$291.00 ,
271036011,SELECT VENOUS 1ST ORD BRANCH,$379.00 ,
271036012,SELECT VENOUS 2ND ORD BRANCH,$426.00 ,
271036014,SELECT LT RT PULMONARY ARTERY,$358.00 ,
271036015,SUPER SELECT PULMONARY ARTERY,$330.00 ,
271036140,ACCESS EXTREMITY ARTERY,$249.00 ,
271036215,SEL ART 1ST ORD ABOVE DIAPH,$584.00 ,
271036216,SEL ART 2ND ORD ABOVE DIAPH,$668.00 ,
271036217,SEL ART 3RD ORD ABOVE DIAPH,$688.00 ,
271036218,ADDTL 2ND 3RD ORD ABOVE DIAPH,$126.00 ,
271036221,NONSELECT CATH GREAT VESSELS,"$4,185.00 ",
271036225,PLACE CATH SUBCLAVIAN ART,"$2,658.00 ",
271036246,INS CATH ABDL EXT ART 2ND,$660.00 ,
271036247,INS CATH ABD LEXT ART 3RDORD PLS,$787.00 ,
271036251,SELECT CATH 1ST ORD RENAL UNI,"$4,134.00 ",
271036252,SELECT CATH 1ST ORD RENAL BI,"$4,258.00 ",
271003641,ELECTROPHYS EVAL PULSE W GEN,"$2,039.00 ",
271036589,REMOVE TNL CV CATH,"$2,578.00 ",
271036620,ARTERIAL CATH FOR SAMPLING,$121.00 ,
271036902,INTR CTH DIAL CIRCT W TRN BLLN,"$5,216.00 ",
271036905,THRMBC NFS DIAL CIRCT W ANGIOP,"$10,543.00 ",
271037197,TRANSCATH RETRIEVAL FB,"$4,955.00 ",
271037236,STENT PLCMNT ARTERIAL 1ST VES,"$7,859.00 ",
271037237,STENT PLCMNT ARTERIAL EA ADD,"$3,800.00 ",
271037238,STENT PLCMNT VENOUS 1ST VES,"$4,262.00 ",
271037241,VASC EMBOLIZE/OCCLUDE VENOUS,"$10,308.00 ",
271037242,VASC EMBOLIZE/OCCLUDE ARTERY,"$7,619.00 ",
271037244,VASC EMBOLIZE/OCCLUDE BLEED,"$7,730.00 ",
271037246,TRLUML BALO ANGIOP 1ST ART,"$6,048.00 ",
271037248,TRLUML BALO ANGIOP 1ST VEIN,"$6,048.00 ",
271037249,TRLUML BALO ANGIOP ADDL VEIN,"$6,048.00 ",
271000387,LEADLESS C PM INS RPL VENTR,"$24,031.00 ",
271000004,CC BALLOON ATRIAL SEPTOSTOMY,"$1,127.00 ",
219004011,RECOV RM 1ST HALF HR IP,"$1,858.00 ",
219004012,RECOVERY RM ADDL 30MIN IP,$673.00 ,
271000505,EV FEMPOP ARTL REVSC,"$14,504.00 ",
271000510,RMVL SINUS TARSI IMPLANT,"$3,935.00 ",
271000511,RMVL&RINSJ SINUS TARSI IMPLT,"$8,549.00 ",
271000515,INSJ WCS LV COMPL SYS,"$32,995.00 ",
271000516,INSJ WCS LV ELTRD ONLY,"$11,106.00 ",
