Charge description, Average charge/unit , Average self-pay charge/unit (30% discount) 
AEROSOL TALC, $54.42 , $38.10 
ALBUMIN 5% 500 ML IVPB," $1,012.85 ", $709.00 
ALBUTEROL CFC FREOO (ANESTHESIA O, $449.23 , $314.46 
ALBUTEROL/IPRATROPIUM 100-20MCG A," $2,073.55 "," $1,451.48 "
ALISKIREN HEMIFUMARATE 150MG TAB, $52.18 , $36.53 
ALPRAZOLAM 0.5MG ODT, $117.42 , $82.20 
ALUMINUM HYDROXIDE GEL 320MG/5ML, $0.16 , $0.11 
AMINOCARPROIC ACID 250MG/20ML, $84.29 , $59.00 
AMOXICILLIN 125 MG/5 ML 1ML, $0.41 , $0.29 
AMOXICILLIN 250 MG/5 ML 1 ML, $0.48 , $0.34 
AMPICILLIN 1GM/NS 50ML, $83.00 , $58.10 
AMPICILLIN 2MG/NS 50ML, $109.30 , $76.51 
AMPICILLIN/SULBACTAM 3GM/NS100ML, $116.20 , $81.34 
ANGIOTENSIN II 2.5MG/ML SDV," $8,538.00 "," $5,976.60 "
APAP-HYDROCODONE 325/5MG ER STPAK, $37.10 , $25.97 
APIXABAN 2.5MG TAB, $54.83 , $38.38 
APIXABAN 5MG TAB, $54.83 , $38.38 
ARFORMOTEROL 15MCG/2ML INHALATION, $214.28 , $150.00 
ARGATROBAN 50MG/50ML SDPF," $1,335.70 ", $934.99 
ARIPIPRAZOLE 2MG TABLET, $182.52 , $127.76 
ART AR-1588RT ACL TIGHTROPE RT, $113.60 , $79.52 
ART AR-1928SF-2 CORKSCREW SUT, $41.70 , $29.19 
ART AR-4500 MENISCAL CINCH, $6.84 , $4.79 
ART AR-8835-14 NONLCK SCREW, $208.40 , $145.88 
ART AR-8943BR-08 LOCK DIST FIB PL, $485.00 , $339.50 
ART AR-8943T-04 1/3 TUB PLT LOCK, $173.53 , $121.47 
ARTIFICIAL TEARS=AKWA 15 ML, $20.90 , $14.63 
ASENAPINE 2.5MG SL TABLET, $157.60 , $110.32 
ASENAPINE 5MG SL TAB, $143.71 , $100.59 
ATAZANAVIR 150MG CAPSULE, $191.25 , $133.88 
ATL 1106-01-6545 MODULAR SCREW, $36.40 , $25.48 
ATOMOXETINE 60MG CAPSULE, $87.80 , $61.46 
ATORVASTATIN 10MG TABLET, $3.00 , $2.10 
ATORVASTATIN 20MG TABLET, $3.40 , $2.38 
ATOVAQUONE 750MG/5ML SUSP, $34.51 , $24.16 
ATROPINE 0.5MG/5ML SYRINGE,#DIV/0!,#DIV/0!
AZACTAM (AZTERONAM) 1 GM VIAL, $467.41 , $327.19 
AZITHROMYCIN 200MG/5ML PER ML, $8.54 , $5.98 
AZTREONAM 2 GRAM PWVL, $451.60 , $316.12 
BACITRACIN 50000U/ML 1 ML VIAL, $149.33 , $104.53 
BACITRACIN TOPICAL OINT UD, $1.51 , $1.06 
BACITRACIN TOPICAL OINTMENT, $120.30 , $84.21 
BACITRACIN/NEO/POLYMIX OINT UD, $2.48 , $1.74 
BACTRIM DS ER START PACK #2, $3.10 , $2.17 
BALANCED SALT SOLU (BSS) 15ML, $91.58 , $64.11 
BANANA BAG ER ONLY 50ML, $279.60 , $195.72 
BENZOCAINE 20% ORAL GEL, $19.50 , $13.65 
BENZOYL PEROXIDE 5% GEL, $48.40 , $33.88 
BILIARY CATH. (IMAGE), $101.38 , $70.96 
BIMATOPROST 0.01% 2.5ML DROPS, $864.50 , $605.15 
BISMUTH SUBSAL 262MG/15ML PER ML, $0.13 , $0.09 
BISOPROLOL 5 MG TAB, $10.64 , $7.45 
BREVIBLOC 10MG/ML 10 ML VIAL, $91.00 , $63.70 
BREXPIPRAZOLE 0.25MG TABLET, $211.84 , $148.29 
BREXPIPRAZOLE 1MG TABLET, $247.90 , $173.53 
BRIMONIDINE 0.2% 5ML OS, $211.35 , $147.95 
BUDESONIDE 0.5MG/2ML INHAL SUSP, $124.90 , $87.43 
BUDESONIDE 1MG/2ML SUSP FOR INHAL, $247.40 , $173.18 
BUMETANIDE 0.25MG/ML 10ML, $40.56 , $28.39 
BUMETANIDE 0.25MG/ML 4 ML, $57.03 , $39.92 
BUPIVACAINE 0.25% 30ML SDPF, $53.13 , $37.19 
BUPIVACAINE 0.5% 10ML SDPF, $57.60 , $40.32 
BUPIVACAINE 0.5% 30ML SDPF, $57.34 , $40.14 
BUPIVACAINE 0.75% 10ML MPF, $50.27 , $35.19 
BUPIVACAINE 0.75% MPF 2ML AMP, $62.62 , $43.83 
BUPRENORPHINE 2MG SL TAB, $241.19 , $168.83 
BUPRENORPHINE 8MG SL TAB, $147.90 , $103.53 
BUPRENORPHINE/NALOXONE 2-0.5MG FI, $39.81 , $27.86 
BUPRENORPHINE/NALOXONE 4-1MG FILM, $70.36 , $49.25 
CABOT SOFT WAND BALLOON RETRACTOR, $2.70 , $1.89 
CADEXOMER=IODOSORB 40G GEL, $554.20 , $387.94 
CALCIUM CARBONATE 500MG TAB CHEW, $1.23 , $0.86 
CALCIUM CHLORIDE 10% 10ML VIAL, $273.53 , $191.47 
CARBAMAZEPINE 20MG/ML SUSP 1ML, $1.30 , $0.91 
CARBOPROST 250MCG/ML," $1,436.90 "," $1,005.83 "
CARDIZEM INJ 25MG (5MG/ML), $64.93 , $45.45 
CARDIZEM INJ 50MG (5MG/ML), $71.08 , $49.76 
CARIPRAZINE 1.5MG CAPSULE, $199.08 , $139.36 
CARMEX LIP BAUM, $12.80 , $8.96 
"CAUTERY TIP, EXT. NEEDLE ELECTROD", $207.70 , $145.39 
CEFAZOLIN 100MG/50ML PREMIX, $57.89 , $40.52 
CEFAZOLIN 2GM/D5 50ML PREMIX, $102.15 , $71.50 
CEFAZOLIN 2GM/NS 50ML, $94.80 , $66.36 
CEFOTAN (CEFOTETAN) 1 GM VIAL, $286.20 , $200.34 
CEFOTETAN 1 GM PREMIX, $185.13 , $129.59 
CEFOTETAN 2 GM PWDI, $556.70 , $389.69 
CEFOXITIN 1GM/D5 50ML PREMIX, $146.71 , $102.70 
CEFOXITIN 2GM/D5 50ML PREMIX, $262.65 , $183.85 
CEFTAROLINE 600MG PWDI, $941.60 , $659.12 
CEFTAZIDIME 1000MG/D5 50ML PREMIX, $135.57 , $94.90 
CEFTAZIDIME 2 GM SDV, $164.90 , $115.43 
CEFTRIAXONE 1GM/DEXTROSE 50ML, $148.10 , $103.67 
CERTIRIZINE 1MG/ML SYRUP 5ML, $14.60 , $10.22 
CETAPHIL CREAM 453 GM, $149.00 , $104.30 
CETAPHIL SKIN CLEANSER 8 OZ, $79.50 , $55.65 
CHLORHEXIDINE ORAL SOL 15ML UDC, $14.30 , $10.01 
CHLOROPROCAINE 3% 20ML MPF, $326.50 , $228.55 
CHOLECALCIFEROL 1000 I.U. (D3), $1.80 , $1.26 
CHOLECALCIFEROL 400 UNIT CAP, $2.90 , $2.03 
CLEOCIN PHOSPHATE 150MG/ML 6ML, $165.98 , $116.19 
CLINDAMYCIN 1% TOPICAL SOLUTION, $515.10 , $360.57 
CLINDAMYCIN 300MG INJ, $81.80 , $57.26 
CLINDAMYCIN 300MG/D5 50ML PREMIX, $93.98 , $65.79 
CLINDAMYCIN 900MG/D5 50ML PREMIX, $183.54 , $128.47 
CLINDAMYCIN GEL 1% 30 ML, $5.21 , $3.65 
CLINDAYMYCIN 600MG/D5 50ML PREMIX, $152.19 , $106.53 
CLINIMIX 5/25 1000ML, $415.80 , $291.06 
CLIPS HULKA, $211.96 , $148.37 
CLOBETASOL 0.05% 30 GM CREAM," $1,286.90 ", $900.83 
CLOTRIMAZOLE 1% CREAM, $61.70 , $43.19 
COCAINE HCL TOP SOLU 4% 4 ML," $3,449.06 "," $2,414.34 "
COSOPT OPHTH SOL 10 ML, $331.69 , $232.19 
COTTONOID, $774.22 , $541.95 
COVER MAYO STAND, $396.65 , $277.66 
CRY BG3515-5-US BIOGLUE, $7.60 , $5.32 
CUC PH PHENEGRAN 12.5MG SUPP, $129.60 , $90.72 
CYCLOGYL OPHT DROPS 1% 2 ML, $86.45 , $60.52 
D5/.45% NS W/10MEQ KCL/1000ML, $41.70 , $29.19 
D5/0.45%NS+20MEQ KCL 1000ML, $41.58 , $29.10 
D5-0.225% NS + 20 MEQ KCL 1000ML, $105.00 , $73.50 
D5-0.45%NS + 40 MEQ KCL 1000 ML, $41.70 , $29.19 
D5LR + 20 MEQ KCL 1000 ML, $52.20 , $36.54 
D5NS + 20 MEQ KCL 1000 ML, $41.70 , $29.19 
D5NS + 40 MEQ KCL 1000 ML, $52.20 , $36.54 
D5W (DEHP FREE) 250 ML IVPB, $54.60 , $38.22 
DABIGATRAN 150 MG CAPSULE, $52.48 , $36.74 
DABIGATRAN 75 MG CAPSULE, $53.30 , $37.31 
DAKINS 0.125% (1/4 STRENGTH), $0.30 , $0.21 
DAKINS 0.25% (1/2 STRENGTH), $0.29 , $0.20 
DAKINS 0.5% (FULL STRENGTH), $0.29 , $0.20 
DEHYDRATED ALCOHOL 5CC AMP, $618.36 , $432.86 
DEPACON (VALPROATE) IV 500 MG, $47.03 , $32.92 
DESVENLAFAXINE ER 50 MG TAB, $44.01 , $30.81 
DEX/TOBRAMYCIN 0.3-0.1% OPHT DROP, $292.05 , $204.44 
DEXAMET/NEO/POLY B OPH OINT, $223.20 , $156.24 
DEXAMETHASONE 0.5MG/5ML PER ML, $0.48 , $0.34 
DEXAMETHASONE 10MG/ML 1ML VIAL, $49.52 , $34.66 
DEXAMETHASONE 4MG/ML 1 ML VIAL, $48.82 , $34.17 
DEXAMETHASONE PF 10MG/ML SDPF, $99.38 , $69.57 
DEXMEDETOMIDINE 200MCG/2ML, $690.05 , $483.04 
DEXTROMETHORPHAN 6MG/ML PER ML, $0.77 , $0.54 
DEXTROSE 4 GM CHEW TAB - 10 PACK, $16.28 , $11.39 
DEXTROSE 50% 50 ML SYRINGE, $170.01 , $119.00 
DIATRIZOATE MEG/DIAT SOD 50ML, $157.25 , $110.08 
DICLOXACILLIN 500MG CAPSULE, $10.80 , $7.56 
DIGOXIN 50MCG/ML SOLN PER ML, $6.78 , $4.75 
DILTIAZEM 125MG/25ML SDV, $150.10 , $105.07 
DILTIAZEM 125MG/D5W 100ML DRIP, $228.50 , $159.95 
DILTIAZEM 125MG-NS 100ML PREMIX, $228.47 , $159.93 
DIPHENHYDRAMINE 12.5MG/5ML PER ML, $11.28 , $7.90 
DIPHENHYDRAMINE GEL 1%, $44.30 , $31.01 
DIPHENHYDRAMINE/ZINC 2-0.1% CR, $23.10 , $16.17 
DIPRIVAN 10MG/ML 20ML AMP, $62.92 , $44.05 
DIPTHERIA/TETANUS/PERTUSS PEDI, $327.20 , $229.04 
DIPYRIDAMOLE-ASA 200MG-25MG CAP, $68.78 , $48.14 
DIVALPROEX ER 250 MG TAB, $12.34 , $8.64 
DIVALPROEX ER 500 MG TAB, $22.12 , $15.48 
DOCUSATE 100 MG/10 ML SOLN UD, $6.20 , $4.34 
DOXYCYCLINE 100 MG VIAL, $345.17 , $241.62 
DOXYCYCLINE SUSP 25MG/5ML, $2.67 , $1.87 
DRONEDARONE (MULTAQ) 400MG TABLET, $78.53 , $54.97 
DULOXETINE 20 MG CAP, $13.39 , $9.37 
DULOXETINE 30 MG CAP, $13.56 , $9.49 
DUTASTERIDE=AVODART 0.5 MG TAB, $5.60 , $3.92 
EDECRIN SODIUM 50 MG VIAL, $0.82 , $0.57 
EDOXABAN 30MG TABLET, $88.80 , $62.16 
ELECTROLYTE-R 1000ML, $53.66 , $37.56 
EMOLLIENT TOPICAL AQUAPHOR 396GM,#DIV/0!,#DIV/0!
EMPTY IV BAG 500ML, $52.60 , $36.82 
ENDO CLIP II #176657, $42.10 , $29.47 
EPHEDRINE 50 MG/10 ML SYRINGE, $465.89 , $326.12 
EPHEDRINE SULFATE 50MG/ML AMP, $351.11 , $245.78 
EPID FENTANYL 5MCG/BUP 0.62 250ML, $238.10 , $166.67 
EPINEPHRINE 100 MCG/10 ML SYRINGE, $491.77 , $344.24 
EPINEPHRINE 1MG/10ML INTRACARDIAC, $179.60 , $125.72 
EPINEPHRINE 2MG/D5 250ML PREMIX, $435.28 , $304.69 
EPLERENONE=INSPRA 25 MG TAB, $27.51 , $19.26 
ERTAPENEM 1GM/NS 50ML, $702.90 , $492.03 
ERYTHROMYCIN 1 GM OPHTH OINT, $106.18 , $74.33 
ESMOLOL 2500MG/NS 250ML," $3,004.96 "," $2,103.47 "
ESTRACE VAG CREAM 0.01% 42.5GM," $1,654.50 "," $1,158.15 "
ETH EVICEL 2ML, $41.70 , $29.19 
ETHIODIZED OIL 480MG/ML 10ML," $5,856.10 "," $4,099.27 "
ETOMIDATE 20 MG/10 ML SDV, $119.62 , $83.74 
EYE-STREAM OPHT IRRIG SOL 30ML, $142.80 , $99.96 
FAMOTIDINE 20MG/2ML SDV, $41.61 , $29.13 
FENIFIBRATE 160MG CAPLET, $45.60 , $31.92 
FENOFIBRATE 54MG TABLET, $6.90 , $4.83 
FENTANYL 12MCG/HR TDP," $1,631.76 "," $1,142.23 "
FENTANYL 1500MCG/30ML PCA, $249.98 , $174.98 
FERROUS GLUCONATE 324MG TABLET, $1.30 , $0.91 
FERROUS SULFATE 220MG/5ML PER ML, $0.21 , $0.15 
FIDAXOMICIN 200MG TABLET, $925.10 , $647.57 
FLUCONAZOLE 40MG/ML SUSP PER ML, $10.99 , $7.70 
FLUCONAZOLE/NS 100MG/50ML, $126.60 , $88.62 
FLUMAZENIL 1MG/10ML SDV, $445.32 , $311.72 
FLUORESCEIN 10% INJ 5ML, $244.60 , $171.22 
FLUOR-I-STRIP OPTH, $2.52 , $1.76 
FLUOXETINE 20MG/5ML PER ML, $0.88 , $0.62 
FORANE 15 MIN, $17.93 , $12.55 
FORANE 1HR, $63.64 , $44.54 
FORANE INHALATION PER ML, $1.84 , $1.29 
FOSFOMYCIN 3GM PACKET, $368.30 , $257.81 
GABAPENTIN 250MG/5ML PER ML, $2.24 , $1.57 
GELATIN SPONGE ABSORBABLE SZ 100, $315.79 , $221.05 
GELFILM OPHT 25 X 50 MM," $1,198.90 ", $839.23 
GELFOAM 50, $437.25 , $306.07 
GELFOAM TOPICAL SPONGE 12/7 MM, $128.62 , $90.03 
GENTACIDIN OPHT GTT 3MG/ML 5ML, $205.80 , $144.06 
GENTACIDIN OPHT OINT 3MG/GM, $195.60 , $136.92 
GENTAMICIN 100MG/NS 50ML PREMIX, $49.60 , $34.72 
GENTAMICIN 80MG/NS 50ML PREMIX, $48.49 , $33.95 
GLYCERIN LIQUID PER ML, $0.36 , $0.25 
GLYCINE IRRIGATION 3000 CC, $94.77 , $66.34 
GOLYTELY PREP 4000 ML, $157.40 , $110.18 
GRA F4008 IMPRA FLEX, $455.65 , $318.95 
GRA F8006SC IMPRA CARBOFLO FLEX, $60.27 , $42.19 
GRA F8008S FLEX GRAFT, $9.40 , $6.58 
GUAIFENESIN 100 MG/5 ML SYRUP, $1.50 , $1.05 
GUAIFENESIN 100MG/5ML UDC, $5.18 , $3.62 
GUAIFENESIN DM 5ML UDC, $5.47 , $3.83 
HAEMOP B TET TOX=ACTIB, $378.40 , $264.88 
HALOPERIDOL 2 MG/ML SOLN, $1.90 , $1.33 
HAN 1312-11-120 MULTI-DIR PEG, $145.60 , $101.92 
HEPARIN 1000 UN/ML 30 ML MDV, $109.48 , $76.64 
HEPARIN 30UNITS/3ML SYRINGE, $418.32 , $292.82 
HEPARIN PF 100UNITS/1ML, $47.70 , $33.39 
HUMALOG 75/25 300UN/3ML PEN, $520.90 , $364.63 
HUMULIN 70/30 300UN/3ML PEN, $466.90 , $326.83 
HUMULIN N 300 UN/3ML PEN, $697.60 , $488.32 
HUMULOG 300UN/3ML PEN, $520.87 , $364.61 
HUMULOG 50/50 300UN/3ML PEN, $520.90 , $364.63 
HURRICAINE SPRAY 20% 60 ML, $252.33 , $176.63 
HYDROCODONE/APAP 5-325 TAB, $36.06 , $25.24 
HYDROCODONE/APAP 7.5/325MG/15ML U, $236.16 , $165.31 
HYDROCORTISONE 2.5% OINTMENT, $65.15 , $45.61 
HYDROGEN PEROXIDE 3%, $4.92 , $3.45 
HYDROXYZINE 50MG/ML 1ML SDV, $330.80 , $231.56 
IBUPROFEN 100 MG PER 5 ML, $8.18 , $5.72 
ILOPERIDONE 4MG TAB, $114.47 , $80.13 
INDIA INK STERILE, $466.90 , $326.83 
INDIGO CARMINE 0.8% 5 ML AMP," $1,064.50 ", $745.15 
INDOCYANINE GREEN 25MG W/DILUENT, $559.37 , $391.56 
INFLUENZA VACCINE 2017-2018 ADULT, $238.87 , $167.21 
INFLUENZA VACCINE 2018-2019 ADULT, $233.90 , $163.73 
INFLUENZA VACCINE 2018-2019 PEDI, $263.00 , $184.10 
INSULIN ASPART (NOVOLOG) 3ML PEN, $639.35 , $447.54 
INSULIN R HUMAN 100 UN/ML 3 ML, $465.00 , $325.50 
IODINE-POTASSIUM IODINE 14ML SOLN, $318.30 , $222.81 
IOPAMIDOL-250 50ML SSH, $550.60 , $385.42 
IOPAMIDOL-370 50ML SSH, $338.70 , $237.09 
IPRATROPIUM BR 0.5MG/2.5ML, $3.80 , $2.66 
ISOPTO ATROPINE OPHT DROPS 1%, $328.50 , $229.95 
KETAMINE 100MG/ML 5ML, $121.33 , $84.93 
KETAMINE 200MG/20ML, $229.10 , $160.37 
KNEE PATELLA 5550-G-339, $132.96 , $93.08 
K-PHOS ORIGINAL 500MG TABLET, $4.00 , $2.80 
LABETALOL 20MG/4ML SDV, $109.10 , $76.37 
LACRI-LUBE OPHT OINTMENT 3.5GM, $21.88 , $15.32 
LACTINEX 1 GM PACKET, $17.80 , $12.46 
LACTULOSE SOLUTION 30 ML, $9.89 , $6.92 
LANTUS INSULIN 300UN/3ML PEN, $479.24 , $335.47 
LEI 50-20412 BONE SCREW, $28.50 , $19.95 
LEI 50-20505 2.0 LOCKING SCREW, $64.47 , $45.13 
LET GEL 3ML TOPICAL SYRINGE, $236.57 , $165.60 
LEVETIRACETAM 500MG INJECTION, $211.73 , $148.21 
LEVETIRACETAM SUSP 100MG/ML PER M, $1.36 , $0.95 
LEVONORGESTREL 1.5MG TABLET, $255.70 , $178.99 
LEVOTHYROXINE 100MCG PWDI, $687.18 , $481.03 
LIDOCAINE .4% IN D5W 500 CC, $105.00 , $73.50 
LIDOCAINE 1% 10MG/ML 5ML ESI, $77.79 , $54.45 
LIDOCAINE 1% MPF 30ML STERILE, $164.93 , $115.45 
LIDOCAINE JELLY TOPICAL 2% 11ML, $85.70 , $59.99 
LIDOCAINE TOP OINT 5% 35.44 GM," $1,505.20 "," $1,053.64 "
LIDOCAINE VISCOUS 2% PER ML, $0.26 , $0.18 
LIDOCAINE VISCOUS 2% UDC, $14.72 , $10.31 
LIDOCAINE W/EPI 1% 10ML VIAL, $114.23 , $79.96 
LIDOCAINE W/EPI 1% 30ML, $166.53 , $116.57 
LIDOCAINE W/EPI 1.5% 10ML MPF, $142.70 , $99.89 
LIF TGEL01 GEL DBM OPTIUM 1CC, $105.90 , $74.13 
LIF TGEL05 GEL DBM OPTIUM 5CC, $71.81 , $50.27 
LIF TGEL10 GEL DBM OPTIUM 10CC, $119.56 , $83.69 
LIF TPUT01 PUTTY DBM OPTIUM 1CC, $79.90 , $55.93 
LIF TPUT05 PUTTY DBM OPTIUM 5CC, $62.31 , $43.62 
LIF TPUT10 PUTTY DBM OPTIUM 10CC, $84.70 , $59.29 
LITHIUM CARB 300 MG TAB, $2.23 , $1.56 
LITHIUM CIT 8 MEQ/5 ML SYRUP, $11.40 , $7.98 
LOPERAMIDE 1 MG/5 ML SOLN, $15.63 , $10.94 
LORAZEPAM SOL 2 MG PER ML, $98.45 , $68.91 
LOXAPINE 25MG CAPS, $10.30 , $7.21 
LR IRRIG 3000 ML, $117.03 , $81.92 
LURASIDONE 40MG TAB, $246.37 , $172.46 
MAG SULF 2 GM IN 50 ML IVPB, $202.82 , $141.97 
MAGNESIUM GLUC 1000MG/5ML PER ML, $0.50 , $0.35 
MAGNESIUM SULFATE 4% 500 ML, $83.72 , $58.60 
MANNITOL 20% 250ML PREMIX, $800.68 , $560.47 
MANNITOL/SORBITOL IRRIG 3000ML, $256.30 , $179.41 
MAXITROL OPHT DROPS 5 ML, $210.60 , $147.42 
MECLIZINE, $6.20 , $4.34 
MECLIZINE, $6.20 , $4.34 
MEGESTROL 400MG/10ML UDC, $32.17 , $22.52 
MELATONIN 5MG TABLET, $1.15 , $0.80 
MEMANTINE 28 MG ER CAPSULE, $102.60 , $71.82 
MENINGOCOCCAL CONJUGATE VACCINE, $691.80 , $484.26 
MEROPENEM=MERREM 500 MG SDV, $218.20 , $152.74 
MESALAMINE DR 400MG CAPSULE, $28.18 , $19.73 
MESH MARLIX 3X6, $335.94 , $235.16 
METHENAMINE MANDELATE 0.5GM TAB, $7.02 , $4.91 
METHYL SALICYLATE CREAM, $19.20 , $13.44 
METHYLENE BLUE 1% 10 ML AMPULE," $1,162.40 ", $813.68 
