ProcedureID,Description,Charge
7542,PAROXETINE CR 12.5MG TAB,$11.00
7567,PEGFILGRASTIM 6 MG/ 0.6ML SYR,"$17,207.80"
7591,EZETIMIBE 10 MG TABLET,$24.18
7682,"BICILLIN C-R INJ 1,200,000U/2M",$245.90
7724,CALCIUM CARBONATE 500MG TAB,$1.00
7757,WELCHOL 625 MG TABLET,$7.97
7880,BALMEX OINTMENT 60GM,$11.20
7955,BLISTEX OINT,$6.60
7963,QUETIAPINE FUMARATE 200MG TAB,$24.90
7997,NOVOLOG MIX 70/30 PER UNIT,$0.57
8037,MEGACE 400MG/10ML SUSP UDC,$9.12
8052,ALUMIN/MAGNES/SIMETH 30ML SUSP,$5.22
8060,METHADONE 10MG TABLET,$2.01
8094,DOXIL 50MG/25ML VIAL,"$4,691.30"
8128,QUETIAPINE 12.5MG HALF-TAB,$1.05
8144,PULMICORT RESPULES 0.25MG/2ML,$18.90
8151,PULMICORT RESPULES 0.5MG/2ML,$22.10
8169,TERBUTALINE INJ 1MG/ML,$14.20
8177,ERYTHROMYCIN 2% GEL 30GM,$269.30
8193,DUTASTERIDE 0.5MG CAPSULE,$11.80
8243,AMINO ACID 10% 500ML,$80.52
8359,POTASSIUM ACID PHOSPHATE 5OOMG,$1.41
8383,CINACALCET 30MG TABLET,$61.70
8417,ATENOLOL TAB (TENORMIN) 50 MG,$2.00
8441,PREGABALIN 50MG CAPSULE,$21.64
8474,CEFAZOLIN 2GM/D5W 50ML IV,$22.52
8524,AZITHROMYCIN INJ 500MG,$11.84
8565,DRONABINOL 2.5MG CAPSULE,$12.29
8573,OXYTOCIN 30UNTIS/0.9% NS 500ML,$31.88
8599,CLINIMIX E 5/15 1000ML IV BAG,$112.32
8755,DILTIAZEM TAB (CARDIZEM) 30 MG,$1.20
8763,DILTIAZEM TAB (CARDIZEM) 60 MG,$1.70
8813,ADACEL VACCINE 0.5ML,$95.41
9035,METHYLENE BLUE 50MG/10ML AMP,$362.99
9118,ATOVAQUONE SUSP 1500 MG/10 ML,$105.90
9175,CALCIUM CHL. (SYRINGE)1 GM,$20.48
9316,LACTOBACILLUS POWDER PACKET,$1.60
9456,CALDESENE POWDER 4 OZ.,$12.40
9472,SODIUM THIOSULFATE 12.5G/50ML,$176.20
9654,CAPTOPRIL TAB (CAPOTEN) 12.5 M,$3.60
9670,CAPTOPRIL TAB (CAPOTEN) 25 MG,$3.90
10000,OWN MEDICATION,$0.00
10009,MEPIVACAINE INJ 1.5% 30ML S-D,$17.70
10025,CLONIDINE TAB (CATAPRES) 0.1 M,$1.00
10026,CATAPRES 0.05MG PER 1/2 TABLET,$0.23
10033,CLONIDINE TAB (CATAPRES) 0.2 M,$1.00
10041,CHLOROPROCAINE 3% 20ML PRES.FR,$56.10
10140,IMPRAMINE TAB 50MG,$2.32
10264,BETAMETHASONE SOLUSPAN 5 ML,$103.90
10330,CLOMIPRAMINE CAP 25MG,$21.60
10371,TRAZODONE TAB 100 MG,$1.80
10397,BUPROPION TAB 75MG,$3.30
10405,BUPROPION TAB 100MG,$4.10
10413,CEPACOL LOZENGES,$1.00
10421,VENLAFAXINE TAB 25MG,$4.30
10488,SERTALINE TAB 100MG,$1.10
10496,PAROXETINE TAB 20MG,$5.50
10637,BUSPIRONE TAB 10MG,$2.90
10645,BUMETANIDE INJ (BUMEX) 1MG/4ML,$7.65
10876,FLUPHENAZINE TAB 5MG,$1.90
10900,FLUPHENAZINE DECANOATE INJ.1ML,$302.60
10967,HALOPERIDOL 10MG TAB,$4.06
10983,HALOPERIDOL DECANOATE 100MG IN,$103.90
11007,HALOPERIDOL INJ 5 MG/ML,$17.99
11098,CLOZARIL TAB 25MG,$2.90
11114,CLOZARIL TAB 100MG,$6.90
11122,RISPERDAL TAB 1MG,$9.00
11148,RISPERDAL TAB 2MG,$13.80
11155,RISPERDAL TAB 3MG,$16.10
11205,LITHIUM CARBONATE CAP 150MG,$1.00
11213,LITHIUM CARBONATE CAP 600MG,$1.20
11247,LITHIUM CITRATE SYRUP 5 ML,$2.74
11304,DEXAMETHASONE INJ 20 MG/5ML,$7.08
11361,TERAZOSIN CAP 1MG,$3.40
11403,CHLORPROMAZINE TAB 25MG,$18.50
11411,CHLORPROMAZINE INJ 50MG/2ML,$65.06
11478,VANCOMYCIN 1000MG 20ML VIAL,$17.06
11650,DILTIAZEM INJ 25MG/5ML,$11.04
11700,CITRATE MAGNESIA 10 OZ,$4.10
11726,COSOPT OCUMETER PLUS OPHTH SOL,$214.41
11734,PAXIL TABLET 10MG PER 1/2TAB,$5.40
11767,CLINDAMYCIN CAP 150MG,$1.60
11775,IPRATROPIUM INH SOLN 2.5ML,$3.39
11783,SORBITOL SOLN 70 % 30ML UDC,$4.40
11809,ESMOLOL INJ 100MG/10ML,$21.80
11841,CLINDAMYCIN TOPICAL 1%,$98.70
11924,RISPERIDONE SOLN 1MG,$81.26
11932,DEXTROSE 15GM (40%) TUBE,$7.90
12054,PRIMAXIN  500MG 10ML,$33.50
12138,KEPPRA 250MG TABLET,$5.30
12161,DILTIAZEM CD CAPSULE 120MG,$1.41
12179,DILTIAZEM CD CAPSULE 180MG,$1.30
12203,IMIPENEM/CILASTATIN  250MG VL,$19.82
12237,COUMADIN TAB 1MG,$4.97
12351,MEXILETINE CAPSULE 150 MG,$5.20
12377,POLYMOX SUSP 250 MG/5ML 80 ML,$1.50
12393,SOTALOL TAB 80 MG,$4.80
12427,BENZTROPINE MESYLATE INJ 2MG,$125.00
12435,SULFASALAZINE EC TAB 500MG,$1.20
12450,BENZTROPINE MESYLATE TAB 0.5MG,$2.60
12476,LEVOTHROID TAB 112 MCG,$2.99
12477,SYNTHROID 56MCG PER 1/2 TABLET,$3.00
12484,BENZTROPINE MESYLATE TAB 2MG,$1.32
12500,BETAPACE 40MG PER 1/2 TABLET,$4.80
12518,BENZTROPINE MESYLATE TAB 1MG,$1.45
12526,BETOPTIC O/S O.25% 5ML,$560.70
12559,PENICILLIN V-K SUSP 250 MG/5ML,$0.97
12567,SUMATRIPTAN INJ 6MG/0.5ML VIAL,$141.00
12609,LACTULOSE SYRUP 30ML,$6.37
12674,TRIAMCINOLONE CR 0.1 % 80GM,$32.50
12708,CEFTAZIDIME 2GM VIAL,$30.08
12732,TENORMIN TABLET 12.5MG PER 1/2,$1.09
12757,COLCHICINE TAB 0.6 MG,$13.63
12773,ATENOLOL TAB 25MG,$1.89
12823,CYCLOPENTOLATE 0/S 2%,$62.10
12864,CALC. ACETATE(PHOSLO)TAB 667MG,$3.10
12898,AMOXICILLIN SUSP 125MG/5ML BTL,$1.50
12914,LOPERAMIDE CAP(IMODIUM)2 MG,$2.02
12922,HEPATITIS B VACCINE INJ.,$48.09
12948,POTASSIUM CHL 20MEQ/15ML UDC,$33.78
13003,NESACAINE-MPF 2% 20ML VIAL,$53.60
13060,ROCEPHIN 500MG VIAL,$6.87
13094,TOBRAMYCIN POWDER 1.2G VIAL,$324.20
13185,AMIODARONE TAB 200MG,$1.50
13186,CORDARONE 50MG PER 1/2 TAB,$15.88
13187,AMIODARONE 100MG TABLET,$32.10
13219,MAXITROL O/O 3.5 GM TUBE,$43.79
13227,BETAXOLOL O/S (BETOPTIC)0.5%,$101.46
13342,TANNIC ACID POWDER 15GM,$52.82
13359,PROCHLORPERAZINE TAB 5 MG,$1.50
13376,ROMAZICON INJ 0.5MG/5ML,$21.07
13391,ONDANSETRON TAB 4MG,$45.80
13466,QUETIAPINE FUMARATE 50MG TAB,$12.80
13516,BISACODYL ENEMA,$5.30
13524,RAMELTEON 8MG TABLET,$28.45
13557,CARBAMAZEPINE SUSP 200MG/10 UD,$8.65
13573,BRIMONIDINE 0.1% 5ML OPHTH SOL,$276.32
13581,NITROPRUSSIDE 50MG/100ML BTL,$294.00
13664,OMNICEF  250MG/5ML60ML BTL,$1.79
13672,CORGARD 20MG TABLET,$12.10
13771,CLINIMIX 5/15 2000ML IV BAG,$149.58
13839,HYDROCORTISONE CREAM  0.5%,$12.60
13961,TRUVADA 200MG/300MG TABLET,$104.23
14019,CORTISPORIN O/O 3.5 GM,$102.00
14050,PERMETHRIN SHAMPOO 1% 60ML KIT,$26.20
14076,CORTISPORIN OTIC SOLN 10 ML,$152.88
14233,COSYNTROPIN INJ 0.25MG,$205.97
14670,CYANOCOBALAMIN INJ 1000 MCG/ML,$21.70
14712,CYCLOMYDRIL O/S 2 ML,$136.89
15008,DOCUSATE CAP (COLACE) 100MG,$1.00
15033,EYE STREAM,$11.60
15453,EAR DROPS (CARBAMIDE PEROX) 1,$9.20
15875,DEMECLOCYCLINE TAB 150MG,$20.50
16113,VALPROIC ACID CAP 250MG,$2.30
16238,METHYLPRED SUSP INJ 40MG,$27.35
16493,KCENTRA  500 PER 1 UNIT IV,$6.41
16709,CAMPRAL 333MG TABLET,$3.10
16717,ENTERIC COATED ASPIRIN 81MG,$1.00
16774,DEXTROSE 50% (50 ML SYRINGE),$23.24
16881,MESALAMINE 400MG CAP DR,$8.32
16931,XOPENEX HFA 15GM INHALER,$1.90
16956,ACETAZOLAMIDE INJ 500MG,$99.70
16980,ACETAZOLAMIDE S.R CAP 500MG,$9.60
17012,ACETAZOLAMIDE TAB 250MG,$8.30
17089,ZOFRAN INJ 1MG X 4= (4MG),$6.00
17145,CYCLOSPORINE CAP 100MG,$31.50
17152,MEROPENEM/NACL 500MG/50ML IVPB,$54.94
17236,BENDAMUSTINE 100MG 4ML VIAL,"$4,789.70"
17293,CLINDAMYCIN 900MG/D5W 50ML BAG,$53.58
17301,ZOLPIDEM CR 6.25MG TABLET,$13.28
17327,KEPPRA ORAL SOL 500MG/5ML UDC,$18.22
17350,TAMBOCOR 50MG TABLET,$4.09
17392,ENALAPRIL 10MG TAB,$2.80
17509,VERAPAMIL TAB SR 120MG,$4.80
17533,AZITHROMYCIN SUSP 200MG/5ML,$11.60
17541,CREON 24 CAPSULE,$13.44
17566,ABRAXANE VIAL 100MG,"$2,596.30"
17608,CLINDAMYCIN 600MG/D5W 50ML BAG,$44.77
17616,ENALAPRIL TAB (VASOTEC)5 MG,$3.90
17632,CREON-12 CAPSULE,$7.00
17699,EPINEPHRINE VIAL 30 ML,$279.87
17715,ARISTADA 1064MG/3.9ML,$5.00
17756,PHENYTOIN SUSP 100 MG/4ML UDC,$17.03
17822,DIGOXIN TAB (LANOXIN) 0.25 MG,$3.50
17855,DIGOXIN TAB (LANOXIN) 0.125 MG,$5.20
17863,LANOXIN TAB 0.0625MG PER 1/2,$2.80
17889,PHENYTOIN CAP 100 MG,$3.60
17913,PHENYTOIN CHEW TAB 50MG,$1.48
17947,PHENYTOIN INJ 100 MG/2ML,$5.33
17996,MENINGOCOCCAL VACCINE,$223.06
18002,PHENYTOIN INJ 250MG/5ML,$8.38
18077,CARDURA TAB 1 MG,$2.30
18085,PLAVIX 300MG TABLET,$53.20
18093,TORADOL TAB 10MG,$4.50
18101,BUMETANIDE TAB (BUMEX) 1 MG,$5.17
18119,IBUPROFEN TAB 800 MG,$1.10
18176,FLUPHENAZINE TAB 2.5MG,$1.31
18242,ACETAMINOPHEN 160MG/5ML UDC,$3.18
18259,METHAZOLAMIDE TAB 25MG,$7.60
18267,CISATRACURIUM INJ 2MG/ML,$40.23
18341,ACETAMINOPHEN ELIXIR 325MG,$4.01
18374,DIHYDROERGOTAMINE  INJ. 1MG,$244.60
18382,CLINDAMYCIN 300MG/D5W 50ML BAG,$30.97
18432,DIVALPROEX TAB 250 MG,$3.70
18433,DESITIN OINT,$13.40
18440,ETODOLAC CAPSULE 300MG,$3.08
18465,CEFTRIAXONE INJ 250MG,$6.80
18499,LOPERAMIDE LIQ 5 ML,$3.72
18515,BETAMETHASONE DIPRO OINT 0.05%,$104.40
18556,WATER STERILE 50ML VIAL,$31.03
18564,ROCURONIUM INJ 50MG/5ML,$16.51
18580,PYRAZINAMIDE TAB 500MG,$12.35
18614,AMILORIDE TAB (MIDAMOR) 5 MG,$2.60
18623,LUPRON DEPOT KIT 7.5MG,"$4,037.30"
18663,OXYBUTYNIN TAB (DITROPAN) 5 MG,$1.30
18705,MAG. SULF/D5W 1GM 100ML,$16.19
18739,CEFTIN TAB 500 MG,$17.34
18747,RISEDRONATE 35MG TAB,$99.12
18861,NITAZOXANIDE 100MG/5ML 60MLBTL,$167.90
18895,IDARUCIZUMAB 2.5GM 50ML VIAL,"$4,840.00"
18960,VALPROATE INJ 500MG,$9.69
18986,BSS IRRIGATION SOL 500ML BTL,$68.70
19026,DOMEBORO PACKETS,$8.20
19075,CETUXIMAB 200MG 100ML VIAL,"$2,369.04"
19083,DENOSUMAB 60MG 1ML SYRINGE,"$3,276.60"
19273,PEGFILGRASTIM 6MG ONPRO KIT,"$17,207.80"
19307,GEMCITABINE 200MG VIAL,$64.27
19356,ISOSORBIDE TAB 30 MG,$2.80
19364,DALVANCE 500MG INJECTION,"$2,951.62"
19406,MEPOLIZUMAB 100MG VIAL,$20.00
19455,BARIUM SULFATE SUSP  1900ML,$82.60
19463,DURVALUMAB 120MG 2.4ML VIAL,"$1,655.07"
19471,DIMENHYDRINATE TAB 50MG,$1.00
19554,BARIUM SULFATE SUSP 176GM,$9.52
19563,DACARBAZINE 200MG VIAL,$75.23
19620,BISACODYL SUPP 10 MG,$1.50
19653,BISACODYL TAB 5 MG,$1.00
19729,DURATEARS O/O 3.5 GM,$13.10
19745,DYAZIDE CAP,$1.20
19752,BARIUM SULFATE SUSP 98% 340GM,$13.10
19851,BARIUM SULFATE 230ML TUBE,$97.00
19869,DICLOXACILLIN CAP 250MG,$3.00
19976,ERYTHROMYCIN TAB (BASE) 250 MG,$17.10
19984,ASPIRIN EC TAB 325MG,$1.00
20057,BARIUM SULFATE 240ML SUSP,$32.20
20081,PROHANCE INJ 15ML,$168.27
20156,SIMETHI/SOD BICARB/CIT ACID PK,$5.70
20172,MORPHINE ORAL CONC 10MG/0.5ML,$7.64
20263,CONRAY VIAL 60% 50ML,$38.31
20362,CONRAY-43 VIAL 50ML,$43.70
20453,BARIUM SULFATE SUSP 600ML,$72.12
20560,AMITRYPTYLLINE TAB 10MG,$1.00
20578,PROHANCE VIAL 5ML,$68.22
20586,AMITRYPTYLLINE TAB 25MG,$1.60
20610,AMITRYPTYLLINE TAB 50MG,$2.40
20669,CYSTO-CONRAY II 17.2% 250ML,$58.66
20685,ISOVUE-370 100ML VIAL,$192.72
20834,EPHEDRINE SULF INJ (50MG/1ML),$95.45
20891,ISOVUE-300 VIAL 50ML,$106.25
21022,EPINEPHRINE INJ 1:10;000 1.5IN,$17.29
21188,ISOVUE-M 300 INJ 15ML,$169.90
21550,ARGATROBAN VIAL 250MG/2.5ML,$985.20
