063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC",41173
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,19196.83333
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,16468.72727
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,14881.86957
067,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,No Cases
068,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,No Cases
069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,12588.33333
070,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,30312.83333
071,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,20113
072,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,11817.75
073,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,6929
074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,8040.4
075,VIRAL MENINGITIS W CC/MCC,No Cases
076,VIRAL MENINGITIS W/O CC/MCC,9195
077,HYPERTENSIVE ENCEPHALOPATHY W MCC,No Cases
078,HYPERTENSIVE ENCEPHALOPATHY W CC,30991.5
079,HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,14805
080,NONTRAUMATIC STUPOR & COMA W MCC,No Cases
081,NONTRAUMATIC STUPOR & COMA W/O MCC,No Cases
082,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",No Cases
083,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",23778
084,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",9925
085,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",21036
086,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",20385
087,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",12112
088,CONCUSSION W MCC,35222.66667
089,CONCUSSION W CC,14102
090,CONCUSSION W/O CC/MCC,No Cases
091,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,30622.5
092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,32737.66667
093,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,23969.66667
094,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,No Cases
095,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,No Cases
096,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,No Cases
097,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,58721
098,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,13164
099,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,7477
100,SEIZURES W MCC,14807.5
101,SEIZURES W/O MCC,12969.70588
102,HEADACHES W MCC,No Cases
103,HEADACHES W/O MCC,21794.66667
113,ORBITAL PROCEDURES W CC/MCC,No Cases
114,ORBITAL PROCEDURES W/O CC/MCC,No Cases
115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,No Cases
116,INTRAOCULAR PROCEDURES W CC/MCC,No Cases
117,INTRAOCULAR PROCEDURES W/O CC/MCC,No Cases
121,ACUTE MAJOR EYE INFECTIONS W CC/MCC,No Cases
122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,8933
123,NEUROLOGICAL EYE DISORDERS,35037
124,OTHER DISORDERS OF THE EYE W MCC,No Cases
125,OTHER DISORDERS OF THE EYE W/O MCC,No Cases
129,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,No Cases
130,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,No Cases
131,CRANIAL/FACIAL PROCEDURES W CC/MCC,No Cases
132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,No Cases
133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",No Cases
134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",No Cases
135,SINUS & MASTOID PROCEDURES W CC/MCC,No Cases
136,SINUS & MASTOID PROCEDURES W/O CC/MCC,No Cases
137,MOUTH PROCEDURES W CC/MCC,No Cases
138,MOUTH PROCEDURES W/O CC/MCC,No Cases
139,SALIVARY GLAND PROCEDURES,No Cases
146,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",14603
147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",8378
148,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",No Cases
149,DYSEQUILIBRIUM,14252.25
150,EPISTAXIS W MCC,No Cases
151,EPISTAXIS W/O MCC,No Cases
152,OTITIS MEDIA & URI W MCC,No Cases
153,OTITIS MEDIA & URI W/O MCC,17109
154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",22339
155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",21298
156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",No Cases
157,DENTAL & ORAL DISEASES W MCC,No Cases
158,DENTAL & ORAL DISEASES W CC,No Cases
159,DENTAL & ORAL DISEASES W/O CC/MCC,6715.5
163,MAJOR CHEST PROCEDURES W MCC,No Cases
164,MAJOR CHEST PROCEDURES W CC,No Cases
165,MAJOR CHEST PROCEDURES W/O CC/MCC,No Cases
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,27669
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,No Cases
168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,7921
175,PULMONARY EMBOLISM W MCC,14343.5
176,PULMONARY EMBOLISM W/O MCC,13212.71429
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,15835.83333
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,21365.3
179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,21619
180,RESPIRATORY NEOPLASMS W MCC,No Cases
181,RESPIRATORY NEOPLASMS W CC,19120.2
182,RESPIRATORY NEOPLASMS W/O CC/MCC,No Cases
183,MAJOR CHEST TRAUMA W MCC,31875
184,MAJOR CHEST TRAUMA W CC,11490.42857
185,MAJOR CHEST TRAUMA W/O CC/MCC,15917.5
186,PLEURAL EFFUSION W MCC,13210
187,PLEURAL EFFUSION W CC,7383
188,PLEURAL EFFUSION W/O CC/MCC,16826.5
189,PULMONARY EDEMA & RESPIRATORY FAILURE,14743.46386
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,13364.07317
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,15292.56
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,11710.57143
193,SIMPLE PNEUMONIA & PLEURISY W MCC,15062.10938
194,SIMPLE PNEUMONIA & PLEURISY W CC,15117.70968
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,12859
196,INTERSTITIAL LUNG DISEASE W MCC,10886.5
197,INTERSTITIAL LUNG DISEASE W CC,No Cases
198,INTERSTITIAL LUNG DISEASE W/O CC/MCC,No Cases
199,PNEUMOTHORAX W MCC,16631.66667
200,PNEUMOTHORAX W CC,17802.8
201,PNEUMOTHORAX W/O CC/MCC,6392.666667
202,BRONCHITIS & ASTHMA W CC/MCC,11251.41667
203,BRONCHITIS & ASTHMA W/O CC/MCC,6041
204,RESPIRATORY SIGNS & SYMPTOMS,25258.5
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,9054
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,12322.66667
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),81767.81818
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,35928.125
215,OTHER HEART ASSIST SYSTEM IMPLANT,No Cases
216,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,No Cases
217,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,No Cases
218,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC,No Cases
219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,No Cases
220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,No Cases
221,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,No Cases
222,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,70332
223,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,No Cases
224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,No Cases
225,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,No Cases
226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,No Cases
227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,106233.3333
228,OTHER CARDIOTHORACIC PROCEDURES W MCC,No Cases
229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,No Cases
231,CORONARY BYPASS W PTCA W MCC,No Cases
232,CORONARY BYPASS W PTCA W/O MCC,No Cases
233,CORONARY BYPASS W CARDIAC CATH W MCC,No Cases
234,CORONARY BYPASS W CARDIAC CATH W/O MCC,No Cases
235,CORONARY BYPASS W/O CARDIAC CATH W MCC,No Cases
236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,No Cases
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,30595
240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,No Cases
241,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC,No Cases
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,53228
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,38171.6
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,21478
245,AICD GENERATOR PROCEDURES,No Cases
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,No Cases
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,No Cases
248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,No Cases
249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,No Cases
250,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,No Cases
251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,No Cases
252,OTHER VASCULAR PROCEDURES W MCC,No Cases
253,OTHER VASCULAR PROCEDURES W CC,20362
254,OTHER VASCULAR PROCEDURES W/O CC/MCC,38851.5
255,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,No Cases
256,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,36035
257,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W/O CC/MCC,No Cases
258,CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC,No Cases
259,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,33791
260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,No Cases
261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,No Cases
262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,No Cases
263,VEIN LIGATION & STRIPPING,No Cases
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,No Cases
265,AICD LEAD PROCEDURES,No Cases
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,No Cases
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,No Cases
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,No Cases
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,No Cases
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,No Cases
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,No Cases
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,No Cases
273,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,No Cases
274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,No Cases
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",18671.95
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",12881.64286
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",8518.647059
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",14834
284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC",No Cases
285,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC",No Cases
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",25859
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",16084.5
288,ACUTE & SUBACUTE ENDOCARDITIS W MCC,No Cases
289,ACUTE & SUBACUTE ENDOCARDITIS W CC,No Cases
290,ACUTE & SUBACUTE ENDOCARDITIS W/O CC/MCC,No Cases
291,HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),14910.43373
292,HEART FAILURE & SHOCK W CC,12403.875
293,HEART FAILURE & SHOCK W/O CC/MCC,8752.190476
294,DEEP VEIN THROMBOPHLEBITIS W CC/MCC,No Cases
295,DEEP VEIN THROMBOPHLEBITIS W/O CC/MCC,No Cases
296,"CARDIAC ARREST, UNEXPLAINED W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)",8600
297,"CARDIAC ARREST, UNEXPLAINED W CC",No Cases
298,"CARDIAC ARREST, UNEXPLAINED W/O CC/MCC",No Cases
299,PERIPHERAL VASCULAR DISORDERS W MCC,10025
300,PERIPHERAL VASCULAR DISORDERS W CC,10897.66667
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,8850
302,ATHEROSCLEROSIS W MCC,21449
303,ATHEROSCLEROSIS W/O MCC,11212.92857
304,HYPERTENSION W MCC,20113
305,HYPERTENSION W/O MCC,11264.0625
306,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,No Cases
307,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,8091
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,16174.55263
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,13158.36842
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,8207.66129
311,ANGINA PECTORIS,7626.25
312,SYNCOPE & COLLAPSE,14345.33333
313,CHEST PAIN,8031.142857
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,25723.33333
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,13180.22222
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,8225.666667
326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",64665.75
327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",36416
328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",25342.25
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,57485.53333
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,42594
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,29857.21053
332,RECTAL RESECTION W MCC,No Cases
333,RECTAL RESECTION W CC,No Cases
334,RECTAL RESECTION W/O CC/MCC,No Cases
335,PERITONEAL ADHESIOLYSIS W MCC,48450.66667
336,PERITONEAL ADHESIOLYSIS W CC,40005.25
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,25827.83333
338,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,30021
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,32975.5
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,24167
341,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,No Cases
342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,32469
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,20271.25
344,MINOR SMALL & LARGE BOWEL PROCEDURES W MCC,No Cases
345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,35021
346,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,23164
347,ANAL & STOMAL PROCEDURES W MCC,46950.5
348,ANAL & STOMAL PROCEDURES W CC,26692
349,ANAL & STOMAL PROCEDURES W/O CC/MCC,No Cases
350,INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,39485
351,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,No Cases
352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,14857
353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,No Cases
354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,37746
355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,25156
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,17098
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,39035.33333
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,21268
368,MAJOR ESOPHAGEAL DISORDERS W MCC,26759
369,MAJOR ESOPHAGEAL DISORDERS W CC,24872
370,MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,No Cases
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,23871.11111
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,20824.5
373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,12678.5
374,DIGESTIVE MALIGNANCY W MCC,1485
375,DIGESTIVE MALIGNANCY W CC,23927
376,DIGESTIVE MALIGNANCY W/O CC/MCC,No Cases
377,G.I. HEMORRHAGE W MCC,29935.41667
378,G.I. HEMORRHAGE W CC,17370.48454
379,G.I. HEMORRHAGE W/O CC/MCC,13340
380,COMPLICATED PEPTIC ULCER W MCC,25235
381,COMPLICATED PEPTIC ULCER W CC,20691.66667
382,COMPLICATED PEPTIC ULCER W/O CC/MCC,7833
383,UNCOMPLICATED PEPTIC ULCER W MCC,No Cases
384,UNCOMPLICATED PEPTIC ULCER W/O MCC,13954.75
385,INFLAMMATORY BOWEL DISEASE W MCC,No Cases
386,INFLAMMATORY BOWEL DISEASE W CC,12339.16667
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,13275
388,G.I. OBSTRUCTION W MCC,31131
389,G.I. OBSTRUCTION W CC,13590.18519
390,G.I. OBSTRUCTION W/O CC/MCC,11178.41935
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",19897.58333
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",13344.37879
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,25322.71429
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,8091.857143
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,13086.42857
405,"PANCREAS, LIVER & SHUNT PROCEDURES W MCC",No Cases
406,"PANCREAS, LIVER & SHUNT PROCEDURES W CC",No Cases
407,"PANCREAS, LIVER & SHUNT PROCEDURES W/O CC/MCC",No Cases
408,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,No Cases
409,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC,No Cases
410,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC/MCC,No Cases
411,CHOLECYSTECTOMY W C.D.E. W MCC,50405
412,CHOLECYSTECTOMY W C.D.E. W CC,No Cases
413,CHOLECYSTECTOMY W C.D.E. W/O CC/MCC,44570
414,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,25912
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,66811.5
416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,27251.6
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,32523.75
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,26656
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,22559.13043
420,HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,No Cases
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,No Cases
422,HEPATOBILIARY DIAGNOSTIC PROCEDURES W/O CC/MCC,No Cases
423,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC,No Cases
424,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W CC,39956
425,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W/O CC/MCC,No Cases
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,20139.66667
433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,9866.888889
434,CIRRHOSIS & ALCOHOLIC HEPATITIS W/O CC/MCC,9878.5
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,9710
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,10525.66667
437,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC,11092
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,28739.11765
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,14625.33333
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,11561.18182
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC",17246.5
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC",11233
443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC",No Cases
444,DISORDERS OF THE BILIARY TRACT W MCC,25919.5
445,DISORDERS OF THE BILIARY TRACT W CC,18749.75
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,4759
453,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC,No Cases
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,No Cases
455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,No Cases
