Enc - MS DRG,DRG Desc,Avg Charges
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"37,028"
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"29,019"
432,CIRRHOSIS  ALCOHOLIC HEPATITIS W MCC,"52,896"
433,CIRRHOSIS  ALCOHOLIC HEPATITIS W CC,"27,546"
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"92,192"
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"29,239"
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"21,617"
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","28,754"
445,DISORDERS OF THE BILIARY TRACT W CC,"28,298"
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"55,109"
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,"45,622"
469,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,"51,692"
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"31,550"
481,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"40,391"
482,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"32,825"
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"37,746"
493,"LOWER EXTREM  HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","39,038"
494,"LOWER EXTREM  HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","31,929"
515,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W MCC,"61,920"
516,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W CC,"49,473"
517,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W/O CC/MCC,"32,695"
520,BACK  NECK PROC EXC SPINAL FUSION W/O CC/MCC,"26,442"
552,MEDICAL BACK PROBLEMS W/O MCC,"25,693"
558,"TENDONITIS, MYOSITIS  BURSITIS W/O MCC","22,008"
563,"FX, SPRN, STRN  DISL EXCEPT FEMUR, HIP, PELVIS  THIGH W/O MCC","16,522"
580,"OTHER SKIN, SUBCUT TISS  BREAST PROC W CC","36,180"
602,CELLULITIS W MCC,"25,860"
603,CELLULITIS W/O MCC,"19,554"
605,TRAUMA TO THE SKIN SUBCUT TISS  BREAST W/O MCC,"23,663"
617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT, METABOL DIS W CC","47,901"
621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC,"30,774"
637,DIABETES W MCC,"34,910"
638,DIABETES W CC,"20,641"
639,DIABETES W/O CC/MCC,"14,866"
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","28,820"
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","21,398"
669,TRANSURETHRAL PROCEDURES W CC,"28,338"
682,RENAL FAILURE W MCC,"34,434"
683,RENAL FAILURE W CC,"23,667"
684,RENAL FAILURE W/O CC/MCC,"17,736"
689,KIDNEY  URINARY TRACT INFECTIONS W MCC,"24,757"
690,KIDNEY  URINARY TRACT INFECTIONS W/O MCC,"19,254"
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"21,375"
698,OTHER KIDNEY  URINARY TRACT DIAGNOSES W MCC,"43,971"
699,OTHER KIDNEY  URINARY TRACT DIAGNOSES W CC,"24,165"
708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,"30,359"
742,UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,"31,887"
743,UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"18,500"
765,CESAREAN SECTION W CC/MCC,"22,443"
766,CESAREAN SECTION W/O CC/MCC,"18,329"
767,VAGINAL DELIVERY W STERILIZATION /OR DC,"18,898"
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"15,077"
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"13,062"
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"13,068"
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","11,679"
791,"NEONATE, BIRTHWT >2499G, W/O SIGNIF O.R. PROC, W MINOR PROB","77,762"
792,0,"29,596"
793,FULL TERM NEONATE W MAJOR PROBLEMS,"19,503"
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"7,938"
795,NORMAL NEWBORN,"4,120"
811,RED BLOOD CELL DISORDERS W MCC,"35,389"
812,RED BLOOD CELL DISORDERS W/O MCC,"24,970"
813,COAGULATION DISORDERS,"27,116"
853,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W MCC,"138,018"
862,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W MCC,"39,850"
863,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W/O MCC,"21,891"
866,VIRAL ILLNESS W/O MCC,"22,819"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"42,487"
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"32,323"
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"20,147"
908,OTHER O.R. PROCEDURES FOR INJURIES W CC,"44,459"
917,POISONING  TOXIC EFFECTS OF DRUGS W MCC,"28,027"
918,POISONING  TOXIC EFFECTS OF DRUGS W/O MCC,"15,702"
920,COMPLICATIONS OF TREATMENT W CC,"30,766"
948,SIGNS  SYMPTOMS W/O MCC,"22,104"
(blank),,"57,605"
Grand Total,,
