Prisma Health - Upstate CDM,Valid Date: 4/3/2019,,,
PX,PX00435560000042,HC ABLATION PERC PLEXUS NERVE,"$4,594.80 ",
PX,PX00435560000043,HC ABLATION RENAL TUMOR PERCUTANEOUS UNILATERAL RF,"$2,281.80 ",
PX,PX00435560000044,HC ABLATION TUMOR RENAL UNILATERAL PERC CRYOSURGICAL,"$6,402.40 ",
PX,PX00435560000045,HC ABLATION TUMR LIVER RADIO PER,"$2,498.70 ",
PX,PX00435560000046,HC ABLATION TUMR PULMONARY UNI 1+,"$5,276.70 ",
PX,PX00435560000047,HC ABORTION INDUC W/SUPP VAG,"$2,944.00 ",
PX,PX00435560000048,HC ACETONE/KETONES SERUM QUALITATIVE,$38.40 ,
PX,PX00435560000049,HC ACETONE/KETONES SERUM QUANTITATIVE,$84.80 ,
PX,PX00435560000050,HC ACETYLCHOL RECEPTOR ASSAY NON-ENDOCRIN,$241.20 ,
PX,PX00435560000051,HC ACID REFLUX TEST NASAL INTLUM,"$1,053.30 ",
PX,PX00435560000052,HC ACID RFLX TST W/MUCUS PH MONIT,"$2,002.20 ",
PX,PX00435560000053,HC ACTH,$321.70 ,
PX,PX00435560000054,HC ACTIVATED PROTEIN C RESISTANCE,$413.10 ,
PX,PX00435560000055,HC ACUCAIR RENT/DAY,$56.90 ,
PX,PX00435560000056,HC ACUTE HEPATITIS PANEL,$473.60 ,
PX,PX00435560000057,HC ACYLCARNITINES QUANTITATIVE EACH SPECIMEN,$271.70 ,
PX,PX00435560000058,HC ADALIMUMAB INJ (PT. SUPPLIED),$0.01 ,Patient Supplied
PX,PX00435560000059,HC ADD ECHO DOPPLER W/O INTER,$381.00 ,
PX,PX00435560000060,HC ADENOIDECTOMY,"$3,289.60 ",
PX,PX00435560000061,HC ADENOVIRUS ANTIBODY,$72.90 ,
PX,PX00435560000062,HC ADMIN HEPATITIS B VACC,$51.00 ,
PX,PX00435560000063,HC ADMIN INFLUENZA VIRUS VAC,$51.00 ,
PX,PX00435560000064,HC ADMIN PNEUMOCOCCAL VAC,$51.00 ,
PX,PX00435560000065,HC ADMIN SET FLUID WARMING 3,$656.30 ,
PX,PX00435560000066,HC AEROGEN SOLO OR/ANES KIT,$245.20 ,
PX,PX00435560000067,HC AEROSOL INHALATION PENTAMIDINE,$236.00 ,
PX,PX00435560000068,HC AFB CULTURE AFBC,$170.10 ,
PX,PX00435560000069,HC AFO ANKLE GAUNTLET,$102.30 ,
PX,PX00435560000070,HC AFP/AMNIOTIC FLUID,$29.70 ,
PX,PX00435560000071,HC AGGLUTININS FEBRILE EA ANTIGEN,$111.00 ,
PX,PX00435560000072,HC ALBUMIN OTHER SOURCE,$54.00 ,
PX,PX00435560000073,HC ALBUMIN SERUM PLASMA OR WHOLE BLOOD,$14.00 ,
PX,PX00435560000074,HC ALCOHOL/SUBSTANCE ABUSE ASSESS/INTERV 15-30 MIN,$150.20 ,
PX,PX00435560000075,HC ALCOHOL/SUBSTANCE SBI SERVICES 15-30MIN,$154.50 ,
PX,PX00435560000076,"HC ALCOHOLS, GC",$67.00 ,
PX,PX00435560000077,HC ALDOLASE,$95.00 ,
PX,PX00435560000078,HC ALDOSTERONE,$253.80 ,
PX,PX00435560000079,"HC ALKALOIDS, NOS, LC",$159.30 ,
PX,PX00435560000080,HC ALLERGEN SPEC IGE RECOMBINANT/PURIFIED COMPNT EA,$57.60 ,
PX,PX00435560000081,HC ALLERGEN SPECIFIC IGE QN/SQ EACH ALLERGEN,$57.60 ,
PX,PX00435560000082,HC ALLERGEN SPECIFIC IGG QN/SQ EA,$59.40 ,
PX,PX00435560000083,HC ALLODERM PER SQ CM,$261.60 ,
PX,PX00435560000084,HC ALLOGRAFT NUSHIELD PER SQ CM,$0.01 ,Patient Supplied
PX,PX00435560000085,HC ALLOGRAFT TRINITY ELITE LG,"$10,487.80 ",
PX,PX00435560000086,HC ALPHA 1 ANTITRYPSIN PHENOTYPE,$203.60 ,
PX,PX00435560000087,HC ALPHA 1 ANTITRYPSIN TOTAL,$173.70 ,
PX,PX00435560000088,HC ALPHA-2 ANTIPLASMIN,$263.10 ,
PX,PX00435560000089,HC ALPHA-FETOPROTEIN SERUM,$157.20 ,
PX,PX00435560000090,HC ALT (SGPT),$20.00 ,
PX,PX00435560000091,HC ALUMINUM,$67.00 ,
PX,PX00435560000092,HC AMIKACIN,$116.10 ,
PX,PX00435560000093,HC AMINO ACID QNT 6 OR MORE EA SP,$420.90 ,
PX,PX00435560000094,HC AMINO ACID SINGLE QT EA,$162.50 ,
PX,PX00435560000095,HC AMINO ACIDS 2-5 ACIDS QUAN,$132.60 ,
PX,PX00435560000096,HC AMINOLEYULINIC ACID,$153.70 ,
PX,PX00435560000097,HC AMMONIA,$59.00 ,
PX,PX00435560000098,HC AMNIOCENTESIS DIAGNOSTIC,$668.50 ,
PX,PX00435560000099,"HC AMPHETAMINES, 1 OR 2, GC",$56.70 ,
PX,PX00435560000100,HC AMYLASE,$87.00 ,
PX,PX00435560000101,HC ANALY CYTOGEN MICROARRAY COPY,"$2,411.00 ",
PX,PX00435560000102,HC ANALYSIS BRAF GENE,$631.20 ,
PX,PX00435560000103,HC ANALYSIS CFTR GENE COMMON VARIANTS,$799.60 ,
PX,PX00435560000104,HC ANALYSIS CYP2C9 GENE COMMON VARIANTS,$777.40 ,
PX,PX00435560000105,HC ANALYSIS CYP2D6 GENE COMMON VARIANTS,$555.60 ,
PX,PX00435560000106,HC ANALYSIS F2 GENE 20210G>A VARIANT,$428.60 ,
PX,PX00435560000107,HC ANALYSIS F5 GENE LEIDEN VARIANT,$101.00 ,
PX,PX00435560000108,HC ANALYSIS FLT3 GENE,$366.00 ,
PX,PX00435560000109,HC ANALYSIS FRAGILE X SYNDRONE,$577.80 ,
PX,PX00435560000110,HC ANALYSIS GENE BRCA1&2 FULL SEQ & FULL DUP/DEL,"$2,910.10 ",
PX,PX00435560000111,HC ANALYSIS GENE CEBPA FULL SEQUENCE,$489.10 ,
PX,PX00435560000112,HC ANALYSIS GENE CFTR DUPLIC/ DELET VARIANTS,"$1,870.50 ",
PX,PX00435560000113,HC ANALYSIS GENE CFTR FULL SEQUENCE,"$1,870.50 ",
PX,PX00435560000114,HC ANALYSIS GENE CFTR INTRON 8 POLY,$210.00 ,
PX,PX00435560000115,HC ANALYSIS GENE CONNEXIN 26 FULL SEQUENCE,$694.80 ,
PX,PX00435560000116,HC ANALYSIS GENE EGFR COMMON VARIENTS,"$1,161.60 ",
PX,PX00435560000117,HC ANALYSIS GENE HBA1/ HBA2 COMMON VARIANTS,$294.00 ,
PX,PX00435560000118,HC ANALYSIS GENE IKBKAP COMMON VARIANTS,$411.40 ,
PX,PX00435560000119,HC ANALYSIS GENE KIT TARGETED SEQ,$475.90 ,
PX,PX00435560000120,HC ANALYSIS GENE MLH1 FULL SEQUENCE,$852.10 ,
PX,PX00435560000121,HC ANALYSIS GENE MSH2 FULL SEQUENCE,$382.00 ,
PX,PX00435560000122,HC ANALYSIS GENE MSH6 FULL SEQUENCE,$642.00 ,
PX,PX00435560000123,HC ANALYSIS GENE PMP22,"$3,957.80 ",
PX,PX00435560000124,"HC ANALYSIS GENE PMP22, FULL SEQUENCE","$3,957.80 ",
PX,PX00435560000125,HC ANALYSIS GENE PMS2 FULL SEQUENCE,$839.00 ,
PX,PX00435560000126,HC ANALYSIS GENE STR MARKERS,$589.90 ,
PX,PX00435560000127,HC ANALYSIS GENE UGT1A1 COMMON VARIANTS,$497.10 ,
PX,PX00435560000128,HC ANALYSIS HEPAITIS B VIRUS,$593.70 ,
PX,PX00435560000129,HC ANALYSIS HFE GENE COMMON VARIANTS,$377.00 ,
PX,PX00435560000130,HC ANALYSIS IGH GENE REARRANGE AMPLIFIED METHODOLOGY,$295.00 ,
PX,PX00435560000131,HC ANALYSIS IGH VARIANTIBODYLE REGION MUTATION,$659.50 ,
PX,PX00435560000132,HC ANALYSIS IGK GENE REARRANGEMENT,$215.00 ,
PX,PX00435560000133,HC ANALYSIS JAK2 GENE,$502.20 ,
PX,PX00435560000134,HC ANALYSIS KRAS GENE VARIANTS EXON 2,$504.20 ,
PX,PX00435560000135,HC ANALYSIS MECP2 DUPLIC/DELET VARIENTS,$722.00 ,
PX,PX00435560000136,"HC ANALYSIS MICROARRAY ANALY, SNP VARIENTS","$3,126.90 ",
PX,PX00435560000137,HC ANALYSIS MICROSATELLITE INSTABLITY,$486.00 ,
PX,PX00435560000138,HC ANALYSIS MLH1 DUPLIC/DELET VARIANTS,"$1,979.40 ",
PX,PX00435560000139,HC ANALYSIS MSH2 DUPLIC/DELET VARIANTS,"$2,083.30 ",
PX,PX00435560000140,HC ANALYSIS MSH6 DUPLIC/DELET VARIANTS,"$2,083.30 ",
PX,PX00435560000141,HC ANALYSIS MTHFR GENE COMMON VARIANTS,$421.50 ,
PX,PX00435560000142,HC ANALYSIS NPM1 GENE EXON 12 VARIANTS,$461.80 ,
PX,PX00435560000143,HC ANALYSIS PAIN PUMP W/O REPROGRAM,$704.90 ,
PX,PX00435560000144,HC ANALYSIS PAIN PUMP W/PROG/REFIL,"$1,044.80 ",
PX,PX00435560000145,HC ANALYSIS PML/RAR COMMON BREAKPOINTS,$358.00 ,
PX,PX00435560000146,HC ANALYSIS PMS2 DUPLIC/DELET VARIANTS,"$2,083.30 ",
PX,PX00435560000147,HC ANALYSIS PRADER WILLI SYNDRONE,$488.00 ,
PX,PX00435560000148,HC ANALYSIS PTEN GENE FULL SEQUENCE,"$1,922.90 ",
PX,PX00435560000149,HC ANALYSIS PUMP PAIN MGT W/REPROGRAMMING,$827.00 ,
PX,PX00435560000150,HC ANALYSIS RETT SYNDROME FULL SEQUENCE,"$1,027.50 ",
PX,PX00435560000151,HC ANALYSIS SERPINAL 1 GENE COMMON VARIANTS,$330.00 ,
PX,PX00435560000152,HC ANALYSIS T-CELL GENE REARRANGEMENT,$486.00 ,
PX,PX00435560000153,HC ANALYSIS TRANS BCR/ABL1 MINOR BREAKPOINT,$318.00 ,
PX,PX00435560000154,HC ANALYSIS TRB@ GENE REARRAGNE AMPLIFY,$324.00 ,
PX,PX00435560000155,HC ANDROSTENDIONE,$228.00 ,
PX,PX00435560000156,HC ANES NEURAXIAL LABOR/VAG DEL,$820.00 ,
PX,PX00435560000157,HC ANESTHESIA GENERAL FACILITY EA ADD'L 15 MIN,$450.00 ,
PX,PX00435560000158,HC ANESTHESIA GENERAL FACILITY INTL 30 MIN,"$1,300.00 ",
PX,PX00435560000159,HC ANGIOPLASTY PULM ART 1ST VESSEL,"$12,505.00 ",
PX,PX00435560000160,HC ANGIOTENSIN-1 CONV ENZY,$207.60 ,
PX,PX00435560000161,HC ANLYS NEUR SMP W/PROG,$622.10 ,
PX,PX00435560000162,HC ANLYS PAIN PUMP W/PROG/REFI,$831.80 ,
PX,PX00435560000163,HC ANLYS PCMKR DUAL TELEPHONIC,$218.60 ,
PX,PX00435560000164,HC ANNUAL WELLNESS VISIT SUBSEQUENT,$118.40 ,
PX,PX00435560000165,"HC ANNUAL WELLNESS VISIT, INITIAL",$159.70 ,
PX,PX00435560000166,HC ANORECTAL MANOMETRY,"$1,503.00 ",
PX,PX00435560000167,HC ANOSCOPY,$283.40 ,
PX,PX00435560000168,HC ANTENNA PERCUTANEOUS THERMOSPHERE SHRT/STD,"$9,987.50 ",
PX,PX00435560000169,HC ANTI TETANUS ANTIBODY,$225.60 ,
PX,PX00435560000170,HC ANTIBODY DETECTION NOS IF,$148.50 ,
PX,PX00435560000171,HC ANTIBODY ELUTION,$252.00 ,
PX,PX00435560000172,HC ANTIBODY ID EACH PANEL,$183.30 ,
PX,PX00435560000173,HC ANTIBODY SCREEN,$96.70 ,
PX,PX00435560000174,HC ANTIBODYORTION INDUCED D&C,"$2,170.00 ",
PX,PX00435560000175,HC ANTIDIURETIC HORMONE (ADH),$179.20 ,
PX,PX00435560000176,"HC ANTIEPILEPTICS, NOS; 1-3",$120.70 ,
PX,PX00435560000177,HC ANTIGEN TEST DONOR BLD EACH AG,$154.00 ,
PX,PX00435560000178,HC ANTINUCLEAR AB TITER,$95.00 ,
PX,PX00435560000179,HC ANTINUCLEAR ANTIBODY,$105.00 ,
PX,PX00435560000180,"HC ANTIPSYCHOTICS, NOS; 1-3",$115.00 ,
PX,PX00435560000181,HC ANTITHROMBIN III ACTIVITY,$263.30 ,
PX,PX00435560000182,HC ANTITHROMBIN III ANTIGEN,$324.00 ,
PX,PX00435560000183,HC APC GENE ANALYSIS,$780.00 ,
PX,PX00435560000184,HC APC GENE ANALYSIS DUP/DEL,"$2,573.30 ",
PX,PX00435560000185,HC APLIGRAF PER SQ CM,$73.60 ,
PX,PX00435560000186,"HC APOLIPOPROTEIN, EACH",$162.00 ,
PX,PX00435560000187,HC APP SPLNT FNGR STATIC,$238.00 ,
PX,PX00435560000188,HC APPL CAST CLUBFOOT,$462.30 ,
PX,PX00435560000189,HC APPL CAST HAND/FOREARM,$374.40 ,
PX,PX00435560000190,HC APPL CAST LEG LONG,$937.50 ,
PX,PX00435560000191,HC APPL CAST LEG RIGID,$601.20 ,
PX,PX00435560000192,HC APPL CAST SPICA HIP BOTH LEGS,"$1,202.30 ",
PX,PX00435560000193,HC APPL CAST SPICA HIP ONE LEG,$634.80 ,
PX,PX00435560000194,HC APPL LONG ARM CAST,$784.50 ,
PX,PX00435560000195,HC APPL LOWER LEG SPLINT,$332.00 ,
PX,PX00435560000196,HC APPL SHORT ARM CAST,$592.50 ,
PX,PX00435560000197,HC APPL SHORT LEG CAST,$520.90 ,
PX,PX00435560000198,HC APPL SPLINT ARM LONG,$358.10 ,
PX,PX00435560000199,HC APPL SPLINT ARM SHORT STATIC,$339.60 ,
PX,PX00435560000200,HC APPL SPLINT LEG LONG,$530.60 ,
PX,PX00435560000201,HC APPL SPLNT FNGR STATIC,$258.30 ,
PX,PX00435560000202,HC APPLICATON ON-BODY INJECTOR,$213.80 ,
PX,PX00435560000203,HC APPLY MULTLAY COMPRS BL KNEE,$243.10 ,
PX,PX00435560000204,HC ARSENIC,$158.00 ,
PX,PX00435560000205,HC ARTHERECTOMY EA ADDL ART/BRANC,"$7,396.20 ",
PX,PX00435560000206,HC ARTHERECTOMY SINGLE ART/BRANCH,"$8,204.00 ",
PX,PX00435560000207,HC ARTHROCENT ASP/INJ JT INTERMED,$289.50 ,
PX,PX00435560000208,HC ARTHROCENT ASP/INJ JT MAJOR,$289.50 ,
PX,PX00435560000209,HC ARTHROCENT ASP/INJ JT SMALL,$392.30 ,
PX,PX00435560000210,HC ARTHROCENT JT INTER W/US,"$1,765.90 ",
PX,PX00435560000211,HC ARTHROCENT JT LARGE W/US,"$1,206.20 ",
PX,PX00435560000212,HC ARTHROCENT JT SMALL W/US,"$1,691.90 ",
PX,PX00435560000213,HC ARTHROGRAM ANKLE,$580.00 ,
PX,PX00435560000214,HC ASCOPE LARGE,"$1,480.50 ",
PX,PX00435560000215,HC ASCOPE SLIM,"$1,170.00 ",
PX,PX00435560000216,HC ASCORBIC ACID (VITAMIN C) BLOOD,$94.00 ,
PX,PX00435560000217,HC ASO SCREEN,$109.60 ,
PX,PX00435560000218,HC ASO TITER,$13.00 ,
PX,PX00435560000219,HC ASP ABSC/HEMA/CYST/BULLA,$317.10 ,
PX,PX00435560000220,HC ASP BLADDER INS CATH SUPRAP,"$2,304.00 ",
PX,PX00435560000221,HC ASP BONE MARROW ONLY,"$1,420.70 ",
PX,PX00435560000222,HC ASP BONE MARROW W/BX SAME DAY,$221.00 ,
PX,PX00435560000223,HC ASP CATH NASOTRACHEAL,$186.40 ,
PX,PX00435560000224,HC ASP CYST BREAST,$591.40 ,
PX,PX00435560000225,HC ASP CYST BREAST EA ADD'LD,$290.50 ,
PX,PX00435560000226,HC ASP CYST INVERT DISC/PARAVERT,"$1,026.90 ",
PX,PX00435560000227,HC ASP CYST SPINAL CRD/SYRNX PERC,"$2,234.40 ",
PX,PX00435560000228,HC ASP FINE NDL W/O IMAGING GUIDE,$377.70 ,
PX,PX00435560000229,HC ASP/INJ CYST BONE,"$1,275.80 ",
PX,PX00435560000230,HC ASP/INJ CYST RENAL PERC,"$1,885.00 ",
PX,PX00435560000231,HC ASP/INJ CYST THYROID,$578.00 ,
PX,PX00435560000232,HC ASPERGILLUS ANTIBODY,$111.60 ,
PX,PX00435560000233,HC ASPIR/INJ GANGLION CYST,$276.80 ,
PX,PX00435560000234,HC ASSAY CARBAMAZEPINE FREE,$84.50 ,
PX,PX00435560000235,HC ASSAY OF HEMOSIDERIN QUALITATIVE,$31.00 ,
PX,PX00435560000236,HC ASSAY RBC GALACTOKINASE,$179.10 ,
PX,PX00435560000237,HC AST (SGOT),$20.00 ,
PX,PX00435560000238,"HC ATEZOLIZUMAB, 10 MG (RESEARCH)",$0.01 ,Research Drug
PX,PX00435560000239,HC ATN1 GENE DETC ABNOR ALLELES,$726.25 ,
PX,PX00435560000240,HC ATTENDANCE DELIVERY INITIAL ST,$315.00 ,
PX,PX00435560000241,"HC ATTENTION FUNC LIMIT, CURRENT",$0.01 ,Medicare Statistical Reporting Code
PX,PX00435560000242,"HC ATTENTION FUNC LIMIT, DISCH",$0.01 ,Medicare Statistical Reporting Code
PX,PX00435560000243,"HC ATTENTION FUNC LIMIT, GOAL",$0.01 ,Medicare Statistical Reporting Code
PX,PX00435560000244,HC AUD EVOKED OTOACOUS EMISSIONS COMP,$204.30 ,
PX,PX00435560000245,HC AUD EVOKED OTOACOUS EMISSIONS LTD,$239.40 ,
PX,PX00435560000246,HC AUD EVOKED POTENTIAL COMP,$700.20 ,
PX,PX00435560000247,HC AUD PURE TONE AIR ONLY,$56.00 ,
PX,PX00435560000248,HC AUTOGENIC DRAINAGE INTIAL,$128.00 ,
PX,PX00435560000249,HC AUTONOMIC FUNCTION CARDIOVAGAL,$340.40 ,
PX,PX00435560000250,HC AUTONOMIC FUNCTION SUDOMOTOR,$343.00 ,
PX,PX00435560000251,HC AUTOPSY TECHNICAL FEE,$95.00 ,
PX,PX00435560000252,HC AVULSION NAIL PLATE EA ADDL,$263.70 ,
PX,PX00435560000253,HC AVULSION NAIL PLATE SINGLE,$329.70 ,
PX,PX00435560000254,HC B CELLS TOTAL COUNT,$239.60 ,
PX,PX00435560000255,HC B NATRIURETIC PEPTIDE,$140.00 ,
PX,PX00435560000256,HC B PERTUSSIS ANTIGEN IF,$77.60 ,
PX,PX00435560000257,HC B-HEXOSAMINIDASE EACH ASSAY,$150.10 ,
PX,PX00435560000258,HC BACTERIUM ANTBODY NOS,$78.20 ,
PX,PX00435560000259,HC BALLOON ANGIOPLASY CTR DIALYSIS SEG,"$9,337.00 ",
PX,PX00435560000260,HC BAND COMFORT,$264.60 ,
PX,PX00435560000261,HC BAND COMFORT UL,$300.30 ,
PX,PX00435560000262,HC BARIATRIC RENTAL BED,$267.30 ,
PX,PX00435560000263,HC BARRIER ADHESION INTERCEED,"$1,511.40 ",
PX,PX00435560000264,HC BARTON ALTLAS CHAIR-RENT/DAY,$80.00 ,
PX,PX00435560000265,HC BARTONELLA ANTIBODY,$72.10 ,
PX,PX00435560000266,HC BARTONELLA DNA AMP PROBE,$539.80 ,
PX,PX00435560000267,HC BASIC METABOLIC PANEL,$144.45 ,
PX,PX00435560000268,HC BASIC METABOLIC PANEL CALCIUM,$179.30 ,
PX,PX00435560000269,HC BC DEL VAGINAL W/ANTE/POST CARE (TRICARE),"$8,670.00 ",
PX,PX00435560000270,HC BC DEL VAGINAL W/ANTE/POST CARE (UHC),"$8,040.00 ",
PX,PX00435560000271,HC BC DELIVERY VAGINAL ONLY,"$4,000.00 ",
PX,PX00435560000272,HC BC INIT HOSP/BIRTH CARE NEWBORN,$851.10 ,
PX,PX00435560000273,HC BC INTERIM LABOR FACILITY,"$4,000.00 ",
PX,PX00435560000274,HC BC IV INFUS THPY FLUID ADDL HR,$152.90 ,
PX,PX00435560000275,HC BC IV INFUS THPY FLUID INITIAL,$471.00 ,
PX,PX00435560000276,HC BC NEWBORN RESUSCITATION,$684.00 ,
PX,PX00435560000277,HC BCR/ABL1 GENE MAJOR BP,$329.00 ,
PX,PX00435560000278,HC BEAUTY SERVICE - WASH & DRY,$5.00 ,
PX,PX00435560000279,HC BEAUTY SERVICE-COLOR,$25.00 ,
PX,PX00435560000280,HC BEAUTY SERVICE-HAIRCUT,$7.00 ,
PX,PX00435560000281,HC BEAUTY SERVICE-PERM,$35.00 ,
PX,PX00435560000282,HC BEAUTY SHOP-SET ONLY,$8.00 ,
PX,PX00435560000283,HC BEAUTY SHOP-SHAMPOO & HAIRCUT,$10.00 ,
PX,PX00435560000284,HC BEAUTY SHOP-SHAMPOO & SET,$10.00 ,
PX,PX00435560000285,"HC BEAUTY SHOP-SHAMPOO,CUT & SET",$12.00 ,
PX,PX00435560000286,"HC BENZODIAZEPINES, 1-12, LC",$101.00 ,
PX,PX00435560000287,HC BETA 2 GLYCOPROTEIN I ANTIBODY EACH,$155.30 ,
PX,PX00435560000288,HC BETA-2 MICROGLOBULIN,$162.00 ,
PX,PX00435560000289,HC BEXSERO 0.5ML INJ (VFC VACCINE),$0.01 ,DHEC Supplied Drug
PX,PX00435560000290,HC BILE ACIDS TOTAL,$75.00 ,
PX,PX00435560000291,HC BILIRUBIN DIRECT,$30.00 ,
PX,PX00435560000292,HC BILIRUBIN TOTAL,$30.00 ,
PX,PX00435560000293,HC BILIRUBIN TOTAL TRASCUTANEOUS,$9.50 ,
PX,PX00435560000294,HC BIOPSY BONE EXCISIONAL,"$3,864.00 ",
PX,PX00435560000295,HC BIOPSY ENDOMYOCARDIAL,"$4,507.00 ",
PX,PX00435560000296,HC BIOPSY MASS ABDOMINAL PERC,"$2,343.00 ",
PX,PX00435560000297,HC BIOTINIDASE EA,$117.10 ,
PX,PX00435560000298,HC BIS EEG ELECTRODE,$103.40 ,
PX,PX00435560000299,HC BLADE GLIDESCOPE DISPOSABLE,$220.00 ,
PX,PX00435560000300,HC BLASTOMYCES ANTIBODY,$36.10 ,
PX,PX00435560000301,HC BLINATUMOMAB 1MCG INJ (RESEARCH),$0.01 ,Research Drug
PX,PX00435560000302,HC BLOOD COUNT AUTOMATED DIFFL WBC COUNT,$51.00 ,
PX,PX00435560000303,HC BLOOD COUNT CBC AUTOMATED W/AUTOMATED DIFF,$99.00 ,
PX,PX00435560000304,HC BLOOD COUNT CBC AUTOMATED W/O DIFF,$78.10 ,
PX,PX00435560000305,HC BLOOD COUNT MANUAL CELL COUNT,$54.00 ,
PX,PX00435560000306,HC BLOOD COUNT MANUAL DIFF WBC COUNT,$34.00 ,
PX,PX00435560000307,HC BLOOD CULTURE,$95.00 ,
PX,PX00435560000308,HC BLOOD GAS W/02 SAT,$230.90 ,
PX,PX00435560000309,HC BLOOD GASES,$211.90 ,
PX,PX00435560000310,HC BLOOD OCCULT BY FECAL,$50.00 ,
PX,PX00435560000311,HC BLOOD PLATELET AGGREGATION,$196.90 ,
PX,PX00435560000312,HC BLOOD PRODUCT ADMINISTRATION,"$1,034.00 ",
PX,PX00435560000313,HC BLOOD PRODUCT ADMINISTRATION (LMH OR),"$1,034.00 ",
PX,PX00435560000314,HC BLOOD TYPE (ANTIBODY),$53.00 ,
PX,PX00435560000315,HC BONE SURVEY LIMITED,$556.00 ,
PX,PX00435560000316,HC BOOT PRAFO,$304.30 ,
PX,PX00435560000317,HC BOOT ROOKE HFS,$437.50 ,
PX,PX00435560000318,HC BOOT TRAC CUTAWAY,$160.10 ,
PX,PX00435560000319,HC BORDETELLA ANTIBODY,$91.80 ,
PX,PX00435560000320,HC BRACE ANKLE STANDARD,$98.60 ,
PX,PX00435560000321,HC BRACE ELBOW POST OP,$442.10 ,
PX,PX00435560000322,HC BRACE KNEE T-SCOPE BREG,$393.00 ,
PX,PX00435560000323,HC BRACE KNEE TELESCOPING STANDAR,$556.70 ,
PX,PX00435560000324,HC BRACE ORTHOPEDIC X-ACT LT ELBOW,$414.30 ,
